crab_eating_macaque gene name,rhesus_macaque gene name,human gene name,mice gene name,pig gene name
AADAT,AADAT,AADAT,Aadat,AADAT
AAGAB,AAGAB,AAGAB,Aagab,AAGAB
AAK1,AAK1,AAK1,Aak1,AAK1
AAMDC,AAMDC,AAMDC,Aamdc,AAMDC
AAMP,AAMP,AAMP,Aamp,AAMP
AANAT,AANAT,AANAT,Aanat,AANAT
AAR2,AAR2,AAR2,Aar2,AAR2
AARD,AARD,AARD,Aard,AARD
AARS1,AARS1,AARS1,Aars1,AARS1
AARS2,AARS2,AARS2,Aars2,AARS2
AARSD1,AARSD1,AARSD1,Aarsd1,AARSD1
AASDH,AASDH,AASDH,Aasdh,AASDH
AASDHPPT,AASDHPPT,AASDHPPT,Aasdhppt,AASDHPPT
AASS,AASS,AASS,Aass,AASS
AATF,AATF,AATF,Aatf,AATF
ABAT,ABAT,ABAT,Abat,ABAT
ABCA1,ABCA1,ABCA1,Abca1,ABCA1
ABCA12,ABCA12,ABCA12,Abca12,ABCA12
ABCA13,ABCA13,ABCA13,Abca13,ABCA13
ABCA3,ABCA3,ABCA3,Abca3,ABCA3
ABCA4,ABCA4,ABCA4,Abca4,ABCA4
ABCA5,ABCA5,ABCA5,Abca5,ABCA5
ABCA6,ABCA6,ABCA6,Abca6,ABCA6
ABCA7,ABCA7,ABCA7,Abca7,ABCA7
ABCA8,ABCA8,ABCA8,Abca8b,ABCA8
ABCA9,ABCA9,ABCA9,Abca9,ABCA9
ABCB10,ABCB10,ABCB10,Abcb10,ABCB10
ABCB11,ABCB11,ABCB11,Abcb11,ABCB11
ABCB5,ABCB5,ABCB5,Abcb5,ABCB5
ABCB7,ABCB7,ABCB7,Abcb7,ABCB7
ABCB8,ABCB8,ABCB8,Abcb8,ABCB8
ABCB9,ABCB9,ABCB9,Abcb9,ABCB9
ABCC1,ABCC1,ABCC1,Abcc1,ABCC1
ABCC10,ABCC10,ABCC10,Abcc10,ABCC10
ABCC12,ABCC12,ABCC12,Abcc12,ABCC12
ABCC2,ABCC2,ABCC2,Abcc2,ABCC2
ABCC3,ABCC3,ABCC3,Abcc3,ABCC3
ABCC5,ABCC5,ABCC5,Abcc5,ABCC5
ABCC6,ABCC6,ABCC6,Abcc6,ABCC6
ABCC8,ABCC8,ABCC8,Abcc8,ABCC8
ABCC9,ABCC9,ABCC9,Abcc9,ABCC9
ABCD2,ABCD2,ABCD2,Abcd2,ABCD2
ABCD3,ABCD3,ABCD3,Abcd3,ABCD3
ABCD4,ABCD4,ABCD4,Abcd4,ABCD4
ABCE1,ABCE1,ABCE1,Abce1,ABCE1
ABCF1,ABCF1,ABCF1,Abcf1,ABCF1
ABCF2,ABCF2,ABCF2,Abcf2,ABCF2
ABCF3,ABCF3,ABCF3,Abcf3,ABCF3
ABCG1,ABCG1,ABCG1,Abcg1,ABCG1
ABCG4,ABCG4,ABCG4,Abcg4,ABCG4
ABCG5,ABCG5,ABCG5,Abcg5,ABCG5
ABCG8,ABCG8,ABCG8,Abcg8,ABCG8
ABHD1,ABHD1,ABHD1,Abhd1,ABHD1
ABHD10,ABHD10,ABHD10,Abhd10,ABHD10
ABHD11,ABHD11,ABHD11,Abhd11,ABHD11
ABHD12,ABHD12,ABHD12,Abhd12,ABHD12
ABHD12B,ABHD12B,ABHD12B,Abhd12b,ABHD12B
ABHD13,ABHD13,ABHD13,Abhd13,ABHD13
ABHD15,ABHD15,ABHD15,Abhd15,ABHD15
ABHD16A,ABHD16A,ABHD16A,Abhd16a,ABHD16A
ABHD17C,ABHD17A,ABHD17A,Abhd17a,ABHD17A
ABHD17B,ABHD17B,ABHD17B,Abhd17b,ABHD17B
ABHD18,ABHD18,ABHD18,Abhd18,ABHD18
ABHD2,ABHD2,ABHD2,Abhd2,ABHD2
ABHD3,ABHD3,ABHD3,Abhd3,ABHD3
ABHD4,ABHD4,ABHD4,Abhd4,ABHD4
ABHD5,ABHD5,ABHD5,Abhd5,ABHD5
ABHD6,ABHD6,ABHD6,Abhd6,ABHD6
ABHD8,ABHD8,ABHD8,Abhd8,ABHD8
ABI1,ABI1,ABI1,Abi1,ABI1
ABI2,ABI2,ABI2,Abi2,ABI2
ABI3BP,ABI3BP,ABI3BP,Abi3bp,ABI3BP
ABL1,ABL1,ABL1,Abl1,ABL1
ABL2,ABL2,ABL2,Abl2,ABL2
ABLIM1,ABLIM1,ABLIM1,Ablim1,ABLIM1
ABLIM2,ABLIM2,ABLIM2,Ablim2,ABLIM2
ABR,ABR,ABR,Abr,ABR
ABRA,ABRA,ABRA,Abra,ABRA
ABRAXAS1,ABRAXAS1,ABRAXAS1,Abraxas1,ABRAXAS1
ABRAXAS2,ABRAXAS2,ABRAXAS2,Abraxas2,ABRAXAS2
ABT1,ABT1,ABT1,Abt1,ABT1
ABTB1,ABTB1,ABTB1,Abtb1,ABTB1
ABTB3,ABTB3,ABTB3,Abtb3,ABTB3
ACAA1,ACAA1,ACAA1,Acaa1b,ACAA1
ACAA2,ACAA2,ACAA2,Acaa2,ACAA2
ACACA,ACACA,ACACA,Acaca,ACACA
ACAD10,ACAD10,ACAD10,Acad10,ACAD10
ACAD11,ACAD11,ACAD11,Acad11,ACAD11
ACAD8,ACAD8,ACAD8,Acad8,ACAD8
ACAD9,ACAD9,ACAD9,Acad9,ACAD9
ACADM,ACADM,ACADM,Acadm,ACADM
ACADS,ACADS,ACADS,Acads,ACADS
ACADSB,ACADSB,ACADSB,Acadsb,ACADSB
ACADVL,ACADVL,ACADVL,Acadvl,ACADVL
ACAN,ACAN,ACAN,Acan,ACAN
ACAP1,ACAP1,ACAP1,Acap1,ACAP1
ACAP2,ACAP2,ACAP2,Acap2,ACAP2
ACBD3,ACBD3,ACBD3,Acbd3,ACBD3
ACBD4,ACBD4,ACBD4,Acbd4,ACBD4
ACBD5,ACBD5,ACBD5,Acbd5,ACBD5
ACBD6,ACBD6,ACBD6,Acbd6,ACBD6
ACCSL,ACCSL,ACCSL,Accsl,ACCSL
ACD,ACD,ACD,Acd,ACD
ACE,ACE,ACE,Ace,ACE
ACE2,ACE2,ACE2,Ace2,ACE2
ACER1,ACER1,ACER1,Acer1,ACER1
ACER2,ACER2,ACER2,Acer2,ACER2
ACER3,ACER3,ACER3,Acer3,ACER3
ACHE,ACHE,ACHE,Ache,ACHE
ACKR1,ACKR1,ACKR1,Ackr1,ACKR1
ACKR2,ACKR2,ACKR2,Ackr2,ACKR2
ACKR3,ACKR3,ACKR3,Ackr3,ACKR3
ACKR4,ACKR4,ACKR4,Ackr4,ACKR4
ACLY,ACLY,ACLY,Acly,ACLY
ACMSD,ACMSD,ACMSD,Acmsd,ACMSD
ACO1,ACO1,ACO1,Aco1,ACO1
ACO2,ACO2,ACO2,Aco2,ACO2
ACOD1,ACOD1,ACOD1,Acod1,ACOD1
ACOT12,ACOT12,ACOT12,Acot12,ACOT12
ACOT7,ACOT7,ACOT7,Acot7,ACOT7
ACOT8,ACOT8,ACOT8,Acot8,ACOT8
ACOT9,ACOT9,ACOT9,Acot9,ACOT9
ACOX2,ACOX2,ACOX2,Acox2,ACOX2
ACOX3,ACOX3,ACOX3,Acox3,ACOX3
ACP1,ACP1,ACP1,Acp1,ACP1
ACP2,ACP2,ACP2,Acp2,ACP2
ACP5,ACP5,ACP5,Acp5,ACP5
ACP6,ACP6,ACP6,Acp6,ACP6
ACP7,ACP7,ACP7,Acp7,ACP7
ACR,ACR,ACR,Acr,ACR
ACRBP,ACRBP,ACRBP,Acrbp,ACRBP
ACRV1,ACRV1,ACRV1,Acrv1,ACRV1
ACSBG1,ACSBG1,ACSBG1,Acsbg1,ACSBG1
ACSBG2,ACSBG2,ACSBG2,Acsbg2,ACSBG2
ACSF2,ACSF2,ACSF2,Acsf2,ACSF2
ACSF3,ACSF3,ACSF3,Acsf3,ACSF3
ACSL1,ACSL1,ACSL1,Acsl1,ACSL1
ACSL3,ACSL3,ACSL3,Acsl3,ACSL3
ACSL4,ACSL4,ACSL4,Acsl4,ACSL4
ACSL5,ACSL5,ACSL5,Acsl5,ACSL5
ACSM3,ACSM3,ACSM3,Acsm3,ACSM3
ACSM4,ACSM4,ACSM4,Acsm4,ACSM4
ACSS1,ACSS1,ACSS1,Acss1,ACSS1
ACSS2,ACSS2,ACSS2,Acss2,ACSS2
ACSS3,ACSS3,ACSS3,Acss3,ACSS3
ACTA1,ACTA1,ACTA1,Acta1,ACTA1
ACTA2,ACTA2,ACTA2,Acta2,ACTA2
ACTBL2,ACTBL2,ACTBL2,Actbl2,ACTBL2
ACTC1,ACTC1,ACTC1,Actc1,ACTC1
ACTG1,ACTG1,ACTG1,Actg1,ACTG1
ACTG2,ACTG2,ACTG2,Actg2,ACTG2
ACTL6A,ACTL6A,ACTL6A,Actl6a,ACTL6A
ACTL7A,ACTL7A,ACTL7A,Actl7a,ACTL7A
ACTL7B,ACTL7B,ACTL7B,Actl7b,ACTL7B
ACTL9,ACTL9,ACTL9,Actl9,ACTL9
ACTMAP,ACTMAP,ACTMAP,Actmap,ACTMAP
ACTN1,ACTN1,ACTN1,Actn1,ACTN1
ACTN2,ACTN2,ACTN2,Actn2,ACTN2
ACTN3,ACTN3,ACTN3,Actn3,ACTN3
ACTN4,ACTN4,ACTN4,Actn4,ACTN4
ACTR10,ACTR10,ACTR10,Actr10,ACTR10
ACTR1A,ACTR1A,ACTR1A,Actr1a,ACTR1A
ACTR1B,ACTR1B,ACTR1B,Actr1b,ACTR1B
ACTR2,ACTR2,ACTR2,Actr2,ACTR2
ACTR3,ACTR3,ACTR3,Actr3,ACTR3
ACTR5,ACTR5,ACTR5,Actr5,ACTR5
ACTR6,ACTR6,ACTR6,Actr6,ACTR6
ACTR8,ACTR8,ACTR8,Actr8,ACTR8
ACTRT1,ACTRT1,ACTRT1,Actrt1,ACTRT1
ACTRT2,ACTRT2,ACTRT2,Actrt2,ACTRT2
ACTRT3,ACTRT3,ACTRT3,Actrt3,ACTRT3
ACVR1,ACVR1,ACVR1,Acvr1,ACVR1
ACVR1B,ACVR1B,ACVR1B,Acvr1b,ACVR1B
ACVR1C,ACVR1C,ACVR1C,Acvr1c,ACVR1C
ACVR2A,ACVR2A,ACVR2A,Acvr2a,ACVR2A
ACVR2B,ACVR2B,ACVR2B,Acvr2b,ACVR2B
ACVRL1,ACVRL1,ACVRL1,Acvrl1,ACVRL1
ACYP2,ACYP2,ACYP2,Acyp2,ACYP2
ADAD1,ADAD1,ADAD1,Adad1,ADAD1
ADAD2,ADAD2,ADAD2,Adad2,ADAD2
MAPDA,ADAL,MAPDA,Adal,MAPDA
ADAM10,ADAM10,ADAM10,Adam10,ADAM10
ADAM11,ADAM11,ADAM11,Adam11,ADAM11
ADAM12,ADAM12,ADAM12,Adam12,ADAM12
ADAM15,ADAM15,ADAM15,Adam15,ADAM15
ADAM17,ADAM17,ADAM17,Adam17,ADAM17
ADAM18,ADAM18,ADAM18,Adam18,ADAM18
ADAM19,ADAM19,ADAM19,Adam19,ADAM19
ADAM2,ADAM2,ADAM2,Adam2,ADAM2
ADAM22,ADAM22,ADAM22,Adam22,ADAM22
ADAM23,ADAM23,ADAM23,Adam23,ADAM23
ADAM28,ADAM28,ADAM28,Adam28,ADAM28
ADAM30,ADAM30,ADAM30,Adam30,ADAM30
ADAM33,ADAM33,ADAM33,Adam33,ADAM33
ADAM20,ADAM20,ADAM20,Adam39,ADAM20
ADAM7,ADAM7,ADAM7,Adam7,ADAM7
ADAM8,ADAM8,ADAM8,Adam8,ADAM8
ADAM9,ADAM9,ADAM9,Adam9,ADAM9
ADAMDEC1,ADAMDEC1,ADAMDEC1,Adamdec1,ADAMDEC1
ADAMTS1,ADAMTS1,ADAMTS1,Adamts1,ADAMTS1
ADAMTS10,ADAMTS10,ADAMTS10,Adamts10,ADAMTS10
ADAMTS12,ADAMTS12,ADAMTS12,Adamts12,ADAMTS12
ADAMTS13,ADAMTS13,ADAMTS13,Adamts13,ADAMTS13
ADAMTS14,ADAMTS14,ADAMTS14,Adamts14,ADAMTS14
ADAMTS15,ADAMTS15,ADAMTS15,Adamts15,ADAMTS15
ADAMTS16,ADAMTS16,ADAMTS16,Adamts16,ADAMTS16
ADAMTS17,ADAMTS17,ADAMTS17,Adamts17,ADAMTS17
ADAMTS18,ADAMTS18,ADAMTS18,Adamts18,ADAMTS18
ADAMTS19,ADAMTS19,ADAMTS19,Adamts19,ADAMTS19
ADAMTS2,ADAMTS2,ADAMTS2,Adamts2,ADAMTS2
ADAMTS20,ADAMTS20,ADAMTS20,Adamts20,ADAMTS20
ADAMTS3,ADAMTS3,ADAMTS3,Adamts3,ADAMTS3
ADAMTS4,ADAMTS4,ADAMTS4,Adamts4,ADAMTS4
ADAMTS5,ADAMTS5,ADAMTS5,Adamts5,ADAMTS5
ADAMTS6,ADAMTS6,ADAMTS6,Adamts6,ADAMTS6
ADAMTS7,ADAMTS7,ADAMTS7,Adamts7,ADAMTS7
ADAMTS8,ADAMTS8,ADAMTS8,Adamts8,ADAMTS8
ADAMTS9,ADAMTS9,ADAMTS9,Adamts9,ADAMTS9
ADAMTSL1,ADAMTSL1,ADAMTSL1,Adamtsl1,ADAMTSL1
ADAMTSL2,ADAMTSL2,ADAMTSL2,Adamtsl2,ADAMTSL2
ADAMTSL3,ADAMTSL3,ADAMTSL3,Adamtsl3,ADAMTSL3
ADAMTSL4,ADAMTSL4,ADAMTSL4,Adamtsl4,ADAMTSL4
ADAP1,ADAP1,ADAP1,Adap1,ADAP1
ADAR,ADAR,ADAR,Adar,ADAR
ADARB1,ADARB1,ADARB1,Adarb1,ADARB1
ADAT1,ADAT1,ADAT1,Adat1,ADAT1
ADAT2,ADAT2,ADAT2,Adat2,ADAT2
ADCK1,ADCK1,ADCK1,Adck1,ADCK1
ADCK2,ADCK2,ADCK2,Adck2,ADCK2
ADCY10,ADCY10,ADCY10,Adcy10,ADCY10
ADCY2,ADCY2,ADCY2,Adcy2,ADCY2
ADCY3,ADCY3,ADCY3,Adcy3,ADCY3
ADCY4,ADCY4,ADCY4,Adcy4,ADCY4
ADCY5,ADCY5,ADCY5,Adcy5,ADCY5
ADCY6,ADCY6,ADCY6,Adcy6,ADCY6
ADCY7,ADCY7,ADCY7,Adcy7,ADCY7
ADCY8,ADCY8,ADCY8,Adcy8,ADCY8
ADCY9,ADCY9,ADCY9,Adcy9,ADCY9
ADCYAP1,ADCYAP1,ADCYAP1,Adcyap1,ADCYAP1
ADCYAP1R1,ADCYAP1R1,ADCYAP1R1,Adcyap1r1,ADCYAP1R1
ADD1,ADD1,ADD1,Add1,ADD1
ADD2,ADD2,ADD2,Add2,ADD2
ADD3,ADD3,ADD3,Add3,ADD3
ADGB,ADGB,ADGB,Adgb,ADGB
ADGRA1,ADGRA1,ADGRA1,Adgra1,ADGRA1
ADGRA2,ADGRA2,ADGRA2,Adgra2,ADGRA2
ADGRA3,ADGRA3,ADGRA3,Adgra3,ADGRA3
ADGRB1,ADGRB1,ADGRB1,Adgrb1,ADGRB1
ADGRB2,ADGRB2,ADGRB2,Adgrb2,ADGRB2
ADGRB3,ADGRB3,ADGRB3,Adgrb3,ADGRB3
ADGRD1,ADGRD1,ADGRD1,Adgrd1,ADGRD1
ADGRE5,ADGRE5,ADGRE5,Adgre5,ADGRE5
ADGRF1,ADGRF1,ADGRF1,Adgrf1,ADGRF1
ADGRF3,ADGRF3,ADGRF3,Adgrf3,ADGRF3
ADGRF4,ADGRF4,ADGRF4,Adgrf4,ADGRF4
ADGRF5,ADGRF5,ADGRF5,Adgrf5,ADGRF5
ADGRG1,ADGRG1,ADGRG1,Adgrg1,ADGRG1
ADGRG2,ADGRG2,ADGRG2,Adgrg2,ADGRG2
ADGRG3,ADGRG3,ADGRG3,Adgrg3,ADGRG3
ADGRG5,ADGRG5,ADGRG5,Adgrg5,ADGRG5
ADGRG6,ADGRG6,ADGRG6,Adgrg6,ADGRG6
ADGRG7,ADGRG7,ADGRG7,Adgrg7,ADGRG7
ADGRL2,ADGRL2,ADGRL2,Adgrl2,ADGRL2
ADGRL3,ADGRL3,ADGRL3,Adgrl3,ADGRL3
ADGRL4,ADGRL4,ADGRL4,Adgrl4,ADGRL4
ADGRV1,ADGRV1,ADGRV1,Adgrv1,ADGRV1
ADH4,ADH4,ADH4,Adh4,ADH4
ADH5,ADH5,ADH5,Adh5,ADH5
ADHFE1,ADHFE1,ADHFE1,Adhfe1,ADHFE1
ADI1,ADI1,ADI1,Adi1,ADI1
ADIPOQ,ADIPOQ,ADIPOQ,Adipoq,ADIPOQ
ADIPOR1,ADIPOR1,ADIPOR1,Adipor1,ADIPOR1
ADIPOR2,ADIPOR2,ADIPOR2,Adipor2,ADIPOR2
ADISSP,ADISSP,ADISSP,Adissp,ADISSP
ADK,ADK,ADK,Adk,ADK
ADM,ADM,ADM,Adm,ADM
ADM2,ADM2,ADM2,Adm2,ADM2
ADNP,ADNP,ADNP,Adnp,ADNP
ADO,ADO,ADO,Ado,ADO
ADORA1,ADORA1,ADORA1,Adora1,ADORA1
ADORA2B,ADORA2B,ADORA2B,Adora2b,ADORA2B
ADPRH,ADPRH,ADPRH,Adprh,ADPRH
ADPRM,ADPRM,ADPRM,Adprm,ADPRM
ADPRS,ADPRS,ADPRS,Adprs,ADPRS
ADRA1A,ADRA1A,ADRA1A,Adra1a,ADRA1A
ADRA1B,ADRA1B,ADRA1B,Adra1b,ADRA1B
ADRA1D,ADRA1D,ADRA1D,Adra1d,ADRA1D
ADRA2B,ADRA2B,ADRA2B,Adra2b,ADRA2B
ADRB2,ADRB2,ADRB2,Adrb2,ADRB2
ADRB3,ADRB3,ADRB3,Adrb3,ADRB3
ADSL,ADSL,ADSL,Adsl,ADSL
ADSS1,ADSS1,ADSS1,Adss1,ADSS1
ADSS2,ADSS2,ADSS2,Adss2,ADSS2
ADTRP,ADTRP,ADTRP,Adtrp,ADTRP
AEBP1,AEBP1,AEBP1,Aebp1,AEBP1
AEBP2,AEBP2,AEBP2,Aebp2,AEBP2
AEN,AEN,AEN,Aen,AEN
AFAP1,AFAP1,AFAP1,Afap1,AFAP1
AFAP1L1,AFAP1L1,AFAP1L1,Afap1l1,AFAP1L1
AFDN,AFDN,AFDN,Afdn,AFDN
AFF1,AFF1,AFF1,Aff1,AFF1
AFF2,AFF2,AFF2,Aff2,AFF2
AFF3,AFF3,AFF3,Aff3,AFF3
AFG1L,AFG1L,AFG1L,Afg1l,AFG1L
AFG2A,AFG2A,AFG2A,Afg2a,AFG2A
AFG2B,AFG2B,AFG2B,Afg2b,AFG2B
AFG3L2,AFG3L2,AFG3L2,Afg3l2,AFG3L2
AFMID,AFMID,AFMID,Afmid,AFMID
AFP,AFP,AFP,Afp,AFP
AFTPH,AFTPH,AFTPH,Aftph,AFTPH
AGA,AGA,AGA,Aga,AGA
AGAP2,AGAP2,AGAP2,Agap2,AGAP2
AGAP3,AGAP3,AGAP3,Agap3,AGAP3
AGBL1,AGBL1,AGBL1,Agbl1,AGBL1
AGBL2,AGBL2,AGBL2,Agbl2,AGBL2
AGBL3,AGBL3,AGBL3,Agbl3,AGBL3
AGBL5,AGBL5,AGBL5,Agbl5,AGBL5
AGER,AGER,AGER,Ager,AGER
AGFG1,AGFG1,AGFG1,Agfg1,AGFG1
AGFG2,AGFG2,AGFG2,Agfg2,AGFG2
ERICH2,ERICH2,AGGF1,Aggf1,AGGF1
AGK,AGK,AGK,Agk,AGK
AGL,AGL,AGL,Agl,AGL
AGMAT,AGMAT,AGMAT,Agmat,AGMAT
AGMO,AGMO,AGMO,Agmo,AGMO
AGO2,AGO2,AGO2,Ago2,AGO2
AGPAT1,AGPAT1,AGPAT1,Agpat1,AGPAT1
AGPAT2,AGPAT2,AGPAT2,Agpat2,AGPAT2
AGPAT4,AGPAT4,AGPAT4,Agpat4,AGPAT4
AGPAT5,AGPAT5,AGPAT5,Agpat5,AGPAT5
AGPS,AGPS,AGPS,Agps,AGPS
AGR2,AGR2,AGR2,Agr2,AGR2
AGRP,AGRP,AGRP,Agrp,AGRP
AGT,AGT,AGT,Agt,AGT
AGTPBP1,AGTPBP1,AGTPBP1,Agtpbp1,AGTPBP1
AGTR1,AGTR1,AGTR1,Agtr1b,AGTR1
AGTR2,AGTR2,AGTR2,Agtr2,AGTR2
AGXT,AGXT,AGXT,Agxt,AGXT
AGXT2,AGXT2,AGXT2,Agxt2,AGXT2
AHCTF1,AHCTF1,AHCTF1,Ahctf1,AHCTF1
AHCY,AHCY,AHCY,Ahcy,AHCY
AHCYL1,AHCYL1,AHCYL1,Ahcyl1,AHCYL1
AHCYL2,AHCYL2,AHCYL2,Ahcyl2,AHCYL2
AHDC1,AHDC1,AHDC1,Ahdc1,AHDC1
AHI1,AHI1,AHI1,Ahi1,AHI1
AHR,AHR,AHR,Ahr,AHR
AHRR,AHRR,AHRR,Ahrr,AHRR
AHSA1,AHSA1,AHSA1,Ahsa1,AHSA1
AHSG,AHSG,AHSG,Ahsg,AHSG
AHSP,AHSP,AHSP,Ahsp,AHSP
AICDA,AICDA,AICDA,Aicda,AICDA
