human gene name,mice gene name,pig gene name
C4orf46,4930579G24Rik,C4orf46
C11orf54,4931406C07Rik,C11orf54
C14orf93,4931414P19Rik,C14orf93
C16orf78,4933402J07Rik,C16orf78
C10orf120,4933402N03Rik,C14H10orf120
C16orf86,4933405L10Rik,C16orf86
C1orf43,4933434E20Rik,C1orf43
KIAA0930,5031439G07Rik,KIAA0930
ZNF99,5430403G16Rik,ZNF883
C1orf216,5730409E04Rik,C1orf216
C17orf75,5730455P16Rik,C17orf75
PACRGL,5730480H06Rik,PACRGL
C5orf22,6030458C11Rik,C5orf22
KIAA0513,6430548M08Rik,KIAA0513
C3orf18,6430571L13Rik,C3orf18
C8orf76,9130401M01Rik,C8orf76
KIAA0408,9330159F19Rik,KIAA0408
C5orf15,9530068E07Rik,C5orf15
KIAA0895,9530077C05Rik,MATCAP2
C8orf58,9930012K11Rik,C8orf58
C1orf74,A130010J15Rik,C1orf74
A1CF,A1cf,A1CF
C1orf174,A430005L14Rik,C1orf174
ZNF544,A430033K04Rik,ZNF713
A4GALT,A4galt,A4GALT
A4GNT,A4gnt,A4GNT
C14orf180,A530016L24Rik,C14orf180
SP100,A630001G21Rik,SP110
C8orf34,A830018L16Rik,C8orf34
C11orf91,A930018P22Rik,C11orf91
C15orf48,AA467197,C15orf48
C1orf116,AA986860,C1orf116
C19orf38,AB124611,C19orf38
SNORD113-6,AF357425,SNORD113-6
C8orf48,AI429214,C8orf48
C11orf87,AI593442,C11orf87
C2orf49,AI597479,C2orf49
C6orf132,AI661453,C6orf132
C11orf68,AI837181,C11orf68
C16orf89,AU021092,C16orf89
KIAA0319L,AU040320,KIAA0319L
C7orf25,AW209491,C7orf25
VWA5A,AW551984,VWA5A
KIAA1328,AW554918,KIAA1328
AAAS,Aaas,AAAS
AACS,Aacs,AACS
AADAC,Aadac,AADAC
AADACL3,Aadacl3,AADACL3
AADAT,Aadat,AADAT
AAGAB,Aagab,AAGAB
AAK1,Aak1,AAK1
AAMDC,Aamdc,AAMDC
AAMP,Aamp,AAMP
AANAT,Aanat,AANAT
AAR2,Aar2,AAR2
AARD,Aard,AARD
AARS1,Aars1,AARS1
AARS2,Aars2,AARS2
AARSD1,Aarsd1,AARSD1
AASDH,Aasdh,AASDH
AASDHPPT,Aasdhppt,AASDHPPT
AASS,Aass,AASS
AATF,Aatf,AATF
AATK,Aatk,AATK
ABAT,Abat,ABAT
ABCA1,Abca1,ABCA1
ABCA12,Abca12,ABCA12
ABCA13,Abca13,ABCA13
ABCA2,Abca2,ABCA2
ABCA3,Abca3,ABCA3
ABCA4,Abca4,ABCA4
ABCA5,Abca5,ABCA5
ABCA6,Abca6,ABCA6
ABCA7,Abca7,ABCA7
ABCA8,Abca8b,ABCA8
ABCA9,Abca9,ABCA9
ABCB10,Abcb10,ABCB10
ABCB11,Abcb11,ABCB11
ABCB5,Abcb5,ABCB5
ABCB6,Abcb6,ABCB6
ABCB7,Abcb7,ABCB7
ABCB8,Abcb8,ABCB8
ABCB9,Abcb9,ABCB9
ABCC1,Abcc1,ABCC1
ABCC10,Abcc10,ABCC10
ABCC12,Abcc12,ABCC12
ABCC2,Abcc2,ABCC2
ABCC3,Abcc3,ABCC3
ABCC5,Abcc5,ABCC5
ABCC6,Abcc6,ABCC6
ABCC8,Abcc8,ABCC8
ABCC9,Abcc9,ABCC9
ABCD1,Abcd1,ABCD1
ABCD2,Abcd2,ABCD2
ABCD3,Abcd3,ABCD3
ABCD4,Abcd4,ABCD4
ABCE1,Abce1,ABCE1
ABCF1,Abcf1,ABCF1
ABCF2,Abcf2,ABCF2
ABCF3,Abcf3,ABCF3
ABCG1,Abcg1,ABCG1
ABCG2,Abcg2,ABCG2A
ABCG4,Abcg4,ABCG4
ABCG5,Abcg5,ABCG5
ABCG8,Abcg8,ABCG8
ABHD1,Abhd1,ABHD1
ABHD10,Abhd10,ABHD10
ABHD11,Abhd11,ABHD11
ABHD12,Abhd12,ABHD12
ABHD12B,Abhd12b,ABHD12B
ABHD13,Abhd13,ABHD13
ABHD14A,Abhd14a,ABHD14A
ABHD14B,Abhd14b,ABHD14B
ABHD15,Abhd15,ABHD15
ABHD16A,Abhd16a,ABHD16A
ABHD16B,Abhd16b,ABHD16B
ABHD17A,Abhd17a,ABHD17A
ABHD17B,Abhd17b,ABHD17B
ABHD18,Abhd18,ABHD18
ABHD2,Abhd2,ABHD2
ABHD3,Abhd3,ABHD3
ABHD4,Abhd4,ABHD4
ABHD5,Abhd5,ABHD5
ABHD6,Abhd6,ABHD6
ABHD8,Abhd8,ABHD8
ABI1,Abi1,ABI1
ABI2,Abi2,ABI2
ABI3BP,Abi3bp,ABI3BP
ABL1,Abl1,ABL1
ABL2,Abl2,ABL2
ABLIM1,Ablim1,ABLIM1
ABLIM2,Ablim2,ABLIM2
ABLIM3,Ablim3,ABLIM3
ABR,Abr,ABR
ABRA,Abra,ABRA
ABRACL,Abracl,ABRACL
ABRAXAS1,Abraxas1,ABRAXAS1
ABRAXAS2,Abraxas2,ABRAXAS2
ABT1,Abt1,ABT1
ABTB1,Abtb1,ABTB1
ABTB2,Abtb2,ABTB2
ABTB3,Abtb3,ABTB3
ACAA1,Acaa1b,ACAA1
ACAA2,Acaa2,ACAA2
ACACA,Acaca,ACACA
ACACB,Acacb,ACACB
ACAD10,Acad10,ACAD10
ACAD11,Acad11,ACAD11
ACAD8,Acad8,ACAD8
ACAD9,Acad9,ACAD9
ACADL,Acadl,ACADL
ACADM,Acadm,ACADM
ACADS,Acads,ACADS
ACADSB,Acadsb,ACADSB
ACADVL,Acadvl,ACADVL
ACAN,Acan,ACAN
ACAP1,Acap1,ACAP1
ACAP2,Acap2,ACAP2
ACAP3,Acap3,ACAP3
ACAT1,Acat1,ACAT1
ACAT2,Acat2,ACAT2
ACBD3,Acbd3,ACBD3
ACBD4,Acbd4,ACBD4
ACBD5,Acbd5,ACBD5
ACBD6,Acbd6,ACBD6
ACBD7,Acbd7,ACBD7
ACCS,Accs,ACCS
ACCSL,Accsl,ACCSL
ACD,Acd,ACD
ACE,Ace,ACE
ACE2,Ace2,ACE2
ACER1,Acer1,ACER1
ACER2,Acer2,ACER2
ACER3,Acer3,ACER3
ACHE,Ache,ACHE
ACKR1,Ackr1,ACKR1
ACKR2,Ackr2,ACKR2
ACKR3,Ackr3,ACKR3
ACKR4,Ackr4,ACKR4
ACLY,Acly,ACLY
ACMSD,Acmsd,ACMSD
ACO1,Aco1,ACO1
ACO2,Aco2,ACO2
ACOD1,Acod1,ACOD1
ACOT11,Acot11,ACOT11
ACOT12,Acot12,ACOT12
ACOT13,Acot13,ACOT13
ACOT6,Acot6,ACOT6
ACOT7,Acot7,ACOT7
ACOT8,Acot8,ACOT8
ACOT9,Acot9,ACOT9
ACOX1,Acox1,ACOX1
ACOX2,Acox2,ACOX2
ACOX3,Acox3,ACOX3
ACOXL,Acoxl,ACOXL
ACP1,Acp1,ACP1
ACP2,Acp2,ACP2
ACP4,Acp4,ACP4
ACP5,Acp5,ACP5
ACP6,Acp6,ACP6
ACP7,Acp7,ACP7
ACR,Acr,ACR
ACRBP,Acrbp,ACRBP
ACRV1,Acrv1,ACRV1
ACSBG1,Acsbg1,ACSBG1
ACSBG2,Acsbg2,ACSBG2
ACSF2,Acsf2,ACSF2
ACSF3,Acsf3,ACSF3
ACSL1,Acsl1,ACSL1
ACSL3,Acsl3,ACSL3
ACSL4,Acsl4,ACSL4
ACSL5,Acsl5,ACSL5
ACSL6,Acsl6,ACSL6
ACSM3,Acsm3,ACSM3
ACSM4,Acsm4,ACSM4
ACSM5,Acsm5,ACSM5
ACSS1,Acss1,ACSS1
ACSS2,Acss2,ACSS2
ACSS3,Acss3,ACSS3
ACTA1,Acta1,ACTA1
ACTA2,Acta2,ACTA2
ACTB,Actb,ACTB
ACTBL2,Actbl2,ACTBL2
ACTC1,Actc1,ACTC1
ACTG1,Actg1,ACTG1
ACTG2,Actg2,ACTG2
ACTL10,Actl10,ACTL10
ACTL6A,Actl6a,ACTL6A
ACTL7A,Actl7a,ACTL7A
ACTL7B,Actl7b,ACTL7B
ACTL9,Actl9,ACTL9
ACTMAP,Actmap,ACTMAP
ACTN1,Actn1,ACTN1
ACTN2,Actn2,ACTN2
ACTN3,Actn3,ACTN3
ACTN4,Actn4,ACTN4
ACTR10,Actr10,ACTR10
ACTR1A,Actr1a,ACTR1A
ACTR1B,Actr1b,ACTR1B
ACTR2,Actr2,ACTR2
ACTR3,Actr3,ACTR3
ACTR5,Actr5,ACTR5
ACTR6,Actr6,ACTR6
ACTR8,Actr8,ACTR8
ACTRT1,Actrt1,ACTRT1
ACTRT2,Actrt2,ACTRT2
ACTRT3,Actrt3,ACTRT3
ACVR1,Acvr1,ACVR1
ACVR1B,Acvr1b,ACVR1B
ACVR1C,Acvr1c,ACVR1C
ACVR2A,Acvr2a,ACVR2A
ACVR2B,Acvr2b,ACVR2B
ACVRL1,Acvrl1,ACVRL1
ACY1,Acy1,ACY1
ACYP2,Acyp2,ACYP2
ADA,Ada,ADA
ADAD1,Adad1,ADAD1
ADAD2,Adad2,ADAD2
MAPDA,Adal,MAPDA
ADAM10,Adam10,ADAM10
ADAM11,Adam11,ADAM11
ADAM12,Adam12,ADAM12
ADAM15,Adam15,ADAM15
ADAM17,Adam17,ADAM17
ADAM18,Adam18,ADAM18
ADAM19,Adam19,ADAM19
ADAM2,Adam2,ADAM2
ADAM21,Adam21,ADAM21
ADAM22,Adam22,ADAM22
ADAM23,Adam23,ADAM23
ADAM28,Adam28,ADAM28
ADAM30,Adam30,ADAM30
ADAM32,Adam32,ADAM32
ADAM33,Adam33,ADAM33
ADAM20,Adam39,ADAM20
ADAM7,Adam7,ADAM7
ADAM8,Adam8,ADAM8
ADAM9,Adam9,ADAM9
ADAMDEC1,Adamdec1,ADAMDEC1
ADAMTS1,Adamts1,ADAMTS1
ADAMTS10,Adamts10,ADAMTS10
ADAMTS12,Adamts12,ADAMTS12
ADAMTS13,Adamts13,ADAMTS13
ADAMTS14,Adamts14,ADAMTS14
ADAMTS15,Adamts15,ADAMTS15
ADAMTS16,Adamts16,ADAMTS16
ADAMTS17,Adamts17,ADAMTS17
ADAMTS18,Adamts18,ADAMTS18
ADAMTS19,Adamts19,ADAMTS19
ADAMTS2,Adamts2,ADAMTS2
ADAMTS20,Adamts20,ADAMTS20
ADAMTS3,Adamts3,ADAMTS3
ADAMTS4,Adamts4,ADAMTS4
ADAMTS5,Adamts5,ADAMTS5
ADAMTS6,Adamts6,ADAMTS6
ADAMTS7,Adamts7,ADAMTS7
ADAMTS8,Adamts8,ADAMTS8
ADAMTS9,Adamts9,ADAMTS9
ADAMTSL1,Adamtsl1,ADAMTSL1
ADAMTSL2,Adamtsl2,ADAMTSL2
ADAMTSL3,Adamtsl3,ADAMTSL3
ADAMTSL4,Adamtsl4,ADAMTSL4
ADAMTSL5,Adamtsl5,ADAMTSL5
ADAP1,Adap1,ADAP1
ADAP2,Adap2,ADAP2
ADAR,Adar,ADAR
ADARB1,Adarb1,ADARB1
ADARB2,Adarb2,ADARB2
ADAT1,Adat1,ADAT1
ADAT2,Adat2,ADAT2
ADCK1,Adck1,ADCK1
ADCK2,Adck2,ADCK2
ADCK5,Adck5,ADCK5
ADCY1,Adcy1,ADCY1
ADCY10,Adcy10,ADCY10
ADCY2,Adcy2,ADCY2
ADCY3,Adcy3,ADCY3
ADCY4,Adcy4,ADCY4
ADCY5,Adcy5,ADCY5
ADCY6,Adcy6,ADCY6
ADCY7,Adcy7,ADCY7
ADCY8,Adcy8,ADCY8
ADCY9,Adcy9,ADCY9
ADCYAP1,Adcyap1,ADCYAP1
ADCYAP1R1,Adcyap1r1,ADCYAP1R1
ADD1,Add1,ADD1
ADD2,Add2,ADD2
ADD3,Add3,ADD3
ADGB,Adgb,ADGB
ADGRA1,Adgra1,ADGRA1
ADGRA2,Adgra2,ADGRA2
ADGRA3,Adgra3,ADGRA3
ADGRB1,Adgrb1,ADGRB1
ADGRB2,Adgrb2,ADGRB2
ADGRB3,Adgrb3,ADGRB3
ADGRD1,Adgrd1,ADGRD1
ADGRE3,Adgre4,ADGRE3
ADGRE5,Adgre5,ADGRE5
ADGRF1,Adgrf1,ADGRF1
ADGRF3,Adgrf3,ADGRF3
ADGRF4,Adgrf4,ADGRF4
ADGRF5,Adgrf5,ADGRF5
ADGRG1,Adgrg1,ADGRG1
ADGRG2,Adgrg2,ADGRG2
ADGRG3,Adgrg3,ADGRG3
ADGRG5,Adgrg5,ADGRG5
ADGRG6,Adgrg6,ADGRG6
ADGRG7,Adgrg7,ADGRG7
ADGRL1,Adgrl1,ADGRL1
ADGRL2,Adgrl2,ADGRL2
ADGRL3,Adgrl3,ADGRL3
ADGRL4,Adgrl4,ADGRL4
ADGRV1,Adgrv1,ADGRV1
ADH4,Adh4,ADH4
ADH5,Adh5,ADH5
ADH7,Adh7,ADH7
ADHFE1,Adhfe1,ADHFE1
ADI1,Adi1,ADI1
ADIG,Adig,ADIG
ADIPOQ,Adipoq,ADIPOQ
ADIPOR1,Adipor1,ADIPOR1
ADIPOR2,Adipor2,ADIPOR2
ADISSP,Adissp,ADISSP
ADK,Adk,ADK
ADM,Adm,ADM
ADM2,Adm2,ADM2
ADNP,Adnp,ADNP
ADNP2,Adnp2,ADNP2
ADO,Ado,ADO
ADORA1,Adora1,ADORA1
ADORA2A,Adora2a,ADORA2A
ADORA2B,Adora2b,ADORA2B
ADPGK,Adpgk,ADPGK
ADPRH,Adprh,ADPRH
ADPRM,Adprm,ADPRM
ADPRS,Adprs,ADPRS
ADRA1A,Adra1a,ADRA1A
ADRA1B,Adra1b,ADRA1B
ADRA1D,Adra1d,ADRA1D
ADRA2A,Adra2a,ADRA2A
ADRA2B,Adra2b,ADRA2B
ADRA2C,Adra2c,ADRA2C
ADRB1,Adrb1,ADRB1
ADRB2,Adrb2,ADRB2
ADRB3,Adrb3,ADRB3
ADRM1,Adrm1,ADRM1
ADSL,Adsl,ADSL
ADSS1,Adss1,ADSS1
ADSS2,Adss2,ADSS2
ADTRP,Adtrp,ADTRP
AEBP1,Aebp1,AEBP1
AEBP2,Aebp2,AEBP2
AEN,Aen,AEN
AFAP1,Afap1,AFAP1
AFAP1L1,Afap1l1,AFAP1L1
AFAP1L2,Afap1l2,AFAP1L2
AFDN,Afdn,AFDN
AFF1,Aff1,AFF1
AFF2,Aff2,AFF2
AFF3,Aff3,AFF3
AFF4,Aff4,AFF4
AFG1L,Afg1l,AFG1L
AFG2A,Afg2a,AFG2A
AFG2B,Afg2b,AFG2B
AFG3L2,Afg3l2,AFG3L2
AFM,Afm,AFM
AFMID,Afmid,AFMID
AFP,Afp,AFP
AFTPH,Aftph,AFTPH
AGA,Aga,AGA
AGAP1,Agap1,AGAP1
AGAP2,Agap2,AGAP2
AGAP3,Agap3,AGAP3
AGBL1,Agbl1,AGBL1
AGBL2,Agbl2,AGBL2
AGBL3,Agbl3,AGBL3
AGBL5,Agbl5,AGBL5
AGER,Ager,AGER
AGFG1,Agfg1,AGFG1
AGFG2,Agfg2,AGFG2
AGGF1,Aggf1,AGGF1
AGK,Agk,AGK
AGL,Agl,AGL
AGMAT,Agmat,AGMAT
AGMO,Agmo,AGMO
AGO2,Ago2,AGO2
AGO3,Ago3,AGO3
AGPAT1,Agpat1,AGPAT1
AGPAT2,Agpat2,AGPAT2
AGPAT3,Agpat3,AGPAT3
AGPAT4,Agpat4,AGPAT4
AGPAT5,Agpat5,AGPAT5
AGPS,Agps,AGPS
AGR2,Agr2,AGR2
AGRN,Agrn,AGRN
AGRP,Agrp,AGRP
AGT,Agt,AGT
AGTPBP1,Agtpbp1,AGTPBP1
AGTR1,Agtr1b,AGTR1
AGTR2,Agtr2,AGTR2
AGXT,Agxt,AGXT
AGXT2,Agxt2,AGXT2
AHCTF1,Ahctf1,AHCTF1
AHCY,Ahcy,AHCY
AHCYL1,Ahcyl1,AHCYL1
AHCYL2,Ahcyl2,AHCYL2
AHDC1,Ahdc1,AHDC1
AHI1,Ahi1,AHI1
AHNAK,Ahnak,AHNAK
AHR,Ahr,AHR
AHRR,Ahrr,AHRR
AHSA1,Ahsa1,AHSA1
AHSG,Ahsg,AHSG
AHSP,Ahsp,AHSP
AICDA,Aicda,AICDA
AIDA,Aida,AIDA
AIF1,Aif1,AIF1
AIF1L,Aif1l,AIF1L
AIFM1,Aifm1,AIFM1
AIFM2,Aifm2,AIFM2
AIFM3,Aifm3,AIFM3
AIG1,Aig1,AIG1
AIMP1,Aimp1,AIMP1
AIMP2,Aimp2,AIMP2
AIP,Aip,AIP
AIPL1,Aipl1,AIPL1
AIRE,Aire,AIRE
AIRIM,Airim,AIRIM
AJAP1,Ajap1,AJAP1
AJM1,Ajm1,AJM1
AJUBA,Ajuba,AJUBA
AK1,Ak1,AK1
AK3,Ak3,AK3
AK5,Ak5,AK5
AK6,Ak6,AK6
AK7,Ak7,AK7
AK8,Ak8,AK8
AKAIN1,Akain1,AKAIN1
AKAP1,Akap1,AKAP1
AKAP10,Akap10,AKAP10
AKAP11,Akap11,AKAP11
AKAP12,Akap12,AKAP12
AKAP17A,Akap17a,AKAP17A
AKAP3,Akap3,AKAP3
AKAP4,Akap4,AKAP4
AKAP5,Akap5,AKAP5
AKAP6,Akap6,AKAP6
AKAP7,Akap7,AKAP7
AKAP8,Akap8,AKAP8
AKAP8L,Akap8l,AKAP8L
AKAP9,Akap9,AKAP9
AKIP1,Akip1,AKIP1
AKIRIN1,Akirin1,AKIRIN1
AKIRIN2,Akirin2,AKIRIN2
AKNA,Akna,AKNA
AKR1A1,Akr1a1,AKR1A1
AKR1B1,Akr1b1,AKR1B1
AKR1C4,Akr1c20,AKR1C8
AKR1D1,Akr1d1,AKR1D1
AKR1E2,Akr1e1,AKR1E2
AKR7L,Akr7a5,AKR7A2
AKT1,Akt1,AKT1
AKT1S1,Akt1s1,AKT1S1
AKT2,Akt2,AKT2
AKT3,Akt3,AKT3
AKTIP,Aktip,AKTIP
ALAD,Alad,ALAD
ALAS1,Alas1,ALAS1
ALAS2,Alas2,ALAS2
ALB,Alb,ALB
ALCAM,Alcam,ALCAM
ALDH16A1,Aldh16a1,ALDH16A1
ALDH18A1,Aldh18a1,ALDH18A1
ALDH1A1,Aldh1a1,ALDH1A1
ALDH1A2,Aldh1a2,ALDH1A2
ALDH1A3,Aldh1a3,ALDH1A3
ALDH1B1,Aldh1b1,ALDH1B1
ALDH1L1,Aldh1l1,ALDH1L1
ALDH1L2,Aldh1l2,ALDH1L2
ALDH2,Aldh2,ALDH2
ALDH3A1,Aldh3a1,ALDH3A1
ALDH3A2,Aldh3a2,ALDH3A2
ALDH3B2,Aldh3b2,ALDH3B2
ALDH4A1,Aldh4a1,ALDH4A1
ALDH5A1,Aldh5a1,ALDH5A1
ALDH6A1,Aldh6a1,ALDH6A1
ALDH7A1,Aldh7a1,ALDH7A1
ALDH8A1,Aldh8a1,ALDH8A1
ALDOA,Aldoa,ALDOA
ALDOB,Aldob,ALDOB
ALDOC,Aldoc,ALDOC
ALG11,Alg11,ALG11
ALG12,Alg12,ALG12
ALG13,Alg13,ALG13
ALG14,Alg14,ALG14
ALG2,Alg2,ALG2
ALG3,Alg3,ALG3
ALG5,Alg5,ALG5
ALG6,Alg6,ALG6
ALG8,Alg8,ALG8
ALG9,Alg9,ALG9
ALKAL1,Alkal1,ALKAL1
ALKAL2,Alkal2,ALKAL2
ALKBH1,Alkbh1,ALKBH1
ALKBH2,Alkbh2,ALKBH2
ALKBH3,Alkbh3,ALKBH3
ALKBH4,Alkbh4,ALKBH4
ALKBH5,Alkbh5,ALKBH5
ALKBH6,Alkbh6,ALKBH6
ALKBH7,Alkbh7,ALKBH7
ALKBH8,Alkbh8,ALKBH8
ALMS1,Alms1,ALMS1
ALOX12,Alox12,ALOX12
ALOX12B,Alox12b,ALOX12B
ALOX15,Alox15,ALOX15
ALOX5,Alox5,ALOX5
ALOX5AP,Alox5ap,ALOX5AP
ALOX15B,Alox8,ALOX15B
ALOXE3,Aloxe3,ALOXE3
ALPK1,Alpk1,ALPK1
ALPK2,Alpk2,ALPK2
ALPK3,Alpk3,ALPK3
ALPL,Alpl,ALPL
ALS2,Als2,ALS2
ALS2CL,Als2cl,ALS2CL
ALX1,Alx1,ALX1
ALX3,Alx3,ALX3
ALX4,Alx4,ALX4
ALYREF,Alyref,ALYREF
AMBN,Ambn,AMBN
AMBP,Ambp,AMBP
AMBRA1,Ambra1,AMBRA1
AMDHD1,Amdhd1,AMDHD1
AMDHD2,Amdhd2,AMDHD2
AMELX,Amelx,AMELY
AMER1,Amer1,AMER1
AMER2,Amer2,AMER2
AMER3,Amer3,AMER3
AMFR,Amfr,AMFR
AMH,Amh,AMH
AMHR2,Amhr2,AMHR2
AMIGO1,Amigo1,AMIGO1
AMIGO2,Amigo2,AMIGO2
AMIGO3,Amigo3,AMIGO3
AMMECR1,Ammecr1,AMMECR1
AMMECR1L,Ammecr1l,AMMECR1L
AMN,Amn,AMN
AMN1,Amn1,AMN1
AMOT,Amot,AMOT
AMOTL1,Amotl1,AMOTL1
AMOTL2,Amotl2,AMOTL2
AMPD1,Ampd1,AMPD1
AMPD2,Ampd2,AMPD2
AMPD3,Ampd3,AMPD3
AMPH,Amph,AMPH
AMT,Amt,AMT
AMTN,Amtn,AMTN
AMZ1,Amz1,AMZ1
AMZ2,Amz2,AMZ2
ANAPC1,Anapc1,ANAPC1
ANAPC10,Anapc10,ANAPC10
ANAPC13,Anapc13,ANAPC13
ANAPC15,Anapc15,ANAPC15
ANAPC16,Anapc16,ANAPC16
ANAPC2,Anapc2,ANAPC2
ANAPC4,Anapc4,ANAPC4
ANAPC5,Anapc5,ANAPC5
ANAPC7,Anapc7,ANAPC7
ANG,Ang,ANG
ANGEL1,Angel1,ANGEL1
ANGEL2,Angel2,ANGEL2
ANGPT1,Angpt1,ANGPT1
ANGPT2,Angpt2,ANGPT2
ANGPT4,Angpt4,ANGPT4
ANGPTL1,Angptl1,ANGPTL1
ANGPTL2,Angptl2,ANGPTL2
ANGPTL3,Angptl3,ANGPTL3
ANGPTL4,Angptl4,ANGPTL4
ANGPTL6,Angptl6,ANGPTL6
ANGPTL7,Angptl7,ANGPTL7
ANGPTL8,Angptl8,ANGPTL8
ANKH,Ank,ANKH
ANK1,Ank1,ANK1
ANK2,Ank2,ANK2
ANK3,Ank3,ANK3
ANKAR,Ankar,ANKAR
ANKDD1A,Ankdd1a,ANKDD1A
ANKDD1B,Ankdd1b,ANKDD1B
ANKEF1,Ankef1,ANKEF1
ANKFN1,Ankfn1,ANKFN1
ANKFY1,Ankfy1,ANKFY1
ANKHD1,Ankhd1,ANKHD1
ANKIB1,Ankib1,ANKIB1
ANKLE1,Ankle1,ANKLE1
ANKLE2,Ankle2,ANKLE2
ANKMY1,Ankmy1,ANKMY1
ANKMY2,Ankmy2,ANKMY2
ANKRA2,Ankra2,ANKRA2
ANKRD1,Ankrd1,ANKRD1
ANKRD10,Ankrd10,ANKRD10
ANKRD11,Ankrd11,ANKRD11
ANKRD12,Ankrd12,ANKRD12
ANKRD13A,Ankrd13a,ANKRD13A
ANKRD13B,Ankrd13b,ANKRD13B
ANKRD13C,Ankrd13c,ANKRD13C
ANKRD13D,Ankrd13d,ANKRD13D
ANKRD16,Ankrd16,ANKRD16
ANKRD17,Ankrd17,ANKRD17
ANKRD2,Ankrd2,ANKRD2
ANKRD22,Ankrd22,ANKRD22
ANKRD23,Ankrd23,ANKRD23
ANKRD27,Ankrd27,ANKRD27
ANKRD28,Ankrd28,ANKRD28
ANKRD29,Ankrd29,ANKRD29
ANKRD31,Ankrd31,ANKRD31
ANKRD33B,Ankrd33b,ANKRD33B
