microcebus gene name,human gene name
CABP7,CABP7
DRG1,DRG1
LSM8,LSM8
UBL5,UBL5
DDA1,DDA1
TUBG2,TUBG2
MIR592,MIR592
MIR34C,MIR34C
MIR19B1,MIR19B1
DIPK1A,DIPK1A
UBE2E3,UBE2E3
RPL9,RPL9
RPL27,RPL27
CHMP4B,CHMP4B
TAFA2,TAFA2
RAB1A,RAB1A
CUL1,CUL1
LIN7C,LIN7C
SEC61B,SEC61B
ASF1A,ASF1A
ARF6,ARF6
ACTR2,ACTR2
PPP6C,PPP6C
LMO1,LMO1
PHB1,PHB1
KAT7,KAT7
RAP2C,RAP2C
UBE2M,UBE2M
SMAD3,SMAD3
PABPC1,PABPC1
RPL23,RPL23
BEND5,BEND5
DYNLL1,DYNLL1
YPEL5,YPEL5
ZMAT2,ZMAT2
HMBOX1,HMBOX1
LSM7,LSM7
CTXN1,CTXN1
SMC3,SMC3
ZNF664,ZNF664
NKAIN1,NKAIN1
OAZ2,OAZ2
ABRACL,ABRACL
ERH,ERH
RAB1B,RAB1B
UBE2A,UBE2A
MYL12B,MYL12B
HAND2,HAND2
GABRB2,GABRB2
ACTC1,ACTC1
YWHAQ,YWHAQ
OARD1,OARD1
CAMK2N1,CAMK2N1
EEF1A2,EEF1A2
TAX1BP3,TAX1BP3
RNF41,RNF41
MSI1,MSI1
MOB1B,MOB1B
TMSB10,TMSB10
RMND5A,RMND5A
NAA20,NAA20
AP3S1,AP3S1
UFM1,UFM1
COPS8,COPS8
SNAP25,SNAP25
EMC3,EMC3
ANAPC16,ANAPC16
SRSF10,SRSF10
SRSF3,SRSF3
TIMM8A,TIMM8A
FOXB1,FOXB1
RBM22,RBM22
MOSMO,MOSMO
TSN,TSN
NKIRAS2,NKIRAS2
DDX39B,DDX39B
UBA52,UBA52
STMN2,STMN2
SNX3,SNX3
BTF3L4,BTF3L4
SSBP3,SSBP3
PTMS,PTMS
DCAF7,DCAF7
SEC11A,SEC11A
SERP2,SERP2
ARL8B,ARL8B
PSMA5,PSMA5
PBX3,PBX3
CTDNEP1,CTDNEP1
STX1B,STX1B
PPP2CA,PPP2CA
NUTF2,NUTF2
ARL8A,ARL8A
KCTD6,KCTD6
RAB11A,RAB11A
ARF5,ARF5
NFYA,NFYA
LSM6,LSM6
ANAPC10,ANAPC10
PHF5A,PHF5A
FAM168B,FAM168B
ZNRF1,ZNRF1
PFDN2,PFDN2
ARPC2,ARPC2
GABARAP,GABARAP
TRAPPC6B,TRAPPC6B
LMO4,LMO4
TUBA4A,TUBA4A
BRMS1L,BRMS1L
COPS3,COPS3
YWHAG,YWHAG
RPRD1B,RPRD1B
EIF1,EIF1
RND3,RND3
TFCP2,TFCP2
RAB14,RAB14
TSPAN5,TSPAN5
ELAVL1,ELAVL1
MFAP1,MFAP1
PI15,PI15
NSA2,NSA2
RPS3,RPS3
SF3B6,SF3B6
RPL8,RPL8
PKIA,PKIA
NDFIP1,NDFIP1
ISL1,ISL1
CA10,CA10
PELI1,PELI1
UBE2H,UBE2H
GNG10,GNG10
SMAD2,SMAD2
LIN7B,LIN7B
ZFAND3,ZFAND3
MED21,MED21
RPS16,RPS16
RPS29,RPS29
UBE2D2,UBE2D2
RAB4A,RAB4A
CDK8,CDK8
PRPF19,PRPF19
DYNLL2,DYNLL2
SNRPF,SNRPF
TUBB4B,TUBB4B
OTP,OTP
ACTR1A,ACTR1A
TUBA1A,TUBA1A
SMIM15,SMIM15
BANF1,BANF1
TBPL1,TBPL1
CSRP2,CSRP2
HAPSTR1,HAPSTR1
CDC42,CDC42
ARPC5,ARPC5
SNRPA1,SNRPA1
LYPLA2,LYPLA2
RPL30,RPL30
CACNG7,CACNG7
ZC4H2,ZC4H2
FGF10,FGF10
ZNF207,ZNF207
UBE2B,UBE2B
MAX,MAX
PPP2R5E,PPP2R5E
SPCS3,SPCS3
PPP2CB,PPP2CB
SUMO1,SUMO1
RAC3,RAC3
TUBG1,TUBG1
RPL19,RPL19
UBE2R2,UBE2R2
RAB30,RAB30
MPPED2,MPPED2
AP1S1,AP1S1
CALM3,CALM3
RPLP1,RPLP1
RPS9,RPS9
SNRPD1,SNRPD1
ZNF706,ZNF706
ASB7,ASB7
SSBP2,SSBP2
RPS13,RPS13
DPY30,DPY30
SUB1,SUB1
EIF4A1,EIF4A1
MARCHF5,MARCHF5
H2BC5,H2BC5
SNRPD3,SNRPD3
MAB21L1,MAB21L1
RHOA,RHOA
SMIM18,SMIM18
UBE2G2,UBE2G2
RBX1,RBX1
EDF1,EDF1
RPS10,RPS10
NCALD,NCALD
TIMM10,TIMM10
PSMD11,PSMD11
ATG101,ATG101
RPS18,RPS18
RAB39B,RAB39B
JAZF1,JAZF1
DAD1,DAD1
BUD31,BUD31
DSTN,DSTN
SRSF2,SRSF2
GRB2,GRB2
GMFB,GMFB
CNIH2,CNIH2
RAP2B,RAP2B
ELOC,ELOC
VCP,VCP
ID4,ID4
RAB10,RAB10
UHMK1,UHMK1
CCNC,CCNC
RPS21,RPS21
COPZ1,COPZ1
DNAL4,DNAL4
CTNNBIP1,CTNNBIP1
EMX2,EMX2
RPS15A,RPS15A
HDAC3,HDAC3
SKP1,SKP1
POLR2I,POLR2I
YWHAB,YWHAB
POLR2H,POLR2H
EIF4A2,EIF4A2
RPL35A,RPL35A
CKS1B,CKS1B
RPS28,RPS28
SNX24,SNX24
PCNA,PCNA
CWC15,CWC15
RPS3A,RPS3A
CLTC,CLTC
TIMM17A,TIMM17A
UBE2E2,UBE2E2
UBE2E1,UBE2E1
CTNNB1,CTNNB1
EIF5A2,EIF5A2
FGF9,FGF9
SPOP,SPOP
GNG12,GNG12
METTL9,METTL9
RPS25,RPS25
GNAQ,GNAQ
SEC22B,SEC22B
RPS7,RPS7
ZDHHC17,ZDHHC17
SMARCD3,SMARCD3
RPL7A,RPL7A
BLCAP,BLCAP
POLR2L,POLR2L
GNG3,GNG3
MACROH2A1,MACROH2A1
LAMTOR2,LAMTOR2
SOX14,SOX14
TMEM258,TMEM258
UBE2G1,UBE2G1
BTG1,BTG1
RPS14,RPS14
ARPC1A,ARPC1A
MYL9,MYL9
EIF1B,EIF1B
GNB4,GNB4
DCUN1D1,DCUN1D1
CAMK2N2,CAMK2N2
MIR326,MIR326
SNRPB2,SNRPB2
MIR485,MIR485
MIR9-1,MIR9-1
PCBP1,PCBP1
MIR135A2,MIR135A2
MIR377,MIR377
MIR495,MIR495
MIR3074,MIR3074
VPS26B,VPS26B
PRPF38A,PRPF38A
MIR96,MIR96
RHOB,RHOB
MIR148A,MIR148A
MIR92A1,MIR92A1
MIR365A,MIR365A
BUB3,BUB3
MIR145,MIR145
MIR197,MIR197
MIRLET7A1,MIRLET7A1
YPEL2,YPEL2
CNEP1R1,CNEP1R1
BCAS2,BCAS2
MIR30C1,MIR30C1
H3C14,H3C14
MIR103A1,MIR103A1
MIR1-2,MIR1-2
H2AC6,H2AC6
NR2F2,NR2F2
MIR103A2,MIR103A2
MIR346,MIR346
PSMA4,PSMA4
MIRLET7E,MIRLET7E
MIRLET7I,MIRLET7I
MIR196B,MIR196B
RPLP0,RPLP0
MIR761,MIR761
VSNL1,VSNL1
LASP1NB,LASP1NB
HDGFL3,HDGFL3
MIR15A,MIR15A
MIR382,MIR382
SNRPN,SNRPN
MIR411,MIR411
MAPK1,MAPK1
SMAD5,SMAD5
TFAP2B,TFAP2B
AMMECR1L,AMMECR1L
MIR1282,MIR1282
H2AZ1,H2AZ1
MIR99B,MIR99B
OST4,OST4
MIR139,MIR139
MIR301A,MIR301A
MIR26B,MIR26B
NRARP,NRARP
SPIN1,SPIN1
MIRLET7F1,MIRLET7F1
U2,U2
MIRLET7C,MIRLET7C
RNU6-1,RNU6-1
H2AC20,H2AC20
MIR26A1,MIR26A1
MIR129-1,MIR129-1
PRPF8,PRPF8
HNRNPL,HNRNPL
POLR3B,POLR3B
IPO7,IPO7
CELF3,CELF3
TNPO3,TNPO3
AGO3,AGO3
NR2F1,NR2F1
HNRNPA1,HNRNPA1
RPS6KA3,RPS6KA3
SNRNP200,SNRNP200
RTF1,RTF1
MACO1,MACO1
PITX2,PITX2
LRRC4C,LRRC4C
FEM1C,FEM1C
CAND1,CAND1
MSL1,MSL1
MMP16,MMP16
BTRC,BTRC
KLHL24,KLHL24
ENC1,ENC1
KLHL7,KLHL7
KCNC1,KCNC1
DDB1,DDB1
FZD2,FZD2
HNRNPLL,HNRNPLL
FYN,FYN
PIK3CA,PIK3CA
CDC73,CDC73
AHCYL1,AHCYL1
RPS6KB1,RPS6KB1
SUPT16H,SUPT16H
OGT,OGT
KPNA4,KPNA4
SMARCD1,SMARCD1
NOVA1,NOVA1
RTCB,RTCB
SP9,SP9
WDR13,WDR13
DDX6,DDX6
KIF5C,KIF5C
COPB1,COPB1
CTNNA2,CTNNA2
LIN7A,LIN7A
STK38,STK38
RARA,RARA
METTL14,METTL14
TUBB3,TUBB3
ZBTB14,ZBTB14
RARB,RARB
GRIA3,GRIA3
EIF3E,EIF3E
SPRYD3,SPRYD3
GRIA2,GRIA2
ZBTB26,ZBTB26
RBMS3,RBMS3
HECTD1,HECTD1
CSTF1,CSTF1
PBX1,PBX1
ACTL6A,ACTL6A
ACTL6B,ACTL6B
SF3B4,SF3B4
HNRNPR,HNRNPR
FBXL2,FBXL2
SYT1,SYT1
UBE2Q1,UBE2Q1
PARP6,PARP6
BZW2,BZW2
AP3M1,AP3M1
YY1,YY1
PTEN,PTEN
NF2,NF2
ACTR6,ACTR6
UGCG,UGCG
ALKBH5,ALKBH5
PPP2R1A,PPP2R1A
MAP2K1,MAP2K1
SEPHS1,SEPHS1
CPSF2,CPSF2
PAX5,PAX5
CSNK2A1,CSNK2A1
CUL3,CUL3
UBTF,UBTF
NCKAP1,NCKAP1
PHYHIPL,PHYHIPL
EIF3M,EIF3M
SMURF2,SMURF2
GPR173,GPR173
MACROH2A2,MACROH2A2
WNT1,WNT1
SATB2,SATB2
PHF6,PHF6
DRG2,DRG2
CTCF,CTCF
ELMO1,ELMO1
NAA35,NAA35
MAPK14,MAPK14
ARL5B,ARL5B
ST8SIA4,ST8SIA4
FUT9,FUT9
CSTF3,CSTF3
CNOT4,CNOT4
CNBP,CNBP
GNAI1,GNAI1
WNT4,WNT4
GET3,GET3
IPO9,IPO9
PRPF3,PRPF3
CAB39,CAB39
TBR1,TBR1
RDH10,RDH10
PDIK1L,PDIK1L
GNB1,GNB1
NAA50,NAA50
RNF2,RNF2
MIB1,MIB1
AMD1,AMD1
PPP1CA,PPP1CA
RNF121,RNF121
B3GALT1,B3GALT1
SIAH2,SIAH2
CACNG2,CACNG2
UBLCP1,UBLCP1
DEDD,DEDD
PRPS2,PRPS2
GTF2B,GTF2B
POLR3F,POLR3F
CACNG3,CACNG3
NCBP2,NCBP2
UFD1,UFD1
DDX5,DDX5
AIDA,AIDA
DCUN1D3,DCUN1D3
CTNNA1,CTNNA1
NR4A2,NR4A2
PHB2,PHB2
CNOT9,CNOT9
PRKCI,PRKCI
NAPB,NAPB
INTS3,INTS3
CNKSR2,CNKSR2
CAMK2G,CAMK2G
STIMATE,STIMATE
CNOT8,CNOT8
MSL2,MSL2
TRA2B,TRA2B
TXNL4A,TXNL4A
KLHL12,KLHL12
SIX1,SIX1
NLGN3,NLGN3
TRA2A,TRA2A
MAPRE3,MAPRE3
ING2,ING2
VPS16,VPS16
WASF1,WASF1
IK,IK
GPM6A,GPM6A
PLP1,PLP1
STT3B,STT3B
KAT5,KAT5
CTDSP2,CTDSP2
CPSF4,CPSF4
VPS35,VPS35
HOXC4,HOXC4
CDK17,CDK17
FAM78B,FAM78B
CACNB4,CACNB4
SOX1,SOX1
HOXC9,HOXC9
KCTD21,KCTD21
LRRC3B,LRRC3B
STAT3,STAT3
TRIM27,TRIM27
DLX1,DLX1
YWHAE,YWHAE
ACTB,ACTB
KCNJ3,KCNJ3
EZH2,EZH2
TAOK1,TAOK1
HOXB9,HOXB9
EXT1,EXT1
PSMA7,PSMA7
NOVA2,NOVA2
MB21D2,MB21D2
ELAVL3,ELAVL3
CAMK2A,CAMK2A
HOXB8,HOXB8
CPEB4,CPEB4
HOXC8,HOXC8
KCNS2,KCNS2
TMEM127,TMEM127
MMD,MMD
U2AF2,U2AF2
DCUN1D5,DCUN1D5
NF1,NF1
EXOC5,EXOC5
HOXC6,HOXC6
CDK14,CDK14
SOX10,SOX10
GFPT1,GFPT1
SMAD1,SMAD1
KDM2A,KDM2A
NOG,NOG
IL1RAPL1,IL1RAPL1
GRIK3,GRIK3
ARMH3,ARMH3
PRKG1,PRKG1
ACTN1,ACTN1
NUDT21,NUDT21
SPAG7,SPAG7
ZMYND19,ZMYND19
PSMD2,PSMD2
SERINC1,SERINC1
TMEM98,TMEM98
GRIA4,GRIA4
ARMC8,ARMC8
TCF4,TCF4
MYH10,MYH10
RBM14,RBM14
SOS1,SOS1
STEEP1,STEEP1
HOXC5,HOXC5
CHMP2A,CHMP2A
KLHDC10,KLHDC10
RAB3A,RAB3A
IPO5,IPO5
POLR3GL,POLR3GL
UBAP2L,UBAP2L
VTI1A,VTI1A
EIF4E,EIF4E
FGF17,FGF17
MOB1A,MOB1A
RAB5B,RAB5B
KCNK12,KCNK12
DIPK2A,DIPK2A
KCNJ2,KCNJ2
SOX2,SOX2
ZFAND5,ZFAND5
MTOR,MTOR
PRMT5,PRMT5
TIMP3,TIMP3
MAD2L2,MAD2L2
PITHD1,PITHD1
RBM25,RBM25
POLR2E,POLR2E
STXBP6,STXBP6
PPP3CB,PPP3CB
GLTP,GLTP
FEM1B,FEM1B
SCN8A,SCN8A
TMEM63B,TMEM63B
MED18,MED18
PURB,PURB
SAMD8,SAMD8
RAB8A,RAB8A
NFYB,NFYB
RAB8B,RAB8B
CNOT1,CNOT1
SUV39H1,SUV39H1
DNAJA2,DNAJA2
MAD2L1,MAD2L1
PSMB3,PSMB3
DDX23,DDX23
CDK5R1,CDK5R1
RBM5,RBM5
SP8,SP8
SNX6,SNX6
LHX1,LHX1
SSRP1,SSRP1
MAP3K7,MAP3K7
PGAP4,PGAP4
RPL3,RPL3
GTPBP2,GTPBP2
POU3F3,POU3F3
RRAGC,RRAGC
SAR1A,SAR1A
FCF1,FCF1
DNAJC5,DNAJC5
GATAD2B,GATAD2B
DIP2B,DIP2B
GRIK5,GRIK5
RGP1,RGP1
LSM12,LSM12
CHP1,CHP1
KCTD9,KCTD9
CELF4,CELF4
SSU72,SSU72
RAB22A,RAB22A
CFAP20,CFAP20
IGF2BP3,IGF2BP3
HPCAL1,HPCAL1
RHOC,RHOC
NR2E1,NR2E1
MSN,MSN
SPPL3,SPPL3
RNF185,RNF185
STRBP,STRBP
RHOG,RHOG
DUSP6,DUSP6
NCS1,NCS1
RBM18,RBM18
WNT5A,WNT5A
CLCN4,CLCN4
ST8SIA3,ST8SIA3
HRAS,HRAS
RNF220,RNF220
NRXN1,NRXN1
PRADC1,PRADC1
TRIM3,TRIM3
SV2A,SV2A
PPP4R3A,PPP4R3A
GTF2H4,GTF2H4
DCLK1,DCLK1
CNOT6L,CNOT6L
USP12,USP12
FAM219A,FAM219A
HAS3,HAS3
ARL2,ARL2
RAP1B,RAP1B
DUSP1,DUSP1
PUM1,PUM1
C5H11orf58,C11orf58
RAP2A,RAP2A
EMC4,EMC4
PCBP2,PCBP2
EIF3D,EIF3D
SLC25A28,SLC25A28
SRSF5,SRSF5
PDAP1,PDAP1
TRAPPC3,TRAPPC3
GMPPB,GMPPB
ELMO2,ELMO2
TNPO2,TNPO2
PTBP2,PTBP2
DNAJB11,DNAJB11
TCF21,TCF21
HS2ST1,HS2ST1
PCNP,PCNP
NEUROD1,NEUROD1
RFC3,RFC3
GNAZ,GNAZ
KLHL11,KLHL11
PCDH9,PCDH9
DR1,DR1
GNAT1,GNAT1
DHX8,DHX8
CHD4,CHD4
POLR3A,POLR3A
MEX3A,MEX3A
USF2,USF2
QRICH1,QRICH1
LGALSL,LGALSL
POLR2G,POLR2G
KIF5A,KIF5A
AGO4,AGO4
TRIB2,TRIB2
IMPDH2,IMPDH2
ACVR2A,ACVR2A
NSG2,NSG2
PPFIA3,PPFIA3
DMC1,DMC1
DYRK1A,DYRK1A
NEUROD6,NEUROD6
FBXO11,FBXO11
PRKCA,PRKCA
DESI1,DESI1
DAZAP2,DAZAP2
MIR491,MIR491
MIR138-2,MIR138-2
PPFIA2,PPFIA2
DCAF1,DCAF1
CGGBP1,CGGBP1
MAP2K6,MAP2K6
TMEM229B,TMEM229B
TMEM35A,TMEM35A
MID1,MID1
PRPF31,PRPF31
DOK6,DOK6
KCNH5,KCNH5
SUDS3,SUDS3
PUM2,PUM2
BARHL1,BARHL1
CIAO2B,CIAO2B
MLST8,MLST8
SPTBN1,SPTBN1
CDK6,CDK6
EIF3I,EIF3I
PLPPR1,PLPPR1
PSMD7,PSMD7
LRRC8A,LRRC8A
PPIL3,PPIL3
TNNC1,TNNC1
TWIST2,TWIST2
MVB12B,MVB12B
SEC61A2,SEC61A2
TMEM50B,TMEM50B
NCBP1,NCBP1
UXT,UXT
NUDCD2,NUDCD2
YPEL3,YPEL3
PRKRA,PRKRA
SSTR1,SSTR1
RPRD1A,RPRD1A
MIR874,MIR874
CTDSPL2,CTDSPL2
ONECUT1,ONECUT1
KLHL9,KLHL9
TOMM40L,TOMM40L
PFDN5,PFDN5
CHRM1,CHRM1
CSDC2,CSDC2
ARPC5L,ARPC5L
ORMDL1,ORMDL1
AHCYL2,AHCYL2
SKIC8,SKIC8
RNPS1,RNPS1
BRINP1,BRINP1
BMPR1A,BMPR1A
FIGN,FIGN
LINGO2,LINGO2
NEK7,NEK7
TBX15,TBX15
KIF3B,KIF3B
TBX20,TBX20
KIF2A,KIF2A
TMEM178A,TMEM178A
FAF2,FAF2
MTF2,MTF2
TUBGCP4,TUBGCP4
TMEM178B,TMEM178B
MKLN1,MKLN1
SGF29,SGF29
APPBP2,APPBP2
IRF2BP1,IRF2BP1
TLX3,TLX3
NXN,NXN
CA8,CA8
TRAPPC1,TRAPPC1
DHX15,DHX15
MIRLET7A2,MIRLET7A2
TRNAU1AP,TRNAU1AP
EEF2,EEF2
H2AX,H2AX
POLR2D,POLR2D
TBCEL,TBCEL
STUM,STUM
EPHB1,EPHB1
USP15,USP15
ERG28,ERG28
HES1,HES1
UBR5,UBR5
ZNF362,ZNF362
KLHL14,KLHL14
SYT2,SYT2
IKZF5,IKZF5
EFTUD2,EFTUD2
ACTR3B,ACTR3B
CYFIP1,CYFIP1
SEC23A,SEC23A
LSM4,LSM4
PIP4K2B,PIP4K2B
ARRDC3,ARRDC3
SOX21,SOX21
TOB1,TOB1
ATG5,ATG5
SNORD94,SNORD94
CNOT2,CNOT2
JAKMIP2,JAKMIP2
MEIS2,MEIS2
HSPA9,HSPA9
NRBP1,NRBP1
BRPF1,BRPF1
NXPH1,NXPH1
PLPP4,PLPP4
WDTC1,WDTC1
XPO4,XPO4
LHX2,LHX2
PRKAB1,PRKAB1
KPNA1,KPNA1
RIMS4,RIMS4
FZD4,FZD4
ID2,ID2
KLF12,KLF12
DMAP1,DMAP1
WDFY2,WDFY2
LSM1,LSM1
SEC62,SEC62
ZNF800,ZNF800
ZBTB18,ZBTB18
RCBTB1,RCBTB1
DCAF8,DCAF8
APH1A,APH1A
CEP76,CEP76
GNB5,GNB5
CDH10,CDH10
KCND3,KCND3
MED31,MED31
CDH7,CDH7
SP4,SP4
KPNA3,KPNA3
USP7,USP7
ALDH1A2,ALDH1A2
KCTD4,KCTD4
EGR3,EGR3
RHOU,RHOU
H2AJ,H2AJ
FRG1,FRG1
COPS2,COPS2
CCNJ,CCNJ
DYNC1I2,DYNC1I2
C1QL3,C1QL3
B4GALT6,B4GALT6
HIPK1,HIPK1
PHLDA3,PHLDA3
KCMF1,KCMF1
CLIC4,CLIC4
DNAJC8,DNAJC8
TRIM46,TRIM46
ATF2,ATF2
PPP1R11,PPP1R11
H2BC26,H2BC26
GRID2,GRID2
XPO6,XPO6
SBDS,SBDS
KBTBD2,KBTBD2
TSPAN7,TSPAN7
PSME1,PSME1
GLRB,GLRB
EIF4H,EIF4H
PRPSAP2,PRPSAP2
DOCK3,DOCK3
SIX6,SIX6
YWHAH,YWHAH
ANKH,ANKH
ABTB3,ABTB3
AGO1,AGO1
PPTC7,PPTC7
PRRX1,PRRX1
COPA,COPA
CSE1L,CSE1L
TRPC1,TRPC1
FGF8,FGF8
KLF9,KLF9
TMEM39A,TMEM39A
SF3A1,SF3A1
SMAD7,SMAD7
MEOX2,MEOX2
NAA60,NAA60
KIF3A,KIF3A
C1orf21,C1orf21
G3BP2,G3BP2
HDAC1,HDAC1
VPS52,VPS52
ANKRD28,ANKRD28
XPOT,XPOT
PPM1L,PPM1L
TMEM230,TMEM230
EIF4EBP2,EIF4EBP2
GALNT17,GALNT17
ING3,ING3
THBS3,THBS3
DERL2,DERL2
GAN,GAN
ETV1,ETV1
PTPN11,PTPN11
HSPA5,HSPA5
BORCS8,BORCS8
ATP6V1F,ATP6V1F
TRIM62,TRIM62
RAB33A,RAB33A
UBE2Z,UBE2Z
FBXO32,FBXO32
HOMER1,HOMER1
ATP6V1G1,ATP6V1G1
PKNOX2,PKNOX2
NEGR1,NEGR1
MTPN,MTPN
SNX17,SNX17
GABARAPL2,GABARAPL2
CCNL1,CCNL1
CSNK2A2,CSNK2A2
MED7,MED7
SLITRK1,SLITRK1
LRRTM1,LRRTM1
CDK2AP1,CDK2AP1
UCHL3,UCHL3
RPLP2,RPLP2
LMX1B,LMX1B
ZBTB12,ZBTB12
C6orf62,C6orf62
RRAGD,RRAGD
GPAT4,GPAT4
GID8,GID8
MARCHF6,MARCHF6
CDH11,CDH11
SF3B1,SF3B1
HACE1,HACE1
MYO1B,MYO1B
RND2,RND2
GABPA,GABPA
MLLT3,MLLT3
PHF21A,PHF21A
EI24,EI24
PPP2R3C,PPP2R3C
GLRA2,GLRA2
DPYSL5,DPYSL5
ZFP36L1,ZFP36L1
POU4F3,POU4F3
MARK2,MARK2
ABHD13,ABHD13
GRID1,GRID1
GALNT1,GALNT1
WDR33,WDR33
MTA2,MTA2
SIX3,SIX3
GPC6,GPC6
AMMECR1,AMMECR1
SRSF9,SRSF9
SMAD4,SMAD4
DDX3X,DDX3X
TRIM8,TRIM8
MIR204,MIR204
MIR199A2,MIR199A2
MIR196A2,MIR196A2
EMC6,EMC6
POU2F1,POU2F1
MIOS,MIOS
ARHGAP42,ARHGAP42
GTF2A2,GTF2A2
FOSL2,FOSL2
CLDN9,CLDN9
NAA15,NAA15
RAB5C,RAB5C
FKBP1B,FKBP1B
MOB3B,MOB3B
KPNA5,KPNA5
BMP7,BMP7
MAFB,MAFB
NCK1,NCK1
RAB5A,RAB5A
PBX2,PBX2
BTBD1,BTBD1
SRGAP2,SRGAP2
MTCP1,MTCP1
PLCXD3,PLCXD3
FBXL3,FBXL3
HMGA1,HMGA1
CCT2,CCT2
EZH1,EZH1
LDB2,LDB2
RBM42,RBM42
CHRM4,CHRM4
FBXO8,FBXO8
IQSEC2,IQSEC2
KCNJ8,KCNJ8
PACSIN3,PACSIN3
RAB15,RAB15
RPL36AL,RPL36AL
WDR83OS,WDR83OS
MGAT5,MGAT5
ZBTB20,ZBTB20
TADA2B,TADA2B
DYRK1B,DYRK1B
TMEM248,TMEM248
ARRB1,ARRB1
SS18,SS18
MAPKAP1,MAPKAP1
BTBD3,BTBD3
CSNK1E,CSNK1E
NKAIN2,NKAIN2
INIP,INIP
MRAS,MRAS
PKP4,PKP4
SIKE1,SIKE1
FGF18,FGF18
KLHL32,KLHL32
KCNT2,KCNT2
SMIM32,SMIM32
RALA,RALA
TRIM2,TRIM2
RNF38,RNF38
ATP6V1A,ATP6V1A
CRYBB2,CRYBB2
ARCN1,ARCN1
KHDC4,KHDC4
PRRT1,PRRT1
LSM3,LSM3
EXOC6B,EXOC6B
TLN2,TLN2
AKIRIN2,AKIRIN2
RAB24,RAB24
RASL10B,RASL10B
PAX8,PAX8
GALNT18,GALNT18
PSENEN,PSENEN
CDK4,CDK4
CCDC85B,CCDC85B
GRM8,GRM8
INTS13,INTS13
PITX3,PITX3
TMED2,TMED2
RAB9B,RAB9B
BACE1,BACE1
POU3F1,POU3F1
PPP2R5D,PPP2R5D
MIR140,MIR140
ARL4A,ARL4A
PDS5B,PDS5B
CALM1,CALM1
GLRA1,GLRA1
RERG,RERG
ING4,ING4
GOLPH3,GOLPH3
ACTN2,ACTN2
XPO7,XPO7
PLAGL2,PLAGL2
ARK2C,ARK2C
