mice gene name,pig gene name
Lsm12,LSM12
Serp2,SERP2
Actb,ACTB
Btf3l4,BTF3L4
Romo1,ROMO1
Rps28,RPS28
Rps14,RPS14
Rps18,RPS18
Rnd3,RND3
Blcap,BLCAP
Camk2a,CAMK2A
Rps7,RPS7
Prpf8,PRPF8
Polr2a,POLR2A
Dcaf7,DCAF7
Prps1,PRPS1
Klhl10,KLHL10
Kcnc1,KCNC1
Ebf2,EBF2
Nfib,NFIB
Nlk,NLK
Srsf10,SRSF10
Nova1,NOVA1
Emx2,EMX2
Srp54a,SRP54
Ap2b1,AP2B1
U2af2,U2AF2
Trim62,TRIM62
Hnrnpk,HNRNPK
Psmc2,PSMC2
Cstf1,CSTF1
Pou4f1,POU4F1
Peli1,PELI1
Nr2f2,NR2F2
Lhx1,LHX1
Cdk9,CDK9
Grm7,GRM7
Ube2z,UBE2Z
Ogt,OGT
Get3,GET3
Pdik1l,PDIK1L
Taok1,TAOK1
Ppp1ca,PPP1CA
B3galt1,B3GALT1
Brms1l,BRMS1L
Lrrc4c,LRRC4C
Gtf2b,GTF2B
Ppp2ca,PPP2CA
Mpped2,MPPED2
Cpsf6,CPSF6
Abhd17b,ABHD17B
Cnot7,CNOT7
Psmd11,PSMD11
Bcl11a,BCL11A
Sox21,SOX21
Phb1,PHB1
Otub1,OTUB1
Tspan5,TSPAN5
Dhx15,DHX15
Vangl2,VANGL2
Elavl2,ELAVL2
Lrrc3b,LRRC3B
H2az1,H2AZ1
Pgam1,PGAM1
Psma6,PSMA6
Hdac2,HDAC2
Klhl20,KLHL20
Smarcd3,SMARCD3
Hoxc6,HOXC6
Pafah1b2,PAFAH1B2
Efna5,EFNA5
Yeats4,YEATS4
Zc4h2,ZC4H2
Tmem147,TMEM147
Steep1,STEEP1
Srsf2,SRSF2
Spryd3,SPRYD3
Grb2,GRB2
Hand2,HAND2
Septin11,SEPTIN11
Sf3b4,SF3B4
Klhl14,KLHL14
Kcnd2,KCND2
Uhmk1,UHMK1
Pip4k2b,PIP4K2B
Ddb1,DDB1
Nfyb,NFYB
Eif4a3,EIF4A3
Rhoq,RHOQ
Cops4,COPS4
Mib1,MIB1
Zmat2,ZMAT2
Sar1a,SAR1A
Tle5,TLE5
Enc1,ENC1
Tex261,TEX261
Ilf2,ILF2
Snrnp200,SNRNP200
Sp9,SP9
Rhoa,RHOA
Babam2,BABAM2
Mir22,MIR22
Nras,NRAS
Trappc5,TRAPPC5
Smurf2,SMURF2
Gpr173,GPR173
Anapc10,ANAPC10
Pcyt1b,PCYT1B
Tfap2b,TFAP2B
Drg1,DRG1
Satb2,SATB2
Rap2a,RAP2A
Rap2c,RAP2C
Dctn5,DCTN5
Pabpc1,PABPC1
Gnat1,GNAT1
Prpf4,PRPF4
Hnrnph3,HNRNPH3
Btg1,BTG1
Ebf1,EBF1
Pou4f3,POU4F3
Rtcb,RTCB
Prkcb,PRKCB
Cfl2,CFL2
Maco1,MACO1
Chic2,CHIC2
Bub3,BUB3
Rprd1b,RPRD1B
Foxb1,FOXB1
Mafg,MAFG
Tmem121,TMEM121
Rnf41,RNF41
Det1,DET1
Phox2b,PHOX2B
Fem1c,FEM1C
Rnf11,RNF11
Tbr1,TBR1
Pou3f1,POU3F1
Zbtb14,ZBTB14
Nr4a2,NR4A2
Memo1,MEMO1
Sv2a,SV2A
Tmem178b,TMEM178B
Mfap1a,MFAP1
Kpnb1,KPNB1
Cnot8,CNOT8
Cand1,CAND1
Eif1ax,EIF1AX
Six1,SIX1
Kcnj6,KCNJ6
Fbxw11,FBXW11
Hnrnpr,HNRNPR
Mapre3,MAPRE3
Nkain1,NKAIN1
Crabp1,CRABP1
Tmem203,TMEM203
Hoxb5,HOXB5
Fyn,FYN
Cplx2,CPLX2
Tmem60,TMEM60
Rbm39,RBM39
Hoxc4,HOXC4
Rps3a1,RPS3A
Leprotl1,LEPROTL1
Ppp3ca,PPP3CA
Emc3,EMC3
Uck2,UCK2
Cstf3,CSTF3
Kctd21,KCTD21
H2ac21,H2AC21
Hoxa13,HOXA13
Nr2e1,NR2E1
Cdk2ap2,CDK2AP2
Marchf3,MARCHF3
Polr3b,POLR3B
Sf3a3,SF3A3
Kcnj3,KCNJ3
Bloc1s1,BLOC1S1
Lamtor2,LAMTOR2
Tmeff2,TMEFF2
Eif3m,EIF3M
Lingo1,LINGO1
Ephb2,EPHB2
Rae1,RAE1
Ddx39b,DDX39B
Ctdnep1,CTDNEP1
Map3k7,MAP3K7
Map1lc3a,MAP1LC3A
Cacnb3,CACNB3
Klhl15,KLHL15
Grin1,GRIN1
Ankrd52,ANKRD52
Ptbp2,PTBP2
Atp6v1f,ATP6V1F
Ssna1,SSNA1
Kctd6,KCTD6
Wnt3,WNT3
Zranb1,ZRANB1
Cpsf7,CPSF7
Pcbp2,PCBP2
Csnk2a2,CSNK2A2
Wnt7a,WNT7A
Nog,NOG
BC005537,C6orf62
U2surp,U2SURP
Celf1,CELF1
Cab39,CAB39
Grik2,GRIK2
Nckap1,NCKAP1
Dad1,DAD1
Tfap2d,TFAP2D
Hnrnph2,HNRNPH2
Arpp19,ARPP19
Ppp2r2c,PPP2R2C
Vps28,VPS28
Anapc16,ANAPC16
U2af1l4,U2AF1L4
Eif3d,EIF3D
Olig3,OLIG3
Srsf5,SRSF5
Pum1,PUM1
Tada3,TADA3
Eftud2,EFTUD2
Rims4,RIMS4
Xpo1,XPO1
Zfand5,ZFAND5
Clp1,CLP1
Ube2q1,UBE2Q1
Dnal4,DNAL4
Rps6kb1,RPS6KB1
Fem1b,FEM1B
Dcx,DCX
Pcbd1,PCBD1
Med18,MED18
Med27,MED27
Prkca,PRKCA
Esrrg,ESRRG
Rala,RALA
Dnaja2,DNAJA2
Elmo2,ELMO2
Asf1a,ASF1A
Rasl10b,RASL10B
Lhx5,LHX5
Arpc2,ARPC2
Klhl24,KLHL24
Kcna2,KCNA2
Ing4,ING4
Plagl2,PLAGL2
Nfya,NFYA
Sar1b,SAR1B
Gnb5,GNB5
Pou3f2,POU3F2
Six2,SIX2
Map2k1,MAP2K1
Actn4,ACTN4
Appbp2,APPBP2
Pik3ca,PIK3CA
Car8,CA8
Cbln1,CBLN1
Ube2e1,UBE2E1
Ap3s2,AP3S2
Actc1,ACTC1
Igf2bp1,IGF2BP1
Naa15,NAA15
Gabbr1,GABBR1
Sppl3,SPPL3
Nkiras2,NKIRAS2
Copb1,COPB1
Wnt5a,WNT5A
Cyfip2,CYFIP2
Kras,KRAS
Armc1,ARMC1
Grik5,GRIK5
Smad1,SMAD1
Iqsec2,IQSEC2
Smad5,SMAD5
Prpf19,PRPF19
Gabra1,GABRA1
Tmem47,TMEM47
Plpp4,PLPP4
Mapk14,MAPK14
Ppm1l,PPM1L
Fzr1,FZR1
Armc8,ARMC8
Arl5a,ARL5A
Brinp1,BRINP1
Gria3,GRIA3
Nlgn3,NLGN3
Cse1l,CSE1L
Gria2,GRIA2
Fam76a,FAM76A
Pde6g,PDE6G
Kpna4,KPNA4
Sf3b3,SF3B3
Gria1,GRIA1
Kcnk12,KCNK12
Sf3b5,SF3B5
Acta2,ACTA2
Acvr2a,ACVR2A
Atp6v1b2,ATP6V1B2
Trp63,TP63
Dlx1,DLX1
Acvr1,ACVR1
Dazap2,DAZAP2
Pou3f3,POU3F3
Rfx3,RFX3
Tspan7,TSPAN7
Cdc40,CDC40
Phyhip,PHYHIP
Atp6v1a,ATP6V1A
Lhfpl4,LHFPL4
Skp1,SKP1
Mb21d2,MB21D2
Nt5c2,NT5C2
Lhx2,LHX2
Prdm12,PRDM12
Pgm5,PGM5
Ctnnbip1,CTNNBIP1
Slc32a1,SLC32A1
Tnnc1,TNNC1
Atp2a2,ATP2A2
Rragc,RRAGC
Derl2,DERL2
Meis2,MEIS2
Tmem127,TMEM127
Camk2n2,CAMK2N2
Cks2,CKS2
Pknox2,PKNOX2
Kcnj9,KCNJ9
Prpf38a,PRPF38A
Lin7a,LIN7A
Hoxa9,HOXA9
Snrnp27,SNRNP27
Metap1,METAP1
Pfdn5,PFDN5
Nmnat2,NMNAT2
Ormdl2,ORMDL2
Psmd1,PSMD1
Actg1,ACTG1
Kcnj10,KCNJ10
Ephb1,EPHB1
Psmd2,PSMD2
Dync1h1,DYNC1H1
Cib2,CIB2
Ext1,EXT1
Slc25a5,SLC25A5
Mef2c,MEF2C
Pank3,PANK3
Smad4,SMAD4
Lhfpl5,LHFPL5
Chmp5,CHMP5
Gng11,GNG11
Kcnd3,KCND3
Dyrk1a,DYRK1A
Ugp2,UGP2
Kctd12,KCTD12
Gsk3b,GSK3B
Trim23,TRIM23
Trnau1ap,TRNAU1AP
Actl6a,ACTL6A
Gnai2,GNAI2
Sox1,SOX1
Gnai3,GNAI3
Anapc7,ANAPC7
Thoc3,THOC3
Mir32,ssc-mir-32
Mir183,ssc-mir-183
Hmbox1,HMBOX1
Mtor,MTOR
Gbx2,GBX2
Fgf9,FGF9
Sec61a2,SEC61A2
Fgf16,FGF16
Golt1b,GOLT1B
Syngap1,SYNGAP1
Hapstr1,HAPSTR1
Cnot2,CNOT2
Prpf18,PRPF18
Psmb3,PSMB3
Actr1b,ACTR1B
Spsb1,SPSB1
Kcns2,KCNS2
Arhgdia,ARHGDIA
Snapin,SNAPIN
Ppp2r5e,PPP2R5E
Lrrc8a,LRRC8A
Med10,MED10
Pgap4,PGAP4
Elavl3,ELAVL3
Fzd3,FZD3
Tafa1,TAFA1
Meis1,MEIS1
Stk38,STK38
Hoxc13,HOXC13
Acaca,ACACA
Tafa5,TAFA5
Kcnj2,KCNJ2
Epha4,EPHA4
Ctps1,CTPS1
Wdr45,WDR45
Med31,MED31
Sfrp2,SFRP2
Tln2,TLN2
Mpped1,MPPED1
Nap1l1,NAP1L1
Mapk9,MAPK9
Mettl14,METTL14
Ppp2r2a,PPP2R2A
Lhx4,LHX4
Cnot1,CNOT1
Scn1a,SCN1A
Tnik,TNIK
Shoc2,SHOC2
Cacng2,CACNG2
Cnot4,CNOT4
H2aj,H2AJ
Trpc1,TRPC1
Bcl2l2,BCL2L2
Gjd2,GJD2
Plcxd3,PLCXD3
Msl2,MSL2
Eef2,EEF2
Tlk2,TLK2
Dusp6,DUSP6
Otud5,OTUD5
Frmd5,FRMD5
Rbm18,RBM18
Flnc,FLNC
Srsf9,SRSF9
Clic4,CLIC4
Polr3f,POLR3F
Mllt3,MLLT3
Gjb1,GJB1
Grcc10,C12orf57
Cox7c,COX7C
Lbx1,LBX1
Kbtbd2,KBTBD2
Gdf11,GDF11
Aamp,AAMP
Ppp2r5b,PPP2R5B
Paip2,PAIP2
Lmx1b,LMX1B
Nsg1,NSG1
Wnt1,WNT1
Npr2,NPR2
Ppp4r3a,PPP4R3A
Trim8,TRIM8
Pfdn1,PFDN1
Emc4,EMC4
Glra1,GLRA1
Lrp6,LRP6
Hoxb8,HOXB8
Abhd2,ABHD2
Galnt18,GALNT18
Ptprt,PTPRT
Naa60,NAA60
Pax3,PAX3
Cltc,CLTC
Zcchc24,ZCCHC24
Abi1,ABI1
Ewsr1,EWSR1
Btk,BTK
Phb2,PHB2
Trappc3,TRAPPC3
Kpna1,KPNA1
Snrnp40,SNRNP40
Nf2,NF2
Ptpn11,PTPN11
Srsf7,SRSF7
Ints3,INTS3
Otx2,OTX2
Grid1,GRID1
Klhl2,KLHL2
Atxn7l3,ATXN7L3
Zbtb18,ZBTB18
Ctxnd1,CTXND1
Ybx1,YBX1
Dync1i1,DYNC1I1
Hnrnpl,HNRNPL
Copb2,COPB2
Scn8a,SCN8A
Mios,MIOS
Strap,STRAP
Pak2,PAK2
Clk3,CLK3
Exoc6b,EXOC6B
Il1rapl1,IL1RAPL1
Gtf2h4,GTF2H4
Rara,RARA
Tenm2,TENM2
Trpc7,TRPC7
Kctd10,KCTD10
Wdr45b,WDR45B
Rbm25,RBM25
Pbx2,PBX2
Cul1,CUL1
Stt3a,STT3A
Trib2,TRIB2
Flot1,FLOT1
Nrarp,NRARP
Mbnl1,MBNL1
Bbs5,BBS5
Papss1,PAPSS1
Fam78a,FAM78A
Erc2,ERC2
Actr6,ACTR6
Rad51,RAD51
Atp2b2,ATP2B2
Ugcg,UGCG
Bcas2,BCAS2
Neurod6,NEUROD6
Luc7l2,LUC7L2
Hoxb6,HOXB6
Srsf1,SRSF1
Prkaa1,PRKAA1
Gabrg2,GABRG2
Rbm14,RBM14
Cggbp1,CGGBP1
Kctd9,KCTD9
Chmp2a,CHMP2A
Vwc2l,VWC2L
Ppil1,PPIL1
Egr3,EGR3
Snx17,SNX17
Jup,JUP
Emc6,EMC6
Cnn3,CNN3
Neurod1,NEUROD1
Pcmtd1,PCMTD1
Zmiz1,ZMIZ1
Chd4,CHD4
Tlk1,TLK1
Cnnm2,CNNM2
Nova2,NOVA2
Smarca4,SMARCA4
Tssk6,TSSK6
Lmx1a,LMX1A
Jdp2,JDP2
Elavl1,ELAVL1
Galnt17,GALNT17
Sin3a,SIN3A
Pias1,PIAS1
Gid4,GID4
Scn2a,SCN2A
Dlx6,DLX6
Ppil3,PPIL3
Ddx6,DDX6
Nalcn,NALCN
Sox2,SOX2
Macroh2a2,MACROH2A2
Olfm2,OLFM2
Cdc42se1,CDC42SE1
Cnksr2,CNKSR2
Ublcp1,UBLCP1
Armh3,ARMH3
Grin2b,GRIN2B
Slc17a6,SLC17A6
Ddx23,DDX23
Mad2l2,MAD2L2
Bmal1,BMAL1
Tmem50b,TMEM50B
Lrrc73,LRRC73
Prkce,PRKCE
Sptbn1,SPTBN1
Ercc2,ERCC2
Piwil1,PIWIL1
Prkra,PRKRA
Cdc34,CDC34
Tenm3,TENM3
Snx6,SNX6
Dock3,DOCK3
Nkain2,NKAIN2
Ncbp2,NCBP2
Pln,PLN
Dhx40,DHX40
Tardbp,TARDBP
Kif5c,KIF5C
Rnf122,RNF122
Rxrg,RXRG
Fgfr1,FGFR1
Kif2a,KIF2A
Cdk5r1,CDK5R1
Upf1,UPF1
Ormdl1,ORMDL1
Ormdl3,ORMDL3
Polr3h,POLR3H
Ddx3x,DDX3X
Serbp1,SERBP1
Meox2,MEOX2
Psenen,PSENEN
Ccdc85b,CCDC85B
Rbm17,RBM17
Grik4,GRIK4
Rab9b,RAB9B
Glra2,GLRA2
Csnk1g3,CSNK1G3
Derl1,DERL1
Mpp2,MPP2
Tubg2,TUBG2
Lhfpl6,LHFPL6
Pde6d,PDE6D
Epha7,EPHA7
Xpo7,XPO7
Plekhf2,PLEKHF2
Diras2,DIRAS2
Rarb,RARB
Zfp148,ZNF148
Dpy30,DPY30
Kcna1,KCNA1
Tmem178,TMEM178A
Dhh,DHH
Pum2,PUM2
Rrm1,RRM1
Crnkl1,CRNKL1
Prox1,PROX1
Rnasek,RNASEK
Lhx6,LHX6
Cpsf2,CPSF2
Selenot,SELENOT
Aco2,ACO2
Cct2,CCT2
Trrap,TRRAP
Tle3,TLE3
Gnb3,GNB3
Yy1,YY1
Kdm1a,KDM1A
Stt3b,STT3B
Ap2s1,AP2S1
Fxr1,FXR1
Tlnrd1,TLNRD1
Pcdh17,PCDH17
Parp6,PARP6
Zdhhc15,ZDHHC15
Efr3b,EFR3B
Dcaf12,DCAF12
Stk24,STK24
Med21,MED21
Polr3a,POLR3A
Fgf17,FGF17
Dlx3,DLX3
Ppp3cb,PPP3CB
Dipk2a,DIPK2A
Cbx5,CBX5
Klhdc3,KLHDC3
Zfr,ZFR
Pip4k2a,PIP4K2A
H2ax,H2AX
Mta2,MTA2
Rab33a,RAB33A
Gmfb,GMFB
Pcdh7,PCDH7
Kcnj8,KCNJ8
Maz,MAZ
Dip2b,DIP2B
Mark4,MARK4
Dpysl5,DPYSL5
Xpo6,XPO6
Arih2,ARIH2
Tln1,TLN1
Mmp16,MMP16
Ric8b,RIC8B
Usp9x,USP9X
Galnt1,GALNT1
Hipk1,HIPK1
Arl6,ARL6
Slc12a5,SLC12A5
Hectd1,HECTD1
Ap1s1,AP1S1
Fxr2,FXR2
Usp12,USP12
Zfp423,ZNF423
Adgrb3,ADGRB3
Grem1,GREM1
Zbtb12,ZBTB12
Dscaml1,DSCAML1
Rpl7a,RPL7A
Rarg,RARG
Idh3a,IDH3A
Rpl28,RPL28
Mgat4b,MGAT4B
Ankrd46,ANKRD46
Psmd12,PSMD12
Ubtd1,UBTD1
Jakmip2,JAKMIP2
Dync1i2,DYNC1I2
Ppp2r3c,PPP2R3C
Hspa9,HSPA9
Rnf220,RNF220
Tmem98,TMEM98
Pou3f4,POU3F4
Smc3,SMC3
Cnr1,CNR1
Wnt2,WNT2
Rhoc,RHOC
Smg1,SMG1
Tmod1,TMOD1
Dvl3,DVL3
Tssk3,TSSK3
Actr8,ACTR8
Banf1,BANF1
Arpc3,ARPC3
Astn1,ASTN1
Grik1,GRIK1
Cyth3,CYTH3
Cbln4,CBLN4
Arih1,ARIH1
Zic3,ZIC3
Gna14,GNA14
Cop1,COP1
Lsm1,LSM1
Erbb4,ERBB4
Tada2a,TADA2A
Ipo7,IPO7
Gjc1,GJC1
Tmem170b,TMEM170B
Kif3b,KIF3B
Ruvbl1,RUVBL1
Arpc5,ARPC5
Mturn,MTURN
Atg101,ATG101
Tspan12,TSPAN12
Atp2b1,ATP2B1
Mapkap1,MAPKAP1
Hoxc11,HOXC11
Rab39,RAB39A
Ark2c,ARK2C
Gfod1,GFOD1
Lingo2,LINGO2
Siah2,SIAH2
Tmem240,TMEM240
Mtch1,MTCH1
Kctd4,KCTD4
Ing2,ING2
Nek7,NEK7
Fam199x,FAM199X
Gabrb1,GABRB1
Atp4a,ATP4A
Hectd3,HECTD3
Slc6a1,SLC6A1
Psmd7,PSMD7
Csrp2,CSRP2
Bmp4,BMP4
C1ql1,C1QL1
Rab5a,RAB5A
Snf8,SNF8
Sap18,SAP18
Cdk14,CDK14
Ncbp1,NCBP1
Cdipt,CDIPT
Smad7,SMAD7
Sox10,SOX10
Tmem151a,TMEM151A
Supt5,SUPT5H
Smad3,SMAD3
Tanc2,TANC2
Fam76b,FAM76B
Dscam,DSCAM
Onecut2,ONECUT2
Smurf1,SMURF1
Spsb4,SPSB4
Nck1,NCK1
Strip1,STRIP1
Rabgap1,RABGAP1
Golga7b,GOLGA7B
Dcun1d4,DCUN1D4
Six3,SIX3
Kcnab2,KCNAB2
Pdk3,PDK3
Rhbdl1,RHBDL1
Arrdc3,ARRDC3
Ints14,INTS14
Pbx3,PBX3
Castor2,CASTOR2
Slc12a6,SLC12A6
Suz12,SUZ12
Ciao2b,CIAO2B
Ier3ip1,IER3IP1
Ywhah,YWHAH
Psmd3,PSMD3
Vps11,VPS11
Cops2,COPS2
Barhl1,BARHL1
Gps2,GPS2
Arnt2,ARNT2
Eif4a1,EIF4A1
Ikzf2,IKZF2
Vps45,VPS45
Ddah2,DDAH2
Itpr1,ITPR1
Pdk2,PDK2
Bmi1,BMI1
Fbl,FBL
Ctnnb1,CTNNB1
Phox2a,PHOX2A
Pelo,PELO
Faf2,FAF2
Kctd15,KCTD15
Eny2,ENY2
Arl4c,ARL4C
Scai,SCAI
Josd1,JOSD1
Rpl3,RPL3
Grid2,GRID2
Rcor2,RCOR2
Csnk1d,CSNK1D
Gfpt2,GFPT2
Gna12,GNA12
Dusp7,DUSP7
Prkar1a,PRKAR1A
Dyrk2,DYRK2
Gna11,GNA11
Trpc4ap,TRPC4AP
Gan,GAN
Cdh11,CDH11
Ubr5,UBR5
Dnajb11,DNAJB11
Slitrk1,SLITRK1
Zdhhc5,ZDHHC5
Pals1,PALS1
Pcdh9,PCDH9
Fcf1,FCF1
Ift56,IFT56
Mtf2,MTF2
Naa40,NAA40
Trappc6b,TRAPPC6B
Hpse2,HPSE2
Slitrk2,SLITRK2
Hikeshi,HIKESHI
Kbtbd4,KBTBD4
Jun,JUN
Tmem243,TMEM243
Clvs1,CLVS1
Cdh7,CDH7
Dnm3,DNM3
Sox9,SOX9
Traf4,TRAF4
Gtf2i,GTF2I
Ralgapb,RALGAPB
Kcnc4,KCNC4
Ap1g1,AP1G1
Pou4f2,POU4F2
Nrgn,NRGN
Dmap1,DMAP1
Osr2,OSR2
Camk2n1,CAMK2N1
Dhx38,DHX38
Gdap1l1,GDAP1L1
Dok4,DOK4
Car11,CA11
Gm527,C14orf28
Kcnc2,KCNC2
Mab21l1,MAB21L1
Kcnip1,KCNIP1
Sst,SST
Tusc3,TUSC3
Cartpt,CARTPT
Atp1b2,ATP1B2
Pskh1,PSKH1
Kif5b,KIF5B
Tomm40l,TOMM40L
Znhit1,ZNHIT1
Usf2,USF2
Lin52,LIN52
Cacng4,CACNG4
Pde4d,PDE4D
Foxp2,FOXP2
Cacna2d3,CACNA2D3
Tenm1,TENM1
Stag1,STAG1
Cdc5l,CDC5L
Adgrl1,ADGRL1
Skic8,SKIC8
Klhl28,KLHL28
Kantr,KANTR
Mapk3,MAPK3
Bmpr1a,BMPR1A
Cask,CASK
Zdhhc21,ZDHHC21
Esrp1,ESRP1
Klhl32,KLHL32
Ptprd,PTPRD
Rbpj,RBPJ
Gpr22,GPR22
Pradc1,PRADC1
Pitx3,PITX3
Rmnd5a,RMND5A
Gng4,GNG4
Fbxl15,FBXL15
Rnf20,RNF20
Huwe1,HUWE1
Git1,GIT1
Calb1,CALB1
Osbpl6,OSBPL6
Fam20b,FAM20B
Uchl1,UCHL1
Ccdc47,CCDC47
Rspry1,RSPRY1
Syt7,SYT7
Mbtd1,MBTD1
Usp24,USP24
Rnf24,RNF24
Mex3b,MEX3B
Eif2s2,EIF2S2
Gnpnat1,GNPNAT1
Upf2,UPF2
Dok6,DOK6
Trpc5,TRPC5
Ddx19a,DDX19A
Kctd1,KCTD1
Ube2d2a,UBE2D2
Gmps,GMPS
Slc41a1,SLC41A1
Dctn1,DCTN1
Zic2,ZIC2
Cyp26b1,CYP26B1
Lyn,LYN
Tnpo3,TNPO3
Herc1,HERC1
Abce1,ABCE1
Clip3,CLIP3
Xab2,XAB2
Neurod2,NEUROD2
Slc17a7,SLC17A7
Wnt6,WNT6
Sap30l,SAP30L
Cnpy2,CNPY2
Zdhhc9,ZDHHC9
Rprm,RPRM
Pptc7,PPTC7
Zswim8,ZSWIM8
Tbc1d19,TBC1D19
Ddx5,DDX5
Ago2,AGO2
Eif4e,EIF4E
4933434E20Rik,C1orf43
Ehd4,EHD4
Ezh2,EZH2
Nbea,NBEA
Nip7,NIP7
Rnf5,RNF5
Tmem198,TMEM198
Fkbp1b,FKBP1B
Gpr27,GPR27
Tubb4a,TUBB4A
Irf6,IRF6
Isl2,ISL2
Mtrex,MTREX
Supt16,SUPT16H
Sertm2,SERTM2
Sufu,SUFU
Brsk2,BRSK2
Plcb1,PLCB1
Gosr1,GOSR1
Hoxb9,HOXB9
Sbds,SBDS
Marchf6,MARCHF6
Kif5a,KIF5A
Mark2,MARK2
Lrrtm2,LRRTM2
Osr1,OSR1
Ptchd1,PTCHD1
Fndc4,FNDC4
Sfn,SFN
Nmt1,NMT1
Rab15,RAB15
Csnk1g1,CSNK1G1
Brpf1,BRPF1
Oga,OGA
Pithd1,PITHD1
Six6,SIX6
Hes1,HES1
Pds5a,PDS5A
Bend5,BEND5
Snd1,SND1
Arhgap5,ARHGAP5
Sec23b,SEC23B
Nol4l,NOL4L
Stk4,STK4
Nek6,NEK6
Wdr82,WDR82
Nelfcd,NELFCD
Maf,MAF
Dagla,DAGLA
Phf6,PHF6
Ap2a1,AP2A1
Kcmf1,KCMF1
Nkx6-2,NKX6-2
Paqr3,PAQR3
Ubl7,UBL7
Fus,FUS
Fign,FIGN
Grin2d,GRIN2D
Becn1,BECN1
Usf1,USF1
Ppme1,PPME1
Myo1b,MYO1B
Tbx20,TBX20
Kcnj4,KCNJ4
Fbxl3,FBXL3
Glrb,GLRB
Hoxc10,HOXC10
St8sia2,ST8SIA2
Sos1,SOS1
Csmd3,CSMD3
Jazf1,JAZF1
Dmc1,DMC1
Dda1,DDA1
Rragb,RRAGB
St3gal3,ST3GAL3
Tubgcp4,TUBGCP4
Dcaf1,DCAF1
Otx1,OTX1
Plxna4,PLXNA4
Scamp1,SCAMP1
Steap2,STEAP2
Caprin1,CAPRIN1
Cdk17,CDK17
Cab39l,CAB39L
Arhgap35,ARHGAP35
Bcl7b,BCL7B
Tpst1,TPST1
Kif1b,KIF1B
Pabir1,PABIR1
Des,DES
Ppp2r5a,PPP2R5A
Has3,HAS3
Tada1,TADA1
Id2,ID2
Pfdn4,PFDN4
Rcor3,RCOR3
Sgms1,SGMS1
Myh7b,MYH7B
Zc3h10,ZC3H10
Ufc1,UFC1
Hdac5,HDAC5
Cdh8,CDH8
Med7,MED7
Laptm4a,LAPTM4A
Bcl2l1,BCL2L1
Aif1l,AIF1L
Eml6,EML6
Wnt9a,WNT9A
Prpf31,PRPF31
Sox5,SOX5
Rnd1,RND1
Ppm1h,PPM1H
Cxxc4,CXXC4
Pitx1,PITX1
Slc25a28,SLC25A28
Abtb3,ABTB3
