human gene name,chimpanzee gene name
IMMP1L,IMMP1L
RNU2-26P,U2
MIR4770,MIR4770
MIR548AX,MIR548AX
MIR934,ptr-mir-934
MIR514A2,ptr-mir-514-2
MIR500B,ptr-mir-500-2
MIR660,ptr-mir-660
MIR502,ptr-mir-502
MIR223,ptr-mir-223
MIR676,MIR676
GNAT1,GNAT1
SNORA70,SNORA70
GKAP1,GKAP1
MIR325,MIR325
MIR361,ptr-mir-361
MIR548AN,MIR548AN
RBP7,RBP7
PCID2,PCID2
VBP1,VBP1
AZI2,AZI2
MBNL2,MBNL2
MIR301B,ptr-mir-301b
COX7C,COX7C
SNAI2,SNAI2
LYZ,LYZ
DLEU7,DLEU7
SNORA11C,SNORA11C
SYN1,SYN1
OAT,OAT
PAQR4,PAQR4
TMEM74,TMEM74
CXCR3,CXCR3
CLIC2,CLIC2
ARHGAP42,ARHGAP42
CABP7,CABP7
ZMAT5,ZMAT5
UQCR10,UQCR10
RALGPS1,RALGPS1
CT83,CT83
SNORA48B,SNORA48B
GRIK1,GRIK1
MTERF3,MTERF3
TBC1D10A,TBC1D10A
WFDC2,WFDC2
NOL4,NOL4
MIR532,ptr-mir-532
MIR362,ptr-mir-362
MIR501,ptr-mir-501
SPMIP10,SPMIP10
RAB39B,RAB39B
RADX,RADX
RASL10A,RASL10A
SNORD125,SNORD125
AGO4,AGO4
ALX1,ALX1
RHOD,RHOD
RN7SL98P,Metazoa_SRP
MIR4291,MIR4291
MIR4289,MIR4289
CSE1L,CSE1L
RRAGC,RRAGC
TMEM100,TMEM100
HTR1E,HTR1E
DNTTIP1,DNTTIP1
SEC61G,SEC61G
PSMB5,PSMB5
PRKCE,PRKCE
MIR506,MIR506
MIR507,ptr-mir-507
MIR514B,MIR514B
CHST11,CHST11
MIR759,ptr-mir-759
TNNC2,TNNC2
MTFP1,MTFP1
PTDSS1,PTDSS1
TIMP1,TIMP1
TOB1,TOB1
MIR320D2,ptr-mir-320d-3
MIR890,ptr-mir-890
MIR513A2,MIR513A-3
RHBDL2,RHBDL2
CFAP144,CFAP144
SNORA38B,SNORA38B
ZNF711,ZNF711
RAB9B,RAB9B
MIR2681,MIR2681
MIR4705,MIR4705
MIR635,ptr-mir-635
GTF2F2,GTF2F2
NCALD,NCALD
PSMB2,PSMB2
RAB38,RAB38
CYB5A,CYB5A
PAPOLG,PAPOLG
MIR4519,MIR4519
MIR1184-3,ptr-mir-1184-1
TMLHE,TMLHE
MIR101-2,ptr-mir-101-2
MRGBP,MRGBP
KDM2A,KDM2A
ATP6V1C1,ATP6V1C1
STX4,STX4
CDK9,CDK9
MIR7702,MIR7702
MIR455,ptr-mir-455
MIR181A2,ptr-mir-181a-2
GLIS2,GLIS2
HSF2,HSF2
SF3A1,SF3A1
SPANXN5,SPANXN1
RNU1-57P,U1
VKORC1,VKORC1
VPS41,VPS41
MIF,MIF
PPP3CA,PPP3CA
CLDN14,CLDN14
ANXA4,ANXA4
TOMM22,TOMM22
LAMTOR3,LAMTOR3
BMP5,BMP5
TM9SF2,TM9SF2
CADM4,CADM4
CRYAA,CRYAA
LARP6,LARP6
MIR634,ptr-mir-634
RN7SKP14,7SK
EFEMP1,EFEMP1
MIR766,ptr-mir-766
MIR4768,MIR4768
MED30,MED30
MIR219A2,ptr-mir-219-2
PPP2R2D,PPP2R2D
RCC2,RCC2
MSL3,MSL3
PTRH1,PTRH1
KCNG3,KCNG3
MIR4522,MIR4522
SNORD63,SNORD63
MIR3184,MIR3184
MIR6129,ptr-mir-6129
ESM1,ESM1
IRGC,IRGC
SMG9,SMG9
DCLK1,DCLK1
PHAX,PHAX
PRR16,PRR16
GABRG1,GABRG1
ATP6V0D2,ATP6V0D2
DLST,DLST
MIR4670,MIR4670
ZCCHC10,ZCCHC10
TOX,TOX
SMIM12,SMIM12
COX7A2L,COX7A2L
GPC6,GPC6
CZIB,CZIB
SLN,SLN
BBLN,BBLN
PDGFD,PDGFD
PON3,PON3
GPR180,GPR180
ADAM10,ADAM10
PGGT1B,PGGT1B
CSNK2A1,CSNK2A1
EGLN2,EGLN2
FUT9,FUT9
MRPS6,MRPS6
RUNX1,RUNX1
KCTD4,KCTD4
SLC25A46,SLC25A46
PIGP,PIGP
MAD2L1,MAD2L1
EIF4E3,EIF4E3
TMED7,TMED7
TPST1,TPST1
SNORA48,SNORA48
SNORD10,SNORD10
SNORA67,SNORA67
TPM2,TPM2
RPL17,RPL17
TMEM39A,TMEM39A
DAPP1,DAPP1
CKM,CKM
ST8SIA4,ST8SIA4
CLDN10,CLDN10
GPR26,GPR26
FAM133B,FAM133B
RAB2A,RAB2A
MIR103A2,ptr-mir-103-2
TMEM150C,TMEM150C
EVA1A,EVA1A
NR2F2,NR2F2
RNGTT,RNGTT
MIR6852,MIR6852
TMEM158,TMEM158
MAB21L1,MAB21L1
SERP2,SERP2
RIMS3,RIMS3
RDH10,RDH10
GABRA4,GABRA4
RNF19A,RNF19A
UBR7,UBR7
WDR11,WDR11
MIR3529,MIR3529
MIR1469,MIR1469
SNORD116-29,SNORD116
FTSJ1,FTSJ1
HINT2,HINT2
TXNL4A,TXNL4A
ZNF330,ZNF330
TMEM242,TMEM242
SNORD115-23,SNORD115
MIR4510,MIR4510
MIR1179,ptr-mir-1179
CDK19,CDK19
MT1X,MT1X
GNAZ,GNAZ
MPDU1,MPDU1
CLNS1A,CLNS1A
P4HA3,P4HA3
LRRTM2,LRRTM2
FEM1C,FEM1C
MIR7-1,ptr-mir-7-1
MIR4667,MIR4667
TMEM243,TMEM243
MRPL41,MRPL41
MIR3680-2,MIR3680-2
RNU4-26P,U4
MIR4474,MIR4474
MIR491,ptr-mir-491
GPR27,GPR27
CLCN4,CLCN4
MIR4723,MIR4723
CDC40,CDC40
ZMYND19,ZMYND19
JAKMIP2,JAKMIP2
MIR6895,MIR6895
MIR6894,MIR6894
GRHL2,GRHL2
RGP1,RGP1
POPDC3,POPDC3
TUFM,TUFM
LSM5,LSM5
TMEM199,TMEM199
JADE1,JADE1
MAGOH,MAGOH
CDKN2C,CDKN2C
ATG5,ATG5
CCNA1,CCNA1
FAM81A,FAM81A
BUB3,BUB3
UBA2,UBA2
GALNT1,GALNT1
STT3A,STT3A
EMX2,EMX2
CRKL,CRKL
SLC35D1,SLC35D1
BCAP31,BCAP31
MIR1282,ptr-mir-1282-1
MFAP1,MFAP1
SSR4,SSR4
RAB11A,RAB11A
SLURP1,SLURP1
RNF20,RNF20
CSTF1,CSTF1
KCMF1,KCMF1
DPYSL3,DPYSL3
BCL11A,BCL11A
LEO1,LEO1
OPALIN,OPALIN
PPP4C,PPP4C
SLURP2,SLURP2
SNORD126,SNORD126
TMSB10,TMSB10
ATP1B2,ATP1B2
GEMIN6,GEMIN6
CCNG2,CCNG2
MAPK3,MAPK3
RPL7,RPL7
SNORD12C,SNORD12C
FABP1,FABP1
MIR346,ptr-mir-346
RNU5B-6P,U5
MIR146B,ptr-mir-146b
GLRA3,GLRA3
RNF7,RNF7
MIR22,ptr-mir-22
CIB2,CIB2
YIPF5,YIPF5
MRAS,MRAS
LRRN3,LRRN3
LHFPL2,LHFPL2
SNORD12B,SNORD12B
SNORD12,SNORD12
PARD6B,PARD6B
NAA20,NAA20
FAM3D,FAM3D
SLC17A6,SLC17A6
SNX4,SNX4
PGAP4,PGAP4
CMTM7,CMTM7
AP1S1,AP1S1
BARX2,BARX2
NCOA2,NCOA2
FEZ1,FEZ1
THEM6,THEM6
ATG4C,ATG4C
MIR7850,MIR7850
GPR139,GPR139
TIMM8A,TIMM8A
CCNQ,FAM58A
CCT2,CCT2
SLC6A8,SLC6A8
PRKG1,PRKG1
PRPS1,PRPS1
SOX14,SOX14
APPL1,APPL1
SLC25A42,SLC25A42
MRTFB,MRTFB
GJB1,GJB1
PAIP2B,PAIP2B
MIR1296,ptr-mir-1296
MIR1915,MIR1915
MIR98,ptr-mir-98
MIRLET7F2,ptr-let-7f-2
ATP6V1H,ATP6V1H
MIR3158-2,MIR3158-2
MIR609,ptr-mir-609
MIR6072,MIR6072
ZIC1,ZIC1
DLX3,DLX3
RUVBL1,RUVBL1
SNORA1,SNORA1
SNORA8,SNORA8
MIR4693,MIR4693
MIR4493,MIR4493
MIR8052,MIR8052
SNORD15B,SNORD15
TRMT61A,TRMT61A
KCNG1,KCNG1
VCL,VCL
UBTD2,UBTD2
SAP30L,SAP30L
MIR2114,MIR2114
PSMB1,PSMB1
DLL1,DLL1
PPM1B,PPM1B
TSPAN5,TSPAN5
SUPT16H,SUPT16H
LRAT,LRAT
ING2,ING2
TMEM31,TMEM31
PKNOX2,PKNOX2
HACD2,HACD2
WASF1,WASF1
DERL1,DERL1
OSGEP,OSGEP
SOX9,SOX9
SPOP,SPOP
FAM118B,FAM118B
TMEM184C,TMEM184C
LMO4,LMO4
H1-0,H1-0
OTX1,OTX1
TMEM203,TMEM203
TGFB3,TGFB3
NRARP,NRARP
MIR8081,MIR8081
BAG2,BAG2
SERPINH1,SERPINH1
RWDD4,RWDD4
AFG1L,AFG1L
PPM1L,PPM1L
CRH,CRH
MIR708,ptr-mir-708
MIR5579,MIR5579
SNORA32,SNORA32
MIR4710,MIR4710
SIVA1,SIVA1
IL15,IL15
OSBPL8,OSBPL8
PRPF38A,PRPF38A
MIR326,ptr-mir-326
RPS3,RPS3
MIR302E,ptr-mir-302e
MIR4486,MIR4486
MIR8054,MIR8054
MIR3973,MIR3973
NECTIN3,NECTIN3
MIR7848,MIR7848
NPBWR1,NPBWR1
PLPP5,PLPP5
MIR124-2,ptr-mir-124a
MIR5708,MIR5708
RNU6ATAC8P,RNU6ATAC8P
MIR548AZ,MIR548AZ
SSNA1,SSNA1
EFNB2,EFNB2
ARGLU1,ARGLU1
RGS17,RGS17
JOSD1,JOSD1
SLC35F1,SLC35F1
TNFRSF12A,TNFRSF12A
RNU6ATAC21P,RNU6ATAC21P
SNORA28,SNORA28
MIR3173,MIR3173
KCTD16,KCTD16
WFDC13,WFDC13
MIR3617,MIR3617
SPINT4,SPINT4
LAPTM4A,LAPTM4A
MIR1202,ptr-mir-1202
MIR4644,MIR4644
MIR4643,MIR4643
CALM3,CALM3
MIR2113,MIR2113
MIR320E,MIR320E
TCF21,TCF21
RASD2,RASD2
MIR588,ptr-mir-588
RNA5SP531,5S_rRNA
MYH9,MYH9
CALML3,CALML3
RASD1,RASD1
TBPL1,TBPL1
RPL27,RPL27
MIR378D2,MIR378D2
SNORA72,SNORA72
SRSF7,SRSF7
NPY5R,NPY5R
MIR383,ptr-mir-383
MIR3148,MIR3148
COPS3,COPS3
STOX2,STOX2
DMC1,DMC1
RMI2,RMI2
PDE7A,PDE7A
CNNM2,CNNM2
ANKRD7,ANKRD7
PYDC1,PYDC1
BOD1,BOD1
EDNRA,EDNRA
SNORA27,SNORA27
SNN,SNN
ATP5MK,ATP5MK
GRK3,GRK3
MYF6,MYF6
TMSB15A,TMSB15A
KCND2,KCND2
RPL21,RPL21
MIR1307,ptr-mir-1307
C20orf204,C20orf204
SPCS3,SPCS3
RAB19,RAB19
SCGB3A2,SCGB3A2
MIR3170,MIR3170
HCFC1R1,HCFC1R1
U3,U3
TFAP2D,TFAP2D
RNF144B,RNF144B
MIR6504,MIR6504
NEGR1,NEGR1
ZBTB6,ZBTB6
ZBTB26,ZBTB26
EMC7,EMC7
MIR337,ptr-mir-337
MIR431,ptr-mir-431
MIR433,ptr-mir-433
STRBP,STRBP
EMC4,EMC4
CAV2,CAV2
MIR8073,MIR8073
ARFIP1,ARFIP1
HIBADH,HIBADH
FBXL12,FBXL12
MIR770,ptr-mir-770
MIR600,ptr-mir-600
MIR493,MIR493
MIR32,ptr-mir-32
RNU11-3P,RNU11-3P
PCED1A,PCED1A
UBE2N,UBE2N
MIR1205,ptr-mir-1205
MIR6791,MIR6791
MIR6819,MIR6819
SNORD114-17,SNORD114-17
SNORD114-19,SNORD114-19
SNORD114-20,SNORD114-20
SNORD113-3,SNORD113-3
SNORD113-4,SNORD113-4
SNORD113-6,SNORD113-6
SNORD113-8,SNORD113-8
SNORD113-9,SNORD113-9
MIR411,ptr-mir-411
MIR380,ptr-mir-380
MIR1197,ptr-mir-1197
SNORD114-7,SNORD114-7
SNORD114-9,SNORD114-9
SNORD114-12,SNORD114-12
SNORD114-14,SNORD114-14
SNORD114-15,SNORD114-15
MIR769,MIR769
DLX5,DLX5
SMIM30,SMIM30
SNORD114-25,SNORD114-25
SNORD114-26,SNORD114-26
SNORD114-28,SNORD114-28
SNORD114-31,SNORD114-31
MIR379,ptr-mir-379
LZTS3,LZTS3
KATNBL1,KATNBL1
GCH1,GCH1
RASL11A,RASL11A
MIR3187,MIR3187
FOXA3,FOXA3
IRF2BP1,IRF2BP1
NANOS2,NANOS2
MIR496,ptr-mir-496
MIR377,ptr-mir-377
MIR409,ptr-mir-409
MIR1185-2,ptr-mir-1185-2
MIR381,ptr-mir-381
MIR487B,ptr-mir-487b
MIR539,ptr-mir-539
MIR889,ptr-mir-889
WRNIP1,WRNIP1
NRL,NRL
MIR668,ptr-mir-668
MIR485,ptr-mir-485
NSG2,NSG2
MIR323B,MIR323B
MIR154,ptr-mir-154
MIR370,ptr-mir-370
SNORD113-1,SNORD113-1
SNORD113-2,SNORD113-2
MIR412,ptr-mir-412
MIR369,ptr-mir-369
MIR410,ptr-mir-410
MIR656,ptr-mir-656
NXPH2,NXPH2
SNORD114-3,SNORD114-3
SNORD114-5,SNORD114-5
SNORD114-6,SNORD114-6
MIR127,ptr-mir-127
GPX7,GPX7
MIR432,ptr-mir-432
MIR136,ptr-mir-136
SNORD112,SNORD112
PTPN1,PTPN1
MIR126,ptr-mir-126
SMC1A,SMC1A
DCAF11,DCAF11
ABCD3,ABCD3
MIR6879,MIR6879
MIR4751,MIR4751
NCK2,NCK2
NAPB,NAPB
SNORD111B,SNORD111B
RIC8B,RIC8B
MIR4314,MIR4314
MGAT4A,MGAT4A
HBE1,HBE1
TMEM107,TMEM107
DAZAP2,DAZAP2
MIR495,ptr-mir-495
MIR654,ptr-mir-654
MIR1185-1,ptr-mir-1185-1
SNORA17B,SNORA17B
GNGT1,GNGT1
MIR645,ptr-mir-645
SF3B3,SF3B3
NXT1,NXT1
MIR544A,ptr-mir-544
MIR382,ptr-mir-382
MIR134,ptr-mir-134
MIR323A,ptr-mir-323
MIR758,ptr-mir-758
MIR329-1,ptr-mir-329-1
MIR494,ptr-mir-494
MIR1193,MIR1193
NONO,NONO
NUP37,NUP37
COA7,COA7
MIR7703,MIR7703
MIR4479,MIR4479
ZNF260,ZNF260
RAP2C,RAP2C
HPGD,HPGD
GCLM,GCLM
TSPAN15,TSPAN15
AMFR,AMFR
MIR6886,MIR6886
STX8,STX8
TIMM23,TIMM23
TAL2,TAL2
SLC25A4,SLC25A4
ACTL10,ACTL10
DNAJB14,DNAJB14
KCNJ3,KCNJ3
NEFL,NEFL
OLFML3,OLFML3
LTA4H,LTA4H
GABARAPL2,GABARAPL2
HBB,HBB
GET1,GET1
HBG2,HBG2
TMEM88,TMEM88
CYB5D1,CYB5D1
TRAPPC1,TRAPPC1
MIR192,ptr-mir-192
MIR6750,MIR6750
RCVRN,RCVRN
MGAT5,MGAT5
SCRT1,SCRT1
MIR548AG1,MIR548AG1
MIR4451,MIR4451
DGAT1,DGAT1
SSBP1,SSBP1
NIPAL1,NIPAL1
COPS8,COPS8
SNORD39,SNORD39
FAM241B,FAM241B
MIR4276,MIR4276
STK26,STK26
SNORD88A,SNORD88A
ZFP82,ZFP82
OLFM1,OLFM1
PIN1,PIN1
RAP1B,RAP1B
TMEM14C,TMEM14C
CLEC2L,CLEC2L
MIRLET7A3,ptr-let-7a-3
PLP1,PLP1
NTN1,NTN1
CHCHD1,CHCHD1
ATP1B3,ATP1B3
MIR4292,MIR4292
CDKN2AIP,CDKN2AIP
IL2,IL2
MESD,MESD
MIR939,ptr-mir-939
HBA2,HBA1
BRI3,BRI3
HBQ1,HBQ1
GNMT,GNMT
PPP2R5D,PPP2R5D
PLAG1,PLAG1
EIF3D,EIF3D
LDB1,LDB1
TCP1,TCP1
PCYT1B,PCYT1B
PIRT,PIRT
MRPL18,MRPL18
CD151,CD151
MIR133A1,ptr-mir-133a-1
MIR1-2,ptr-mir-1-2
SNORA24,SNORA24
MIR1255A,MIR1255A
SNORA63,SNORA63
MIR4275,MIR4275
MEA1,MEA1
SUDS3,SUDS3
KLC4,KLC4
HMGB2,HMGB2
ING3,ING3
CPEB4,CPEB4
TMEM254,TMEM254
TMEM121B,TMEM121B
MIR6773,MIR6773
MED28,MED28
TMEM163,TMEM163
MIR6515,MIR6515
RAD23A,RAD23A
MACROH2A2,MACROH2A2
CNOT6,CNOT6
SNORA37,SNORA37
TSPAN12,TSPAN12
C11orf65,C11H11orf65
MYF5,MYF5
MGARP,MGARP
RNU4ATAC18P,RNU4ATAC18P
SLC37A3,SLC37A3
MIR147B,ptr-mir-147b
SNORA26,SNORA26
SNORA41B,SNORA41B
DRD1,DRD1
APELA,APELA
MIR3074,MIR3074
DTWD1,DTWD1
CHST2,CHST2
MIR19B1,ptr-mir-19b-1
MIR92A1,ptr-mir-92-1
NEK3,NEK3
HSPB2,HSPB2
IL11,IL11
MIR579,ptr-mir-579
MIR4672,MIR4672
MID2,MID2
SNORD62A,SNORD62
UCK1,UCK1
MIR23B,ptr-mir-23b
MIR27B,ptr-mir-27b
COX18,COX18
AKR1D1,AKR1D1
ADAM23,ADAM23
TRIM24,TRIM24
MIR4458,MIR4458
MIR887,ptr-mir-887
MIR422A,ptr-mir-422a
MIR744,ptr-mir-744
SCRG1,SCRG1
HAND2,HAND2
MIR6887,MIR6887
CPLX4,CPLX4
TBR1,TBR1
POLR2L,POLR2L
MIR340,ptr-mir-340
CYGB,CYGB
MIR548P,ptr-mir-548p
ZNF580,ZNF580
MIR548F3,ptr-mir-548f-2
ZNF581,ZNF581
PPDPFL,PPDPFL
SNORD8,SNORD8
MIR378A,ptr-mir-378a
MIR8056,MIR8056
MIR5003,MIR5003
MIR8089,MIR8089
MIR18A,ptr-mir-18a
MIR19A,ptr-mir-19a
MIR20A,ptr-mir-20a
PFN3,PFN3
SNORD1C,SNORD1C
SNORD1A,SNORD1A
ZNHIT1,ZNHIT1
MIR4298,MIR4298
ACTR3B,ACTR3B
HAUS1,HAUS1
DRAM1,DRAM1
SHB,SHB
UBE2L5,UBE2L5
SLC7A6,SLC7A6
MIR17,ptr-mir-17
QRSL1,QRSL1
MIR587,ptr-mir-587
RPF2,RPF2
PSMA3,PSMA3
GHSR,GHSR
COX6A2,COX6A2
KLHL24,KLHL24
COPG2,COPG2
TIMM9,TIMM9
MIR550B1,ptr-mir-550-1
GTF2H4,GTF2H4
POLR2B,POLR2B
DPPA5,DPPA5
ALKBH2,ALKBH2
SCARNA17,SCARNA17
GUCA1B,GUCA1B
UBE2E3,UBE2E3
IGFBP7,IGFBP7
MIR1273C,MIR1273C
CLDN20,CLDN20
MIR449B,ptr-mir-449b
AP3M1,AP3M1
MIR5687,MIR5687
SHFL,SHFL
GPR22,GPR22
MIR4653,MIR4653
MPLKIP,MPLKIP
MPC2,MPC2
SNORD105,SNORD105
HIGD1B,HIGD1B
EFTUD2,EFTUD2
CDIPT,CDIPT
RCN1,RCN1
ANAPC16,ANAPC16
MIR5589,MIR5589
ARL4C,ARL4C
PRR7,PRR7
MBD3,MBD3
POGLUT1,POGLUT1
COPS5,COPS5
MIR3666,MIR3666
ZDHHC9,ZDHHC9
GJC1,GJC1
GPR89A,GPR89A
ARL1,ARL1
MIR4282,MIR4282
NDUFA8,NDUFA8
MIR675,MIR675
RBM18,RBM18
MIR4664,MIR4664
TEX19,TEX19
NAA40,NAA40
MIR6889,MIR6889
