chimpanzee gene name,gorilla gene name
MIR21,ggo-mir-21
SRSF1,SRSF1
ptr-mir-452,MIR452
SNORA70I,SNORA70
MIRLET7A2,MIRLET7A2
MIR26A1,ggo-mir-26a
MIR196A2,ggo-mir-196-2
RNU4ATAC11P,RNU4ATAC11P
MIR6739,MIR6739
SNORA50A,SNORA50A
MIR487B,MIR487B
MIR17,ggo-mir-17
MIR153-2,ggo-mir-153
MIR495,MIR495
MIR656,MIR656
ptr-mir-448,ggo-mir-448
SNORD116-27,SNORD116
ABHD13,ABHD13
MIR148B,ggo-mir-148b
SNORA73B,SNORA73
MIR3919,MIR3919
MIR4275,MIR4275
MIR22,MIR22
ERAS,ERAS
SNORD87,SNORD87
SNORD64,SNORD64
RNU4-55P,U4
SNN,SNN
TOB1,TOB1
ZNF711,ZNF711
MIR27B,MIR27B
MIR30C2,MIR30C
SMIM10L1,SMIM10L1
DLX3,DLX3
PPIH,PPIH
MIR30A,ggo-mir-30a
MIR548P,MIR548P
SNORA62,SNORA62
MIR135B,MIR135B
TENT5C,TENT5C
MIR365A,MIR365A
MIR18A,ggo-mir-18a
CLDN14,CLDN14
MIR1255A,ggo-mir-1255a
MIR6855,MIR6855
SCARNA18B,SCARNA18B
POP7,POP7
ptr-mir-219-2,MIR219A2
MIR378G,MIR378G
MIR190A,ggo-mir-190a
SNORA60,SNORA71
ptr-mir-500-2,MIR500B
SNORD45C,SNORD45C
MIR4643,MIR4643
TCEAL7,TCEAL7
MIR4653,MIR4653
MIR4723,MIR4723
TOMM22,TOMM22
MIR450A2,MIR450A
IGIP,IGIP
SNORD74B,SNORD74B
MIR518B,MIR518B
MIR4667,MIR4667
MIR138-1,MIR138-1
ENOX1,ENOX1
SNORA5A,SNORA5A
MIR1915,MIR1915
MIR3197,MIR3197
MIR19B2,ggo-mir-19b-2
SNORA38B,SNORA38B
BEX4,BEX4
MIR1287,MIR1287
SNORA38,SNORA38
MIR6782,MIR6782
MIR433,MIR433
MIRLET7I,MIRLET7I
MIR1193,MIR1193
RNY1,Y_RNA
SNORD45A,SNORD45A
MIR96,ggo-mir-96
MIR758,MIR758
MIR9-3,MIR9-3
MIR1976,MIR1976
ptr-mir-105,MIR105-2
MIR3065,MIR3065
SNORA46,SNORA46
SNORA44,SNORA44
SNORD92,SNORD92
MIR299,MIR299
MIR29B1,ggo-mir-29b-1
ZNF581,ZNF581
MIR323B,MIR323B
MIR4710,MIR4710
MAB21L1,MAB21L1
MIR95,ggo-mir-95
MIR4718,MIR4718
MIR6768,MIR6768
MIR4289,MIR4289
MIR4770,MIR4770
MIR337,MIR337
MIR323A,MIR323A
MIR200C,ggo-mir-200c
IRF1,IRF1
MIRLET7A1,MIRLET7A1
MIR4729,MIR4729
SNORD14E,SNORD14
MIR4506,MIR4506
BMF,BMF
MIR27A,ggo-mir-27a
KCNJ2,KCNJ2
GDPD1,GDPD1
MIR214,ggo-mir-214
MIR579,MIR579
MIR137,MIR137
SNORD55,SNORD39
MIR361,MIR361
SNORD27,SNORD27
HINT2,HINT2
CXCR3,CXCR3
MIR6818,MIR6818
MIR3184,MIR3184
RAB9A,RAB9A
ptr-mir-141,ggo-mir-141
SERTAD3,SERTAD3
MIR4644,MIR4644
MIR374B,MIR374B
MIR139,MIR139
ptr-mir-196b,MIR196B
MIR522,MIR522
MIR4442,MIR4442
MIR542,MIR542
MIR197,MIR197
MIR599,MIR599
MIR6750,MIR6750
C15orf62,C15orf62
SNORD12C,SNORD12C
MIR582,MIR582
MIR761,MIR761
SNORD10,SNORD10
MIR425,MIR425
PRRG3,PRRG3
MIR874,MIR874
SNORA11C,SNORA11C
ZBTB43,ZBTB43
DRD1,DRD1
MIR371A,MIR371A
SNORA77B,SNORA77B
SNORA35,SNORA35
MIR8063,MIR8063
MIR3200,MIR3200
SNORD35A,SNORD35A
KCNE3,KCNE3
MIR518F,MIR518F
CNOT2,CNOT2
MIR15B,ggo-mir-15b
MIR4693,MIR4693
PABPC5,PABPC5
DEFB123,DEFB123
MIR34B,MIR34B
ptr-mir-519e,MIR519E
MIR150,MIR150
MIR5584,MIR5584
MIR211,MIR211
MIR516A1,MIR516A-1
MIR23C,ggo-mir-23c
P2RY1,P2RY1
MIR1291,MIR1291
MIR759,MIR759
PISD,PISD
MIR4768,MIR4768
MIR634,MIR634
SNORD41,SNORD41
MIR99B,MIR99B
ZBTB34,ZBTB34
MIR1296,MIR1296
MIR1306,MIR1306
MIRLET7E,MIRLET7E
MIR152,MIR152
MIR103A2,MIR103A2
MIR4779,MIR4779
ptr-mir-210,ggo-mir-210
MIR668,MIR668
SNORD38D,SNORD38D
MIR145,ggo-mir-145
MIR450B,MIR450B
GPR4,GPR4
MIR5196,MIR5196
MIR1205,MIR1205
GHSR,GHSR
MIR365B,MIR365B
MIR3973,MIR3973
MIR4282,MIR4282
FAM110D,FAM110D
MIR6124,MIR6124
SNORD35B,SNORD35B
H2BC14,H2BC14
SNORD25,SNORD25
MIR133B,MIR133B
MIR4661,MIR4661
ZRANB2,ZRANB2
SNORD38C,SNORD38C
H2AC6,H2AC6
MIR127,MIR127
MIR216A,ggo-mir-216
SNORD61,SNORD61
NEUROD6,NEUROD6
DNAJA2,DNAJA2
7SK,7SK
MIR193B,MIR193B
MIR3929,MIR3929
MIR504,MIR504
MIR99A,ggo-mir-99a
WNT7B,WNT7B
TMEM53,TMEM53
MIR32,ggo-mir-32
SNORA69,SNORA69
GPR68,GPR68
SNORA2C,SNORA2C
MIR379,MIR379
ptr-mir-551a,MIR551A
CGGBP1,CGGBP1
MIR208B,MIR208B
DCAF12L2,DCAF12L2
MIR324,MIR324
MIR6743,MIR6743
MIR451A,MIR451A
MIR4486,MIR4486
MIR587,MIR587
MIR7855,MIR7855
MIR887,MIR887
FRMD5,FRMD5
SNORA16A,SNORA16A
MIR4292,MIR4292
MIR2276,MIR2276
MIR6738,MIR6738
SNORD63,SNORD63
VPS37D,VPS37D
SNORD62,SNORD62
MIR7976,MIR7976
SNORA40B,SNORA40B
MIR4793,MIR4793
MIR942,MIR942
MIR6884,MIR6884
UPF3B,UPF3B
MIR5687,MIR5687
MIR421,MIR421
FERD3L,FERD3L
MIR6747,MIR6747
MIR29B2,ggo-mir-29b-2
SNORD86,SNORD86
VPS29,VPS29
MIR363,MIR363
MIR3140,MIR3140
MIR126,MIR126
MIR4692,MIR4692
MIR301B,MIR301B
SNORD53B,SNORD53B
MIR539,MIR539
DHX15,DHX15
MIR505,MIR505
PRR15L,PRR15L
MIR151A,MIR151A
MIR374A,MIR374A
MIR3074,MIR3074
ptr-mir-1285,MIR1285-1
MIR1470,MIR1470
MIRLET7G,MIRLET7G
TMEM50B,TMEM50B
SNORD38A,SNORD38A
KCNH1,KCNH1
GREM2,GREM2
RNF11,RNF11
SNORD53,SNORD53
MIR136,ggo-mir-136
MIR3135A,MIR3135A
JOSD1,JOSD1
MIR4479,MIR4479
MIR7703,MIR7703
NHLH2,NHLH2
SNORD114-2,SNORD114-2
SNORD26,SNORD26
MIR8087,MIR8087
MIR9-2,ggo-mir-9
MIR98,MIR98
MIR133A1,ggo-mir-133a
MIR432,MIR432
MIR8056,MIR8056
MIR26A2,MIR26A2
MIR411,MIR411
MIR1302-1,MIR1302-1
ptr-mir-767,ggo-mir-767
LTB4R2,LTB4R2
MIR7856,MIR7856
PGAP4,PGAP4
MIR4660,MIR4660
MIR588,MIR588
PLEKHF2,PLEKHF2
TCEAL9,TCEAL9
KRTAP17-1,KRTAP17-1
MIR562,MIR562
MIR4677,MIR4677
MIR592,MIR592
MIR3145,MIR3145
MIR1199,MIR1199
MIR183,ggo-mir-183
GNGT1,GNGT1
MIR3127,MIR3127
MIR1286,MIR1286
IMP3,IMP3
MIR484,MIR484
MED30,MED30
MIR675,MIR675B
MIR1251,MIR1251
SCARNA15,SCARNA15
MIR4800,MIR4800
SPG21,SPG21
PFKFB2,PFKFB2
MIR4458,MIR4458
PNMA1,PNMA1
MIR34C,MIR34C
DOLK,DOLK
MIR770,MIR770
MIR5583-2,MIR5583-2
CALML3,CALML3
MIR331,MIR331
MIR142,MIR142
MIR3115,MIR3115
MAGEH1,MAGEH1
MIR548F1,MIR548F1
SNORA31,SNORA31
ptr-mir-224,ggo-mir-224
MIR107,ggo-mir-107
MIR664A,MIR664A
MIR1-2,MIR1-2
FBXO11,FBXO11
ENC1,ENC1
MIR873,MIR873
MIR23B,MIR23B
MIR205,ggo-mir-205
MIR190B,MIR190B
MIR6751,MIR6751
MIR4451,MIR4451
ptr-mir-149,MIR149
GJB2,GJB2
SNORA67,SNORA67
MIR548AX,MIR548AX
GPR27,GPR27
ptr-mir-1298,ggo-mir-1298
CLDN12,CLDN12
MIR4420,MIR4420
MIR3064,MIR3064
MIR181C,ggo-mir-181c
MIR1307,MIR1307
MIR7154,MIR7154
MIR4705,MIR4705
MIR3119-2,MIR3119-2
MIR4708,MIR4708
AMIGO2,AMIGO2
MIR3156-1,MIR3156-1
SNORD37,SNORD37
MIR5047,MIR5047
MIR4475,MIR4475
MIR3157,MIR3157
MIR128-1,MIR128
SNORD20,SNORD20
SNORA108,SNORD28
WDR83OS,WDR83OS
MIR6842,MIR6842
H2BC17,H2BC17
MIR3618,MIR3618
NFYA,NFYA
NDUFS4,NDUFS4
MIR1228,MIR1228
MIR7702,MIR7702
MIR4520-1,MIR4520-1
KHDRBS1,KHDRBS1
LZTS3,LZTS3
MIR128-2,MIR128-2
MIR514B,MIR514B
MIR194-1,ggo-mir-194
SNORD114-1,SNORD114-1
MIR6515,MIR6515
SNORD114-28,SNORD114-28
MIRLET7D,MIRLET7D
SNORD114-26,SNORD114-26
MIR6824,MIR6824
SNORD114-19,SNORD114-19
MIR6812,MIR6812
SNORD114-22,SNORD114-22
FBXO27,FBXO27
MIR4759,MIR4759
MIR876,MIR876
MIR1282,MIR1282
MIR298,MIR298
DLG2,DLG2
SNORD114-13,SNORD114-13
MIR346,MIR346
MIR6834,MIR6834
SNORD114-12,SNORD114-12
MIR101-2,MIR101-2
MIR330,MIR330
MIR19B1,ggo-mir-19b-1
MIR489,MIR489
MIR6793,MIR6793
MIR129-2,MIR129
MIR7-1,ggo-mir-7-1
SCARNA22,SCARNA22
ptr-mir-106a,ggo-mir-106a
SNORD4A,SNORD4A
MIR485,MIR485
MIR6873,MIR6873
TMEM229B,TMEM229B
MIR6773,MIR6773
SNORA74A,SNORA74
MIR375,MIR375
MIR30E,MIR30E
SNORA26,SNORA26
MIR383,MIR383
MIR1323,MIR1323
MIR320B1,MIR320B1
MIR206,MIR206
RUNX1,RUNX1
MIR8076,MIR8076
MIR409,MIR409
PIGU,PIGU
MIR4681,MIR4681
MIR19A,ggo-mir-19a
IKZF4,IKZF4
MIR4527,MIR4527
SNORD46,SNORD46
MIR92A2,ggo-mir-92-2
MIR140,ggo-mir-140
MIR1225,MIR1225
RNASE7,RNASE7
ptr-mir-362,MIR362
NKX2-2,NKX2-2
MIR1185-1,MIR1185-1
MIR5589,MIR5589
MIR4510,MIR4510
MIR380,MIR380
MIR645,MIR645
MIR191,MIR191
MIR5579,MIR5579
MIRLET7F1,MIRLET7F
PIAS1,PIAS1
GPR171,GPR171
PAQR8,PAQR8
MIR199A2,ggo-mir-199a
MIR106B,ggo-mir-106b
H2AC12,H2AC12
SNORD83,SNORD83
TAL2,TAL2
MIR548AZ,MIR548AZ
MIR676,MIR676
MIR124-3,MIR124-3
MIR124-1,MIR124-1
RNU6ATAC41P,RNU6ATAC41P
MIR340,MIR340
MIR1224,MIR1224
MIR760,MIR760
MIR4682,MIR4682
SNORD12B,SNORD12B
MIR652,MIR652
MIR101-1,ggo-mir-101
MIR548AH,MIR548D
MIR5585,MIR5585
MIR29A,ggo-mir-29a
BRK1,BRK1
SNORD113-3,SNORD113-3
MIR8073,MIR8073
SNORD126,SNORD126
MIR1182,MIR1182
RAB13,RAB13
ENHO,ENHO
H4C3,H4C11
U3,U3
MIR25,ggo-mir-25
ATG14,ATG14
MIR217,ggo-mir-217
SNORD30,SNORD30
MIR544A,MIR544A
MIR4504,MIR4504
TRIM32,TRIM32
NABP2,NABP2
LASP1NB,LASP1NB
BRD3OS,BRD3OS
CTXN3,CTXN3
MIR7704,MIR7704
MIR20A,ggo-mir-20a
MIR1587,MIR1587
MIR138-2,MIR138
SERTM2,SERTM2
ptr-mir-215,ggo-mir-215
SNORA1,SNORA1
MIR4696,MIR4696
SNORD125,SNORD125
MIR320C2,MIR320C2
MIR28,ggo-mir-28
MIR125A,MIR125A
PKIA,PKIA
MIR192,ggo-mir-192
MIR185,MIR185
MIR4523,MIR4523
KAT5,KAT5
MIR598,MIR598
MIR4726,MIR4726
MIR486-1,MIR486
MIR4727,MIR4727
SNORD58,SNORD58
ptr-mir-181d,MIR181D
MIR7113,MIR7113
MIR181B2,MIR181B2
SNORD73A,SNORD73
MIR431,MIR431
snoZ196,snoZ196
SNORD67,SNORD67
MIR218-2,MIR218-2
MIRLET7A3,MIRLET7A3
MIR4662B,MIR4662B
MIR6820,MIR6820
MIR4688,MIR4688
MIR8082,MIR8082
ptr-mir-16-1,ggo-mir-16
LYN,LYN
MIR600,MIR600
FLOT2,FLOT2
MIR5739,MIR5739
MIRLET7F2,MIRLET7F2
RAP2B,RAP2B
MIR6801,MIR6801
MIR653,MIR653
SNORD124,SNORD124
ptr-mir-503,MIR503
NPY1R,NPY1R
MIR2113,MIR2113
MIR5704,MIR5704
FBXL3,FBXL3
MIR1266,MIR1266
PPIL1,PPIL1
MIR218-1,ggo-mir-218
MIR934,MIR934
SNORA72,SNORA72
MIR301A,MIR301A
MIR3943,MIR3943
MIR223,ggo-mir-223
MIR6875,MIR6875
MIR100,ggo-mir-100
ptr-mir-4524a,ggo-mir-4524a
MIR4254,MIR4254
Vault,Vault
MIR4498,MIR4498
MRPL53,MRPL53
HSPB3,HSPB3
MIR3170,MIR3170
MIR130A,ggo-mir-130a
MIR6736,MIR6736
PLN,PLN
MIR135A2,ggo-mir-135a
MIR325,MIR325
B3GALT1,B3GALT1
MIR455,MIR455
ptr-mir-222,ggo-mir-222
MIR519A2,MIR519A-2
MIR377,MIR377
MIR555,MIR555
MIR6769B,MIR6769B
ITPRIPL2,ITPRIPL2
MIR548X2,MIR548X2
MIR3661,MIR3661
MIR515-1,MIR515-1
MIR654,MIR654
MIR515-2,MIR515-2
MIR9-1,MIR9-1
RNF182,RNF182
MIR744,MIR744
SNORA36C,SNORA36C
MIR5703,MIR5703
MIR556,MIR556
MIR204,ggo-mir-204
MIR146B,MIR146B
MIR186,ggo-mir-186
MIR3621,MIR3621
UBTD1,UBTD1
MIR153-1,MIR153-1
MIR29C,MIR29C
MIR3160-1,MIR3160-1
MIR3666,MIR3666
MIR26B,MIR26B
NAA10,NAA10
TIGD4,TIGD4
SNORD59A,SNORD59A
RNU6ATAC8P,RNU6ATAC8P
MIR4313,MIR4313
MIR6819,MIR6819
CDK5R1,CDK5R1
SMIM30,SMIM30
GJB1,GJB1
SNORA36B,SNORA36B
SNORA32,SNORA32
MIR381,MIR381
MIR6791,MIR6791
MUL1,MUL1
MPLKIP,MPLKIP
SCARNA16,SCARNA16
MIR6852,MIR6852
MIR3148,MIR3148
MIR196A1,ggo-mir-196-1
SNORD50B,SNORD50B
SNAI2,SNAI2
SNORD18A,SNORD18
GPR22,GPR22
CCL17,CCL17
ZBTB26,ZBTB26
SF3B5,SF3B5
PSMA2,PSMA2
TMEM248,TMEM248
CCDC172,CCDC172
TMEM203,TMEM203
ADCYAP1,ADCYAP1
NBDY,NBDY
XPO7,XPO7
SS18,SS18
OCIAD1,OCIAD1
MIR15A,ggo-mir-15a
SNORD15A,SNORD15
TMEM215,TMEM215
SMAD4,SMAD4
SSTR1,SSTR1
PRPSAP2,PRPSAP2
SNORD32A,SNORD33
H2AX,H2AX
FBXL20,FBXL20
MIR449B,MIR449B
MIR3121,MIR3121
ptr-mir-146a,ggo-mir-146a
MIR519F,MIR519A-1
KIAA1143,KIAA1143
MIR6133,MIR6133
TBCC,TBCC
OR51E2,OR51E2
NSG1,NSG1
CH25H,CH25H
DIRAS2,DIRAS2
HSBP1L1,HSBP1L1
EMX2,EMX2
ZNF319,ZNF319
ATOH7,ATOH7
INAFM1,INAFM1
RNF208,RNF208
RDH10,RDH10
CCKAR,CCKAR
HTR1E,HTR1E
WIPF2,WIPF2
XCR1,XCR1
CXCR6,CXCR6
TMEM258,TMEM258
H2AJ,H2AJ
NQO1,NQO1
UBE2G1,UBE2G1
B3GNT2,B3GNT2
SMIM3,SMIM3
CCR4,CCR4
AMIGO1,AMIGO1
MIR584,MIR584
GPR174,GPR174
SLC9A2,SLC9A2
MIR382,MIR382
MIR148A,MIR148A
ptr-mir-551b,MIR551B
NPY5R,NPY5R
MSGN1,MSGN1
BEST4,BEST4
MAB21L2,MAB21L2
STX6,STX6
SLC35B4,SLC35B4
EEF2,EEF2
MYL12B,MYL12B
MRPL41,MRPL41
H2BC3,H2BC3
H3C6,H3C2
ACTB,ACTB
RFC4,RFC4
TMEM39A,TMEM39A
CLDN3,CLDN3
S1PR1,S1PR1
ZBTB6,ZBTB6
SNORD113-9,SNORD113-9
UQCRQ,UQCRQ
CLDN4,CLDN4
CETN3,CETN3
PLA2G12A,PLA2G12A
DAZAP2,DAZAP2
ARF6,ARF6
DIRAS1,DIRAS1
RNU6ATAC,RNU6ATAC
SLITRK4,SLITRK4
SP6,SP6
DCTD,DCTD
GPR63,GPR63
SMIM32,SMIM32
SLC30A3,SLC30A3
UBL7,UBL7
IGFBP5,IGFBP5
STX12,STX12
SNORD114-17,SNORD114-17
LRRC4C,LRRC4C
TPM1,TPM1
ARIH1,ARIH1
FUT9,FUT9
VPS33A,VPS33A
UQCC1,UQCC1
RHOG,RHOG
SOX14,SOX14
EMC6,EMC6
DERL2,DERL2
SNORD114-6,SNORD114-6
GPR12,GPR12
ACKR3,ACKR3
PIP4P1,PIP4P1
POLR2I,POLR2I
IL1RAPL1,IL1RAPL1
ZDHHC2,ZDHHC2
NHLH1,NHLH1
EID2B,EID2B
POLR3B,POLR3B
POU3F4,POU3F4
GJC1,GJC1
FAM32A,FAM32A
DDI2,DDI2
TMEM125,TMEM125
RAB30,RAB30
STK26,STK26
AMMECR1,AMMECR1
KRTAP20-3,KRTAP20-3
EEF1A1,EEF1A1
HS3ST2,HS3ST2
GPX8,GPX8
NNAT,NNAT
COCH,COCH
BTG2,BTG2
SIAH2,SIAH2
SLC25A1,SLC25A1
PAIP2,PAIP2
TPST1,TPST1
ZNF580,ZNF580
P2RY4,P2RY4
ASCL2,ASCL2
CCL16,CCL16
SNORD114-31,SNORD114-31
MARVELD1,MARVELD1
SGTB,SGTB
SNORD114-14,SNORD114-14
SNORD113-6,SNORD113-6
JRKL,JRKL
TPD52L2,TPD52L2
MRPS17,MRPS17
SNORD113-4,SNORD113-4
CTXN2,CTXN2
ZNF146,ZNF146
NEUROD2,NEUROD2
LRRC10,LRRC10
SPIN4,SPIN4
OPCML,OPCML
SPRR2E,SPRR2E
GABRA3,GABRA3
POLR3K,POLR3K
ELOVL6,ELOVL6
CYRIA,CYRIA
LGI3,LGI3
GDAP1L1,GDAP1L1
YPEL1,YPEL
ARL2,ARL2
PDZD11,PDZD11
MED26,MED26
SYNDIG1,SYNDIG1
VPS36,VPS36
CRIPT,CRIPT
PLCXD3,PLCXD3
KPNA1,KPNA1
CDC23,CDC23
H2BC12,H2BC12
CAPZA2,CAPZA2
UBE2D1,UBE2D1
CCL22,CCL22
CNFN,CNFN
SMIM17,SMIM17
SOCS3,SOCS3
ZNF22,ZNF22
PHLDA3,PHLDA3
MRFAP1L1,MRFAP1L1
SMIM6,SMIM6
PDAP1,PDAP1
SMIM10L2B,SMIM10L2B
TRA2A,TRA2A
IER2,IER2
PSMD11,PSMD11
DDX39A,DDX39A
GABRP,GABRP
ARL8B,ARL8B
GNAO1,GNAO1
ADIPOR1,ADIPOR1
SNORD114-27,SNORD114-27
SNAPC5,SNAPC5
ACP5,ACP5
CNOT8,CNOT8
SNX6,SNX6
KPNB1,KPNB1
CD40,CD40
TNFAIP8,TNFAIP8
PAQR4,PAQR4
WDR5,WDR5
LSM1,LSM1
MAPKAP1,MAPKAP1
PAFAH1B2,PAFAH1B2
B3GNT5,B3GNT5
TFAP2D,TFAP2D
RPL6,RPL6
COX7B,COX7B
FAM78A,FAM78A
RICTOR,RICTOR
H2BC5,H2BC5
RPL38,RPL38
PRKG1,PRKG1
FEN1,FEN1
TXNL4A,TXNL4A
NACC1,NACC1
DTX3,DTX3
MYL9,MYL9
MIP,MIP
MAD2L1,MAD2L1
POU4F3,POU4F3
PLS1,PLS1
TAFA1,TAFA1
TMEM14A,TMEM14A
PRDX3,PRDX3
ATF7,ATF7
LRRC1,LRRC1
CACNB3,CACNB3
RAB3B,RAB3B
GNB3,GNB3
CDK7,CDK7
ARMC1,ARMC1
LRAT,LRAT
BCL2L11,BCL2L11
GNB1,GNB1
LSAMP,LSAMP
HVCN1,HVCN1
FER,FER
RPS18,RPS18
C1orf21,C1orf21
IER3IP1,IER3IP1
CLEC2L,CLEC2L
MARCHF4,MARCHF4
BBOX1,BBOX1
SMAD2,SMAD2
POLR2B,POLR2B
PRPF8,PRPF8
CACNA2D1,CACNA2D1
DPY30,DPY30
FERRY3,C12orf4
CRK,CRK
NFIX,NFIX
STAM,STAM
FLOT1,FLOT1
SERBP1,SERBP1
WNT1,WNT1
SYCE3,SYCE3
ARPC2,ARPC2
MACROH2A2,MACROH2A2
PTBP3,PTBP3
RBBP4,RBBP4
NRM,NRM
AKT2,AKT2
ITFG2,ITFG2
TRAPPC13,TRAPPC13
THG1L,THG1L
FUT8,FUT8
KLHL26,KLHL26
SEPTIN2,SEPTIN2
BCS1L,BCS1L
ZNF385D,ZNF385D
TMEM167B,TMEM167B
KCTD21,KCTD21
SCG5,SCG5
C2orf49,C2orf49
OST4,OST4
SLC25A5,SLC25A5
POLR2D,POLR2D
CIB2,CIB2
TCF24,TCF24
TRIM27,TRIM27
PPP2CA,PPP2CA
NKAIN2,NKAIN2
RNF144A,RNF144A
UBE2D4,UBE2D4
DUSP4,DUSP4
TMEM98,TMEM98
KLHL12,KLHL12
SMNDC1,SMNDC1
PTEN,PTEN
DUSP1,DUSP1
RPL36,RPL36
MMGT1,MMGT1
CYBB,CYBB
ARL1,ARL1
NRAS,NRAS
COPS2,COPS2
METTL14,METTL14
UPF2,UPF2
ZNF652,ZNF652
RABAC1,RABAC1
SLMAP,SLMAP
RNF138,RNF138
SST,SST
DNAJC5,DNAJC5
CDO1,CDO1
HSPB6,HSPB6
CPSF6,CPSF6
MFSD2A,MFSD2A
AIDA,AIDA
TMEM88,TMEM88
SUPT4H1,SUPT4H1
INHBA,INHBA
SAP30L,SAP30L
EPC2,EPC2
GPM6A,GPM6A
UPP1,UPP1
HNRNPA2B1,HNRNPA2B1
UBE2E3,UBE2E3
CAB39L,CAB39L
HDDC3,HDDC3
SLC4A8,SLC4A8
PSMA7,PSMA7
RBM42,RBM42
NAPB,NAPB
PSMD3,PSMD3
RGCC,RGCC
ELAVL1,ELAVL1
CAMK1D,CAMK1D
C16orf74,C16orf74
FBXO9,FBXO9
CAMK2A,CAMK2A
DET1,DET1
C4orf46,C4orf46
FGF17,FGF17
CLDN10,CLDN10
MTF2,MTF2
PSENEN,PSENEN
XRN2,XRN2
HMHB1,HMHB1
PCNA,PCNA
TCEANC2,TCEANC2
GID8,GID8
KLHL8,KLHL8
MACROH2A1,MACROH2A1
RPL27A,RPL27A
LHX9,LHX9
TNKS2,TNKS2
GABARAPL1,GABARAPL1
POPDC3,POPDC3
DDX39B,DDX39B
PPP4C,PPP4C
RGS17,RGS17
MYL7,MYL7
UBE2F,UBE2F
RRM1,RRM1
LITAF,LITAF
JAZF1,JAZF1
KLRK1,KLRK1
TOP1,TOP1
EFNA1,EFNA1
STXBP5,STXBP5
EYA3,EYA3
POLB,POLB
KCNG1,KCNG1
COX19,COX19
YTHDF1,YTHDF1
SEPTIN5,SEPTIN5
HPCAL1,HPCAL1
DPF2,DPF2
PKM,PKM
RABIF,RABIF
PFDN6,PFDN6
RPS6KA5,RPS6KA5
LSM7,LSM7
JTB,JTB
PURG,PURG
VAMP4,VAMP4
PGPEP1,PGPEP1
FAM219B,FAM219B
UBL3,UBL3
RPL8,RPL8
MEF2C,MEF2C
RARB,RARB
YWHAE,YWHAE
FMNL2,FMNL2
PPP2R5D,PPP2R5D
PTGFR,PTGFR
RPLP0,RPLP0
RAB6B,RAB6B
INTS13,INTS13
VAX2,VAX2
MRPL15,MRPL15
MYOG,MYOG
CLDN1,CLDN1
LZIC,LZIC
ETFRF1,ETFRF1
ING2,ING2
UBE2H,UBE2H
APELA,APELA
HOXC6,HOXC6
UCMA,UCMA
PDHB,PDHB
B4GALT3,B4GALT3
SF3B3,SF3B3
NEFL,NEFL
SNORC,SNORC
NSFL1C,NSFL1C
RAB1A,RAB1A
HDAC3,HDAC3
RIT1,RIT1
SNRNP70,SNRNP70
INTS10,INTS10
ERGIC3,ERGIC3
DPPA5,DPPA5
LHX1,LHX1
GPS2,GPS2
GPR87,GPR87
PRKAB1,PRKAB1
PRPF40A,PRPF40A
ESM1,ESM1
KCTD6,KCTD6
PITX2,PITX2
HSPA8,HSPA8
RAB43,RAB43
PLAG1,PLAG1
NEU1,NEU1
SMIM19,SMIM19
C8orf88,C8orf88
MECP2,MECP2
PHF5A,PHF5A
