human gene name,mice gene name
RPS23,Rps23
GPR85,Gpr85
H2BC18,H2bc18
SEC61A1,Sec61a1
GNG11,Gng11
ZNF664,Zfp664
MOB1A,Mob1a
RPS14,Rps14
MIR375,Mir375
ACTG1,Actg1
ARPC4,Arpc4
SEM1,Sem1
GNG2,Gng2
NOP10,Nop10
CBX3,Cbx3
POLR2J,Polr2j
RAB5B,Rab5b
RPS26,Rps26
H2AZ2,H2az2
MIR4657,Gm22123
PPP3R1,Ppp3r1
YWHAG,Ywhag
POLR2H,Polr2h
RBM22,Rbm22
HOXC6,Hoxc6
AP2S1,Ap2s1
RAB14,Rab14
PHOX2B,Phox2b
RND3,Rnd3
SNRPN,Snrpn
SPPL3,Sppl3
LIN52,Lin52
ARF6,Arf6
RHOB,Rhob
ACTR2,Actr2
SERP1,Serp1
CBX1,Cbx1
GABARAPL1,Gabarapl1
TRA2B,Tra2b
UBE2G1,Ube2g1
YPEL2,Ypel2
SNRPG,Snrpg
SMAD3,Smad3
ELOF1,Elof1
UBE2K,Ube2k
LSM8,Lsm8
RPS18,Rps18
MORF4L1,Morf4l1
MOSMO,Mosmo
PTP4A2,Ptp4a2
RAB30,Rab30
RPS8,Rps8
LSM12,Lsm12
SNORD20,Gm55462
B3GALT1,B3galt1
PTP4A1,Ptp4a1
RPL15,Rpl15
PSMA5,Psma5
EMC6,Emc6
MIR124-1,Mir124a-1
MIR214,Mir214
LSM6,Lsm6
OST4,Ost4
UBE2H,Ube2h
ACTA2,Acta2
NUTF2,Nutf2
BCAS2,Bcas2
FAM78B,Fam78b
HNRNPK,Hnrnpk
WDR5,Wdr5
RPS13,Rps13
SEC61A2,Sec61a2
SRSF10,Srsf10
QKI,Qki
PSMC6,Psmc6
C6orf62,BC005537
H3-3A,H3f3a
EIF4A1,Eif4a1
TUBB4A,Tubb4a
BZW1,Bzw1
RPL37,Rpl37
UBE2B,Ube2b
RPS25,Rps25
USP46,Usp46
RAB7A,Rab7
MIR29C,Mir29c
MIR29B2,Mir29b-2
CDC73,Cdc73
RAB10,Rab10
RAB35,Rab35
SF3B6,Sf3b6
RMND5A,Rmnd5a
LIN7C,Lin7c
UBE2I,Ube2i
SNRPF,Snrpf
AP3S1,Ap3s1
SRSF3,Srsf3
TUBA4A,Tuba4a
RAN,Ran
ACTA1,Acta1
CALM2,Calm2
HRAS,Hras
RPL37A,Rpl37a
TUBA1A,Tuba1a
RAC1,Rac1
PPP1CB,Ppp1cb
WDR82,Wdr82
RAB1A,Rab1a
ACTC1,Actc1
POLR2D,Polr2d
RPS29,Rps29
UBE2M,Ube2m
TAF13,Taf13
RPL24,Rpl24
ILF2,Ilf2
H2AC19,H2ac19
RAP1A,Rap1a
EIF1B,Eif1b
H2AC25,H2ac25
CNIH3,Cnih3
RBM8A,Rbm8a
RHOC,Rhoc
SRSF2,Srsf2
TMCO1,Tmco1
YPEL5,Ypel5
GNG3,Gng3
GNB1,Gnb1
AP2M1,Ap2m1
PSMC5,Psmc5
SUMO1,Sumo1
ETF1,Etf1
ARF5,Arf5
ARF1,Arf1
PBX1,Pbx1
TWIST2,Twist2
CDC42,Cdc42
LSM3,Lsm3
RAP2B,Rap2b
EED,Eed
AGO1,Ago1
RPL23,Rpl23
H2BC26,H2bc26
MIR139,Mir139
H2AC18,H2ac18
H3C14,H3c13
RAC3,Rac3
SSBP3,Ssbp3
AHCYL1,Ahcyl1
ESRRG,Esrrg
LINC03051,LINC03051
POLR2L,Polr2l
HAND2,Hand2
SEC22B,Sec22b
BLCAP,Blcap
MIR9-1,Mir9-1
RPL11,Rpl11
DYNLL1,Dynll1
MARCHF5,Marchf5
TUBB2B,Tubb2b
TUBB2A,Tubb2a
RPL10A,Rpl10a
RPL31,Rpl31
SNX12,Snx12
CNIH1,Cnih1
RNU6-1,Gm25064
ARL8B,Arl8b
RPL8,Rpl8
WDR83OS,Wdr83os
RPL19,Rpl19
MIR1282,Gm22953
PPP4C,Ppp4c
SMARCB1,Smarcb1
RPS20,Rps20
ACTR1A,Actr1a
SPOP,Spop
TSPAN5,Tspan5
RPL36A,Rpl36a
GABARAP,Gabarap
PHB2,Phb2
CNEP1R1,Cnep1r1
YWHAE,Ywhae
ACTB,Actb
CTXND1,Ctxnd1
POLR2I,Polr2i
RPS9,Rps9
RACK1,Rack1
UBE2L3,Ube2l3
UBE2E3,Ube2e3
GNB2,Gnb2
CDC42SE2,Cdc42se2
PRPS1,Prps1
EIF5A,Eif5a
RPL39,Rpl39
MIR99B,Mir99b
BUD31,Bud31
DCAF7,Dcaf7
ERH,Erh
RPL36,Rpl36
TBPL1,Tbpl1
RAB11A,Rab11a
NAA20,Naa20
MIR381,Mir381
GNAI1,Gnai1
NAPB,Napb
RAP2C,Rap2c
MIRLET7F2,Mirlet7f-2
RPS7,Rps7
VSNL1,Vsnl1
CABP7,Cabp7
RPL27,Rpl27
H2AZ1,H2az1
NRARP,Nrarp
LMO4,Lmo4
CALM3,Calm3
CYFIP2,Cyfip2
SMC3,Smc3
SF3B3,Sf3b3
EBF1,Ebf1
POLR2B,Polr2b
PRPF8,Prpf8
POLR2A,Polr2a
AP2B1,Ap2b1
TFAP2B,Tfap2b
CTNNB1,Ctnnb1
CUL1,Cul1
STAT3,Stat3
HNRNPA3,Hnrnpa3
RPS6KA3,Rps6ka3
SMC1A,Smc1a
KAT7,Kat7
PPP2R1A,Ppp2r1a
KCNC1,Kcnc1
CNOT2,Cnot2
NLK,Nlk
EMX2,Emx2
SRP54,Srp54a
MFSD14A,Mfsd14a
CAMK2A,Camk2a
SMARCD3,Smarcd3
U2AF1,U2af1
U2AF2,U2af2
PPP2R5E,Ppp2r5e
EEF1A2,Eef1a2
RUVBL1,Ruvbl1
TUBB3,Tubb3
POU3F2,Pou3f2
GRIA2,Gria2
FBXL20,Fbxl20
PBX3,Pbx3
PSMC2,Psmc2
HDAC3,Hdac3
ACTL6B,Actl6b
RBBP7,Rbbp7
PSMD11,Psmd11
ACTR3,Actr3
PELI1,Peli1
PSMC4,Psmc4
PAFAH1B1,Pafah1b1
DPF3,Dpf3
PRMT1,Prmt1
DRG1,Drg1
ARL5B,Arl5b
MAB21L2,Mab21l2
CNBP,Cnbp
ATP6V0D1,Atp6v0d1
TMEM185A,Tmem185a
GET3,Get3
NFYA,Nfya
RNF2,Rnf2
CLTC,Cltc
DOK6,Dok6
PPP1CA,Ppp1ca
MSI2,Msi2
CREB1,Creb1
FOXB1,Foxb1
CYRIB,Cyrib
PPP1CC,Ppp1cc
CYRIA,Cyria
BRMS1L,Brms1l
LRRC4C,Lrrc4c
PABPC1,Pabpc1
RNF41,Rnf41
GTF2B,Gtf2b
PARP6,Parp6
PPP2CA,Ppp2ca
SNRNP200,Snrnp200
PPP6C,Ppp6c
CRK,Crk
CNOT9,Cnot9
MPPED2,Mpped2
TMEM178B,Tmem178b
CDK5,Cdk5
TLX3,Tlx3
YTHDF2,Ythdf2
ABHD17B,Abhd17b
DDB1,Ddb1
CNOT7,Cnot7
TPM2,Tpm2
SIAH1,Siah1a
SOX21,Sox21
DET1,Det1
PHB1,Phb1
NXPH1,Nxph1
OTUB1,Otub1
RPL7A,Rpl7a
DHX15,Dhx15
OGT,Ogt
EMC3,Emc3
PPP3CA,Ppp3ca
HOXC9,Hoxc9
KCTD21,Kctd21
LRRC3B,Lrrc3b
TLE4,Tle4
ACVR2A,Acvr2a
C1QL3,C1ql3
PGAM1,Pgam1
NOVA1,Nova1
HNRNPR,Hnrnpr
KCNIP4,Kcnip4
PSMA6,Psma6
FGF13,Fgf13
YWHAQ,Ywhaq
PRRX1,Prrx1
YWHAZ,Ywhaz
SATB2,Satb2
CTDNEP1,Ctdnep1
HDAC2,Hdac2
KLHL20,Klhl20
RPS3,Rps3
JAZF1,Jazf1
ELMO1,Elmo1
SP9,Sp9
HOXC8,Hoxc8
HSP90AB1,Hsp90ab1
SOX14,Sox14
AKT3,Akt3
MEIS2,Meis2
SMNDC1,Smndc1
PSMA2,Psma2
LIN7A,Lin7a
CELF3,Celf3
RUVBL2,Ruvbl2
SNRPB,Snrpb
PAFAH1B2,Pafah1b2
GID8,Gid8
PRPF3,Prpf3
YEATS4,Yeats4
NUDT21,Nudt21
TFAP2D,Tfap2d
ILK,Ilk
CHMP4B,Chmp4b
CHMP2A,Chmp2a
HOXC5,Hoxc5
STEEP1,Steep1
SPRYD3,Spryd3
MFAP1,Mfap1b
GRB2,Grb2
CSTF1,Cstf1
PURA,Pura
DDX39B,Ddx39b
CHMP2B,Chmp2b
RAB39B,Rab39b
RAB4B,Rab4b
PTBP2,Ptbp2
PDCD10,Pdcd10
KDELR1,Kdelr1
SF3B4,Sf3b4
COPS3,Cops3
AP3M1,Ap3m1
BCL11A,Bcl11a
FGF9,Fgf9
FGF16,Fgf16
NKAIN1,Nkain1
DNAJA2,Dnaja2
RALA,Rala
FEM1C,Fem1c
CELF1,Celf1
RHOQ,Rhoq
FOXP2,Foxp2
ASF1A,Asf1a
ATP2B1,Atp2b1
LHX1,Lhx1
COPS4,Cops4
SNX6,Snx6
UBE2E2,Ube2e2
ARL4A,Arl4a
NR4A2,Nr4a2
TAGLN3,Tagln3
SAR1A,Sar1a
OLA1,Ola1
DNAJC5,Dnajc5
MAT2A,Mat2a
TLE5,Tle5
LUC7L2,Luc7l2
SEPHS1,Sephs1
TEX261,Tex261
SOX1,Sox1
SELENOT,Selenot
RHOA,Rhoa
CSRP2,Csrp2
CSRP1,Csrp1
CFAP20,Cfap20
CUL3,Cul3
EBF2,Ebf2
HPCAL4,Hpcal4
OAZ2,Oaz2
NRAS,Nras
RBM25,Rbm25
EIF3M,Eif3m
GPR173,Gpr173
ARL8A,Arl8a
CPNE4,Cpne4
GALNT13,Galnt13
ANAPC10,Anapc10
CASK,Cask
ELAVL3,Elavl3
RAP2A,Rap2a
DCX,Dcx
EMC4,Emc4
DCTN5,Dctn5
CTNNA1,Ctnna1
MSI1,Msi1
FUT9,Fut9
EPHB2,Ephb2
FYN,Fyn
EHD1,Ehd1
ZBTB18,Zbtb18
STT3A,Stt3a
DR1,Dr1
RPL18A,Rpl18a
CAND1,Cand1
RPS6KB1,Rps6kb1
GNAT1,Gnat1
WNT7A,Wnt7a
VANGL2,Vangl2
HNRNPH3,Hnrnph3
IPO7,Ipo7
LGALSL,Lgalsl
MYL9,Myl9
SMARCD1,Smarcd1
ACVR2B,Acvr2b
PDIK1L,Pdik1l
MIRLET7I,Mirlet7i
MIR196B,Mir196b
CNOT1,Cnot1
RTCB,Rtcb
DAZAP2,Dazap2
PRPF19,Prpf19
PRKCA,Prkca
NFYC,Nfyc
XPO7,Xpo7
COPS5,Cops5
TAOK1,Taok1
KCNA2,Kcna2
CFL2,Cfl2
PHYHIP,Phyhip
CHIC2,Chic2
BUB3,Bub3
KCND3,Kcnd3
SKP1,Skp1
RPRD1B,Rprd1b
EIF3I,Eif3i
EFTUD2,Eftud2
POLR3B,Polr3b
NCKAP1,Nckap1
LAMTOR1,Lamtor1
TNNC1,Tnnc1
HDAC1,Hdac1
NT5C2,Nt5c2
MAX,Max
RPL21,Rpl21
VPS35,Vps35
SNRPC,Snrpc
ASB7,Asb7
STAG1,Stag1
CDC34,Cdc34
NUDCD2,Nudcd2
RPS27A,Rps27a
RNF11,Rnf11
PFDN5,Pfdn5
MAP3K7,Map3k7
TBR1,Tbr1
ARPC5,Arpc5
KLHL15,Klhl15
UBE2W,Ube2w
KLHL24,Klhl24
ARPC2,Arpc2
TLK2,Tlk2
TUBA1C,Tuba1c
TUBA8,Tuba8
ZBTB14,Zbtb14
EXT1,Ext1
PPP2R2C,Ppp2r2c
ZIC1,Zic1
OSTC,Ostc
MEMO1,Memo1
OTX2,Otx2
ENC1,Enc1
CNOT8,Cnot8
TOMM20,Tomm20
IGF2BP1,Igf2bp1
TADA3,Tada3
MIB1,Mib1
CSTF3,Cstf3
FLOT2,Flot2
POU3F3,Pou3f3
KLHL12,Klhl12
SIX1,Six1
ZRANB1,Zranb1
DIP2C,Dip2c
QRICH1,Qrich1
TRA2A,Tra2a
AP1M1,Ap1m1
FBXW11,Fbxw11
UBE2Q1,Ube2q1
MAPRE3,Mapre3
RAB40C,Rab40c
PFN2,Pfn2
TADA2B,Tada2b
UHMK1,Uhmk1
ARIH1,Arih1
EIF4A3,Eif4a3
GOLGA7,Golga7
CRABP1,Crabp1
JAKMIP2,Jakmip2
THRA,Thra
COPB1,Copb1
PLPP4,Plpp4
GDF11,Gdf11
MED10,Med10
SURF4,Surf4
CPSF4,Cpsf4
RIMS4,Rims4
SNW1,Snw1
KPNA6,Kpna6
CYTH2,Cyth2
TMEM60,Tmem60
TAFA1,Tafa1
MACO1,Maco1
APH1A,Aph1a
RBM39,Rbm39
UBA3,Uba3
TAFA5,Tafa5
RPS3A,Rps3a1
GNB5,Gnb5
PAX2,Pax2
SPIN1,Spin1
PAX5,Pax5
KPNA3,Kpna3
H2AC21,H2ac21
NSA2,Nsa2
PEA15,Pea15a
PFDN6,Pfdn6
U2SURP,U2surp
COPS2,Cops2
TNPO1,Tnpo1
RPL22,Rpl22
ACTN2,Actn2
BABAM2,Babam2
GRIA3,Gria3
NFIA,Nfia
PHLDA3,Phlda3
YPEL4,Ypel4
POLR2F,Polr2f
DNAJC8,Dnajc8
MARCHF3,Marchf3
FZD2,Fzd2
KCNJ10,Kcnj10
SF3A3,Sf3a3
KPNB1,Kpnb1
LAMTOR2,Lamtor2
SMURF2,Smurf2
TAX1BP3,Tax1bp3
LINGO1,Lingo1
PANK3,Pank3
YWHAH,Ywhah
MKLN1,Mkln1
DYNC1H1,Dync1h1
WDR13,Wdr13
PAK1,Pak1
CACNB3,Cacnb3
NTN1,Ntn1
IPO13,Ipo13
PPM1L,Ppm1l
PTPN11,Ptpn11
MMD,Mmd
TRIM62,Trim62
KCTD6,Kctd6
UBE2Z,Ube2z
MTPN,Mtpn
RHOV,Rhov
TM9SF3,Tm9sf3
RPL34,Rpl34
UBL3,Ubl3
APPBP2,Appbp2
SYNGAP1,Syngap1
PPP3CB,Ppp3cb
SMAD1,Smad1
USP7,Usp7
NOG,Nog
LYPLA2,Lypla2
STAG2,Stag2
RNF141,Rnf141
RPLP2,Rplp2
WDR45B,Wdr45b
AGO2,Ago2
CWC15,Cwc15
PRPF18,Prpf18
EFNA5,Efna5
ARFIP2,Arfip2
CAB39,Cab39
ZNRF1,Znrf1
ATP1A2,Atp1a2
EIF3L,Eif3l
HSP90AA1,Hsp90aa1
POU4F3,Pou4f3
POU3F1,Pou3f1
CSK,Csk
HNRNPH2,Hnrnph2
ARPP19,Arpp19
VPS26B,Vps26b
TMEM147,Tmem147
TNPO2,Tnpo2
DDX5,Ddx5
BRSK1,Brsk1
RPL35A,Rpl35a
RAB3A,Rab3a
AP1G1,Ap1g1
SEPTIN7,Septin7
VPS4A,Vps4a
RAB11B,Rab11b
GTF2A2,Gtf2a2
VPS26A,Vps26a
LUC7L3,Luc7l3
CSE1L,Cse1l
ANKRD52,Ankrd52
RBBP5,Rbbp5
HMGB1,Hmgb1
KCNK12,Kcnk12
EEF2,Eef2
ERC2,Erc2
KCNJ6,Kcnj6
PSMD1,Psmd1
GABRG2,Gabrg2
POU4F1,Pou4f1
EIF2S1,Eif2s1
PLS3,Pls3
HMBOX1,Hmbox1
DNAL4,Dnal4
KCND2,Kcnd2
BZW2,Bzw2
FEM1B,Fem1b
CYFIP1,Cyfip1
NRXN1,Nrxn1
PRPF4,Prpf4
PCBD1,Pcbd1
PIP4K2B,Pip4k2b
RAB6A,Rab6a
NFYB,Nfyb
TNPO3,Tnpo3
TBL1XR1,Tbl1xr1
ARCN1,Arcn1
ATP6V1B2,Atp6v1b2
GRIK3,Grik3
AHCYL2,Ahcyl2
RPS5,Rps5
RASL10B,Rasl10b
LHX2,Lhx2
LRRC8A,Lrrc8a
CRIPT,Cript
GRIK2,Grik2
RUNX1T1,Runx1t1
RAB1B,Rab1b
TMED2,Tmed2
KCNJ3,Kcnj3
PRPF31,Prpf31
CYTH3,Cyth3
PRKCG,Prkcg
CHTOP,Chtop
CDK2,Cdk2
IQSEC2,Iqsec2
SAR1B,Sar1b
PA2G4,Pa2g4
MAP2K1,Map2k1
PATZ1,Patz1
PSMC3,Psmc3
CHP1,Chp1
LHX4,Lhx4
ATP1A3,Atp1a3
RBPJ,Rbpj
SRC,Src
SSU72,Ssu72
MIR219A2,Mir219a-2
HOXA13,Hoxa13
EGR3,Egr3
ERGIC1,Ergic1
UBE2E1,Ube2e1
CBLN1,Cbln1
NR2E1,Nr2e1
MSL2,Msl2
STRBP,Strbp
SEC61B,Sec61b
RAC2,Rac2
SEC23A,Sec23a
AGO3,Ago3
MEAF6,Meaf6
PDCD6,Pdcd6
NKIRAS2,Nkiras2
EIF4G2,Eif4g2
EXOC6B,Exoc6b
PUM1,Pum1
RBM18,Rbm18
TPM3,Tpm3
MTOR,Mtor
CCNC,Ccnc
NCK1,Nck1
MAPK9,Mapk9
TRAPPC5,Trappc5
ACTR1B,Actr1b
DDX46,Ddx46
RFX3,Rfx3
TMEFF2,Tmeff2
CBFB,Cbfb
GRIK5,Grik5
HECTD1,Hectd1
ONECUT1,Onecut1
SMAD5,Smad5
CDK8,Cdk8
GLRA3,Glra3
SV2A,Sv2a
GPM6A,Gpm6a
WNT1,Wnt1
SSR3,Ssr3
PRPSAP2,Prpsap2
RHEB,Rheb
CHRM1,Chrm1
HAS2,Has2
S100B,S100b
COPS7A,Cops7a
EIF3D,Eif3d
HSPA2,Hspa2
SLC6A8,Slc6a8
ARL1,Arl1
TMEM47,Tmem47
IPO9,Ipo9
POU3F4,Pou3f4
TUBG1,Tubg1
MIR9-3,Mir9-3
ZNF207,Zfp207
KLHL14,Klhl14
MAPK1,Mapk1
HOXB5,Hoxb5
ARL5A,Arl5a
EPHB1,Ephb1
NLGN3,Nlgn3
MIR30C1,Mir30c-1
DDX41,Ddx41
WNT3,Wnt3
RRAGC,Rragc
VPS25,Vps25
HOXC4,Hoxc4
SH3GL2,Sh3gl2
WNT4,Wnt4
THOC3,Thoc3
CSNK2A2,Csnk2a2
MIR365A,Mir365-1
PSMA4,Psma4
CTDSP1,Ctdsp1
KLHL10,Klhl10
KPNA4,Kpna4
DCUN1D1,Dcun1d1
GRK2,Grk2
AGO4,Ago4
GTPBP2,Gtpbp2
SF3B5,Sf3b5
ACTL6A,Actl6a
IMPDH2,Impdh2
TRIM27,Trim27
XAB2,Xab2
RDH10,Rdh10
STK25,Stk25
ABHD2,Abhd2
TNIK,Tnik
DLX1,Dlx1
HOXD10,Hoxd10
PSMA3,Psma3
RAD51,Rad51
KLHL2,Klhl2
UGP2,Ugp2
CLIC4,Clic4
TBC1D22B,Tbc1d22b
ARMC8,Armc8
PRKCB,Prkcb
GTF2H4,Gtf2h4
ANAPC11,Anapc11
PPFIA2,Ppfia2
YTHDF3,Ythdf3
ABCF2,Abcf2
GOLGA7B,Golga7b
CETN3,Cetn3
CSNK1E,Csnk1e
CA8,Car8
CFL1,Cfl1
PPP2R5B,Ppp2r5b
YY1,Yy1
CDC40,Cdc40
PSMA7,Psma7
GUCY1B1,Gucy1b1
RPS10,Rps10
FGF14,Fgf14
MIR19A,Mir19a
YWHAB,Ywhab
CLK3,Clk3
KCTD12,Kctd12
MAFG,Mafg
NEDD8,Nedd8
ATP6V0E1,Atp6v0e
YBX1,Ybx1
RBM17,Rbm17
CACNG2,Cacng2
TRPC1,Trpc1
PAX3,Pax3
SUPT16H,Supt16
LHX5,Lhx5
ATP2A2,Atp2a2
GNE,Gne
BRINP1,Brinp1
ELMO2,Elmo2
TNNC2,Tnnc2
PRKAA1,Prkaa1
DERL2,Derl2
DEDD,Dedd
PRPS2,Prps2
TLN1,Tln1
TMEM127,Tmem127
MAEA,Maea
YPEL1,Ypel1
NAA40,Naa40
POLR3F,Polr3f
RNF166,Rnf166
CKS2,Cks2
CAMK2N2,Camk2n2
LRRC73,Lrrc73
PKNOX2,Pknox2
CACNG3,Cacng3
NONO,Nono
RBM24,Rbm24
RBPMS,Rbpms
KCNJ9,Kcnj9
SCAMP5,Scamp5
SSTR1,Sstr1
CSNK2A1,Csnk2a1
PAPSS1,Papss1
LMO1,Lmo1
RPRD1A,Rprd1a
PRPF38A,Prpf38a
ONECUT2,Onecut2
STK38,Stk38
PITPNA,Pitpna
SNX27,Snx27
INTS3,Ints3
KLHL9,Klhl9
ARK2C,Ark2c
C16orf87,4921524J17Rik
GABBR1,Gabbr1
UFD1,Ufd1
NMNAT2,Nmnat2
ORMDL1,Ormdl1
PIK3CA,Pik3ca
TRIAP1,Triap1
TSN,Tsn
MIR382,Mir382
WNT5A,Wnt5a
METTL14,Mettl14
PSMD2,Psmd2
UBTD1,Ubtd1
RND2,Rnd2
BTRC,Btrc
GLRA2,Glra2
ATP6V1E1,Atp6v1e1
TMEM98,Tmem98
TBX15,Tbx15
GNG4,Gng4
SLC32A1,Slc32a1
BRK1,Brk1
TLN2,Tln2
NPR2,Npr2
CDK17,Cdk17
GOLPH3,Golph3
STMN1,Stmn1
TRIM3,Trim3
CDK9,Cdk9
VWC2L,Vwc2l
SMIM15,Smim15
EDF1,Edf1
ARPC1A,Arpc1a
NALCN,Nalcn
CNKSR2,Cnksr2
GLYR1,Glyr1
VPS28,Vps28
SSBP2,Ssbp2
RAE1,Rae1
DDX3X,Ddx3x
GPHN,Gphn
SRGAP3,Srgap3
CHMP5,Chmp5
DRG2,Drg2
EIF3K,Eif3k
ATG101,Atg101
TRAPPC1,Trappc1
UBE2V2,Ube2v2
DYRK1A,Dyrk1a
ENO2,Eno2
TXNL1,Txnl1
SEPTIN2,Septin2
MSN,Msn
FGF17,Fgf17
RAB5C,Rab5c
UPF1,Upf1
ISL2,Isl2
TRNAU1AP,Trnau1ap
PCMTD1,Pcmtd1
ING4,Ing4
ZFAND5,Zfand5
GTF2H5,Gtf2h5
SPTSSA,Sptssa
MIR30A,Mir30a
PLAGL2,Plagl2
CLP1,Clp1
HOMER1,Homer1
VDAC1,Vdac1
GJB1,Gjb1
SCN8A,Scn8a
KDELR2,Kdelr2
RAB2A,Rab2a
RAB15,Rab15
GRIN2B,Grin2b
EPHA4,Epha4
MAD2L2,Mad2l2
NOVA2,Nova2
ZDHHC17,Zdhhc17
BEND5,Bend5
MB21D2,Mb21d2
GABRA1,Gabra1
PRKCI,Prkci
POLR2E,Polr2e
STXBP6,Stxbp6
RPL38,Rpl38
SLC17A7,Slc17a7
NXT1,Nxt1
GNG8,Gng8
CTCF,Ctcf
ACTR3B,Actr3b
IL1RAPL1,Il1rapl1
TRAPPC2L,Trappc2l
GRIA4,Gria4
CEPT1,Cept1
MED18,Med18
KBTBD2,Kbtbd2
CPNE9,Cpne9
RAB8B,Rab8b
FGF18,Fgf18
GOLT1B,Golt1b
SNORD2,Snord2
HSPA5,Hspa5
ARMH3,Armh3
HAPSTR1,Hapstr1
RPL28,Rpl28
MGAT4B,Mgat4b
CPSF3,Cpsf3
CLIP3,Clip3
PSMB3,Psmb3
SPSB1,Spsb1
FAXC,Faxc
ARGLU1,Arglu1
PAK3,Pak3
SMIM45,Smim45
SMIM10L3,Smim10l3
MIR24-1,Mir24-1
SRSF5,Srsf5
CALB2,Calb2
XPO4,Xpo4
RAB24,Rab24
LSAMP,Lsamp
ZFP36L1,Zfp36l1
GALNT18,Galnt18
CAB39L,Cab39l
CCDC85B,Ccdc85b
RPL3,Rpl3
SNX17,Snx17
ID2,Id2
CDK14,Cdk14
RPS6KA1,Rps6ka1
MTA2,Mta2
B3GAT1,B3gat1
PAF1,Paf1
SOX10,Sox10
CSDE1,Csde1
GALNT17,Galnt17
PPP4R3A,Ppp4r3a
DIRAS2,Diras2
RERG,Rerg
SEPTIN11,Septin11
LHX9,Lhx9
IFT20,Ift20
POMGNT1,Pomgnt1
MIR378A,Mir378a
ACTR6,Actr6
HOXC13,Hoxc13
KCNJ2,Kcnj2
PRMT8,Prmt8
DDX23,Ddx23
LEPROTL1,Leprotl1
USP9X,Usp9x
OLFM3,Olfm3
SPRYD7,Spryd7
CALB1,Calb1
ELAVL1,Elavl1
TENM2,Tenm2
DPF2,Dpf2
SMAD4,Smad4
GRM8,Grm8
FBXW2,Fbxw2
KCTD9,Kctd9
ITPR1,Itpr1
RDX,Rdx
DCAF12,Dcaf12
CADM4,Cadm4
SHOC2,Shoc2
C1QL1,C1ql1
SNF8,Snf8
RAB5IF,Rab5if
H2AJ,H2aj
TRRAP,Trrap
WDR48,Wdr48
COPA,Copa
CMIP,Cmip
EXOC5,Exoc5
BCL2L2,Bcl2l2
DCLK1,Dclk1
PLCXD3,Plcxd3
ATXN7L3,Atxn7l3
NAA15,Naa15
RARB,Rarb
RNF185,Rnf185
EIF3G,Eif3g
AP2A1,Ap2a1
ACVR1,Acvr1
NPRL2,Nprl2
FRMD5,Frmd5
FGFR1,Fgfr1
NF1,Nf1
GRID1,Grid1
CADM1,Cadm1
MATR3,Matr3
NF2,Nf2
DAZAP1,Dazap1
TIAL1,Tial1
GATAD2B,Gatad2b
ZIC2,Zic2
PAX6,Pax6
TSPAN7,Tspan7
ZIC3,Zic3
AAMP,Aamp
WASF1,Wasf1
GALNT1,Galnt1
PAX9,Pax9
JUP,Jup
AMMECR1L,Ammecr1l
USF1,Usf1
MACROH2A2,Macroh2a2
DSCAM,Dscam
KCNA1,Kcna1
