gorilla gene name,rhesus_macaque gene name
MIRLET7F2,mml-let-7f-2
PRPF38A,PRPF38A
SMIM19,SMIM19
ATP6V1E1,ATP6V1E1
SCAMP1,SCAMP1
ggo-mir-16,mml-mir-16-1
MIR1288,MIR1288
RBM18,RBM18
MIR128-2,mml-mir-128b
LRRC4C,LRRC4C
SOCS3,SOCS3
EMX2,EMX2
RALYL,RALYL
ggo-mir-95,mml-mir-95
DNAJA2,DNAJA2
RARB,RARB
MIR34B,mml-mir-34b
RNF2,RNF2
RAC2,RAC2
GABARAPL2,GABARAPL2
SPCS3,SPCS3
CACNG2,CACNG2
YWHAZ,YWHAZ
ZBTB18,ZBTB18
H3-3B,H3-3A
TIMM8A,TIMM8A
MIR324,mml-mir-324
ggo-mir-196-1,mml-mir-196a-1
TWSG1,TWSG1
FEM1B,FEM1B
MIR431,mml-mir-431
PTP4A2,PTP4A2
NFKBIA,NFKBIA
HYPK,HYPK
CALU,CALU
MIR4677,MIR4677
MIR301A,mml-mir-301a
FCF1,FCF1
CPLX3,CPLX3
MRFAP1L1,MRFAP1L1
LRRTM3,LRRTM3
CD63,CD63
KCNK2,KCNK2
TADA1,TADA1
DESI1,DESI1
SNAP25,SNAP25
CDK17,CDK17
SNN,SNN
PRKG1,PRKG1
RAB6B,RAB6B
CCDC3,CCDC3
EIF4A2,EIF4A2
HMGB1,HMGB1
H2AC12,H2AC12
LHX1,LHX1
H2BC5,H2BC5
ING2,ING2
PRDX2,PRDX2
IGFBP4,IGFBP4
ATXN7L3B,ATXN7L3B
LGI1,LGI1
HSPB8,HSPB8
MIR670,mml-mir-670
MIR5047,MIR5047
CYRIB,CYRIB
RNF7,RNF7
MIR3666,MIR3666
CHMP7,CHMP7
RAP1B,RAP1B
MARCHF5,MARCHF5
PAIP2B,PAIP2B
ARMC1,ARMC1
MIR885,mml-mir-885
KCTD4,KCTD4
ABHD17B,ABHD17B
GALNT17,GALNT17
DSTN,DSTN
EIF3D,EIF3D
AHCYL1,AHCYL1
LSM6,LSM6
RPRD1B,RPRD1B
SUPT16H,SUPT16H
YPEL,YPEL2
RBM22,RBM22
RAP2B,RAP2B
ACTL6A,ACTL6A
SSTR1,SSTR1
CDC42,CDC42
RAB40C,RAB40C
MIR208B,mml-mir-208b
PPIL1,PPIL1
KLF12,KLF12
CHMP5,CHMP5
MIR3610,MIR3610
ggo-mir-23a,mml-mir-23a
LHFPL5,LHFPL5
H2AC20,H2AC20
DNAJB4,DNAJB4
SRSF5,SRSF5
PHLDA3,PHLDA3
GPR139,GPR139
GPR22,GPR22
JAGN1,JAGN1
PITPNB,PITPNB
IRF6,IRF6
SIAH2,SIAH2
TSPAN5,TSPAN5
IGF2BP1,IGF2BP1
ggo-mir-133a,mml-mir-133a
BZW2,BZW2
HES1,HES1
GNAI3,GNAI3
ARPC5L,ARPC5L
MIR26A2,mml-mir-26a-2
DCTN5,DCTN5
NHLH2,NHLH2
GLRA3,GLRA3
NFIA,NFIA
WNT2,WNT2
CREB5,CREB5
ggo-mir-30d,mml-mir-30d
NUTF2,NUTF2
CNIH2,CNIH2
YKT6,YKT6
SST,SST
CREB1,CREB1
TMEM50A,TMEM50A
ACTR3,ACTR3
RPL36,RPL36
AMIGO1,AMIGO1
CLVS2,CLVS2
MEOX2,MEOX2
TRAPPC1,TRAPPC1
PCP4,PCP4
FAM32A,FAM32A
HDDC3,HDDC3
VAPB,VAPB
CRX,CRX
PSMC4,PSMC4
SESTD1,SESTD1
CTDSP2,CTDSP2
EIF4A1,EIF4A1
SUDS3,SUDS3
ARIH1,ARIH1
ATP2B1,ATP2B1
LDB1,LDB1
ETFRF1,ETFRF1
ASB7,ASB7
SRP54,SRP54
BRMS1L,BRMS1L
CYRIA,CYRIA
CNOT8,CNOT8
ORMDL1,ORMDL1
EIF4EBP2,EIF4EBP2
PITHD1,PITHD1
ZNF706,ZNF706
ATG101,ATG101
PSMC5,PSMC5
SLC30A7,SLC30A7
PSMA7,PSMA7
BUD31,BUD31
TUSC3,TUSC3
FGF9,FGF9
MAB21L1,MAB21L1
CPLX1,CPLX1
CAMK1D,CAMK1D
SEC61G,SEC61G
GSKIP,GSKIP
TRIM27,TRIM27
LMX1A,LMX1A
RAP2C,RAP2C
RAB10,RAB10
FBXO44,FBXO44
PROX1,PROX1
ENC1,ENC1
LIN7A,LIN7A
FHL3,FHL3
HPCA,HPCA
DAD1,DAD1
SSR3,SSR3
UBTF,UBTF
DPH3,DPH3
PHB1,PHB1
SOX21,SOX21
PAIP2,PAIP2
GTF2H3,GTF2H3
AKT3,AKT3
KLF3,KLF3
PCBP1,PCBP1
NKAIN2,NKAIN2
YBX1,YBX1
GNAZ,GNAZ
MARCKSL1,MARCKSL1
FEM1C,FEM1C
TRIB2,TRIB2
AP1G1,AP1G1
GTF2H5,GTF2H5
EMC6,EMC6
TNPO3,TNPO3
GABARAP,GABARAP
SMPX,SMPX
MTPN,MTPN
PDRG1,PDRG1
FAM168B,FAM168B
TMEM98,TMEM98
SIGMAR1,SIGMAR1
PSMA2,PSMA2
RPS26,RPS26
RPL15,RPL15
TAFA1,TAFA1
RPS28,RPS28
PCBD1,PCBD1
IP6K1,IP6K1
NUF2,NUF2
TBR1,TBR1
SMAD9,SMAD9
PSMA6,PSMA6
ARL14EP,ARL14EP
NR2F2,NR2F2
STAG1,STAG1
CPEB4,CPEB4
TOMM22,TOMM22
AGO1,AGO1
HSPA5,HSPA5
SMAD4,SMAD4
PELO,PELO
SNAI2,SNAI2
TAX1BP3,TAX1BP3
MAFG,MAFG
MAD2L1,MAD2L1
COPZ2,COPZ2
INIP,INIP
POLR2I,POLR2I
HSPA8,HSPA8
EGR3,EGR3
VPS33A,VPS33A
RPL10A,RPL10A
ELAVL1,ELAVL1
ZNHIT1,ZNHIT1
NUDT11,NUDT11
CKS2,CKS2
PAFAH1B2,PAFAH1B2
CNIH1,CNIH1
PRKAB1,PRKAB1
RAB3A,RAB3A
CHST11,CHST11
RPIA,RPIA
GNG7,GNG7
NTMT1,NTMT1
GID8,GID8
TNPO1,TNPO1
CDK9,CDK9
ARL1,ARL1
ATF2,ATF2
BOK,BOK
ABI1,ABI1
RAB24,RAB24
MDK,MDK
SF3B6,SF3B6
LHFPL4,LHFPL4
PHF6,PHF6
NNAT,NNAT
FGF18,FGF18
POLR3B,POLR3B
RPLP1,RPLP1
GABRB2,GABRB2
CFL2,CFL2
LYPLA2,LYPLA2
PSMC1,PSMC1
CHIC2,CHIC2
PCNA,PCNA
IMP3,IMP3
TMEM170B,TMEM170B
ACTG2,ACTG2
POLE3,POLE3
ITM2B,ITM2B
EFTUD2,EFTUD2
GNAT1,GNAT1
HS3ST5,HS3ST5
TRA2A,TRA2A
MEIS2,MEIS2
DRG1,DRG1
RNF41,RNF41
STRIT1,STRIT1
STT3A,STT3A
ERH,ERH
WNT7B,WNT7B
CCNL1,CCNL1
RAB39B,RAB39B
ACTC1,ACTC1
EIF3I,EIF3I
RPLP2,RPLP2
ENY2,ENY2
PIK3CA,PIK3CA
TSG101,TSG101
VPS37D,VPS37D
FAM78B,FAM78B
SMAD2,SMAD2
EIF3G,EIF3G
RAB8A,RAB8A
CNRIP1,CNRIP1
MTCP1,MTCP1
HIKESHI,HIKESHI
DNAJC5,DNAJC5
JOSD1,JOSD1
DCUN1D3,DCUN1D3
CAMK2N1,CAMK2N1
CIB2,CIB2
CLDN19,CLDN19
API5,API5
HLF,HLF
MSL2,MSL2
NFYA,NFYA
RING1,RING1
NCKAP1,NCKAP1
MCTS1,MCTS1
UGCG,UGCG
DDX39B,DDX39B
SUPT4H1,SUPT4H1
NAPB,NAPB
TCEA1,TCEA1
HOXC6,HOXC6
SMU1,SMU1
RPL35A,RPL35A
PHOX2B,PHOX2B
DNAJC19,DNAJC19
HSPB1,HSPB1
AGO3,AGO3
EBF1,EBF1
PRPS1,PRPS1
GIPC1,GIPC1
RASL10B,RASL10B
PFDN4,PFDN4
TMA7,TMA7
DNAL4,DNAL4
BCAS3,BCAS3
TSN,TSN
TRIM23,TRIM23
TUSC2,TUSC2
RPS11,RPS11
CTNNB1,CTNNB1
COPS5,COPS5
OAZ2,OAZ2
SNRPD2,SNRPD2
GJD2,GJD2
UCK2,UCK2
ACTR1A,ACTR1A
POLR2B,POLR2B
HOXC12,HOXC12
EMP3,EMP3
YEATS4,YEATS4
CBX5,CBX5
EAF1,EAF1
PPP4C,PPP4C
ATP6V1C1,ATP6V1C1
ARF5,ARF5
RPS3,RPS3
GRB2,GRB2
PPIA,PPIA
PPP2R1A,PPP2R1A
STARD3NL,STARD3NL
MYF6,MYF6
ELAVL4,ELAVL4
TMEM263,TMEM263
KCNJ3,KCNJ3
MMP16,MMP16
PRCD,PRCD
CSTF1,CSTF1
CACNB4,CACNB4
SUV39H1,SUV39H1
GLRB,GLRB
CYFIP2,CYFIP2
DPY30,DPY30
ASIC1,ASIC1
TIMM10,TIMM10
CFAP20,CFAP20
AIDA,AIDA
PAQR3,PAQR3
TMSB15A,TMSB15B
KBTBD2,KBTBD2
PBX1,PBX1
DNAL1,DNAL1
DLX3,DLX3
RPL8,RPL8
GNB3,GNB3
BRK1,BRK1
ALKAL2,ALKAL2
CDKN2C,CDKN2C
MLF2,MLF2
GRIK2,GRIK2
SLC17A7,SLC17A7
RAB11A,RAB11A
GLUL,GLUL
LSM2,LSM2
TMED2,TMED2
PTP4A3,PTP4A3
SRGAP1,SRGAP1
SEC61B,SEC61B
STMP1,PL-5283
RDH10,RDH10
MRPS17,MRPS17
EIF5A2,EIF5A2
LSM8,LSM8
PRKAA2,PRKAA2
PPP2CB,PPP2CB
PIANP,PIANP
CACNG7,CACNG7
CASK,CASK
TEF,TEF
LBH,LBH
PDK2,PDK2
LHX9,LHX9
ARF4,ARF4
TTC9C,TTC9C
TNNI1,TNNI1
EIF1B,EIF1B
RNF141,RNF141
CCDC126,CCDC126
WDR45B,WDR45B
KHDRBS1,KHDRBS1
LZIC,LZIC
FGFR1OP2,FGFR1OP2
PRELID1,PRELID1
SMNDC1,SMNDC1
DUSP6,DUSP6
SLC6A1,SLC6A1
TXNL4A,TXNL4A
TMEM258,TMEM258
CIAO2A,CIAO2A
PSMB2,PSMB2
HDAC3,HDAC3
RBM14,RBM14
DDIT4L,DDIT4L
S100A16,S100A16
ZBTB14,ZBTB14
GNGT1,GNGT1
PDIK1L,PDIK1L
PSENEN,PSENEN
SH3BGRL,SH3BGRL
SH3BGRL2,SH3BGRL2
BNIP3,BNIP3
GPM6A,GPM6A
SPIN1,SPIN1
KCNC2,KCNC2
RAD1,RAD1
TIMP3,TIMP3
RPS8,RPS8
STARD4,STARD4
C1orf21,C1H1orf21
SMAD5,SMAD5
GNG13,GNG13
ANAPC13,ANAPC13
ANAPC10,ANAPC10
KLHDC3,KLHDC3
DCUN1D5,DCUN1D5
NUDT21,NUDT21
ZNF367,ZNF367
KPNA1,KPNA1
MSANTD4,MSANTD4
NAA20,NAA20
S100A4,S100A4
NRGN,NRGN
SF3B4,SF3B4
HNRNPR,HNRNPR
RBM8A,RBM8A
LAMTOR3,LAMTOR3
CACNG3,CACNG3
ZNF385D,ZNF385D
SEC23A,SEC23A
NRAS,NRAS
EED,EED
ZRANB1,ZRANB1
LRRTM2,LRRTM2
RBM47,RBM47
IKZF5,IKZF5
SPSB1,SPSB1
TSPAN18,TSPAN18
UBTD1,UBTD1
PTPN11,PTPN11
VWC2L,VWC2L
GNB1,GNB1
ANKRA2,ANKRA2
RAB14,RAB14
NCBP1,NCBP1
YTHDF3,YTHDF3
NSG1,NSG1
PHF5A,PHF5A
TADA2A,TADA2A
VAMP4,VAMP4
EBF2,EBF2
ACTG1,ACTG1
MED31,MED31
S100A6,S100A6
MAPKAP1,MAPKAP1
SNAPC5,SNAPC5
SUB1,SUB1
RIT1,RIT1
EPHA7,EPHA7
U4,U4
EIF2S1,EIF2S1
USP27X,USP27X
SNORD37,SNORD37
H2AC6,H2AC6
RCHY1,RCHY1
C6orf62,C4H6orf62
SNORD77B,SNORD77B
TMEM167A,TMEM167A
SNORD18,SNORD18
BTF3L4,BTF3L4
SNRPC,SNRPC
MYL9,MYL9
MIR181B2,mml-mir-181b-2
ERG,ERG
USP15,USP15
Y_RNA,Y_RNA
MAGOHB,MAGOHB
H2BC11,H2BC11
MIR544A,mml-mir-544
MAB21L2,MAB21L2
CTNNA2,CTNNA2
RPS25,RPS25
ggo-mir-135a,mml-mir-135a-2
ggo-mir-105,mml-mir-105-1
UBE2V2,UBE2V2
NRARP,NRARP
RPS13,RPS13
SNORD65,SNORD65
TBPL1,TBPL1
PTP4A1,PTP4A1
MIR1226,mml-mir-1226
SAP18,SAP18
MIR1-2,MIR1-2
MACIR,MACIR
MIR4743,MIR4743
PGAP4,PGAP4
FZR1,FZR1
PPP1R11,PPP1R11
NCK1,NCK1
UBE2E2,UBE2E2
SERP1,SERP1
MIR193B,mml-mir-193b
MIR770,mml-mir-770
H2AC21,H2AC21
SNORD114-28,SNORD114-28
RGS17,RGS17
MIR374B,mml-mir-374b
H2BC26,H2BC26
MIR2113,MIR2113
SNORD86,SNORD86
MIR6501,MIR6501
GNB2,GNB2
MIR4282,MIR4282
GREM2,GREM2
MPPED2,MPPED2
BLCAP,BLCAP
MIR744,MIR744
SLC23A2,SLC23A2
FAF2,FAF2
CTXN2,CTXN2
OST4,OST4
SIAH1,SIAH1
PIP4K2B,PIP4K2B
FBXO11,FBXO11
BCLAF1,BCLAF1
HCN1,HCN1
SUPT6H,SUPT6H
RTF1,RTF1
ASTN1,ASTN1
STAG2,STAG2
ATP2B2,ATP2B2
CPSF6,CPSF6
STXBP5,STXBP5
UBE4A,UBE4A
NPR2,NPR2
OGT,OGT
CNKSR2,CNKSR2
KIF5A,KIF5A
CELF1,CELF1
INO80D,INO80D
MIB1,MIB1
SCN2A,SCN2A
RNF20,RNF20
XPOT,XPOT
XRN2,XRN2
PPARA,PPARA
TEX10,TEX10
ZMYM3,ZMYM3
GRIA2,GRIA2
KLHL29,KLHL29
CLCN3,CLCN3
EEF2,EEF2
NLGN3,NLGN3
RBM25,RBM25
TFIP11,TFIP11
MCM6,MCM6
DDX23,DDX23
EFR3B,EFR3B
EXOC6B,EXOC6B
RBM5,RBM5
LRRC8C,LRRC8C
MBNL1,MBNL1
DHX15,DHX15
ZNF148,ZNF148
CNOT1,CNOT1
KIFAP3,KIFAP3
STAT5B,STAT5B
CPSF2,CPSF2
ERCC3,ERCC3
NFE2L1,NFE2L1
POU2F1,POU2F1
ZER1,ZER1
BRINP1,BRINP1
CLCN4,CLCN4
MFN2,MFN2
ANAPC5,ANAPC5
MSTN,MSTN
PAPOLA,PAPOLA
MACROH2A1,MACROH2A1
PDE4B,PDE4B
KIF3A,KIF3A
NAA35,NAA35
DDX46,DDX46
ZFP64,ZFP64
PRKCB,PRKCB
PDS5A,PDS5A
DHDDS,DHDDS
PABPC4,PABPC4
KATNB1,KATNB1
SLC20A2,SLC20A2
FLRT3,FLRT3
ABCG4,ABCG4
NOL4,NOL4
PCSK2,PCSK2
ZDHHC17,ZDHHC17
RAD21,RAD21
CYFIP1,CYFIP1
ADCY8,ADCY8
MED12,MED12
TOX4,TOX4
NXF1,NXF1
KAT7,KAT7
KLHL20,KLHL20
JAG1,JAG1
RDX,RDX
PPP2R5D,PPP2R5D
NR4A2,NR4A2
NF2,NF2
MTF2,MTF2
GATAD2B,GATAD2B
HPSE2,HPSE2
TAF5L,TAF5L
AKTIP,AKTIP
IKZF4,IKZF4
RALGPS2,RALGPS2
FZD10,FZD10
FUT8,FUT8
DDB1,DDB1
RNF220,RNF220
WASF1,WASF1
CPNE9,CPNE9
GLYR1,GLYR1
CLIP3,CLIP3
EHD2,EHD2
UBP1,UBP1
SLC22A17,SLC22A17
LRP6,LRP6
RXRB,RXRB
HSF2,HSF2
RPE65,RPE65
BMPR1A,BMPR1A
SNX27,SNX27
LRRC1,LRRC1
SRSF10,SRSF10
VANGL2,VANGL2
MEF2D,MEF2D
ABTB2,ABTB2
KCNV1,KCNV1
PLAG1,PLAG1
MECP2,MECP2
ANGPT1,ANGPT1
KCNA1,KCNA1
GRIN2B,GRIN2B
KCNH5,KCNH5
PRKCE,PRKCE
FBXL7,FBXL7
TMEM39A,TMEM39A
HDAC2,HDAC2
ZDHHC14,ZDHHC14
RGS7,RGS7
PPP2R5A,PPP2R5A
MYH3,MYH1
ZNF639,ZNF639
CCDC47,CCDC47
SRSF11,SRSF11
HDAC1,HDAC1
G3BP2,G3BP2
RBM42,RBM42
SNX13,SNX13
CHD4,CHD4
COPB1,COPB1
PSMD1,PSMD1
AP2B1,AP2B1
CSNK1G1,CSNK1G1
CCDC6,CCDC6
PTDSS1,PTDSS1
ESRRG,ESRRG
CDK14,CDK14
SMAD1,SMAD1
UBA3,UBA3
SLC8A2,SLC8A2
TRPC3,TRPC3
SLC39A8,SLC39A8
CHN1,CHN1
ACTN1,ACTN1
SND1,SND1
HACE1,HACE1
FLNC,FLNC
GABPA,GABPA
IDH2,IDH2
TFAP2D,TFAP2D
CSK,CSK
MAP2K5,MAP2K5
MATR3,MATR3
SF3B2,SF3B2
ZIC1,ZIC1
DRD1,DRD1
TUBB6,TUBB6
CDS2,CDS2
TUBB2B,TUBB2B
INTS6,INTS6
TGFB2,TGFB2
GPR180,GPR180
MFAP1,MFAP1
SNX30,SNX30
TEAD3,TEAD3
ENO1,ENO1
AAMP,AAMP
HECTD3,HECTD3
KCNK12,KCNK12
FBXL3,FBXL3
THAP1,THAP1
PACSIN3,PACSIN3
FBXL2,FBXL2
SYT1,SYT1
B3GALT2,B3GALT2
NUCB2,NUCB2
UHMK1,UHMK1
KAT2A,RAB5C
AP3M1,AP3M1
PELI1,PELI1
HMGB2,HMGB2
WNT10A,WNT10A
CEPT1,CEPT1
JAKMIP1,JAKMIP1
ARRDC3,ARRDC3
YY1,YY1
TGFB3,TGFB3
ATP6V1A,ATP6V1A
SMARCE1,SMARCE1
JAKMIP2,JAKMIP2
PIAS2,PIAS2
PNISR,PNISR
RASGRP2,RASGRP2
LHX2,LHX2
ZNF711,ZNF711
LHX5,LHX5
RRAGC,RRAGC
PRKACB,PRKACB
RC3H2,RC3H2
GJC1,GJC1
FBXO38,FBXO38
CDH6,CDH6
LRFN2,LRFN2
PRMT8,PRMT8
MARK2,MARK2
TPT1,TPT1
MAP2K1,MAP2K1
TGFB1,TGFB1
VPS36,VPS36
GABBR1,GABBR1
CARD11,CARD11
PROKR2,PROKR2
XPO4,XPO4
BRINP3,BRINP3
NPY1R,NPY1R
B4GALT6,B4GALT6
NEUROD2,NEUROD2
PLPPR4,PLPPR4
DMTF1,DMTF1
MYO1B,MYO1B
CCR7,CCR7
HNRNPA3,HNRNPA3
VCL,VCL
ZNF512,ZNF512
PEX14,PEX14
GNE,GNE
PHYHIPL,PHYHIPL
ARHGAP35,ARHGAP35
KIF3B,KIF3B
ERC1,ERC1
PEX3,PEX3
CAMSAP2,CAMSAP2
MACROH2A2,MACROH2A2
NSFL1C,NSFL1C
RPS6KA1,RPS6KA1
SV2A,SV2A
TRAM2,TRAM2
WNT1,WNT1
PCYT1B,PCYT1B
DDX50,DDX50
CXCR3,CXCR3
ZNF24,ZNF24
SAP30L,SAP30L
GKAP1,GKAP1
PPM1G,PPM1G
SLC4A8,SLC4A8
ALDOC,ALDOC
CTCF,CTCF
ATAD1,ATAD1
POU3F4,POU3F4
PPM1L,PPM1L
TMEM198,TMEM198
ILF3,ILF3
ISL2,ISL2
ST8SIA4,ST8SIA4
ANXA2,ANXA2
DNAAF10,DNAAF10
HS2ST1,HS2ST1
RFC3,RFC3
ST8SIA1,ST8SIA1
SMARCC2,SMARCC2
GNAI2,GNAI2
PAQR8,PAQR8
GNAT3,GNAT3
FBXW7,FBXW7
PNMA1,PNMA1
INTS13,INTS13
MUL1,MUL1
PJVK,PJVK
WNT8B,WNT8B
SMARCA5,SMARCA5
HERC3,HERC3
IL1RAPL1,IL1RAPL1
TAB2,TAB2
KHDRBS3,KHDRBS3
CDK7,CDK7
VEZF1,VEZF1
IPO8,IPO8
FAR1,FAR1
TMOD4,TMOD4
MED23,MED23
PLK2,PLK2
KAT5,KAT5
CAB39,CAB39
GNB4,GNB4
TP63,TP63
HOXD10,HOXD10
HSPA9,HSPA9
FAM76B,FAM76B
AHSA1,AHSA1
TFAP4,TFAP4
FOSB,FOSB
MTA2,MTA2
PRPF39,PRPF39
DSCAM,DSCAM
INTS8,INTS8
RABGGTB,RABGGTB
JPH1,JPH1
RCE1,RCE1
ZNF521,ZNF521
BARHL1,BARHL1
GPS2,GPS2
MAPRE2,MAPRE2
TRIM32,TRIM32
DLGAP3,DLGAP3
NUP35,NUP35
ADORA1,ADORA1
FBXL12,FBXL12
DLGAP1,DLGAP1
VWC2,VWC2
DLG2,DLG2
UBASH3B,UBASH3B
CTNND1,CTNND1
DYNC1I1,DYNC1I1
SLC24A3,SLC24A3
BTBD1,BTBD1
HDAC5,HDAC5
RASAL2,RASAL2
PI4K2A,PI4K2A
SLITRK5,SLITRK5
GPR171,GPR171
TMEM121,TMEM121
KSR2,KSR2
LRRC73,LRRC73
PRDM5,PRDM5
SPRY2,SPRY2
ZNF436,ZNF436
PURB,PURB
RPRD1A,RPRD1A
ACTR8,ACTR8
MED27,MED27
GPN2,GPN2
ELF1,ELF1
CDK8,CDK8
PCDH9,PCDH9
GFRA2,GFRA2
DLG1,DLG1
NFATC2,NFATC2
VDAC2,VDAC2
TOMM40L,TOMM40L
RIMS3,RIMS3
CDK5R1,CDK5R1
LRRC59,LRRC59
SEC22A,SEC22A
VCPIP1,VCPIP1
BTBD9,BTBD9
GRIA1,GRIA1
KLHL10,KLHL10
ZNF652,ZNF652
CDK4,CDK4
KLF7,KLF7
DHRS3,DHRS3
PITX3,PITX3
SIPA1L1,SIPA1L1
MAP4K3,MAP4K3
JUP,JUP
GAD1,GAD1
BLVRA,BLVRA
SFRP2,SFRP2
ZC3H14,ZC3H14
TMEM178B,TMEM178B
NPM1,NPM1
GRM3,GRM3
KDM1A,KDM1A
ARHGAP42,ARHGAP42
NDST3,NDST3
SLC17A6,SLC17A6
IMP4,IMP4
METTL3,METTL3
PAK3,PAK3
DNM3,DNM3
CDC40,CDC40
PGAM5,PGAM5
RICTOR,RICTOR
CPNE4,CPNE4
PLCG1,PLCG1
MYH10,MYH10
KCNB1,KCNB1
IFFO1,IFFO1
KLF6,KLF6
SNRPA,SNRPA
ZFX,ZFX
MSANTD2,MSANTD2
CLASP1,CLASP1
SLITRK4,SLITRK4
ATL1,ATL1
RASD1,RASD1
EPC1,EPC1
HNF1B,HNF1B
IK,IK
CNOT6,CNOT6
CITED2,CITED2
TCP1,TCP1
SLC39A10,SLC39A10
RSU1,RSU1
TRIM8,TRIM8
ZMYM2,ZMYM2
CACNG5,CACNG5
COCH,COCH
ADAM17,ADAM17
ELP3,ELP3
PAQR4,PAQR4
ZNF32,ZNF32
IGFBP5,IGFBP5
NEFL,NEFL
SPI1,SPI1
LRRC41,LRRC41
EHD4,EHD4
NR5A2,NR5A2
PIP5K1B,PIP5K1B
SURF4,SURF4
DOLK,DOLK
SLC16A2,SLC16A2
CNOT10,CNOT10
OPHN1,OPHN1
NPAS4,NPAS4
RPS6KA5,RPS6KA5
RABGAP1,RABGAP1
ITGB1,ITGB1
PSMD3,PSMD3
LMNA,LMNA
TNKS,TNKS
SATB1,SATB1
PSME3,PSME3
ATP5F1B,ATP5F1B
SF3A1,SF3A1
NXPH2,NXPH2
GSX1,GSX1
SPTBN1,SPTBN1
NAB2,NAB2
SP4,SP4
CALN1,CALN1
LRRTM1,LRRTM1
VAC14,VAC14
HMGCS1,HMGCS1
HOXC9,HOXC9
SNAP91,SNAP91
GSC,GSC
TBX5,TBX5
PCGF1,PCGF1
LRRC3B,LRRC3B
TRIM39,RPP21
USP30,USP30
PI15,PI15
KLHL17,KLHL17
YIPF5,YIPF5
