rhesus_macaque gene name,human gene name
DNAL4,DNAL4
MIR3618,MIR3618
PTP4A3,PTP4A3
FGF18,FGF18
DPH3,DPH3
MARCHF5,MARCHF5
UBB,UBB
CABP7,CABP7
LSM8,LSM8
PHLDA3,PHLDA3
CTXN2,CTXN2
PDIK1L,PDIK1L
RARB,RARB
UBTD2,UBTD2
TOMM22,TOMM22
LRRC3B,LRRC3B
SNORD109A,SNORD109A
SNORD8,SNORD8
BMP7,BMP7
RAC2,RAC2
RGS17,RGS17
PSMC1,PSMC1
mml-mir-153-2,MIR153-2
SLC41A1,SLC41A1
RPS25,RPS25
EAF1,EAF1
HIKESHI,HIKESHI
SNW1,SNW1
TIAL1,TIAL1
TAF7,TAF7
FOXB1,FOXB1
LSM2,LSM2
SNX3,SNX3
RAB7B,RAB7B
MNAT1,MNAT1
H2AX,H2AX
HDAC3,HDAC3
CFL2,CFL2
FAM72A,FAM72A
TMEM258,TMEM258
SNORD125,SNORD125
RMND5A,RMND5A
CPEB4,CPEB4
ASB7,ASB7
NUDCD2,NUDCD2
RPLP2,RPLP2
SRP54,SRP54
MMP16,MMP16
MIR1288,MIR1288
SNORD12,SNORD12
FBXO45,FBXO45
UBE2V2,UBE2V2
mml-mir-324,MIR324
RBM22,RBM22
RSL24D1,RSL24D1
RAB11A,RAB11A
GNB2,GNB2
CCT5,CCT5
DPYSL5,DPYSL5
mml-mir-135a-2,MIR135A2
ABCG4,ABCG4
OST4,OST4
MOB3B,MOB3B
TRIM27,TRIM27
VPS33A,VPS33A
RPS21,RPS21
MLF2,MLF2
MIR1204,MIR1204
COPZ2,COPZ2
RAC3,RAC3
CYRIA,CYRIA
SEC61B,SEC61B
MYL9,MYL9
MAPKAP1,MAPKAP1
SNRPN,SNRPN
GLRA3,GLRA3
HS6ST1,HS6ST1
mml-mir-208b,MIR208B
GPR22,GPR22
PBX3,PBX3
SPTSSA,SPTSSA
YWHAQ,YWHAQ
EIF4E2,EIF4E2
GABARAP,GABARAP
SNORD18,SNORD18B
RRAGA,RRAGA
DIRAS2,DIRAS2
SNORD107,SNORD107
COPS3,COPS3
GTF2A1,GTF2A1
LGI1,LGI1
MPPED2,MPPED2
mml-mir-133c,MIR133A2
ARL14EP,ARL14EP
mml-mir-190a,MIR190A
SEPTIN8,SEPTIN8
FKBP1B,FKBP1B
HSPA5,HSPA5
RPS13,RPS13
WDR82,WDR82
VAMP8,VAMP8
GNB3,GNB3
MIR6812,MIR6812
IGFBP4,IGFBP4
RPL34,RPL34
GID8,GID8
mml-mir-135a-1,MIR135A1
SPIN1,SPIN1
RPS27L,RPS27L
SF3B6,SF3B6
RARA,RARA
STMN2,STMN2
MOB3C,MOB3C
DNAJC5,DNAJC5
PSMC4,PSMC4
RPS7,RPS7
CKS2,CKS2
NUDT11,NUDT11
MIR744,MIR744
MIR124-3,MIR124-3
GRIK2,GRIK2
SNAPC5,SNAPC5
RAB24,RAB24
ARMC1,ARMC1
PSENEN,PSENEN
MSANTD4,MSANTD4
CLP1,CLP1
ZCCHC10,ZCCHC10
mml-mir-455,MIR455
PACSIN3,PACSIN3
RAB10,RAB10
MAGEH1,MAGEH1
RNF20,RNF20
mml-mir-130a,MIR130A
mml-mir-218-2,MIR218-2
CHMP2A,CHMP2A
RPS27A,RPS27A
RPL18,RPL18
RBM14,RBM14
mml-mir-125b-2,MIR125B2
GNAZ,GNAZ
PAFAH1B2,PAFAH1B2
VAPB,VAPB
LRRC8A,LRRC8A
H2BC17,H2BC17
RRAS2,RRAS2
FBXL7,FBXL7
XPO1,XPO1
FAXC,FAXC
LMO1,LMO1
TIMM10,TIMM10
MIR2113,MIR2113
PIAS1,PIAS1
GPM6A,GPM6A
SNORD109B,SNORD109B
PGAP4,PGAP4
ATP6V1E1,ATP6V1E1
CAPRIN1,CAPRIN1
UBE2M,UBE2M
RAB39A,RAB39A
SRSF9,SRSF9
ARPC5L,ARPC5L
NAPB,NAPB
SMARCA1,SMARCA1
VWC2L,VWC2L
U6,RNU6-1
ATXN7L3,ATXN7L3
CYRIB,CYRIB
EIF4A1,EIF4A1
GSKIP,GSKIP
NXT1,NXT1
EFR3B,EFR3B
UBTF,UBTF
SMAD5,SMAD5
KCTD9,KCTD9
PARVA,PARVA
SMARCE1,SMARCE1
HOXC6,HOXC6
GNAS,GNAS
FEM1B,FEM1B
RPL35,RPL35
DYNLL1,DYNLL1
mml-mir-124a-2,MIR124-1
SNORD115,SNORD115-10
NDP,NDP
RTRAF,RTRAF
mml-mir-196a-2,MIR196A2
mml-mir-671,MIR671
RAP2C,RAP2C
NR2F1,NR2F1
TIMM23,TIMM23
MYF6,MYF6
BOK,BOK
HOXC4,HOXC4
GPR173,GPR173
CBX5,CBX5
POLE3,POLE3
RPL8,RPL8
COPS5,COPS5
RNU6ATAC,RNU6ATAC
ZC4H2,ZC4H2
SNORD58,SNORD58C
ACTN4,ACTN4
SPCS3,SPCS3
DNAJB5,DNAJB5
CSTF3,CSTF3
LIN7A,LIN7A
BLCAP,BLCAP
PCBD1,PCBD1
PDRG1,PDRG1
NNAT,NNAT
ATF2,ATF2
POP5,POP5
NCBP1,NCBP1
ING5,ING5
CA7,CA7
MIR1264,MIR1264
DYNLT3,DYNLT3
GLTP,GLTP
NHP2,NHP2
RPRD1B,RPRD1B
ARL1,ARL1
UBE2B,UBE2B
mml-mir-224,MIR224
TMEM167A,TMEM167A
EIF1AX,EIF1AX
MAP1LC3B,MAP1LC3B
mml-mir-105-2,MIR105-2
CRK,CRK
CNIH2,CNIH2
MIR3926-2,MIR3926-2
FUT9,FUT9
YWHAE,YWHAE
PHF6,PHF6
ALKBH5,ALKBH5
RDH10,RDH10
RNF141,RNF141
Y_RNA,RNY1
mml-mir-105-1,MIR105-1
TNPO1,TNPO1
SIGMAR1,SIGMAR1
FZD2,FZD2
LRRTM2,LRRTM2
EBF1,EBF1
SMIM15,SMIM15
HPRT1,HPRT1
POLR2I,POLR2I
PPIL1,PPIL1
IMP3,IMP3
ENY2,ENY2
PPP2R1A,PPP2R1A
PCNA,PCNA
MIR4743,MIR4743
C4H6orf62,C6orf62
UNC119B,UNC119B
OTP,OTP
SMAD2,SMAD2
ATXN7L3B,ATXN7L3B
SNORD86,SNORD86
RACK1,RACK1
ZNF146,ZNF146
LAMTOR3,LAMTOR3
SPRY2,SPRY2
EIF4EBP2,EIF4EBP2
ETFRF1,ETFRF1
mml-mir-361,MIR361
MIR3661,MIR3661
GABARAPL2,GABARAPL2
SNN,SNN
H2AZ1,H2AZ1
CBFB,CBFB
RAB4B,RAB4B
BTG1,BTG1
MID1IP1,MID1IP1
CAMK1D,CAMK1D
LDB1,LDB1
SLC23A2,SLC23A2
mml-mir-30b,MIR30B
mml-mir-30d,MIR30D
DDIT4L,DDIT4L
KCNV1,KCNV1
RORB,RORB
EXOSC4,EXOSC4
RAP1B,RAP1B
ARPC3,ARPC3
PAX3,PAX3
ILK,ILK
RASSF8,RASSF8
PIP4K2B,PIP4K2B
RPL38,RPL38
EIF3M,EIF3M
YPEL5,YPEL5
SUPT4H1,SUPT4H1
KLHL11,KLHL11
RAB8A,RAB8A
TRIM23,TRIM23
DCTN5,DCTN5
PRKG1,PRKG1
SMPX,SMPX
MIR4736,MIR4736
SNORD77B,SNORD77B
C6H5orf24,C5orf24
TMEM98,TMEM98
GTF2H5,GTF2H5
UBE2R2,UBE2R2
TMEM47,TMEM47
MAPK1,MAPK1
KIF5A,KIF5A
5_8S_rRNA,RNA5-8SN3
FAM32A,FAM32A
IMMP2L,IMMP2L
CCNK,CCNK
MIR6506,MIR6506
KCNC2,KCNC2
mml-mir-219-2,MIR219A2
ARK2C,ARK2C
LRRC4C,LRRC4C
PJVK,PJVK
AP1S3,AP1S3
CNFN,CNFN
mml-mir-9-2,MIR9-2
SGMS1,SGMS1
PFN1,PFN1
NAA20,NAA20
NKIRAS2,NKIRAS2
MTAP,MTAP
SMARCB1,SMARCB1
MIR2052,MIR2052
CRX,CRX
CHMP4B,CHMP4B
CTNNA2,CTNNA2
TCEB2,ELOB
MIR1282,MIR1282
ANAPC5,ANAPC5
CACNG3,CACNG3
YEATS4,YEATS4
mml-mir-302a,MIR302A
RPLP1,RPLP1
MEF2C,MEF2C
KLHL9,KLHL9
TRAPPC1,TRAPPC1
SEC63,SEC63
MIR1-2,MIR1-2
SMC1A,SMC1A
SRGAP1,SRGAP1
TMEM178A,TMEM178A
SEPHS1,SEPHS1
CD63,CD63
PCBP1,PCBP1
CUL3,CUL3
PDK2,PDK2
SNORD53,SNORD53
CLTC,CLTC
mml-mir-302c,MIR302C
YWHAZ,YWHAZ
mml-mir-27a,MIR27A
mml-mir-21,MIR21
mml-mir-23a,MIR23A
DCUN1D5,DCUN1D5
INIP,INIP
ITM2B,ITM2B
mml-mir-133a,MIR133A1
VPS26A,VPS26A
RBM18,RBM18
TMEM127,TMEM127
MIR3610,MIR3610
MTPN,MTPN
DYNLT1,DYNLT1
SNORD92,SNORD92
DNM1,DNM1
PL-5283,STMP1
TMOD4,TMOD4
SNRNP27,SNRNP27
KCTD4,KCTD4
FGF9,FGF9
RND3,RND3
GABRB2,GABRB2
mml-mir-516b,MIR516B1
RPL27,RPL27
SCX,SCX
EMC4,EMC4
LHFPL6,LHFPL6
ATAD1,ATAD1
DNAJA2,DNAJA2
TCEA1,TCEA1
HMBOX1,HMBOX1
YKT6,YKT6
C20H16orf87,C16orf87
ING2,ING2
MAX,MAX
IPO7,IPO7
mml-mir-342,MIR342
DLX3,DLX3
UBL3,UBL3
MDK,MDK
FAM168B,FAM168B
ATP6V1C1,ATP6V1C1
SNORD98,SNORD98
CTHRC1,CTHRC1
MIR5700,MIR5700
IPO5,IPO5
ERI3,ERI3
RPL19,RPL19
CHST11,CHST11
POLR2B,POLR2B
FGFR1OP2,FGFR1OP2
mml-mir-193b,MIR193B
SNORA36C,SNORA36C
GOLPH3,GOLPH3
SLC17A7,SLC17A7
BBLN,BBLN
CNOT8,CNOT8
CNOT2,CNOT2
GNAO1,GNAO1
UGCG,UGCG
YPEL2,YPEL2
SNORA50A,SNORA50A
HSPB2,HSPB2
HMGB1,HMGB1
MGAT4B,MGAT4B
ZNF664,ZNF664
ZNF706,ZNF706
UBL5,UBL5
COPS2,COPS2
PHB1,PHB1
HNRNPK,HNRNPK
MACIR,MACIR
MIR5047,MIR5047
FGF7,FGF7
mml-mir-17,MIR17
TWIST2,TWIST2
SNORD14,SNORD14C
RAB14,RAB14
MIR3666,MIR3666
WNT10A,WNT10A
TUBA1C,TUBA1C
WDR45B,WDR45B
TMSB15B,TMSB15B
FGF16,FGF16
MED29,MED29
CDC42SE1,CDC42SE1
USP12,USP12
PIN1,PIN1
RPS11,RPS11
WNT3,WNT3
PAIP2B,PAIP2B
PFDN4,PFDN4
ANAPC16,ANAPC16
CSNK2A1,CSNK2A1
mml-mir-301a,MIR301A
GFOD1,GFOD1
NUDT21,NUDT21
MIR199B,MIR199B
DYNLL2,DYNLL2
MAB21L1,MAB21L1
DCTN6,DCTN6
RERG,RERG
ACTR3B,ACTR3B
ACTR1A,ACTR1A
mml-mir-770,MIR770
HNRNPH3,HNRNPH3
EIF2S1,EIF2S1
GPM6B,GPM6B
EMC3,EMC3
FLOT2,FLOT2
SUMO1,SUMO1
ETF1,ETF1
mml-mir-431,MIR431
CHMP5,CHMP5
GAN,GAN
ZDHHC17,ZDHHC17
ATP6V1D,ATP6V1D
NXF1,NXF1
SNORD113-5,SNORD113-5
MAD2L1,MAD2L1
ASB8,ASB8
MIR935,MIR935
TIMM8B,TIMM8B
TMEM35A,TMEM35A
SNORD113-8,SNORD113-8
RPS16,RPS16
SNORD11,SNORD11
CACNG7,CACNG7
NLK,NLK
ARGLU1,ARGLU1
TIMP3,TIMP3
mml-mir-34b,MIR34B
NUTF2,NUTF2
ARF5,ARF5
RNF41,RNF41
TMEFF2,TMEFF2
SMCO4,SMCO4
TSPAN18,TSPAN18
SNF8,SNF8
mml-mir-19a,MIR19A
CTDSP2,CTDSP2
TFDP1,TFDP1
IGF2BP1,IGF2BP1
PDCD5,PDCD5
PRMT1,PRMT1
PID1,PID1
GJD2,GJD2
ACTC1,ACTC1
ARL4D,ARL4D
CSRP2,CSRP2
CDK17,CDK17
TNFAIP1,TNFAIP1
HRAS,HRAS
DNAJA1,DNAJA1
SMAD4,SMAD4
DDA1,DDA1
PPP2CB,PPP2CB
SMU1,SMU1
POLR3B,POLR3B
CDK9,CDK9
RPS23,RPS23
RUFY2,RUFY2
ATG101,ATG101
mml-mir-196a-1,MIR196A1
SOCS3,SOCS3
mml-mir-204,MIR204
RAB3A,RAB3A
KCNJ2,KCNJ2
TADA2A,TADA2A
MIR6125,MIR6125
USP15,USP15
ACTG2,ACTG2
RGP1,RGP1
NRGN,NRGN
TTC9C,TTC9C
DSTN,DSTN
GPR139,GPR139
SVIP,SVIP
RPS15,RPS15
GRB2,GRB2
HMG20A,HMG20A
SF3B3,SF3B3
TIMM8A,TIMM8A
BTK,BTK
BRK1,BRK1
CIB2,CIB2
PSMA2,PSMA2
SYT1,SYT1
ZMYND19,ZMYND19
HNRNPH2,HNRNPH2
SOX21,SOX21
CNRIP1,CNRIP1
RPS9,RPS9
mml-mir-26a-2,MIR26A2
TOB1,TOB1
NPC2,NPC2
EIF3G,EIF3G
NOG,NOG
MED31,MED31
BRINP1,BRINP1
IKZF5,IKZF5
RPE,RPE
MEIS2,MEIS2
SUB1,SUB1
PABPC1L2B,PABPC1L2B
MIR3187,MIR3187
PABPC1L2A,PABPC1L2A
MINDY3,MINDY3
PRPS1,PRPS1
CAND1,CAND1
MIR1307,MIR1307
HLF,HLF
mml-mir-891a,MIR891B
mml-mir-374b,MIR374B
mml-mir-545,MIR545
LRRTM3,LRRTM3
TAX1BP3,TAX1BP3
SNU13,SNU13
SRSF2,SRSF2
mml-mir-885,MIR885
HSPB8,HSPB8
MMD,MMD
TXNL4A,TXNL4A
ZFAND5,ZFAND5
ACTR3,ACTR3
RIMKLB,RIMKLB
MID1,MID1
PIM1,PIM1
TSN,TSN
GNAQ,GNAQ
PRKAB1,PRKAB1
mml-mir-670,MIR670
mml-mir-497,MIR497
ELAVL3,ELAVL3
ARIH1,ARIH1
FZR1,FZR1
CWC15,CWC15
SNRPD2,SNRPD2
ACTG1,ACTG1
RALA,RALA
DESI1,DESI1
RAD1,RAD1
CFAP20,CFAP20
SH3BGRL,SH3BGRL
RIC8B,RIC8B
ASIC1,ASIC1
MIX23,MIX23
BRSK1,BRSK1
UBA52,UBA52
TEF,TEF
ELAVL1,ELAVL1
SF1,SF1
TMEM263,TMEM263
SLC6A1,SLC6A1
STT3A,STT3A
ZBTB14,ZBTB14
FCF1,FCF1
SUDS3,SUDS3
KLF12,KLF12
RARG,RARG
PPIA,PPIA
PHF5A,PHF5A
CTXN1,CTXN1
CSNK2A2,CSNK2A2
mml-let-7f-2,MIRLET7F2
EIF4A3,EIF4A3
HNRNPM,HNRNPM
EMC6,EMC6
GJB1,GJB1
DRG1,DRG1
DDX3X,DDX3X
AP1S2,AP1S2
TUBB3,TUBB3
UBTD1,UBTD1
CIAO2A,CIAO2A
CASK,CASK
RPS28,RPS28
MIR4317,MIR4317
EIF1AY,EIF1AY
SNORD62,SNORD62B
RCHY1,RCHY1
RAB39B,RAB39B
RS1,RS1
PPIB,PPIB
ORMDL1,ORMDL1
DDX6,DDX6
NRARP,NRARP
TNP1,TNP1
RBM39,RBM39
API5,API5
B3GALT1,B3GALT1
PPP4C,PPP4C
MAFG,MAFG
RNPS1,RNPS1
RPL36,RPL36
MTCP1,MTCP1
PSMC5,PSMC5
PRRX2,PRRX2
GNG13,GNG13
SAP18,SAP18
USP27X,USP27X
LUC7L,LUC7L
DPY30,DPY30
RBX1,RBX1
PPP1R14B,PPP1R14B
DLX1,DLX1
MIR4785,MIR4785
PSMD14,PSMD14
RAB40C,RAB40C
TUBB4A,TUBB4A
mml-mir-221,MIR221
ARL5A,ARL5A
CACNB4,CACNB4
TNPO2,TNPO2
RPRM,RPRM
PRDX2,PRDX2
KCNJ3,KCNJ3
TSG101,TSG101
LIMD2,LIMD2
SPC25,SPC25
TBR1,TBR1
PFDN5,PFDN5
GNG7,GNG7
MIR7850,MIR7850
NTMT1,NTMT1
COPG1,COPG1
CAMK2N2,CAMK2N2
PIK3CA,PIK3CA
CKS1B,CKS1B
GNB4,GNB4
BTF3L4,BTF3L4
ACTL6A,ACTL6A
GALNT17,GALNT17
RWDD1,RWDD1
CLVS2,CLVS2
TMEM170B,TMEM170B
NKAIN2,NKAIN2
LHFPL5,LHFPL5
ZIC1,ZIC1
LZIC,LZIC
TNPO3,TNPO3
RPS27,RPS27
STARD3NL,STARD3NL
KCNIP4,KCNIP4
GNB1,GNB1
ACTA1,ACTA1
SNORD2,SNORD2
KLF3,KLF3
TBPL1,TBPL1
TPM3,TPM3
ANAPC10,ANAPC10
KCNJ10,KCNJ10
SMKR1,SMKR1
mml-mir-128b,MIR128-2
mml-mir-1226,MIR1226
ABCE1,ABCE1
GLUL,GLUL
CDC42,CDC42
HNRNPR,HNRNPR
S100A6,S100A6
PSMB2,PSMB2
MIR4677,MIR4677
EIF3I,EIF3I
SERP1,SERP1
EIF5A2,EIF5A2
PBX1,PBX1
PROX1,PROX1
NCK1,NCK1
RPL5,RPL5
mml-mir-30c-1,MIR30C1
AKT3,AKT3
MSL2,MSL2
WNT4,WNT4
GREM2,GREM2
KCNK2,KCNK2
NUF2,NUF2
KHDRBS1,KHDRBS1
SIAH2,SIAH2
STAG1,STAG1
MARCKSL1,MARCKSL1
mml-mir-490,MIR490
mml-mir-206,MIR206
PPIH,PPIH
EFNA3,EFNA3
PRPF38A,PRPF38A
RRAGC,RRAGC
SNORD21,SNORD21
MACO1,MACO1
ZMYM3,ZMYM3
SNRNP200,SNRNP200
INTS3,INTS3
BCLAF1,BCLAF1
NALCN,NALCN
SUPT6H,SUPT6H
NLGN2,NLGN2
THOC2,THOC2
QRICH1,QRICH1
IQSEC2,IQSEC2
HSP90AA1,HSP90AA1
RTF1,RTF1
PDS5A,PDS5A
STAG2,STAG2
TBC1D9,TBC1D9
MAU2,MAU2
JAG1,JAG1
CNOT1,CNOT1
MYO1B,MYO1B
ANKRD28,ANKRD28
ANKRD52,ANKRD52
SRGAP2,SRGAP2
NPR2,NPR2
OGT,OGT
CNKSR2,CNKSR2
DDX46,DDX46
CELF1,CELF1
MIB1,MIB1
EPHA7,EPHA7
USP14,USP14
POLR2A,POLR2A
BICD1,BICD1
EFTUD2,EFTUD2
TRRAP,TRRAP
XPOT,XPOT
COPB1,COPB1
AP2B1,AP2B1
GABBR2,GABBR2
PPARA,PPARA
ACTN1,ACTN1
CHD2,CHD2
EIF3C,EIF3C
CSNK1G3,CSNK1G3
HACE1,HACE1
PSMD2,PSMD2
GRIA3,GRIA3
EEF2,EEF2
XAB2,XAB2
NLGN3,NLGN3
RBM25,RBM25
NTRK2,NTRK2
TFIP11,TFIP11
DDX23,DDX23
GDF11,GDF11
RBM5,RBM5
DHX15,DHX15
ZNF148,ZNF148
KIFAP3,KIFAP3
MARK2,MARK2
CPSF2,CPSF2
STXBP5,STXBP5
TLK1,TLK1
POU2F1,POU2F1
SEC23A,SEC23A
ERCC2,ERCC2
CLCN4,CLCN4
LARGE1,LARGE1
KIF3B,KIF3B
EXT1,EXT1
PAPOLA,PAPOLA
MACROH2A1,MACROH2A1
GRIN2B,GRIN2B
MGAT5,MGAT5
KIF3A,KIF3A
NAA35,NAA35
DVL3,DVL3
FBXW7,FBXW7
XPR1,XPR1
SESTD1,SESTD1
POLR3A,POLR3A
GRK2,GRK2
TP63,TP63
SLC25A12,SLC25A12
WDTC1,WDTC1
PRKCB,PRKCB
STRBP,STRBP
SCN2A,SCN2A
SCN8A,SCN8A
MMP2,MMP2
PABPC4,PABPC4
LRRC4,LRRC4
FLRT3,FLRT3
NOL4,NOL4
PABPC1,PABPC1
SIN3A,SIN3A
RAD21,RAD21
PPFIA2,PPFIA2
ARNTL,BMAL1
MED12,MED12
ATP2B2,ATP2B2
TOX4,TOX4
FBXO11,FBXO11
ATP6V1A,ATP6V1A
MSL1,MSL1
KAT7,KAT7
KLHL20,KLHL20
RASGRP2,RASGRP2
PLK1,PLK1
PPP2R5D,PPP2R5D
NR4A2,NR4A2
PPFIA3,PPFIA3
NF2,NF2
RBM47,RBM47
MTF2,MTF2
HPSE2,HPSE2
ENC1,ENC1
TAF5L,TAF5L
HYCC2,HYCC2
DLX6,DLX6
AKTIP,AKTIP
IKZF4,IKZF4
APPBP2,APPBP2
FZD10,FZD10
IGF2BP3,IGF2BP3
PPP2R5C,PPP2R5C
FUT8,FUT8
EBF2,EBF2
RNF220,RNF220
GMEB1,GMEB1
WASF1,WASF1
GK,GK
KLHL23,KLHL23
TCERG1,TCERG1
CPNE9,CPNE9
RCOR3,RCOR3
GLYR1,GLYR1
USP7,USP7
AP1G1,AP1G1
CLIP3,CLIP3
SUPT5H,SUPT5H
EHD2,EHD2
KPNA1,KPNA1
HSF2,HSF2
P4HA1,P4HA1
RPE65,RPE65
ZIC2,ZIC2
ZBTB18,ZBTB18
IKZF2,IKZF2
TBC1D19,TBC1D19
SRSF10,SRSF10
VANGL2,VANGL2
INTS14,INTS14
SLTM,SLTM
FAR1,FAR1
TMEM117,TMEM117
INO80D,INO80D
ACVR1,ACVR1
UGP2,UGP2
CREB5,CREB5
NOVA1,NOVA1
RBM26,RBM26
DARS1,DARS1
PLAG1,PLAG1
TLK2,TLK2
KCNA2,KCNA2
MECP2,MECP2
ANGPT1,ANGPT1
SMARCC2,SMARCC2
GLRB,GLRB
RYR2,RYR2
KCNMA1,KCNMA1
KCNH5,KCNH5
TRIM35,TRIM35
PRKCE,PRKCE
DLGAP3,DLGAP3
VCPIP1,VCPIP1
HDAC2,HDAC2
TMEM39A,TMEM39A
ZDHHC14,ZDHHC14
PTPRS,PTPRS
HOXB8,HOXB8
PPP2R5A,PPP2R5A
ZNF639,ZNF639
CTNND1,CTNND1
CCDC47,CCDC47
HDAC1,HDAC1
BHLHE41,BHLHE41
G3BP2,G3BP2
RBM42,RBM42
GATA2,GATA2
GRIK4,GRIK4
KCNS2,KCNS2
PSMD1,PSMD1
KSR2,KSR2
GRIK1,GRIK1
CCDC6,CCDC6
PTDSS1,PTDSS1
PKNOX2,PKNOX2
EIF2S3,EIF2S3
MAPKAPK5,MAPKAPK5
PRPH,PRPH
CDK14,CDK14
SMAD9,SMAD9
