crab_eating_macaque gene name,mice gene name
SRSF5,Srsf5
RAB24,Rab24
TRIM3,Trim3
MED10,Med10
GRID1,Grid1
COPB2,Copb2
DIRAS2,Diras2
RERG,Rerg
MIR132,Mir132
KLHL2,Klhl2
FLOT1,Flot1
DET1,Det1
PRMT8,Prmt8
RNF121,Rnf121
TEX261,Tex261
MLST8,Mlst8
ELAVL1,Elavl1
SMAD4,Smad4
PCGF1,Pcgf1
NIPA1,Nipa1
SNF8,Snf8
H2AJ,H2aj
SP9,Sp9
PLCXD3,Plcxd3
SPTAN1,Sptan1
NOP10,Nop10
RARB,Rarb
EIF3G,Eif3g
NR4A2,Nr4a2
DEDD,Dedd
TLN2,Tln2
DUSP6,Dusp6
SESTD1,Sestd1
PTPRT,Ptprt
VDAC3,Vdac3
GALNT17,Galnt17
ARMH3,Armh3
GATAD2B,Gatad2b
RPRD1A,Rprd1a
GALNT1,Galnt1
ENO2,Eno2
KCNA1,Kcna1
PTPRK,Ptprk
USP12,Usp12
NSG1,Nsg1
UBR5,Ubr5
ANKH,Ank
PROX1,Prox1
NOVA2,Nova2
FBXL7,Fbxl7
ARPC5,Arpc5
GNPNAT1,Gnpnat1
JAGN1,Jagn1
ADGRB3,Adgrb3
RBM14,Rbm14
KLHL18,Klhl18
HOXB8,Hoxb8
MEOX2,Meox2
FZD3,Fzd3
NRBP1,Nrbp1
NTN1,Ntn1
G3BP2,G3bp2
PPIE,Ppie
NT5C2,Nt5c2
DNAJB11,Dnajb11
KCNS2,Kcns2
PCMTD1,Pcmtd1
SSNA1,Ssna1
EGR3,Egr3
SCN8A,Scn8a
RAB33A,Rab33a
ATP2B2,Atp2b2
PUF60,Puf60
GNAZ,Gnaz
GNAI2,Gnai2
BMPR1A,Bmpr1a
SFRP2,Sfrp2
GNAI3,Gnai3
SF3A1,Sf3a1
CDK14,Cdk14
SGF29,Sgf29
EIF4A3,Eif4a3
MFAP1,Mfap1a
IL1RAPL1,Il1rapl1
VEZF1,Vezf1
GBX2,Gbx2
PGAP4,Pgap4
EIF5,Eif5
FAR1,Far1
MAPRE3,Mapre3
MBNL1,Mbnl1
PDP1,Pdp1
NF1,Nf1
NF2,Nf2
EI24,Ei24
ACVR1,Acvr1
GNB5,Gnb5
ARMC1,Armc1
KLHL32,Klhl32
UGCG,Ugcg
NEUROD6,Neurod6
MAP3K7,Map3k7
HOXB6,Hoxb6
SRSF1,Srsf1
PLP1,Plp1
WASF1,Wasf1
GFOD1,Gfod1
CGGBP1,Cggbp1
EPHA7,Epha7
PIK3C3,Pik3c3
CYFIP2,Cyfip2
PPIL1,Ppil1
JUP,Jup
SCN1A,Scn1a
TIMP2,Timp2
COPS7A,Cops7a
SCN2A,Scn2a
SOX10,Sox10
SLC12A6,Slc12a6
KIF5C,Kif5c
ATP6V1C1,Atp6v1c1
INTS14,Ints14
SPTBN1,Sptbn1
RBM5,Rbm5
LRRTM2,Lrrtm2
DOCK4,Dock4
SUPT6H,Supt6
ASTN1,Astn1
OLFM1,Olfm1
TRPC7,Trpc7
DYNC1I1,Dync1i1
PRKCG,Prkcg
ST8SIA2,St8sia2
SRGAP2,Srgap2
GJD2,Gjd2
AKT1,Akt1
IKZF2,Ikzf2
ABHD17B,Abhd17b
KCNJ8,Kcnj8
UBLCP1,Ublcp1
EWSR1,Ewsr1
TMEM50B,Tmem50b
TLN1,Tln1
CAMK2N2,Camk2n2
MYH3,Myh3
TRIM8,Trim8
NR2C2,Nr2c2
PARP6,Parp6
TP63,Trp63
PTCHD1,Ptchd1
CALB1,Calb1
UCK2,Uck2
RFX3,Rfx3
CPSF2,Cpsf2
ELMO2,Elmo2
MAFK,Mafk
USP5,Usp5
HNRNPF,Hnrnpf
PAQR3,Paqr3
ARRDC3,Arrdc3
HOXA13,Hoxa13
TMEM101,Tmem101
SPPL3,Sppl3
FAM20B,Fam20b
ELMO1,Elmo1
RNF141,Rnf141
KAT8,Kat8
DCUN1D3,Dcun1d3
GPAT4,Gpat4
MMP16,Mmp16
MYH10,Myh10
PPP2R3C,Ppp2r3c
PITX3,Pitx3
PRKACA,Prkaca
PLEKHF2,Plekhf2
PPP3CB,Ppp3cb
SFN,Sfn
MYH7,Myh7
SYT2,Syt2
GMPS,Gmps
FCF1,Fcf1
DPY30,Dpy30
USF2,Usf2
OTX2,Otx2
SURF4,Surf4
YIPF4,Yipf4
KAT2A,Kat2a
CHMP1A,Chmp1a
ZIC3,Zic3
KPNA1,Kpna1
SSRP1,Ssrp1
XPO1,Xpo1
CSRP3,Csrp3
PAF1,Paf1
ZCCHC24,Zcchc24
KIFAP3,Kifap3
DYNLRB1,Dynlrb1
KIF2A,Kif2a
PPP2R2A,Ppp2r2a
DLX3,Dlx3
TAOK1,Taok1
UBTF,Ubtf
CBX5,Cbx5
CSNK1G3,Csnk1g3
PAK2,Pak2
RTF1,Rtf1
RCOR2,Rcor2
NEUROD1,Neurod1
ST8SIA3,St8sia3
GABRB1,Gabrb1
GMFB,Gmfb
PGM5,Pgm5
CDC5L,Cdc5l
SNORD123,Snord123
ALDH1A2,Aldh1a2
VPS11,Vps11
KCNH5,Kcnh5
CYTH1,Cyth1
ACTBL2,Actbl2
DPYSL5,Dpysl5
RAB2A,Rab2a
TNNI1,Tnni1
DUSP7,Dusp7
LRP6,Lrp6
PRPF18,Prpf18
PBRM1,Pbrm1
AP3M2,Ap3m2
POLR3A,Polr3a
SF3B2,Sf3b2
NFYB,Nfyb
KCNAB2,Kcnab2
OSBPL6,Osbpl6
PRKAA2,Prkaa2
TRIM46,Trim46
DOCK7,Dock7
GPHN,Gphn
RAB8B,Rab8b
GRID2,Grid2
KIF5A,Kif5a
NXN,Nxn
PLXNA4,Plxna4
CACNA2D3,Cacna2d3
SNAPIN,Snapin
CTR9,Ctr9
PITPNA,Pitpna
DIP2B,Dip2b
KCTD10,Kctd10
MAP2K5,Map2k5
SLC17A6,Slc17a6
SMG1,Smg1
TLE4,Tle4
TBX20,Tbx20
SLC41A1,Slc41a1
MED27,Med27
RAB1B,Rab1b
SUPT5H,Supt5
RNF20,Rnf20
KLHDC8B,Klhdc8b
SATB1,Satb1
PTCHD4,Ptchd4
SNN,Snn
TMEM170B,Tmem170b
CEP76,Cep76
CCDC47,Ccdc47
DDX6,Ddx6
DNM2,Dnm2
EXTL3,Extl3
HOXC13,Hoxc13
MED31,Med31
GATA2,Gata2
CSMD3,Csmd3
CDH7,Cdh7
SCN1B,Scn1b
RNF220,Rnf220
DDX1,Ddx1
PUM2,Pum2
YY1,Yy1
AP1M1,Ap1m1
MOB3C,Mob3c
AHCY,Ahcy
NEK7,Nek7
FST,Fst
SMARCA5,Smarca5
GIT1,Git1
EZH1,Ezh1
USP15,Usp15
TOP1,Top1
BRINP3,Brinp3
CREB1,Creb1
IRF6,Irf6
TBCEL,Tbcel
TAF6,Taf6
RBPJ,Rbpj
MARCHF6,Marchf6
HPSE2,Hpse2
TFAP4,Tfap4
HLF,Hlf
CAB39L,Cab39l
ONECUT2,Onecut2
ATG9A,Atg9a
SIN3A,Sin3a
KLHL7,Klhl7
LIN28A,Lin28a
PSPC1,Pspc1
ZBTB12,Zbtb12
ARHGAP35,Arhgap35
NKAIN2,Nkain2
CDH6,Cdh6
RRAGB,Rragb
GTF2F2,Gtf2f2
TIMM8B,Timm8b
PSMD12,Psmd12
LDB2,Ldb2
SND1,Snd1
LAMTOR3,Lamtor3
TMEM33,Tmem33
BMP7,Bmp7
TUBG2,Tubg2
TRIM23,Trim23
DHX40,Dhx40
ZNF521,Zfp521
GAD1,Gad1
GPS2,Gps2
ERBB4,Erbb4
EFR3B,Efr3b
PDK2,Pdk2
ARFGEF1,Arfgef1
ZRANB1,Zranb1
STK4,Stk4
ATP6V0E1,Atp6v0e
STUB1,Stub1
TBC1D19,Tbc1d19
FAF2,Faf2
SIAH2,Siah2
FAM78A,Fam78a
ENY2,Eny2
PRDM12,Prdm12
CHD4,Chd4
NSF,Nsf
MYO1D,Myo1d
TEF,Tef
STUM,Stum
KIF5B,Kif5b
LRRTM3,Lrrtm3
PSMC1,Psmc1
FIGN,Fign
TMEM198,Tmem198
SBNO1,Sbno1
ZDHHC5,Zdhhc5
SF3A3,Sf3a3
ZNF148,Zfp148
WDR37,Wdr37
RRM1,Rrm1
RSU1,Rsu1
HS2ST1,Hs2st1
CPNE8,Cpne8
LDHB,Ldhb
CTNND1,Ctnnd1
VASH2,Vash2
MAPKAPK5,Mapkapk5
EVI5L,Evi5l
ELOB,Elob
CLVS1,Clvs1
SLITRK2,Slitrk2
CACNG5,Cacng5
LRP1,Lrp1
SPRYD7,Spryd7
MARK2,Mark2
ARHGAP5,Arhgap5
POU4F2,Pou4f2
CAMK2N1,Camk2n1
ACTR8,Actr8
PRMT5,Prmt5
BCL2L1,Bcl2l1
FBXO41,Fbxo41
PAX7,Pax7
TRIP12,Trip12
CHP1,Chp1
SELENOT,Selenot
SST,Sst
EHD4,Ehd4
ATF2,Atf2
TOMM40L,Tomm40l
PELO,Pelo
PACS1,Pacs1
PDE4D,Pde4d
AP2M1,Ap2m1
ORMDL3,Ormdl3
LRRC8C,Lrrc8c
HUWE1,Huwe1
SYT1,Syt1
KALRN,Kalrn
SEC14L3,Sec14l3
TSPAN12,Tspan12
CTNNA2,Ctnna2
RPLP1,Rplp1
GRM4,Grm4
NME2,Nme2
HERC1,Herc1
ZDHHC21,Zdhhc21
RAB3C,Rab3c
ZC3H10,Zc3h10
LIN52,Lin52
PRKCH,Prkch
ATP6V1E1,Atp6v1e1
KCNC2,Kcnc2
CLP1,Clp1
TMED2,Tmed2
PDE6D,Pde6d
NBEA,Nbea
FAM222B,Fam222b
TGFB3,Tgfb3
ASS1,Ass1
SAMD4B,Samd4b
RIC8B,Ric8b
FAM32A,Fam32a
EED,Eed
PCDH9,Pcdh9
VPS26A,Vps26a
PTPN9,Ptpn9
GNGT1,Gngt1
KCTD4,Kctd4
KDM2A,Kdm2a
PDE4B,Pde4b
SNX17,Snx17
SLC6A1,Slc6a1
CASTOR2,Castor2
HDLBP,Hdlbp
PHF6,Phf6
COPG1,Copg1
WDR26,Wdr26
PPP3CA,Ppp3ca
RPRM,Rprm
METTL3,Mettl3
NAA35,Naa35
ATP1B2,Atp1b2
DNM3,Dnm3
CDH11,Cdh11
RAB39A,Rab39
TRAF4,Traf4
BMI1,Bmi1
MGAT5,Mgat5
PFKFB4,Pfkfb4
FBXL14,Fbxl14
TMEM167A,Tmem167
NIP7,Nip7
ASB8,Asb8
PLK2,Plk2
VIM,Vim
ESRP1,Esrp1
MANF,Manf
AREL1,Arel1
MED7,Med7
H2AX,H2ax
MTMR2,Mtmr2
TESC,Tesc
DDX39A,Ddx39a
ANGPT1,Angpt1
ACSL4,Acsl4
SLC35F1,Slc35f1
CLASP1,Clasp1
CDIPT,Cdipt
KLF7,Klf7
TRPC5,Trpc5
ARHGAP26,Arhgap26
DAGLA,Dagla
PSKH1,Pskh1
CPEB4,Cpeb4
KBTBD8,Kbtbd8
AGO2,Ago2
VAMP4,Vamp4
MYO1B,Myo1b
TPPP3,Tppp3
RAB38,Rab38
HOXC12,Hoxc12
KLHL29,Klhl29
ATG3,Atg3
GLUD1,Glud1
KBTBD4,Kbtbd4
KIF1B,Kif1b
KLF9,Klf9
UPF2,Upf2
MAPKAP1,Mapkap1
TENM1,Tenm1
PLCB1,Plcb1
CCT4,Cct4
LMX1A,Lmx1a
SGMS1,Sgms1
ERG,Erg
RSPO2,Rspo2
SV2C,Sv2c
STAG2,Stag2
CTDSPL2,Ctdspl2
ZNF143,Zfp143
C14orf28,Gm527
ATG5,Atg5
SLC8A3,Slc8a3
CORO2B,Coro2b
EPC2,Epc2
LSM7,Lsm7
TRAF7,Traf7
ALKBH5,Alkbh5
BRCC3,Brcc3
STXBP1,Stxbp1
GCLM,Gclm
GLRB,Glrb
DIPK2A,Dipk2a
RAB21,Rab21
DAAM1,Daam1
GFPT1,Gfpt1
TADA2A,Tada2a
CTPS1,Ctps1
ARL15,Arl15
GNB3,Gnb3
CLCN5,Clcn5
KRTCAP2,Krtcap2
DMC1,Dmc1
BZW1,Bzw1
WDTC1,Wdtc1
RNF152,Rnf152
GMDS,Gmds
HECTD4,Hectd4
TGFBR1,Tgfbr1
RBM39,Rbm39
NCDN,Ncdn
POLR2B,Polr2b
SRRT,Srrt
CDH2,Cdh2
HNRNPH1,Hnrnph1
PFDN4,Pfdn4
KLF12,Klf12
EHD3,Ehd3
UBTD2,Ubtd2
GAPVD1,Gapvd1
DERL1,Derl1
TMEM35A,Tmem35a
UFC1,Ufc1
PIP4P1,Pip4p1
LHFPL6,Lhfpl6
DSCAML1,Dscaml1
GTF2H1,Gtf2h1
OSR1,Osr1
ANKRD17,Ankrd17
TANC2,Tanc2
SOX5,Sox5
UGP2,Ugp2
UGDH,Ugdh
UBR4,Ubr4
CCNL1,Ccnl1
PI4KB,Pi4kb
FLRT2,Flrt2
KDM1A,Kdm1a
DNAJC11,Dnajc11
LRP4,Lrp4
HIKESHI,Hikeshi
ATL1,Atl1
VPS39,Vps39
ZSWIM8,Zswim8
DYNC1LI2,Dync1li2
SLC2A1,Slc2a1
FOXP2,Foxp2
LGI1,Lgi1
MTURN,Mturn
NDST2,Ndst2
MBTPS2,Mbtps2
PCSK2,Pcsk2
STT3B,Stt3b
PCNA,Pcna
ZBTB20,Zbtb20
ARL2BP,Arl2bp
CNR1,Cnr1
RGP1,Rgp1
ATP8A1,Atp8a1
TTLL1,Ttll1
TLK1,Tlk1
STRN,Strn
FAM168A,Fam168a
ADCY8,Adcy8
FITM1,Fitm1
YTHDF2,Ythdf2
SPAG7,Spag7
GRM8,Grm8
RDX,Rdx
PYGM,Pygm
FGF12,Fgf12
PTPRD,Ptprd
GNA14,Gna14
FBXO32,Fbxo32
ATF7,Atf7
NLGN1,Nlgn1
TRAPPC13,Trappc13
CLCF1,Clcf1
PIP4P2,Pip4p2
WNT11,Wnt11
EML6,Eml6
CALU,Calu
IVNS1ABP,Ivns1abp
ZBTB16,Zbtb16
GPR22,Gpr22
RSPRY1,Rspry1
CYP26B1,Cyp26b1
STXBP5,Stxbp5
CHST11,Chst11
DENND5A,Dennd5a
TIPRL,Tiprl
ABCC9,Abcc9
THBS3,Thbs3
STYX,Styx
THOC2,Thoc2
PRKG2,Prkg2
TNMD,Tnmd
UNC80,Unc80
DDAH2,Ddah2
FEN1,Fen1
HNRNPM,Hnrnpm
CACNA2D2,Cacna2d2
TSPAN3,Tspan3
ACACA,Acaca
RAB27A,Rab27a
WDR13,Wdr13
RALGAPB,Ralgapb
SLC25A28,Slc25a28
CDH10,Cdh10
C12orf57,Grcc10
SLIT2,Slit2
UBASH3B,Ubash3b
HS3ST5,Hs3st5
GNA13,Gna13
VSX2,Vsx2
TM9SF4,Tm9sf4
ROR1,Ror1
RING1,Ring1
STK40,Stk40
SMAD2,Smad2
RCL1,Rcl1
RPTOR,Rptor
PRKAR2B,Prkar2b
CAMK1,Camk1
PCP4,Pcp4
NMT1,Nmt1
RNF122,Rnf122
NDUFV1,Ndufv1
GRIK1,Grik1
GNB4,Gnb4
STC1,Stc1
RBM42,Rbm42
NPTX1,Nptx1
HAPLN1,Hapln1
SYT9,Syt9
USP14,Usp14
ABCF3,Abcf3
PPIL4,Ppil4
CBLN4,Cbln4
FKBP1B,Fkbp1b
RPL3,Rpl3
DVL2,Dvl2
CREB5,Creb5
NTM,Ntm
ARPC5L,Arpc5l
GATA3,Gata3
EIF3J,Eif3j1
CPSF3,Cpsf3
ISCU,Iscu
MYH11,Myh11
SGTB,Sgtb
CDH18,Cdh18
GRM3,Grm3
BRPF1,Brpf1
C1orf21,1700025G04Rik
PCDH17,Pcdh17
MCTS1,Mcts1
PDAP1,Pdap1
BORCS7,Borcs7
RAD21,Rad21
PHAF1,Phaf1
SLITRK3,Slitrk3
RORB,Rorb
ROCK1,Rock1
WNT2,Wnt2
