human gene name,pig gene name
TMEM127,TMEM127
SNX3,SNX3
PHB1,PHB1
RNF11,RNF11
BLACAT1,BLACAT1
KLHL20,KLHL20
RAP2B,RAP2B
ANAPC10,ANAPC10
ABI1,ABI1
ARPC3,ARPC3
TRA2B,TRA2B
SUPT4H1,SUPT4H1
NCBP2,NCBP2
SNRPF,SNRPF
GOLT1B,GOLT1B
SF3B6,SF3B6
LAMTOR2,LAMTOR2
GTF2B,GTF2B
H2AC19,H2AC19
LASP1NB,LASP1NB
H2AC25,H2AC25
CBX1,CBX1
H2AJ,H2AJ
RND3,RND3
DERL2,DERL2
HYPK,HYPK
CNOT7,CNOT7
MIR26A2,ssc-mir-26a
NRAS,NRAS
AP2M1,AP2M1
H2BC11,H2BC11
H2AC11,H2AC11
SRSF3,SRSF3
UBE2E1,UBE2E1
PGAM1,PGAM1
TMEM170B,TMEM170B
OST4,OST4
UBE2E2,UBE2E2
CALM2,CALM2
FKBP1B,FKBP1B
OTUB1,OTUB1
RAP1A,RAP1A
EIF1B,EIF1B
TWIST2,TWIST2
RPRM,RPRM
PSMA5,PSMA5
SSBP3,SSBP3
AHCYL1,AHCYL1
POLR2K,POLR2K
RPS7,RPS7
IER3IP1,IER3IP1
DNAL4,DNAL4
GNAQ,GNAQ
PHF5A,PHF5A
UBE2D1,UBE2D1
ANKRD46,ANKRD46
RNU6-8,U6
RNA5-8SN5,5_8S_rRNA
UFM1,UFM1
RTCB,RTCB
PCP4,PCP4
TMEM50B,TMEM50B
COPS4,COPS4
ID4,ID4
ISL1,ISL1
RAB30,RAB30
GREM1,GREM1
POLR2I,POLR2I
PTGES3,PTGES3
RPS9,RPS9
HAPSTR1,HAPSTR1
H3-3A,H3-3A
EIF1,EIF1
RPRD1B,RPRD1B
MPPED2,MPPED2
DPY30,DPY30
HPCA,HPCA
RPL27,RPL27
SERP2,SERP2
SOX21,SOX21
BUB3,BUB3
RPS12,RPS12
LSM5,LSM5
PSMC4,PSMC4
EMX2,EMX2
CRABP1,CRABP1
CA10,CA10
CABP7,CABP7
MIR455,MIR455
MIR181B2,ssc-mir-181b-2
SEC61G,SEC61G
MIR2113,MIR2113
PSMC1,PSMC1
SNRPD1,SNRPD1
ZNF706,ZNF706
MIR125B2,ssc-mir-125b-2
ROMO1,ROMO1
RBM39,RBM39
KCTD6,KCTD6
MIR1282,MIR1282
UBE2QL1,UBE2QL1
H3C2,H3C2
SRP54,SRP54
UBL5,UBL5
RBX1,RBX1
PCBD1,PCBD1
MIR3618,MIR3618
LMX1B,LMX1B
CSTF3,CSTF3
OGT,OGT
U2SURP,U2SURP
POLR2A,POLR2A
AP2B1,AP2B1
TNPO1,TNPO1
NR2F1,NR2F1
PSMD11,PSMD11
BCL11A,BCL11A
SMARCA4,SMARCA4
CAND1,CAND1
HNRNPA1,HNRNPA1
RPS6KA3,RPS6KA3
DCAF7,DCAF7
MACO1,MACO1
PRPS1,PRPS1
SYNCRIP,SYNCRIP
FEM1C,FEM1C
NR4A2,NR4A2
ENC1,ENC1
APPBP2,APPBP2
POLR3B,POLR3B
SRSF10,SRSF10
VANGL2,VANGL2
NOVA1,NOVA1
MIB1,MIB1
SF3A3,SF3A3
MB21D2,MB21D2
CAMK2A,CAMK2A
TRIM39,TRIM39
TMEM39A,TMEM39A
CSE1L,CSE1L
SMARCD3,SMARCD3
U2AF1,U2AF1
LHFPL3,LHFPL3
SMAD1,SMAD1
HNRNPK,HNRNPK
ZIC1,ZIC1
FAF2,FAF2
KHDRBS1,KHDRBS1
MFAP1,MFAP1
TADA3,TADA3
CSTF1,CSTF1
DIPK2A,DIPK2A
PABPC1,PABPC1
KCNJ6,KCNJ6
UBE2Q1,UBE2Q1
UHMK1,UHMK1
NR2F2,NR2F2
NKAIN1,NKAIN1
LDB1,LDB1
EIF4A3,EIF4A3
PAFAH1B1,PAFAH1B1
LHX2,LHX2
LHX1,LHX1
PGAP4,PGAP4
DHX15,DHX15
ACTR6,ACTR6
EPHB2,EPHB2
NAP1L1,NAP1L1
NR2E1,NR2E1
BABAM2,BABAM2
SOX5,SOX5
DUSP6,DUSP6
EIF3M,EIF3M
TMEFF2,TMEFF2
SMURF2,SMURF2
FAM219A,FAM219A
MACROH2A2,MACROH2A2
DRG1,DRG1
SAP30L,SAP30L
PHF6,PHF6
ARL5B,ARL5B
MAB21L2,MAB21L2
PIK3CA,PIK3CA
SNRNP200,SNRNP200
GNAI2,GNAI2
PDIK1L,PDIK1L
PUM1,PUM1
NAA50,NAA50
POU4F3,POU4F3
TAOK1,TAOK1
CASTOR2,CASTOR2
B3GALT1,B3GALT1
BMI1,BMI1
DDB1,DDB1
FOXB1,FOXB1
EFTUD2,EFTUD2
SP9,SP9
CACNG2,CACNG2
LRRC4C,LRRC4C
TRPC1,TRPC1
RNF41,RNF41
HNRNPR,HNRNPR
KCTD10,KCTD10
CACNG3,CACNG3
FEM1B,FEM1B
KLHL9,KLHL9
KLHL24,KLHL24
ARPC2,ARPC2
GRIA3,GRIA3
KCNC1,KCNC1
IGF2BP1,IGF2BP1
EBF2,EBF2
DDX39B,DDX39B
ANAPC7,ANAPC7
HES1,HES1
SUPT5H,SUPT5H
NXPH1,NXPH1
ARMC8,ARMC8
HOXB5,HOXB5
SNW1,SNW1
TSPAN5,TSPAN5
HOXC4,HOXC4
RPS6KB1,RPS6KB1
EMC3,EMC3
KPNA4,KPNA4
PRPF4,PRPF4
KCTD21,KCTD21
HOXC9,HOXC9
KCTD4,KCTD4
CELF1,CELF1
H2AZ1,H2AZ1
C1QL3,C1QL3
ACVR1,ACVR1
DERL1,DERL1
TFCP2,TFCP2
HOXB9,HOXB9
KCNA2,KCNA2
EPHA7,EPHA7
TSPAN7,TSPAN7
ING4,ING4
NOVA2,NOVA2
PRRX1,PRRX1
SATB2,SATB2
HDAC2,HDAC2
CTDNEP1,CTDNEP1
HOXC8,HOXC8
CACNB3,CACNB3
DDX6,DDX6
NF2,NF2
RAB33A,RAB33A
HNRNPL,HNRNPL
HOXC6,HOXC6
TNKS2,TNKS2
CDK8,CDK8
TFAP2B,TFAP2B
PRKG1,PRKG1
CSNK1G3,CSNK1G3
GRIK2,GRIK2
NCKAP1,NCKAP1
TFAP2D,TFAP2D
HNRNPH2,HNRNPH2
ZBTB14,ZBTB14
TMEM147,TMEM147
ZC4H2,ZC4H2
PPP2R2C,PPP2R2C
RBM14,RBM14
HOXC5,HOXC5
TADA2A,TADA2A
SRSF9,SRSF9
SRSF2,SRSF2
HAND2,HAND2
PIAS1,PIAS1
YBX1,YBX1
KCNJ2,KCNJ2
CAMK2D,CAMK2D
ZFAND5,ZFAND5
RAB39B,RAB39B
CLP1,CLP1
SF3B4,SF3B4
KDELR1,KDELR1
MAPK9,MAPK9
PDCD10,PDCD10
NLGN3,NLGN3
RPLP0,RPLP0
TIMP3,TIMP3
HMBOX1,HMBOX1
NKAIN2,NKAIN2
NFYB,NFYB
DNAJA2,DNAJA2
DDX23,DDX23
MSL1,MSL1
ASF1A,ASF1A
SCAI,SCAI
MAP3K7,MAP3K7
ARL4A,ARL4A
ZMAT2,ZMAT2
SLITRK1,SLITRK1
FCF1,FCF1
UGCG,UGCG
EBF1,EBF1
CPSF2,CPSF2
ILF2,ILF2
MTCH1,MTCH1
CA8,CA8
TLE4,TLE4
CFAP20,CFAP20
KCNJ10,KCNJ10
SMAD2,SMAD2
TRAPPC5,TRAPPC5
RFX3,RFX3
PRKAA1,PRKAA1
MACROH2A1,MACROH2A1
PANK3,PANK3
USP12,USP12
WNT1,WNT1
RAE1,RAE1
RAP2A,RAP2A
RAP2C,RAP2C
EIF3D,EIF3D
ABI2,ABI2
ELMO2,ELMO2
RNF5,RNF5
ANKRD52,ANKRD52
KPNA1,KPNA1
PTBP2,PTBP2
TMEM196,TMEM196
FYN,FYN
DVL3,DVL3
UBE2Z,UBE2Z
WNT3,WNT3
MIR133A1,MIR133A1
GNAT1,GNAT1
GABBR1,GABBR1
WNT7A,WNT7A
IL1RAPL1,IL1RAPL1
PTP4A1,PTP4A1
ARMH3,ARMH3
PBX2,PBX2
BTG1,BTG1
TRIM27,TRIM27
PRPF18,PRPF18
TBR1,TBR1
CAB39,CAB39
MIR196B,ssc-mir-196b-1
DAZAP2,DAZAP2
MIR138-2,MIR138-2
MEST,MEST
CUL2,CUL2
NMT1,NMT1
SKP1,SKP1
PHYHIP,PHYHIP
MTOR,MTOR
CLVS2,CLVS2
MIR105-2,ssc-mir-105-2
CELF5,CELF5
TNNC1,TNNC1
SOX2,SOX2
TRIM62,TRIM62
LRRC73,LRRC73
DET1,DET1
PHOX2B,PHOX2B
PRKRA,PRKRA
SNRNP27,SNRNP27
STK38,STK38
PCDH9,PCDH9
RARA,RARA
PFDN5,PFDN5
TLK1,TLK1
ORMDL1,ORMDL1
SKIC8,SKIC8
ZMIZ1,ZMIZ1
BRINP1,BRINP1
PSMD12,PSMD12
PSMD4,PSMD4
NEK7,NEK7
POU3F1,POU3F1
STT3B,STT3B
OSTC,OSTC
RNF24,RNF24
KLHDC10,KLHDC10
HLF,HLF
CXXC4,CXXC4
RALGPS2,RALGPS2
EIF1AX,EIF1AX
EIF1AY,EIF1AY
NCBP1,NCBP1
KCNK12,KCNK12
SNRNP40,SNRNP40
H2AX,H2AX
ACTL6A,ACTL6A
DIPK1A,DIPK1A
MAPK8,MAPK8
SIX1,SIX1
ZRANB1,ZRANB1
KLHL11,KLHL11
ARMC1,ARMC1
GMEB1,GMEB1
RAB40C,RAB40C
MAPRE3,MAPRE3
RIC8B,RIC8B
MBTD1,MBTD1
SS18,SS18
PPP4R3A,PPP4R3A
ARRDC3,ARRDC3
CNKSR2,CNKSR2
TRIM8,TRIM8
POLR2C,POLR2C
SPSB1,SPSB1
OLIG3,OLIG3
PIP4K2A,PIP4K2A
RING1,RING1
MED10,MED10
GABBR2,GABBR2
CPLX2,CPLX2
VCL,VCL
SOS1,SOS1
NAA15,NAA15
TAFA1,TAFA1
NHLH1,NHLH1
DDX3X,DDX3X
GTF2H4,GTF2H4
RPS24,RPS24
GNB5,GNB5
SPIN1,SPIN1
LEPROTL1,LEPROTL1
TAFA2,TAFA2
KCND3,KCND3
MED31,MED31
PPP3CA,PPP3CA
MAPKAP1,MAPKAP1
KPNA3,KPNA3
CUL5,CUL5
KCTD9,KCTD9
HOXA13,HOXA13
ISCA1,ISCA1
SNF8,SNF8
TLE1,TLE1
DLX1,DLX1
KCMF1,KCMF1
POLR2F,POLR2F
UGP2,UGP2
TRRAP,TRRAP
POU3F2,POU3F2
H2BC26,H2BC26
KCND2,KCND2
RBM26,RBM26
ZBTB26,ZBTB26
RNF220,RNF220
KPNB1,KPNB1
SBDS,SBDS
MAP1LC3B,MAP1LC3B
SCN8A,SCN8A
LINGO1,LINGO1
FGF14,FGF14
KCNH5,KCNH5
RCOR3,RCOR3
KHDC4,KHDC4
FAM76A,FAM76A
FBXL3,FBXL3
PFDN1,PFDN1
FGF8,FGF8
MEOX2,MEOX2
MMP16,MMP16
PAX3,PAX3
MAP1LC3A,MAP1LC3A
PPM1L,PPM1L
PELI2,PELI2
FUT9,FUT9
ARNT2,ARNT2
EGLN3,EGLN3
DNAJB11,DNAJB11
MEIS2,MEIS2
KCNS2,KCNS2
COPB1,COPB1
GABRG2,GABRG2
KLHL2,KLHL2
MTF2,MTF2
DCUN1D5,DCUN1D5
HPSE2,HPSE2
FBXO32,FBXO32
NF1,NF1
TLE3,TLE3
PKNOX2,PKNOX2
GNAI3,GNAI3
ZNF423,ZNF423
CSNK2A2,CSNK2A2
TMEM185A,TMEM185A
LIN7A,LIN7A
KDM6A,KDM6A
TUSC3,TUSC3
NOG,NOG
SST,SST
ATP1B2,ATP1B2
INTS3,INTS3
DTX3,DTX3
MSL2,MSL2
ZBTB12,ZBTB12
C6orf62,C6orf62
VPS45,VPS45
EFNA5,EFNA5
METTL14,METTL14
MEX3B,MEX3B
YEATS4,YEATS4
DMC1,DMC1
PSMD10,PSMD10
DAD1,DAD1
DPYSL2,DPYSL2
SNRPB2,SNRPB2
INSIG2,INSIG2
PRPF19,PRPF19
GRID1,GRID1
RARB,RARB
SOX1,SOX1
POU3F3,POU3F3
IK,IK
VWC2L,VWC2L
SPRYD3,SPRYD3
PABPC4,PABPC4
ANAPC16,ANAPC16
BTK,BTK
CHMP5,CHMP5
USP27X,USP27X
GTF2A2,GTF2A2
ATG101,ATG101
GRIK5,GRIK5
GIT1,GIT1
NALCN,NALCN
EHD2,EHD2
PPP2R5A,PPP2R5A
PSMD7,PSMD7
SIAH2,SIAH2
STMN4,STMN4
RIMS4,RIMS4
MARK4,MARK4
MTCP1,MTCP1
FLOT1,FLOT1
EXT1,EXT1
KIF5C,KIF5C
ABHD2,ABHD2
KCNJ8,KCNJ8
SV2A,SV2A
MAD2L2,MAD2L2
PITHD1,PITHD1
SUZ12,SUZ12
POLR3F,POLR3F
PRKCE,PRKCE
IKZF2,IKZF2
EIF2S1,EIF2S1
ELAVL3,ELAVL3
TNIK,TNIK
DCX,DCX
PIM1,PIM1
ATP2A2,ATP2A2
FGF9,FGF9
PIP4K2B,PIP4K2B
TENM3,TENM3
MED27,MED27
NT5C2,NT5C2
ESRRG,ESRRG
WDR45,WDR45
RNF38,RNF38
TOMM40L,TOMM40L
MAD2L1,MAD2L1
NMNAT2,NMNAT2
CDK5R1,CDK5R1
XPO6,XPO6
CYFIP2,CYFIP2
ATP6V1B2,ATP6V1B2
DDA1,DDA1
PCMTD1,PCMTD1
KCTD1,KCTD1
DCAF12,DCAF12
RASL10B,RASL10B
KLHL10,KLHL10
GALNT18,GALNT18
LINGO2,LINGO2
MIR132,MIR132
S100A4,S100A4
EPC2,EPC2
INTS13,INTS13
GRID2,GRID2
RAB9B,RAB9B
PSMB2,PSMB2
PSMD1,PSMD1
KCNJ3,KCNJ3
DYRK2,DYRK2
GGPS1,GGPS1
TRPC4AP,TRPC4AP
CDH11,CDH11
ZNF148,ZNF148
SAR1B,SAR1B
OTX2,OTX2
DUSP14,DUSP14
SAR1A,SAR1A
PTPN11,PTPN11
EPHB1,EPHB1
KCNJ9,KCNJ9
TMEM178B,TMEM178B
MIR652,MIR652
TEX261,TEX261
LRP6,LRP6
LRATD1,LRATD1
DCUN1D4,DCUN1D4
ZNF146,ZNF146
FAM199X,FAM199X
ATXN7L3B,ATXN7L3B
TEAD3,TEAD3
BCL2L2,BCL2L2
AP3S2,AP3S2
CBLN1,CBLN1
ACTC1,ACTC1
SPPL3,SPPL3
GATA2,GATA2
SYNGAP1,SYNGAP1
TRPC7,TRPC7
PABIR1,PABIR1
GRIK4,GRIK4
CHD4,CHD4
DIP2B,DIP2B
EFNA3,EFNA3
DDAH2,DDAH2
WNT5A,WNT5A
CNOT4,CNOT4
TMEFF1,TMEFF1
MEX3A,MEX3A
SIN3A,SIN3A
TLN2,TLN2
TENM2,TENM2
DPYSL5,DPYSL5
GTF2A1,GTF2A1
TMEM151A,TMEM151A
UCHL5,UCHL5
SF3B3,SF3B3
KIF3B,KIF3B
ING2,ING2
RHBDL1,RHBDL1
GALNT1,GALNT1
KIF2A,KIF2A
CDK9,CDK9
SH3BGRL3,SH3BGRL3
GLRA3,GLRA3
SPTBN1,SPTBN1
SSR3,SSR3
ABCG4,ABCG4
IMP3,IMP3
GNPNAT1,GNPNAT1
SMIM12,SMIM12
SMAD4,SMAD4
USP24,USP24
ONECUT2,ONECUT2
OGA,OGA
EMC4,EMC4
CPEB4,CPEB4
DYNC1I2,DYNC1I2
SLC25A28,SLC25A28
CNPY2,CNPY2
PSMD2,PSMD2
EEF2,EEF2
PLPP4,PLPP4
MIR9-3,ssc-mir-9-3
MIR135A1,ssc-mir-135-1
LRRC8A,LRRC8A
KLHL14,KLHL14
EBF3,EBF3
TRAPPC3,TRAPPC3
TCF21,TCF21
CCT2,CCT2
RRAGC,RRAGC
BANF1,BANF1
KBTBD2,KBTBD2
NEUROD1,NEUROD1
RPE65,RPE65
PTCHD1,PTCHD1
CDH8,CDH8
NBEA,NBEA
THOC2,THOC2
GRIA2,GRIA2
DR1,DR1
TFAP2A,TFAP2A
THOC3,THOC3
CCNL1,CCNL1
MARK2,MARK2
IQSEC2,IQSEC2
PPTC7,PPTC7
TAF7,TAF7
SMG1,SMG1
UCK2,UCK2
DHX40,DHX40
TAC1,TAC1
MID2,MID2
KSR2,KSR2
KLHL15,KLHL15
NUDT3,NUDT3
ZNF580,ZNF580
ZFR,ZFR
ACTA2,ACTA2
TRIB2,TRIB2
EXOC6B,EXOC6B
NSG2,NSG2
SNX17,SNX17
PUM2,PUM2
TP63,TP63
FAM76B,FAM76B
RAD51,RAD51
PAIP2,PAIP2
TRPC5,TRPC5
DYRK1A,DYRK1A
CDK2AP2,CDK2AP2
SP8,SP8
SIX2,SIX2
CLIC4,CLIC4
ABHD13,ABHD13
LIX1L,LIX1L
ATF2,ATF2
FGF10,FGF10
BMAL1,BMAL1
POU4F1,POU4F1
HECTD1,HECTD1
HMGB2,HMGB2
TADA1,TADA1
STRIP1,STRIP1
GOLGA7B,GOLGA7B
UPF1,UPF1
PITPNC1,PITPNC1
ATP2B2,ATP2B2
PCDH17,PCDH17
PPP2R5B,PPP2R5B
GLRB,GLRB
HOXC13,HOXC13
PLAGL2,PLAGL2
XPO1,XPO1
GRIA1,GRIA1
LHFPL4,LHFPL4
CIAO2B,CIAO2B
KBTBD4,KBTBD4
RABGAP1,RABGAP1
SLC12A6,SLC12A6
ARIH2,ARIH2
TMEM39B,TMEM39B
PROX1,PROX1
BARHL1,BARHL1
RNF138,RNF138
KLHL28,KLHL28
MPPED1,MPPED1
PRDM12,PRDM12
PITX2,PITX2
MIR105-1,ssc-mir-105-1
MIR29B1,ssc-mir-29b-1
CTNNBIP1,CTNNBIP1
ZNF639,ZNF639
MAFB,MAFB
HIPK1,HIPK1
RPL3,RPL3
TLNRD1,TLNRD1
NPR2,NPR2
LHX5,LHX5
PLCXD3,PLCXD3
RBM17,RBM17
ERC2,ERC2
CACNB4,CACNB4
FBXO8,FBXO8
CNNM2,CNNM2
SRI,SRI
PPP2R5E,PPP2R5E
IFFO2,IFFO2
C1QL4,C1QL4
RSRC2,RSRC2
TNFAIP1,TNFAIP1
ZNF385D,ZNF385D
FLNC,FLNC
PRKCA,PRKCA
CDH7,CDH7
SPOPL,SPOPL
CNOT2,CNOT2
RGP1,RGP1
CDK14,CDK14
PELI3,PELI3
OSR2,OSR2
ACTR8,ACTR8
PAPSS1,PAPSS1
BICD1,BICD1
IRF6,IRF6
GABRG3,GABRG3
EWSR1,EWSR1
RNF122,RNF122
USF1,USF1
EGR3,EGR3
METAP1,METAP1
ARK2C,ARK2C
NFYA,NFYA
ARHGAP35,ARHGAP35
KIF5A,KIF5A
POU2F1,POU2F1
ORMDL3,ORMDL3
CHN1,CHN1
B4GALT6,B4GALT6
CHD2,CHD2
SRRT,SRRT
KANTR,KANTR
BMPR1A,BMPR1A
ACTG1,ACTG1
OTUD5,OTUD5
LZIC,LZIC
SND1,SND1
LMO2,LMO2
GLRA2,GLRA2
DOCK3,DOCK3
CNOT1,CNOT1
FOXG1,FOXG1
PDE6D,PDE6D
GNG4,GNG4
PALS1,PALS1
RBM25,RBM25
PRKCB,PRKCB
GALNT17,GALNT17
MTREX,MTREX
TMEM178A,TMEM178A
ZMYM3,ZMYM3
KIF5B,KIF5B
CHMP2A,CHMP2A
GDF11,GDF11
PCYT1B,PCYT1B
ADGRL1,ADGRL1
CLTC,CLTC
POLE3,POLE3
GGNBP2,GGNBP2
RPS2,RPS2
DYNC1H1,DYNC1H1
NRF1,NRF1
CNN3,CNN3
GNG11,GNG11
KCTD8,KCTD8
WDR26,WDR26
UBR5,UBR5
CDC40,CDC40
RAB39A,RAB39A
CPSF7,CPSF7
GPR22,GPR22
SRP19,SRP19
MED21,MED21
GNA11,GNA11
CHD8,CHD8
USP48,USP48
PHOX2A,PHOX2A
USP9X,USP9X
MVB12B,MVB12B
SMAD7,SMAD7
CREBRF,CREBRF
INTS6,INTS6
PCSK2,PCSK2
WNT11,WNT11
NEGR1,NEGR1
KCTD15,KCTD15
KDELR2,KDELR2
MED20,MED20
ZNF618,ZNF618
SCN2A,SCN2A
GABRA1,GABRA1
BEND5,BEND5
MIR137,MIR137
MIR32,ssc-mir-32
KCNMB4,KCNMB4
IKZF5,IKZF5
GPR88,GPR88
COPB2,COPB2
GBX2,GBX2
TLK2,TLK2
MED18,MED18
MED14,MED14
SEC61A2,SEC61A2
KCNAB2,KCNAB2
SEC63,SEC63
SUFU,SUFU
FGF18,FGF18
WDR45B,WDR45B
MSANTD3,MSANTD3
RALA,RALA
RALB,RALB
BTF3,BTF3
SYT7,SYT7
FGFR1,FGFR1
GPR27,GPR27
TSSK6,TSSK6
DEPTOR,DEPTOR
ST3GAL3,ST3GAL3
SNORA50A,SNORA50A
IDE,IDE
GABRB1,GABRB1
RAB13,RAB13
SRGAP1,SRGAP1
PDS5A,PDS5A
CISD2,CISD2
JOSD1,JOSD1
MIOS,MIOS
FBXO3,FBXO3
ZNF521,ZNF521
PSMA1,PSMA1
ID2,ID2
RAB9A,RAB9A
CBLN4,CBLN4
ZBTB43,ZBTB43
DNM1L,DNM1L
DDX46,DDX46
EIF2S2,EIF2S2
XPO7,XPO7
LSM1,LSM1
TMEM60,TMEM60
ZBTB18,ZBTB18
RCBTB1,RCBTB1
GAN,GAN
ASIC2,ASIC2
SEPTIN11,SEPTIN11
TRIM9,TRIM9
HECTD3,HECTD3
RXRG,RXRG
FZR1,FZR1
RCE1,RCE1
EPHA4,EPHA4
HIKESHI,HIKESHI
CDH10,CDH10
NIPA2,NIPA2
H2AC1,H2AC1
MMGT1,MMGT1
SFRP2,SFRP2
LHX6,LHX6
FBXO21,FBXO21
ELAVL1,ELAVL1
PPP2R2A,PPP2R2A
ATP6V1A,ATP6V1A
LHX4,LHX4
ADRA1B,ADRA1B
ESRRB,ESRRB
KDM1A,KDM1A
JUP,JUP
MIR592,MIR592
SLC17A6,SLC17A6
TUBG2,TUBG2
GTF2I,GTF2I
TIA1,TIA1
ELMO1,ELMO1
PIP4P2,PIP4P2
HUWE1,HUWE1
SPRED2,SPRED2
G3BP2,G3BP2
GJD2,GJD2
TAOK3,TAOK3
ACVR2A,ACVR2A
HSPA1B,HSP70.2
SHOX2,SHOX2
TBX20,TBX20
NKIRAS1,NKIRAS1
SNORD43,SNORD43
CHIC1,CHIC1
RNU2-2P,U2
YY1,YY1
TMEM184B,TMEM184B
CPEB3,CPEB3
DCTN6,DCTN6
RBM18,RBM18
FRMD5,FRMD5
ZNF800,ZNF800
MARCHF3,MARCHF3
FIGN,FIGN
TSPAN3,TSPAN3
FGFR1OP2,FGFR1OP2
RAD21,RAD21
PCDH10,PCDH10
PPP1R11,PPP1R11
PGM5,PGM5
PIP4P1,PIP4P1
PTPRT,PTPRT
CORO6,CORO6
BMP4,BMP4
RASGRF1,RASGRF1
PGGT1B,PGGT1B
PITX1,PITX1
CDK19,CDK19
DES,DES
PRADC1,PRADC1
PHYHIPL,PHYHIPL
SNRPA,SNRPA
DMAP1,DMAP1
PLEKHF2,PLEKHF2
IGF1R,IGF1R
MAP3K2,MAP3K2
PTPRD,PTPRD
AAMP,AAMP
TAF8,TAF8
PNISR,PNISR
KCNA1,KCNA1
SLC32A1,SLC32A1
MNAT1,MNAT1
HSPA9,HSPA9
CDC5L,CDC5L
NSG1,NSG1
GRIN1,GRIN1
USP13,USP13
FGF17,FGF17
SESN3,SESN3
MOB1B,MOB1B
HAS3,HAS3
CBLL1,CBLL1
ARPC5,ARPC5
SSR2,SSR2
ZC3H15,ZC3H15
ERCC2,ERCC2
MARCHF6,MARCHF6
KCNC2,KCNC2
TBCEL,TBCEL
LRFN4,LRFN4
ATP6V1H,ATP6V1H
CCDC47,CCDC47
SRSF5,SRSF5
ZCCHC24,ZCCHC24
WSB1,WSB1
