crab_eating_macaque gene name,rhesus_macaque gene name
RFC4,RFC4
MTARC2,MTARC2
EIF4A2,EIF4A2
CCT6A,CCT6A
SNORA4,SNORA4
MIR34A,mml-mir-34a
SNORA59A,SNORA59A
SNORA81,SNORA81
GGPS1,GGPS1
SNORA63B,SNORA63
SNORD2,SNORD2
SPSB1,SPSB1
CRYGS,CRYGS
LAPTM5,LAPTM5
HHIPL2,HHIPL2
MATN1,MATN1
TFF1,TFF1
ARL13B,ARL13B
AMT,AMT
STX19,STX19
MIR553,mml-mir-553
RWDD2B,RWDD2B
U8,U8
SERPINE1,SERPINE1
DAG1,DAG1
COA6,COA6
CLDN15,CLDN15
ARL8A,ARL8A
SLC35F3,SLC35F3
KCNK1,KCNK1
PHKG1,PHKG1
TRMT13,TRMT13
MIR128-2,mml-mir-128b
CHODL,CHODL
BUD23,BUD23
UQCC5,UQCC5
P2RY14,P2RY14
GPR87,GPR87
FAM177B,FAM177B
P2RY12,P2RY12
ST6GAL1,ST6GAL1
SUSD4,SUSD4
CNN3,CNN3
AADACL2,AADACL2
UBE2T,UBE2T
BTG3,BTG3
EPHA3,EPHA3
RNF123,RNF123
MIR125B2,mml-mir-125b-2
CLCN6,CLCN6
ETV1,ETV1
SNORD19B,SNORD19B
SNORD69,SNORD69
MBNL1,MBNL1
ARL4A,ARL4A
RAMP3,RAMP3
GLT8D1,GLT8D1
PARK7,PARK7
CLDN4,CLDN4
OSCP1,OSCP1
SCIN,SCIN
MIRLET7C,MIRLET7C
MIR99A,mml-mir-99a
LSM10,LSM10
SNORD74B,SNORD74B
MIR26A1,mml-mir-26a-1
SNORA5B,SNORA5B
LRRC39,LRRC39
SNORA5C,SNORA5C
SNORA5A,SNORA5A
DRAXIN,DRAXIN
P2RY1,P2RY1
RNU6ATAC6P,RNU6ATAC6P
RAP2B,RAP2B
ACAA1,ACAA1
VAMP3,VAMP3
CAMKV,CAMKV
EGFR,EGFR
CCM2,CCM2
UBP1,UBP1
GABPA,GABPA
FBXO28,FBXO28
PIK3CA,PIK3CA
PLPPR4,PLPPR4
PDZRN3,PDZRN3
MIR590,mml-mir-590
CNIH4,CNIH4
ZNF639,ZNF639
PURB,PURB
MX2,MX2
BUD31,BUD31
GCLM,GCLM
GNB4,GNB4
TMEM106B,TMEM106B
UBIAD1,UBIAD1
MIR760,MIR760
EIF4H,EIF4H
MIR137,mml-mir-137
LBR,LBR
CCR4,CCR4
SLC22A13,SLC22A13
DSCAM,DSCAM
GNPAT,GNPAT
SEC61G,SEC61G
RFC2,RFC2
SNORA16A,SNORA16A
OGDH,OGDH
SLC22A14,SLC22A14
AGO1,AGO1
MIR155,mml-mir-155
SNORA73A,SNORA73
SEMA3F,SEMA3F
NDUFB5,NDUFB5
RBM11,RBM11
PCP4,PCP4
GNAT1,GNAT1
SLC38A3,SLC38A3
THRAP3,THRAP3
SNORA61,SNORA61
USP13,USP13
SNORD99,SNORD99
TARDBP,TARDBP
GNAI2,GNAI2
NDUFA4,NDUFA4
PSMB2,PSMB2
PTAFR,PTAFR
POLR2J,POLR2J
NXPH1,NXPH1
PEX5L,PEX5L
PEX14,PEX14
LSMEM2,LSMEM2
SESN2,SESN2
LRRN1,LRRN1
NAA80,NAA80
TTC14,TTC14
HYAL1,HYAL1
SNORD38C,SNORD38C
SNORA66,SNORA66
SNORD21,SNORD21
TUSC2,TUSC2
EVI5,EVI5
ADIPOR1,ADIPOR1
RBM5,RBM5
CYB561D2,CYB561D2
TMEM115,TMEM115
MDH2,MDH2
NCF1,NCF1
ITPR1,ITPR1
PPFIA4,PPFIA4
C1GALT1,C1GALT1
SNORA6,SNORA62
CASTOR2,CASTOR2
GJA4,GJA4
GJB3,GJB3
ERG,ERG
SCARNA1,SCARNA1
GJB5,GJB5
MIR552,mml-mir-552
ZNF3,ZNF3
ACTR8,ACTR8
DLX5,DLX5
SLC25A38,SLC25A38
RPSA,RPSA
KCNJ6,KCNJ6
MAFK,MAFK
UBE3C,UBE3C
MYL7,MYL7
RHBDD2,RHBDD2
ZSCAN21,ZSCAN21
CHIT1,CHIT1
POLD2,POLD2
ICMT,ICMT
GPER1,GPER1
ARL8B,ARL8B
BTG2,BTG2
MIR25,mml-mir-25
MIR106B,mml-mir-106b
MIR4790,MIR4790
B3GNT5,B3GNT5
PGAM2,PGAM2
PINK1,PINK1
TAF6,TAF6
MIR153-2,mml-mir-153-2
RALA,RALA
DYNC1I1,DYNC1I1
LMCD1,LMCD1
CHAF1B,CHAF1B
LAMTOR4,LAMTOR4
SNORA20B,SNORA20B
PLA2G2C,PLA2G2C
PDK4,PDK4
CAV3,CAV3
PHC2,PHC2
MPLKIP,MPLKIP
TRIM50,TRIM50
ARHGEF3,ARHGEF3
THUMPD3,THUMPD3
OTUD3,OTUD3
MTMR14,MTMR14
MANF,MANF
SPMIP7,SPMIP7
CPNE9,CPNE9
PSMA2,PSMA2
TRGV9,TRGV9
HPCA,HPCA
STARD3NL,STARD3NL
IQCF1,IQCF1
EPDR1,EPDR1
TUFT1,TUFT1
MIR554,mml-mir-554
PDE12,PDE12
SFRP4,SFRP4
AP2M1,AP2M1
TBP,TBP
TSC22D4,TSC22D4
FOXO3,FOXO3
GPR141,GPR141
ZBTB8A,ZBTB8A
JAGN1,JAGN1
TAS1R2,TAS1R2
PSMB4,PSMB4
EIF1B,EIF1B
CAPN9,CAPN9
ENTPD3,ENTPD3
OLIG3,OLIG3
CAMK2N1,CAMK2N1
FBXO24,FBXO24
COG2,COG2
RNY3P11,Y_RNA
TXLNA,TXLNA
FLNB,FLNB
RGS4,RGS4
MIR1224,mml-mir-1224
EMC3,EMC3
TAF5L,TAF5L
PCBP3,PCBP3
ACTL8,ACTL8
TMEM39B,TMEM39B
C6orf120,C4H6orf120
NUF2,NUF2
ZBTB24,ZBTB24
CCK,CCK
HERPUD2,HERPUD2
TBX20,TBX20
POP7,POP7
POGLUT1,POGLUT1
WASF1,WASF1
MYCT1,MYCT1
CALN1,CALN1
HORMAD1,HORMAD1
LRRC8C,LRRC8C
VIP,VIP
MRTO4,MRTO4
LRRC8B,LRRC8B
EPHB4,EPHB4
ADPRH,ADPRH
SNORD66,SNORD66
PBX1,PBX1
UPK1B,UPK1B
TMEM209,TMEM209
TMEM39A,TMEM39A
TSPO2,TSPO2
SSMEM1,SSMEM1
VTA1,VTA1
LMX1A,LMX1A
CLCN2,CLCN2
KYAT3,KYAT3
ZNF662,ZNF662
RXRG,RXRG
UCK2,UCK2
MIR922,mml-mir-922
BMPER,BMPER
CDK19,CDK19
MGST3,MGST3
IPCEF1,IPCEF1
POLR2H,POLR2H
ACTA1,ACTA1
ADGRG6,ADGRG6
SNRK,SNRK
RBMXL1,RBMXL1
FUT9,FUT9
FHL5,FHL5
FAM78B,FAM78B
MIR335,MIR335
UFL1,UFL1
POGK,POGK
RPF2,RPF2
MIR29B1,mml-mir-29b-1
TADA1,TADA1
ABHD5,ABHD5
ZBTB20,ZBTB20
TUBE1,TUBE1
MRPS21,MRPS21
MANEA,MANEA
SLC51A,SLC51A
EPHB3,EPHB3
SELENOF,SELENOF
MIR29A,MIR29A
EPHA7,EPHA7
SRRT,SRRT
RWDD1,RWDD1
TM4SF19,TM4SF19
PEX3,PEX3
ZDHHC23,ZDHHC23
KBTBD2,KBTBD2
GPA33,GPA33
FAM229B,FAM229B
KPNA5,KPNA5
GRAMD1C,GRAMD1C
MAP3K7,MAP3K7
TFB1M,TFB1M
ZNF197,ZNF197
SNORD28B,SNORD28
ZNF502,ZNF502
CEP19,CEP19
KIAA1143,KIAA1143
RPL10A,RPL10A
STXBP5,STXBP5
PAK2,PAK2
MTMR11,MTMR11
HS3ST5,HS3ST5
C3orf70,C2H3orf70
NAA50,NAA50
SF3B4,SF3B4
NCBP2,NCBP2
COPG2,COPG2
SFTA2,SFTA2
H2AC21,H2AC21
H2AC20,H2AC20
PLAGL1,PLAGL1
AGBL3,AGBL3
HDAC2,HDAC2
CLEC3B,CLEC3B
COL10A1,COL10A1
CYREN,CYREN
OR2B3,OR2B3
GTF2H4,GTF2H4
TRAPPC10,TRAPPC10
GNG5,GNG5
TRIM27,TRIM27
GPR161,GPR161
SLC35F1,SLC35F1
SCAND3,SCAND3
TIPRL,TIPRL
CNOT4,CNOT4
NRM,NRM
LPAR3,LPAR3
SSX2IP,SSX2IP
PTN,PTN
SNORD81,SNORD81
GTPBP8,GTPBP8
LZTFL1,LZTFL1
DPT,DPT
POU2F1,POU2F1
CCR9,CCR9
ASF1A,ASF1A
NKAPL,NKAPL
ABHD6,ABHD6
ATG3,ATG3
PPIL4,PPIL4
ZKSCAN8,ZKSCAN8
BEND3,BEND3
RNGTT,RNGTT
MIR490,mml-mir-490
DHX16,DHX16
MRPS18B,MRPS18B
ZFAND3,ZFAND3
AVL9,AVL9
ASB15,ASB15
CNR1,CNR1
KATNA1,KATNA1
SNRPC,SNRPC
H2BC17,H2BC17
ZNF184,ZNF184
PRKACB,PRKACB
WASL,WASL
CRYAA,CRYAA
HYAL4,HYAL4
SPDEF,SPDEF
MPC2,MPC2
H2AC14,H2AC14
PPP1R10,PPP1R10
PCMT1,PCMT1
MIR877,mml-mir-877
PACSIN1,PACSIN1
CREB3L2,CREB3L2
HMGN4,HMGN4
GTF2H5,GTF2H5
AKR1D1,AKR1D1
NEUROD6,NEUROD6
H2AC12,H2AC12
FAM3D,FAM3D
SNORD50B,SNORD50B
DYNLT1,DYNLT1
H2BC11,H2BC11
MIR592,MIR592
C6orf163,C4H6orf163
POPDC3,POPDC3
BVES,BVES
SVOPL,SVOPL
BTN1A1,BTN1A1
ARF5,ARF5
GRM4,GRM4
HTR1E,HTR1E
HTD2,RPP14
TRIM39,RPP21
TMEM217,TMEM217
SND1,SND1
PIM1,PIM1
GJA1,GJA1
FABP7,FABP7
LEP,LEP
CEP15,CEP15
INMT,INMT
HSF2,HSF2
H2BC7,H2BC8
PPP1R11,PPP1R11
ZBTB9,ZBTB9
PDSS2,PDSS2
LSM3,LSM3
ZBTB2,ZBTB2
H2BC5,H2BC5
RMND1,RMND1
IFT56,IFT56
MIR5004,MIR5004
H1-3,H1-3
CUTA,CUTA
PPIL1,PPIL1
GRM8,GRM8
AGPAT1,AGPAT1
CLVS2,CLVS2
XXYLT1,XXYLT1
GRIK2,GRIK2
CPNE5,CPNE5
PTGFR,PTGFR
LRRC15,LRRC15
DNAJB4,DNAJB4
H1-4,H1-4
NKAIN2,NKAIN2
ESR1,ESR1
FKBPL,FKBPL
CDKN1A,CDKN1A
TMUB1,TMUB1
ATP13A3,ATP13A3
TPD52L1,TPD52L1
GNGT1,GNGT1
NSG1,NSG1
RGL2,RGL2
CCDC136,CCDC136
PRR15,PRR15
MIR489,mml-mir-489
MIR653,mml-mir-653
PFDN6,PFDN6
LYAR,LYAR
HEY2,HEY2
SERINC1,SERINC1
TIFA,TIFA
TBXAS1,TBXAS1
MOG,MOG
CREB5,CREB5
IQCA1L,IQCA1L
SYNPR,SYNPR
PRELP,PRELP
H2BK1,H2BK1
JAZF1,JAZF1
PARP12,PARP12
ABCF2,ABCF2
DXO,DXO
CHPF2,CHPF2
MIR302B,mml-mir-302b
MIR671,mml-mir-671
ANKRD50,ANKRD50
RNASET2,RNASET2
CLIC4,CLIC4
RNF146,RNF146
FMOD,FMOD
PRKAG2,PRKAG2
LARP7,LARP7
RAB19,RAB19
MIR367,mml-mir-367
MIR302D,mml-mir-302d
RCAN3,RCAN3
MIR302A,mml-mir-302a
MIR302C,mml-mir-302c
FKBP14,FKBP14
ATP2B4,ATP2B4
SIM1,SIM1
PSMD6,PSMD6
C1QTNF7,C1QTNF7
HIBADH,HIBADH
ZBTB12,ZBTB12
KLC4,KLC4
USP45,USP45
RING1,RING1
ANKIB1,ANKIB1
ATP6V1F,ATP6V1F
SLC39A7,SLC39A7
MIR196B,MIR196B
CD38,CD38
RXRB,RXRB
GMDS,GMDS
FBXL7,FBXL7
MIR887,mml-mir-887
KRIT1,KRIT1
SOX13,SOX13
PACRG,PACRG
LRRD1,LRRD1
PNISR,PNISR
MFSD8,MFSD8
MRPS33,MRPS33
COX7A2,COX7A2
CENPW,CENPW
TMEM178B,TMEM178B
PNRC2,PNRC2
CNR2,CNR2
FKBP5,FKBP5
ABHD18,ABHD18
PSMB9,PSMB9
HSPA1L,HSPA1L
CD36,CD36
TBC1D9,TBC1D9
MIR2113,MIR2113
GNAT3,GNAT3
RNF150,RNF150
GNAI1,GNAI1
CDH12,CDH12
GNMT,GNMT
ZNF330,ZNF330
NT5E,NT5E
CDH18,CDH18
SNORD52,SNORD52
SNORD48,SNORD48
BICRAL,BICRAL
NPY1R,NPY1R
LSM2,LSM2
ID3,ID3
TBCC,TBCC
SMKR1,SMKR1
PDE6B,PDE6B
PRSS58,PRSS58
MIR96,mml-mir-96
CCNC,CCNC
MIR183,mml-mir-183
LRRN2,LRRN2
GAB1,GAB1
MYL5,MYL5
MED10,MED10
QDPR,QDPR
C4orf33,C5H4orf33
SMIM31,SMIM31
NPY5R,NPY5R
CDH10,CDH10
CLRN2,CLRN2
LAP3,LAP3
SRD5A1,SRD5A1
CCR1,CCR1
PPP3CA,PPP3CA
CCR2,CCR2
CCR5,CCR5
PLG,PLG
HTR1D,HTR1D
ANAPC10,ANAPC10
PABPC4L,PABPC4L
APELA,APELA
RTP3,RTP3
SLC7A11,SLC7A11
TMEM60,TMEM60
KLHL32,KLHL32
ELF2,ELF2
KBTBD8,KBTBD8
CTBP1,CTBP1
SUCLG2,SUCLG2
MGARP,MGARP
MSMO1,MSMO1
MIR218-1,mml-mir-218-1
TAFA1,TAFA1
SNORD123,SNORD123
WNT4,WNT4
SLC39A8,SLC39A8
CCT5,CCT5
PDCL2,PDCL2
CDK14,CDK14
CMBL,CMBL
MAS1,MAS1
MGST2,MGST2
MCCC2,MCCC2
CCDC146,CCDC146
UBA3,UBA3
ELP6,ELP6
KDR,KDR
MIR135B,MIR135B
PGC,PGC
CLGN,CLGN
KLHL18,KLHL18
ARL6IP5,ARL6IP5
CCR3,CCR3
MGAT4D,MGAT4D
MMAA,MMAA
SNORA29,SNORA29
SNORA20,SNORA20
C4orf51,C5H4orf51
ELK4,ELK4
KCNIP4,KCNIP4
DDX43,DDX43
ZNF366,ZNF366
GSX2,GSX2
NPY,NPY
CHIC2,CHIC2
SLC10A7,SLC10A7
SLC9B2,SLC9B2
LRRC17,LRRC17
AIF1,AIF1
ANXA10,ANXA10
INSIG1,INSIG1
TREML1,TREML1
MIR1226,mml-mir-1226
OOEP,OOEP
LTA,LTA
LSM6,LSM6
RAB7B,RAB7B
CCDC126,CCDC126
ACTR3B,ACTR3B
TMEM174,TMEM174
RHEX,RHEX
TRA2A,TRA2A
POU4F2,POU4F2
DNAJC2,DNAJC2
SNORD117,SNORD83
DDX39B,DDX39B
BCKDHB,BCKDHB
MDFIC2,MDFIC2
PSMC2,PSMC2
BTF3,BTF3
NFYA,NFYA
SNX3,SNX3
SNORA26,SNORA26
OARD1,OARD1
SNORD65C,SNORD65C
NUP42,NUP42
CBR4,CBR4
SRGAP2,SRGAP2
IL17F,IL17F
MIR4282,MIR4282
CAMP,CAMP
TNPO1,TNPO1
MIR133B,mml-mir-133b
OTULIN,OTULIN
MIR206,mml-mir-206
USP46,USP46
HINT1,HINT1
TMEM184C,TMEM184C
HMGN3,HMGN3
PRMT9,PRMT9
MCCD1,MCCD1
PROK2,PROK2
SPINK8,SPINK8
PPM1K,PPM1K
ELOVL4,ELOVL4
RAPGEF5,RAPGEF5
ENC1,ENC1
HEXB,HEXB
SNORD93,SNORD93
DEFB112,DEFB112
IL6,IL6
DBF4,DBF4
DCLK2,DCLK2
MIR30A,mml-mir-30a
CCDC51,CCDC51
MIR30C2,mml-mir-30c-2
ANKRA2,ANKRA2
HERC3,HERC3
TMA7,TMA7
IL10,IL10
TACR3,TACR3
IRAK1BP1,IRAK1BP1
IL19,IL19
TREX1,TREX1
IL20,IL20
MEI4,MEI4
HTR1B,HTR1B
CLCN3,CLCN3
MIR711,mml-mir-711
ABRAXAS1,ABRAXAS1
RUNDC3B,RUNDC3B
MRPS18C,MRPS18C
PFKFB4,PFKFB4
SNORD73B,SNORD73
IL9,IL9
USO1,USO1
NEUROG1,NEUROG1
GSTCD,GSTCD
MIR577,mml-mir-577
NDST4,NDST4
GALNTL6,GALNTL6
PLAC8,PLAC8
TNFRSF21,TNFRSF21
GALNT7,GALNT7
CDKL2,CDKL2
THAP9,THAP9
SGMS2,SGMS2
METTL14,METTL14
RCHY1,RCHY1
C4orf36,C5H4orf36
GRID2,GRID2
WDR6,WDR6
PRKAR2A,PRKAR2A
EREG,EREG
SLC25A20,SLC25A20
EPGN,EPGN
GLRA3,GLRA3
DMTF1,DMTF1
SYPL1,SYPL1
PRPS1L1,PRPS1L1
SLC25A27,SLC25A27
MIR802,mml-mir-802
HSD17B13,HSD17B13
TMEM150C,TMEM150C
HSD17B11,HSD17B11
F2RL2,F2RL2
MAB21L2,MAB21L2
HPGDS,HPGDS
LEF1,LEF1
CRHBP,CRHBP
MIR874,mml-mir-874
MIR425,mml-mir-425
MIR191,MIR191
MYOZ2,MYOZ2
NDUFAF3,NDUFAF3
ENPP5,ENPP5
ENPP4,ENPP4
GRM3,GRM3
CXCL1,CXCL1
CFAP299,CFAP299
KCNE2,KCNE2
PRKAR2B,PRKAR2B
MIR340,mml-mir-340
MRPS6,MRPS6
PDE5A,PDE5A
SPP1,SPP1
OTP,OTP
BMP3,BMP3
FOXI1,FOXI1
UNC5C,UNC5C
HPGD,HPGD
FGF5,FGF5
NME5,NME5
ITSN1,ITSN1
MEOX2,MEOX2
PTP4A1,PTP4A1
SNORD108,SNORD108
CDC5L,CDC5L
PRDM5,PRDM5
CNOT6,CNOT6
GK2,GK2
EFNA5,EFNA5
NAA11,NAA11
ECHDC1,ECHDC1
FER,FER
CASP6,CASP6
SMIM15,SMIM15
KCNMB1,KCNMB1
ANXA3,ANXA3
TSPAN5,TSPAN5
FAM53C,FAM53C
SNORD64,SNORD64
SNORD107,SNORD107
TCTE1,TCTE1
SNX2,SNX2
SNURF,SNURF
SNORA47,SNORA47
MIR6501,MIR6501
KIF2A,KIF2A
CDC25C,CDC25C
LRIT3,LRIT3
QRFPR,QRFPR
TMPRSS11E,TMPRSS11E
ELOVL6,ELOVL6
SMIM23,SMIM23
TMPRSS11B,TMPRSS11B
FBXW11,FBXW11
IFNGR2,IFNGR2
FHDC1,FHDC1
FBXW7,FBXW7
CSNK1G3,CSNK1G3
PTPRK,PTPRK
MIR378A,MIR378A
ETF1,ETF1
SLC26A2,SLC26A2
UBTD2,UBTD2
EXOSC9,EXOSC9
IVD,IVD
MAD2L1BP,MAD2L1BP
EPCIP,EPCIP
PAQR3,PAQR3
EPHA5,EPHA5
GPR3,GPR3
DUSP1,DUSP1
SREK1IP1,SREK1IP1
POLR1C,POLR1C
SNORD63B,SNORD63
ERGIC1,ERGIC1
DNAJB14,DNAJB14
LRRTM2,LRRTM2
STARD4,STARD4
TECRL,TECRL
CENPK,CENPK
ATP6V0E1,ATP6V0E1
SNORA74B,SNORA74
TRAPPC13,TRAPPC13
NREP,NREP
MIR211,mml-mir-211
DLK2,DLK2
BNIP1,BNIP1
DCK,DCK
LAMTOR3,LAMTOR3
ADH6,ADH6
STC2,STC2
NUP54,NUP54
DDIT4L,DDIT4L
MATR3,MATR3
RMDN3,RMDN3
SMIM14,SMIM14
SAMD3,SAMD3
MARCHF3,MARCHF3
CPEB4,CPEB4
NIPA2,NIPA2
SFRP2,SFRP2
NSG2,NSG2
FGB,FGB
CXCL11,CXCL11
LRAT,LRAT
C15orf62,C7H15orf62
DCAF4L1,DCAF4L1
CXCL10,CXCL10
