mice gene name,frog gene name
Cstf1,cstf1
Ogt,ogt
Sgf29,sgf29
Psmc3,psmc3
Xpo1,xpo1
Usp7,usp7
Marchf3,marchf3
Mcts1,mcts1
Mob4,mob4
Ddx6,ddx6
Actr3,actr3
Nedd8,nedd8
Asb7,asb7
Gpm6a,gpm6a
Romo1,romo1
Cplx2,cplx2
Dip2c,dip2c
Pbx3,pbx3
Lin7c,lin7c
Srsf1,srsf1
Kpnb1,kpnb1
Mapk1,mapk1
Prpf6,prpf6
Rps15,rps15
Rbbp7,rbbp7
Med10,med10
Rnf11,rnf11
Mib1,mib1
Cops3,cops3
Rap2b,rap2b
Hpcal4,hpcal4
Fbxl14,fbxl14
Klhl14,klhl14
Tfap2b,tfap2b
Creb1,creb1
Fgf12,fgf12
Eif1ax,eif1ax
Nalcn,nalcn
Mir124a-3,MIR124-3
Mef2c,mef2c
Rps7,rps7
Marchf5,marchf5
Kat7,kat7
Tead1,tead1
Snrnp200,abcc10
Kpna4,kpna4
Psmd11,psmd11
Polr3b,polr3b
Mb21d2,mb21d2
Ruvbl2,ruvbl2
Ppp2r2d,ppp2r2d
Cltc,cltc
Camk2a,camk2a
Ubr5,ubr5
Elof1,elof1
Ctnna2,ctnna2
Rbpj,rbpj
Rps2,rps2
Rmnd5a,rmnd5a
Ormdl1,ormdl1
Rpl15,rpl15
Tuba4a,tuba4b
Ldb1,ldb1
Fam76b,fam76b
Enc1,enc1
Rras2,rras2
Gria2,gria2
Rheb,rheb
Six1,six1
Emx2,emx2
Fbxl7,fbxl7
Cnot7,cnot7
Tmed2,tmed2
Ap2s1,ap2s1
Cnot2,myh2
Arpc4,arpc4
Gm26228,U6
Rpl30,rpl30
Trrap,trrap
Tnpo1,tnpo1
Naa20,naa20
Grik2,grik2
Grb2,grb2
Ap2b1,ap2b1
Meis1,meis1
Gucy1b1,gucy1b1
Eny2,eny2
Rab5a,rab5a
Runx1t1,runx1t1
Polr2f,polr2f
Usp12,usp12
Cpne4,cpne4
Cnih1,cnih1
Septin7,septin7
Pax6,pax6
Hsp90ab1,hsp90ab1
Eftud2,eftud2
Gnai2,gnai2
Rab5c,rab5c
Rab11a,rab11a
Rdx,rdx
Csnk1e,tptep2-csnk1e
Babam2,babam2
Six6,six6
Diras2,diras2
Stx1a,stx1a
Nek7,nek7
C1ql3,c1ql3
Dnaja2,dnaja2
Ppp3ca,ppp3ca
Tnpo2,tnpo2
Clvs2,clvs2
Actr1a,actr1a
Snx6,snx6
Arih1,arih1
Smco4,smco4
Cnot1,cnot1
Ptp4a2,ptp4a2
Foxp2,foxp2
Wdr20,wdr20
Pak3,pak3
Tfap2d,tfap2d
Ppp4c,ppp4c
Gtf2b,gtf2b
Rab30,rab30
Cacng7,cacng7
Psma6,psma6
St7,st7
Cul5,cul5
Rab5b,rab5b
Ipo7,ipo7
Rad51,rad51
Srsf2,srsf2
Eif2s1,eif2s1
Vps29,vps29
Calm1,calm1
Ppp2r2c,ppp2r2c
Atp6v1c1,atp6v1c1
Rps6ka3,rps6ka3
Hsp90aa1,hsp90aa1.1
Eed,eed
Ptpn11,ptpn11
Taok1,taok1
Sptan1,sptan1
Xpo4,xpo4
Cacng5,cacng5
Atp5f1a,atp5f1a
Hand2,hand2
Lin7b,lin7b
Psmc2,psmc2
Arl5a,arl5a
Ezh2,ezh2
Arl1,arl1
Prmt1,prmt1
Vps35,vps35
Rtcb,rtcb
Ppp2r2a,ppp2r2a
Fyn,fyn
Cdc42,cdc42
Rpl22,rpl22
Atp1a3,atp1a3
Cnih3,cnih3
Ywhah,ywhah
Usp9x,usp9x
Tbpl1,tbpl1
Elmo1,elmo1
Pafah1b1,pafah1b1
Maea,maea
Sf3a3,sf3a3
Nr2f2,nr2f2
Ugcg,ugcg
Ccny,ccny
Cpeb4,cpeb4
Pou3f4,pou3f4
Fam78b,spen
Atp1a2,atp1a2
Rps26,rps26
Dock7,dock7
Cdk14,cdk14
Prkaa2,prkaa2
Psmd6,psmd6
Msi1,msi1
Slc25a5,slc25a5
Lhx1,lhx1
Rbm24,rbm24
Mob1b,mob1b
Get3,get3
Otx2,otx2
Ebf1,ebf4
Kif2a,hacd2
Psmd2,psmd2
Rhoq,rhoq
Ppp4r3b,ppp4r3b
Kif3a,kif3a
Snu13,snu13
Rac2,rac2
Ube2d3,ube2d3
Arpc2,arpc2
Cdk17,cdk17
Snap25,snap25
Prkar1a,prkar1a
Nrarp,nrarp
Kcnd3,kcnd3
Nfia,nfia
Mir19a,xtr-mir-19a
Gng3,gng3
Gabarapl2,gabarapl2
Traf7,traf7
Pax3,pax3
Blcap,blcap
Arl4c,arl4c
Smarcb1,smarcb1
Kcnj3,kcnj3
Ehd3,ehd3
Cnot8,cnot8
Lrrc3b,lrrc3b
Cdk8,cdk8
Atp9a,atp9a
Nr4a2,nr4a2
Glrb,glrb
Psmd1,psmd1
Sppl3,sppl3
Rab7,rab7a
Ssu72,ssu72
Hs3st5,hs3st5
Xpo7,xpo7
Hoxc8,hoxc8
Map1lc3a,map1lc3a
Rae1,rae1
Ccdc6,ccdc6
Prpf38a,prpf38a
Mkln1,mkln1
Bbs5,bbs5
Map2k1,map2k1
Btrc,btrc
Ebf2,ebf2
Gfod1,gfod1
Ddx39a,ddx39a
Smad4,smad4
Mad2l2,mad2l2
Actl6a,actl6a
Phb1,phb
Ppih,ppih
Lpar1,lpar1
Det1,det1
Ppfia2,ppfia2
Prkci,prkci
Ank,ankh
Prkar1b,prkar1b
BC005537,c6orf62
Sephs1,sephs1
Eif3l,eif3l
Dyrk1a,dyrk1a
Gnb5,gnb5
Cplx1,cplx1
Ehd1,ehd1
Cadps,cadps
Cpsf2,cpsf2
Cnih4,cnih4
Med23,med23
Ssbp3,ssbp3
Ubc,ubc
Rhob,rhob
Impdh2,impdh2
Gabpb1,gabpb1
Ptprk,ptprk
Rps8,rps8
Zdhhc17,zdhhc17
Rab21,rab21
Tada2b,tada2b
Papss1,papss1
Map2k6,map2k6
Gid4,gid4
Anapc7,anapc7
Hapstr1,c16orf72
Stt3b,stt3b
Trim2,trim2
B3galt1,b3galt1
Rptor,rptor
Lin52,lin52
Wdr48,wdr48
Polr3a,polr3a
Tln2,tln2
Eif6,eif6
Cbx1,cbx1
Myh10,myh10
Ube2w,ube2w
Zic1,zic1
Gm26264,U1
Polr2g,polr2g
Atp2a2,atp2a2
Rorb,rorb
Rplp0,rplp0
Mlst8,kcnj10
Pik3ca,pik3ca
Dhx15,dhx15
Atp6v1h,atp6v1h
Klhl12,klhl12
Dnm1,dnm1
Prpf31,prpf31
Fermt2,fermt2
Pip4k2a,pip4k2a
Kcna1,kcna1
Armh3,armh3
Tbx20,tbx20
Polr2d,polr2d
Nbea,nbea
Mturn,mturn
Kcnab2,kcnab2
Chmp1a,chmp1a
Nr2e1,nr2e1
Phyhipl,phyhipl
Gosr1,gosr1
Snrpg,snrpg
Gnb4,gnb4
Ap1g1,ap1g1
Rpl3,rpl3
Rab3c,rab3c
Prkce,prkce
Kcnh5,kcnh5
Snx3,snx3
Gfpt1,gfpt1
Nsf,nsf
Ptbp2,ptbp2
Sestd1,sestd1
Pptc7,pptc7
Cript,cript
Naa35,naa35
Rpl10,rpl10
Vangl2,vangl2
Ddx23,ddx23
Kdelr1,kdelr2
Ufd1,ufd1
Lrrc8a,lrrc8a
Mob3a,mob3a
Copb2,copb2
Celf2,celf2
Vsnl1,vsnl1
Mark3,mark3
Napa,napa
Crnkl1,crnkl1
Ube2l3,ube2l3
Sptbn1,sptbn1
Zswim6,zswim6
Acly,acly
Ephb1,ephb1
Srsf5,srsf5
Kif5b,kif5b
Vps4a,vps4a
Tlk1,tlk1
Cdk9,cdk9
Eif3k,eif3k
Stag2,stag2
Rer1,rer1
Dnm2,dnm2
Efna5,efna5
Eif3e,eif3e
Atp5f1b,atp5f1b
Cyfip1,cyfip1
St8sia3,st8sia3
Ier3ip1,ier3ip1
Tenm3,tenm3
Elovl6,elovl6
Usp34,usp34
Pcdh9,pcdh9
Pkm,pkm
Hs2st1,hs2st1
Cyria,cyria
Nf1,nf1
Ap1m2,ap1m2
Supt5,supt5h
Acaca,acaca
Actn1,actn1
Mir103-1,xtr-mir-103-1
Stk3,stk3
Kcnj2,kcnj2
Sec13,sec13
Ext1,ext1
Pknox2,pknox2
Fzd4,fzd4
Gna14,gna14
Peli2,peli2
Rfx3,rfx3
Maco1,maco1
Aldh1a2,aldh1a2
Ldb2,ldb2
Pum1,pum1
Tubgcp4,tubgcp4
Cbln4,cbln4
Dcx,dcx
Tlk2,tlk2
Kpna6,kpna6
Prkaa1,prkaa1
Hmbox1,hmbox1
Nr2f1,nr2f1
Shoc2,shoc2
Sap30l,sap30l
Smarca4,smarca4
Gdi1,gdi1
Akt1,akt1
Marchf6,marchf6
Trip12,trip12
Rnf144a,rnf144a
Rab35,rab35
Stag1,stag1
Trappc13,trappc13
Wnt3,wnt3
Psmd12,psmd12
Exoc5,fbxw9
Phb2,phb2
Pcna,pcna
Gna13,gna13
Fem1c,fem1c
Syt1,syt1
Rpl7a,rpl7a
Gdi2,gdi2
Tial1,tial1
Tspan7,tspan7
Scfd1,scfd1
Ctbp1,ctbp1
Parp8,parp8
Chst11,hesx1
Arl3,arl3
Rab31,rab31
Zbtb14,zbtb14
Eif3d,eif3d
Ei24,ei24
Myh6,myh6
Copg2,copg2
Rpl21,rpl21
Ugp2,ugp2
Sox14,sox14
Gng4,gng4
Gabra1,gabra1
Cct7,cct7
Snrnp40,snrnp40
Ptprd,ptprd
Gnpda1,gnpda1
Jakmip2,jakmip2
Six2,six2
Atp1a1,atp1a1
Abhd17c,abhd17c
Rpl11,rpl11
Snx27,snx27
Dscam,dscam
Ints11,ints11
Cachd1,cachd1
Ugdh,ugdh
Mirlet7f-2,xtr-let-7f
Dclk1,dclk1
Epha4,epha4
Hectd1,hectd1
Itpr1,itpr1
Lmo1,lmo1
Ube2e3,ube2e3
Tnks,tnks
Rpl13,rpl13
Celf1,lrrc61
Eif3m,eif3m
Gria4,gria4
Nfib,nfib
Brinp3,brinp3
Adcy8,adcy8
Arrdc3,arrdc3
Vps26b,vps26b
Tfcp2,tfcp2
Nrxn1,nrxn1
Mir135a-2,xtr-mir-135-1
Arl4a,arl4a
Rab27b,rab27b
Naa15,naa15
Abi1,abi1
Trio,trio
Copa,copa
Mapre2,mapre2
Cpsf3,cpsf3
Rrm1,rrm1
Ap1b1,ap1b1
Vps53,vps53
Fut8,fut8
Rab22a,rab22a
Mapk8,mapk8
Kcnh1,kcnh1
Mta2,mta2
Rdh10,rdh10
Glra2,glra2
Rasa3,rasa3
Kctd10,kctd10
Mir455,xtr-mir-455
Gnb3,gnb3
Ddx41,ddx41
Galnt17,galnt17
Pcmtd1,PCMTD1
Samm50,taf13
Esrrg,esrrg
Pax5,pax5
mt-Co1,COX1
Vwc2l,vwc2l
Scamp1,scamp1
Ddx1,ddx1
Brms1l,brms1l
Atp2b1,atp2b1
Eno1,eno1
Clcn3,clcn3
Mfap1b,mfap1
Ahcyl2,ahcyl2
Ythdf3,ythdf3
Ddx46,ddx46
Tmem50b,tmem50b
Rbms3,rbms3
Cacnb4,cacnb4
Srsf7,srsf7
Copg1,copg1
Tnnc2,tnnc2
Aco2,aco2
Cnot6l,cnot6l
Epha7,epha7
Rpl35a,rpl35a
Lrrc4c,lrrc4c
Tnfaip1,tnfaip1
Fam199x,fam199x
Gabrb2,gabrb2
Mir214,xtr-mir-214
Smad3,smad3
Mapk14,mapk14
Trappc3,trappc3
Galnt1,galnt1
Prrx1,prrx1
Cct4,cct4
Taok3,taok3
Eml6,eml6
Ints14,ints14
Grid2,grid2
Elavl4,ppp1r26
Fzd2,fzd2
Get4,get4
Rsl24d1,rsl24d1
Mfsd14a,mfsd14a
Mcc,mcc
Usp3,usp3
Sox2,sox2
Kif5c,kif5c
Gad1,gad1.1
Extl3,extl3
Gid8,gid8
Metap1,metap1
Mios,mios
Supt16,supt16h
Nampt,nampt
Lmx1b,lmx1b.1
Plcxd3,plcxd3
Map3k7,map3k7
Cdc23,cdc23
Usp15,usp15
Memo1,memo1
Capza1,capza1
Csnk2a1,csnk2a1
Kifap3,kifap3
Dock4,dock4
Fxr1,fxr1
Prox1,prox1
Bub3,bub3
Grk3,grk3
Arl2,arl2
Pik3c3,pik3c3
Nap1l1,nap1l1
Tcp1,tcp1
Sufu,sufu
Eml5,eml5
Zfp521,znf521
Adgrl2,adgrl2
Gmps,gmps
Ap1s1,ap1s1
Kpna1,kpna1
Cwc15,cwc15
Ddx47,ddx47
Abcf2,abcf2
Map4k3,map4k3
Aldoa,aldoa
Cmip,cmip
Itpr2,itpr2
Stip1,stip1
Abce1,abce1
Rgs6,rgs6
Srgap3,srgap3
Arfgef1,arfgef1
Rabgap1,rabgap1
Idh1,idh1
Adss1,adss1
Akt2,akt2
Rab27a,rab27a
Ube3a,ube3a
Slco3a1,slco3a1
Atp6v0a1,atp6v0a1
Syncrip,syncrip
Rpl5,rpl5
Gphn,mtss1.1
Cs,cs
Tars1,tars1
Rasl10b,rasl10b
Tspan17,tspan17
Mycbp2,mycbp2
Washc5,washc5
Map4k4,map4k4
Mapkapk5,mapkapk5
Prdm12,prdm12
Mtor,mtor
Psma5,psma5
Creb5,creb5
Bcl11a,bcl11a
Cop1,cop1
Ipo5,ipo5
Ankrd28,ankrd28
Six3,six3
Rab9,rab9a
Ogdh,ogdh
Mpped1,mpped1
Tenm4,tenm4
Adgrb3,adgrb3
Gria1,gria1
Ube2h,ube2h
Bmpr1b,bmpr1b
Tmem230,tmem230
Prkg1,prkg1
Pitpna,pitpna
Tmem33,tmem33
Chmp4b,chmp4b
Dnajc13,dnajc13
Ap3m2,ap3m2
Ccdc25,ccdc25
Ubr4,ubr4
Pgam1,pgam1
Becn1,becn1
Tada3,tada3
Csnk2a2,csnk2a2
Mir126a,xtr-mir-126
Upf2,upf2
Dync1i2,dync1i2
Ctps1,ctps1
Tafa1,tafa1
Hectd4,hectd4
Ankfy1,ankfy1
Stk26,stk26
Mmd,mmd
Pcdh7,pcdh7
Ormdl2,ormdl2
Wdr37,wdr37
Zfand5,zfand5
Tardbp,tardbp
Acvr2a,acvr2a
Cdc27,cdc27
Fam110b,fam110b
Inpp4a,inpp4a
Abcg1,abcg1
Smad9,smad9
Snw1,snw1
Mafk,mafk
Rbm25,rbm25
Homer1,homer1
Tcf7l2,tcf7l2
Dipk2a,dipk2a
Siah2,siah2
Slit2,slit2
Fcf1,fcf1
Cfl2,cfl2
Slc25a44,slc25a44
Pias1,pias1
Abhd13,abhd13
Eya4,eya4
Yy1,yy1
Frmd4a,frmd4a
Dcun1d5,dcun1d5
Vat1l,vat1l
Pik3r3,pik3r3
Car10,ca10
Sf3a1,sf3a1
Pcid2,pcid2
Abi2,abi2
Dennd5a,dennd5a
Dusp6,dusp6
Ksr2,ksr2
Ywhab,ywhab
Vps50,vps50
Dyrk2,dyrk2
Tnpo3,tnpo3
Zmiz1,zmiz1
Diras1,diras1
Foxb1,foxb1
Snn,snn
Strip1,strip1
Golga7b,golga7b
Gps1,gps1
Dnajc11,dnajc11
Galnt13,galnt13
Stat5b,stat5b
Kctd16,kctd16
Cry1,cry1
Lcp1,lcp1
Sbno1,sbno1
Castor2,castor2
Cert1,cert1
Tnni3k,tnni3k
Tnks2,tnks2
Adipor1,adipor1
Nck1,nck1
Gmds,gmds
Pi4kb,pi4kb
Slc8a3,slc8a3
Zfp423,znf423
Arglu1,arglu1
Btbd3,btbd3
Mark1,mark1
Rnf152,rnf152
Kif5a,kif5a
Spg21,spg21
Washc4,washc4
Slc25a13,slc25a13
Atp8a1,atp8a1
Cacna2d3,cacna2d3
Mir203,xtr-mir-203
Rims4,rims4
Ide,ide
Pals1,pals1
Spcs3,spcs3
Ipo9,ipo9
Wdfy3,wdfy3
Mat1a,mat1a
Nlgn1,nlgn1
Ube2q2,ube2q2
Atp6v1b1,atp6v1b1
Snf8,snf8
Galntl6,galntl6
Smarce1,smarce1
Tcf21,tcf21
Herc2,herc2
Sdhb,sdhb
Rbm17,rbm17
Lhx2,lhx2
Fgf16,fgf16
Rnf41,rnf41
Myo6,myo6
Polr3f,polr3f
Usp24,usp24
Ctr9,ctr9
Pou4f3,pou4f3
Celf3,celf3
Rbm39,rbm39
Nr2c2,nr2c2
Col2a1,col2a1
Stx1b,stx1b
Rara,rara
Eif4g2,eif4g2
Dip2b,dip2b
Psmd13,psmd13
Tnik,tnik
Glra1,glra1
Ptk2,ptk2
Csrp2,csrp2
Uba3,uba3
Slc1a3,slc1a3
Stum,stum
Fmnl2,fmnl2
Syt17,syt17
Idh2,idh2
Ntn1,NTN1
Slc39a9,slc39a9
Hoxb8,hoxb8
Sbds,sbds
Grm3,grm3
Rps13,rps13
Unc5c,unc5c
Hspa2,hspa2
Klhl32,klhl32
Mon2,ptpn3
Pygb,pygm
Fry,fry
Grik4,grik4
Rab40b,rab40b
Rprd1b,rprd1b
Trim23,trim23
Fbxl20,fbxl20
Stk24,stk24
Atp6v1f,atp6v1f
Lmo3,lmo3
Efr3a,efr3a
Mmp16,mmp16
Olfm1,olfm1
Kcnma1,kcnma1
Hikeshi,hikeshi
Dnajc8,dnajc8
Bmal1,arntl
Gabrg3,gabrg3
Appbp2,appbp2
Supt6,supt6h
Kcnj8,kcnj8
Leprot,leprot
Lims1,lims1
Exoc1,exoc1
Src,src
Zbtb44,zbtb44
Mtrex,mtrex
Atp2c1,atp2c1
Trpc3,trpc3
Cdk1,cdk1
Ptdss1,ptdss1
Gjd2,gjd2
Sncb,sncb
Hoxc6,hoxc6
Ppp2r3c,ppp2r3c
Ttc7b,ttc7b
Plekhf2,plekhf2
Osr1,osr1
Klhl5,klhl5
Sema3a,sema3a
Septin11,fcn1
Lhx5,lhx5
Tgfb2,tgfb2
Pcsk2,pcsk2
Ppme1,ppme1
Cabp7,cabp7
Kcnt2,kcnt2
Chmp3,chmp3
Flnc,flnc
Pals2,pals2
Cdc5l,cdc5l
Mir204,xtr-mir-204-2
Eif2s2,eif2s2
Ap3s2,ap3s2
Wdfy2,wdfy2
Tent5a,tent5a
Tmem50a,tmem50a
Ctnnd2,ctnnd2
Cops7b,cops7b
Hsp90b1,hsp90b1
Dtna,dtna
Lrp6,lrp6
Csnk1a1,csnk1a1
Eif5,eif5
Smarca2,smarca2
Rfc5,rfc5
Dars1,dars1
Hmgb1,hmgb1
Gpr52,gpr52
Slc25a30,slc25a30
Ptprm,ptprm
Clcn6,clcn6
Dvl3,dvl3
Gabrg2,gabrg2
Selenot,selenot
Csnk1g1,csnk1g1
Ruvbl1,ruvbl1
Gria3,gria3
Clpx,clpx
Actr10,actr10
Wdr83os,wdr83os
Atp6v1e1,atp6v1e1
Mapk6,mapk6
Pa2g4,pa2g4
Dapk1,dapk1
Herc1,herc1
Parva,parva
Kdm6a,kdm6a
Rfx4,rfx4
Ptchd1,ptchd1
Mcm2,mcm2
Thrb,thrb
Bcas3,bcas3
Fzd7,fzd7
Itsn1,itsn1
Tcf4,tcf4
Mir29b-2,xtr-mir-29b
Myl1,myl1
Cds2,cds2
Snrpb2,snrpb2
Kif3b,kif3b
Abcd3,abcd3
Pou4f2,pou4f2
Trappc2l,trappc2l
Erc1,erc1
Csmd3,csmd3
Pip4p2,c8orf88
Satb1,satb1
Lmo4,lmo4.1
Mdh1,mdh1
Caln1,caln1
Vps4b,vps4b
Polr3h,polr3h
Copz1,copz1
Naa10,naa10
Plxna4,plxna4
Tusc3,tusc3
Tubgcp3,tubgcp3
Ptbp1,ptbp1
Cops6,cops6
Top3b,egfl7
Arnt2,arnt2
Pygm,pygb
Ppp2r5c,ppp2r5c
Cpsf6,cpsf6
Myh9,myh9
Lrrc4,LRRC4
Tia1,tia1
App,app
Ap2a2,ap2a2
Snrnp27,snrnp27
Myo7a,myo7a
Nxph1,nxph1
Idh3a,cbln2
Cnnm2,cnnm2
Arl6,arl6
Gspt1,gspt1
Epc2,epc2
Cct8,cct8
Btf3,btf3
Chmp2b,chmp2b
Uck2,uck2
Med17,med17
Pik3r4,pik3r4
Mfn2,mfn2
Dgkb,dgkb
Plcb1,plcb1
Mbtd1,mbtd1
Fryl,fryl
Mapre3,mapre3
Slc12a5,slc12a5
Rnd1,rnd1
Tbr1,tbr1
Sim1,sim1
Trim9,trim9
Poldip2,poldip2
Barhl1,barhl1
Tshz3,tshz3
Ergic3,ergic3
Psmd3,psmd3
Grik3,grik3
Ing1,ing1
Gng7,gng7
Macroh2a1,macroh2a1
Septin6,septin6
Neto1,neto1
Hace1,hace1
Rnf7,rnf7
Rnf185,rnf185
Capzb,capzb
Trim62,trim62
Chd4,chd4
Btbd10,btbd10
Kctd6,kctd6
Pde4b,pde4b
Trappc2,trappc2
Thoc7,thoc7
Slc4a8,slc4a8
Phaf1,phaf1
Med6,med6
Dock9,dock9
Rap1gds1,rap1gds1
Gpr12,gpr185a
Sgsm3,sgsm3
Gapdh,gapdh
Zmynd11,zmynd11
Raf1,raf1
Pabpc4,pabpc4
Ppp2r2b,ppp2r2b
Ahcy,ahcy
Tbx15,tbx15
Tafa2,tafa2
Tmem184b,tmem184b
Cbfb,cbfb
Phox2b,phox2b
Klhl2,klhl2
Cdc40,cdc40
Fign,fign
Lyn,lyn
Ext2,ext2
Birc6,birc6
Acer2,acer2
Kctd9,kctd9
Hal,hal.2
Cab39l,cab39l
Ykt6,ykt6
Rimklb,rimklb
Wdr7,wdr7
Tra2a,tra2a
Rapgef4,rapgef4
Brinp1,brinp1
Smarca1,smarca1
Ankrd13c,ankrd13c
Neto2,neto2
Ube2a,ube2a
Dock1,dock1
Zcchc24,zcchc24
Ccz1,ccz1b
Dlx1,dlx1
Slc4a10,slc4a10
Dnajc27,DNAJC27
Unc79,unc79
Zdhhc7,zdhhc7
Gabrr1,gabrr1
Hypk,hypk
Myt1l,myt1l
Mir137,xtr-mir-137-1
Cnot11,cnot11
Myh11,myh11
Arcn1,arcn1
Nkx2-2,nkx2-2
Gk,gk
Meox2,meox2
Meis2,meis2
Lin7a,lin7a
Cyp26b1,cyp26b1
Ror1,ror1
Daam1,daam1
Mgat4b,mgat4b
Prkaca,prkaca
Thra,thra
Dscaml1,dscaml1
Uchl5,naaa
Pkn2,pkn2
Rragd,rragd
Isoc1,isoc1
Ywhaz,ywhaz
Mcm4,mcm4
Suds3,suds3
Tmem167,tmem167a
Gpat4,gpat4
Gtf2a2,gtf2a2
Mbnl2,mbnl2
Tmem63b,tmem63b
Cdh8,cdh8
Ppm1a,ppm1a
Gsk3b,gsk3b
Pdk3,pdk3
Grik1,grik1
Cacnb3,cacnb3
Fig4,fig4
Edil3,edil3
Jmjd6,jmjd6
Ehd4,ehd4
Dctn4,dctn4
Cdh18,cdh18
Slc23a2,rassf2
Bmi1,bmi1
Rab9b,rab9b
Epha3,epha3
Pds5a,pds5a
Pank3,pank3
Ryr3,ryr3
Lhfpl6,lhfpl6
Xpr1,xpr1
Kbtbd2,kbtbd2
Pds5b,pds5b
B3galt2,b3galt2
Rps6ka1,rps6ka1
Ufm1,ufm1
Rpl31,rpl31
Grid1,grid1
Txnl1,txnl1
Usp39,usp39
Pou2f1,pou2f1
Capza2,capza2
Tanc2,tanc2
Grm8,grm8
Trappc11,trappc11
Tbx4,tbx4
Dnal4,dnal4
Ttc39c,ttc39c
Plcb4,plcb4
Ppfia1,ppfia1
Slc6a7,slc6a7
Sar1b,sar1b
Git2,git2
Qki,qki
Vps33a,vps33a
Nars1,nars1
Kcnd2,kcnd2
Prelid3b,prelid3b
Ark2c,rnf165
Tfap2a,tfap2a
Rhbdl1,rhbdl1
Bltp1,kiaa1109
Chn2,chn2
Tbp,tbp
Elavl3,elavl3
Usp14,usp14
Otp,otp
Myo5a,myo5a
Dlg1,dlg1
Reln,reln
Emc4,emc4
Robo1,robo1
Trpc1,trpc1
Nelfa,nelfa
Cdk19,cdk19
Rprd1a,rprd1a
Anapc16,anapc16
Stmn4,stmn4
U2surp,u2surp
Eif3g,eif3g
Kcnj6,kcnj6
Gclc,gclc
Rnf145,rnf145
Eya1,eya1
Cul4a,cul4a
Camk2g,camk2g
Rasgrf2,rasgrf2
Hnrnpk,hnrnpk
Dennd5b,dennd5b
Gata2,gata2
Jakmip3,jakmip3
Sox21,sox21
Atp5mc3,atp5mc3
Zeb2,zeb2
Slc25a1,slc25a1
Hlf,tfap2c
Tmem161b,tmem161b
Exoc4,exoc4
Tbc1d9,tbc1d9
Rpl3l,rpl3l
Lhx9,lhx9
