rhesus_macaque gene name,commonmarmoset gene name
SMC1A,SMC1A
VPS26A,VPS26A
RBM18,RBM18
UBE2R2,UBE2R2
GABARAPL2,GABARAPL2
MIR346,MIR346
RAP1B,RAP1B
DDA1,DDA1
NRGN,NRGN
SMAD5,SMAD5
DYNLL1,DYNLL1
HINT1,HINT1
CNIH1,CNIH1
ENY2,ENY2
PRKCB,PRKCB
RPL34,RPL34
RHOG,RHOG
FAM241B,C10orf35
SNORD121B,SNORD121B
EMC3,EMC3
ELAVL3,ELAVL3
ACTR2,ACTR2
FAM76B,FAM76B
RPS16,RPS16
ZDHHC17,ZDHHC17
RAB39B,RAB39B
DPY30,DPY30
mml-let-7f-2,MIRLET7F2
MTPN,MTPN
TPPP3,TPPP3
RAP2A,RAP2A
RPS11,RPS11
ANAPC16,ANAPC16
mml-mir-301a,MIR301A
GFOD1,GFOD1
NAP1L1,NAP1L1
ZNF664,ZNF664
ZNF706,ZNF706
NFYB,NFYB
SAP18,SAP18
ZBTB14,ZBTB14
UNC119B,UNC119B
EBF1,EBF1
COPS5,COPS5
RBM25,RBM25
PCBP1,PCBP1
YEATS4,YEATS4
MAP1LC3B,MAP1LC3B
ATF2,ATF2
GPM6B,GPM6B
HSPB2,HSPB2
GRB2,GRB2
ZCRB1,ZCRB1
C14H11orf96,C11orf96
SMCO4,C11orf75
TMEM250,C9orf69
mml-mir-26a-2,cja-mir-26a-2
BRK1,BRK1
HSBP1,HSBP1
HNRNPH2,HNRNPH2
RPS15,RPS15
FAM168A,FAM168A
SUMO1,SUMO1
MAB21L1,MAB21L1
ACTG2,ACTG2
TRAPPC1,TRAPPC1
IPO7,IPO7
GTF2H5,GTF2H5
LHX5,LHX5
UBL5,UBL5
PIN1,PIN1
DCUN1D5,DCUN1D5
INIP,INIP
CDK17,CDK17
HRAS,HRAS
FGF14,FGF14
TMEM203,TMEM203
PSMC5,PSMC5
TXNL4A,TXNL4A
ZFAND5,ZFAND5
SRSF2,SRSF2
RPS28,RPS28
CAB39,CAB39
NXPH2,NXPH2
YIPF4,YIPF4
mml-mir-1296,MIR1296
NOG,NOG
PSMA2,PSMA2
NEUROD1,NEUROD1
RAB14,RAB14
MIR3666,MIR3666
MIR3610,MIR3610
SF3B3,SF3B3
TIMM8A,TIMM8A
STXBP1,STXBP1
CNOT2,CNOT2
SNORD98,SNORD98
DESI1,DESI1
TRAPPC2,TRAPPC2
RBX1,RBX1
PPP1R14B,PPP1R14B
PPP4C,PPP4C
TBR1,TBR1
MAFG,MAFG
RNPS1,RNPS1
RPL36,RPL36
KPNA3,KPNA3
LIN52,LIN52
RNF41,RNF41
ELAVL1,ELAVL1
UPF1,UPF1
DRG1,DRG1
CYFIP2,CYFIP2
CSRP2,CSRP2
TLK1,TLK1
PSMD14,PSMD14
PHF5A,PHF5A
CTXN1,CTXN1
EMC6,EMC6
CWC15,CWC15
ACTG1,ACTG1
OGT,OGT
KHSRP,KHSRP
TUBB4A,TUBB4A
RRAGC,RRAGC
ARL8B,ARL8B
OST4,OST4
ING4,ING4
LSM2,LSM2
STXBP6,STXBP6
NOVA1,NOVA1
NKAIN2,NKAIN2
LSM8,LSM8
mml-mir-15b,cja-mir-15b
GNB1,GNB1
ACTA1,ACTA1
SVBP,SVBP
PIP4P1,PIP4P1
MAB21L2,MAB21L2
DAD1,DAD1
ARL5B,ARL5B
H2BC5,H2BC5
CAMK2N2,CAMK2N2
GSK3B,GSK3B
U7,U7
mml-mir-125b-2,MIR125B2
TIMM10,TIMM10
ATP6V1E1,ATP6V1E1
U4,U4
RRAS2,RRAS2
BLCAP,BLCAP
RPL8,RPL8
CYRIB,CYRIB
TRA2A,TRA2A
NEUROD6,NEUROD6
BZW2,BZW2
HES1,HES1
RAP1A,RAP1A
RAC3,RAC3
CNIH2,CNIH2
POLR2I,POLR2I
PPIL1,PPIL1
WASF1,WASF1
PBX3,PBX3
RNF24,RNF24
TMEM98,TMEM98
LAMTOR3,LAMTOR3
PPM1L,PPM1L
MARCHF5,MARCH5
PSMC1,PSMC1
mml-mir-876,cja-mir-876
ISCU,ISCU
DHX15,DHX15
TBPL1,TBPL1
ZNHIT1,ZNHIT1
RPSA,RPSA
EIF1B,EIF1B
mml-mir-488,cja-mir-488
EPHA7,EPHA7
DCTN5,DCTN5
BCAS2,BCAS2
PFDN6,PFDN6
RPL10A,RPL10A
KCNIP4,KCNIP4
MIR191,MIR191
ARF4,ARF4
ANAPC10,ANAPC10
mml-mir-128b,cja-mir-128-2
INTS3,INTS3
POLR2A,POLR2A
STT3B,STT3B
SNRNP200,SNRNP200
SUPT16H,SUPT16H
CELF1,CELF1
MIB1,MIB1
MECP2,MECP2
ACTN4,ACTN4
COPB2,COPB2
TNPO2,TNPO2
SUPT6H,SUPT6H
BCL11A,BCL11A
LRRC8A,LRRC8A
CUL3,CUL3
CLCN4,CLCN4
IL1RAPL1,IL1RAPL1
SESTD1,SESTD1
PRKG1,PRKG1
STRBP,STRBP
RBM14,RBM14
MACO1,MACO1
HECTD1,HECTD1
KCNC2,KCNC2
FEM1B,FEM1B
FOXJ3,FOXJ3
FEM1C,FEM1C
KHDC4,KIAA0907
KAT7,KAT7
CPNE5,CPNE5
KLHL20,KLHL20
MMP16,MMP16
PPFIA3,PPFIA3
MTF2,MTF2
SIX2,SIX2
APPBP2,APPBP2
KCNC1,KCNC1
MSL2,MSL2
DPYSL5,DPYSL5
IK,IK
CPNE9,CPNE9
PRKAA2,PRKAA2
RIMS4,RIMS4
CDC73,CDC73
IKZF2,IKZF2
MAPKAP1,MAPKAP1
CTNNB1,CTNNB1
MEX3A,MEX3A
GABRB2,GABRB2
ARCN1,ARCN1
BACE1,BACE1
KCNV1,KCNV1
ANGPTL2,ANGPTL2
HOXB8,HOXB8
DDX6,DDX6
MEIS2,MEIS2
COPB1,COPB1
PELI3,PELI3
CHN1,CHN1
ZBTB12,ZBTB12
TUBB3,TUBB3
TUBA1C,TUBA1C
TBX20,TBX20
USP27X,USP27X
TEAD3,TEAD3
KCNJ2,KCNJ2
ABHD2,ABHD2
SF3B4,SF3B4
STAG2,STAG2
ZNF362,ZNF362
RBM22,RBM22
IKZF5,IKZF5
PPFIA2,PPFIA2
WNT10A,WNT10A
ATP2B2,ATP2B2
LEF1,LEF1
SGMS1,SGMS1
PCDH9,PCDH9
DNAJA2,DNAJA2
EIF4A3,EIF4A3
MAP2K4,MAP2K4
FAXC,FAXC
MAU2,MAU2
TLE1,TLE1
ELAVL4,ELAVL4
LHX9,LHX9
CDH6,CDH6
NCBP1,NCBP1
CSNK2A1,CSNK2A1
QRICH1,QRICH1
PELO,PELO
TOP1,TOP1
UBTF,UBTF
BRINP1,BRINP1
ST8SIA3,ST8SIA3
NT5C2,NT5C2
PEX14,PEX14
NUP54,NUP54
TMEFF2,TMEFF2
ERC1,ERC1
PAPOLA,PAPOLA
GPR85,GPR85
PDE4B,PDE4B
MID2,MID2
CNOT1,CNOT1
EIF3D,EIF3D
PHF6,PHF6
FNBP1L,FNBP1L
ZNF513,ZNF513
ATAD1,ATAD1
ANKRD28,ANKRD28
MAPK14,MAPK14
TMEM198,TMEM198
CCNYL1,CCNYL1
ANKRD52,ANKRD52
RXRB,RXRB
PIK3CA,PIK3CA
GNAI2,GNAI2
VASH2,VASH2
RBM39,RBM39
GPR139,GPR139
CHST11,CHST11
GNAT1,GNAT1
CSNK2A2,CSNK2A2
WNT7A,WNT7A
CDK7,CDK7
HS3ST5,HS3ST5
CEBPB,CEBPB
WDR45B,WDR45B
KAT5,KAT5
CPSF3,CPSF3
CREB1,CREB1
RFC5,RFC5
HOXD10,HOXD10
FHL1,FHL1
DNAJB4,DNAJB4
RNF2,RNF2
PABPN1,PABPN1
GRIN2B,GRIN2B
MAZ,MAZ
CLVS2,CLVS2
PLPPR1,LPPR1
OTP,OTP
ZNF143,ZNF143
PABPC1,PABPC1
ASB7,ASB7
TNMD,TNMD
GRIK1,GRIK1
EIF2S1,EIF2S1
RPRD1A,RPRD1A
ABCF2,ABCF2
SUPT5H,SUPT5H
EYA1,EYA1
SMAD1,SMAD1
CDK8,CDK8
CHERP,CHERP
DDX5,DDX5
SLC8A2,SLC8A2
CDK5R1,CDK5R1
SMARCA4,SMARCA4
DCUN1D3,DCUN1D3
PPTC7,PPTC7
GRM4,GRM4
CRK,CRK
MTCH2,MTCH2
PSMD2,PSMD2
PITX3,PITX3
CAPZB,CAPZB
UBQLN4,UBQLN4
NR4A2,NR4A2
BCL11B,BCL11B
ISOC1,ISOC1
RC3H2,RC3H2
PTPRK,PTPRK
TMEM178A,TMEM178A
TFAP2A,TFAP2A
TAF5L,TAF5L
MPPED2,MPPED2
TMEM178B,TMEM178B
SGF29,SGF29
IKZF4,IKZF4
SEPTIN7,SEPTIN7
PAK3,PAK3
STX1A,STX1A
KCNK12,KCNK12
TRIM23,TRIM23
DLX3,DLX3
MYH10,MYH10
SYNPR,SYNPR
XAB2,XAB2
RTF1,RTF1
TPM4,TPM4
RNF220,RNF220
NLGN3,NLGN3
ARMC1,ARMC1
ASIC2,ASIC2
RAB40C,RAB40C
SLC17A7,SLC17A7
HOXC12,HOXC12
ARIH1,ARIH1
JAKMIP1,JAKMIP1
TRIM8,TRIM8
USP47,USP47
GTF2H1,GTF2H1
GCLM,GCLM
DDX23,DDX23
LGI2,LGI2
HSF2,HSF2
UBR5,UBR5
OVOL1,OVOL1
BMPR1A,BMPR1A
ZBTB18,ZBTB18
FBXO38,FBXO38
MARK2,MARK2
PPP3CB,PPP3CB
NAB2,NAB2
SP4,SP4
PCNA,PCNA
VANGL2,VANGL2
PRPF4,PRPF4
ALDH1A2,ALDH1A2
SNF8,SNF8
C1QL1,C1QL1
INO80D,INO80D
POU2F1,POU2F1
C1QL3,C1QL3
DLX1,DLX1
MTOR,MTOR
HNRNPR,HNRNPR
CREB5,CREB5
CLIC4,CLIC4
FGFR1OP2,FGFR1OP2
PRRX2,PRRX2
KLHL42,KLHDC5
SMURF1,SMURF1
HOXB9,HOXB9
PLEKHF2,PLEKHF2
GTF2F2,GTF2F2
EXT1,EXT1
PLAGL2,PLAGL2
KIF2A,KIF2A
PRRX1,PRRX1
MKLN1,MKLN1
TMEM39A,TMEM39A
BICD1,BICD1
ERG,ERG
CTCF,CTCF
PRDM12,PRDM12
PAX3,PAX3
PGD,PGD
G3BP2,G3BP2
ZCCHC24,ZCCHC24
C9orf72,C9orf72
ABCC5,ABCC5
U2AF2,U2AF2
MCRS1,MCRS1
OTX1,OTX1
KLHL11,KLHL11
PKNOX2,PKNOX2
SMAD9,SMAD9
SOX10,SOX10
ZBTB43,ZBTB43
ATP8A1,ATP8A1
TMEM168,TMEM168
CHRM1,CHRM1
EXOC1,EXOC1
GPAT4,GPAT4
RPE,RPE
RND2,RND2
TP63,TP63
POLR3B,POLR3B
TFAP2D,TFAP2D
PLCL2,PLCL2
RARB,RARB
HOXB6,HOXB6
STX18,STX18
PDS5A,PDS5A
CHMP2A,CHMP2A
GSTA4,GSTA4
PTCHD1,PTCHD1
IP6K1,IP6K1
PABPC4,PABPC4
NFYC,NFYC
MAP3K3,MAP3K3
CHMP5,CHMP5
LHFPL5,LHFPL5
RSRC2,RSRC2
SRGAP1,SRGAP1
ENO2,ENO2
AAMP,AAMP
PUM1,PUM1
FLRT3,FLRT3
PPIB,PPIB
NPTX1,NPTX1
DYNC1I1,DYNC1I1
CABP7,CABP7
PBX2,PBX2
PTBP2,PTBP2
DIPK1A,DIPK1A
FBXL3,FBXL3
WBP11,WBP11
PSKH1,PSKH1
SUZ12,SUZ12
PITHD1,PITHD1
TIMP3,TIMP3
KCND2,KCND2
ERH,ERH
PELI1,PELI1
SAMD8,SAMD8
HNRNPU,HNRNPU
ST8SIA5,ST8SIA5
SPATA24,SPATA24
DHX38,DHX38
FAM20B,FAM20B
ASF1A,ASF1A
RASL10B,RASL10B
RAB24,RAB24
LHX2,LHX2
BMT2,BMT2
CCDC85B,CCDC85B
JOSD1,JOSD1
DSCAM,DSCAM
RAB9A,RAB9A
ARL4D,ARL4D
LRRC8C,LRRC8C
RBM17,RBM17
CDC5L,CDC5L
GJC1,GJC1
GAD1,GAD1
DUSP14,DUSP14
KIFAP3,KIFAP3
FCF1,FCF1
MARCKSL1,MARCKSL1
USP15,USP15
PRPF8,PRPF8
SLC17A6,SLC17A6
DESI2,DESI2
SELENOT,SELENOT
FGF7,FGF7
MYH1,MYH3
METTL3,METTL3
CCNK,CCNK
SRSF11,SRSF11
TIA1,TIA1
TENM3,TENM3
PRPSAP1,PRPSAP1
RSPRY1,RSPRY1
TMEM11,TMEM11
FUT8,FUT8
NKIRAS2,NKIRAS2
LZIC,LZIC
SLC1A6,SLC1A6
TRAPPC5,TRAPPC5
GTF2A1,GTF2A1
ADIPOR1,ADIPOR1
TNNI1,TNNI1
DET1,DET1
CBFB,CBFB
MACROH2A2,MACROH2A2
ATL1,ATL1
SV2A,SV2A
TCP1,TCP1
NEURL1B,NEURL1B
WNT1,WNT1
LPAR4,LPAR4
RCOR3,RCOR3
NPEPPS,NPEPPS
SAP30L,SAP30L
ZRANB1,ZRANB1
ELMO2,ELMO2
HNRNPM,HNRNPM
CPEB4,CPEB4
mml-mir-449a,cja-mir-449a
SLC25A28,SLC25A28
LPAR1,LPAR1
SIN3A,SIN3A
CCT3,CCT3
NRBP1,NRBP1
EHD2,EHD2
MORF4L1,MORF4L1
TEAD2,TEAD2
POU3F4,POU3F4
GNA11,GNA11
MANF,MANF
GNAZ,GNAZ
INTS6,INTS6
BMPR1B,BMPR1B
PAQR8,PAQR8
GNAI3,GNAI3
OXSR1,OXSR1
WNT4,WNT4
PTPRD,PTPRD
MITF,MITF
MYO1B,MYO1B
CRYAB,CRYAB
TRIM24,TRIM24
KDM1A,KDM1A
SRSF10,SRSF10
MEF2D,MEF2D
HMG20A,HMG20A
ARK2C,ARK2C
PTP4A1,PTP4A1
TBX5,TBX5
KLF3,KLF3
LRRTM2,LRRTM2
PATZ1,PATZ1
SLC41A1,SLC41A1
ETV5,ETV5
SHB,SHB
ATP6V0A1,ATP6V0A1
PPP1CC,PPP1CC
NBEA,NBEA
PPARG,PPARG
ERI3,ERI3
DAZAP2,DAZAP2
NLGN2,NLGN2
MYCBP2,MYCBP2
TMEM229B,TMEM229B
TMEM35A,TMEM35
MOSMO,MOSMO
CGGBP1,CGGBP1
SOX5,SOX5
SGK3,SGK3
DSTN,DSTN
RCE1,RCE1
TMEM33,TMEM33
GPBP1,GPBP1
GALNT7,GALNT7
GABRA3,GABRA3
FBXL7,FBXL7
HSPA5,HSPA5
BARHL1,BARHL1
TRIM32,TRIM32
DEDD2,DEDD2
SF3B2,SF3B2
PNISR,PNISR
UBASH3B,UBASH3B
MAX,MAX
ASTN1,ASTN1
GTF3C3,GTF3C3
HCN1,HCN1
XPO6,XPO6
NR6A1,NR6A1
GATA2,GATA2
PSMD1,PSMD1
FBXO8,FBXO8
OLFM3,OLFM3
FBXO41,FBXO41
KCNS2,KCNS2
TMEM121,TMEM121
SF3A1,SF3A1
CAP1,CAP1
LRRC73,LRRC73
CDH10,CDH10
ABTB3,ABTB3
SCAI,SCAI
PHOX2B,PHOX2B
COL2A1,COL2A1
EEF2,EEF2
SLC4A8,SLC4A8
ATG16L1,ATG16L1
TOX4,TOX4
UNC5C,UNC5C
ONECUT1,ONECUT1
DLG1,DLG1
UBA3,UBA3
TOMM40L,TOMM40L
C20H16orf87,C16orf87
LRRC59,LRRC59
MSL1,MSL1
SCN8A,SCN8A
HECTD4,HECTD4
METTL14,METTL14
HS3ST4,HS3ST4
ERCC2,ERCC2
MEOX2,MEOX2
NAPB,NAPB
GNE,GNE
MARK4,MARK4
DYRK2,DYRK2
GALNTL6,GALNTL6
PHB2,PHB2
OSBPL9,OSBPL9
DHX16,DHX16
GOLPH3,GOLPH3
WDR7,WDR7
NF2,NF2
TUBB6,TUBB6
TBX3,TBX3
INTS4,INTS4
CNN1,CNN1
TANC2,TANC2
PRKD3,PRKD3
DDX1,DDX1
TADA2A,TADA2A
CLTC,CLTC
SNORA12,SNORA12
MCM5,MCM5
DDX17,DDX17
DLX6,DLX6
TRRAP,TRRAP
EEF1G,EEF1G
SP8,SP8
TMCC1,TMCC1
CMAS,CMAS
ANKRD17,ANKRD17
MED23,MED23
RICTOR,RICTOR
GPR22,GPR22
ONECUT2,ONECUT2
MIX23,MIX23
TRNAU1AP,TRNAU1AP
NRXN2,NRXN2
GALNT2,GALNT2
VPS45,VPS45
NCKAP1,NCKAP1
SIX1,SIX1
POLR2D,POLR2D
FBXW7,FBXW7
KCNJ8,KCNJ8
VAMP4,VAMP4
GRIP1,GRIP1
POMP,POMP
TTC7B,TTC7B
POU4F1,POU4F1
USP25,USP25
LBX1,LBX1
CCDC126,CCDC126
DLGAP3,DLGAP3
SLITRK3,SLITRK3
VAT1L,VAT1L
FOXG1,FOXG1
LMBRD2,LMBRD2
CNIH4,CNIH4
SCN1A,SCN1A
RSU1,RSU1
SP9,SP9
ZMYM2,ZMYM2
MAP3K2,MAP3K2
FMNL2,FMNL2
COPS7A,COPS7A
CACNG5,CACNG5
RASGRF2,RASGRF2
CORO2B,CORO2B
KLHL5,KLHL5
PLK2,PLK2
DNAJC27,DNAJC27
COL5A2,COL5A2
WLS,WLS
CLCN5,CLCN5
POU4F2,POU4F2
SNAPIN,SNAPIN
KCTD3,KCTD3
KIF3B,KIF3B
WDTC1,WDTC1
RING1,RING1
MED10,MED10
UBP1,UBP1
ADO,ADO
PDE4D,PDE4D
HOXB5,HOXB5
GABBR2,GABBR2
HSP90B1,HSP90B1
GTPBP1,GTPBP1
RABGAP1,RABGAP1
GRIN2D,GRIN2D
GTF2H4,GTF2H4
LEO1,LEO1
FAU,FAU
CHD3,CHD3
RCBTB1,RCBTB1
SP5,SP5
BCLAF1,BCLAF1
CHD8,CHD8
CA7,CA7
TMEM170B,TMEM170B
CCNL1,CCNL1
BTK,BTK
ZSWIM8,ZSWIM8
TBC1D19,TBC1D19
CDK13,CDK13
HID1,HID1
KCNK4,KCNK4
MMGT1,MMGT1
PAK2,PAK2
SF3B1,SF3B1
CALN1,CALN1
CALB1,CALB1
LMNB1,LMNB1
TUBA1A,TUBA1A
ARL14EP,ARL14EP
PHACTR1,PHACTR1
CRTC1,CRTC1
NSA2,NSA2
EPHA5,EPHA5
UNC50,UNC50
ABCG4,ABCG4
PTCHD4,PTCHD4
MTMR2,MTMR2
COPS2,COPS2
TMEM101,TMEM101
ZER1,ZER1
NOL4,NOL4
NIPBL,NIPBL
ATP6V1C1,ATP6V1C1
SOX9,SOX9
DYRK1A,DYRK1A
IFFO1,IFFO1
ADGRB3,BAI3
VPS39,VPS39
TRIM46,TRIM46
TRIO,TRIO
CHD2,CHD2
UBE4A,UBE4A
VPS37D,VPS37D
RBPJ,RBPJ
PLAG1,PLAG1
ARHGAP35,ARHGAP35
RHOBTB2,RHOBTB2
RCL1,RCL1
ZNF711,ZNF711
ANKRD34A,ANKRD34A
MLF2,MLF2
SMYD2,SMYD2
RNF182,RNF182
UGDH,UGDH
PIK3R4,PIK3R4
ARFGEF1,ARFGEF1
FSCN1,FSCN1
BMP7,BMP7
EIF5,EIF5
ZNF24,ZNF24
EIF4E2,EIF4E2
SMYD1,SMYD1
SMAP2,SMAP2
DGKI,DGKI
RPL22L1,RPL22L1
NKX6-1,NKX6-1
KLF9,KLF9
KIF5A,KIF5A
PLCB1,PLCB1
EMSY,EMSY
ALDOC,ALDOC
RYR2,RYR2
RAD23A,RAD23A
NTN1,NTN1
PDS5B,PDS5B
THOC1,THOC1
HOMER3,HOMER3
RUNX1,RUNX1
GMPPB,GMPPB
ATRNL1,ATRNL1
FBXL16,FBXL16
INO80,INO80
TFIP11,TFIP11
EGLN3,EGLN3
EFNA3,EFNA3
MMD,MMD
KCNQ5,KCNQ5
KCNA4,KCNA4
BCAS3,BCAS3
ELF2,ELF2
MON2,MON2
HNRNPD,HNRNPD
CLVS1,CLVS1
NDST2,NDST2
DSCAML1,DSCAML1
VEZF1,VEZF1
DIP2B,DIP2B
SMARCA5,SMARCA5
MYO7A,MYO7A
VIM,VIM
JRKL,JRKL
CLIP2,CLIP2
NTNG1,NTNG1
TMEM263,C12orf23
SRPRA,SRPRA
IGF2BP3,IGF2BP3
UNK,UNK
B3GAT1,B3GAT1
TAB2,TAB2
MSANTD4,MSANTD4
LMX1B,LMX1B
LRRC8B,LRRC8B
PCGF2,PCGF2
HSPD1,HSPD1
ENOX1,ENOX1
TRPM3,TRPM3
MTSS1,MTSS1
USP9X,USP9X
EFNA5,EFNA5
NFIB,NFIB
SND1,SND1
TMEFF1,TMEFF1
PHF21A,PHF21A
PTP4A2,PTP4A2
GNB3,GNB3
CHMP7,CHMP7
PPP2R3C,PPP2R3C
ROCK1,ROCK1
RBM26,RBM26
FOSB,FOSB
NF1,NF1
MCC,MCC
ILF3,ILF3
GPR26,GPR26
PLXNA2,PLXNA2
DENND5A,DENND5A
ZBTB16,ZBTB16
CDH7,CDH7
ING2,ING2
OSGEP,OSGEP
TADA1,TADA1
KLHL23,PHOSPHO2-KLHL23
GLUD1,GLUD1
MEST,MEST
UBE2S,UBE2S
HOXC5,HOXC5
VPS4B,VPS4B
HNRNPAB,HNRNPAB
INTS8,INTS8
HERC1,HERC1
mml-mir-181b-1,MIR181B1
mml-mir-196a-2,MIR196A2
CXXC1,CXXC1
HOXC13,HOXC13
IPO9,IPO9
RAB3D,RAB3D
RNF150,RNF150
CLIP3,CLIP3
HUWE1,HUWE1
RALBP1,RALBP1
MAPRE2,MAPRE2
POLR3GL,POLR3GL
GPS2,GPS2
MAPK3,MAPK3
SFPQ,SFPQ
ADCY8,ADCY8
RAB39A,RAB39A
RIT2,RIT2
SPTAN1,SPTAN1
PTPRS,PTPRS
EYA4,EYA4
ARHGEF7,ARHGEF7
RAB5B,RAB5B
RHOT1,RHOT1
SLC24A3,SLC24A3
GPR27,GPR27
VPS50,VPS50
RNF128,RNF128
EHD3,EHD3
SH3BGRL2,SH3BGRL2
PAIP1,PAIP1
RBM42,RBM42
CAMSAP2,CAMSAP2
ZIC2,ZIC2
PAF1,PAF1
TCIM,C8orf4
BORCS7,BORCS7
RPL13,RPL13
NACC1,NACC1
GYS1,GYS1
KRIT1,KRIT1
FGFR2,FGFR2
KCTD8,KCTD8
ARNTL,BMAL1
HAT1,HAT1
RASSF8,RASSF8
UHMK1,UHMK1
NPR2,NPR2
ATXN2L,ATXN2L
NLGN4X,NLGN4X
TRAPPC13,TRAPPC13
DOCK7,DOCK7
ESRP1,ESRP1
ZNF436,ZNF436
CDK11B,CDK11B
SIAH1,SIAH1
ANKRA2,ANKRA2
SENP3,SENP3
MED18,MED18
B4GAT1,B4GAT1
CDC27,CDC27
TARDBP,TARDBP
CLDN11,CLDN11
PTK2,PTK2
C7H14orf28,C14orf28
KLHL32,KLHL32
MBD2,MBD2
TRPC4,TRPC4
SRGAP2,SRGAP2
ZBTB2,ZBTB2
STARD4,STARD4
TLN1,TLN1
THOC7,THOC7
GDF11,GDF11
IDE,IDE
SAFB,SAFB
DMTF1,DMTF1
LRRC41,LRRC41
INTS7,INTS7
PYGO2,PYGO2
NR2F6,NR2F6
RDX,RDX
DHRS3,DHRS3
TAGLN,TAGLN
GALNT10,GALNT10
POU3F1,POU3F1
ANKRD29,ANKRD29
KCNK9,KCNK9
CCDC28B,CCDC28B
VAMP8,VAMP8
GAN,GAN
TRHR,TRHR
RERG,RERG
GDAP2,GDAP2
USP24,USP24
ERLIN1,ERLIN1
SLC25A51,SLC25A51
DENR,DENR
TMEM9B,TMEM9B
PRDX2,PRDX2
SMIM14,SMIM14
GNB5,GNB5
KIF1B,KIF1B
SAP130,SAP130
SESN3,SESN3
TOP2B,TOP2B
LARP6,LARP6
MB21D2,MB21D2
HOXD13,HOXD13
PPP1R12A,PPP1R12A
FAM53C,FAM53C
mml-mir-652,MIR652
HSPB8,HSPB8
SNAPC5,SNAPC5
BRINP2,BRINP2
ATP8B2,ATP8B2
LRFN4,LRFN4
GNB2,GNB2
TXNIP,TXNIP
RIMKLA,RIMKLA
UBR4,UBR4
STK4,STK4
SLC8A1,SLC8A1
EMX1,EMX1
TRAPPC14,C7orf43
