zebrafish gene name,frog gene name
SOD2,sod2
SLC25A10,slc25a10
NMD3,nmd3
NAA40,naa40
YIPF3,yipf3
SELENBP1,selenbp1
NFYA,nfya
SLIT2,slit2
SP9,sp9
PLCXD3,plcxd3
SBNO1,sbno1
GALNTL6,galntl6
GAD1,gad1.1
BMP7,bmp7.1
CSRP1,csrp1
RNGTT,alox12b
KIF3B,kif3b
GLRA2,glra2
HNRNPD,hnrnpd
CAMK4,camk4
CDK7,cdk7
ZFR,zfr
ACAD8,acad8
CELF1,lrrc61
ERP44,erp44
RHBDF1,rhbdf1
FAF2,faf2
METTL14,mettl14
CHST11,hesx1
BHMT,bhmt
TFAP2A,tfap2a
atp5md,atp5mk
MSMO1,msmo1
TRIM2,trim2
HK2,hkdc1
ACMSD,acmsd
ALDH1A2,aldh1a2
FBXO8,fbxo8
DNAJC7,dnajc7
NAA60,naa60
MEX3B,mex3b
CA8,ca8
GPR6,gpr6
KLHL31,klhl31
TBX15,tbx15
BZW2,bzw2
DAAM1,daam1
EXOC4,exoc4
PIGK,pigk
ATP2A3,atp2a3
CALB2,calb2
DIP2B,dip2b
NEK8,nek8
HERC1,herc1
LINGO1,lingo1
EIF2S2,eif2s2
OTP,otp
PROX1,prox1
APIP,apip
TTLL1,ttll1
LYPLA1,lypla1
PLXNA4,plxna4
RAPGEF2,rapgef2
DPYD,dpyd
GOT1,got1
KPNA1,kpna1
UPB1,upb1
LRRC8D,lrrc8d
SLC5A10,slc5a10
TBC1D9,tbc1d9
MYO1F,myo1f
HIF1AN,hif1an
DNAJC5B,dnajc5b
ATP6V1D,atp6v1d
WNT11,wnt11
FRYL,fryl
RTRAF,rtraf
ATP5F1C,ehmt1
PHKB,phkb
PPIL2,ppil2
RAB34,rab34
JKAMP,jkamp
GABRB2,gabrb2
COL11A1,col5a3
TENM4,tenm4
DYRK1A,dyrk1a
PDS5A,pds5a
FRMD4A,frmd4a
dtnbb,dtnb
myl4,myl4
BCL11A,bcl11a
fem1b,fem1b
HDLBP,hdlbp
TBPL1,tbpl1
SPTLC2,sptlc2
HSPA12A,hspa12a
USP47,usp47
ZBTB16,zbtb16
NOP58,nop58
MED7,med7
SLC7A5,slc7a5
POU3F2,pou3f2
KLHDC10,klhdc10
PTBP2,ptbp2
VPS45,vps45
VPS26C,vps26c
CHN2,chn2
BCKDHB,bckdhb
OTUD7A,otud7a
ORAI1,orai2
SLC35F1,slc35f1
RNF145,rnf145
ABCG4,abcg4
PPP2R5B,ppp2r5b
MED30,med30
RPL7,rpl7
GAD2,gad2
TBX2,tbx2
PAN3,pan3
PTBP3,ptbp3
NUBP1,nubp1
MT-CYB,cytb
CRY1,cry1
CACNA1C,cacna1c
ADCY6,adcy6
AKIRIN2,akirin2
mir130c-2,xtr-mir-130c
CACNG4,cacng4
NR2C2,nr2c2
angptl2b,angptl2
ADSS2,adss2
ARL4A,arl4a
GTF2H2C,gtf2h2
PDK4,pdk4
MAP3K7,map3k7
NKX2-1,nkx2-1
MBNL2,mbnl2
RBM17,rbm17
DOCK4,dock4
MYO5A,myo5a
DPAGT1,dpagt1
CDC27,cdc27
GNB3,gnb3
PIK3R1,pik3r1
MYMK,mymk
SLC6A9,slc6a9
IPO11,ipo11
SLC8A1,slc8a1
SNTG1,sntg1
THOC7,thoc7
RPL4,rpl4
HDHD2,hdhd2
RSU1,rsu1
PDE10A,pde10a
MAFK,mafk
ME2,me2
ME1,me1
KLHL32,klhl32
FOXP2,foxp2
SARDH,sardh
TMEM30A,tmem30a
TRIM9,trim9
RCN1,rcn1
ABCD3,abcd3
SLC1A2,slc1a2
HMGCR,hmgcr
YARS1,yars1
TTC28,ttc28
NPRL3,nprl3
FOXA2,foxa2
ATAD1,atad1
DHX9,dhx9
ESD,esd
RRAD,rrad
IGF2BP3,igf2bp3
RCC2,rcc2
AGPS,agps
RAPGEF4,rapgef4
MBD3,mbd3
NIPA2,nipa2
XAB2,xab2
PTPRF,ptprf
OGDHL,ogdhl
LAPTM4A,laptm4a
LDB2,ldb2
NDUFA8,ndufa8
SPRYD7,spryd7
SOX9,sox9
FKBP2,fkbp2
PDE6B,pde6b
RASA1,rasa1
XKR4,xkr4
CHSY1,chsy1
PDK1,pdk1
rlbp1b,rlbp1
BTAF1,btaf1
CSMD3,csmd3
ywhaqa,ywhaq
PREX2,prex2
WNT1,wnt1
PICALM,picalm
GAMT,gamt
MIR18A,xtr-mir-18a
GNE,gne
RAF1,raf1
INTS4,ints4
USP34,usp34
cacna1da,cacna1d
mir499a,xtr-mir-499
NKIRAS2,nkiras2
zgc:86609,tmem111
TBR1,tbr1
SEPTIN2,septin2
UBTD1,ubtd1
EIF5,eif5
MIR214,xtr-mir-214
TUB,tub
RWDD1,rwdd1
TRA2A,tra2a
MIR10A,xtr-mir-10a
ACACB,acacb
WNT10A,wnt10a
NANS,nans
LMBR1,lmbr1
KPNA2,kpna2
PIAS1,pias1
THRB,thrb
GRM8,grm8
INTS2,ints2
RALGAPB,ralgapb
PTF1A,ptf1a
MYO3B,myo3b
oxct1a,oxct1
HOXB8,hoxb8
KCND3,kcnd3
VPS36,vps36
RHOT1,rhot1
OLFM1,olfm1
FER,fer
GRM3,grm3
NAA50,naa50
ANAPC16,anapc16
LHFPL4,lhfpl4
RERE,rere
LRP5,lrp5
EML1,eml2
VMP1,vmp1
TMEM161B,tmem161b
OSR1,osr1
TRPC6,trpc6
CREB5,creb5
hnrnph1l,hnrnph1
RYR3,ryr3
CPE,cops6
SLC6A15,slc6a15
TAPT1,tapt1
QTRT1,qtrt1
grk5l,grk5
INTS1,ints1
SIN3A,sin3a
ABTB3,btbd11
PTPA,ptpa
PTPRK,ptprk
GABRA5,gabra5
NEK6,ereg
MIR125B1,xtr-mir-125b-1
ZBTB14,zbtb14
CRYGN,crygn
FLI1,fli1
RTF1,rtf1
SEMA3A,sema3a
DPYSL5,dpysl5
WDR48,wdr48
LRRC8C,lrrc8c
LDLRAP1,ldlrap1
LHX6,lhx6
MEF2C,mef2c
GRIP1,grip1
SPRING1,spring1
CPEB4,cpeb4
DNMT1,dnmt1
TBC1D19,tbc1d19
dre-mir-132-1,xtr-mir-132
ISCU,iscu
TRPM3,trpm3
ZDHHC2,zdhhc2
PDE4B,pde4b
PDE7A,pde7a
CDKL1,cdkl1
EFR3A,efr3a
ATP6V0B,atp6v0b
ATP6V1A,atp6v1a
TNIK,tnik
GLS,gls
ASAP1,asap1
TBCK,tbck
UBE3C,ube3c
HAPLN1,hapln1
SLC30A5,slc30a5
HDAC4,hdac4
ZNF330,znf330
SLC7A14,slc7a14
SMYD2,smyd2
RFX2,rfx2
TMEM135,tmem135
EIF5A2,eif5a
EFR3B,efr3b
WNT9A,wnt9a
DPY30,dpy30
GCHFR,gchfr
HES4,hes4
SLC1A4,slc1a4
KCNAB1,kcnab1
EPHA4,epha4
NKX6-1,nkx6-1
EXOC6B,exoc6b
YAP1,yap1
TBX1,tbx1
DCAF13,dcaf13
SNRK,snrk
DOCK3,dock3
pcyt1ba,pcyt1b
CPLX4,cplx4
HSDL2,hsdl2
SOX21,sox21
ILRUN,ilrun
TMOD1,tmod1
HOXC9,hoxc9
ADAMTS6,adamts6
AMPD2,ampd2
ADCY8,adcy8
RAB38,rab38
SLCO3A1,slco3a1
rragca,mycbp
EMC2,emc2
DENND6A,dennd6a
SPON1,spon1
HIPK2,hipk2
ELP3,elp3
ptpn11b,ptpn11b
ANKRD29,ankrd29
WSB1,wsb1
SH3GL1,sh3gl1
TTC13,ttc13
PXDN,pxdn
MC5R,mc5r
PPAT,krt55
XKR6,xkr6
ITGB1,itgb1
SLC25A21,slc25a21
FARSB,farsb
MYH9,myh9
AKIRIN1,akirin1
DYRK3,dyrk3
NKAIN2,nkain2
WTAP,wtap
KLF12,klf12
GPI,gpi
TMEM184C,tmem184c
ABHD2,abhd2
SV2C,sv2c
TRIM71,trim71
KDM6A,kdm6a
IQSEC1,iqsec1
SLC9A7,slc9a7
NOS1,nos1
NDUFS3,ndufs3
SLC6A2,slc6a2
RNF166,rnf166
ddx3xa,ddx3x
SEH1L,seh1l
USP13,usp13
CHD5,chd5
BMP5,bmp5
TMEM35A,tmem35a
GRID1,grid1
NKAIN1,nkain1
PDP1,pdp1
ARMC1,armc1
MYL11,mylpf
CTNND2,ctnnd2
TRAM1,tram1
TMTC3,tmtc3
bet1,bet1
TMEM165,tmem165
FAM168A,fam168a
TSPAN3,tspan3
MT-ND1,nd1
KIF1B,kif1b
PKN2,pkn2
PTCHD4,ptchd4
TFAP4,tfap4
rbmx,rbmx
MIR34A,xtr-mir-34a
HECTD2,hectd2
CCDC85C,ccdc85c
CRAT,crata
OLFM3,olfm3
CAMKV,camkv
GRM5,grm5
MAN1A1,man1a1
ODC1,odc1
ITPA,itpa
srsf2b,srsf2
PALS2,pals2
ACAT2,acat2
TPP2,tpp2
PALS1,pals1
PDZRN3,pdzrn3
PGM2,pgm2
SLC43A2,slc43a2
PLPP3,plpp3
FRG1,frg1
FRMD5,frmd5
KLHL28,fpgt
CPS1,cps1
ACVR2B,acvr2b
NDUFS7,ndufs7
SLC25A13,slc25a13
CTH,cth
RNF141,rnf141
ZRANB2,zranb2
FOXP4,foxp4
LRP2,lrp2
lims2,lims1
RIDA,rida
ASTN1,astn1
UBR3,ubr3
ERO1B,ero1b
SLC30A7,slc30a7
SPOPL,spopl
SLC5A1,slc5a1.1
DIS3,dis3
SNORD36C,SNORD36
sncb,sncb
CPNE1,cpne1
SGK3,sgk3
LZIC,lzic
foxf2a,foxf2
YIPF5,yipf5
BMI1,bmi1
DLG2,dlg2
SGCE,sgce
FIBP,fibp
CPNE2,cpne2
HAT1,hat1
API5,api5
YTHDF1,ythdf1
MAP4K5,a2ml1
ATP8A2,atp8a2
PCDH10,pcdh10
RRM2B,rrm2b
MEIG1,meig1
SLC9A6,slc9a6
KCTD3,kctd3
BAMBI,bambi
SIM1,sim1
SLC35B3,slc35b3
SDR16C5,sdr16c5
GBX2,gbx2.1
SLITRK4,slitrk4
LHX4,lhx4
RGS5,rgs5
SLC35G2,slc35g2
ATP11B,atp11b
slc41a3,slc41a3
NT5C3A,nt5c3a
SGCZ,sgcz
ZFYVE1,zfyve1
ADGRL2,adgrl2
USP3,usp3
ALG9,alg9
GLTP,gltp
BDNF,bdnf
FOXL2,foxl2
SOS2,sos2
SVOP,svop
FXR1,fxr1
FREM2,frem2
FGFR3,fgfr3
SLC18A3,slc18a3
SAT1,sat1
ROGDI,rogdi
COL5A1,col5a1
HOXD3,hoxd3
SGSM1,sgsm1
CTDSPL,ctdspl
EIF4E2,mgc89871
GOLGA7B,golga7b
NFYB,nfyb
kcnt2b,kcnt2l
hnrnpa3,hnrnpa3
MED6,med6
GPR12,gpr185a
CDH11,cdh11
LAPTM4B,laptm4b
MCCC1,mccc1
ANKRA2,ankra2
ACOX1,acox1
RPRM,rprm
TAF5,taf5
DDC,ddc
ZIC4,zic4
FGR,fgr
GALR1,galr1
TMEM120B,tmem120b
MBNL3,mbnl3
ALDH8A1,aldh8a1
ZDHHC6,zdhhc6
PRKX,prkx
HOXB6,hoxb6
ssna1,ssna1
EFL1,efl1
SEPSECS,sepsecs
SLITRK2,mynn
IVD,ivd
GIT2,git2
MFSD13A,mfsd13a
ALG5,alg5
SFT2D1,sft2d1
ARHGAP42,arhgap42
INTS7,ints7
LMBRD2,lmbrd2
BNIP1,bnip1
SLC4A10,slc4a10
EXOC2,exoc2
SLC35A1,slc35a1
SLC44A5,slc44a5
KLHL29,klhl29
RPL9,rpl9
CHD2,chd2
ST7L,st7l
ROR1,ror1
EZR,ezr
HTT,htt
SLC35D1,slc35d1
SPTSSB,sptssb
SBF2,sbf2
SERBP1,serbp1
FBXO25,fbxo25
DBI,dbi
C11H1orf50,c1orf50
CBFA2T3,cbfa2t3
VWA8,vwa8
ELOVL5,elovl5
PLOD2,plod2
BARHL2,barhl2
NTRK3,ntrk3
RPL12,rpl12
TLNRD1,tlnrd1
OLA1,ola1
GRIP2,grip2
MARK2,mark2
ABLIM3,ablim3
GABRR1,gabrr1
TTC39C,ttc39c
TOP2B,top2b
DEPTOR,deptor
RHBDL1,rhbdl1
DAPK1,dapk1
CPEB3,cpeb3
RHOT2,rhot2
MT-ND3,nd3
CHRM2,chrm2
COL11A2,col11a2p1
TRPC4,trpc4
KLC1,klc1
LIN9,lin9
KCNK12,kcnk12
SSTR1,sstr1
RSPO2,rspo2
MAP1LC3B,map1lc3b
mir301c,xtr-mir-301-2
GALNT7,galnt7
EPHA6,epha6
PARP1,parp1
FGF4,fgf4
TFAP2E,tfap2e
ASAP2,asap2
CERT1,cert1
UNC119,unc119
STK24,stk24
TOM1L2,tom1l2
AIMP1,aimp1
MGAT4C,mgat4c
BMPR1A,bmpr1a
FEZF2,fezf2
SAMD13,samd13
INTS6L,ints6l
FRMD6,frmd6
rxfp3,rxfp3
KAT14,kat14
TUBGCP5,tubgcp5
RGCC,rgcc
AMPD1,ampd1
MAPRE2,mapre2
GNAT2,gnat2
IFT80,ift80
CDH7,cdh7
EIF3H,eif3h
SLC66A2,slc66a2.1
ACSL1,acsl1
ISL2,isl2
FMR1,soho1
LHFPL6,lhfpl6
DDX5,ddx5
DES,des.1
PSME4,psme4
NEUROD1,neurod1
PTCH1,ptch1
ATXN7L3,atxn7l3
KCNG1,kcng1
ctsla,ctsv
MINDY3,mindy3
INPP5F,inpp5f
zgc:85777,mgc147631
mao,maob
NMNAT2,nmnat2
ATRNL1,atrnl1
CHST1,chst1
CHAC2,chac2
PPP2R5A,ppp2r5a
CUL4A,cul4a
DEPDC5,depdc5
MMP2,mmp2
EVI5,evi5
SLC4A5,slc4a5
YIPF6,yipf6
RGS7BP,rgs7bp
ASCC3,ascc3
ACOT7,acot7
cplx2a,cplx1
ZDHHC9,zdhhc9
DNAH3,dnah3
ALDH1A3,aldh1a3
DOCK1,dock1
POU2F1,pou2f1
SETD3,setd3
SP5,sp5
TP73,tp73
UCHL3,uchl3
SLC7A10,slc7a10
FAF1,faf1
PAM16,pam16
UBE2V2,ube2v2
EVX2,evx2
DGKB,dgkb
hoxa2b,hoxa2
EIPR1,eipr1
FBXO28,fbxo28
TBC1D16,tbc1d16
MTPN,mtpn
slc6a7,slc6a7l
ZBTB18,zbtb18
GOT2,shtn1
CNKSR2,cnksr2
CA7,ca7
PTGS2,ptgs2
TIMM44,timm44
DYNC1LI2,dync1li2
KBTBD8,kbtbd8
SLC16A1,slc16a1
DUSP1,dusp1
PDE8B,pde8b
TBPL2,tbpl2
UBE2QL1,ube2ql1
ARB2A,fam172a
CSTF2,cstf2
dre-mir-338-3,xtr-mir-338-1
SLC35F4,slc35f4
VAPB,vapb
CLUH,cluh
cry-dash,cry-dash
