mice gene name,frog gene name,correlation,identical_scores,orthology confidence,combo_score
Lsm8,lsm8,0.9881801,96.875,1.0,1.9455140693344475
Smc3,smc3,0.99676013,95.1545,1.0,1.9445684883033705
Rps23,rps23,0.9912222,96.20415,1.0,1.944561200414872
Ccnc,ccnc,0.99635756,95.19475,1.0,1.944201957543402
Smad1,smad1,0.9941278,95.58680000000001,1.0,1.9438886288618935
Ddx6,ddx6,0.9967526,95.02115,1.0,1.9432002328950952
Myl12a,myl12b,0.98977697,96.2327,1.0,1.9420682599188077
Zc4h2,zc4h2,0.9813228,97.7679,1.0,1.9413750353499073
Rps15,rps15,0.99651957,94.84645,1.0,1.9409779980148372
Klhl20,klhl20,0.97884893,98.18585,1.0,1.9408546093843317
Eif1ax,eif1ax,0.9975647,94.62135,1.0,1.940705192735377
Marchf3,marchf3,0.9951696,95.04990000000001,1.0,1.9404440478838318
Gpm6a,gpm6a,0.9954879,94.964,1.0,1.9401848830775776
Romo1,romo1,0.99561137,94.9367,1.0,1.9401454764602515
Psmc5,psmc5,0.9893234,96.1067,1.0,1.9399157749994296
Nalcn,nalcn,0.99734753,94.57385,1.0,1.939804818390999
Rps25,rps25,0.98965174,96.0,1.0,1.9394647825099276
Rap2b,rap2b,0.9957403,94.7952,1.0,1.9389572355334244
Cplx2,cplx2,0.9945201,94.936,1.0,1.9380371395554477
Copb1,copb1,0.9909225,95.5929,1.0,1.9377787791530494
Nsa2,nsa2,0.9838857,96.9231,1.0,1.937733547357127
Creb1,creb1,0.9954503,94.65235,1.0,1.9369486435878223
Hdac2,hdac2,0.98099536,97.3361,1.0,1.9363609602245653
Enc1,enc1,0.9976502,94.0577,1.0,1.9351477012623568
Ormdl1,ormdl1,0.9973343,94.1176,1.0,1.935147537730825
Osr2,osr2,0.989887,95.5128,1.0,1.9349717656668624
Gria2,gria2,0.9975475,94.03819999999999,1.0,1.9347519911987412
Gnb1,gnb1,0.97997075,97.3529,1.0,1.9345586348785302
Mb21d2,mb21d2,0.9961189,94.2861,1.0,1.9345178918634849
Arl8b,arl8b,0.9858074,96.2366,1.0,1.9344644810078844
Runx1t1,runx1t1,0.9990481,93.71610000000001,1.0,1.9343714545749058
Six1,six1,0.99738944,94.0141,1.0,1.9342029871923956
Ldb1,ldb1,0.99676394,94.0905,1.0,1.933774198068709
Smad2,smad2,0.9895441,95.4591,1.0,1.933766357530411
Psma7,psma7,0.9886008,95.58385,1.0,1.933216491945657
Ogt,ogt,0.9912351,95.08375,1.0,1.933211845481396
Cnih1,cnih1,0.99803656,93.68055,1.0,1.9320628431973668
Usp12,usp12,0.99773574,93.6955,1.0,1.9316353879643295
Isl1,isl1,0.9867532,95.69045,1.0,1.930741147776768
Stat3,stat3.2,0.9848629,96.0364,1.0,1.9306134434766031
Rab5a,rab5a,0.99669975,93.736,1.0,1.9300517506665538
Ube2g1,ube2g1,0.96677226,99.4118,1.0,1.9300468171838756
Dip2c,dip2c,0.9898821,94.93445,1.0,1.9290909768110711
Ube2k,ube2k,0.9760336,97.5,1.0,1.92847103310608
Abhd17b,abhd17b,0.9791841,96.875,1.0,1.9281923522316298
Klhl14,klhl14,0.9904539,94.70205,1.0,1.9278326699704387
Six6,six6,0.9966732,93.47095,1.0,1.9273098666007025
Cacng2,cacng2,0.98452324,95.6531,1.0,1.9260682062179144
Napb,napb,0.98462874,95.62395000000001,1.0,1.925975417503916
Grik2,grik2,0.9942687,93.79535,1.0,1.9259733012832039
Septin7,septin7,0.9950231,93.64075,1.0,1.925856407268244
Dnaja2,dnaja2,0.9965057,93.3173,1.0,1.9254275067352413
Ppp3ca,ppp3ca,0.9964131,93.30165,1.0,1.925090328963008
Fbxl7,fbxl7,0.9927052,93.9858,1.0,1.9248962262992806
Gucy1b1,gucy1b1,0.99366707,93.75810000000001,1.0,1.9244367096869217
Dynlrb2,dynlrb2,0.9826845,95.8333,1.0,1.924357102068296
Kat7,kat7,0.98969144,94.4648,1.0,1.9239560207615596
Psma2,psma2,0.9847517,95.2991,1.0,1.9229143297113174
Rdx,rdx,0.9939561,93.50155000000001,1.0,1.9223887632611838
Rps7,rps7,0.98871136,94.48745,1.0,1.9222988261712315
Ptpn11,ptpn11,0.9970333,92.87815,1.0,1.9219851869430402
Gtf2b,gtf2b,0.9957363,93.11165,1.0,1.9218582948000025
Tead1,tead1,0.98884535,94.37445,1.0,1.9214096575062785
Tfap2d,tfap2d,0.99532115,93.1416,1.0,1.9213629767471263
Tnpo1,tnpo1,0.99151516,93.8278,1.0,1.9210008140746426
Xpo1,xpo1,0.9848898,95.0649,1.0,1.9208026639927192
Rbbp7,rbbp7,0.98614395,94.8235,1.0,1.9207668488007805
Fbxl14,fbxl14,0.9865079,94.75,1.0,1.9207214662744359
Eif2s1,eif2s1,0.9958851,92.9469,1.0,1.9204722816005804
Ctnna2,ctnna2,0.989432,94.16745,1.0,1.9204378025806284
Ptp4a2,ptp4a2,0.99441314,93.18245,1.0,1.9200293169550453
Diras2,diras2,0.9927343,93.4673,1.0,1.9196884956202331
Cand1,cand1,0.9719903,97.3984,1.0,1.9196542618216612
Arl5a,arl5a,0.99609977,92.7374,1.0,1.918758802768814
Rab5b,rab5b,0.9944973,93.0233,1.0,1.9185756906819318
Atp1a3,atp1a3,0.996532,92.54025,1.0,1.9175896097808196
Smco4,smco4,0.99264807,93.2203,1.0,1.9170149401267307
Rab6a,rab6a,0.969558,97.5962,1.0,1.9169789367483352
Taok1,taok1,0.99395037,92.87594999999999,1.0,1.916026698761679
Spop,spop,0.96334153,98.6631,1.0,1.9158402465437532
Calm1,calm1,0.99348223,92.9393,1.0,1.9157684225495961
Sf3a3,sf3a3,0.9962237,92.4152,1.0,1.9157264852493365
Prkaa2,prkaa2,0.9967752,92.2938,1.0,1.915555952337352
Pou3f4,pou3f4,0.9960811,92.3719,1.0,1.9150123327681539
Kcnd3,kcnd3,0.9977796,92.04915,1.0,1.9150062520767832
Tbpl1,tbpl1,0.9955437,92.4731,1.0,1.9150049466330619
Fgf12,fgf12,0.98382926,94.6502,1.0,1.914550608976258
Ppp1cb,ppp1cb,0.95720834,99.6942,1.0,1.914498473050267
Ncs1,ncs1,0.9582667,99.4737,1.0,1.9142978407773938
Atp1a2,atp1a2,0.99561214,92.3529,1.0,1.9139164683203926
Ywhah,ywhah,0.99472433,92.4953,1.0,1.9136526293455256
Meis1,meis1,0.9879985,93.7634,1.0,1.9135757342206359
Rbbp4,rbbp4,0.9618265,98.70755,1.0,1.9133743220564337
Psmc2,psmc2,0.9930863,92.7514,1.0,1.9130985200452324
Hand2,hand2,0.99299914,92.76495,1.0,1.9130682525545848
Mob1b,mob1b,0.99553233,92.24515,1.0,1.9126689271765163
Mib1,mib1,0.9817572,94.7997,1.0,1.9120785857975773
Ehd3,ehd3,0.996947,91.9168,1.0,1.9120594837074791
Sptan1,sptan1,0.99191284,92.85284999999999,1.0,1.911868944076073
Tbl1xr1,tbl1xr1,0.97422475,96.20439999999999,1.0,1.911835301266791
C1ql3,c1ql3,0.9890954,93.3608,1.0,1.9116006485673185
Nfia,nfia,0.9960925,92.0295,1.0,1.9115582712753296
Arf2,arf1,0.9714835,96.6851,1.0,1.9114370695211023
Gabarapl2,gabarapl2,0.99584913,91.99785,1.0,1.9107683567523965
Elof1,elof1,0.98408824,94.16975,1.0,1.910171790135057
Lrrc3b,lrrc3b,0.9955294,91.8919,1.0,1.909077125234063
Cnot7,cnot7,0.98474956,93.92665,1.0,1.9089772278715875
Gng3,gng3,0.99483407,92.0,1.0,1.9088356944450062
Xpo7,xpo7,0.9958635,91.7432,1.0,1.9082108435850507
Pax3,pax3,0.9946079,91.95915,1.0,1.907985500846283
Rab30,rab30,0.9885706,93.1034,1.0,1.907977050676207
Ppfia2,ppfia2,0.99649024,91.50145,1.0,1.9069634029135778
Hs3st5,hs3st5,0.99516577,91.7513,1.0,1.90694960117064
Nr2f2,nr2f2,0.9914152,92.40065,1.0,1.9063200515300922
Hoxc8,hoxc8,0.99477756,91.7355,1.0,1.9060417062160306
Trrap,trrap,0.9834723,93.85545,1.0,1.9057950596292224
Cdc42,cdc42,0.9902734,92.559,1.0,1.9057290799705346
Rnd3,rnd3,0.97254723,95.9016,1.0,1.9055312549186887
Msi1,msi1,0.9915938,92.2839,1.0,1.9054787093772207
Kpnb1,kpnb1,0.9779423,94.863,1.0,1.9053756457062527
Rps2,rps2,0.9817946,94.1178,1.0,1.9052280155035979
Ebf2,ebf2,0.9951104,91.576,1.0,1.9050633578800795
Ubc,ubc,0.99634206,91.3348,1.0,1.9049862687762782
Atp2a2,atp2a2,0.99797076,91.0214,1.0,1.9049407091193775
Grb2,grb2,0.9832305,93.7899,1.0,1.9046640185656596
Map1lc3a,map1lc3a,0.99365884,91.7355,1.0,1.9038876209162017
Stt3b,stt3b,0.9969047,91.11935,1.0,1.9038823992187732
Cacng7,cacng7,0.98648536,93.0909,1.0,1.903835041002012
Pax6,pax6,0.98349553,93.6388,1.0,1.903640378682038
Prpf38a,prpf38a,0.9938577,91.6667,1.0,1.9035720730304464
Nrarp,nrarp,0.9915226,92.1053,1.0,1.9035284842792641
Cltc,cltc,0.98040867,94.21315,1.0,1.9035274038428276
Arl4c,arl4c,0.99229807,91.94865,1.0,1.9034313489556687
Rhob,rhob,0.99550784,91.3265,1.0,1.9032957248609663
Nek7,nek7,0.98468465,93.3775,1.0,1.9032773259109461
Kcnh5,kcnh5,0.99775827,90.74775,1.0,1.9017534928771687
Eif4a2,eif4a2,0.9675339,96.44184999999999,1.0,1.9013626994759942
Ddx39a,ddx39a,0.99274236,91.5691,1.0,1.9004336700140128
Marchf5,marchf5,0.97717655,94.48165,1.0,1.9000297721979245
Kcna1,kcna1,0.9961922,90.857,1.0,1.8998471347384445
Cyfip2,cyfip2,0.95948464,97.8192,1.0,1.8998466473504227
Rpl30,rpl30,0.9803091,93.85695,1.0,1.8997195743312316
Psmc3,psmc3,0.9737667,95.07695,1.0,1.899507565416858
Smad4,smad4,0.99223787,91.5685,1.0,1.8994561879129939
Rab3a,rab3a,0.9712275,95.537,1.0,1.8992887423019278
Pik3ca,pik3ca,0.99506706,90.9519,1.0,1.8986441035204897
Map2k1,map2k1,0.99136305,91.62495,1.0,1.8983448048771716
Zic1,zic1,0.9940775,91.0515,1.0,1.8977498443243284
Cstf1,cstf1,0.9723909,95.1276,1.0,1.8973726688502124
Cpeb4,cpeb4,0.98662764,92.37254999999999,1.0,1.8968163792869834
Eed,eed,0.9838893,92.88245,1.0,1.8967201863306316
Rpl23,rpl23,0.9462072,100.0,1.0,1.8964203292955468
Chmp1a,chmp1a,0.9945073,90.8163,1.0,1.896189692428127
Cadps,cadps,0.9915386,91.37835000000001,1.0,1.8961793651813814
St7,st7,0.9827209,93.0421,1.0,1.8960911941860867
Prkar1a,prkar1a,0.9875295,92.126,1.0,1.896049950560021
Crnkl1,crnkl1,0.99588007,90.487,1.0,1.8954899265766327
Rer1,rer1,0.99653244,90.35765,1.0,1.8954329103020364
Vps35,vps35,0.9845963,92.60585,1.0,1.8952734916966576
Fbxo11,fbxo11,0.96585697,96.09790000000001,1.0,1.8946420382986728
Sephs1,sephs1,0.9903026,91.4363,1.0,1.8943877611602002
Dcun1d1,dcun1d1,0.9690513,95.45935,1.0,1.8943101933895181
St8sia3,st8sia3,0.9961554,90.2632,1.0,1.8937480757954648
Sptbn1,sptbn1,0.9947511,90.46915,1.0,1.8931348934991992
Rmnd5a,rmnd5a,0.9755096,94.1176,1.0,1.8931242741410221
Rorb,rorb,0.99193186,90.9829,1.0,1.8929220131525533
Celf4,celf4,0.9662157,95.83395,1.0,1.8926531745030792
Smurf2,smurf2,0.9651541,96.0007,1.0,1.89230190331986
Kcnj2,kcnj2,0.99655217,90.03625,1.0,1.89220807814316
Actn1,actn1,0.996049,90.08535,1.0,1.8917376873423986
Tlk1,tlk1,0.99392885,90.3863,1.0,1.8907105732330554
Cpsf2,cpsf2,0.98825264,91.37385,1.0,1.8898065951805028
Rbm24,rbm24,0.983517,92.251,1.0,1.8895929059513885
Tnpo2,tnpo2,0.97784704,93.2853,1.0,1.8891755637515748
Cyria,cyria,0.99432963,90.14005,1.0,1.888982365043432
Vps4a,vps4a,0.9929091,90.389,1.0,1.8887744639202984
Prkaa1,prkaa1,0.99546456,89.90174999999999,1.0,1.8887484637174432
Celf2,celf2,0.99176407,90.5108,1.0,1.887806220916432
Ehd1,ehd1,0.9870958,91.3858,1.0,1.887700425421879
Cbln4,cbln4,0.9946129,89.952,1.0,1.8876187332456429
Fzd4,fzd4,0.9941971,90.01570000000001,1.0,1.8874647903994526
Polr2d,polr2d,0.98974234,90.8451,1.0,1.887307179646093
Rbpj,rbpj,0.9721958,94.166,1.0,1.8872349342169263
Lmo1,lmo1,0.99857926,89.1214,1.0,1.8868237519056117
Cnih4,cnih4,0.986564,91.3669,1.0,1.8864845783096582
Zswim6,zswim6,0.99125606,90.4665,1.0,1.886378322861756
Atp1a1,atp1a1,0.9976225,89.24154999999999,1.0,1.8862012704513391
Armh3,armh3,0.9890661,90.8563,1.0,1.8861187869372869
Nr4a2,nr4a2,0.9836478,91.84505,1.0,1.8857235945558228
Hectd1,hectd1,0.99792886,89.13595000000001,1.0,1.8857191227644103
Rheb,rheb,0.97214353,94.0217,1.0,1.8856693689870392
Ap2s1,ap2s1,0.97281915,93.8818,1.0,1.8855500177862137
Smarca4,smarca4,0.9941743,89.8038,1.0,1.8852697006474257
Efna5,efna5,0.9911818,90.3509,1.0,1.8850617757428862
Snap25,snap25,0.98161495,92.1498,1.0,1.8849031530484117
Cyfip1,cyfip1,0.991453,90.2815,1.0,1.884879426733927
U2af2,u2af2,0.9597875,96.2807,1.0,1.884811096530821
Rtcb,rtcb,0.97915024,92.5919,1.0,1.8846455330733993
Erh,erh,0.94257164,99.5238,1.0,1.8845857543002742
Dcx,dcx,0.9930448,89.9394,1.0,1.8844714568005818
Slc25a5,slc25a5,0.9806488,92.2819,1.0,1.8843839064919883
Sec13,sec13,0.9925045,90.03205,1.0,1.884371687958355
Polr3a,polr3a,0.9869603,91.0616,1.0,1.8841482739614057
Cript,cript,0.9890852,90.6426,1.0,1.8839861018304265
Rpl15,rpl15,0.9706081,94.1176,1.0,1.8836864799681163
Copg2,copg2,0.9950573,89.39855,1.0,1.882855849920776
Myh10,myh10,0.98622435,91.05735,1.0,1.8826880632604948
Mturn,mturn,0.9873101,90.8397,1.0,1.8825691031140528
Ppih,ppih,0.98361534,91.5254,1.0,1.8824160368540905
Dnm2,dnm2,0.9897637,90.3519,1.0,1.882341388849723
Kcnab2,kcnab2,0.9871205,90.8283,1.0,1.8820882983080938
Fam76b,fam76b,0.9698538,94.08365,1.0,1.8818894249444793
Marchf6,marchf6,0.99263954,89.75605,1.0,1.8818297806304545
Ssbp3,ssbp3,0.9841951,91.336,1.0,1.88160958881406
Copb2,copb2,0.9883645,90.52665,1.0,1.881421287138151
Ank,ankh,0.98341,91.4634,1.0,1.8813912384535252
Ugp2,ugp2,0.9944302,89.3701,1.0,1.8813595528278648
Gria4,gria4,0.99613684,89.0348,1.0,1.8812417392322043
Mta2,mta2,0.99691856,88.87275,1.0,1.8811018179432706
Pcna,pcna,0.9926071,89.6552,1.0,1.8807434981364384
Usp9x,usp9x,0.97773427,92.47365,1.0,1.8807186328681107
Abi1,abi1,0.99613994,88.98089999999999,1.0,1.8807005206034284
Zbtb14,zbtb14,0.99352777,89.45715,1.0,1.8805056552620898
Ephb1,ephb1,0.98827255,90.41120000000001,1.0,1.8800722008690305
Map2k6,map2k6,0.98401296,91.1811,1.0,1.8796863498796634
Clcn3,clcn3,0.99732894,88.64895,1.0,1.8796200047226557
Kdelr1,kdelr2,0.98696595,90.566,1.0,1.8791278691305826
Actr3,actr3,0.96346796,95.00215,1.0,1.8789180717047163
Glra2,glra2,0.9957728,88.8537,1.0,1.8787022735864591
Ssu72,ssu72,0.9804035,91.7526,1.0,1.8785381805122334
Rab27b,rab27b,0.9949447,88.9908,1.0,1.8784996005859576
Gnb3,gnb3,0.9955884,88.8235,1.0,1.8780406255297148
Vps26b,vps26b,0.9943614,89.02155,1.0,1.877688632743758
Ago1,ago1,0.95271444,96.9176,1.0,1.8776577310623617
mt-Co1,COX1,0.99566466,88.76105,1.0,1.8775534770398297
Gng4,gng4,0.9925832,89.3333,1.0,1.8774295808526738
Fem1c,fem1c,0.9910098,89.6272,1.0,1.8773836580251326
Mfap1b,mfap1,0.996084,88.63685000000001,1.0,1.8771000459037896
Ube2d3,ube2d3,0.977418,92.1691,1.0,1.8770178953210477
Hmbox1,hmbox1,0.98925126,89.8957,1.0,1.8767233914189543
Snu13,snu13,0.97714686,92.1875,1.0,1.8766826127315297
Mcc,mcc,0.9975613,88.30285,1.0,1.8765538376762958
Pak3,pak3,0.97160757,93.1488,1.0,1.8757757854153931
Ebf1,ebf4,0.9763012,92.22534999999999,1.0,1.875438551590354
Rpl7a,rpl7a,0.99018943,89.588,1.0,1.8754060883121704
Ythdf3,ythdf3,0.99490196,88.62549999999999,1.0,1.8747088143976427
Fam199x,fam199x,0.9955296,88.5035,1.0,1.8746787972282826
Lhx1,lhx1,0.97563356,92.27115,1.0,1.874617973998852
Gna14,gna14,0.9873632,89.9861,1.0,1.874005681031501
Cdk8,cdk8,0.9773026,91.89135,1.0,1.8739760021924257
Rab7,rab7a,0.97747785,91.7673,1.0,1.8730541007420531
Snx6,snx6,0.96973264,93.2351,1.0,1.8730417339165433
Sap30l,sap30l,0.98770404,89.80785,1.0,1.872852388414809
Arpc4,arpc4,0.9663023,93.86445,1.0,1.8728257461719164
Rdh10,rdh10,0.9925354,88.8563,1.0,1.8724950839506338
Kcnj3,kcnj3,0.97615165,91.9327,1.0,1.872179639567235
Otx2,otx2,0.9745763,92.2262,1.0,1.8721259012704414
Rab3c,rab3c,0.98235494,90.7489,1.0,1.8721061941678707
Acly,acly,0.9835523,90.4632,1.0,1.8715113009736277
Arfgef1,arfgef1,0.9971367,87.82835,1.0,1.8709191955238302
Cnep1r1,cnep1r1,0.94560724,97.6,1.0,1.8709005409842645
Cachd1,cachd1,0.9900262,89.15950000000001,1.0,1.8707416993499069
Lrrc8a,lrrc8a,0.9826443,90.54974999999999,1.0,1.8706416024707067
Mad2l2,mad2l2,0.97729486,91.5574,1.0,1.870570870394485
Clvs2,clvs2,0.9680837,93.2722,1.0,1.8702433504305689
Polr2f,polr2f,0.9658085,93.7008,1.0,1.870213579546038
Ap2m1,ap2m1,0.93622357,99.3103,1.0,1.8701951709965452
Psmd12,psmd12,0.9868684,89.6937,1.0,1.870084531214185
Wdr48,wdr48,0.9793802,91.07055,1.0,1.8696437191210056
Ldb2,ldb2,0.98524034,89.95755,1.0,1.8696282963188733
Tnfaip1,tnfaip1,0.9928425,88.5059,1.0,1.8695291749129506
Sox14,sox14,0.98831314,89.3532,1.0,1.8694096416204382
Stx1a,stx1a,0.9669233,93.4028,1.0,1.8693348493892488
Lin52,lin52,0.9792058,91.0714,1.0,1.869316542608109
Ints14,ints14,0.99321306,88.3959,1.0,1.8691259753690332
Prox1,prox1,0.9947963,88.07605000000001,1.0,1.868927403107108
Aldh1a2,aldh1a2,0.9848184,89.9614,1.0,1.8688549394754062
Rps26,rps26,0.972245,92.33465,1.0,1.868737978124528
Map4k3,map4k3,0.9954177,87.9329,1.0,1.8686706580943342
Pax5,pax5,0.9909144,88.7798,1.0,1.8685972423356874
Fut8,fut8,0.9901488,88.91489999999999,1.0,1.8684946087142116
Adcy8,adcy8,0.9894828,89.0329,1.0,1.8684101564306497
Sox2,sox2,0.99328387,88.26820000000001,1.0,1.8679659211865318
Tubgcp4,tubgcp4,0.9841957,89.9533,1.0,1.8675737057988795
Psmd6,psmd6,0.9718503,92.2879,1.0,1.8675033852899534
Mfsd14a,mfsd14a,0.9926911,88.3254,1.0,1.8674052368177065
Gmps,gmps,0.994302,87.97810000000001,1.0,1.8669812538593626
Ddx41,ddx41,0.98986125,88.81745000000001,1.0,1.8669516306844869
Rpl35a,rpl35a,0.99125415,88.5124,1.0,1.866536808650354
Mapk1,mapk1,0.95778316,94.85560000000001,1.0,1.8664842788257077
Kif5b,kif5b,0.98117405,90.38964999999999,1.0,1.8661853294114916
Prmt1,prmt1,0.9688839,92.65405,1.0,1.8655087285869771
Gabrb2,gabrb2,0.9907834,88.49715,1.0,1.8654755672154497
Tnnc2,tnnc2,0.9903249,88.55255,1.0,1.8651551450961468
Polr2h,polr2h,0.94045585,98.0,1.0,1.865042347651257
Ap2b1,ap2b1,0.9622661,93.7644,1.0,1.864038381325578
Rhoq,rhoq,0.97032255,92.1951,1.0,1.8636196196685997
Arrdc3,arrdc3,0.98691946,89.02305,1.0,1.863374472052647
Rae1,rae1,0.9725173,91.73485,1.0,1.8631731770251279
Cacnb4,cacnb4,0.9891433,88.57034999999999,1.0,1.863060688821325
Mef2c,mef2c,0.9577655,94.49895000000001,1.0,1.8628295979255192
Plcxd3,plcxd3,0.99115264,88.162,1.0,1.8627841247321262
Six2,six2,0.98538554,89.24355,1.0,1.8626594178220282
Supt16,supt16h,0.9908973,88.1874,1.0,1.8625503282318112
Arf3,arf3,0.92813194,100.0,1.0,1.8616165787086327
Rpl13,rpl13,0.9855751,89.0995,1.0,1.8615620320585848
Trappc3,trappc3,0.9887219,88.45805,1.0,1.8611092280388861
Arl3,arl3,0.98330754,89.47315,1.0,1.860989124774759
Snw1,snw1,0.99534,87.17425,1.0,1.8608193051173765
Sufu,sufu,0.9908666,88.0199,1.0,1.8607907716592655
Ap3m2,ap3m2,0.9937723,87.44385,1.0,1.8605376663099722
Srsf1,srsf1,0.95441437,94.88645,1.0,1.8603108902276757
Fyn,fyn,0.96613514,92.55975000000001,1.0,1.8592586913339402
Ppp4r3b,ppp4r3b,0.96791595,92.1951,1.0,1.8589857330101247
Pum1,pum1,0.979658,89.9538,1.0,1.8588414812067104
Castor2,castor2,0.9962893,86.75405,1.0,1.8583813434727023
Vwc2l,vwc2l,0.9857294,88.7387,1.0,1.8581963281884852
Cs,cs,0.9906314,87.73490000000001,1.0,1.857444603400551
Col2a1,col2a1,0.9971416,86.49195,1.0,1.857361625296913
Gosr1,gosr1,0.97431755,90.8,1.0,1.8571490343180672
Ubr5,ubr5,0.95636714,94.17285,1.0,1.856826532272914
Mafk,mafk,0.9932831,87.16285,1.0,1.8567430309532482
Ctr9,ctr9,0.996639,86.51884999999999,1.0,1.8566669597468057
Tmem230,tmem230,0.9914123,87.5,1.0,1.856563536968398
Dclk1,dclk1,0.98249704,89.14995,1.0,1.856147418788742
Atp6v1h,atp6v1h,0.9732028,90.90985,1.0,1.8561177799234967
Ap1m2,ap1m2,0.97745484,90.09485000000001,1.0,1.8560312425641898
Rab11a,rab11a,0.9593594,93.5185,1.0,1.8559452033052728
Smad9,smad9,0.9926634,87.19435,1.0,1.8558695891667303
Pptc7,pptc7,0.97442335,90.65115,1.0,1.8558416402863889
Nfib,nfib,0.9828336,89.03425,1.0,1.8556208866950965
Mios,mios,0.9871563,88.2058,1.0,1.8555338614152612
Btbd3,btbd3,0.9949431,86.7086,1.0,1.8553278434203708
Get3,get3,0.96575034,92.2414,1.0,1.855285903606461
Pafah1b1,pafah1b1,0.96464074,92.4518,1.0,1.8552853394849729
Fmnl2,fmnl2,0.996099,86.446,1.0,1.854887628362202
Cpne4,cpne4,0.9578204,93.69489999999999,1.0,1.8547726685932373
Rbms3,rbms3,0.98454183,88.5966,1.0,1.8544670872076985
Pcdh9,pcdh9,0.9758343,90.1944,1.0,1.853921529456938
U2af1,u2af1,0.94810283,95.44225,1.0,1.8538005052187274
Abhd13,abhd13,0.9918813,87.07300000000001,1.0,1.8531317290424645
Stk26,stk26,0.99047697,87.33525,1.0,1.8530900412030937
