A	B	source
SRSF1	SRSF9	only_in_union
THNSL2	THNSL2	only_in_union
TMEM185A	TMEM185B	only_in_union
OR7A17	OR7A17	only_in_union
PNRC1	PNRC2	only_in_union
HRK	FRAT2	only_in_union
EIF2S2	EIF2S2	only_in_union
LILRA4	LILRA3	only_in_union
CCND2	CCND1	only_in_union
MRPL2	MRPL34	only_in_union
COLQ	COL19A1	only_in_union
RNASE9	RNASE9	only_in_union
RGS20	RGS20	only_in_union
CENPVL1	CENPV	only_in_union
NUDT17	NUDT17	only_in_union
GSTM4	GSTM5	only_in_union
RNASEH2B	RNASEH2B	only_in_union
LY75	MRC1	only_in_union
ZNF548	ZNF749	only_in_union
PATZ1	PATZ1	only_in_union
HTR1F	HTR1F	only_in_union
GRK4	HOPX	only_in_union
AMER3	AMER1	only_in_union
H2AC25	H2AC8	only_in_union
AK6	ACP1	only_in_union
GSG1	GSG1	only_in_union
TRAV14DV4	TRAV19	only_in_union
B3GNTL1	B3GNTL1	only_in_union
RABGEF1	RABGEF1	only_in_union
H2AC11	H2AC11	only_in_union
C1orf35	C1H1orf35	only_in_union
FOXL1	FOXQ1	only_in_union
TRAC	TRAC	only_in_union
OR2C1	OR2Y1	only_in_union
SF3B5	VANGL1	only_in_union
SLC6A13	SLC6A8	only_in_union
ZNF714	NREP	only_in_union
HBZ	CYGB	only_in_union
MYOT	PKD2L2	only_in_union
POLD3	POLD3	only_in_union
RFK	RFK	only_in_union
STAU2	STAU2	only_in_union
FBP2	FBP2	only_in_union
DMKN	DMKN	only_in_union
ASAH2	ASAH2	only_in_union
OR6C65	OR6C74	only_in_union
FIGNL2	PRR12	only_in_union
MAPRE1	MAPRE1	only_in_union
CLCNKA	CLCNKB	only_in_union
TRGV10	TRGV10	only_in_union
HCFC1R1	HCFC1R1	only_in_union
SERPINB4	SERPINB13	only_in_union
IGHV5-51	IGHV7-81	only_in_union
ISCA1	ISCA1	only_in_union
CCNDBP1	CCNDBP1	only_in_union
OOSP2	OOSP1	only_in_union
PGS1	PGS1	only_in_union
TYMP	NAPRT	only_in_union
OR1L4	OR1F1	only_in_union
LY9	CD84	only_in_union
CEACAM5	CEACAM5	only_in_union
HAPSTR1	LIN52	only_in_union
NAP1L1	NAP1L1	only_in_union
NUDT19	TDRD12	only_in_union
VDAC1	VDAC1	only_in_union
IGHV1-18	IGHV1-46	only_in_union
MARCOL	FLG2	only_in_union
CLDN9	CLDN6	only_in_union
WFDC3	TNNC2	only_in_union
MBTPS2	YY2	only_in_union
CCL4	RTD1B	only_in_union
SMIM10L1	MLLT11	only_in_union
SRPK1	SRPK1	only_in_union
VAMP5	VAMP8	only_in_union
SIRPD	TRGV1	only_in_union
SNAP29	SNAP29	only_in_union
RPL30	RPL30	only_in_union
ENTPD5	FAM161B	only_in_union
CYP4F2	CYP4F8	only_in_union
ZNF57	ZNF555	only_in_union
TRIM48	TRIM6	only_in_union
ARL8B	ARL8B	only_in_union
TNFAIP8	TNFAIP8L3	only_in_union
HMGN2	HMGN4	only_in_union
DAXX	DAXX	only_in_union
MFSD3	SLC35A4	only_in_union
ABCC5	ABCC5	only_in_union
OR1N1	OR1M1	only_in_union
OR52R1	OR52L1	only_in_union
RPL39L	RPL39	only_in_union
PPP1R7	PPP1R7	only_in_union
B9D1	B9D1	only_in_union
OR2L3	OR2L2	only_in_union
DYNLT1	DYNLT1	only_in_union
CBFA2T2	CBFA2T2	only_in_union
KLK3	KLK3	only_in_union
ACOXL	ADSL	only_in_union
IGLV7-43	IGLV8-61	only_in_union
DAPK3	DAPK3	only_in_union
TPRG1	TPRG1L	only_in_union
CFL1	CFL1	only_in_union
RPL7	RPL7	only_in_union
GHAA	KRT37	only_in_union
LILRB1	LILRB5	only_in_union
TMEM14C	TMEM14B	only_in_union
DGCR6L	DGCR6L	only_in_union
PMF1	CCDC115	only_in_union
PFDN1	PFDN1	only_in_union
TMEM161B	TMEM161B	only_in_union
TBC1D31	TBC1D31	only_in_union
NRDE2	NRDE2	only_in_union
PPP5C	PPP5C	only_in_union
KRTAP4-6	KRTAP4-6	only_in_union
SPCS2	SPCS2	only_in_union
NPFF	TRH	only_in_union
PDZK1IP1	SMIM24	only_in_union
CCDC25	CCDC25	only_in_union
DNAJC8	DNAJC8	only_in_union
CTXN3	CTXN1	only_in_union
TPM1	TPM2	only_in_union
CYP2C19	CYP2C76	only_in_union
TINCR	UFM1	only_in_union
OR6T1	OR11A1	only_in_union
HSD17B14	HSD17B14	only_in_union
ELOC	ELOC	only_in_union
LPA	UBB	only_in_union
SPANXN5	SPANXN	only_in_union
RPS14	RPS14	only_in_union
PPIL3	PPIL3	only_in_union
RPS20	RPS20	only_in_union
OR4C46	OR4A47	only_in_union
UGT1A5	UGT1A1	only_in_union
AGAP3	AGAP1	only_in_union
ZNF724	ZNF595	only_in_union
NUDT16	NUDT16	only_in_union
SPRR1A	SMCP	only_in_union
CAP1	CAP1	only_in_union
TRBV4-2	TRBV15	only_in_union
PCDHGA4	PCDHGB5	only_in_union
ZNF587B	ZNF552	only_in_union
ANKRD30B	TXNDC2	only_in_union
OR10AG1	OR10A7	only_in_union
MYEOV	C2H3orf18	only_in_union
MAGEB16	MAGEA8	only_in_union
CES1	CES1	only_in_union
OR4C6	OR4A5	only_in_union
SRP14	SRP14	only_in_union
CELA2A	PRSS1	only_in_union
RPS5	RPS5	only_in_union
MRGPRE	MRGPRG	only_in_union
FCN2	FCN2	only_in_union
CASTOR1	CASTOR2	only_in_union
SCYGR1	PRM1	only_in_union
PLSCR1	PLSCR2	only_in_union
STK36	STK36	only_in_union
CSNK1A1	CSNK1A1	only_in_union
ZNF594	ZNF45	only_in_union
RPL32	RPL32	only_in_union
P2RY11	PPAN	only_in_union
ORM2	ORM1	only_in_union
CRHR2	CRHR2	only_in_union
IGIP	GNG12	only_in_union
ZNF813	ZNF415	only_in_union
CLIC4	CLIC4	only_in_union
SMIM45	DEXI	only_in_union
LGALS16	LGALS14	only_in_union
C4BPA	C4BPA	only_in_union
ANP32B	ANP32B	only_in_union
SAGE1	TEX13C	only_in_union
APOC3	APOC1	only_in_union
MYO15B	TRNP1	only_in_union
RNF224	RNF223	only_in_union
ARPP19	ARPP19	only_in_union
ZNF215	ZNF215	only_in_union
TRIM64C	TRIM77	only_in_union
OR5H1	OR5H14	only_in_union
ZFAND2A	ZFAND2B	only_in_union
PNMA6A	PNMA6E	only_in_union
H3C14	H3C13	only_in_union
SPTBN4	SPTBN5	only_in_union
ZNF92	ZNF92	only_in_union
ZNF253	ZNF506	only_in_union
IGLV7-46	IGLV7-43	only_in_union
EEF1B2	EEF1B2	only_in_union
UGT2B10	UGT2B7	only_in_union
OR5D18	OR5D3P	only_in_union
IFITM1	IFITM5	only_in_union
MCRIP2	MCRIP2	only_in_union
GAPDH	GAPDH	only_in_union
ZNF772	ZNF286A	only_in_union
RPS27	RPS27L	only_in_union
IL36B	IL36B	only_in_union
IGHV3-20	IGHV3OR16-10	only_in_union
GH2	GHV	only_in_union
CST2	CST3	only_in_union
SMIM10	GNG2	only_in_union
ZNF320	ZNF600	only_in_union
CABP1	CABP2	only_in_union
KRTAP1-3	KRTAP1-4	only_in_union
SLX9	SLX9	only_in_union
CHCHD4	COX17	only_in_union
TMIE	TMIE	only_in_union
SUCLA2	SUCLA2	only_in_union
SFXN2	MPC1	only_in_union
KCTD9	KCTD9	only_in_union
OR4L1	OR4F15	only_in_union
CTBP2	CTBP2	only_in_union
PDXP	PGP	only_in_union
KRTAP13-1	KRTAP15-1	only_in_union
RPL37	RPL37A	only_in_union
SOX7	SOX17	only_in_union
LDHB	LDHB	only_in_union
KCNQ2	KCNQ2	only_in_union
LPAR6	LPAR4	only_in_union
GPR148	MC1R	only_in_union
LYNX1	SLURP2	only_in_union
RPL13A	RPL13A	only_in_union
VKORC1	VKORC1L1	only_in_union
PRAMEF18	PRAME	only_in_union
TMEM42	TMEM42	only_in_union
GRAP	GRAP	only_in_union
LAIR2	LAIR1	only_in_union
AEBP1	AEBP1	only_in_union
ST13	ST13	only_in_union
ZNF728	ZNF43	only_in_union
OXCT1	OXCT1	only_in_union
KRTAP10-7	KRTAP10-6	only_in_union
GSTA2	GSTA2	only_in_union
BGLAP	MGP	only_in_union
SSBP3	SSBP3	only_in_union
UQCR10	ATP5MJ	only_in_union
SNRNP200	SNRNP200	only_in_union
UGT2B15	UGT2A1	only_in_union
ZNF17	ZNF419	only_in_union
C5orf52	C15H9orf153	only_in_union
NLRP9	NLRP9	only_in_union
IRF2BPL	IRF2BP2	only_in_union
ROMO1	NDUFA11	only_in_union
RNF168	RNF168	only_in_union
GTF2A2	GTF2A2	only_in_union
IFNA2	IFNA16	only_in_union
DNAJA1	DNAJA1	only_in_union
RHOC	RHOA	only_in_union
HLA-DQB1	IGLL1	only_in_union
EWSR1	EWSR1	only_in_union
GPR132	GPR132	only_in_union
RPL35	RPL35	only_in_union
C1orf202	NUPR2	only_in_union
RAB40B	RAB40B	only_in_union
RETN	RETNLB	only_in_union
ABHD17C	ABHD17A	only_in_union
ARPC1B	ARPC1A	only_in_union
DTWD2	DTWD2	only_in_union
MAGEA1	MAGEA4	only_in_union
SELENOW	C9H10orf53	only_in_union
DECR2	DECR2	only_in_union
NEDD8	UBA52	only_in_union
DNTTIP2	DNTTIP2	only_in_union
GET1	TMCO1	only_in_union
CATSPER2	CATSPER3	only_in_union
PMS2	PMS2	only_in_union
SLC35A5	SLC35A5	only_in_union
ALDH2	ALDH1B1	only_in_union
H2BC13	H2BC9	only_in_union
PFDN5	PFDN5	only_in_union
NUDT3	NUDT4	only_in_union
SLC25A15	SLC25A2	only_in_union
CAMK2D	CAMK2D	only_in_union
OR1P1	OR1I1	only_in_union
ALDH8A1	ALDH9A1	only_in_union
GCH1	GCH1	only_in_union
PRSS21	PRSS21	only_in_union
CNTF	CSH2	only_in_union
OR52N1	OR52N2	only_in_union
PPP2R3B	PPP2R3C	only_in_union
MRPL33	PMAIP1	only_in_union
C1orf146	BTBD8	only_in_union
RBP1	RBP5	only_in_union
RTL8B	LDOC1	only_in_union
GP1BA	GP1BA	only_in_union
SOGA3	MTCL3	only_in_union
KBTBD6	LGALS3BP	only_in_union
WDR97	MAF1	only_in_union
MUC6	MUC5B	only_in_union
CISD1	CISD2	only_in_union
COX19	COX19	only_in_union
TRAV8-4	TRAV8-6	only_in_union
UBE2F	UBE2F	only_in_union
GP6	LILRA2	only_in_union
CDK2	CDK20	only_in_union
ZNF722	ZNF735	only_in_union
KRTAP26-1	KRTAP11-1	only_in_union
ARL4A	ARL4A	only_in_union
IGLV7-43	IGLV7-43	only_in_single
AGAP3	AGAP3	only_in_single
SLFN13	SLFN13	only_in_single
SPTBN4	SPTBN4	only_in_single
ABCB6	ATG9A	only_in_single
PKD2L2	PKD2L2	only_in_single
ZFAND2A	C3H7orf50	only_in_single
ZNF43	ZNF43	only_in_single
PPAN	PPAN	only_in_single
NME4	DECR2	only_in_single
TNNC2	TNNC2	only_in_single
VAMP5	VAMP5	only_in_single
CD177	CD177	only_in_single
H3C15	H3C13	only_in_single
TINAGL1	SERINC2	only_in_single
MYO15B	MYO15B	only_in_single
TM2D3	TM2D3	only_in_single
CDK20	CDK20	only_in_single
IMPDH	IMPDH2	only_in_single
ZNF681	ZNF681	only_in_single
ROMO1	ROMO1	only_in_single
FAM161B	FAM161B	only_in_single
ARPC1A	ARPC1A	only_in_single
SAGE1	SAGE1	only_in_single
CABP1	CABP1	only_in_single
ASMTL	ASMTL	only_in_single
RNASE9	RAK2	only_in_single
NDUFA11	NDUFA11	only_in_single
HAPSTR1	HAPSTR1	only_in_single
COA5	COA5	only_in_single
PLAAT2	PLAAT3	only_in_single
DGCR6L	DGCR6	only_in_single
CST2	CST2	only_in_single
OR3A2	OR3A2	only_in_single
