human gene name,chimpanzee gene name,correlation,identical_scores,orthology confidence,combo_score
MAPRE1,MAPRE1,1.0000011,100.0,1.0,1.999995623176046
PCNA,PCNA,1.0000011,100.0,1.0,1.999995623176046
LRATD1,LRATD1,1.0000011,100.0,1.0,1.999995623176046
PTDSS1,PTDSS1,1.0000011,100.0,1.0,1.999995623176046
LHFPL2,LHFPL2,1.0000011,100.0,1.0,1.999995623176046
GJB1,GJB1,1.0000011,100.0,1.0,1.999995623176046
MUL1,MUL1,1.0000011,100.0,1.0,1.999995623176046
CTXND1,CTXND1,1.0000011,100.0,1.0,1.999995623176046
PATE4,PATE4,1.0000011,100.0,1.0,1.999995623176046
BARHL1,BARHL1,1.0000011,100.0,1.0,1.999995623176046
H2BC1,H2BC1,1.0000011,100.0,1.0,1.999995623176046
RND2,RND2,1.0000011,100.0,1.0,1.999995623176046
KRBOX1,KRBOX1,1.0000011,100.0,1.0,1.999995623176046
SCAMP3,SCAMP3,1.0000011,100.0,1.0,1.999995623176046
UBE2D1,UBE2D1,1.000001,100.0,1.0,1.9999954481030877
CDH10,CDH10,1.000001,100.0,1.0,1.9999954481030877
FGF16,FGF16,1.000001,100.0,1.0,1.9999954481030877
OTOR,OTOR,1.000001,100.0,1.0,1.9999954481030877
CABP7,CABP7,1.000001,100.0,1.0,1.9999954481030877
FEM1C,FEM1C,1.000001,100.0,1.0,1.9999954481030877
MRPL41,MRPL41,1.000001,100.0,1.0,1.9999954481030877
PSMB1,PSMB1,1.000001,100.0,1.0,1.9999954481030877
RNF144B,RNF144B,1.000001,100.0,1.0,1.9999954481030877
NDUFA8,NDUFA8,1.000001,100.0,1.0,1.9999954481030877
CAMK2N2,CAMK2N2,1.000001,100.0,1.0,1.9999954481030877
TIMM10,TIMM10,1.000001,100.0,1.0,1.9999954481030877
HPCA,HPCA,1.000001,100.0,1.0,1.9999954481030877
MLANA,MLANA,1.000001,100.0,1.0,1.9999954481030877
TRPC5OS,TRPC5OS,1.000001,100.0,1.0,1.9999954481030877
GJD2,GJD2,1.000001,100.0,1.0,1.9999954481030877
ANKRD39,ANKRD39,1.000001,100.0,1.0,1.9999954481030877
CDO1,CDO1,1.000001,100.0,1.0,1.9999954481030877
LIX1L,LIX1L,1.000001,100.0,1.0,1.9999954481030877
TCF23,TCF23,1.000001,100.0,1.0,1.9999954481030877
MED18,MED18,1.000001,100.0,1.0,1.9999954481030877
MED10,MED10,1.0000008,100.0,1.0,1.9999950979571715
CYB5R4,CYB5R4,1.0000008,100.0,1.0,1.9999950979571715
PET117,PET117,1.0000008,100.0,1.0,1.9999950979571715
GPR26,GPR26,1.0000008,100.0,1.0,1.9999950979571715
MYF6,MYF6,1.0000008,100.0,1.0,1.9999950979571715
CLDN2,CLDN2,1.0000008,100.0,1.0,1.9999950979571715
SPACA4,SPACA4,1.0000008,100.0,1.0,1.9999950979571715
DHH,DHH,1.0000008,100.0,1.0,1.9999950979571715
SRPRA,SRPRA,1.0000008,100.0,1.0,1.9999950979571715
DR1,DR1,1.0000008,100.0,1.0,1.9999950979571715
LHX5,LHX5,1.0000008,100.0,1.0,1.9999950979571715
TMEM14A,TMEM14A,1.0000008,100.0,1.0,1.9999950979571715
UBTD1,UBTD1,1.0000008,100.0,1.0,1.9999950979571715
TTC9B,TTC9B,1.0000008,100.0,1.0,1.9999950979571715
S100A3,S100A3,1.0000008,100.0,1.0,1.9999950979571715
AP3S1,AP3S1,1.0000008,100.0,1.0,1.9999950979571715
TMEM167A,TMEM167A,1.0000008,100.0,1.0,1.9999950979571715
HSPB3,HSPB3,1.0000008,100.0,1.0,1.9999950979571715
HOXB13,HOXB13,1.0000008,100.0,1.0,1.9999950979571715
MRPS26,MRPS26,1.0000007,100.0,1.0,1.9999949228842133
MAB21L1,MAB21L1,1.0000007,100.0,1.0,1.9999949228842133
UBTD2,UBTD2,1.0000007,100.0,1.0,1.9999949228842133
ZNF260,ZNF260,1.0000007,100.0,1.0,1.9999949228842133
SLC25A4,SLC25A4,1.0000007,100.0,1.0,1.9999949228842133
SHB,SHB,1.0000007,100.0,1.0,1.9999949228842133
ERG28,ERG28,1.0000007,100.0,1.0,1.9999949228842133
SYNJ2BP,SYNJ2BP,1.0000007,100.0,1.0,1.9999949228842133
PCBD1,PCBD1,1.0000007,100.0,1.0,1.9999949228842133
KCNJ2,KCNJ2,1.0000007,100.0,1.0,1.9999949228842133
INHBA,INHBA,1.0000007,100.0,1.0,1.9999949228842133
MEX3A,MEX3A,1.0000007,100.0,1.0,1.9999949228842133
CDC26,CDC26,1.0000007,100.0,1.0,1.9999949228842133
CYBB,CYBB,1.0000007,100.0,1.0,1.9999949228842133
RHOV,RHOV,1.0000007,100.0,1.0,1.9999949228842133
FAM167B,FAM167B,1.0000007,100.0,1.0,1.9999949228842133
GBX1,GBX1,1.0000007,100.0,1.0,1.9999949228842133
KHDRBS1,KHDRBS1,1.0000007,100.0,1.0,1.9999949228842133
PLCXD3,PLCXD3,1.0000007,100.0,1.0,1.9999949228842133
C6orf62,C6H6orf62,1.0000007,100.0,1.0,1.9999949228842133
LMO1,LMO1,1.0000007,100.0,1.0,1.9999949228842133
SPRR2E,SPRR2E,1.0000007,100.0,1.0,1.9999949228842133
CWC15,CWC15,1.0000007,100.0,1.0,1.9999949228842133
CHAC2,CHAC2,1.0000007,100.0,1.0,1.9999949228842133
SCGB1D4,SCGB1D4,1.0000007,100.0,1.0,1.9999949228842133
NENF,NENF,1.0000007,100.0,1.0,1.9999949228842133
C1orf210,C1H1orf210,1.0000007,100.0,1.0,1.9999949228842133
YPEL5,YPEL5,1.0000007,100.0,1.0,1.9999949228842133
SOX1,SOX1,1.0000006,100.0,1.0,1.9999947478112552
GJB2,GJB2,1.0000006,100.0,1.0,1.9999947478112552
ARPC5L,ARPC5L,1.0000006,100.0,1.0,1.9999947478112552
TUFM,TUFM,1.0000006,100.0,1.0,1.9999947478112552
PYDC1,PYDC1,1.0000006,100.0,1.0,1.9999947478112552
SCRG1,SCRG1,1.0000006,100.0,1.0,1.9999947478112552
GUCA1B,GUCA1B,1.0000006,100.0,1.0,1.9999947478112552
ETDB,ETDB,1.0000006,100.0,1.0,1.9999947478112552
HEXIM1,HEXIM1,1.0000006,100.0,1.0,1.9999947478112552
POFUT1,POFUT1,1.0000006,100.0,1.0,1.9999947478112552
LRRTM3,LRRTM3,1.0000006,100.0,1.0,1.9999947478112552
H2AC7,H2AC7,1.0000006,100.0,1.0,1.9999947478112552
MOB3B,MOB3B,1.0000006,100.0,1.0,1.9999947478112552
ATP5ME,ATP5ME,1.0000006,100.0,1.0,1.9999947478112552
UQCRQ,UQCRQ,1.0000006,100.0,1.0,1.9999947478112552
RPP14,RPP14,1.0000006,100.0,1.0,1.9999947478112552
PHOX2B,PHOX2B,1.0000006,100.0,1.0,1.9999947478112552
PPTC7,PPTC7,1.0000006,100.0,1.0,1.9999947478112552
TSPAN13,TSPAN13,1.0000006,100.0,1.0,1.9999947478112552
CAV3,CAV3,1.0000006,100.0,1.0,1.9999947478112552
IL26,IL26,1.0000006,100.0,1.0,1.9999947478112552
GNG13,GNG13,1.0000006,100.0,1.0,1.9999947478112552
KIAA1143,KIAA1143,1.0000006,100.0,1.0,1.9999947478112552
BTG2,BTG2,1.0000006,100.0,1.0,1.9999947478112552
UBE2Q1,UBE2Q1,1.0000006,100.0,1.0,1.9999947478112552
GPR12,GPR12,1.0000006,100.0,1.0,1.9999947478112552
RTCB,RTCB,1.0000005,100.0,1.0,1.9999945727382973
MAGEH1,MAGEH1,1.0000005,100.0,1.0,1.9999945727382973
MRGBP,MRGBP,1.0000005,100.0,1.0,1.9999945727382973
RCC2,RCC2,1.0000005,100.0,1.0,1.9999945727382973
IL15,IL15,1.0000005,100.0,1.0,1.9999945727382973
MYF5,MYF5,1.0000005,100.0,1.0,1.9999945727382973
MGARP,MGARP,1.0000005,100.0,1.0,1.9999945727382973
C1GALT1C1,C1GALT1C1,1.0000005,100.0,1.0,1.9999945727382973
TMEM35A,TMEM35A,1.0000005,100.0,1.0,1.9999945727382973
TNFAIP8L1,TNFAIP8L1,1.0000005,100.0,1.0,1.9999945727382973
FAM168B,FAM168B,1.0000005,100.0,1.0,1.9999945727382973
POLR1H,POLR1H,1.0000005,100.0,1.0,1.9999945727382973
IMP3,IMP3,1.0000005,100.0,1.0,1.9999945727382973
HOXA2,HOXA2,1.0000005,100.0,1.0,1.9999945727382973
H2BC9,H2BC9,1.0000005,100.0,1.0,1.9999945727382973
CDKN2AIPNL,CDKN2AIPNL,1.0000005,100.0,1.0,1.9999945727382973
HEXIM2,HEXIM2,1.0000005,100.0,1.0,1.9999945727382973
FOXG1,FOXG1,1.0000005,100.0,1.0,1.9999945727382973
NUDT2,NUDT2,1.0000005,100.0,1.0,1.9999945727382973
SPRR2B,SPRR2B,1.0000005,100.0,1.0,1.9999945727382973
HOXB5,HOXB5,1.0000005,100.0,1.0,1.9999945727382973
PRR15L,PRR15L,1.0000005,100.0,1.0,1.9999945727382973
TMEM183A,TMEM183A,1.0000005,100.0,1.0,1.9999945727382973
NHLH1,NHLH1,1.0000005,100.0,1.0,1.9999945727382973
HES1,HES1,1.0000005,100.0,1.0,1.9999945727382973
CST3,CST3,1.0000004,100.0,1.0,1.999994397665339
TMSB15A,TMSB15A,1.0000004,100.0,1.0,1.999994397665339
SCRT1,SCRT1,1.0000004,100.0,1.0,1.999994397665339
TMEM14C,TMEM14C,1.0000004,100.0,1.0,1.999994397665339
CHST2,CHST2,1.0000004,100.0,1.0,1.999994397665339
RBM18,RBM18,1.0000004,100.0,1.0,1.999994397665339
PYDC2,PYDC2,1.0000004,100.0,1.0,1.999994397665339
EPHB4,EPHB4,1.0000004,100.0,1.0,1.999994397665339
CHRM2,CHRM2,1.0000004,100.0,1.0,1.999994397665339
H2AC6,H2AC6,1.0000004,100.0,1.0,1.999994397665339
PGRMC1,PGRMC1,1.0000004,100.0,1.0,1.999994397665339
LRATD2,LRATD2,1.0000004,100.0,1.0,1.999994397665339
NEUROG2,NEUROG2,1.0000004,100.0,1.0,1.999994397665339
MAPK1IP1L,MAPK1IP1L,1.0000004,100.0,1.0,1.999994397665339
SMLR1,SMLR1,1.0000004,100.0,1.0,1.999994397665339
KCNK12,KCNK12,1.0000004,100.0,1.0,1.999994397665339
HOXC13,HOXC13,1.0000004,100.0,1.0,1.999994397665339
S100A11,S100A11,1.0000004,100.0,1.0,1.999994397665339
HTR1B,HTR1B,1.0000004,100.0,1.0,1.999994397665339
B3GALT1,B3GALT1,1.0000004,100.0,1.0,1.999994397665339
UNC119B,UNC119B,1.0000004,100.0,1.0,1.999994397665339
WFDC10A,WFDC10A,1.0000004,100.0,1.0,1.999994397665339
WNT7A,WNT7A,1.0000002,100.0,1.0,1.9999940475194224
BTG1,BTG1,1.0000002,100.0,1.0,1.9999940475194224
HTR1E,HTR1E,1.0000002,100.0,1.0,1.9999940475194224
TMSB10,TMSB10,1.0000002,100.0,1.0,1.9999940475194224
CRH,CRH,1.0000002,100.0,1.0,1.9999940475194224
PIRT,PIRT,1.0000002,100.0,1.0,1.9999940475194224
DOLK,DOLK,1.0000002,100.0,1.0,1.9999940475194224
ATOH7,ATOH7,1.0000002,100.0,1.0,1.9999940475194224
HILPDA,HILPDA,1.0000002,100.0,1.0,1.9999940475194224
COX6A1,COX6A1,1.0000002,100.0,1.0,1.9999940475194224
CTXN1,CTXN1,1.0000002,100.0,1.0,1.9999940475194224
MID1IP1,MID1IP1,1.0000002,100.0,1.0,1.9999940475194224
ZNF689,ZNF689,1.0000002,100.0,1.0,1.9999940475194224
SCUBE3,SCUBE3,1.0000002,100.0,1.0,1.9999940475194224
NAB2,NAB2,1.0000002,100.0,1.0,1.9999940475194224
RNF208,RNF208,1.0000002,100.0,1.0,1.9999940475194224
PLK2,PLK2,1.0000002,100.0,1.0,1.9999940475194224
FZD9,FZD9,1.0000002,100.0,1.0,1.9999940475194224
C2orf69,C2orf69,1.0000002,100.0,1.0,1.9999940475194224
PNMA1,PNMA1,1.0000002,100.0,1.0,1.9999940475194224
BOLA3,BOLA3,1.0000002,100.0,1.0,1.9999940475194224
TBX20,TBX20,1.0000002,100.0,1.0,1.9999940475194224
CHMP5,CHMP5,1.0000002,100.0,1.0,1.9999940475194224
GRPEL1,GRPEL1,1.0000002,100.0,1.0,1.9999940475194224
S100A4,S100A4,1.0000002,100.0,1.0,1.9999940475194224
LSM10,LSM10,1.0000002,100.0,1.0,1.9999940475194224
H3C14,H3C13,1.0000002,100.0,1.0,1.9999940475194224
AMIGO2,AMIGO2,1.0000002,100.0,1.0,1.9999940475194224
STK38,STK38,1.0000002,100.0,1.0,1.9999940475194224
ATP5F1C,ATP5F1C,1.0000001,100.0,1.0,1.9999938724464645
NFX1,NFX1,1.0000001,100.0,1.0,1.9999938724464645
RAB3C,RAB3C,1.0000001,100.0,1.0,1.9999938724464645
DLEU7,DLEU7,1.0000001,100.0,1.0,1.9999938724464645
CRYAA,CRYAA,1.0000001,100.0,1.0,1.9999938724464645
SLC35F1,SLC35F1,1.0000001,100.0,1.0,1.9999938724464645
WFDC13,WFDC13,1.0000001,100.0,1.0,1.9999938724464645
CALML3,CALML3,1.0000001,100.0,1.0,1.9999938724464645
TFAP2D,TFAP2D,1.0000001,100.0,1.0,1.9999938724464645
ZBTB26,ZBTB26,1.0000001,100.0,1.0,1.9999938724464645
NANOS2,NANOS2,1.0000001,100.0,1.0,1.9999938724464645
NXT1,NXT1,1.0000001,100.0,1.0,1.9999938724464645
MRPL18,MRPL18,1.0000001,100.0,1.0,1.9999938724464645
DRD1,DRD1,1.0000001,100.0,1.0,1.9999938724464645
ARG2,ARG2,1.0000001,100.0,1.0,1.9999938724464645
MPV17L2,MPV17L2,1.0000001,100.0,1.0,1.9999938724464645
TIMP3,TIMP3,1.0000001,100.0,1.0,1.9999938724464645
TRIAP1,TRIAP1,1.0000001,100.0,1.0,1.9999938724464645
AGRP,AGRP,1.0000001,100.0,1.0,1.9999938724464645
H2BC17,H2BC17,1.0000001,100.0,1.0,1.9999938724464645
CDKN2D,CDKN2D,1.0000001,100.0,1.0,1.9999938724464645
TSPAN33,TSPAN33,1.0000001,100.0,1.0,1.9999938724464645
NPM3,NPM3,1.0000001,100.0,1.0,1.9999938724464645
MAB21L2,MAB21L2,1.0000001,100.0,1.0,1.9999938724464645
SSTR2,SSTR2,1.0000001,100.0,1.0,1.9999938724464645
RNF11,RNF11,1.0000001,100.0,1.0,1.9999938724464645
DTX1,DTX1,1.0000001,100.0,1.0,1.9999938724464645
LDHAL6A,LDHAL6A,1.0000001,100.0,1.0,1.9999938724464645
H2AC21,H2AC21,1.0000001,100.0,1.0,1.9999938724464645
NPTX2,NPTX2,1.0000001,100.0,1.0,1.9999938724464645
CACNG4,CACNG4,1.0000001,100.0,1.0,1.9999938724464645
S100A8,S100A8,1.0000001,100.0,1.0,1.9999938724464645
PRELP,PRELP,1.0000001,100.0,1.0,1.9999938724464645
DEFB129,DEFB129,1.0,100.0,1.0,1.9999936973735064
COMMD8,COMMD8,1.0,100.0,1.0,1.9999936973735064
CA8,CA8,1.0,100.0,1.0,1.9999936973735064
BARX2,BARX2,1.0,100.0,1.0,1.9999936973735064
ZBTB6,ZBTB6,1.0,100.0,1.0,1.9999936973735064
SMIM30,SMIM30,1.0,100.0,1.0,1.9999936973735064
PFN3,PFN3,1.0,100.0,1.0,1.9999936973735064
CCL27,CCL27,1.0,100.0,1.0,1.9999936973735064
RHOU,RHOU,1.0,100.0,1.0,1.9999936973735064
H1-4,H1-4,1.0,100.0,1.0,1.9999936973735064
DEFB123,DEFB123,1.0,100.0,1.0,1.9999936973735064
C3orf70,C3H3orf70,1.0,100.0,1.0,1.9999936973735064
CLDN1,CLDN1,1.0,100.0,1.0,1.9999936973735064
OTOS,OTOS,1.0,100.0,1.0,1.9999936973735064
UBLCP1,UBLCP1,1.0,100.0,1.0,1.9999936973735064
FZD7,FZD7,1.0,100.0,1.0,1.9999936973735064
SMIM35,SMIM35,1.0,100.0,1.0,1.9999936973735064
IL1A,IL1A,1.0,100.0,1.0,1.9999936973735064
TPRG1L,TPRG1L,1.0,100.0,1.0,1.9999936973735064
CD53,CD53,1.0,100.0,1.0,1.9999936973735064
TMEM35B,TMEM35B,1.0,100.0,1.0,1.9999936973735064
SERTM1,SERTM1,1.0,100.0,1.0,1.9999936973735064
SSTR1,SSTR1,0.99999994,100.0,1.0,1.9999935923297314
DEFB131B,DEFB131B,0.99999994,100.0,1.0,1.9999935923297314
H2BC5,H2BC5,0.99999994,100.0,1.0,1.9999935923297314
ZG16,ZG16,0.99999994,100.0,1.0,1.9999935923297314
NUDT3,NUDT3,0.99999994,100.0,1.0,1.9999935923297314
GPR4,GPR4,0.99999994,100.0,1.0,1.9999935923297314
CHST3,CHST3,0.99999994,100.0,1.0,1.9999935923297314
DNAJA1,DNAJA1,0.99999994,100.0,1.0,1.9999935923297314
ZNF22,ZNF22,0.99999994,100.0,1.0,1.9999935923297314
YJEFN3,YJEFN3,0.99999994,100.0,1.0,1.9999935923297314
TTL,TTL,0.99999994,100.0,1.0,1.9999935923297314
KRTAP20-4,KRTAP20-4,0.9999999,100.0,1.0,1.999993522300548
RAB9B,RAB9B,0.9999999,100.0,1.0,1.999993522300548
ENHO,ENHO,0.9999999,100.0,1.0,1.999993522300548
RBX1,RBX1,0.9999999,100.0,1.0,1.999993522300548
FAM43B,FAM43B,0.9999999,100.0,1.0,1.999993522300548
GNG10,GNG10,0.9999999,100.0,1.0,1.999993522300548
HSD17B8,HSD17B8,0.9999999,100.0,1.0,1.999993522300548
GCG,GCG,0.9999999,100.0,1.0,1.999993522300548
FGF19,FGF19,0.9999999,100.0,1.0,1.999993522300548
SMIM36,SMIM36,0.9999999,100.0,1.0,1.999993522300548
SMIM17,SMIM17,0.9999999,100.0,1.0,1.999993522300548
PHF13,PHF13,0.9999999,100.0,1.0,1.999993522300548
VHL,VHL,0.9999999,100.0,1.0,1.999993522300548
WASF2,WASF2,0.9999999,100.0,1.0,1.999993522300548
FAM216B,FAM216B,0.9999999,100.0,1.0,1.999993522300548
DEFB106B,DEFB106A,0.9999999,100.0,1.0,1.999993522300548
PSAT1,PSAT1,0.9999998,100.0,1.0,1.99999334722759
MIF,MIF,0.9999998,100.0,1.0,1.99999334722759
PAIP2B,PAIP2B,0.9999998,100.0,1.0,1.99999334722759
TMEM31,TMEM31,0.9999998,100.0,1.0,1.99999334722759
SMIM6,SMIM6,0.9999998,100.0,1.0,1.99999334722759
RPS28,RPS28,0.9999998,100.0,1.0,1.99999334722759
RAB25,RAB25,0.9999998,100.0,1.0,1.99999334722759
SVBP,SVBP,0.9999998,100.0,1.0,1.99999334722759
NRGN,NRGN,0.9999998,100.0,1.0,1.99999334722759
SYNDIG1,SYNDIG1,0.99999976,100.0,1.0,1.9999932771984068
MSX1,MSX1,0.99999976,100.0,1.0,1.9999932771984068
S100G,S100G,0.99999976,100.0,1.0,1.9999932771984068
ITM2A,ITM2A,0.99999976,100.0,1.0,1.9999932771984068
KRTAP22-2,KRTAP22-2,0.99999976,100.0,1.0,1.9999932771984068
ALX1,ALX1,0.99999976,100.0,1.0,1.9999932771984068
SEC61G,SEC61G,0.99999976,100.0,1.0,1.9999932771984068
GLIS2,GLIS2,0.99999976,100.0,1.0,1.9999932771984068
SOX9,SOX9,0.99999976,100.0,1.0,1.9999932771984068
NPY5R,NPY5R,0.99999976,100.0,1.0,1.9999932771984068
TMEM60,TMEM60,0.99999976,100.0,1.0,1.9999932771984068
B4GAT1,B4GAT1,0.99999976,100.0,1.0,1.9999932771984068
B3GNT2,B3GNT2,0.99999976,100.0,1.0,1.9999932771984068
PKIA,PKIA,0.99999976,100.0,1.0,1.9999932771984068
GNG12,GNG12,0.99999976,100.0,1.0,1.9999932771984068
LIF,LIF,0.99999976,100.0,1.0,1.9999932771984068
SIX6,SIX6,0.9999997,100.0,1.0,1.9999931721546318
ASPHD2,ASPHD2,0.9999997,100.0,1.0,1.9999931721546318
GPR18,GPR18,0.9999997,100.0,1.0,1.9999931721546318
RGCC,RGCC,0.9999997,100.0,1.0,1.9999931721546318
KCTD4,KCTD4,0.9999997,100.0,1.0,1.9999931721546318
PGAP4,PGAP4,0.9999997,100.0,1.0,1.9999931721546318
EFNB2,EFNB2,0.9999997,100.0,1.0,1.9999931721546318
GNMT,GNMT,0.9999997,100.0,1.0,1.9999931721546318
CRYGA,CRYGA,0.9999997,100.0,1.0,1.9999931721546318
RGS19,RGS19,0.9999997,100.0,1.0,1.9999931721546318
POU4F3,POU4F3,0.9999997,100.0,1.0,1.9999931721546318
FEV,FEV,0.9999997,100.0,1.0,1.9999931721546318
RHOG,RHOG,0.9999997,100.0,1.0,1.9999931721546318
PPP1R17,PPP1R17,0.9999997,100.0,1.0,1.9999931721546318
H2AC1,H2AC1,0.9999997,100.0,1.0,1.9999931721546318
TXN,TXN,0.9999997,100.0,1.0,1.9999931721546318
DEFB130A,DEFB130,0.9999997,100.0,1.0,1.9999931721546318
ZDHHC21,ZDHHC21,0.9999997,100.0,1.0,1.9999931721546318
AQP5,AQP5,0.9999997,100.0,1.0,1.9999931721546318
NR1D1,NR1D1,0.9999997,100.0,1.0,1.9999931721546318
S100A13,S100A13,0.9999997,100.0,1.0,1.9999931721546318
SLC25A6,SLC25A6,0.99999964,100.0,1.0,1.9999930671108568
SPIN4,SPIN4,0.99999964,100.0,1.0,1.9999930671108568
TOB1,TOB1,0.99999964,100.0,1.0,1.9999930671108568
HSPB2,HSPB2,0.99999964,100.0,1.0,1.9999930671108568
TEX19,TEX19,0.99999964,100.0,1.0,1.9999930671108568
KIF4A,KIF4A,0.99999964,100.0,1.0,1.9999930671108568
IGFBPL1,IGFBPL1,0.99999964,100.0,1.0,1.9999930671108568
PEF1,PEF1,0.99999964,100.0,1.0,1.9999930671108568
SERINC1,SERINC1,0.99999964,100.0,1.0,1.9999930671108568
DEFB134,DEFB134,0.99999964,100.0,1.0,1.9999930671108568
GNAT3,GNAT3,0.99999964,100.0,1.0,1.9999930671108568
H2BC3,H2BC3,0.99999964,100.0,1.0,1.9999930671108568
GNAI3,GNAI3,0.99999964,100.0,1.0,1.9999930671108568
PRDX6,PRDX6,0.99999964,100.0,1.0,1.9999930671108568
TOMM22,TOMM22,0.9999996,100.0,1.0,1.9999929970816737
LMO4,LMO4,0.9999996,100.0,1.0,1.9999929970816737
SNN,SNN,0.9999996,100.0,1.0,1.9999929970816737
NIPSNAP3A,NIPSNAP3A,0.9999996,100.0,1.0,1.9999929970816737
STRIT1,STRIT1,0.9999996,100.0,1.0,1.9999929970816737
BHLHE40,BHLHE40,0.9999996,100.0,1.0,1.9999929970816737
CKS2,CKS2,0.9999996,100.0,1.0,1.9999929970816737
AMIGO1,AMIGO1,0.9999996,100.0,1.0,1.9999929970816737
CDC42SE1,CDC42SE1,0.9999996,100.0,1.0,1.9999929970816737
CCND1,CCND1,0.9999996,100.0,1.0,1.9999929970816737
HSDL2,HSDL2,0.9999996,100.0,1.0,1.9999929970816737
HOXC9,HOXC9,0.9999996,100.0,1.0,1.9999929970816737
