gorilla gene name,rhesus_macaque gene name,correlation,identical_scores,orthology confidence,combo_score
ARF5,ARF5,1.0000005,100.0,1.0,1.9999961875253354
TMEM258,TMEM258,1.0000005,100.0,1.0,1.9999961875253354
B3GALT1,B3GALT1,1.0000004,100.0,1.0,1.999995996901602
RPS26,RPS26,1.0000004,100.0,1.0,1.999995996901602
H2AC6,H2AC6,1.0000004,100.0,1.0,1.999995996901602
CRK,CRK,1.0000002,100.0,1.0,1.9999956156541354
SMIM15,SMIM15,1.0000002,100.0,1.0,1.9999956156541354
SST,SST,1.0000002,100.0,1.0,1.9999956156541354
GSKIP,GSKIP,1.0000002,100.0,1.0,1.9999956156541354
ENC1,ENC1,1.0000002,100.0,1.0,1.9999956156541354
MDK,MDK,1.0000002,100.0,1.0,1.9999956156541354
MRPS17,MRPS17,1.0000002,100.0,1.0,1.9999956156541354
S100A4,S100A4,1.0000002,100.0,1.0,1.9999956156541354
USP27X,USP27X,1.0000002,100.0,1.0,1.9999956156541354
H2BC11,H2BC11,1.0000002,100.0,1.0,1.9999956156541354
PSMC2,PSMC2,1.0000001,100.0,1.0,1.9999954250304024
KLF3,KLF3,1.0000001,100.0,1.0,1.9999954250304024
CPEB4,CPEB4,1.0000001,100.0,1.0,1.9999954250304024
MAFG,MAFG,1.0000001,100.0,1.0,1.9999954250304024
CHST11,CHST11,1.0000001,100.0,1.0,1.9999954250304024
RPLP2,RPLP2,1.0000001,100.0,1.0,1.9999954250304024
GIPC1,GIPC1,1.0000001,100.0,1.0,1.9999954250304024
S100A16,S100A16,1.0000001,100.0,1.0,1.9999954250304024
TIMP3,TIMP3,1.0000001,100.0,1.0,1.9999954250304024
ANKRA2,ANKRA2,1.0000001,100.0,1.0,1.9999954250304024
MAB21L2,MAB21L2,1.0000001,100.0,1.0,1.9999954250304024
SAP18,SAP18,1.0000001,100.0,1.0,1.9999954250304024
H2AC21,H2AC21,1.0000001,100.0,1.0,1.9999954250304024
RRAGA,RRAGA,1.0,100.0,1.0,1.999995234406669
GNAT1,GNAT1,1.0,100.0,1.0,1.999995234406669
CBX5,CBX5,1.0,100.0,1.0,1.999995234406669
CRYAB,CRYAB,0.99999994,100.0,1.0,1.999995120032429
H2BC5,H2BC5,0.99999994,100.0,1.0,1.999995120032429
SSTR1,SSTR1,0.99999994,100.0,1.0,1.999995120032429
LAMTOR3,LAMTOR3,0.99999994,100.0,1.0,1.999995120032429
STXBP6,STXBP6,0.9999999,100.0,1.0,1.999995043782936
TMEM50A,TMEM50A,0.9999999,100.0,1.0,1.999995043782936
RING1,RING1,0.9999999,100.0,1.0,1.999995043782936
S100A6,S100A6,0.9999999,100.0,1.0,1.999995043782936
PPP1R11,PPP1R11,0.9999999,100.0,1.0,1.999995043782936
ZNF664,ZNF664,0.9999998,100.0,1.0,1.9999948531592024
IGFBP4,IGFBP4,0.9999998,100.0,1.0,1.9999948531592024
PAIP2B,PAIP2B,0.9999998,100.0,1.0,1.9999948531592024
LHFPL5,LHFPL5,0.9999998,100.0,1.0,1.9999948531592024
RPS28,RPS28,0.9999998,100.0,1.0,1.9999948531592024
SUPT4H1,SUPT4H1,0.9999998,100.0,1.0,1.9999948531592024
NRGN,NRGN,0.9999998,100.0,1.0,1.9999948531592024
EIF2S1,EIF2S1,0.9999998,100.0,1.0,1.9999948531592024
SNRPC,SNRPC,0.9999998,100.0,1.0,1.9999948531592024
KCNS2,KCNS2,0.99999976,100.0,1.0,1.9999947769097093
PRPF38A,PRPF38A,0.99999976,100.0,1.0,1.9999947769097093
SOX21,SOX21,0.99999976,100.0,1.0,1.9999947769097093
GNG7,GNG7,0.99999976,100.0,1.0,1.9999947769097093
ZNF367,ZNF367,0.99999976,100.0,1.0,1.9999947769097093
PGAP4,PGAP4,0.99999976,100.0,1.0,1.9999947769097093
KCTD4,KCTD4,0.9999997,100.0,1.0,1.9999946625354694
DNAJC5,DNAJC5,0.9999997,100.0,1.0,1.9999946625354694
HSPB1,HSPB1,0.9999997,100.0,1.0,1.9999946625354694
RASL10B,RASL10B,0.9999997,100.0,1.0,1.9999946625354694
CCDC126,CCDC126,0.9999997,100.0,1.0,1.9999946625354694
PSMB2,PSMB2,0.9999997,100.0,1.0,1.9999946625354694
SLC23A2,SLC23A2,0.9999997,100.0,1.0,1.9999946625354694
TOB1,TOB1,0.99999964,100.0,1.0,1.9999945481612293
SMIM19,SMIM19,0.99999964,100.0,1.0,1.9999945481612293
GNAI3,GNAI3,0.99999964,100.0,1.0,1.9999945481612293
TOMM22,TOMM22,0.99999964,100.0,1.0,1.9999945481612293
OST4,OST4,0.99999964,100.0,1.0,1.9999945481612293
SNN,SNN,0.9999996,100.0,1.0,1.999994471911736
NHLH2,NHLH2,0.9999996,100.0,1.0,1.999994471911736
AMIGO1,AMIGO1,0.9999996,100.0,1.0,1.999994471911736
CKS2,CKS2,0.9999996,100.0,1.0,1.999994471911736
STRIT1,STRIT1,0.9999996,100.0,1.0,1.999994471911736
GPR22,GPR22,0.9999995,100.0,1.0,1.999994281288003
LMX1A,LMX1A,0.9999995,100.0,1.0,1.999994281288003
RAB10,RAB10,0.9999995,100.0,1.0,1.999994281288003
EMC6,EMC6,0.9999995,100.0,1.0,1.999994281288003
EIF1B,EIF1B,0.9999995,100.0,1.0,1.999994281288003
SH3BGRL2,SH3BGRL2,0.9999995,100.0,1.0,1.999994281288003
H2AX,H2AX,0.99999946,100.0,1.0,1.9999942050385093
TAF13,TAF13,0.99999946,100.0,1.0,1.9999942050385093
ZBTB18,ZBTB18,0.99999946,100.0,1.0,1.9999942050385093
ATG101,ATG101,0.99999946,100.0,1.0,1.9999942050385093
PAIP2,PAIP2,0.99999946,100.0,1.0,1.9999942050385093
PELO,PELO,0.99999946,100.0,1.0,1.9999942050385093
HLF,HLF,0.99999946,100.0,1.0,1.9999942050385093
MSL2,MSL2,0.99999946,100.0,1.0,1.9999942050385093
PRCD,PRCD,0.99999946,100.0,1.0,1.9999942050385093
TMED2,TMED2,0.99999946,100.0,1.0,1.9999942050385093
DDIT4L,DDIT4L,0.99999946,100.0,1.0,1.9999942050385093
NRARP,NRARP,0.99999946,100.0,1.0,1.9999942050385093
MEOX2,MEOX2,0.9999994,100.0,1.0,1.9999940906642695
SF3B4,SF3B4,0.9999994,100.0,1.0,1.9999940906642695
PHLDA3,PHLDA3,0.99999934,100.0,1.0,1.9999939762900296
RAP2C,RAP2C,0.99999934,100.0,1.0,1.9999939762900296
RPS11,RPS11,0.99999934,100.0,1.0,1.9999939762900296
H2BC26,H2BC26,0.99999934,100.0,1.0,1.9999939762900296
DLX3,DLX3,0.9999993,100.0,1.0,1.9999939000405362
GREM2,GREM2,0.9999993,100.0,1.0,1.9999939000405362
LRRC4C,LRRC4C,0.9999992,100.0,1.0,1.999993709416803
SNAI2,SNAI2,0.9999992,100.0,1.0,1.999993709416803
ANAPC13,ANAPC13,0.9999992,100.0,1.0,1.999993709416803
LMO1,LMO1,0.99999917,100.0,1.0,1.999993652229683
H2AC20,H2AC20,0.99999917,100.0,1.0,1.999993652229683
TRAPPC1,TRAPPC1,0.99999917,100.0,1.0,1.999993652229683
RAB39B,RAB39B,0.99999917,100.0,1.0,1.999993652229683
MAD2L1,MAD2L1,0.9999991,100.0,1.0,1.9999935187930697
BOK,BOK,0.9999991,100.0,1.0,1.9999935187930697
CAMK2N1,CAMK2N1,0.9999991,100.0,1.0,1.9999935187930697
DNAJC19,DNAJC19,0.9999991,100.0,1.0,1.9999935187930697
SIAH2,SIAH2,0.99999905,100.0,1.0,1.9999934234812033
BRMS1L,BRMS1L,0.99999905,100.0,1.0,1.9999934234812033
TMEM170B,TMEM170B,0.99999905,100.0,1.0,1.9999934234812033
TMA7,TMA7,0.99999905,100.0,1.0,1.9999934234812033
RPS13,RPS13,0.999999,100.0,1.0,1.9999933281693365
BLCAP,BLCAP,0.999999,100.0,1.0,1.9999933281693365
CACNG2,CACNG2,0.9999989,100.0,1.0,1.9999931375456033
HSPB8,HSPB8,0.9999989,100.0,1.0,1.9999931375456033
BNIP3,BNIP3,0.9999989,100.0,1.0,1.9999931375456033
ZNF146,ZNF146,0.99999887,100.0,1.0,1.9999930803584833
LSM6,LSM6,0.9999988,100.0,1.0,1.99999294692187
PDRG1,PDRG1,0.9999988,100.0,1.0,1.99999294692187
POLE3,POLE3,0.9999988,100.0,1.0,1.99999294692187
JOSD1,JOSD1,0.9999988,100.0,1.0,1.99999294692187
TSPAN18,TSPAN18,0.9999988,100.0,1.0,1.99999294692187
SPCS3,SPCS3,0.99999875,100.0,1.0,1.9999928516100036
RAP2B,RAP2B,0.99999875,100.0,1.0,1.9999928516100036
EIF3I,EIF3I,0.99999875,100.0,1.0,1.9999928516100036
GID8,GID8,0.9999987,100.0,1.0,1.9999927562981368
CLDN12,CLDN12,0.9999986,100.0,1.0,1.9999925656744035
SLC17A7,SLC17A7,0.9999986,100.0,1.0,1.9999925656744035
RGS17,RGS17,0.9999986,100.0,1.0,1.9999925656744035
UBE2H,UBE2H,0.99999857,100.0,1.0,1.9999925084872836
DIRAS2,DIRAS2,0.99999857,100.0,1.0,1.9999925084872836
ARL14EP,ARL14EP,0.99999857,100.0,1.0,1.9999925084872836
KCND3,KCND3,0.9999985,100.0,1.0,1.9999923750506703
GPR139,GPR139,0.9999985,100.0,1.0,1.9999923750506703
PCBP1,PCBP1,0.9999985,100.0,1.0,1.9999923750506703
RPL9,RPL9,0.99999845,100.0,1.0,1.9999922797388037
SMPX,SMPX,0.99999845,100.0,1.0,1.9999922797388037
ERH,ERH,0.99999845,100.0,1.0,1.9999922797388037
HOXC12,HOXC12,0.99999845,100.0,1.0,1.9999922797388037
CDKN2C,CDKN2C,0.99999845,100.0,1.0,1.9999922797388037
SH3BGRL,SH3BGRL,0.99999845,100.0,1.0,1.9999922797388037
HAS2,HAS2,0.9999984,100.0,1.0,1.999992184426937
FGF9,FGF9,0.9999984,100.0,1.0,1.999992184426937
DPY30,DPY30,0.9999984,100.0,1.0,1.999992184426937
LSM8,LSM8,0.99999833,100.0,1.0,1.999992050990324
CPLX3,CPLX3,0.9999983,100.0,1.0,1.9999919938032038
EGR3,EGR3,0.9999983,100.0,1.0,1.9999919938032038
NTMT1,NTMT1,0.9999983,100.0,1.0,1.9999919938032038
HOXC4,HOXC4,0.9999982,100.0,1.0,1.9999918031794706
BRK1,BRK1,0.9999982,100.0,1.0,1.9999918031794706
NEUROD1,NEUROD1,0.99999803,100.0,1.0,1.999991479119124
BBLN,BBLN,0.999998,100.0,1.0,1.999991421932004
DNAL4,DNAL4,0.999998,100.0,1.0,1.999991421932004
NEUROD6,NEUROD6,0.9999979,100.0,1.0,1.9999912313082708
WDR82,WDR82,0.9999979,100.0,1.0,1.9999912313082708
FUT9,FUT9,0.99999785,100.0,1.0,1.9999911359964042
NDP,NDP,0.99999785,100.0,1.0,1.9999911359964042
JAGN1,JAGN1,0.9999978,100.0,1.0,1.9999910406845376
MACIR,MACIR,0.9999978,100.0,1.0,1.9999910406845376
EIF4EBP2,EIF4EBP2,0.99999774,100.0,1.0,1.9999909263102977
CTXN2,CTXN2,0.9999977,100.0,1.0,1.9999908500608043
NUTF2,NUTF2,0.9999976,100.0,1.0,1.999990659437071
TBPL1,TBPL1,0.9999974,100.0,1.0,1.9999902781896046
LRRC8A,LRRC8A,0.99999714,100.0,1.0,1.9999897825678983
NFYA,NFYA,0.9999828,100.0,1.0,1.9999624471245507
PITPNB,PITPNB,0.9999653,100.0,1.0,1.9999290879712328
DPYSL5,DPYSL5,0.99992424,100.0,1.0,1.999850817866362
ELAVL4,ELAVL4,0.99990034,100.0,1.0,1.9998052587941164
ZBTB14,ZBTB14,0.99986655,100.0,1.0,1.9997408470346527
MCRS1,MCRS1,0.9998642,100.0,1.0,1.9997363673769213
IRF6,IRF6,0.9998424,100.0,1.0,1.999694811403074
KCNK2,KCNK2,0.9998337,100.0,1.0,1.9996782271382814
SUV39H1,SUV39H1,0.9998117,100.0,1.0,1.9996362899169673
TNPO1,TNPO1,0.9997979,100.0,1.0,1.9996099838417796
LDB1,LDB1,0.99978,100.0,1.0,1.9995758621935285
SMU1,SMU1,0.9997464,100.0,1.0,1.999511812619158
PIANP,PIANP,0.9997272,100.0,1.0,1.9994752128623747
CDK17,CDK17,0.99971163,100.0,1.0,1.9994455327471083
RIC8B,RIC8B,0.99968493,100.0,1.0,1.9993946362103316
KCNJ2,KCNJ2,0.9996497,100.0,1.0,1.9993274794691094
RPL10A,RPL10A,0.99962735,100.0,1.0,1.999284875064729
NCKAP1,NCKAP1,0.99960995,100.0,1.0,1.999251706535144
KCNC2,KCNC2,0.9995817,100.0,1.0,1.999197855330502
PCBD1,PCBD1,0.9995317,100.0,1.0,1.9991025434638794
RTF1,RTF1,0.9999907,99.9297,1.0,1.9990589327888033
SEC61G,SEC61G,0.99943924,100.0,1.0,1.9989262927601201
ABI1,ABI1,0.9994106,100.0,1.0,1.9988716981229189
INO80D,INO80D,0.9999654,99.9026,1.0,1.9986566033505904
PFDN4,PFDN4,0.99928725,100.0,1.0,1.9986365637479602
POLR3B,POLR3B,0.99924564,100.0,1.0,1.9985572452125568
ATP2B1,ATP2B1,0.999243,100.0,1.0,1.998552212745999
RNF24,RNF24,0.9992339,100.0,1.0,1.9985348659862736
CSNK1D,CSNK1D,0.99921083,100.0,1.0,1.9984908890910138
TSG101,TSG101,0.9992085,100.0,1.0,1.9984864475580293
BCLAF1,BCLAF1,0.99957865,99.9457,1.0,1.9984825313911392
CFL2,CFL2,0.9991117,100.0,1.0,1.9983019237842474
ZNHIT1,ZNHIT1,0.99905235,100.0,1.0,1.9981887885985659
PRKG1,PRKG1,0.9990232,100.0,1.0,1.998133221780325
MSTN,MSTN,0.9998893,99.86699999999999,1.0,1.9980463719678263
CREB1,CREB1,0.99896455,100.0,1.0,1.998021420960776
NPR2,NPR2,0.99961746,99.9045,1.0,1.9980181734469369
CACNB4,CACNB4,0.99895066,100.0,1.0,1.9979949433242283
GLRA3,GLRA3,0.99894595,100.0,1.0,1.9979859649463925
TRIM23,TRIM23,0.99892986,100.0,1.0,1.9979552935877132
FLRT3,FLRT3,0.9999651,99.8459,1.0,1.9979151620096152
PPARA,PPARA,0.99963164,99.89314999999999,1.0,1.9978968993335466
ABHD17B,ABHD17B,0.99889886,100.0,1.0,1.9978962002304073
KIF3A,KIF3A,0.9998343,99.8623,1.0,1.9978801164540838
PSMD14,PSMD14,0.998875,100.0,1.0,1.9978507174076547
POU2F1,POU2F1,0.9997692,99.8695,1.0,1.9978500990665693
TOX4,TOX4,0.9999644,99.839,1.0,1.9978236689249382
EFR3B,EFR3B,0.9996874,99.8776,1.0,1.9978000073484568
ASTN1,ASTN1,0.99936515,99.9227,1.0,1.997775020658846
PDK2,PDK2,0.998819,100.0,1.0,1.997743968117037
CSNK1G3,CSNK1G3,0.9988153,100.0,1.0,1.997736915038907
ABCG4,ABCG4,0.99987066,99.8452,1.0,1.9977259904192741
GATAD2B,GATAD2B,0.99993753,99.8314,1.0,1.9976731430726073
CALU,CALU,0.9987788,100.0,1.0,1.9976673373762721
CLCN3,CLCN3,0.9995649,99.8845,1.0,1.9976566519937746
STT3A,STT3A,0.9987684,100.0,1.0,1.9976475125080149
SUPT6H,SUPT6H,0.9991426,99.9421,1.0,1.9976042772709068
UBL3,UBL3,0.9987367,100.0,1.0,1.997587084784576
PABPC4,PABPC4,0.9997646,99.8485,1.0,1.9975669342749234
CYRIA,CYRIA,0.9987045,100.0,1.0,1.9975257039424705
ATP6V1C1,ATP6V1C1,0.9987045,100.0,1.0,1.9975257039424705
HSF2,HSF2,0.9999498,99.8134,1.0,1.997461335947605
CLIP3,CLIP3,0.999912,99.8172,1.0,1.9974389328040423
UGCG,UGCG,0.9986519,100.0,1.0,1.9974254358587835
CLVS2,CLVS2,0.998651,100.0,1.0,1.997423720245184
BMPR1A,BMPR1A,0.99993855,99.812,1.0,1.997421597704287
VANGL2,VANGL2,0.99995756,99.8081,1.0,1.9974068760002783
AKT3,AKT3,0.9986332,100.0,1.0,1.9973897892206665
MTF2,MTF2,0.9997867,99.8314,1.0,1.997385625295753
SUDS3,SUDS3,0.99860895,100.0,1.0,1.9973435629653546
GRIN2B,GRIN2B,0.99999326,99.7978,1.0,1.9973403439192783
FZD10,FZD10,0.9997804,99.8279,1.0,1.9973278833172388
PLAG1,PLAG1,0.9999561,99.8,1.0,1.9972982543980906
MIB1,MIB1,0.99925023,99.9006,1.0,1.99726718663564
MMP16,MMP16,0.9985572,100.0,1.0,1.9972449151834
KCNA1,KCNA1,0.9999374,99.798,1.0,1.9972364747980769
ANGPT1,ANGPT1,0.99992305,99.7992,1.0,1.9972248000694943
CHD4,CHD4,0.99997985,99.7908,1.0,1.9972233159100112
GNB1,GNB1,0.998519,100.0,1.0,1.9971720969173
ZNF639,ZNF639,0.9999316,99.7938,1.0,1.9971705394015653
CASK,CASK,0.99848354,100.0,1.0,1.9971045017414908
XPOT,XPOT,0.99919635,99.896,1.0,1.9971043727558042
KCNV1,KCNV1,0.9998327,99.80080000000001,1.0,1.9970734778960244
TFAP2D,TFAP2D,0.9999777,99.7788,1.0,1.9970624197283653
RNF2,RNF2,0.99845326,100.0,1.0,1.9970467808750643
CSK,CSK,0.9999586,99.7778,1.0,1.997012944114367
GPR180,GPR180,0.9999851,99.7727,1.0,1.99699682035084
TGFB2,TGFB2,0.9999735,99.7738,1.0,1.9969890811268267
COPB1,COPB1,0.9998533,99.7901,1.0,1.9969729350389245
CCDC6,CCDC6,0.9998566,99.789,1.0,1.9969648524930785
ZIC1,ZIC1,0.99992746,99.7763,1.0,1.9969339841624116
KCNK12,KCNK12,0.9999496,99.7674,1.0,1.9968598965765112
FBXL3,FBXL3,0.99995273,99.7664,1.0,1.9968527966184135
AKTIP,AKTIP,0.99951863,99.82935,1.0,1.9968478339680966
B3GALT2,B3GALT2,0.99996805,99.763,1.0,1.9968375741391222
PELI1,PELI1,0.9999795,99.7608,1.0,1.9968306542984924
GNB2,GNB2,0.9983381,100.0,1.0,1.9968272585838585
IKZF4,IKZF4,0.9994888,99.8291,1.0,1.9967877042882323
SNX30,SNX30,0.9998771,99.7712,1.0,1.996771346997512
SND1,SND1,0.9998152,99.7802,1.0,1.9967709492351688
HMGB2,HMGB2,0.9999473,99.76075,1.0,1.9967686201323396
PACSIN3,PACSIN3,0.99992055,99.7642,1.0,1.9967627076429686
TEF,TEF,0.9983018,100.0,1.0,1.9967580621686902
WNT10A,WNT10A,0.99994373,99.7602,1.0,1.996754628300541
SYT1,SYT1,0.99992436,99.763,1.0,1.996754290630067
RAB11A,RAB11A,0.99829733,100.0,1.0,1.996749541287814
PCSK2,PCSK2,0.9993694,99.8433,1.0,1.9967456435802045
TGFB3,TGFB3,0.99991804,99.7573,1.0,1.9966677642687198
KIF5A,KIF5A,0.9989072,99.9031,1.0,1.996645956245858
FBXL7,FBXL7,0.9996382,99.7963,1.0,1.9966439155705933
ZER1,ZER1,0.99913627,99.8695,1.0,1.9966435842717374
LHX2,LHX2,0.9999295,99.7537,1.0,1.9966425704171358
PDS5A,PDS5A,0.9992513,99.8504,1.0,1.996613288965975
CELF1,CELF1,0.9988884,99.90275,1.0,1.996605545715676
DRD1,DRD1,0.9997548,99.7758,1.0,1.9965983199841155
LHX5,LHX5,0.9999223,99.7512,1.0,1.9965961793059708
GJC1,GJC1,0.9999384,99.7475,1.0,1.9965785237475142
EFTUD2,EFTUD2,0.99819994,100.0,1.0,1.9965638928340061
CDH6,CDH6,0.99993104,99.7468,1.0,1.9965553473040836
PROKR2,PROKR2,0.9999644,99.7396,1.0,1.9965248607186656
ACTN1,ACTN1,0.999673,99.7812,1.0,1.996512948767442
TGFB1,TGFB1,0.9999229,99.7436,1.0,1.9964980177931624
GABPA,GABPA,0.9996646,99.7797,1.0,1.9964773366524264
TAF5L,TAF5L,0.9993165,99.8302,1.0,1.9964736327248933
VPS36,VPS36,0.9998967,99.7409,1.0,1.9964127948764911
ABTB2,ABTB2,0.9994569,99.8049,1.0,1.9964106864783753
NEUROD2,NEUROD2,0.9999113,99.7382,1.0,1.9964053464429843
ARHGAP35,ARHGAP35,0.9999422,99.7332,1.0,1.9963989167718152
MCM6,MCM6,0.9989462,99.8782,1.0,1.9963949441262083
POLR2B,POLR2B,0.9981074,100.0,1.0,1.9963874896312603
PLPPR4,PLPPR4,0.9998989,99.7379,1.0,1.9963777891557775
STAT5B,STAT5B,0.9989702,99.8729,1.0,1.9963714414731608
AGO1,AGO1,0.9980911,100.0,1.0,1.9963564179627413
RAD21,RAD21,0.99917275,99.8415,1.0,1.9963472623430696
PDE4B,PDE4B,0.99901557,99.8641,1.0,1.9963429424285881
CAMSAP2,CAMSAP2,0.9999251,99.7314,1.0,1.996342800447723
CXCR3,CXCR3,0.9999198,99.7283,1.0,1.996292191298921
SMAD2,SMAD2,0.99805605,100.0,1.0,1.9962896043442386
RRAGC,RRAGC,0.9997624,99.7494,1.0,1.9962678522908037
WNT1,WNT1,0.9998864,99.7297,1.0,1.9962468160453444
PIP4K2B,PIP4K2B,0.99802476,100.0,1.0,1.9962299581781062
DNAAF10,DNAAF10,0.9999365,99.7199,1.0,1.9962142670224061
GKAP1,GKAP1,0.9998863,99.7268,1.0,1.9962087326268612
CCR7,CCR7,0.99982464,99.7355,1.0,1.996204872417193
INTS13,INTS13,0.99994785,99.7167,1.0,1.9961940900770947
CEPT1,CEPT1,0.9996516,99.7596,1.0,1.9961899193000414
POU3F4,POU3F4,0.99989665,99.723,1.0,1.9961788095556479
IL1RAPL1,IL1RAPL1,0.9999527,99.7126,1.0,1.9961497627562688
PJVK,PJVK,0.99992687,99.7159,1.0,1.996143644033101
ZNF711,ZNF711,0.99967486,99.7522,1.0,1.996137566421376
ZDHHC17,ZDHHC17,0.99905634,99.8418,1.0,1.9961292771994827
ISL2,ISL2,0.9998616,99.7215,1.0,1.9960923962157229
PAQR8,PAQR8,0.9998849,99.7175,1.0,1.996084545621775
HERC3,HERC3,0.9999052,99.7143,1.0,1.996081429500589
CCDC47,CCDC47,0.9993576,99.793,1.0,1.996065905987976
MTA2,MTA2,0.9999662,99.7028,1.0,1.9960474454469623
TAB2,TAB2,0.9999016,99.7114,1.0,1.996036674251442
HOXD10,HOXD10,0.999939,99.7059,1.0,1.9960361018824595
FEM1B,FEM1B,0.99791336,100.0,1.0,1.9960176033392705
JPH1,JPH1,0.9999741,99.6974,1.0,1.9959919457247675
RARB,RARB,0.9978989,100.0,1.0,1.9959900391474432
PSMD1,PSMD1,0.9993364,99.7901,1.0,1.9959876009617776
CDC42,CDC42,0.99789375,100.0,1.0,1.995980222025181
