human gene name,mice gene name,correlation,identical_scores,orthology confidence,combo_score
PPP3R1,Ppp3r1,0.99588406,100.0,1.0,1.9935026575935697
NFYA,Nfya,0.99766225,99.7118,1.0,1.9934256971905655
NCKAP1,Nckap1,0.99976665,99.3794,1.0,1.9934213229492967
RBM8A,Rbm8a,0.9957628,100.0,1.0,1.9933113737029102
HNRNPA3,Hnrnpa3,0.9965842,99.86805,1.0,1.99328760673761
DNAJC5,Dnajc5,0.9988462,99.4949,1.0,1.9931243416103763
SUMO2,Sumo2,0.99564195,100.0,1.0,1.99312073657454
POU3F3,Pou3f3,0.99963063,99.2988,1.0,1.9924007556162313
DCX,Dcx,0.9985793,99.4536,1.0,1.9922903151348936
HPCA,Hpca,0.99510455,100.0,1.0,1.9922730047351833
UHMK1,Uhmk1,0.9995802,99.284,1.0,1.9921732038546782
TMEM60,Tmem60,0.999746,99.2481,1.0,1.9920757482144946
TAFA1,Tafa1,0.9997214,99.2481,1.0,1.9920369424771511
RIMS4,Rims4,0.99961585,99.2565,1.0,1.9919544406244456
SPIN1,Spin1,0.99963635,99.2366,1.0,1.9917877787388978
CNBP,Cnbp,0.99653405,99.7191,1.0,1.9917189966673758
SF3A3,Sf3a3,0.99977,99.2016,1.0,1.991648607470439
RPS8,Rps8,0.99457175,100.0,1.0,1.991432529253216
FZD2,Fzd2,0.99956894,99.20895,1.0,1.991404941553764
ACVR2A,Acvr2a,0.99691266,99.6101,1.0,1.99122624220459
RPS14,Rps14,0.9944304,100.0,1.0,1.9912095540103931
NUDCD2,Nudcd2,0.9983693,99.3631,1.0,1.9910540466453799
RNF11,Rnf11,0.99838555,99.3506,1.0,1.9909546805165919
EFNA5,Efna5,0.99974895,99.1228,1.0,1.9908274017480374
NOG,Nog,0.9996496,99.1379,1.0,1.9908216802031173
HNRNPH2,Hnrnph2,0.99977374,99.1091,1.0,1.9907295072044904
POU3F1,Pou3f1,0.99969757,99.11155,1.0,1.9906338513909363
RHOV,Rhov,0.9993788,99.1525,1.0,1.9905405015985438
TAX1BP3,Tax1bp3,0.99910533,99.1936,1.0,1.9905201111517468
PPP1CA,Ppp1ca,0.9959058,99.697,1.0,1.9905069517695795
VPS4A,Vps4a,0.99975955,99.0847,1.0,1.9904631229194134
H2AC21,H2ac21,0.99882406,99.2308,1.0,1.9904484164467675
AP3S1,Ap3s1,0.99381953,100.0,1.0,1.9902459255237765
UBL3,Ubl3,0.99921256,99.1453,1.0,1.9902062631523685
PHLDA3,Phlda3,0.99878114,99.21260000000001,1.0,1.990198711477387
CBX1,Cbx1,0.99371636,100.0,1.0,1.9900831780472852
GDF11,Gdf11,0.99835396,99.2617,1.0,1.9900158482709553
POU4F1,Pou4f1,0.9996786,99.04820000000001,1.0,1.9899704268040506
RPL15,Rpl15,0.9936161,100.0,1.0,1.9899250210055772
PRPF4,Prpf4,0.99962616,99.0403,1.0,1.9898087043298118
KCNK12,Kcnk12,0.999435,99.0698,1.0,1.9898021553562137
LRRC8A,Lrrc8a,0.99968433,99.0123,1.0,1.9896204657014072
MSI1,Msi1,0.99676967,99.4475,1.0,1.9893746799126109
PAX2,Pax2,0.99794,99.2386,1.0,1.9891318392046733
HAS2,Has2,0.9998584,98.913,1.0,1.9889020557298343
ACVR2B,Acvr2b,0.99666005,99.4141,1.0,1.9888677577610845
HOXA13,Hoxa13,0.99933255,98.96705,1.0,1.9886130436574008
POU3F4,Pou3f4,0.99975,98.892,1.0,1.988521058090485
CHMP2B,Chmp2b,0.99563026,99.5305,1.0,1.9884072959619572
GRIK3,Grik3,0.9987748,99.0207,1.0,1.9882697103239413
HOXB5,Hoxb5,0.9996246,98.8848,1.0,1.9882512434781754
NR2F2,Nr2f2,0.99243015,100.0,1.0,1.9880542216477712
WDR83OS,Wdr83os,0.9923325,100.0,1.0,1.987900181800147
WNT1,Wnt1,0.99916214,98.9189,1.0,1.9878627271655054
RALA,Rala,0.99537605,99.5146,1.0,1.987847287568055
AGO4,Ago4,0.9996362,98.8386,1.0,1.9878075421185484
CRIPT,Cript,0.99850494,99.0099,1.0,1.9877360145402259
HOXD10,Hoxd10,0.9996107,98.8235,1.0,1.9876163166591074
HSPA2,Hspa2,0.9990913,98.9016,1.0,1.9875779792617092
ESRRG,Esrrg,0.992108,100.0,1.0,1.9875460400101665
CNIH2,Cnih2,0.991892,100.0,1.0,1.9872053067066664
LHX5,Lhx5,0.9997741,98.7562,1.0,1.9872010750933295
TMEM47,Tmem47,0.99886674,98.895,1.0,1.9871577428235887
SF3B6,Sf3b6,0.9918562,100.0,1.0,1.987148833316549
CA8,Car8,0.9994652,98.79545,1.0,1.9871062949199443
CACNG2,Cacng2,0.99967587,98.7616,1.0,1.9871001203136867
C1QL3,C1ql3,0.9943107,99.6078,1.0,1.9870987309713701
GLRA3,Glra3,0.9986108,98.9224,1.0,1.987028005408321
SNX3,Snx3,0.9917431,100.0,1.0,1.9869704215729107
LIN7C,Lin7c,0.9917366,100.0,1.0,1.9869601680244258
CLIC4,Clic4,0.999184,98.8142,1.0,1.9868502106377945
KCNJ9,Kcnj9,0.99958354,98.7277,1.0,1.9866154726011303
SV2A,Sv2a,0.9983488,98.9218,1.0,1.9866087085309272
KCTD12,Kctd12,0.999282,98.7739,1.0,1.986601802599568
SF3B5,Sf3b5,0.9988773,98.8372,1.0,1.9865964008962043
CDC40,Cdc40,0.9991686,98.791,1.0,1.9865939176152303
SSTR1,Sstr1,0.9995326,98.7212,1.0,1.9864701163303882
ONECUT2,Onecut2,0.99959207,98.71170000000001,1.0,1.9864689284116808
RAP2C,Rap2c,0.9914009,100.0,1.0,1.9864306116819024
TNPO1,Tnpo1,0.99634665,99.219,1.0,1.9864223789772095
PFDN6,Pfdn6,0.9961936,99.2248,1.0,1.9862389473471138
CKS2,Cks2,0.99928916,98.7342,1.0,1.9862160972775915
FGF14,Fgf14,0.9989519,98.7854,1.0,1.986196080083432
ROMO1,Romo1,0.99118423,100.0,1.0,1.986088821474174
RND2,Rnd2,0.9995603,98.6784,1.0,1.986085812221624
LMO1,Lmo1,0.9992931,98.7179,1.0,1.9860593125054424
PRPF38A,Prpf38a,0.9992057,98.7179,1.0,1.9859214417150444
SLC32A1,Slc32a1,0.99950886,98.6667,1.0,1.9858876672163832
KLHL9,Klhl9,0.99924767,98.7034,1.0,1.9858426480888773
GOLGA7B,Golga7b,0.9985968,98.8024,1.0,1.985805920842353
BZW1,Bzw1,0.9908248,100.0,1.0,1.9855218317923353
GUCY1B1,Gucy1b1,0.9983619,98.7894,1.0,1.9853053733747967
WNT3,Wnt3,0.99781644,98.8732,1.0,1.985282927135319
ARF3,Arf3,0.99059004,100.0,1.0,1.9851515051704385
FGF17,Fgf17,0.99936163,98.6111,1.0,1.9850994164558537
CALM1,Calm1,0.9904829,100.0,1.0,1.9849824951420265
MB21D2,Mb21d2,0.99936986,98.5743,1.0,1.9847443990257048
POLR2J,Polr2j,0.9903234,100.0,1.0,1.9847308888368955
GJB1,Gjb1,0.99927306,98.5866,1.0,1.9847147000267287
UPF1,Upf1,0.99908173,98.61099999999999,1.0,1.9846568828834013
ATP1A2,Atp1a2,0.9958658,99.1176,1.0,1.9846498530096721
NXT1,Nxt1,0.9993168,98.5714,1.0,1.9846316985206873
ELOC,Eloc,0.99021095,100.0,1.0,1.9845535024481058
PLAGL2,Plagl2,0.99915594,98.5887,1.0,1.9845509468577196
C6orf62,BC005537,0.9901532,100.0,1.0,1.9844624036134895
BRK1,Brk1,0.9985786,98.6667,1.0,1.9844202109065954
ARF5,Arf5,0.9900631,100.0,1.0,1.984320273656798
UBTD1,Ubtd1,0.998298,98.6784,1.0,1.9840945731058446
GNB1,Gnb1,0.98990905,100.0,1.0,1.984077264557704
KCNJ2,Kcnj2,0.99950707,98.47965,1.0,1.9840143435468773
SOX14,Sox14,0.9923837,99.5833,1.0,1.9838139482128287
NT5C2,Nt5c2,0.9936148,99.37565000000001,1.0,1.9836794702958804
PLCXD3,Plcxd3,0.99943244,98.4424,1.0,1.98352411703558
HOXC13,Hoxc13,0.9991542,98.48115,1.0,1.9834727020616638
CYRIB,Cyrib,0.9914011,99.6914,1.0,1.9833449271757022
ZIC2,Zic2,0.99958557,98.39855,1.0,1.9833271748631958
IGF2BP1,Igf2bp1,0.9938168,99.3068,1.0,1.9833096190334127
PRMT8,Prmt8,0.9990363,98.4772,1.0,1.9832472184668366
KCNJ6,Kcnj6,0.9952891,99.05715000000001,1.0,1.9831356266387066
VSNL1,Vsnl1,0.98929316,100.0,1.0,1.983105717176719
MAPRE3,Mapre3,0.99375844,99.2883,1.0,1.983032557942708
ANAPC10,Anapc10,0.9926568,99.4595,1.0,1.9830067549960968
GNG8,Gng8,0.99826384,98.5714,1.0,1.9829706867648835
MOB4,Mob4,0.9891633,100.0,1.0,1.9829008670526798
TNIK,Tnik,0.99656713,98.8235,1.0,1.9828151793418192
CADM4,Cadm4,0.9988978,98.4536,1.0,1.982792739010657
OLIG3,Olig3,0.9994838,98.34895,1.0,1.982670635843301
TRIAP1,Triap1,0.9973182,98.6842,1.0,1.9826069689819117
C1QL1,C1ql1,0.99879366,98.4496,1.0,1.9825884613892382
SMIM15,Smim15,0.9974843,98.6487,1.0,1.9825139865824273
B3GAT1,B3gat1,0.9983973,98.503,1.0,1.9824972157773149
QRICH1,Qrich1,0.99337375,99.29175000000001,1.0,1.9824602213939881
GALNT18,Galnt18,0.99826735,98.5173,1.0,1.9824352236810656
CBX3,Cbx3,0.98886603,100.0,1.0,1.9824319328437374
CLIC1,Clic1,0.9993476,98.3402,1.0,1.9823682845658162
STMN1,Stmn1,0.99728227,98.6577,1.0,1.9822852905208248
FLNC,Flnc,0.9995199,98.2939,1.0,1.9821770824741174
NLGN3,Nlgn3,0.9958089,98.87805,1.0,1.9821645950237037
GNAI3,Gnai3,0.9993885,98.3051,1.0,1.9820818030478216
DYNLL2,Dynll2,0.9886234,100.0,1.0,1.982049191540829
HMGB1,Hmgb1,0.994486,99.0698,1.0,1.9819952612866647
POU4F2,Pou4f2,0.99939525,98.29325,1.0,1.9819739509635559
GNAZ,Gnaz,0.9991247,98.3099,1.0,1.9817136667262316
ABI1,Abi1,0.9988945,98.3368,1.0,1.9816195333629647
MYH3,Myh3,0.99976534,98.1959,1.0,1.9815842564649095
YPEL4,Ypel4,0.9933193,99.2126,1.0,1.981582828207064
ACTB,Actb,0.98830456,100.0,1.0,1.9815462313256065
VDAC1,Vdac1,0.9972439,98.5866,1.0,1.9815137630353836
ACTR3B,Actr3b,0.9973795,98.5646,1.0,1.9815076678314698
RAB33A,Rab33a,0.99895763,98.3122,1.0,1.9814731189807886
SNRPD2,Snrpd2,0.9881343,100.0,1.0,1.9812776514540607
NEUROD6,Neurod6,0.9993164,98.2196,1.0,1.9811130675330881
PTPN11,Ptpn11,0.9933438,99.1608,1.0,1.981103476197507
SPTBN1,Sptbn1,0.9986108,98.3288,1.0,1.9810920054083212
ATP2B3,Atp2b3,0.99924475,98.1967,1.0,1.9807710418794042
MOB3B,Mob3b,0.99954295,98.1481,1.0,1.9807554431345142
FZR1,Fzr1,0.9980851,98.3773,1.0,1.9807477299562373
BTK,Btk,0.99833333,98.3308,1.0,1.9806743050855329
TRAPPC5,Trappc5,0.99444824,98.9362,1.0,1.9805996960573118
SNRPG,Snrpg,0.9876257,100.0,1.0,1.9804753507218371
KCNS2,Kcns2,0.99956435,98.1132,1.0,1.9804402009710649
CNIH3,Cnih3,0.98758185,100.0,1.0,1.9804061787062888
SNRPB,Snrpb,0.99026096,99.5671,1.0,1.9803033916726798
HMBOX1,Hmbox1,0.99354804,99.0476,1.0,1.9802936584655946
FBXW2,Fbxw2,0.9972718,98.4582,1.0,1.9802737744204193
TNNC2,Tnnc2,0.9953967,98.75,1.0,1.9802338623028575
SOX2,Sox2,0.9994147,98.11415,1.0,1.980213632735561
KCNJ4,Kcnj4,0.9988384,98.2022,1.0,1.9801850373521943
GJD2,Gjd2,0.9992655,98.1308,1.0,1.980144774361106
EIF2S1,Eif2s1,0.9933884,99.0476,1.0,1.980041831314804
MAFK,Mafk,0.9995376,98.0769,1.0,1.9800350036753769
OGT,Ogt,0.989719,99.6176,1.0,1.979953466574694
SLC25A5,Slc25a5,0.99789476,98.3222,1.0,1.9798964745072176
RHOC,Rhoc,0.987249,100.0,1.0,1.979881118150409
EEF1G,Eef1g,0.9987982,98.1693,1.0,1.9797926230984875
MARCHF5,Marchf5,0.9871506,100.0,1.0,1.9797258952010364
CACNG4,Cacng4,0.9987806,98.1651,1.0,1.979722859644128
CREB1,Creb1,0.9890562,99.6942,1.0,1.9796739201230276
RPS5,Rps5,0.99331015,99.0196,1.0,1.979638394365735
NEUROD2,Neurod2,0.9995051,98.03935,1.0,1.9796082359329517
LMX1B,Lmx1b,0.9972283,98.3812,1.0,1.9794351545190196
PEA15,Pea15a,0.99182695,99.2308,1.0,1.9794106923483668
KLHL12,Klhl12,0.99135226,99.2958,1.0,1.979311883589855
CNEP1R1,Cnep1r1,0.9868685,100.0,1.0,1.9792808911967892
WNT5A,Wnt5a,0.9951551,98.6842,1.0,1.9791947457930164
RAP1A,Rap1a,0.9867744,100.0,1.0,1.979132451364107
ID4,Id4,0.99855304,98.1366,1.0,1.9790788907990147
CHTOP,Chtop,0.99301344,98.9944,1.0,1.9789183435394315
ANAPC15,Anapc15,0.9865941,100.0,1.0,1.9788480337038243
CNKSR2,Cnksr2,0.9951503,98.6448,1.0,1.9787931739418276
UBLCP1,Ublcp1,0.9985145,98.1132,1.0,1.978784095143844
CPNE4,Cpne4,0.98993486,99.4614,1.0,1.9787319790325346
TLNRD1,Tlnrd1,0.99871725,98.0663,1.0,1.9786349269831245
STEEP1,Steep1,0.9893069,99.5496,1.0,1.9786233916007472
RPS23,Rps23,0.9864505,100.0,1.0,1.9786215091557562
RAB9B,Rab9b,0.9990604,98.0099,1.0,1.9786122354696807
TRPC7,Trpc7,0.9982015,98.1439,1.0,1.9785973473475682
SIX2,Six2,0.9982534,98.1332,1.0,1.9785722179885477
SIX6,Six6,0.99929714,97.9675,1.0,1.9785616854801928
RPL24,Rpl24,0.9864099,100.0,1.0,1.9785574639144503
TRIM3,Trim3,0.9949034,98.6559,1.0,1.9785146968462988
GLRA2,Glra2,0.99479073,98.6726,1.0,1.9785039634143293
KIF3B,Kif3b,0.9990949,97.992,1.0,1.978487658150101
RPS29,Rps29,0.9862869,100.0,1.0,1.9783634352277346
SLC41A1,Slc41a1,0.99919224,97.95134999999999,1.0,1.9782347089823356
GRIK4,Grik4,0.99938166,97.908,1.0,1.9781000131598772
ATAD1,Atad1,0.9860871,100.0,1.0,1.9780482569219973
CDC5L,Cdc5l,0.9995213,97.8803,1.0,1.9780432909307142
RPS27A,Rps27a,0.99014014,99.359,1.0,1.9780318018683793
U2SURP,U2surp,0.99081373,99.2225,1.0,1.977729369210531
UGCG,Ugcg,0.99713975,98.2234,1.0,1.9777174696392743
EIF4A3,Eif4a3,0.99044126,99.2701,1.0,1.9776178093329628
MEOX2,Meox2,0.9993696,97.8586,1.0,1.9775869888837652
ARPP19,Arpp19,0.9914537,99.1071,1.0,1.9775849020449803
CASK,Cask,0.9892154,99.45935,1.0,1.9775765531874592
ZRANB1,Zranb1,0.9902607,99.2938,1.0,1.9775699815307406
MYH10,Myh10,0.9963847,98.3238,1.0,1.9775304016725714
BARHL1,Barhl1,0.99930185,97.8593,1.0,1.977487115359172
POU4F3,Pou4f3,0.99129677,99.1124,1.0,1.9773903498351735
SIAH1,Siah1a,0.9879038,99.6454,1.0,1.9773680448500939
ARHGAP35,Arhgap35,0.9996101,97.7985,1.0,1.9773653701777087
HNRNPL,Hnrnpl,0.9969385,98.21340000000001,1.0,1.9773000040034903
CSDE1,Csde1,0.9951427,98.4962,1.0,1.9772951851774452
PAX5,Pax5,0.9904454,99.2327,1.0,1.9772503400546135
GTF2F2,Gtf2f2,0.9983044,97.992,1.0,1.9772406689074298
CHMP5,Chmp5,0.99420583,98.6301,1.0,1.9771563017975826
RORB,Rorb,0.9965051,98.2571,1.0,1.977053328939893
CHMP1B,Chmp1b,0.9981803,97.99,1.0,1.977024905004817
FOXP2,Foxp2,0.98851925,99.5102,1.0,1.9769868981447196
DOK6,Dok6,0.98731655,99.6979,1.0,1.9769666761812026
SFRP2,Sfrp2,0.9982896,97.9661,1.0,1.9769583223662641
SSR3,Ssr3,0.9922282,98.9189,1.0,1.9769246517836885
AP3S2,Ap3s2,0.9853634,100.0,1.0,1.9769066426083715
TSPAN5,Tspan5,0.9853488,100.0,1.0,1.9768836115610053
NRXN2,Nrxn2,0.9964347,98.2467,1.0,1.976838275122456
GRIN1,Grin1,0.99827594,97.95609999999999,1.0,1.9768367741397554
CNOT4,Cnot4,0.9982069,97.9625,1.0,1.9767918656801555
RBX1,Rbx1,0.98524094,100.0,1.0,1.9767134657549148
CGGBP1,Cggbp1,0.99660456,98.2036,1.0,1.9766752240064027
MAP3K7,Map3k7,0.9894006,99.3399,1.0,1.9766742004458306
FBXL7,Fbxl7,0.99542046,98.3707,1.0,1.9764783429662423
PPM1L,Ppm1l,0.9903607,99.1667,1.0,1.9764567284305092
EPHA7,Epha7,0.9970786,98.0962,1.0,1.9763490074100662
PRKAA2,Prkaa2,0.99871844,97.8261,1.0,1.9762348041712319
SEC61A1,Sec61a1,0.98493475,100.0,1.0,1.9762304605225132
TBR1,Tbr1,0.9890993,99.33975000000001,1.0,1.9761974090368277
ZDHHC15,Zdhhc15,0.99806696,97.9229,1.0,1.976175114668619
CYTH2,Cyth2,0.9896493,99.2481,1.0,1.976148516985555
ZMIZ1,Zmiz1,0.998803,97.80324999999999,1.0,1.976139694949676
UCHL3,Uchl3,0.99587417,98.2609,1.0,1.9760960564251828
TMEM203,Tmem203,0.99883235,97.7941,1.0,1.9760944936647584
STT3B,Stt3b,0.9990662,97.75655,1.0,1.9760878847898673
ZYG11B,Zyg11b,0.9967642,98.1183,1.0,1.9760740511571933
RPS10,Rps10,0.9924356,98.7879,1.0,1.9759418188538085
RIMS3,Rims3,0.9981357,97.88645,1.0,1.97591904988752
TRPC4AP,Trpc4ap,0.99968696,97.6161,1.0,1.9756626144448712
UBE2D1,Ube2d1,0.9845201,100.0,1.0,1.9755763630026226
WNT6,Wnt6,0.9991934,97.6682,1.0,1.975405038846373
VWC2L,Vwc2l,0.99295694,98.6487,1.0,1.9753722165410625
ARL4C,Arl4c,0.998556,97.7612,1.0,1.975329560107248
YWHAQ,Ywhaq,0.9869373,99.5918,1.0,1.97530742106383
DCUN1D1,Dcun1d1,0.9916654,98.8417,1.0,1.9752648522317906
RBM39,Rbm39,0.9890863,99.2442,1.0,1.9752214019398577
SNN,Snn,0.9985982,97.7273,1.0,1.9750571292989503
LINGO2,Lingo2,0.998763,97.6898,1.0,1.9749420961897686
HOXA5,Hoxa5,0.9981908,97.7778,1.0,1.9749194684292928
LHFPL5,Lhfpl5,0.995677,98.1735,1.0,1.9749110268629089
MAD2L2,Mad2l2,0.99310863,98.5782,1.0,1.9749065028133215
RAB40C,Rab40c,0.9885758,99.2883,1.0,1.974857104016539
NEUROD1,Neurod1,0.99915975,97.6159,1.0,1.974828957014601
RAB11A,Rab11a,0.98400784,100.0,1.0,1.9747682887338678
CDC42,Cdc42,0.98395044,100.0,1.0,1.9746777420134007
SLITRK1,Slitrk1,0.99942285,97.5575,1.0,1.9746599891078922
HOXB6,Hoxb6,0.9980667,97.7679,1.0,1.9746247045266796
H2BC3,H2bc3,0.99900746,97.619,1.0,1.974619724260943
CSK,Csk,0.9895253,99.1111,1.0,1.974582910829842
DDB1,Ddb1,0.98603356,99.6491,1.0,1.9744547992318608
ID2,Id2,0.9932531,98.5075,1.0,1.974427399759417
RXRG,Rxrg,0.9947401,98.2721,1.0,1.9744190961589767
TUBG2,Tubg2,0.99920624,97.561,1.0,1.9743532935483032
SYT7,Syt7,0.99707466,97.8879,1.0,1.9742597921822154
TLK2,Tlk2,0.9878932,99.3333,1.0,1.9742303236787184
EMC3,Emc3,0.9860522,99.6169,1.0,1.9741622032539778
PCDH7,Pcdh7,0.99712074,97.8486,1.0,1.9739394819536287
COPZ1,Copz1,0.9834808,100.0,1.0,1.9739368994733273
SLITRK2,Slitrk2,0.9995882,97.45715,1.0,1.9739173236066598
DES,Des,0.99895,97.5507,1.0,1.973846082892336
CCNC,Ccnc,0.9901158,98.9399,1.0,1.9738024062729758
PLN,Pln,0.99552053,98.0769,1.0,1.9736982002888408
SMARCA5,Smarca5,0.99809265,97.67005,1.0,1.97368713984717
PTN,Ptn,0.99837804,97.619,1.0,1.9736268337244196
SFN,Sfn,0.9985993,97.5806,1.0,1.9735918645148476
RASL10B,Rasl10b,0.9894895,99.0148,1.0,1.9735634374397248
DPF3,Dpf3,0.98491436,99.7355,1.0,1.9735532959296505
SNRPC,Snrpc,0.9871584,99.3711,1.0,1.9734491994592185
KLHDC8B,Klhdc8b,0.9974529,97.7401,1.0,1.9733784540558998
WDR45B,Wdr45b,0.98865455,99.1279,1.0,1.9733773297001067
PRDM12,Prdm12,0.993492,98.36135,1.0,1.9733427571029645
CELF3,Celf3,0.9857993,99.5699,1.0,1.9732932613444631
KCNJ3,Kcnj3,0.98934793,99.002,1.0,1.9732121151537223
NMNAT2,Nmnat2,0.9912798,98.6971,1.0,1.973210580186283
TP63,Trp63,0.9960488,97.9412,1.0,1.9731745298362484
CSMD3,Csmd3,0.99867105,97.5182,1.0,1.9730810479154315
TRRAP,Trrap,0.99273634,98.44835,1.0,1.973020726880173
