zebrafish gene name,frog gene name,correlation,identical_scores,orthology confidence,combo_score
R3HDM2,r3hdm2,0.9807122,61.03145000000001,1.0,1.547686001506894
ADGRB3,adgrb3,0.94132215,69.51294999999999,1.0,1.5465354520114025
mt-nd4l,nd4l,0.9791198,61.2245,1.0,1.5460698853593924
DMGDH,dmgdh,0.9440993,68.6327,1.0,1.543659461865069
GPR153,gpr153,0.9605917,65.00605,1.0,1.5433503281418601
RYR3,ryr3,0.90885526,76.0488,1.0,1.5408210254797496
ANO8,ano8,0.9644808,63.82939999999999,1.0,1.539909951767028
foxd1,foxd1,0.97126746,62.22935,1.0,1.5386547243884439
ADAMTS15,adamts15,0.97300553,61.821200000000005,1.0,1.5383502759024603
DOCK3,dock3,0.9122001,75.04544999999999,1.0,1.5379525605483186
HCN4,hcn4,0.97739255,60.80995,1.0,1.537780362242748
pex3,pex3,0.9717606,61.95055,1.0,1.5368607776554086
gpr78a,gpr78,0.9757994,61.0594,1.0,1.536753384922754
KLHL28,fpgt,0.91639745,73.95035,1.0,1.5360708417437499
UNC5C,unc5c,0.95983255,64.4534,1.0,1.5358260990386283
DOCK9,dock9,0.94566405,67.5339,1.0,1.5357236641748329
stat5a,stat5b,0.8876019,79.9494,1.0,1.5331216097279992
KLHL12,klhl12,0.9537863,65.3873,1.0,1.5317944546310087
cptp,cptp,0.97550726,60.5687,1.0,1.5309452377841564
PLCB4,plcb4,0.94867444,66.29625,1.0,1.5296364508052744
FAXC,faxc,0.94243795,67.58275,1.0,1.5288639964619222
FOXB2,foxb2,0.96395475,62.859700000000004,1.0,1.5285492796686704
SMAD4,smad4,0.96984583,61.50145,1.0,1.5277808341586194
acp1,acp1,0.9574759,64.1132,1.0,1.5268773371322912
MINDY4B,mindy4b,0.97641265,59.9735,1.0,1.5267786143203976
tm2d1,tm2d1,0.9821385,58.6215,1.0,1.5256981048423937
MCHR2,mchr2,0.9553365,64.4386,1.0,1.525397875059662
PIEZO1,piezo1,0.9793093,59.188900000000004,1.0,1.525177713581304
DNAJC16,dnajc16,0.9830849,58.28075,1.0,1.5242908323692275
dkk2,dkk2,0.97897726,59.07045,1.0,1.5231781290215745
KCNH8,kcnh8,0.9811409,58.571799999999996,1.0,1.5228979920705914
fras1,fras1,0.9663744,61.71895000000001,1.0,1.5221273993084972
RASA2,rasa2,0.981362,58.304199999999994,1.0,1.5205997843054644
COL4A1,col4a1,0.98353887,57.727999999999994,1.0,1.5195374548054548
tmtops2a,tmtops2,0.96931595,60.7689,1.0,1.5188958199300002
mep1a.2,mep1a,0.9784655,58.5854,1.0,1.5169273546888442
TBC1D4,tbc1d4,0.96183556,62.07984999999999,1.0,1.5155372770239524
FLNB,flnb,0.9863926,56.70325,1.0,1.5153226472055379
JAKMIP3,jakmip3,0.9568948,63.11175,1.0,1.51505826296677
GUCY1A2,gucy1a2,0.9580779,62.7749,1.0,1.514232691198319
gad3,gad1.2,0.96239465,61.82145,1.0,1.5141077343056173
OIT3,oit3,0.9733836,59.1522,1.0,1.5112534069105976
RIMS1,rims1,0.961658,61.648399999999995,1.0,1.510611647062287
CUBN,cubn,0.9800293,57.599599999999995,1.0,1.5101731865890606
TMCO3,tmco3,0.9393389,66.4733,1.0,1.5101601529628823
NAV2,nav2,0.94863,64.2433,1.0,1.5080279810789672
spo11,spo11,0.98047525,57.2688,1.0,1.5077266561699885
dusp22a,dusp22a,0.96144164,61.39125,1.0,1.507423347399084
SLITRK5,slitrk5,0.98983467,55.17215,1.0,1.507147580066718
HERC1,herc1,0.88305765,78.4065,1.0,1.506574710297254
MAST3,mast3,0.96808654,59.81295,1.0,1.5060720631379598
CDK2AP1,cdk2ap1,0.9468564,64.42525,1.0,1.5058815500821936
zgc:63587,septin5,0.93670267,66.62620000000001,1.0,1.505738338381774
col9a1b,col9a1,0.97611946,57.92705,1.0,1.504669861964503
GCNT4,gcnt4,0.97159827,58.9064,1.0,1.5045990181616142
zgc:171844,bmerb1l,0.9478564,64.0831,1.0,1.504582083520031
CEMIP,cemip,0.96472675,60.3395,1.0,1.5039113597002385
stxbp3,stxbp3,0.97933006,56.88495,1.0,1.501088718280819
add2,add2,0.9782876,56.90675,1.0,1.4989351451378505
PLPPR4,plppr4,0.93449146,66.4085,1.0,1.4984052205883116
uox,uox,0.9711617,58.38265,1.0,1.498114622612488
ACAP3,acap3,0.941191,64.84215,1.0,1.4973039746200796
fbln5,fbln5,0.9679473,58.85615,1.0,1.4957303681669427
HPSE2,hpse2,0.93139094,66.7824,1.0,1.4952377540063928
ndufab1b,ndufab1,0.95813304,60.93785,1.0,1.4951135470592032
prok1,PROK1,0.9629792,59.717,1.0,1.493396945628774
ints6,ints6,0.92628056,67.7185,1.0,1.4933675582329216
cables1,cables1,0.93727237,65.22545,1.0,1.4923656560938023
SFMBT2,sfmbt2,0.9643913,59.25985,1.0,1.4918343478784581
CAMTA1,camta1,0.97005117,57.9765,1.0,1.4913222633132652
MYT1,myt1,0.97158706,57.6351,1.0,1.4912551271210281
TPR,tpr,0.9772222,56.375,1.0,1.4909301056638615
SLC30A8,slc30a8,0.9705738,57.76225,1.0,1.4902719320978228
PRSS12,prss12,0.96658736,58.599149999999995,1.0,1.4899306350810044
alpi.1,alpi.2,0.957768,60.46955,1.0,1.4893734930648521
GTPBP6,gtpbp6,0.9829357,54.807649999999995,1.0,1.487565347252413
zswim7,zswim7,0.9620394,59.2127,1.0,1.4859664630493854
tox2,tox2,0.9738155,56.64385,1.0,1.485962522771747
PEX5L,pex5l,0.953251,61.127399999999994,1.0,1.4859441542036067
CALHM1,calhm1,0.9661008,58.246750000000006,1.0,1.4851270968982047
hdac9b,hdac9,0.9856585,53.935,1.0,1.4846447893682133
PDZRN3,pdzrn3,0.893439,74.04390000000001,1.0,1.4845923384084911
RASSF4,rassf4,0.9446666,62.859700000000004,1.0,1.4844771296782902
CPZ,cpz,0.9696476,57.4018,1.0,1.4843795128507211
gna15.1,gna11,0.9710817,57.03175,1.0,1.4837796527123583
CACNA2D4,cacna2d4,0.9515594,61.27445,1.0,1.4836194716039484
tcf3b,tcf3,0.96581966,58.12525,1.0,1.4832118633483655
NELL2,nell2,0.95352495,60.725300000000004,1.0,1.482357668587287
SGPP1,sgpp1,0.9592137,59.4658,1.0,1.4821614281077697
NPY2R,npy2r,0.9705771,56.964600000000004,1.0,1.481923204313166
parapinopsina,parapinopsin,0.9530211,60.6739,1.0,1.4806679325998866
CDCP2,cdcp2,0.97056186,56.697199999999995,1.0,1.4790870704650452
MICAL2,mical2,0.97448856,55.813,1.0,1.4787963455846262
CABIN1,cabin1,0.9829303,53.94015,1.0,1.478464984352443
myl13,myl3,0.96938944,56.886399999999995,1.0,1.4783902478861743
SLC25A13,slc25a13,0.8914099,73.88655,1.0,1.4783075631054028
ATP8A1,atp8a1,0.9420041,62.78535,1.0,1.4776145941893022
zgc:194209,apmapl,0.97352135,55.91095,1.0,1.4776124694000758
MYOM1,myom1,0.94651026,61.7241,1.0,1.4767931021353058
CC2D2A,cc2d2a,0.9651181,57.545249999999996,1.0,1.4755327020233113
si:ch211-153b23.4,satpa,0.98078156,54.09205,1.0,1.4751465761448692
tlcd4b,tlcd4.2,0.9588845,58.51395,1.0,1.4714375438094005
MCTP1,mctp1,0.9534341,59.6066,1.0,1.4704304595822904
tbc1d12b,tbc1d12,0.9732296,55.180099999999996,1.0,1.4692893758927754
NAA40,naa40,0.863639,79.07015000000001,1.0,1.4691568459255526
chst6,chst6,0.97191375,55.446200000000005,1.0,1.4690704379837636
USP34,usp34,0.8749803,76.4878,1.0,1.468017988872079
AADAT,aadat,0.9548843,59.05454999999999,1.0,1.4679607351067352
BEST2,best2,0.9092601,68.66675000000001,1.0,1.464410900285378
ADGRL2,adgrl2,0.88828903,73.23519999999999,1.0,1.4643529677200355
ARHGEF38,arhgef38,0.9802414,53.095,1.0,1.4634671420559284
NYAP2,nyap2,0.9605904,57.3028,1.0,1.4626472737480127
SNAP91,snap91,0.9676106,55.76835,1.0,1.4626129025865389
CHRNA9,chrna9,0.9468644,60.14485,1.0,1.4610578940768841
urad,urad,0.9721497,54.4417,1.0,1.4590863170224921
FILIP1,filip1,0.96632236,55.658249999999995,1.0,1.4585159396304563
dapk2a,dapk2,0.9114237,67.62855,1.0,1.45847828751342
DVL1,dvl1,0.9428361,60.74185,1.0,1.4581077312564603
ANK3,ank3,0.95425564,58.22215,1.0,1.4578039756472916
PLCH1,plch1,0.9894233,50.4836,1.0,1.4570898675375754
JMJD1C,jmjd1c,0.9663413,55.49705,1.0,1.4568704675658393
zgc:86896,arpc1a,0.92767125,63.8342,1.0,1.4558528442759586
pde8a,pde8a,0.93626016,61.8329,1.0,1.4545121006260744
GNPAT,gnpat,0.9620458,56.1377,1.0,1.453767052519732
lgi1b,lgi1,0.9087817,67.70734999999999,1.0,1.453267009211882
NEB,kcne3,0.9452572,59.6149,1.0,1.451833734350015
prok2,prok2,0.96606743,55.0264,1.0,1.451314112150155
NTNG1,ntng1,0.9503656,58.4004,1.0,1.4507828573052022
arhgap29b,arhgap29,0.97897786,52.1424,1.0,1.450600495429998
IFFO2,iffo2,0.9336978,61.9785,1.0,1.4501825985273695
SLC12A1,slc12a1,0.9534936,57.65435,1.0,1.450114430038672
BEND4,bend4,0.9741723,53.0245,1.0,1.4488610833752373
GPR135,gpr135,0.9230616,64.1692,1.0,1.4488295945998184
cyp1c2,cyp1c1,0.95386523,57.349000000000004,1.0,1.4477647002889378
pdx1,pdx1,0.9783084,51.959,1.0,1.447149505178471
ZMIZ1,zmiz1,0.84653,80.65174999999999,1.0,1.4466329233357098
ak8,ak8,0.9716461,53.34715,1.0,1.4464689995274336
antxr1c,znf300,0.9029804,68.2354,1.0,1.4455433306941066
zgc:112496,linc02867,0.9651263,54.6542,1.0,1.4452644845615632
OCA2,cela2a,0.90054774,68.68565000000001,1.0,1.4447017310380121
npas2,pasd1,0.971763,53.08085,1.0,1.4439463205793603
CARTPT,mgc145330,0.93544155,60.972300000000004,1.0,1.4436258916867786
RBSN,rbsn,0.97609895,52.03945,1.0,1.4429438606637026
serinc2,serinc2,0.9250572,62.9216,1.0,1.4403194157617158
ITGB1,itgb1,0.87089247,74.7227,1.0,1.4401861876810749
b3gnt7l,XB5969542,0.96784914,53.453050000000005,1.0,1.438902616382281
tmem110l,tmem110l,0.93936425,59.66505,1.0,1.4388941093047423
tmem276b,tmem178.2,0.9027269,67.62625,1.0,1.438582578335863
PDGFD,pdgfd,0.9595848,55.2181,1.0,1.438510000395669
LRRN3,lrrn3,0.98477185,49.6836,1.0,1.438080724298755
GPR18,gpr18,0.9530518,56.55665,1.0,1.4376053217233844
dnajc5ga,dnajc5g,0.9626477,54.46045,1.0,1.4375713010644944
C13H10orf53,c10orf53,0.92960846,61.623400000000004,1.0,1.4371186602864436
NCK1,nck1,0.93475705,60.32765,1.0,1.4353084309115896
lrrc75bb,lrrc75b,0.9678763,52.96685,1.0,1.4338711911630968
tgfbr2l,tgfbr2l,0.96641845,53.28295,1.0,1.433851598056823
rragca,mycbp,0.8671954,74.87935,1.0,1.4333797091086486
TMEM117,tmem117,0.9422225,58.355549999999994,1.0,1.431706557667683
ldb3a,ldb3,0.9774963,50.56675,1.0,1.430708547994345
ccdc80,ccdc80,0.9632407,53.666,1.0,1.4306035224152231
ZBTB17,zbtb17,0.9536716,55.75,1.0,1.4305709707801082
ddx3xa,ddx3x,0.86776793,74.44845000000001,1.0,1.4301737471608467
COL4A2,col4a2,0.9744555,51.14785,1.0,1.4298481873845652
OSBPL8,osbpl8,0.94772834,56.95745,1.0,1.4296403912484994
arhgef6,arhgef6,0.91999114,62.9974,1.0,1.42953789198972
dnaaf9,dnaaf9,0.971405,51.7201,1.0,1.428872949353278
kdrl,kdrl,0.97864103,50.13225,1.0,1.4287723112978552
LRRC18,lrrc18,0.94663,57.0928,1.0,1.4285486981303874
SBSPON,sbspon,0.97128177,51.709900000000005,1.0,1.4284845206265495
TMEM179,tmem179,0.9635955,53.27425,1.0,1.4273102014384427
PPARGC1A,ppargc1a,0.960176,53.966449999999995,1.0,1.4267484319891168
CTXN1,ctxn1,0.9301354,60.4285,1.0,1.4258047811862369
DEPDC7,depdc7,0.9634761,53.14135,1.0,1.4256451054772874
CNNM1,cnnm1,0.96097785,53.5677,1.0,1.4244032580024528
NDUFB1,ndufb1,0.95550793,54.736050000000006,1.0,1.4241446132884183
LTBP1,ltbp1,0.9821756,48.8061,1.0,1.4229556790236635
shcbp1,shcbp1,0.9749293,50.3828,1.0,1.4229160421952902
KYAT3,kyat3,0.89620465,67.55335,1.0,1.4229159591462373
asb2a.1,asb2,0.9682976,51.79185,1.0,1.422524406195906
si:dkey-16j16.4,mgc86483,0.9682754,51.6535,1.0,1.4210243110286949
