chimpanzee gene name,gorilla gene name,correlation,identical_scores,orthology confidence,combo_score
NOVA1,NOVA1,1.0000018,100.0,1.0,1.9999960187485093
RHO,RHO,1.0000018,100.0,1.0,1.9999960187485093
KCNJ9,KCNJ9,1.0000018,100.0,1.0,1.9999960187485093
MCTS1,MCTS1,1.0000018,100.0,1.0,1.9999960187485093
SEC61B,SEC61B,1.0000018,100.0,1.0,1.9999960187485093
SMIM38,SMIM38,1.0000017,100.0,1.0,1.9999958196859353
ENOX1,ENOX1,1.0000017,100.0,1.0,1.9999958196859353
PKNOX1,PKNOX1,1.0000017,100.0,1.0,1.9999958196859353
DERL1,DERL1,1.0000017,100.0,1.0,1.9999958196859353
CDC42,CDC42,1.0000017,100.0,1.0,1.9999958196859353
SLC7A7,SLC7A7,1.0000017,100.0,1.0,1.9999958196859353
GCNT4,GCNT4,1.0000015,100.0,1.0,1.999995421560786
NDUFS4,NDUFS4,1.0000015,100.0,1.0,1.999995421560786
H2AC12,H2AC12,1.0000015,100.0,1.0,1.999995421560786
CCDC172,CCDC172,1.0000015,100.0,1.0,1.999995421560786
PAQR4,PAQR4,1.0000015,100.0,1.0,1.999995421560786
RPL38,RPL38,1.0000015,100.0,1.0,1.999995421560786
LHX1,LHX1,1.0000015,100.0,1.0,1.999995421560786
SLC6A1,SLC6A1,1.0000015,100.0,1.0,1.999995421560786
COX7A2L,COX7A2L,1.0000015,100.0,1.0,1.999995421560786
MSTN,MSTN,1.0000015,100.0,1.0,1.999995421560786
YWHAB,YWHAB,1.0000015,100.0,1.0,1.999995421560786
PHB2,PHB2,1.0000015,100.0,1.0,1.999995421560786
NDUFB5,NDUFB5,1.0000015,100.0,1.0,1.999995421560786
MACROD1,MACROD1,1.0000015,100.0,1.0,1.999995421560786
RIMKLB,RIMKLB,1.0000015,100.0,1.0,1.999995421560786
HES2,HES2,1.0000015,100.0,1.0,1.999995421560786
WNT11,WNT11,1.0000015,100.0,1.0,1.999995421560786
TCP1,TCP1,1.0000015,100.0,1.0,1.999995421560786
GAST,GAST,1.0000015,100.0,1.0,1.999995421560786
ZNF581,ZNF581,1.0000014,100.0,1.0,1.9999952224982112
IGFBP5,IGFBP5,1.0000014,100.0,1.0,1.9999952224982112
ASCL2,ASCL2,1.0000014,100.0,1.0,1.9999952224982112
TMEM88,TMEM88,1.0000014,100.0,1.0,1.9999952224982112
MACROH2A1,MACROH2A1,1.0000014,100.0,1.0,1.9999952224982112
KLRK1,KLRK1,1.0000014,100.0,1.0,1.9999952224982112
INTS13,INTS13,1.0000014,100.0,1.0,1.9999952224982112
PHF5A,PHF5A,1.0000014,100.0,1.0,1.9999952224982112
SOAT1,SOAT1,1.0000014,100.0,1.0,1.9999952224982112
DUSP6,DUSP6,1.0000014,100.0,1.0,1.9999952224982112
SAR1A,SAR1A,1.0000014,100.0,1.0,1.9999952224982112
SMAP2,SMAP2,1.0000014,100.0,1.0,1.9999952224982112
ASF1A,ASF1A,1.0000014,100.0,1.0,1.9999952224982112
GNAZ,GNAZ,1.0000014,100.0,1.0,1.9999952224982112
DHRS7C,DHRS7C,1.0000014,100.0,1.0,1.9999952224982112
ABCD2,ABCD2,1.0000014,100.0,1.0,1.9999952224982112
MICOS10,MICOS10,1.0000014,100.0,1.0,1.9999952224982112
CLIC1,CLIC1,1.0000014,100.0,1.0,1.9999952224982112
ERAS,ERAS,1.0000013,100.0,1.0,1.9999950234356372
UPF3B,UPF3B,1.0000013,100.0,1.0,1.9999950234356372
FERD3L,FERD3L,1.0000013,100.0,1.0,1.9999950234356372
MED30,MED30,1.0000013,100.0,1.0,1.9999950234356372
TMEM229B,TMEM229B,1.0000013,100.0,1.0,1.9999950234356372
GPR171,GPR171,1.0000013,100.0,1.0,1.9999950234356372
SMIM32,SMIM32,1.0000013,100.0,1.0,1.9999950234356372
SLC25A1,SLC25A1,1.0000013,100.0,1.0,1.9999950234356372
DUSP1,DUSP1,1.0000013,100.0,1.0,1.9999950234356372
EPC2,EPC2,1.0000013,100.0,1.0,1.9999950234356372
PSENEN,PSENEN,1.0000013,100.0,1.0,1.9999950234356372
VAX2,VAX2,1.0000013,100.0,1.0,1.9999950234356372
CDK2AP2,CDK2AP2,1.0000013,100.0,1.0,1.9999950234356372
PATE1,PATE1,1.0000013,100.0,1.0,1.9999950234356372
HBE1,HBE1,1.0000013,100.0,1.0,1.9999950234356372
PDIK1L,PDIK1L,1.0000013,100.0,1.0,1.9999950234356372
SPINK6,SPINK6,1.0000013,100.0,1.0,1.9999950234356372
TMEM54,TMEM54,1.0000013,100.0,1.0,1.9999950234356372
PROK1,PROK1,1.0000013,100.0,1.0,1.9999950234356372
RBIS,RBIS,1.0000013,100.0,1.0,1.9999950234356372
DNAJB5,DNAJB5,1.0000013,100.0,1.0,1.9999950234356372
MOB2,MOB2,1.0000013,100.0,1.0,1.9999950234356372
PLGRKT,PLGRKT,1.0000013,100.0,1.0,1.9999950234356372
RCN1,RCN1,1.0000013,100.0,1.0,1.9999950234356372
EAF1,EAF1,1.0000013,100.0,1.0,1.9999950234356372
MARCKSL1,MARCKSL1,1.0000013,100.0,1.0,1.9999950234356372
MXD1,MXD1,1.0000013,100.0,1.0,1.9999950234356372
HERC3,HERC3,1.0000013,100.0,1.0,1.9999950234356372
PIP4K2C,PIP4K2C,1.0000013,100.0,1.0,1.9999950234356372
FKBP14,FKBP14,1.0000013,100.0,1.0,1.9999950234356372
SNCA,SNCA,1.0000013,100.0,1.0,1.9999950234356372
STK38L,STK38L,1.0000013,100.0,1.0,1.9999950234356372
LTB4R2,LTB4R2,1.0000012,100.0,1.0,1.9999948243730623
CTXN3,CTXN3,1.0000012,100.0,1.0,1.9999948243730623
LSAMP,LSAMP,1.0000012,100.0,1.0,1.9999948243730623
MYL12A,MYL12A,1.0000012,100.0,1.0,1.9999948243730623
CREG1,CREG1,1.0000012,100.0,1.0,1.9999948243730623
CD52,CD52,1.0000012,100.0,1.0,1.9999948243730623
BCL2L1,BCL2L1,1.0000012,100.0,1.0,1.9999948243730623
DOK5,DOK5,1.0000012,100.0,1.0,1.9999948243730623
NCALD,NCALD,1.0000012,100.0,1.0,1.9999948243730623
ISOC1,ISOC1,1.0000012,100.0,1.0,1.9999948243730623
DDB1,DDB1,1.0000012,100.0,1.0,1.9999948243730623
CSTF1,CSTF1,1.0000012,100.0,1.0,1.9999948243730623
THY1,THY1,1.0000012,100.0,1.0,1.9999948243730623
FGFR1OP2,FGFR1OP2,1.0000012,100.0,1.0,1.9999948243730623
ZNF32,ZNF32,1.0000012,100.0,1.0,1.9999948243730623
LHFPL4,LHFPL4,1.0000012,100.0,1.0,1.9999948243730623
VANGL2,VANGL2,1.0000012,100.0,1.0,1.9999948243730623
ATP6V0C,ATP6V0C,1.0000012,100.0,1.0,1.9999948243730623
CRABP1,CRABP1,1.0000012,100.0,1.0,1.9999948243730623
CLVS2,CLVS2,1.0000012,100.0,1.0,1.9999948243730623
CTXND1,CTXND1,1.0000011,100.0,1.0,1.9999946253104879
GJB1,GJB1,1.0000011,100.0,1.0,1.9999946253104879
MUL1,MUL1,1.0000011,100.0,1.0,1.9999946253104879
BEST4,BEST4,1.0000011,100.0,1.0,1.9999946253104879
CCL22,CCL22,1.0000011,100.0,1.0,1.9999946253104879
PCNA,PCNA,1.0000011,100.0,1.0,1.9999946253104879
MYL7,MYL7,1.0000011,100.0,1.0,1.9999946253104879
HPCAL1,HPCAL1,1.0000011,100.0,1.0,1.9999946253104879
KCTD6,KCTD6,1.0000011,100.0,1.0,1.9999946253104879
POLR2K,POLR2K,1.0000011,100.0,1.0,1.9999946253104879
SPSB4,SPSB4,1.0000011,100.0,1.0,1.9999946253104879
SCAMP3,SCAMP3,1.0000011,100.0,1.0,1.9999946253104879
ACTC1,ACTC1,1.0000011,100.0,1.0,1.9999946253104879
WNT2,WNT2,1.0000011,100.0,1.0,1.9999946253104879
MGAT4C,MGAT4C,1.0000011,100.0,1.0,1.9999946253104879
WASL,WASL,1.0000011,100.0,1.0,1.9999946253104879
GOT1,GOT1,1.0000011,100.0,1.0,1.9999946253104879
FAM107A,FAM107A,1.0000011,100.0,1.0,1.9999946253104879
MRPS21,MRPS21,1.0000011,100.0,1.0,1.9999946253104879
OLFM3,OLFM3,1.0000011,100.0,1.0,1.9999946253104879
MPC2,MPC2,1.0000011,100.0,1.0,1.9999946253104879
BARHL1,BARHL1,1.0000011,100.0,1.0,1.9999946253104879
SNRPD3,SNRPD3,1.0000011,100.0,1.0,1.9999946253104879
CXCL14,CXCL14,1.0000011,100.0,1.0,1.9999946253104879
EMP3,EMP3,1.0000011,100.0,1.0,1.9999946253104879
NDUFB4,NDUFB4,1.0000011,100.0,1.0,1.9999946253104879
TMEM86A,TMEM86A,1.0000011,100.0,1.0,1.9999946253104879
MAGOHB,MAGOHB,1.0000011,100.0,1.0,1.9999946253104879
P2RY1,P2RY1,1.000001,100.0,1.0,1.999994426247913
MRPL41,MRPL41,1.000001,100.0,1.0,1.999994426247913
EID2B,EID2B,1.000001,100.0,1.0,1.999994426247913
FERRY3,C12orf4,1.000001,100.0,1.0,1.999994426247913
SYCE3,SYCE3,1.000001,100.0,1.0,1.999994426247913
UPF2,UPF2,1.000001,100.0,1.0,1.999994426247913
CDO1,CDO1,1.000001,100.0,1.0,1.999994426247913
NAA15,NAA15,1.000001,100.0,1.0,1.999994426247913
GJD2,GJD2,1.000001,100.0,1.0,1.999994426247913
FEM1C,FEM1C,1.000001,100.0,1.0,1.999994426247913
CFAP20,CFAP20,1.000001,100.0,1.0,1.999994426247913
ID1,ID1,1.000001,100.0,1.0,1.999994426247913
PRPS1,PRPS1,1.000001,100.0,1.0,1.999994426247913
CDH10,CDH10,1.000001,100.0,1.0,1.999994426247913
MT4,MT4,1.000001,100.0,1.0,1.999994426247913
CNIH2,CNIH2,1.000001,100.0,1.0,1.999994426247913
MLANA,MLANA,1.000001,100.0,1.0,1.999994426247913
MAGT1,MAGT1,1.000001,100.0,1.0,1.999994426247913
KCNJ8,KCNJ8,1.000001,100.0,1.0,1.999994426247913
LIX1L,LIX1L,1.000001,100.0,1.0,1.999994426247913
MORN4,MORN4,1.000001,100.0,1.0,1.999994426247913
CAMK2N2,CAMK2N2,1.000001,100.0,1.0,1.999994426247913
MED18,MED18,1.000001,100.0,1.0,1.999994426247913
HPCA,HPCA,1.000001,100.0,1.0,1.999994426247913
TSPAN31,TSPAN31,1.000001,100.0,1.0,1.999994426247913
FBXO17,FBXO17,1.000001,100.0,1.0,1.999994426247913
KLHDC10,KLHDC10,1.000001,100.0,1.0,1.999994426247913
CFAP300,CFAP300,1.000001,100.0,1.0,1.999994426247913
CACYBP,CACYBP,1.000001,100.0,1.0,1.999994426247913
DNAJA2,DNAJA2,1.0000008,100.0,1.0,1.9999940281227642
NPY1R,NPY1R,1.0000008,100.0,1.0,1.9999940281227642
HSPB3,HSPB3,1.0000008,100.0,1.0,1.9999940281227642
PLN,PLN,1.0000008,100.0,1.0,1.9999940281227642
UBTD1,UBTD1,1.0000008,100.0,1.0,1.9999940281227642
DCTD,DCTD,1.0000008,100.0,1.0,1.9999940281227642
UBL7,UBL7,1.0000008,100.0,1.0,1.9999940281227642
SGTB,SGTB,1.0000008,100.0,1.0,1.9999940281227642
UBE2D1,UBE2D1,1.0000008,100.0,1.0,1.9999940281227642
ACP5,ACP5,1.0000008,100.0,1.0,1.9999940281227642
PLS1,PLS1,1.0000008,100.0,1.0,1.9999940281227642
TMEM14A,TMEM14A,1.0000008,100.0,1.0,1.9999940281227642
MARCHF4,MARCHF4,1.0000008,100.0,1.0,1.9999940281227642
KCNG1,KCNG1,1.0000008,100.0,1.0,1.9999940281227642
VAMP4,VAMP4,1.0000008,100.0,1.0,1.9999940281227642
MRPL15,MRPL15,1.0000008,100.0,1.0,1.9999940281227642
RIT1,RIT1,1.0000008,100.0,1.0,1.9999940281227642
ZER1,ZER1,1.0000008,100.0,1.0,1.9999940281227642
POLDIP2,POLDIP2,1.0000008,100.0,1.0,1.9999940281227642
RPP14,RPP14,1.0000008,100.0,1.0,1.9999940281227642
MYF6,MYF6,1.0000008,100.0,1.0,1.9999940281227642
HPSE2,HPSE2,1.0000008,100.0,1.0,1.9999940281227642
CA7,CA7,1.0000008,100.0,1.0,1.9999940281227642
TIMM10,TIMM10,1.0000008,100.0,1.0,1.9999940281227642
TMEM167A,TMEM167A,1.0000008,100.0,1.0,1.9999940281227642
LHX5,LHX5,1.0000008,100.0,1.0,1.9999940281227642
WASF1,WASF1,1.0000008,100.0,1.0,1.9999940281227642
CARHSP1,CARHSP1,1.0000008,100.0,1.0,1.9999940281227642
TTC9B,TTC9B,1.0000008,100.0,1.0,1.9999940281227642
WFDC9,WFDC9,1.0000008,100.0,1.0,1.9999940281227642
S100A3,S100A3,1.0000008,100.0,1.0,1.9999940281227642
FAM78B,FAM78B,1.0000008,100.0,1.0,1.9999940281227642
S100P,S100P,1.0000008,100.0,1.0,1.9999940281227642
DR1,DR1,1.0000008,100.0,1.0,1.9999940281227642
BAMBI,BAMBI,1.0000008,100.0,1.0,1.9999940281227642
CACNG5,CACNG5,1.0000008,100.0,1.0,1.9999940281227642
PET117,PET117,1.0000008,100.0,1.0,1.9999940281227642
FAM240A,FAM240A,1.0000008,100.0,1.0,1.9999940281227642
MED10,MED10,1.0000008,100.0,1.0,1.9999940281227642
FAXC,FAXC,1.0000008,100.0,1.0,1.9999940281227642
SH2D1A,SH2D1A,1.0000008,100.0,1.0,1.9999940281227642
MED21,MED21,1.0000008,100.0,1.0,1.9999940281227642
HOXB13,HOXB13,1.0000008,100.0,1.0,1.9999940281227642
CALN1,CALN1,1.0000008,100.0,1.0,1.9999940281227642
DCUN1D3,DCUN1D3,1.0000008,100.0,1.0,1.9999940281227642
ABHD17B,ABHD17B,1.0000008,100.0,1.0,1.9999940281227642
SCN3B,SCN3B,1.0000008,100.0,1.0,1.9999940281227642
CPSF2,CPSF2,1.0000008,100.0,1.0,1.9999940281227642
DHH,DHH,1.0000008,100.0,1.0,1.9999940281227642
MAB21L1,MAB21L1,1.0000007,100.0,1.0,1.9999938290601897
BMF,BMF,1.0000007,100.0,1.0,1.9999938290601897
KCNJ2,KCNJ2,1.0000007,100.0,1.0,1.9999938290601897
CGGBP1,CGGBP1,1.0000007,100.0,1.0,1.9999938290601897
TBCC,TBCC,1.0000007,100.0,1.0,1.9999938290601897
CH25H,CH25H,1.0000007,100.0,1.0,1.9999938290601897
DIRAS1,DIRAS1,1.0000007,100.0,1.0,1.9999938290601897
ACKR3,ACKR3,1.0000007,100.0,1.0,1.9999938290601897
SPRR2E,SPRR2E,1.0000007,100.0,1.0,1.9999938290601897
ITFG2,ITFG2,1.0000007,100.0,1.0,1.9999938290601897
CYBB,CYBB,1.0000007,100.0,1.0,1.9999938290601897
INHBA,INHBA,1.0000007,100.0,1.0,1.9999938290601897
ACSL3,ACSL3,1.0000007,100.0,1.0,1.9999938290601897
IRF6,IRF6,1.0000007,100.0,1.0,1.9999938290601897
ICOS,ICOS,1.0000007,100.0,1.0,1.9999938290601897
NXPH2,NXPH2,1.0000007,100.0,1.0,1.9999938290601897
FFAR4,FFAR4,1.0000007,100.0,1.0,1.9999938290601897
RIT2,RIT2,1.0000007,100.0,1.0,1.9999938290601897
CXCL8,CXCL8,1.0000007,100.0,1.0,1.9999938290601897
PRDX2,PRDX2,1.0000007,100.0,1.0,1.9999938290601897
STARD4,STARD4,1.0000007,100.0,1.0,1.9999938290601897
ADIRF,ADIRF,1.0000007,100.0,1.0,1.9999938290601897
DCAKD,DCAKD,1.0000007,100.0,1.0,1.9999938290601897
GTF2E2,GTF2E2,1.0000007,100.0,1.0,1.9999938290601897
TERF2IP,TERF2IP,1.0000007,100.0,1.0,1.9999938290601897
KCNK9,KCNK9,1.0000007,100.0,1.0,1.9999938290601897
HMGN3,HMGN3,1.0000007,100.0,1.0,1.9999938290601897
ERG28,ERG28,1.0000007,100.0,1.0,1.9999938290601897
KCNJ5,KCNJ5,1.0000007,100.0,1.0,1.9999938290601897
ZBTB37,ZBTB37,1.0000007,100.0,1.0,1.9999938290601897
IL26,IL26,1.0000007,100.0,1.0,1.9999938290601897
TMEM150A,TMEM150A,1.0000007,100.0,1.0,1.9999938290601897
EGLN3,EGLN3,1.0000007,100.0,1.0,1.9999938290601897
CEPT1,CEPT1,1.0000007,100.0,1.0,1.9999938290601897
CHAC2,CHAC2,1.0000007,100.0,1.0,1.9999938290601897
CDC26,CDC26,1.0000007,100.0,1.0,1.9999938290601897
LRRTM2,LRRTM2,1.0000006,100.0,1.0,1.999993629997615
GDPD1,GDPD1,1.0000006,100.0,1.0,1.999993629997615
GJB2,GJB2,1.0000006,100.0,1.0,1.999993629997615
KHDRBS1,KHDRBS1,1.0000006,100.0,1.0,1.999993629997615
KAT5,KAT5,1.0000006,100.0,1.0,1.999993629997615
KIAA1143,KIAA1143,1.0000006,100.0,1.0,1.999993629997615
HSBP1L1,HSBP1L1,1.0000006,100.0,1.0,1.999993629997615
GPR174,GPR174,1.0000006,100.0,1.0,1.999993629997615
UQCRQ,UQCRQ,1.0000006,100.0,1.0,1.999993629997615
GPR12,GPR12,1.0000006,100.0,1.0,1.999993629997615
BTG2,BTG2,1.0000006,100.0,1.0,1.999993629997615
P2RY4,P2RY4,1.0000006,100.0,1.0,1.999993629997615
SOCS3,SOCS3,1.0000006,100.0,1.0,1.999993629997615
RNF144A,RNF144A,1.0000006,100.0,1.0,1.999993629997615
SMNDC1,SMNDC1,1.0000006,100.0,1.0,1.999993629997615
HSPA8,HSPA8,1.0000006,100.0,1.0,1.999993629997615
CAV3,CAV3,1.0000006,100.0,1.0,1.999993629997615
SCRG1,SCRG1,1.0000006,100.0,1.0,1.999993629997615
LHX2,LHX2,1.0000006,100.0,1.0,1.999993629997615
HSF2,HSF2,1.0000006,100.0,1.0,1.999993629997615
PHOX2B,PHOX2B,1.0000006,100.0,1.0,1.999993629997615
BCL6,BCL6,1.0000006,100.0,1.0,1.999993629997615
GNG13,GNG13,1.0000006,100.0,1.0,1.999993629997615
CWC15,CWC15,1.0000006,100.0,1.0,1.999993629997615
ATP5ME,ATP5ME,1.0000006,100.0,1.0,1.999993629997615
FABP3,FABP3,1.0000006,100.0,1.0,1.999993629997615
EBF1,EBF1,1.0000006,100.0,1.0,1.999993629997615
HES5,HES5,1.0000006,100.0,1.0,1.999993629997615
GTF2F2,GTF2F2,1.0000006,100.0,1.0,1.999993629997615
MFN2,MFN2,1.0000006,100.0,1.0,1.999993629997615
FAM167B,FAM167B,1.0000006,100.0,1.0,1.999993629997615
MAGOH,MAGOH,1.0000006,100.0,1.0,1.999993629997615
PROX1,PROX1,1.0000006,100.0,1.0,1.999993629997615
RPRD1B,RPRD1B,1.0000006,100.0,1.0,1.999993629997615
LMBRD2,LMBRD2,1.0000006,100.0,1.0,1.999993629997615
VPS26C,VPS26C,1.0000006,100.0,1.0,1.999993629997615
GOLT1B,GOLT1B,1.0000006,100.0,1.0,1.999993629997615
CRCP,CRCP,1.0000006,100.0,1.0,1.999993629997615
TSPO2,TSPO2,1.0000006,100.0,1.0,1.999993629997615
LRRTM3,LRRTM3,1.0000006,100.0,1.0,1.999993629997615
GUCA1B,GUCA1B,1.0000006,100.0,1.0,1.999993629997615
ORMDL1,ORMDL1,1.0000006,100.0,1.0,1.999993629997615
ARHGDIB,ARHGDIB,1.0000006,100.0,1.0,1.999993629997615
GATA1,GATA1,1.0000006,100.0,1.0,1.999993629997615
TSPAN13,TSPAN13,1.0000006,100.0,1.0,1.999993629997615
HES1,HES1,1.0000006,100.0,1.0,1.999993629997615
ARPC5L,ARPC5L,1.0000006,100.0,1.0,1.999993629997615
RNF13,RNF13,1.0000006,100.0,1.0,1.999993629997615
VPS29,VPS29,1.0000005,100.0,1.0,1.999993430935041
PRR15L,PRR15L,1.0000005,100.0,1.0,1.999993430935041
IMP3,IMP3,1.0000005,100.0,1.0,1.999993430935041
MAGEH1,MAGEH1,1.0000005,100.0,1.0,1.999993430935041
WDR83OS,WDR83OS,1.0000005,100.0,1.0,1.999993430935041
PAQR8,PAQR8,1.0000005,100.0,1.0,1.999993430935041
TIGD4,TIGD4,1.0000005,100.0,1.0,1.999993430935041
TMEM248,TMEM248,1.0000005,100.0,1.0,1.999993430935041
TMEM258,TMEM258,1.0000005,100.0,1.0,1.999993430935041
NHLH1,NHLH1,1.0000005,100.0,1.0,1.999993430935041
GJC1,GJC1,1.0000005,100.0,1.0,1.999993430935041
NNAT,NNAT,1.0000005,100.0,1.0,1.999993430935041
LRRC10,LRRC10,1.0000005,100.0,1.0,1.999993430935041
ELOVL6,ELOVL6,1.0000005,100.0,1.0,1.999993430935041
RAB3B,RAB3B,1.0000005,100.0,1.0,1.999993430935041
FUT8,FUT8,1.0000005,100.0,1.0,1.999993430935041
KCNK4,KCNK4,1.0000005,100.0,1.0,1.999993430935041
PPIL3,PPIL3,1.0000005,100.0,1.0,1.999993430935041
RTCB,RTCB,1.0000005,100.0,1.0,1.999993430935041
PCP4,PCP4,1.0000005,100.0,1.0,1.999993430935041
LRRC39,LRRC39,1.0000005,100.0,1.0,1.999993430935041
PI4K2A,PI4K2A,1.0000005,100.0,1.0,1.999993430935041
UNC50,UNC50,1.0000005,100.0,1.0,1.999993430935041
SMG8,SMG8,1.0000005,100.0,1.0,1.999993430935041
ETS1,ETS1,1.0000005,100.0,1.0,1.999993430935041
RPL27,RPL27,1.0000005,100.0,1.0,1.999993430935041
DGAT2,DGAT2,1.0000005,100.0,1.0,1.999993430935041
RHBDL2,RHBDL2,1.0000005,100.0,1.0,1.999993430935041
FAM168B,FAM168B,1.0000005,100.0,1.0,1.999993430935041
TMEM35A,TMEM35A,1.0000005,100.0,1.0,1.999993430935041
STUB1,STUB1,1.0000005,100.0,1.0,1.999993430935041
INA,INA,1.0000005,100.0,1.0,1.999993430935041
STC1,STC1,1.0000005,100.0,1.0,1.999993430935041
PNOC,PNOC,1.0000005,100.0,1.0,1.999993430935041
FAM210A,FAM210A,1.0000005,100.0,1.0,1.999993430935041
CERS6,CERS6,1.0000005,100.0,1.0,1.999993430935041
IFFO2,IFFO2,1.0000005,100.0,1.0,1.999993430935041
CALM1,CALM1,1.0000005,100.0,1.0,1.999993430935041
PHOSPHO1,PHOSPHO1,1.0000005,100.0,1.0,1.999993430935041
TMEM183A,TMEM183A,1.0000005,100.0,1.0,1.999993430935041
CTNNB1,CTNNB1,1.0000005,100.0,1.0,1.999993430935041
GOLGA7B,GOLGA7B,1.0000005,100.0,1.0,1.999993430935041
ARF5,ARF5,1.0000005,100.0,1.0,1.999993430935041
YEATS4,YEATS4,1.0000005,100.0,1.0,1.999993430935041
GTF2H5,GTF2H5,1.0000005,100.0,1.0,1.999993430935041
PGAP3,PGAP3,1.0000005,100.0,1.0,1.999993430935041
NKIRAS1,NKIRAS1,1.0000005,100.0,1.0,1.999993430935041
FAM110D,FAM110D,1.0000004,100.0,1.0,1.9999932318724662
H2AC6,H2AC6,1.0000004,100.0,1.0,1.9999932318724662
DOLK,DOLK,1.0000004,100.0,1.0,1.9999932318724662
SERTM2,SERTM2,1.0000004,100.0,1.0,1.9999932318724662
B3GALT1,B3GALT1,1.0000004,100.0,1.0,1.9999932318724662
ZNF580,ZNF580,1.0000004,100.0,1.0,1.9999932318724662
POLR3K,POLR3K,1.0000004,100.0,1.0,1.9999932318724662
B3GNT5,B3GNT5,1.0000004,100.0,1.0,1.9999932318724662
TXNL4A,TXNL4A,1.0000004,100.0,1.0,1.9999932318724662
BBOX1,BBOX1,1.0000004,100.0,1.0,1.9999932318724662
ETFRF1,ETFRF1,1.0000004,100.0,1.0,1.9999932318724662
PSMC2,PSMC2,1.0000004,100.0,1.0,1.9999932318724662
SLC39A2,SLC39A2,1.0000004,100.0,1.0,1.9999932318724662
PCTP,PCTP,1.0000004,100.0,1.0,1.9999932318724662
KCNK12,KCNK12,1.0000004,100.0,1.0,1.9999932318724662
EIF5A2,EIF5A2,1.0000004,100.0,1.0,1.9999932318724662
MOSPD1,MOSPD1,1.0000004,100.0,1.0,1.9999932318724662
RTF1,RTF1,1.0000004,100.0,1.0,1.9999932318724662
TNNC2,TNNC2,1.0000004,100.0,1.0,1.9999932318724662
PTGER4,PTGER4,1.0000004,100.0,1.0,1.9999932318724662
VAPB,VAPB,1.0000004,100.0,1.0,1.9999932318724662
CPLX2,CPLX2,1.0000004,100.0,1.0,1.9999932318724662
DMC1,DMC1,1.0000004,100.0,1.0,1.9999932318724662
MAL,MAL,1.0000004,100.0,1.0,1.9999932318724662
GNG11,GNG11,1.0000004,100.0,1.0,1.9999932318724662
WFDC10A,WFDC10A,1.0000004,100.0,1.0,1.9999932318724662
DHRS3,DHRS3,1.0000004,100.0,1.0,1.9999932318724662
TGFB3,TGFB3,1.0000004,100.0,1.0,1.9999932318724662
TMEM9B,TMEM9B,1.0000004,100.0,1.0,1.9999932318724662
CMTR1,CMTR1,1.0000004,100.0,1.0,1.9999932318724662
CSTF2,CSTF2,1.0000004,100.0,1.0,1.9999932318724662
GADD45A,GADD45A,1.0000004,100.0,1.0,1.9999932318724662
DNASE1L1,DNASE1L1,1.0000004,100.0,1.0,1.9999932318724662
