crab_eating_macaque gene name,mice gene name,correlation,identical_scores,orthology confidence,combo_score
SIAH1,Siah1a,0.99988514,99.6454,1.0,1.9961340258050282
STMN2,Stmn2,0.9974793,100.0,1.0,1.9959208949818326
RIMS4,Rims4,0.9998616,99.6283,1.0,1.9959186713562032
NXPH1,Nxph1,0.99981326,99.631,1.0,1.9958685108670569
LRRC3B,Lrrc3b,0.9999176,99.6139,1.0,1.9958599086773372
STAT3,Stat3,0.99804485,99.8701,1.0,1.995488432475172
SNRNP200,Snrnp200,0.9995543,99.6255,1.0,1.9953928077476952
UBA52,Uba52,0.99715173,100.0,1.0,1.9953912903719235
RAP2A,Rap2a,0.997086,100.0,1.0,1.995285020228109
HOXC5,Hoxc5,0.9999039,99.5496,1.0,1.9951710855187055
SF3B3,Sf3b3,0.9974773,99.9178,1.0,1.9950653977323123
CHMP4B,Chmp4b,0.9998071,99.5536,1.0,1.9950560550878982
EBF3,Ebf3,0.99693954,100.0,1.0,1.9950482284243194
GRIA2,Gria2,0.9991118,99.6602,1.0,1.9950371635790793
TFAP2D,Tfap2d,0.9997575,99.5575,1.0,1.9950162992774387
MFSD14A,Mfsd14a,0.9968791,100.0,1.0,1.9949505109818708
KCND2,Kcnd2,0.99990654,99.5238,1.0,1.9949078549555974
KCNIP4,Kcnip4,0.9993867,99.6,1.0,1.9948574490953566
SF3B4,Sf3b4,0.9997894,99.5283,1.0,1.994765123554729
FEM1C,Fem1c,0.99983865,99.5138,1.0,1.9946944108764204
LMO4,Lmo4,0.99668765,100.0,1.0,1.994640980797278
KPNA3,Kpna3,0.9990785,99.6161,1.0,1.9945260888410763
ENC1,Enc1,0.9998038,99.4907,1.0,1.994398561754189
TAGLN3,Tagln3,0.99969965,99.4975,1.0,1.9943006789612336
GID8,Gid8,0.99920756,99.5614,1.0,1.9941676098939354
TLX3,Tlx3,0.9996952,99.48395,1.0,1.9941529956181894
DOK6,Dok6,0.99829966,99.6979,1.0,1.9941150018966733
PRRX1,Prrx1,0.9988882,99.5918,1.0,1.9939664713669925
FUT9,Fut9,0.99967474,99.4429,1.0,1.9936943031017156
FAM78B,Fam78b,0.9960757,100.0,1.0,1.9936515997763236
MYL9,Myl9,0.9997708,99.4186,1.0,1.9935976632388097
CELF1,Celf1,0.99900407,99.51320000000001,1.0,1.9933388679495927
KCND3,Kcnd3,0.9997893,99.3893,1.0,1.99332378601116
NFYA,Nfya,0.9976623,99.7118,1.0,1.993228656394023
CNBP,Cnbp,0.9973032,99.7191,1.0,1.9927237627505805
RPL15,Rpl15,0.9953867,100.0,1.0,1.9925376468006923
ZBTB14,Zbtb14,0.99963933,99.3318,1.0,1.9924851494796345
PSMC2,Psmc2,0.99670255,99.7691,1.0,1.9922710597903117
POU4F1,Pou4f1,0.99971575,99.2863,1.0,1.9921369510581204
HPCA,Hpca,0.99510455,100.0,1.0,1.9920814757817165
OGT,Ogt,0.9969414,99.7132,1.0,1.9920776439677426
AKT3,Akt3,0.99770916,99.5825,1.0,1.9919638135292377
POLR2D,Polr2d,0.99947137,99.2958,1.0,1.99184034298802
TAFA1,Tafa1,0.9997214,99.2481,1.0,1.9917500216367983
TMEM60,Tmem60,0.999701,99.2481,1.0,1.9917170395748198
HYPK,Hypk,0.99970645,99.2248,1.0,1.9914842725583324
AP1S2,Ap1s2,0.99865174,99.375,1.0,1.9913363508409097
KCNJ10,Kcnj10,0.99962515,99.2084,1.0,1.9911827913248046
FZD2,Fzd2,0.99956894,99.20895,1.0,1.9910976153043505
PANK3,Pank3,0.9996457,99.1892,1.0,1.9910169470052361
PSMC4,Psmc4,0.9959631,99.7608,1.0,1.9909894850568552
SNX3,Snx3,0.994302,100.0,1.0,1.9907839388287516
COPB1,Copb1,0.9989186,99.2655,1.0,1.9906324866795395
TM9SF3,Tm9sf3,0.99635345,99.6593,1.0,1.9905682209178228
HNRNPH2,Hnrnph2,0.99977374,99.1091,1.0,1.9903934673937256
NCKAP1,Nckap1,0.99962825,99.1165,1.0,1.9902349683252543
TAX1BP3,Tax1bp3,0.99910533,99.1936,1.0,1.9901889141748947
H2AC21,H2ac21,0.99882406,99.2308,1.0,1.990119861898906
UBE2Z,Ube2z,0.9992317,99.1557,1.0,1.9900002714071416
UBL3,Ubl3,0.99921256,99.1453,1.0,1.9898614974868045
ACTR2,Actr2,0.9977231,99.37344999999999,1.0,1.9898188849769602
SLC32A1,Slc32a1,0.9997717,99.0476,1.0,1.9897525266277594
KPNB1,Kpnb1,0.9994973,99.08585,1.0,1.9897054681264603
EIF2S1,Eif2s1,0.9997318,99.0476,1.0,1.9896880175947724
NFIX,Nfix,0.9986897,99.1903,1.0,1.989482722030825
RAB5A,Rab5a,0.9994333,99.0698,1.0,1.9894355858350008
HNRNPA3,Hnrnpa3,0.9942855,99.86805,1.0,1.989389181904691
LHX5,Lhx5,0.99975365,99.005,1.0,1.989281659855408
PSMB3,Psmb3,0.9995946,99.0244,1.0,1.98922565547677
RPL35A,Rpl35a,0.999109,99.0909,1.0,1.9891300364785596
TUBB4B,Tubb4b,0.99456835,99.7753,1.0,1.9888848367355823
HMBOX1,Hmbox1,0.99914205,99.0476,1.0,1.9887345288177358
SIX1,Six1,0.99979126,98.9437,1.0,1.9887068975648323
RPLP2,Rplp2,0.9985637,99.1304,1.0,1.988657955810035
GRIK3,Grik3,0.9992623,99.0207,1.0,1.9886500413201285
PRPF19,Prpf19,0.9967497,99.4048,1.0,1.988570165437836
WNT7A,Wnt7a,0.9984083,99.1404,1.0,1.9885103918196498
HAS2,Has2,0.9998584,98.913,1.0,1.988497144479867
UHMK1,Uhmk1,0.9989279,99.0453,1.0,1.988364451210435
RPS25,Rps25,0.9927522,100.0,1.0,1.9882782721790664
ONECUT1,Onecut1,0.99961305,98.9247,1.0,1.9882217781228024
PSMA2,Psma2,0.9954402,99.5726,1.0,1.9881927872888963
GLRA2,Glra2,0.9996158,98.8938,1.0,1.9879058477284588
ABCE1,Abce1,0.99347657,99.8331,1.0,1.9877189623724798
WNT4,Wnt4,0.99966204,98.8604,1.0,1.9876343101340432
ABCF2,Abcf2,0.9974546,99.20230000000001,1.0,1.9876102702506264
XPO7,Xpo7,0.9993876,98.8971,1.0,1.9875711162958947
ACVR2A,Acvr2a,0.999509,98.84535,1.0,1.9872308390143594
TXNL4A,Txnl4a,0.9921005,100.0,1.0,1.9872246246402874
SMU1,Smu1,0.99204147,100.0,1.0,1.9871291868403578
MTA2,Mta2,0.99971294,98.8024,1.0,1.9871152496534075
TUBG1,Tubg1,0.9990009,98.8913,1.0,1.9868857768134005
SEC23A,Sec23a,0.9976515,99.085,1.0,1.9867124252785968
TMEM47,Tmem47,0.99886674,98.895,1.0,1.9867072334881657
NR2F2,Nr2f2,0.9917452,100.0,1.0,1.9866501870608362
CACNG2,Cacng2,0.9996758,98.7616,1.0,1.9866321814938894
GLRA3,Glra3,0.9986108,98.9224,1.0,1.9865775258564382
BRINP1,Brinp1,0.99967825,98.75085,1.0,1.9865246847290492
HECTD1,Hectd1,0.9984891,98.9272,1.0,1.986430532446168
MB21D2,Mb21d2,0.99941826,98.778,1.0,1.9863858371450325
KCTD21,Kctd21,0.99896073,98.8462,1.0,1.9863532267092927
GLRA1,Glra1,0.99714833,99.1247,1.0,1.9863105326694688
VPS26B,Vps26b,0.99909425,98.8095,1.0,1.9861885856369539
ATP2A2,Atp2a2,0.9987754,98.84955,1.0,1.9860883245185
SSTR1,Sstr1,0.9995325,98.7212,1.0,1.9859816245393473
SNRPN,Snrpn,0.99921566,98.76705,1.0,1.9859447485199393
RPS9,Rps9,0.9912445,100.0,1.0,1.9858406714514047
APPBP2,Appbp2,0.9977908,98.9744,1.0,1.9857909212349254
EFNA5,Efna5,0.9967882,99.1228,1.0,1.9857085865755773
RBM24,Rbm24,0.99930185,98.7288,1.0,1.9856875151641358
MACROH2A2,Macroh2a2,0.999708,98.6559,1.0,1.9855883256661806
C1QL3,C1ql3,0.99737436,99.01804999999999,1.0,1.9855702051704651
LMX1B,Lmx1b,0.99746406,99.00059999999999,1.0,1.9855343046408767
PRPF8,Prpf8,0.99954665,98.6687,1.0,1.9854601727884884
LPAR4,Lpar4,0.99961966,98.6487,1.0,1.985370849567408
BUD31,Bud31,0.9909266,100.0,1.0,1.9853267009855802
POU3F4,Pou3f4,0.9996152,98.615,1.0,1.98501423139686
PA2G4,Pa2g4,0.99553514,99.2386,1.0,1.9848833138695254
PRPF38A,Prpf38a,0.9987843,98.7179,1.0,1.9847377439466483
NALCN,Nalcn,0.9996317,98.56020000000001,1.0,1.9844727322552815
PIK3CA,Pik3ca,0.998756,98.6891,1.0,1.9843933860744298
POLR2J,Polr2j,0.9903233,100.0,1.0,1.9843513050056116
MARCHF3,Marchf3,0.99285597,99.6047,1.0,1.9843475058934468
C1QL1,C1ql1,0.9989901,98.64115000000001,1.0,1.9842747175701199
WNT1,Wnt1,0.9988939,98.6487,1.0,1.9841974642095068
GJB1,Gjb1,0.9992732,98.5866,1.0,1.9841668407520232
TBPL1,Tbpl1,0.99019665,100.0,1.0,1.9841465413708312
NXT1,Nxt1,0.99931675,98.5714,1.0,1.9840796547773811
C6orf62,BC005537,0.9901532,100.0,1.0,1.9840762928123534
GRID1,Grid1,0.999572,98.5134,1.0,1.9838909807852367
BRK1,Brk1,0.9985786,98.6667,1.0,1.9838743244304808
PPP2R5B,Ppp2r5b,0.99904376,98.5916,1.0,1.9838477304193525
KCNC1,Kcnc1,0.9948527,99.2389,1.0,1.983783077341806
TNPO1,Tnpo1,0.9949791,99.219,1.0,1.9837811101677496
DIRAS2,Diras2,0.999615,98.4925,1.0,1.9837438070096254
OLIG3,Olig3,0.9993185,98.5348,1.0,1.9837030090365833
UBTD1,Ubtd1,0.998298,98.6784,1.0,1.98354196701044
NIPA1,Nipa1,0.9997287,98.452,1.0,1.9835077225481264
PPFIA2,Ppfia2,0.9969228,98.8862,1.0,1.9834730940888605
FEM1B,Fem1b,0.9958962,99.0431,1.0,1.9834400864631356
TMEM203,Tmem203,0.9991831,98.5294,1.0,1.9834281105568432
INTS3,Ints3,0.9983397,98.6565,1.0,1.9833823232650576
SOX14,Sox14,0.9923837,99.5833,1.0,1.9833620761165212
SSR3,Ssr3,0.9965251,98.9189,1.0,1.9831691447717694
COPB2,Copb2,0.9990869,98.5091,1.0,1.9830621036142861
GTF2H5,Gtf2h5,0.99848074,98.5916,1.0,1.9829374578441135
PLCXD3,Plcxd3,0.99941665,98.4424,1.0,1.9829036757252503
ARMH3,Armh3,0.99965495,98.4035,1.0,1.982885629599382
SP9,Sp9,0.99932945,98.44890000000001,1.0,1.9828300866940447
IGF2BP1,Igf2bp1,0.9938168,99.3068,1.0,1.9828122664944452
CLCN3,Clcn3,0.9982238,98.6143,1.0,1.9827574030376354
KCNA1,Kcna1,0.99969065,98.3838,1.0,1.9827390952252832
KCNJ6,Kcnj6,0.9952891,99.05715000000001,1.0,1.9826042195781755
FZD3,Fzd3,0.9996728,98.3484,1.0,1.9823432026427468
FBXL7,Fbxl7,0.9994994,98.3707,1.0,1.9822940653449228
H2AJ,H2aj,0.99892175,98.4496,1.0,1.9821781882049994
PRPS1,Prps1,0.9899653,99.84325,1.0,1.982147291238719
MARCHF5,Marchf5,0.9889581,100.0,1.0,1.982144093681473
DUSP6,Dusp6,0.99903995,98.4252,1.0,1.9821163067627756
SMIM15,Smim15,0.9974843,98.6487,1.0,1.9819184683975335
MEOX2,Meox2,0.99939257,98.3498,1.0,1.9819046512582246
GRIK2,Grik2,0.99515027,99.0088,1.0,1.9818784626104056
RPL38,Rpl38,0.997923,98.5714,1.0,1.9818262847341508
TNIK,Tnik,0.9960453,98.85985,1.0,1.9817811790690922
NLGN3,Nlgn3,0.99516267,98.9962,1.0,1.9817678715669667
DYNLL2,Dynll2,0.9886234,100.0,1.0,1.9816029615175488
SF3A1,Sf3a1,0.9993972,98.2944,1.0,1.981337740180502
SFRP2,Sfrp2,0.9993042,98.3051,1.0,1.9812983202175363
EIF3G,Eif3g,0.9983075,98.4375,1.0,1.9810596337406208
GNAZ,Gnaz,0.9991246,98.3099,1.0,1.9810577159548868
CBFB,Cbfb,0.995131,98.9305,1.0,1.9810354796515894
PDP1,Pdp1,0.99955326,98.23984999999999,1.0,1.9810244691882049
PELI1,Peli1,0.99571687,98.81735,1.0,1.9808095367415222
NEUROD6,Neurod6,0.9993165,98.2196,1.0,1.9804317277801333
PUM1,Pum1,0.9951598,98.86330000000001,1.0,1.9803853014241386
RAB33A,Rab33a,0.9986855,98.3122,1.0,1.9803716400334053
RASL10B,Rasl10b,0.9909409,99.5074,1.0,1.9802424593831462
CNKSR2,Cnksr2,0.99577427,98.7416,1.0,1.9801169502034843
CHMP2B,Chmp2b,0.99369985,99.061,1.0,1.980074688902047
PRMT8,Prmt8,0.99741405,98.4772,1.0,1.9800267490163557
WASF1,Wasf1,0.9991127,98.2111,1.0,1.9800141010544212
TNNC1,Tnnc1,0.9875004,100.0,1.0,1.979787331341012
HOXB6,Hoxb6,0.9989199,98.2143,1.0,1.979735566382825
CGGBP1,Cggbp1,0.99893457,98.2036,1.0,1.979648344928402
OPCML,Opcml,0.9947653,98.8406,1.0,1.9795121290514508
GJD2,Gjd2,0.99926555,98.1308,1.0,1.9794286598162993
MAFK,Mafk,0.99943256,98.0769,1.0,1.9791398317424065
NSA2,Nsa2,0.9944179,98.8462,1.0,1.9790085256987173
ACTA2,Acta2,0.9870146,100.0,1.0,1.979001905570966
FAM20B,Fam20b,0.9994445,98.044,1.0,1.978818023100223
MSI1,Msi1,0.9913184,99.30865,1.0,1.9787921150804326
PPP2R3C,Ppp2r3c,0.9995616,98.0132,1.0,1.9786880069145785
ORMDL2,Ormdl2,0.9950183,98.6928,1.0,1.9783887555129025
CALB1,Calb1,0.99890554,98.0843,1.0,1.9783644872765582
CNOT9,Cnot9,0.99298775,98.9944,1.0,1.9782328683560717
HOXA13,Hoxa13,0.99895674,98.05465,1.0,1.9781398494940419
EPHB1,Ephb1,0.99167156,99.187,1.0,1.9781018046891732
ARMC1,Armc1,0.99780613,98.227,1.0,1.9780665347532014
UBLCP1,Ublcp1,0.9985145,98.1132,1.0,1.9780319065801688
KAT2A,Kat2a,0.9993701,97.9605,1.0,1.977831993242821
SPTAN1,Sptan1,0.9962542,98.4388,1.0,1.977753403155035
POMGNT1,Pomgnt1,0.99497825,98.6364,1.0,1.9777392390806732
DNAJA2,Dnaja2,0.994728,98.66085000000001,1.0,1.977588144750884
RALA,Rala,0.98915404,99.5146,1.0,1.9774281726083291
NOP10,Nop10,0.99596506,98.4375,1.0,1.9772724523063139
ST8SIA3,St8sia3,0.99943644,97.8947,1.0,1.9772570239168648
DLX3,Dlx3,0.9992861,97.9094,1.0,1.9771663711782708
SFN,Sfn,0.9987797,97.9839,1.0,1.9771200687846135
NEUROD1,Neurod1,0.9993356,97.8964,1.0,1.9771116149494539
UGCG,Ugcg,0.99713975,98.2234,1.0,1.9769518276458071
RTF1,Rtf1,0.99911433,97.89699999999999,1.0,1.9767600936537562
RAP1A,Rap1a,0.98560536,100.0,1.0,1.9767234917953806
POU4F3,Pou4f3,0.9912968,99.1124,1.0,1.976722439200338
JUP,Jup,0.99721026,98.18675,1.0,1.9766858324465026
ACTBL2,Actbl2,0.9992113,97.8723,1.0,1.976660777780816
PRKACA,Prkaca,0.9983363,98.0057,1.0,1.976629220110052
PAF1,Paf1,0.9987698,97.9376,1.0,1.976624016434073
CHMP5,Chmp5,0.99420583,98.6301,1.0,1.9764250958581036
CPSF2,Cpsf2,0.99759614,98.0818,1.0,1.9762215711632771
TMEM178B,Tmem178b,0.98523843,100.0,1.0,1.9761302512070669
NOVA2,Nova2,0.9955454,98.37105,1.0,1.9759049945451563
MAPK8,Mapk8,0.98946065,99.2974,1.0,1.9756719228723105
GATAD2B,Gatad2b,0.9951303,98.3994,1.0,1.9755278119224084
PRKAA2,Prkaa2,0.9987183,97.8261,1.0,1.9753847017503086
SUPT6H,Supt6,0.99665624,98.146,1.0,1.9753676077840394
HOXC13,Hoxc13,0.99939114,97.71015,1.0,1.9752703382501688
TAOK1,Taok1,0.99811894,97.90764999999999,1.0,1.9752612002376773
SSRP1,Ssrp1,0.99771243,97.95345,1.0,1.9750788302460776
SPTBN1,Sptbn1,0.9962982,98.16035,1.0,1.9749375235249158
AP3M2,Ap3m2,0.99821484,97.8469,1.0,1.9747863818333378
TLE4,Tle4,0.99876034,97.75885,1.0,1.9747554111192032
NCK1,Nck1,0.991177,98.939,1.0,1.9747309094512069
PROX1,Prox1,0.9947313,98.3718,1.0,1.9745965600535254
RNF2,Rnf2,0.9860815,99.7024,1.0,1.9744077316900401
OSBPL6,Osbpl6,0.99806845,97.8283,1.0,1.9743568552096042
ARHGAP35,Arhgap35,0.999536,97.5984,1.0,1.974345900037695
CPSF4,Cpsf4,0.9888862,99.2565,1.0,1.9743191124190815
SNN,Snn,0.9985982,97.7273,1.0,1.97416615257994
MAP3K7,Map3k7,0.9954429,98.21835,1.0,1.9741560560322604
TOP1,Top1,0.9990551,97.6532,1.0,1.9741365722389501
NUDCD2,Nudcd2,0.98807216,99.3631,1.0,1.9741082459083372
PSMA4,Psma4,0.99133354,98.8506,1.0,1.9740674518952617
GNAI3,Gnai3,0.9947854,98.3051,1.0,1.9739924701358498
EGR3,Egr3,0.99466634,98.31365,1.0,1.9738886256363117
RFX3,Rfx3,0.99612683,98.0834,1.0,1.973862627224034
GIT1,Git1,0.9987017,97.6623,1.0,1.9736595568807151
IRF6,Irf6,0.99879384,97.6445,1.0,1.9736239724043259
SV2A,Sv2a,0.9914654,98.7871,1.0,1.9736222599868123
YY1,Yy1,0.9984205,97.69825,1.0,1.9735776575638393
MYH3,Myh3,0.9958256,98.0928,1.0,1.9734730690905158
KLHDC8B,Klhdc8b,0.9980624,97.7401,1.0,1.9734326010204988
TUBG2,Tubg2,0.99920624,97.561,1.0,1.9734249850847136
ONECUT2,Onecut2,0.99873894,97.6238,1.0,1.9733205907009155
DPF1,Dpf1,0.9915426,98.7437,1.0,1.9732970958047162
MFAP1,Mfap1a,0.99435455,98.2869,1.0,1.973107185028333
TRPC7,Trpc7,0.99526656,98.1439,1.0,1.9730990448249497
SLITRK2,Slitrk2,0.9995659,97.45715,1.0,1.972929737140114
SEPHS1,Sephs1,0.9865238,99.4898,1.0,1.9729185547590444
RDH10,Rdh10,0.99071294,98.827,1.0,1.9728193969811176
ACTG2,Actg2,0.98309445,100.0,1.0,1.9726639334992386
PPIH,Ppih,0.98296523,100.0,1.0,1.972455014771356
TIMM8B,Timm8b,0.99837524,97.5904,1.0,1.972386275337516
PAK2,Pak2,0.99633205,97.9008,1.0,1.9723011921473925
POU4F2,Pou4f2,0.9991945,97.43719999999999,1.0,1.972122424574498
BTG1,Btg1,0.98275685,100.0,1.0,1.972118112708857
ORMDL3,Ormdl3,0.9994989,97.3856,1.0,1.9720795710158745
LRRTM3,Lrrtm3,0.99854445,97.50655,1.0,1.9717904774101385
CLVS1,Clvs1,0.9988107,97.4576,1.0,1.9717134198170951
METTL14,Mettl14,0.98948145,98.9035,1.0,1.9716215288073542
EHD4,Ehd4,0.9989633,97.4122,1.0,1.971489423579491
KIFAP3,Kifap3,0.99557865,97.918,1.0,1.9712614518823477
PDK2,Pdk2,0.9978978,97.543,1.0,1.9711229144070614
PPP3CB,Ppp3cb,0.9950089,97.9898,1.0,1.9710847331885062
SMAD4,Smad4,0.99198395,98.45885000000001,1.0,1.9710572825387818
GMPS,Gmps,0.99501944,97.9798,1.0,1.970998092203493
TRIM3,Trim3,0.99153155,98.5215,1.0,1.9709754227686143
ADGRB3,Adgrb3,0.992554,98.3574,1.0,1.9709270699719355
TGFB3,Tgfb3,0.9991406,97.3301,1.0,1.970924849603644
FBXO41,Fbxo41,0.99844265,97.4242,1.0,1.9707720715140091
KLHL2,Klhl2,0.99164337,98.4823,1.0,1.970749777406971
SIAH2,Siah2,0.99767345,97.52695,1.0,1.9705937834078477
PAX7,Pax7,0.99834716,97.42099999999999,1.0,1.9705845082126807
LDB2,Ldb2,0.9972235,97.5871,1.0,1.9704899642893943
MYH10,Myh10,0.99444246,98.01910000000001,1.0,1.9704727186984972
INTS14,Ints14,0.9934639,98.1615,1.0,1.9703670421054937
ARFGEF1,Arfgef1,0.9974474,97.5373,1.0,1.9703356236364433
SNF8,Snf8,0.9915879,98.4496,1.0,1.970321056085504
GNGT1,Gngt1,0.9989749,97.2973,1.0,1.9703168751565832
CHIC2,Chic2,0.9855284,99.3939,1.0,1.9703149164802736
TEX261,Tex261,0.99143845,98.4694,1.0,1.97028471994589
SST,Sst,0.998137,97.4138,1.0,1.9701700774673314
PFDN6,Pfdn6,0.9864774,99.2248,1.0,1.9700959712342787
HOXB8,Hoxb8,0.99200743,98.3539,1.0,1.9700071046251229
MGAT5,Mgat5,0.99919695,97.23165,1.0,1.9699952079618042
PELO,Pelo,0.9980601,97.4026,1.0,1.9699296245047364
PRDM12,Prdm12,0.9972545,97.5236,1.0,1.9698817051862831
CLP1,Clp1,0.9983783,97.34455,1.0,1.9698422076334927
CEP76,Cep76,0.99589425,97.7238,1.0,1.9697582048375297
SF3A3,Sf3a3,0.9974095,97.48134999999999,1.0,1.969694248932131
SLC41A1,Slc41a1,0.99561554,97.7562,1.0,1.9696435242627885
PLK2,Plk2,0.9990489,97.21834999999999,1.0,1.9696179488136445
H2AX,H2ax,0.9991336,97.2028,1.0,1.9695936639715725
TRPC5,Trpc5,0.99923486,97.17805000000001,1.0,1.9695007656236696
KCTD4,Kctd4,0.99839854,97.2973,1.0,1.9693850348996382
SCN1B,Scn1b,0.9957236,97.7064,1.0,1.9693018972343703
GALNT17,Galnt17,0.9911894,98.41015,1.0,1.9692677497658058
CDH11,Cdh11,0.9985438,97.2362,1.0,1.9689863912910472
AGO2,Ago2,0.9989559,97.1645,1.0,1.9689092633672138
RPRD1B,Rprd1b,0.98467475,99.3865,1.0,1.9688580382249832
RBPJ,Rbpj,0.9958619,97.63624999999999,1.0,1.9687981689683638
MLST8,Mlst8,0.99053854,98.4663,1.0,1.9687976331530863
MEIS1,Meis1,0.98889,98.7097,1.0,1.9686559398490027
SV2C,Sv2c,0.999103,97.1114,1.0,1.9685965399849006
ZDHHC5,Zdhhc5,0.9966876,97.4825,1.0,1.9685390276951806
NR4A2,Nr4a2,0.990574,98.434,1.0,1.9685200717912643
DAAM1,Daam1,0.999226,97.07655,1.0,1.968434071633546
MAP2K5,Map2k5,0.9947381,97.7679,1.0,1.9683462151824054
RPRM,Rprm,0.9979739,97.2477,1.0,1.9681842293283203
LMX1A,Lmx1a,0.99875915,97.1204,1.0,1.9681339279414507
PLAGL2,Plagl2,0.9893373,98.5887,1.0,1.9681245712847732
PGM5,Pgm5,0.99375075,97.8836,1.0,1.9679494970164473
ACTR3B,Actr3b,0.98938143,98.5646,1.0,1.967946046307261
PAQR3,Paqr3,0.99254525,98.0707,1.0,1.9679403684267647
PSKH1,Pskh1,0.99829364,97.1698,1.0,1.9678934940710864
TPPP3,Tppp3,0.9983018,97.1591,1.0,1.9677957474586498
CBX3,Cbx3,0.98004603,100.0,1.0,1.967735346373007
RNF152,Rnf152,0.9989958,97.0443,1.0,1.9677275181614327
VEZF1,Vezf1,0.9910383,98.2758,1.0,1.9676304922913108
TRRAP,Trrap,0.98662245,98.9635,1.0,1.967621280129409
LRP4,Lrp4,0.99947506,96.9554,1.0,1.9675806398059859
SYT1,Syt1,0.9967383,97.3815,1.0,1.967573812477743
GNB3,Gnb3,0.99875015,97.0588,1.0,1.967480697654815
ALDH1A2,Aldh1a2,0.99345887,97.8764,1.0,1.9674029440110563
IPO13,Ipo13,0.9851055,99.1693,1.0,1.9673024940367072
FLRT2,Flrt2,0.99920624,96.9697,1.0,1.9672942851563993
RAB39A,Rab39,0.99748015,97.235,1.0,1.9672542744740744
MIB1,Mib1,0.98470074,99.2048,1.0,1.9670161612201134
PTCHD4,Ptchd4,0.9941383,97.7288,1.0,1.9669710823759323
ERBB4,Erbb4,0.9952425,97.5535,1.0,1.9669387768192472
TRIM23,Trim23,0.99519354,97.561,1.0,1.9669373811582767
PSMD12,Psmd12,0.9949891,97.5877,1.0,1.9668836793451736
PDIK1L,Pdik1l,0.98315746,99.4135,1.0,1.9666848733306521
DENND5A,Dennd5a,0.99944276,96.87135,1.0,1.9666569733761698
TP63,Trp63,0.99163735,98.0882,1.0,1.9666539479967793
CTDSPL2,Ctdspl2,0.99791276,97.1,1.0,1.966554001187835
CDH2,Cdh2,0.99842244,97.0199,1.0,1.9665475448181535
ZNF148,Zfp148,0.99546224,97.4811,1.0,1.966543389731981
CREB1,Creb1,0.99437475,97.6477,1.0,1.9665125083838473
HOMER1,Homer1,0.9865286,98.8701,1.0,1.9665011592395198
CSMD3,Csmd3,0.99391776,97.707,1.0,1.9663884942745278
CHST11,Chst11,0.99921983,96.875,1.0,1.9663343911697133
VPS39,Vps39,0.9987132,96.9526,1.0,1.9663198582517558
ESRP1,Esrp1,0.9970224,97.21,1.0,1.9662549947466594
TRAPPC13,Trappc13,0.9990683,96.89,1.0,1.9662449249290148
ZNF143,Zfp143,0.99772733,97.0981,1.0,1.9662345044188245
ARHGAP5,Arhgap5,0.99548715,97.4376,1.0,1.9661326479473797
ARGLU1,Arglu1,0.98846424,98.53075,1.0,1.966112200487956
CSTF1,Cstf1,0.9819449,99.536,1.0,1.9659945464686466
TNMD,Tnmd,0.9989451,96.8454,1.0,1.9655833186849727
FITM1,Fitm1,0.99836206,96.9178,1.0,1.9653913340508358
