rhesus_macaque gene name,human gene name,correlation,identical_scores,orthology confidence,combo_score
HS6ST1,HS6ST1,0.99999917,100.0,1.0,1.999991170487248
UGCG,UGCG,0.99999917,100.0,1.0,1.999991170487248
GREM2,GREM2,0.99999917,100.0,1.0,1.999991170487248
RRAGC,RRAGC,0.99999917,100.0,1.0,1.999991170487248
CAMK2N1,CAMK2N1,0.9999991,100.0,1.0,1.9999910309689877
H2AC20,H2AC20,0.9999991,100.0,1.0,1.9999910309689877
BCAS2,BCAS2,0.9999991,100.0,1.0,1.9999910309689877
RAB39B,RAB39B,0.9999991,100.0,1.0,1.9999910309689877
TMA7,TMA7,0.99999905,100.0,1.0,1.9999909313130875
KLHL9,KLHL9,0.99999905,100.0,1.0,1.9999909313130875
ZNF146,ZNF146,0.999999,100.0,1.0,1.9999908316571873
RGP1,RGP1,0.999999,100.0,1.0,1.9999908316571873
S100P,S100P,0.9999989,100.0,1.0,1.999990632345387
SCX,SCX,0.9999989,100.0,1.0,1.999990632345387
TMEM170B,TMEM170B,0.9999989,100.0,1.0,1.999990632345387
RAB39A,RAB39A,0.99999887,100.0,1.0,1.999990572551847
LSM6,LSM6,0.9999988,100.0,1.0,1.9999904330335867
UFC1,UFC1,0.9999988,100.0,1.0,1.9999904330335867
CACNG2,CACNG2,0.9999988,100.0,1.0,1.9999904330335867
PDRG1,PDRG1,0.9999988,100.0,1.0,1.9999904330335867
RAP2B,RAP2B,0.99999875,100.0,1.0,1.9999903333776867
DUSP23,DUSP23,0.99999875,100.0,1.0,1.9999903333776867
POLE3,POLE3,0.99999875,100.0,1.0,1.9999903333776867
SPCS3,SPCS3,0.99999875,100.0,1.0,1.9999903333776867
GID8,GID8,0.9999987,100.0,1.0,1.9999902337217865
WNT3,WNT3,0.9999987,100.0,1.0,1.9999902337217865
RPRM,RPRM,0.9999987,100.0,1.0,1.9999902337217865
RGS17,RGS17,0.9999986,100.0,1.0,1.9999900344099861
DYNLL2,DYNLL2,0.9999986,100.0,1.0,1.9999900344099861
DDX6,DDX6,0.99999857,100.0,1.0,1.9999899746164462
PCBP1,PCBP1,0.9999985,100.0,1.0,1.999989835098186
PRRX2,PRRX2,0.9999985,100.0,1.0,1.999989835098186
CDKN2C,CDKN2C,0.99999845,100.0,1.0,1.9999897354422858
LRRC73,LRRC73,0.99999845,100.0,1.0,1.9999897354422858
GLRA3,GLRA3,0.99999845,100.0,1.0,1.9999897354422858
SPIN1,SPIN1,0.99999845,100.0,1.0,1.9999897354422858
SMPX,SMPX,0.99999845,100.0,1.0,1.9999897354422858
SH3BGRL,SH3BGRL,0.99999845,100.0,1.0,1.9999897354422858
HAS2,HAS2,0.9999984,100.0,1.0,1.9999896357863856
DPY30,DPY30,0.9999984,100.0,1.0,1.9999896357863856
ARL4D,ARL4D,0.99999833,100.0,1.0,1.9999894962681255
RPL10A,RPL10A,0.9999982,100.0,1.0,1.9999892371627852
HOXC4,HOXC4,0.9999982,100.0,1.0,1.9999892371627852
KCNV1,KCNV1,0.9999982,100.0,1.0,1.9999892371627852
BRK1,BRK1,0.9999982,100.0,1.0,1.9999892371627852
FGF9,FGF9,0.9999981,100.0,1.0,1.9999890378509848
H2AC14,H2AC14,0.99999803,100.0,1.0,1.9999888983327248
BBLN,BBLN,0.999998,100.0,1.0,1.9999888385391849
NEUROD6,NEUROD6,0.9999979,100.0,1.0,1.9999886392273845
NDP,NDP,0.99999785,100.0,1.0,1.999988539571484
FUT9,FUT9,0.99999785,100.0,1.0,1.999988539571484
MACIR,MACIR,0.9999978,100.0,1.0,1.999988439915584
EIF4EBP2,EIF4EBP2,0.99999774,100.0,1.0,1.9999883203285038
CRIP1,CRIP1,0.9999977,100.0,1.0,1.9999882406037837
CTXN2,CTXN2,0.9999977,100.0,1.0,1.9999882406037837
LRRC8A,LRRC8A,0.99999714,100.0,1.0,1.9999871244577023
KCND3,KCND3,0.99996316,100.0,1.0,1.99991939830797
NFYA,NFYA,0.9999321,100.0,1.0,1.999857492062806
VAMP4,VAMP4,0.99987626,100.0,1.0,1.9997461963535346
PRRX1,PRRX1,0.99985176,100.0,1.0,1.999697364962468
SMU1,SMU1,0.9997464,100.0,1.0,1.9994873700497027
H2AZ1,H2AZ1,0.9997103,100.0,1.0,1.999415418489805
SERINC1,SERINC1,0.99969244,100.0,1.0,1.9993798214022762
SNRNP200,SNRNP200,0.9999981,99.9532,1.0,1.9993775265425988
RORB,RORB,0.9996882,100.0,1.0,1.9993713705819447
KCNC2,KCNC2,0.999678,100.0,1.0,1.999351040778317
KCNJ2,KCNJ2,0.99964976,100.0,1.0,1.9992947551259208
FBXL7,FBXL7,0.9995961,100.0,1.0,1.999187804413895
LMO1,LMO1,0.99951553,100.0,1.0,1.9990272188964169
ID4,ID4,0.99949956,100.0,1.0,1.9989953888019132
TBC1D9,TBC1D9,1.0000001,99.921,1.0,1.9989607720920657
SEC61G,SEC61G,0.99943924,100.0,1.0,1.99887516392399
ACTC1,ACTC1,0.9994239,100.0,1.0,1.9988445894938285
LDB1,LDB1,0.9993978,100.0,1.0,1.9987925691139576
SNAP25,SNAP25,0.99937946,100.0,1.0,1.9987560153297879
ANKRD52,ANKRD52,0.99996173,99.9071,1.0,1.9987026720691183
CTNNB1,CTNNB1,0.9992863,100.0,1.0,1.9985703364566554
POLR2A,POLR2A,0.9999472,99.8985,1.0,1.9985613403283826
S100A6,S100A6,0.9992473,100.0,1.0,1.9984926048545495
DHX15,DHX15,0.9999478,99.8742,1.0,1.9982450207121378
HNRNPH3,HNRNPH3,0.99911475,100.0,1.0,1.9982284170632902
FLRT3,FLRT3,0.9999815,99.8459,1.0,1.9979424073779888
CHMP2A,CHMP2A,0.99885714,100.0,1.0,1.997714969934612
XAB2,XAB2,0.9995889,99.883,1.0,1.9976446756933108
TAGLN2,TAGLN2,0.99876505,100.0,1.0,1.9975314236977424
ZIC2,ZIC2,0.999966,99.81205,1.0,1.9974692136688428
UBL3,UBL3,0.9987312,100.0,1.0,1.9974639566533505
RAD21,RAD21,0.9997389,99.8415,1.0,1.997401384434358
VANGL2,VANGL2,0.99995756,99.8081,1.0,1.9974007791531536
AP1S2,AP1S2,0.99867606,100.0,1.0,1.9973540561266812
STMN2,STMN2,0.9986573,100.0,1.0,1.9973166652329502
DLGAP3,DLGAP3,0.99995065,99.7957,1.0,1.9972249823439947
MIB1,MIB1,0.99925023,99.9006,1.0,1.9971996364840248
KCNS2,KCNS2,0.9999591,99.7904,1.0,1.997172571842091
CCDC6,CCDC6,0.99996257,99.789,1.0,1.9971611948882324
TFAP2D,TFAP2D,0.9999777,99.7788,1.0,1.9970580726579397
FZD8,FZD8,0.99994266,99.78375,1.0,1.9970529128838193
ZBTB12,ZBTB12,0.9999387,99.7821,1.0,1.9970234604429635
XPR1,XPR1,0.9994339,99.8563,1.0,1.996986867361568
FEZF2,FEZF2,0.9998914,99.78215,1.0,1.996929839285483
RABGGTB,RABGGTB,0.9984472,100.0,1.0,1.9968979111405807
ZBTB18,ZBTB18,0.9996773,99.8117,1.0,1.9968892272331282
RPS7,RPS7,0.9984274,100.0,1.0,1.996858447404127
KCNK12,KCNK12,0.9999496,99.7674,1.0,1.9968531081592515
SLITRK2,SLITRK2,0.99997187,99.7633,1.0,1.9968439223252834
TBX20,TBX20,0.99988246,99.7763,1.0,1.9968355818969905
B3GALT2,B3GALT2,0.9999679,99.763,1.0,1.9968320897025282
PELI1,PELI1,0.9999795,99.7608,1.0,1.996826463613273
GABRB2,GABRB2,0.9984047,100.0,1.0,1.9968132036254655
POU3F1,POU3F1,0.9998571,99.7783,1.0,1.9968111693863386
POU3F2,POU3F2,0.99984,99.7743,1.0,1.9967248211446984
EIF4A3,EIF4A3,0.9983473,100.0,1.0,1.99669879865211
GPR180,GPR180,0.99983424,99.7727,1.0,1.9966924344154853
MAP3K2,MAP3K2,0.9999231,99.7579,1.0,1.9966761589631696
TCERG1,TCERG1,0.9995009,99.8206,1.0,1.9966539328978912
RING1,RING1,0.99992865,99.7537,1.0,1.9966323415481013
LHX5,LHX5,0.9999223,99.7512,1.0,1.9965870190464132
DRD1,DRD1,0.9997548,99.7758,1.0,1.9965746072122905
ZNF711,ZNF711,0.9999012,99.7522,1.0,1.9965580307375044
MCM6,MCM6,0.9998718,99.7564,1.0,1.996554312288208
DSTN,DSTN,0.99827474,100.0,1.0,1.9965541780098333
AP3M1,AP3M1,0.99983984,99.7608,1.0,1.9965481047530145
XPO4,XPO4,0.9999583,99.7394,1.0,1.9965045868193194
ASTN1,ASTN1,0.9997691,99.7682,1.0,1.9965038035445208
EEF1G,EEF1G,0.9997488,99.7712,1.0,1.996502542691911
GABPA,GABPA,0.9996647,99.7797,1.0,1.9964459865559447
SUZ12,SUZ12,0.9999711,99.7294,1.0,1.99639943392027
NUTF2,NUTF2,0.99819523,100.0,1.0,1.9963957051974377
NEUROD2,NEUROD2,0.9999113,99.7382,1.0,1.996395230496054
TAB1,TAB1,0.9981948,100.0,1.0,1.9963948481566964
ARHGAP35,ARHGAP35,0.9999422,99.7332,1.0,1.9963914854375955
JAKMIP2,JAKMIP2,0.99975437,99.7561,1.0,1.9963163404968651
USP9X,USP9X,0.99954605,99.78495,1.0,1.996278102129902
WNT1,WNT1,0.9998864,99.7297,1.0,1.9962345367697245
CDC5L,CDC5L,0.9997415,99.7506,1.0,1.996218823422954
MSTN,MSTN,0.99985117,99.7333,1.0,1.9962113585539036
PCBD1,PCBD1,0.9980995,100.0,1.0,1.9962049040110381
KHDC4,KHDC4,0.9980914,100.0,1.0,1.9961887597552161
POU3F4,POU3F4,0.99989665,99.723,1.0,1.9961674208068982
NEUROD1,NEUROD1,0.9999212,99.7191,1.0,1.996165392578166
WNT3A,WNT3A,0.99991006,99.7159,1.0,1.996101376504581
HOXD13,HOXD13,0.9999513,99.7085,1.0,1.9960868807319945
PFDN4,PFDN4,0.99802685,100.0,1.0,1.9960601039881412
WNT7A,WNT7A,0.999905,99.7135,1.0,1.9960599317732108
HS3ST5,HS3ST5,0.99992055,99.711,1.0,1.996058258555782
HOXD10,HOXD10,0.99993914,99.7059,1.0,1.9960286715666153
TUSC3,TUSC3,0.9979968,100.0,1.0,1.9960002107921597
NCKAP1,NCKAP1,0.999725,99.73545,1.0,1.9959879797895406
ONECUT2,ONECUT2,0.9999368,99.7028,1.0,1.9959835015795488
ACTR3B,ACTR3B,0.99798435,100.0,1.0,1.995975396473026
SCRT1,SCRT1,0.99982953,99.7126,1.0,1.9958977513246925
GUCY1B1,GUCY1B1,0.99792767,100.0,1.0,1.9958624265446323
C1GALT1C1,C1GALT1C1,0.99996483,99.6855,1.0,1.9958133185567575
BARHL1,BARHL1,0.9998984,99.6942,1.0,1.9957945941120885
PNMA1,PNMA1,0.99975014,99.7167,1.0,1.995793090258346
KCTD12,KCTD12,0.9998977,99.6923,1.0,1.9957683726156845
CAB39,CAB39,0.9997784,99.7067,1.0,1.9957187509636183
ARRDC3,ARRDC3,0.9994114,99.7585,1.0,1.9956641203697516
PURB,PURB,0.9999104,99.6795,1.0,1.9956264342581793
DCUN1D3,DCUN1D3,0.99996436,99.6711,1.0,1.9956242244656388
SERBP1,SERBP1,0.9994669,99.7455,1.0,1.995604874166573
SLITRK5,SLITRK5,0.99983674,99.6868,1.0,1.9955750064970232
UBQLN4,UBQLN4,0.999946,99.6672,1.0,1.9955366715434102
LINGO2,LINGO2,0.99992377,99.67,1.0,1.9955289506768656
PITX3,PITX3,0.9999263,99.6689,1.0,1.9955196201363692
MCMBP,MCMBP,0.99978846,99.6875,1.0,1.995487925296516
NALF1,NALF1,0.9998593,99.67224999999999,1.0,1.9954298539413646
SLC25A53,SLC25A53,0.9998444,99.6743,1.0,1.9954269427690687
ORAI1,ORAI1,0.99988186,99.6678,1.0,1.9954166728432856
SRGAP1,SRGAP1,0.9976993,100.0,1.0,1.9954072581863533
RWDD2A,RWDD2A,0.9999179,99.6575,1.0,1.9953539200623345
BCL11B,BCL11B,0.99913645,99.7763,1.0,1.995348695935788
CEPT1,CEPT1,0.99921596,99.7596,1.0,1.9952889585163454
HSPA5,HSPA5,0.9975754,100.0,1.0,1.9951603108658174
SP9,SP9,0.99958754,99.6905,1.0,1.9951266674702568
GDF11,GDF11,0.99836135,99.87745000000001,1.0,1.9951255047198195
PARK7,PARK7,0.99754643,100.0,1.0,1.9951025702372789
HNRNPF,HNRNPF,0.99753726,100.0,1.0,1.995084293345194
TMEM178B,TMEM178B,0.9997444,99.6599,1.0,1.99503947364314
SLC25A51,SLC25A51,0.9997198,99.6633,1.0,1.9950348689754984
SLC17A6,SLC17A6,0.9997531,99.6564,1.0,1.9950110810864445
CDC40,CDC40,0.99976254,99.6546,1.0,1.995006376454683
KIFAP3,KIFAP3,0.9983213,99.8737,1.0,1.9949966810402542
LRATD1,LRATD1,0.9997064,99.6575,1.0,1.994932375604761
SPRY3,SPRY3,0.9997228,99.6528,1.0,1.994903650279548
PCGF1,PCGF1,0.9999432,99.6139,1.0,1.9948346473784522
SMARCA1,SMARCA1,0.9974081,100.0,1.0,1.994826862223964
NAA20,NAA20,0.9973999,100.0,1.0,1.9948105186563416
TOX,TOX,0.99989074,99.6198,1.0,1.9948071806456256
HOXB5,HOXB5,0.9998348,99.6283,1.0,1.9948067507126153
DOLK,DOLK,0.9998321,99.6283,1.0,1.994801369294008
YES1,YES1,0.9998079,99.6317,1.0,1.994797561873567
LRFN2,LRFN2,0.9998846,99.6198,1.0,1.994794942901089
GMEB1,GMEB1,0.9985449,99.8224,1.0,1.9947720317530067
HOXC9,HOXC9,0.9998988,99.6154,1.0,1.9947657526605542
PI15,PI15,0.9999101,99.6124,1.0,1.9947490754511397
CASTOR2,CASTOR2,0.9973642,100.0,1.0,1.994739364343645
PPTC7,PPTC7,0.9994997,99.6711,1.0,1.9946981022544992
SFRP2,SFRP2,0.9995619,99.661,1.0,1.9946901027366888
SNRPN,SNRPN,0.99733573,100.0,1.0,1.9946826202741077
RIMS4,RIMS4,0.9997602,99.6283,1.0,1.994658064109613
EIF3C,EIF3CL,0.9983981,99.83585,1.0,1.9946551861989648
PCSK2,PCSK2,0.9993745,99.6865,1.0,1.9946497876871656
NXPH2,NXPH2,0.9997624,99.6212,1.0,1.9945696769544856
TNPO1,TNPO1,0.997279,100.0,1.0,1.994569550689814
CLIC4,CLIC4,0.99987006,99.6047,1.0,1.9945686591030083
GABRA3,GABRA3,0.99993527,99.5935,1.0,1.9945522857413431
MEX3A,MEX3A,0.99978745,99.6154,1.0,1.9945438189709526
GSX1,GSX1,0.9997489,99.6212,1.0,1.9945427698614488
RHOU,RHOU,0.9998031,99.6124,1.0,1.9945358118248495
PLAGL2,PLAGL2,0.9998905,99.5968,1.0,1.9945061732354914
FHL3,FHL3,0.9995699,99.6429,1.0,1.9944695443755442
CDC20,CDC20,0.9998425,99.5992,1.0,1.9944418631256373
PLAG1,PLAG1,0.9985025,99.8,1.0,1.994394834376447
SLC35F3,SLC35F3,0.99984777,99.5918,1.0,1.9943556748984936
TRIM24,TRIM24,0.9990443,99.7143,1.0,1.9943549082930363
SOX9,SOX9,0.9997346,99.6071,1.0,1.9943300308926375
SPTBN1,SPTBN1,0.99882084,99.7462,1.0,1.9943263468864054
EXOC8,EXOC8,0.9998515,99.5862,1.0,1.9942899369353324
RNF187,RNF187,0.9999065,99.5745,1.0,1.9942466805983852
ACTA1,ACTA1,0.9971146,100.0,1.0,1.9942418820901682
ZNF32,ZNF32,0.99951154,99.6337,1.0,1.9942330143841807
PLEKHF2,PLEKHF2,0.9997253,99.5984,1.0,1.9941978165109608
RPE65,RPE65,0.99830365,99.8124,1.0,1.9941605272253682
HOXC8,HOXC8,0.99977744,99.5868,1.0,1.9941501665046206
E2F3,E2F3,0.9998849,99.5699,1.0,1.9941435234371636
GRIN2D,GRIN2D,0.9999675,99.5509,1.0,1.9940598918461676
ZBTB5,ZBTB5,0.99991167,99.5569,1.0,1.9940270149537669
CLIC1,CLIC1,0.9997141,99.5851,1.0,1.9940017093927165
SFN,SFN,0.9996238,99.5968,1.0,1.9939746086641683
TRPC5,TRPC5,0.99929744,99.6405,1.0,1.9938951398902494
P4HA1,P4HA1,0.9981638,99.8127,1.0,1.9938857096169742
SV2A,SV2A,0.9986941,99.7305,1.0,1.9938685953598516
UBASH3B,UBASH3B,0.9999245,99.5378,1.0,1.993803016871627
ZNF367,ZNF367,0.9997055,99.57105,1.0,1.993800984520568
PGK1,PGK1,0.9984543,99.7602,1.0,1.9937787201469694
CORO2B,CORO2B,0.9995959,99.5833,1.0,1.993742603179089
RND2,RND2,0.99973565,99.5595,1.0,1.9937101591733954
SMCO4,SMCO4,0.9968474,100.0,1.0,1.993709320959844
NPTX1,NPTX1,0.9998602,99.537,1.0,1.9936644061992939
SRPRA,SRPRA,0.9999073,99.5298,1.0,1.9936642033943928
PBX2,PBX2,0.9998725,99.5349,1.0,1.9936614819407354
DSCAM,DSCAM,0.9984321,99.7514,1.0,1.9936194878949633
H1-4,H1-4,0.9997932,99.5434,1.0,1.993614492771182
GRPEL1,GRPEL1,0.9998016,99.5392,1.0,1.9935763557424213
ZNF503,ZNF503,0.9998149,99.5356,1.0,1.9935558248804433
SLITRK4,SLITRK4,0.9998967,99.5221,1.0,1.993542464440261
KIF3B,KIF3B,0.9976365,99.8661,1.0,1.99353248857679
MED18,MED18,0.9999078,99.5192,1.0,1.993526695255341
INHBA,INHBA,0.99982196,99.5305,1.0,1.9935032572407054
PRR12,PRR12,0.9999398,99.5088,1.0,1.9934545836295643
VAV2,VAV2,0.9989575,99.6583,1.0,1.99345018271729
LHFPL5,LHFPL5,0.99671704,100.0,1.0,1.9934494980970108
RAB25,RAB25,0.9967137,100.0,1.0,1.9934428410828815
RLIM,RLIM,0.99985915,99.5192,1.0,1.9934297300645092
RRAS,RRAS,0.99971074,99.5413,1.0,1.993422700650687
B4GAT1,B4GAT1,0.9998609,99.5181,1.0,1.9934188448919707
HOXC5,HOXC5,0.99963427,99.5496,1.0,1.9933787387088915
PAPSS1,PAPSS1,0.99877423,99.6795,1.0,1.9933619133770395
EBF1,EBF1,0.9966613,100.0,1.0,1.9933384016995395
RGS2,RGS2,0.99974483,99.5261,1.0,1.9932920355329835
CLDN1,CLDN1,0.99974275,99.5261,1.0,1.9932878898475377
TRIM46,TRIM46,0.9983613,99.7365,1.0,1.9932836845742399
