rhesus_macaque gene name,commonmarmoset gene name,correlation,identical_scores,orthology confidence,combo_score
INTS3,INTS3,0.9991937,99.95205,1.0,1.9979720113185195
APPBP2,APPBP2,0.9998601,99.8291,1.0,1.9979176509746712
PRKAA2,PRKAA2,0.99990916,99.8188,1.0,1.9979003912854314
TNPO2,TNPO2,0.99950445,99.8885,1.0,1.9978806441257486
KCNC1,KCNC1,0.9998312,99.8291,1.0,1.997863387737436
KHSRP,KHSRP,0.9987958,100.0,1.0,1.997734087380786
ANGPTL2,ANGPTL2,0.99992955,99.7972,1.0,1.9977093054468793
KCNV1,KCNV1,0.9999136,99.8,1.0,1.9977090906133272
EFTUD2,EFTUD2,0.99877894,100.0,1.0,1.9977024306963642
MEX3A,MEX3A,0.9998659,99.8077,1.0,1.997701294451756
KCNC2,KCNC2,0.9996633,99.8433,1.0,1.9976989251091546
DDX6,DDX6,0.99994314,99.793,1.0,1.9976902224876283
GNAO1,GNAO1,0.99876356,100.0,1.0,1.9976735528905276
COPB1,COPB1,0.99991834,99.7901,1.0,1.997612862378484
ZBTB12,ZBTB12,0.9999234,99.7821,1.0,1.9975374110931545
MIB1,MIB1,0.99925023,99.9006,1.0,1.9975318053695665
SUPT6H,SUPT6H,0.9993342,99.8841,1.0,1.9975142555821912
RIMS4,RIMS4,0.9997222,99.81479999999999,1.0,1.997506875302847
NXPH2,NXPH2,0.9986672,100.0,1.0,1.997492625363193
TBX20,TBX20,0.99992067,99.7763,1.0,1.997470694955462
NFYB,NFYB,0.9986311,100.0,1.0,1.997424843257166
ABHD2,ABHD2,0.999952,99.7647,1.0,1.9974063403443627
WNT10A,WNT10A,0.9999699,99.7602,1.0,1.9973921642284593
USP27X,USP27X,0.9998948,99.7717,1.0,1.9973732734824523
STRBP,STRBP,0.99944323,99.8512,1.0,1.9973696072746052
DNAJA2,DNAJA2,0.9999683,99.7573,1.0,1.9973583649187567
PRKCB,PRKCB,0.9985898,100.0,1.0,1.9973472975236775
STAG2,STAG2,0.9999193,99.7634,1.0,1.9973311374411402
IKZF5,IKZF5,0.99991876,99.7613,1.0,1.997307823613933
PCDH9,PCDH9,0.99993366,99.7575,1.0,1.9972954479400484
QRICH1,QRICH1,0.99997014,99.7426,1.0,1.9972057203564446
GABRB2,GABRB2,0.9996189,99.8047,1.0,1.9972056651301475
HOXB8,HOXB8,0.99966,99.79425,1.0,1.997171866729549
SF3B4,SF3B4,0.9998183,99.7642,1.0,1.997149992958507
CDH6,CDH6,0.9999102,99.7468,1.0,1.997137775597846
FGF14,FGF14,0.9984646,100.0,1.0,1.997112219416348
BRINP1,BRINP1,0.99993086,99.7372,1.0,1.99707462478572
TOP1,TOP1,0.99991816,99.7392,1.0,1.9970720170147416
PELO,PELO,0.99990577,99.7403,1.0,1.997060434201006
AGO3,AGO3,0.99843305,100.0,1.0,1.9970529804843489
GPR85,GPR85,0.99995935,99.7297,1.0,1.9970484756554536
ST8SIA3,ST8SIA3,0.99989074,99.7368,1.0,1.9969950470423226
IK,IK,0.9993819,99.8205,1.0,1.9969284493230544
ATAD1,ATAD1,0.9999319,99.723,1.0,1.9969257876297442
ANKRD52,ANKRD52,0.9999348,99.7212,1.0,1.9969121185193477
GPR139,GPR139,0.9999504,99.7167,1.0,1.9968936238759132
RAB11A,RAB11A,0.9983468,100.0,1.0,1.996891035701943
ZNF362,ZNF362,0.99967766,99.7619,1.0,1.9968615006749055
CPNE5,CPNE5,0.9992352,99.8361,1.0,1.9968186588609145
CEBPB,CEBPB,0.99994683,99.7093,1.0,1.996808340127682
CSNK2A2,CSNK2A2,0.99990296,99.7143,1.0,1.996779063937769
WNT7A,WNT7A,0.999905,99.7135,1.0,1.996774399079337
HS3ST5,HS3ST5,0.99991053,99.711,1.0,1.9967582348072748
EBF1,EBF1,0.99827385,100.0,1.0,1.9967540632743899
TEAD3,TEAD3,0.9995719,99.7701,1.0,1.9967499993603592
AKT3,AKT3,0.99825025,100.0,1.0,1.9967097514266823
HOXD10,HOXD10,0.9999114,99.7059,1.0,1.9967057114079942
GRIN2B,GRIN2B,0.99996215,99.69669999999999,1.0,1.9967033058039898
KCNJ2,KCNJ2,0.9995524,99.7658,1.0,1.9966677240327104
ATP2B2,ATP2B2,0.9995781,99.7587,1.0,1.996640583943082
TMEM198,TMEM198,0.9997537,99.7222,1.0,1.9965827004225494
CPSF3,CPSF3,0.99980104,99.7076,1.0,1.996516549501095
CTNNB1,CTNNB1,0.9992142,99.8081,1.0,1.9964818966662965
SMARCA4,SMARCA4,0.9999748,99.6728,1.0,1.996473263468291
EIF2S1,EIF2S1,0.9998951,99.6825,1.0,1.9964266214568953
GNAT1,GNAT1,0.99971235,99.7143,1.0,1.996421170662704
CDK5R1,CDK5R1,0.99993056,99.6743,1.0,1.9964061260386519
ERC1,ERC1,0.99957114,99.7321,1.0,1.9963450501506403
SMAD5,SMAD5,0.9980443,100.0,1.0,1.9963230554506073
CREB1,CREB1,0.99969095,99.7067,1.0,1.996300285136858
CDK8,CDK8,0.9998544,99.6767,1.0,1.9962886120625307
PIP4K2B,PIP4K2B,0.99802476,100.0,1.0,1.996286366742802
NT5C2,NT5C2,0.9995118,99.7364,1.0,1.996279293865015
KCNIP4,KCNIP4,0.99801946,100.0,1.0,1.9962764153532744
CRK,CRK,0.99984866,99.6711,1.0,1.996218368087782
DLX3,DLX3,0.9999507,99.6516,1.0,1.9962028898886224
UBQLN4,UBQLN4,0.99986184,99.6672,1.0,1.9962017010057793
DCUN1D3,DCUN1D3,0.999838,99.6711,1.0,1.996198352651487
UPF1,UPF1,0.9979717,100.0,1.0,1.9961867401902866
RTF1,RTF1,0.9999379,99.64869999999999,1.0,1.9961480612274651
PITX3,PITX3,0.99980295,99.6689,1.0,1.9961091802345368
ARIH1,ARIH1,0.99995655,99.6409,1.0,1.996100250608128
ACTR2,ACTR2,0.9979215,100.0,1.0,1.9960924836328748
TMEM178B,TMEM178B,0.99982053,99.6599,1.0,1.9960466177542031
CDC42,CDC42,0.99789375,100.0,1.0,1.996040379659405
SLC17A7,SLC17A7,0.99990153,99.6429,1.0,1.9960181819305824
DDX23,DDX23,0.99990666,99.6341,1.0,1.9959343668741094
PDE4B,PDE4B,0.9993716,99.7283,1.0,1.9959300375012305
TMEM258,TMEM258,0.997829,100.0,1.0,1.9959188037213091
HSF2,HSF2,0.99992704,99.6269,1.0,1.9958961759419664
UBR5,UBR5,0.9999278,99.62555,1.0,1.995883267275927
CHERP,CHERP,0.99963444,99.6764,1.0,1.9958724249192101
ANKRD28,ANKRD28,0.99935496,99.723,1.0,1.9958425131629483
EIF3D,EIF3D,0.99932957,99.72659999999999,1.0,1.9958330687949029
HOXC12,HOXC12,0.99977875,99.6429,1.0,1.9957876476652634
NLGN3,NLGN3,0.999755,99.6462,1.0,1.9957780968933885
TMEM178A,TMEM178A,0.99964935,99.6633,1.0,1.995761311268177
LGI2,LGI2,0.99981964,99.633,1.0,1.9957592954174808
OVOL1,OVOL1,0.9998563,99.6255,1.0,1.9957484864480515
FGFR1OP2,FGFR1OP2,0.9999633,99.6047,1.0,1.9957285165399345
BMPR1A,BMPR1A,0.99984795,99.6241,1.0,1.9957179417074622
MTOR,MTOR,0.9999096,99.60735,1.0,1.995655828675397
PPTC7,PPTC7,0.9994997,99.6711,1.0,1.9955631535803235
C1QL1,C1QL1,0.99980897,99.6124,1.0,1.995520509686793
PRRX2,PRRX2,0.9998491,99.6047,1.0,1.995514092259926
PLAGL2,PLAGL2,0.99989057,99.5968,1.0,1.9955080670436036
C1QL3,C1QL3,0.9998253,99.6078,1.0,1.9955023238058707
HOXB9,HOXB9,0.9998686,99.6,1.0,1.99550079653594
EXT1,EXT1,0.9998714,99.5979,1.0,1.9954837539617554
RAB40C,RAB40C,0.9996063,99.6441,1.0,1.9954765947883697
CTCF,CTCF,0.99992436,99.5873,1.0,1.9954706312913901
MTF2,MTF2,0.99854165,99.8314,1.0,1.995466525721341
IKZF4,IKZF4,0.9995193,99.6581,1.0,1.9954619078707854
PLEKHF2,PLEKHF2,0.99985117,99.5984,1.0,1.9954510791985596
RNF41,RNF41,0.99757904,100.0,1.0,1.9954494736597423
HIKESHI,HIKESHI,0.99757564,100.0,1.0,1.9954430897494793
INO80D,INO80D,0.9997672,99.6105,1.0,1.995421905360691
ZNF143,ZNF143,0.99933493,99.6865,1.0,1.9954173107116095
PRPF4,PRPF4,0.99971503,99.6161,1.0,1.9953834163226962
EIF1B,EIF1B,0.9975059,100.0,1.0,1.995312144484262
PGD,PGD,0.9998183,99.5859,1.0,1.9952566242355672
WDR45B,WDR45B,0.9991146,99.7093,1.0,1.9952457278811715
NR2F1,NR2F1,0.99745655,100.0,1.0,1.9952194839044162
DNAJB4,DNAJB4,0.99912554,99.7033,1.0,1.9952025550168297
ZBTB43,ZBTB43,0.9998647,99.5717,1.0,1.995192955952982
KLHL11,KLHL11,0.9998134,99.5763,1.0,1.9951454814392293
ELAVL4,ELAVL4,0.9988153,99.7512,1.0,1.995128692356353
OTP,OTP,0.9991483,99.6923,1.0,1.9951284806000693
FEM1C,FEM1C,0.99832374,99.8379,1.0,1.9951263969393978
TFAP2D,TFAP2D,0.99990517,99.5575,1.0,1.9951181533798499
ZCCHC24,ZCCHC24,0.9997402,99.5851,1.0,1.995101486856996
CHRM1,CHRM1,0.9998454,99.5652,1.0,1.9950876943368447
MAU2,MAU2,0.9987705,99.75515,1.0,1.9950865200231975
SOX10,SOX10,0.9997653,99.5717,1.0,1.995006320458824
ZNF513,ZNF513,0.998904,99.7231,1.0,1.9949968432481748
DPYSL5,DPYSL5,0.99833745,99.8227,1.0,1.9949907302315173
MARK2,MARK2,0.9994782,99.6193,1.0,1.9949727202388274
TAF5L,TAF5L,0.99923915,99.6604,1.0,1.9949603161545202
ERG,ERG,0.99964386,99.5885,1.0,1.9949567015015814
STT3B,STT3B,0.9976529,99.93945,1.0,1.994945173924715
FLRT3,FLRT3,0.9999081,99.5378,1.0,1.9949144603953775
GSTA4,GSTA4,0.99983704,99.5496,1.0,1.9949063409385803
CHMP2A,CHMP2A,0.99983686,99.5496,1.0,1.9949060029668604
HOXB6,HOXB6,0.9998051,99.5536,1.0,1.9948888457574707
SUPT5H,SUPT5H,0.99908465,99.6782,1.0,1.9948592420638114
SRGAP1,SRGAP1,0.9998674,99.5392,1.0,1.9948529078423205
POU2F1,POU2F1,0.99947417,99.6084,1.0,1.99484940626501
IP6K1,IP6K1,0.99981964,99.5465,1.0,1.9948407514212143
OTX1,OTX1,0.99964106,99.57705,1.0,1.994829856548027
PBX3,PBX3,0.99724233,100.0,1.0,1.9948172600054368
PTCHD1,PTCHD1,0.9997846,99.5496,1.0,1.9948078785108778
GPAT4,GPAT4,0.9997133,99.5614,1.0,1.994799308425121
LHFPL5,LHFPL5,0.9998142,99.5434,1.0,1.9947976182470084
FBXL3,FBXL3,0.9998724,99.5327,1.0,1.9947932724083568
USP47,USP47,0.9992854,99.6364,1.0,1.9947922999726106
MCRS1,MCRS1,0.99958885,99.5789,1.0,1.9947514711336911
PBX2,PBX2,0.9998356,99.5349,1.0,1.9947475377804855
PRDM12,PRDM12,0.99951684,99.5868,1.0,1.994700153814887
KCND2,KCND2,0.9998624,99.5238,1.0,1.99467998705064
PPFIA2,PPFIA2,0.99851257,99.7613,1.0,1.9946675322102099
NPTX1,NPTX1,0.99977267,99.537,1.0,1.994651679024049
SAMD8,SAMD8,0.99987453,99.5181,1.0,1.9946422342566115
OGT,OGT,0.99711406,100.0,1.0,1.994576417602664
DESI1,DESI1,0.99711376,100.0,1.0,1.994575854316464
CAPZB,CAPZB,0.9989885,99.6678,1.0,1.9945682711771497
KCNK12,KCNK12,0.9990714,99.6517,1.0,1.994552959937957
PRPF8,PRPF8,0.99999976,99.48660000000001,1.0,1.9945428700118404
SUZ12,SUZ12,0.99977,99.52674999999999,1.0,1.9945378209680658
CABP7,CABP7,0.99972045,99.5349,1.0,1.9945313297608447
TFAP2A,TFAP2A,0.99899024,99.66290000000001,1.0,1.9945195051089957
INIP,INIP,0.99708205,100.0,1.0,1.994516314965159
BCL11B,BCL11B,0.9989771,99.6644,1.0,1.9945107616820557
PPIB,PPIB,0.99967295,99.537,1.0,1.994464442691278
SLC8A2,SLC8A2,0.99889374,99.6747,1.0,1.9944636189824663
FAM20B,FAM20B,0.9998194,99.511,1.0,1.9944633260885842
RND2,RND2,0.9995419,99.5595,1.0,1.9944573081321413
CYFIP2,CYFIP2,0.9970205,100.0,1.0,1.9944007474131928
GJC1,GJC1,0.99987704,99.4949,1.0,1.9944005861513796
SMAD1,SMAD1,0.9988421,99.67785,1.0,1.9944001085193683
SP4,SP4,0.9991701,99.6173,1.0,1.9943729873002898
ASF1A,ASF1A,0.9997751,99.5098,1.0,1.994367404686215
TIMP3,TIMP3,0.9996548,99.5261,1.0,1.9943146167136625
ATP8A1,ATP8A1,0.9994013,99.5704,1.0,1.994309061829097
LHX2,LHX2,0.9997506,99.5074,1.0,1.9942959173661392
RAB9A,RAB9A,0.9997663,99.5025,1.0,1.9942733628824765
CELF1,CELF1,0.99750257,99.90275,1.0,1.9942731936995046
CCDC85B,CCDC85B,0.9997236,99.505,1.0,1.9942197359943994
NKIRAS2,NKIRAS2,0.9998831,99.4764,1.0,1.9942155129264751
SELENOT,SELENOT,0.99982095,99.4845,1.0,1.994184832748581
CDC5L,CDC5L,0.9997218,99.5012,1.0,1.9941760040554
PTPRK,PTPRK,0.9988008,99.6633,1.0,1.9941680562524042
DSCAM,DSCAM,0.99969983,99.5025,1.0,1.9941485574368354
PIK3CA,PIK3CA,0.99846643,99.7191,1.0,1.994132776750591
LPAR4,LPAR4,0.99992853,99.4595,1.0,1.9941213520363537
CCNK,CCNK,0.99979526,99.4828,1.0,1.9941185443639289
FGF7,FGF7,0.999769,99.4845,1.0,1.9940872903550042
EIF4A2,EIF4A2,0.99685174,100.0,1.0,1.9940838801496708
PHF5A,PHF5A,0.99683803,100.0,1.0,1.9940581379703457
BICD1,BICD1,0.99914724,99.5897,1.0,1.9940369803335287
ARL4D,ARL4D,0.99963987,99.5025,1.0,1.9940359753017276
PRRX1,PRRX1,0.99912655,99.5918,1.0,1.9940204322740058
ZRANB1,ZRANB1,0.99988985,99.455,1.0,1.9940009401431915
SV2A,SV2A,0.9998358,99.4609,1.0,1.9939621068800668
PSKH1,PSKH1,0.9994145,99.5283,1.0,1.9938867862803469
MYH10,MYH10,0.9986955,99.6512,1.0,1.993841852826899
PDS5A,PDS5A,0.9992513,99.5512,1.0,1.9938235338191066
DHX38,DHX38,0.99947727,99.511,1.0,1.9938209357302716
DHX15,DHX15,0.99670315,100.0,1.0,1.9938048844949732
CBFB,CBFB,0.9997212,99.4652,1.0,1.9937925932764617
SESTD1,SESTD1,0.9975082,99.8563,1.0,1.9937905118873598
RASL10B,RASL10B,0.99947643,99.5074,1.0,1.9937811301082589
WNT1,WNT1,0.9997467,99.4595,1.0,1.9937799442707322
TRAPPC5,TRAPPC5,0.99968904,99.4681,1.0,1.9937630041124952
MYO1B,MYO1B,0.99985987,99.42955,1.0,1.9936743953796268
PAQR8,PAQR8,0.9998239,99.435,1.0,1.9936647309455533
TBX5,TBX5,0.9999007,99.4209,1.0,1.9936592042317751
DUSP14,DUSP14,0.9994816,99.4949,1.0,1.9936580998353848
SLC25A28,SLC25A28,0.99971825,99.4505,1.0,1.9936309549111622
PEX14,PEX14,0.9981058,99.7347,1.0,1.9936213068994653
RNF2,RNF2,0.99828506,99.7024,1.0,1.9936148952946646
HMG20A,HMG20A,0.99985856,99.4236,1.0,1.9936087526124184
RBM17,RBM17,0.99939525,99.5012,1.0,1.9935628670270569
SMURF1,SMURF1,0.99881124,99.6037,1.0,1.9935547658702164
NLGN2,NLGN2,0.99990815,99.40275,1.0,1.9934804575516039
SHB,SHB,0.9998551,99.4106,1.0,1.993464208970332
POU3F4,POU3F4,0.99965006,99.446,1.0,1.9934551344321592
NAP1L1,NAP1L1,0.9965071,100.0,1.0,1.9934367769634873
NAB2,NAB2,0.99866074,99.619,1.0,1.9934346547478266
LRRTM2,LRRTM2,0.9997797,99.4186,1.0,1.9934075884180456
TRIM23,TRIM23,0.9984482,99.6516,1.0,1.9933817648385979
MEIS2,MEIS2,0.9976487,99.7904,1.0,1.9933545251127927
WNT4,WNT4,0.99966496,99.4302,1.0,1.9933153306894287
TEAD2,TEAD2,0.99956137,99.4464,1.0,1.9932928558576246
BMT2,BMT2,0.9992029,99.5062,1.0,1.9932548017207197
MYCBP2,MYCBP2,0.9997867,99.402,1.0,1.9932444562674672
GNA11,GNA11,0.99953836,99.4429,1.0,1.9932124852860293
BARHL1,BARHL1,0.9998418,99.3884,1.0,1.9932034946881145
MID2,MID2,0.99791723,99.7279,1.0,1.9931950347315452
GPM6B,GPM6B,0.99637365,100.0,1.0,1.9931862084856662
RFC5,RFC5,0.9980259,99.7059,1.0,1.9931654576430549
G3BP2,G3BP2,0.9986744,99.5851,1.0,1.9931003187516279
MANF,MANF,0.9994844,99.4413,1.0,1.9930941784657357
LPAR1,LPAR1,0.9994248,99.4505,1.0,1.9930799671268495
HNRNPM,HNRNPM,0.99940425,99.4521,1.0,1.9930583724313513
SF3A1,SF3A1,0.99985737,99.3695,1.0,1.9930320300334445
KCNS2,KCNS2,0.9998395,99.3711,1.0,1.9930154673613303
CLCN4,CLCN4,0.99701595,99.8684,1.0,1.992994743084151
PSMD2,PSMD2,0.9981317,99.6696,1.0,1.992978640001213
TMEM39A,TMEM39A,0.9985745,99.5902,1.0,1.9929669013763966
TRIM32,TRIM32,0.999714,99.3874,1.0,1.9929529157613168
GCLM,GCLM,0.99830854,99.635,1.0,1.9929432608412063
PPP3CB,PPP3CB,0.9983951,99.619,1.0,1.9929358835942235
GATA2,GATA2,0.99976605,99.375,1.0,1.9929189702458192
EXOC1,EXOC1,0.99868494,99.5647,1.0,1.9929034811564041
TMEM229B,TMEM229B,0.99960804,99.4012,1.0,1.9929005053547661
KIFAP3,KIFAP3,0.99905306,99.4949,1.0,1.9928534642753601
