crab_eating_macaque gene name,rhesus_macaque gene name,correlation,identical_scores,orthology confidence,combo_score
FZD2,FZD2,1.0000018,100.0,1.0,1.999996673605771
HOXB6,HOXB6,1.0000018,100.0,1.0,1.999996673605771
CDIP1,CDIP1,1.0000018,100.0,1.0,1.999996673605771
AWAT1,AWAT1,1.0000018,100.0,1.0,1.999996673605771
CCDC160,CCDC160,1.0000018,100.0,1.0,1.999996673605771
GALR2,GALR2,1.0000018,100.0,1.0,1.999996673605771
ANKRD45,ANKRD45,1.0000017,100.0,1.0,1.999996488806092
CLDN4,CLDN4,1.0000017,100.0,1.0,1.999996488806092
HS3ST5,HS3ST5,1.0000017,100.0,1.0,1.999996488806092
LSM2,LSM2,1.0000017,100.0,1.0,1.999996488806092
ARL6IP5,ARL6IP5,1.0000017,100.0,1.0,1.999996488806092
RPL10L,RPL10L,1.0000017,100.0,1.0,1.999996488806092
FOXB1,FOXB1,1.0000017,100.0,1.0,1.999996488806092
ENTPD7,ENTPD7,1.0000017,100.0,1.0,1.999996488806092
TBC1D30,TBC1D30,1.0000017,100.0,1.0,1.999996488806092
ARL5B,ARL5B,1.0000017,100.0,1.0,1.999996488806092
MRPL16,MRPL16,1.0000017,100.0,1.0,1.999996488806092
NKAP,NKAP,1.0000017,100.0,1.0,1.999996488806092
S100A2,S100A2,1.0000015,100.0,1.0,1.9999961192067333
SMCP,SMCP,1.0000015,100.0,1.0,1.9999961192067333
ASF1A,ASF1A,1.0000015,100.0,1.0,1.9999961192067333
H2AC12,H2AC12,1.0000015,100.0,1.0,1.9999961192067333
MED10,MED10,1.0000015,100.0,1.0,1.9999961192067333
TM2D2,TM2D2,1.0000015,100.0,1.0,1.9999961192067333
SYCE3,SYCE3,1.0000015,100.0,1.0,1.9999961192067333
ORMDL2,ORMDL2,1.0000015,100.0,1.0,1.9999961192067333
OR5AP2,OR5AP2,1.0000015,100.0,1.0,1.9999961192067333
PRKACG,PRKACG,1.0000015,100.0,1.0,1.9999961192067333
SPRY2,SPRY2,1.0000015,100.0,1.0,1.9999961192067333
ZNF878,ZNF878,1.0000015,100.0,1.0,1.9999961192067333
S100A3,S100A3,1.0000014,100.0,1.0,1.9999959344070537
PFDN2,PFDN2,1.0000014,100.0,1.0,1.9999959344070537
SLITRK3,SLITRK3,1.0000014,100.0,1.0,1.9999959344070537
C1orf53,C1H1orf53,1.0000014,100.0,1.0,1.9999959344070537
GSX2,GSX2,1.0000014,100.0,1.0,1.9999959344070537
DUSP1,DUSP1,1.0000014,100.0,1.0,1.9999959344070537
PPAT,PPAT,1.0000014,100.0,1.0,1.9999959344070537
CEBPE,CEBPE,1.0000014,100.0,1.0,1.9999959344070537
SPTSSA,SPTSSA,1.0000014,100.0,1.0,1.9999959344070537
NDUFAF2,NDUFAF2,1.0000014,100.0,1.0,1.9999959344070537
NDUFA2,NDUFA2,1.0000014,100.0,1.0,1.9999959344070537
GNAZ,GNAZ,1.0000014,100.0,1.0,1.9999959344070537
RND1,RND1,1.0000014,100.0,1.0,1.9999959344070537
OR2AP1,OR2AP1,1.0000014,100.0,1.0,1.9999959344070537
KRT86,KRT86,1.0000014,100.0,1.0,1.9999959344070537
TP53TG5,TP53TG5,1.0000014,100.0,1.0,1.9999959344070537
UPK2,UPK2,1.0000014,100.0,1.0,1.9999959344070537
SLC31A1,SLC31A1,1.0000014,100.0,1.0,1.9999959344070537
KIAA1958,KIAA1958,1.0000014,100.0,1.0,1.9999959344070537
WFIKKN2,WFIKKN2,1.0000014,100.0,1.0,1.9999959344070537
FAM32A,FAM32A,1.0000014,100.0,1.0,1.9999959344070537
NDUFA1,NDUFA1,1.0000014,100.0,1.0,1.9999959344070537
CRABP2,CRABP2,1.0000013,100.0,1.0,1.9999957496073746
RTP4,RTP4,1.0000013,100.0,1.0,1.9999957496073746
TFF1,TFF1,1.0000013,100.0,1.0,1.9999957496073746
GJB5,GJB5,1.0000013,100.0,1.0,1.9999957496073746
SCAND3,SCAND3,1.0000013,100.0,1.0,1.9999957496073746
LPAR3,LPAR3,1.0000013,100.0,1.0,1.9999957496073746
CCR5,CCR5,1.0000013,100.0,1.0,1.9999957496073746
PDIK1L,PDIK1L,1.0000013,100.0,1.0,1.9999957496073746
HK3,HK3,1.0000013,100.0,1.0,1.9999957496073746
ARMC1,ARMC1,1.0000013,100.0,1.0,1.9999957496073746
C20orf141,C10H20orf141,1.0000013,100.0,1.0,1.9999957496073746
WNT1,WNT1,1.0000013,100.0,1.0,1.9999957496073746
OTOR,OTOR,1.0000013,100.0,1.0,1.9999957496073746
PMCH,PMCH,1.0000013,100.0,1.0,1.9999957496073746
KRCC1,KRCC1,1.0000013,100.0,1.0,1.9999957496073746
GPR55,GPR55,1.0000013,100.0,1.0,1.9999957496073746
GPR45,GPR45,1.0000013,100.0,1.0,1.9999957496073746
OR5B21,OR5B21,1.0000013,100.0,1.0,1.9999957496073746
PACSIN3,PACSIN3,1.0000013,100.0,1.0,1.9999957496073746
HOXC6,HOXC6,1.0000013,100.0,1.0,1.9999957496073746
C2orf69,C12H2orf69,1.0000013,100.0,1.0,1.9999957496073746
SMIM27,SMIM27,1.0000013,100.0,1.0,1.9999957496073746
UBE2L5,UBE2L5,1.0000013,100.0,1.0,1.9999957496073746
CBFB,CBFB,1.0000013,100.0,1.0,1.9999957496073746
KLK9,KLK9,1.0000013,100.0,1.0,1.9999957496073746
TLE7,TLE7,1.0000013,100.0,1.0,1.9999957496073746
EDDM13,EDDM13,1.0000013,100.0,1.0,1.9999957496073746
PDE12,PDE12,1.0000012,100.0,1.0,1.999995564807695
TXLNA,TXLNA,1.0000012,100.0,1.0,1.999995564807695
PTGFR,PTGFR,1.0000012,100.0,1.0,1.999995564807695
FGF5,FGF5,1.0000012,100.0,1.0,1.999995564807695
MRPS11,MRPS11,1.0000012,100.0,1.0,1.999995564807695
RRS1,RRS1,1.0000012,100.0,1.0,1.999995564807695
DNAJC1,DNAJC1,1.0000012,100.0,1.0,1.999995564807695
OXT,OXT,1.0000012,100.0,1.0,1.999995564807695
CSTF1,CSTF1,1.0000012,100.0,1.0,1.999995564807695
CUL3,CUL3,1.0000012,100.0,1.0,1.999995564807695
SPEGNB,SPEGNB,1.0000012,100.0,1.0,1.999995564807695
OTX1,OTX1,1.0000012,100.0,1.0,1.999995564807695
ZBTB5,ZBTB5,1.0000012,100.0,1.0,1.999995564807695
HOXC8,HOXC8,1.0000012,100.0,1.0,1.999995564807695
ALOX15,ALOX15,1.0000012,100.0,1.0,1.999995564807695
REG1B,REG1B,1.0000012,100.0,1.0,1.999995564807695
EIF3G,EIF3G,1.0000012,100.0,1.0,1.999995564807695
C16orf90,C20H16orf90,1.0000012,100.0,1.0,1.999995564807695
MAGEB18,MAGEB18,1.0000012,100.0,1.0,1.999995564807695
GJB1,GJB1,1.0000012,100.0,1.0,1.999995564807695
C3orf85,C2H3orf85,1.0000011,100.0,1.0,1.9999953800080157
MRPL24,MRPL24,1.0000011,100.0,1.0,1.9999953800080157
CAMSAP2,CAMSAP2,1.0000011,100.0,1.0,1.9999953800080157
PIK3CA,PIK3CA,1.0000011,100.0,1.0,1.9999953800080157
THAP9,THAP9,1.0000011,100.0,1.0,1.9999953800080157
SGMS2,SGMS2,1.0000011,100.0,1.0,1.9999953800080157
GK2,GK2,1.0000011,100.0,1.0,1.9999953800080157
PAQR7,PAQR7,1.0000011,100.0,1.0,1.9999953800080157
TCF21,TCF21,1.0000011,100.0,1.0,1.9999953800080157
SCGN,SCGN,1.0000011,100.0,1.0,1.9999953800080157
WNT2,WNT2,1.0000011,100.0,1.0,1.9999953800080157
EGLN3,EGLN3,1.0000011,100.0,1.0,1.9999953800080157
TMED9,TMED9,1.0000011,100.0,1.0,1.9999953800080157
MYOZ1,MYOZ1,1.0000011,100.0,1.0,1.9999953800080157
DRGX,DRGX,1.0000011,100.0,1.0,1.9999953800080157
TRAV30,TRAV30,1.0000011,100.0,1.0,1.9999953800080157
PCNA,PCNA,1.0000011,100.0,1.0,1.9999953800080157
HEBP1,HEBP1,1.0000011,100.0,1.0,1.9999953800080157
CD63,CD63,1.0000011,100.0,1.0,1.9999953800080157
WFDC13,WFDC13,1.0000011,100.0,1.0,1.9999953800080157
P2RY6,P2RY6,1.0000011,100.0,1.0,1.9999953800080157
HSPA5,HSPA5,1.0000011,100.0,1.0,1.9999953800080157
OSTF1,OSTF1,1.0000011,100.0,1.0,1.9999953800080157
C2orf74,C13H2orf74,1.0000011,100.0,1.0,1.9999953800080157
TMEM210,TMEM210,1.0000011,100.0,1.0,1.9999953800080157
OR10A7,OR10A7,1.0000011,100.0,1.0,1.9999953800080157
FAM237A,FAM237A,1.0000011,100.0,1.0,1.9999953800080157
ZDHHC21,ZDHHC21,1.0000011,100.0,1.0,1.9999953800080157
KLF12,KLF12,1.0000011,100.0,1.0,1.9999953800080157
CRYM,CRYM,1.0000011,100.0,1.0,1.9999953800080157
RAI2,RAI2,1.0000011,100.0,1.0,1.9999953800080157
FAM187B,FAM187B,1.0000011,100.0,1.0,1.9999953800080157
RAB9A,RAB9A,1.0000011,100.0,1.0,1.9999953800080157
PRM2,PRM2,1.0000011,100.0,1.0,1.9999953800080157
BGN,BGN,1.0000011,100.0,1.0,1.9999953800080157
WNT3A,WNT3A,1.000001,100.0,1.0,1.9999951952083361
C1orf210,C1H1orf210,1.000001,100.0,1.0,1.9999951952083361
FH,FH,1.000001,100.0,1.0,1.9999951952083361
INSL5,INSL5,1.000001,100.0,1.0,1.9999951952083361
DHRS3,DHRS3,1.000001,100.0,1.0,1.9999951952083361
SCIN,SCIN,1.000001,100.0,1.0,1.9999951952083361
LSM10,LSM10,1.000001,100.0,1.0,1.9999951952083361
SLC38A3,SLC38A3,1.000001,100.0,1.0,1.9999951952083361
HPCA,HPCA,1.000001,100.0,1.0,1.9999951952083361
TBX20,TBX20,1.000001,100.0,1.0,1.9999951952083361
BEND3,BEND3,1.000001,100.0,1.0,1.9999951952083361
WASL,WASL,1.000001,100.0,1.0,1.9999951952083361
GJA1,GJA1,1.000001,100.0,1.0,1.9999951952083361
LRRN2,LRRN2,1.000001,100.0,1.0,1.9999951952083361
SMIM31,SMIM31,1.000001,100.0,1.0,1.9999951952083361
NPY5R,NPY5R,1.000001,100.0,1.0,1.9999951952083361
QRFPR,QRFPR,1.000001,100.0,1.0,1.9999951952083361
ACTC1,ACTC1,1.000001,100.0,1.0,1.9999951952083361
GJD2,GJD2,1.000001,100.0,1.0,1.9999951952083361
GZMK,GZMK,1.000001,100.0,1.0,1.9999951952083361
DEFB136,DEFB136,1.000001,100.0,1.0,1.9999951952083361
EPC1,EPC1,1.000001,100.0,1.0,1.9999951952083361
IGLV10-54,IGLV10-54,1.000001,100.0,1.0,1.9999951952083361
TRMT2A,TRMT2A,1.000001,100.0,1.0,1.9999951952083361
DEFB115,DEFB115,1.000001,100.0,1.0,1.9999951952083361
FAM24A,FAM24A,1.000001,100.0,1.0,1.9999951952083361
ZRANB1,ZRANB1,1.000001,100.0,1.0,1.9999951952083361
SAG,SAG,1.000001,100.0,1.0,1.9999951952083361
CNIH2,CNIH2,1.000001,100.0,1.0,1.9999951952083361
KCTD21,KCTD21,1.000001,100.0,1.0,1.9999951952083361
GPR17,GPR17,1.000001,100.0,1.0,1.9999951952083361
RAD23B,RAD23B,1.000001,100.0,1.0,1.9999951952083361
OMD,OMD,1.000001,100.0,1.0,1.9999951952083361
MSANTD4,MSANTD4,1.000001,100.0,1.0,1.9999951952083361
CNFN,CNFN,1.000001,100.0,1.0,1.9999951952083361
NUDT11,NUDT11,1.000001,100.0,1.0,1.9999951952083361
TENT5D,TENT5D,1.000001,100.0,1.0,1.9999951952083361
S100A12,S100A12,1.0000008,100.0,1.0,1.9999948256089777
DENND2D,DENND2D,1.0000008,100.0,1.0,1.9999948256089777
FAM20B,FAM20B,1.0000008,100.0,1.0,1.9999948256089777
PLS1,PLS1,1.0000008,100.0,1.0,1.9999948256089777
RTP1,RTP1,1.0000008,100.0,1.0,1.9999948256089777
GPR87,GPR87,1.0000008,100.0,1.0,1.9999948256089777
ZNF639,ZNF639,1.0000008,100.0,1.0,1.9999948256089777
CCK,CCK,1.0000008,100.0,1.0,1.9999948256089777
FAM78B,FAM78B,1.0000008,100.0,1.0,1.9999948256089777
POGK,POGK,1.0000008,100.0,1.0,1.9999948256089777
RTP3,RTP3,1.0000008,100.0,1.0,1.9999948256089777
TCTE1,TCTE1,1.0000008,100.0,1.0,1.9999948256089777
SMIM23,SMIM23,1.0000008,100.0,1.0,1.9999948256089777
FEM1C,FEM1C,1.0000008,100.0,1.0,1.9999948256089777
NGB,NGB,1.0000008,100.0,1.0,1.9999948256089777
PPP2R3C,PPP2R3C,1.0000008,100.0,1.0,1.9999948256089777
TMEM167A,TMEM167A,1.0000008,100.0,1.0,1.9999948256089777
GRID1,GRID1,1.0000008,100.0,1.0,1.9999948256089777
EXT1,EXT1,1.0000008,100.0,1.0,1.9999948256089777
CD93,CD93,1.0000008,100.0,1.0,1.9999948256089777
MGP,MGP,1.0000008,100.0,1.0,1.9999948256089777
MYF6,MYF6,1.0000008,100.0,1.0,1.9999948256089777
UBTD1,UBTD1,1.0000008,100.0,1.0,1.9999948256089777
BMP10,BMP10,1.0000008,100.0,1.0,1.9999948256089777
ETFRF1,ETFRF1,1.0000008,100.0,1.0,1.9999948256089777
TIAL1,TIAL1,1.0000008,100.0,1.0,1.9999948256089777
CDC42EP3,CDC42EP3,1.0000008,100.0,1.0,1.9999948256089777
ZCRB1,ZCRB1,1.0000008,100.0,1.0,1.9999948256089777
FAM217B,FAM217B,1.0000008,100.0,1.0,1.9999948256089777
SLC25A51,SLC25A51,1.0000008,100.0,1.0,1.9999948256089777
TEFM,TEFM,1.0000008,100.0,1.0,1.9999948256089777
OR4D1,OR4D1,1.0000008,100.0,1.0,1.9999948256089777
FNDC8,FNDC8,1.0000008,100.0,1.0,1.9999948256089777
TOP1,TOP1,1.0000008,100.0,1.0,1.9999948256089777
CHMP2A,CHMP2A,1.0000008,100.0,1.0,1.9999948256089777
CA7,CA7,1.0000008,100.0,1.0,1.9999948256089777
PDP2,PDP2,1.0000008,100.0,1.0,1.9999948256089777
RCBTB1,RCBTB1,1.0000008,100.0,1.0,1.9999948256089777
DCUN1D3,DCUN1D3,1.0000008,100.0,1.0,1.9999948256089777
MT4,MT4,1.0000008,100.0,1.0,1.9999948256089777
ARMCX6,ARMCX6,1.0000008,100.0,1.0,1.9999948256089777
IL1RAPL1,IL1RAPL1,1.0000008,100.0,1.0,1.9999948256089777
TEX53,TEX53,1.0000008,100.0,1.0,1.9999948256089777
SEC62,SEC62,1.0000008,100.0,1.0,1.9999948256089777
C1orf21,C1H1orf21,1.0000007,100.0,1.0,1.9999946408092981
HSD11B1,HSD11B1,1.0000007,100.0,1.0,1.9999946408092981
SEC22B,SEC22B,1.0000007,100.0,1.0,1.9999946408092981
TMEM51,TMEM51,1.0000007,100.0,1.0,1.9999946408092981
MATN1,MATN1,1.0000007,100.0,1.0,1.9999946408092981
STX19,STX19,1.0000007,100.0,1.0,1.9999946408092981
TRGV9,TRGV9,1.0000007,100.0,1.0,1.9999946408092981
TMUB1,TMUB1,1.0000007,100.0,1.0,1.9999946408092981
GNGT1,GNGT1,1.0000007,100.0,1.0,1.9999946408092981
RNASET2,RNASET2,1.0000007,100.0,1.0,1.9999946408092981
DLK2,DLK2,1.0000007,100.0,1.0,1.9999946408092981
NIPA2,NIPA2,1.0000007,100.0,1.0,1.9999946408092981
SFRP2,SFRP2,1.0000007,100.0,1.0,1.9999946408092981
SYCP2L,SYCP2L,1.0000007,100.0,1.0,1.9999946408092981
NAPRT,NAPRT,1.0000007,100.0,1.0,1.9999946408092981
SPINK1,SPINK1,1.0000007,100.0,1.0,1.9999946408092981
TAS2R40,TAS2R40,1.0000007,100.0,1.0,1.9999946408092981
COLEC10,COLEC10,1.0000007,100.0,1.0,1.9999946408092981
IGLV11-55,IGLV11-55,1.0000007,100.0,1.0,1.9999946408092981
TRAV9-2,TRAV9-2,1.0000007,100.0,1.0,1.9999946408092981
DEFB125,DEFB125,1.0000007,100.0,1.0,1.9999946408092981
NANP,NANP,1.0000007,100.0,1.0,1.9999946408092981
TMPRSS12,TMPRSS12,1.0000007,100.0,1.0,1.9999946408092981
KLRG1,KLRG1,1.0000007,100.0,1.0,1.9999946408092981
THNSL1,THNSL1,1.0000007,100.0,1.0,1.9999946408092981
CAPZA3,CAPZA3,1.0000007,100.0,1.0,1.9999946408092981
SDR9C7,SDR9C7,1.0000007,100.0,1.0,1.9999946408092981
IFT70A,IFT70A,1.0000007,100.0,1.0,1.9999946408092981
KCNK13,KCNK13,1.0000007,100.0,1.0,1.9999946408092981
OR52A5,OR52A5,1.0000007,100.0,1.0,1.9999946408092981
CAAP1,CAAP1,1.0000007,100.0,1.0,1.9999946408092981
PTGES,PTGES,1.0000007,100.0,1.0,1.9999946408092981
C17orf67,C16H17orf67,1.0000007,100.0,1.0,1.9999946408092981
ACTR5,ACTR5,1.0000007,100.0,1.0,1.9999946408092981
RDH8,RDH8,1.0000007,100.0,1.0,1.9999946408092981
CWC15,CWC15,1.0000007,100.0,1.0,1.9999946408092981
MAB21L1,MAB21L1,1.0000007,100.0,1.0,1.9999946408092981
TMEM208,TMEM208,1.0000007,100.0,1.0,1.9999946408092981
TASL,TASL,1.0000007,100.0,1.0,1.9999946408092981
SH2D1B,SH2D1B,1.0000007,100.0,1.0,1.9999946408092981
LCE5A,LCE5A,1.0000006,100.0,1.0,1.9999944560096186
MYOCOS,MYOCOS,1.0000006,100.0,1.0,1.9999944560096186
PTX3,PTX3,1.0000006,100.0,1.0,1.9999944560096186
TSACC,TSACC,1.0000006,100.0,1.0,1.9999944560096186
GGPS1,GGPS1,1.0000006,100.0,1.0,1.9999944560096186
P2RY12,P2RY12,1.0000006,100.0,1.0,1.9999944560096186
LSMEM2,LSMEM2,1.0000006,100.0,1.0,1.9999944560096186
MPLKIP,MPLKIP,1.0000006,100.0,1.0,1.9999944560096186
GPR141,GPR141,1.0000006,100.0,1.0,1.9999944560096186
FAM229B,FAM229B,1.0000006,100.0,1.0,1.9999944560096186
COL10A1,COL10A1,1.0000006,100.0,1.0,1.9999944560096186
SSX2IP,SSX2IP,1.0000006,100.0,1.0,1.9999944560096186
BTN1A1,BTN1A1,1.0000006,100.0,1.0,1.9999944560096186
CD38,CD38,1.0000006,100.0,1.0,1.9999944560096186
WNT4,WNT4,1.0000006,100.0,1.0,1.9999944560096186
HTR1B,HTR1B,1.0000006,100.0,1.0,1.9999944560096186
CRHBP,CRHBP,1.0000006,100.0,1.0,1.9999944560096186
LRRTM2,LRRTM2,1.0000006,100.0,1.0,1.9999944560096186
SLC26A4,SLC26A4,1.0000006,100.0,1.0,1.9999944560096186
DNAJB9,DNAJB9,1.0000006,100.0,1.0,1.9999944560096186
GPR85,GPR85,1.0000006,100.0,1.0,1.9999944560096186
DEFB135,DEFB135,1.0000006,100.0,1.0,1.9999944560096186
EDDM3B,EDDM3B,1.0000006,100.0,1.0,1.9999944560096186
NPM3,NPM3,1.0000006,100.0,1.0,1.9999944560096186
LRRTM3,LRRTM3,1.0000006,100.0,1.0,1.9999944560096186
DEPP1,DEPP1,1.0000006,100.0,1.0,1.9999944560096186
PPARA,PPARA,1.0000006,100.0,1.0,1.9999944560096186
H2AJ,H2AJ,1.0000006,100.0,1.0,1.9999944560096186
GNB3,GNB3,1.0000006,100.0,1.0,1.9999944560096186
GARIN6,GARIN6,1.0000006,100.0,1.0,1.9999944560096186
CAND1,CAND1,1.0000006,100.0,1.0,1.9999944560096186
FICD,FICD,1.0000006,100.0,1.0,1.9999944560096186
CHMP4B,CHMP4B,1.0000006,100.0,1.0,1.9999944560096186
MCM6,MCM6,1.0000006,100.0,1.0,1.9999944560096186
REP15,REP15,1.0000006,100.0,1.0,1.9999944560096186
PJVK,PJVK,1.0000006,100.0,1.0,1.9999944560096186
LSM14B,LSM14B,1.0000006,100.0,1.0,1.9999944560096186
TTC9C,TTC9C,1.0000006,100.0,1.0,1.9999944560096186
ASCL3,ASCL3,1.0000006,100.0,1.0,1.9999944560096186
SYT12,SYT12,1.0000006,100.0,1.0,1.9999944560096186
ARPC5L,ARPC5L,1.0000006,100.0,1.0,1.9999944560096186
MOB3B,MOB3B,1.0000006,100.0,1.0,1.9999944560096186
FIBIN,FIBIN,1.0000006,100.0,1.0,1.9999944560096186
HDHD3,HDHD3,1.0000006,100.0,1.0,1.9999944560096186
MEIOC,MEIOC,1.0000006,100.0,1.0,1.9999944560096186
TEX19,TEX19,1.0000006,100.0,1.0,1.9999944560096186
PHOSPHO1,PHOSPHO1,1.0000006,100.0,1.0,1.9999944560096186
RFC3,RFC3,1.0000006,100.0,1.0,1.9999944560096186
CDKN2D,CDKN2D,1.0000006,100.0,1.0,1.9999944560096186
CLMP,CLMP,1.0000006,100.0,1.0,1.9999944560096186
DNASE1L2,DNASE1L2,1.0000006,100.0,1.0,1.9999944560096186
FAM9B,FAM9B,1.0000006,100.0,1.0,1.9999944560096186
CCL18,CCL18,1.0000006,100.0,1.0,1.9999944560096186
CA5B,CA5B,1.0000006,100.0,1.0,1.9999944560096186
GNG13,GNG13,1.0000006,100.0,1.0,1.9999944560096186
NUP62,NUP62,1.0000006,100.0,1.0,1.9999944560096186
RNF152,RNF152,1.0000006,100.0,1.0,1.9999944560096186
ZNF581,ZNF581,1.0000006,100.0,1.0,1.9999944560096186
CCL17,CCL17,1.0000006,100.0,1.0,1.9999944560096186
TKTL1,TKTL1,1.0000006,100.0,1.0,1.9999944560096186
MFAP2,MFAP2,1.0000006,100.0,1.0,1.9999944560096186
ZNF496,ZNF496,1.0000005,100.0,1.0,1.9999942712099397
GUCA2B,GUCA2B,1.0000005,100.0,1.0,1.9999942712099397
EDN2,EDN2,1.0000005,100.0,1.0,1.9999942712099397
KCNMB2,KCNMB2,1.0000005,100.0,1.0,1.9999942712099397
OTOL1,OTOL1,1.0000005,100.0,1.0,1.9999942712099397
PGD,PGD,1.0000005,100.0,1.0,1.9999942712099397
CRYGS,CRYGS,1.0000005,100.0,1.0,1.9999942712099397
ARL8A,ARL8A,1.0000005,100.0,1.0,1.9999942712099397
RFC2,RFC2,1.0000005,100.0,1.0,1.9999942712099397
HYAL1,HYAL1,1.0000005,100.0,1.0,1.9999942712099397
MYCT1,MYCT1,1.0000005,100.0,1.0,1.9999942712099397
GTF2H5,GTF2H5,1.0000005,100.0,1.0,1.9999942712099397
CCNC,CCNC,1.0000005,100.0,1.0,1.9999942712099397
CBR4,CBR4,1.0000005,100.0,1.0,1.9999942712099397
MEI4,MEI4,1.0000005,100.0,1.0,1.9999942712099397
IL9,IL9,1.0000005,100.0,1.0,1.9999942712099397
C4orf36,C5H4orf36,1.0000005,100.0,1.0,1.9999942712099397
ENPP5,ENPP5,1.0000005,100.0,1.0,1.9999942712099397
AMTN,AMTN,1.0000005,100.0,1.0,1.9999942712099397
IMP3,IMP3,1.0000005,100.0,1.0,1.9999942712099397
IL21,IL21,1.0000005,100.0,1.0,1.9999942712099397
PPIB,PPIB,1.0000005,100.0,1.0,1.9999942712099397
HYPK,HYPK,1.0000005,100.0,1.0,1.9999942712099397
TGFB3,TGFB3,1.0000005,100.0,1.0,1.9999942712099397
TCL1A,TCL1A,1.0000005,100.0,1.0,1.9999942712099397
PLEK2,PLEK2,1.0000005,100.0,1.0,1.9999942712099397
HIGD1C,HIGD1C,1.0000005,100.0,1.0,1.9999942712099397
PTCHD3,PTCHD3,1.0000005,100.0,1.0,1.9999942712099397
CTDSP2,CTDSP2,1.0000005,100.0,1.0,1.9999942712099397
AVPI1,AVPI1,1.0000005,100.0,1.0,1.9999942712099397
BICD1,BICD1,1.0000005,100.0,1.0,1.9999942712099397
RGS19,RGS19,1.0000005,100.0,1.0,1.9999942712099397
SMIM35,SMIM35,1.0000005,100.0,1.0,1.9999942712099397
FAM168B,FAM168B,1.0000005,100.0,1.0,1.9999942712099397
TMEM258,TMEM258,1.0000005,100.0,1.0,1.9999942712099397
SUCLG1,SUCLG1,1.0000005,100.0,1.0,1.9999942712099397
CDC26,CDC26,1.0000005,100.0,1.0,1.9999942712099397
C11orf71,C14H11orf71,1.0000005,100.0,1.0,1.9999942712099397
FAM187A,FAM187A,1.0000005,100.0,1.0,1.9999942712099397
CLDN10,CLDN10,1.0000005,100.0,1.0,1.9999942712099397
KRT28,KRT28,1.0000005,100.0,1.0,1.9999942712099397
AURKB,AURKB,1.0000005,100.0,1.0,1.9999942712099397
TMED1,TMED1,1.0000005,100.0,1.0,1.9999942712099397
SLC37A2,SLC37A2,1.0000005,100.0,1.0,1.9999942712099397
