mice gene name,pig gene name,correlation,identical_scores,orthology confidence,combo_score
Rnf122,RNF122,0.9987224,98.0645,1.0,1.9782220561428576
Selenot,SELENOT,0.999347,97.9487,1.0,1.9782025994707813
Galnt18,GALNT18,0.99703014,98.3526,1.0,1.9780172785438173
Mios,MIOS,0.997397,98.2857,1.0,1.9780170504706107
Gnb3,GNB3,0.99923897,97.9412,1.0,1.9779295349087613
Ddx3x,DDX3X,0.99871314,98.0363,1.0,1.9779219338768972
Cggbp1,CGGBP1,0.9977776,98.2036,1.0,1.9778893425472093
Cnksr2,CNKSR2,0.99825597,98.1134,1.0,1.9778592698120452
Glra1,GLRA1,0.9968821,98.3572,1.0,1.9777924768240778
Dcaf12,DCAF12,0.9992896,97.91730000000001,1.0,1.9777822221814119
Rab9b,RAB9B,0.99873394,98.0099,1.0,1.9776949123523655
Grik4,GRIK4,0.9986845,98.0126,1.0,1.9776315227279966
Gid4,GID4,0.9978774,98.1567,1.0,1.9776010818952026
Ormdl2,ORMDL2,0.99490213,98.6928,1.0,1.977538008447703
Pcdh17,PCDH17,0.99904233,97.92955,1.0,1.977452593994346
Ormdl1,ORMDL1,0.998359,98.0392,1.0,1.9773027876988265
Diras2,DIRAS2,0.9985966,97.99,1.0,1.977243679606413
Emc6,EMC6,0.9975403,98.1818,1.0,1.9772360503146738
H2ax,H2AX,0.9990092,97.9021,1.0,1.9771163079480787
Dipk2a,DIPK2A,0.99897563,97.907,1.0,1.9771040603508394
Mapre3,MAPRE3,0.99139446,99.2883,1.0,1.977096824283558
Cnr1,CNR1,0.9995437,97.7779,1.0,1.9768475708685558
Cpsf2,CPSF2,0.9984952,97.954,1.0,1.976696567561167
Pou3f4,POU3F4,0.9992661,97.7839,1.0,1.976399662832691
Dvl3,DVL3,0.9993395,97.76865000000001,1.0,1.976380890789455
Dnaja2,DNAJA2,0.99239796,99.0291,1.0,1.976331001245552
Grik1,GRIK1,0.99940205,97.7516,1.0,1.9763241826355773
Chmp5,CHMP5,0.9945425,98.6301,1.0,1.9762500874580522
Grem1,GREM1,0.9989015,97.8261,1.0,1.9761560018323938
Rasl10b,RASL10B,0.99237096,99.0148,1.0,1.9761379826739804
Bud31,BUD31,0.9869387,100.0,1.0,1.9760869527412805
Meis1,MEIS1,0.9951415,98.4946,1.0,1.975985950640173
Polr3h,POLR3H,0.9975943,98.0392,1.0,1.9759029754570872
Hnrnpl,HNRNPL,0.99620986,98.2909,1.0,1.975896161867043
Gjc1,GJC1,0.99928653,97.7273,1.0,1.975868709438958
Rab33a,RAB33A,0.9983081,97.8903,1.0,1.9757144277129495
Bmp4,BMP4,0.99946517,97.67455000000001,1.0,1.9756660253646154
Dcaf7,DCAF7,0.987398,99.85425000000001,1.0,1.9754641639891664
Hectd1,HECTD1,0.9983496,97.84309999999999,1.0,1.975316434245646
Septin11,SEPTIN11,0.9890262,99.537,1.0,1.9752589663868458
Plcxd3,PLCXD3,0.995004,98.4424,1.0,1.9752100831996267
Ppp2r3c,PPP2R3C,0.9985493,97.7925,1.0,1.9751738906124179
Onecut2,ONECUT2,0.9994657,97.6238,1.0,1.9751573872900778
Armh3,ARMH3,0.99675584,98.1132,1.0,1.9751112168610265
Lhx6,LHX6,0.9975446,97.9592,1.0,1.9750086743645048
Mta2,MTA2,0.9978536,97.90125,1.0,1.9749924031766837
Lingo2,LINGO2,0.99887127,97.6898,1.0,1.9747320024924266
Barhl1,BARHL1,0.9995872,97.5535,1.0,1.9746738772237244
Fgf17,FGF17,0.997538,97.91235,1.0,1.9745261465696187
Crnkl1,CRNKL1,0.99715364,97.971,1.0,1.9744114975096454
Kctd4,KCTD4,0.9987154,97.6834,1.0,1.9743824106991923
Ing2,ING2,0.9987141,97.68299999999999,1.0,1.9743760143832514
Kif3b,KIF3B,0.99838066,97.7242,1.0,1.974179351398175
Mpp2,MPP2,0.99678344,98.0072,1.0,1.9740973362454088
Atp6v1b2,ATP6V1B2,0.9922918,98.8258,1.0,1.9740952258537703
Pdk2,PDK2,0.9993152,97.543,1.0,1.9740705347554424
Ppp3cb,PPP3CB,0.9972841,97.9091,1.0,1.9740287380151238
Castor2,CASTOR2,0.99912924,97.5684,1.0,1.9739851831178723
Gfpt2,GFPT2,0.99942976,97.5073,1.0,1.973921758112171
Psmd7,PSMD7,0.9984478,97.6765,1.0,1.9738232721485667
Erbb4,ERBB4,0.9980363,97.7438,1.0,1.973745801632018
Nova2,NOVA2,0.99564,98.1707,1.0,1.9736460182510558
Jun,JUN,0.999506,97.4591,1.0,1.9735773159853474
Cdh11,CDH11,0.99932086,97.4874,1.0,1.9735225858607326
Pln,PLN,0.9959989,98.0769,1.0,1.9733611016156836
Dmap1,DMAP1,0.99948496,97.4359,1.0,1.9733058376946184
Pou4f2,POU4F2,0.9994533,97.43719999999999,1.0,1.9732609368731249
Hoxc11,HOXC11,0.9979886,97.6974,1.0,1.973192557428227
Clvs1,CLVS1,0.9992861,97.4576,1.0,1.9731597184140397
Ppp1ca,PPP1CA,0.9869809,99.697,1.0,1.9731216141913914
Siah2,SIAH2,0.9979658,97.689,1.0,1.9730664722134952
Dyrk2,DYRK2,0.99891615,97.50030000000001,1.0,1.9729112848076404
C1ql1,C1QL1,0.99791723,97.6744,1.0,1.9728309564793522
Hspa9,HSPA9,0.99717796,97.7909,1.0,1.9726475344634327
Dhx15,DHX15,0.9869524,99.6226,1.0,1.9723223531353211
Gan,GAN,0.9986535,97.4874,1.0,1.9723009581666728
Six3,SIX3,0.99800754,97.5976,1.0,1.9722250819161928
Slc12a6,SLC12A6,0.99803764,97.5652,1.0,1.9719548351406702
Pelo,PELO,0.9982322,97.52940000000001,1.0,1.9719514973657364
Dhx38,DHX38,0.9987464,97.43379999999999,1.0,1.9719327884721678
Rab39,RAB39A,0.9972939,97.6959,1.0,1.9719058205181221
Atxn7l3,ATXN7L3,0.99392194,98.3051,1.0,1.9718506277625718
Ephb2,EPHB2,0.98906815,99.1895,1.0,1.9718463215808262
Bloc1s1,BLOC1S1,0.98898816,99.2,1.0,1.9718053330552936
Cdc5l,CDC5L,0.99892294,97.3815,1.0,1.971730778962411
Hipk1,HIPK1,0.9963366,97.8512,1.0,1.971712898181579
Nalcn,NALCN,0.99476814,98.1306,1.0,1.9716473797439997
Fam20b,FAM20B,0.999196,97.3105,1.0,1.9715176761228248
Rpl7a,RPL7A,0.99634826,97.8193,1.0,1.97141391706039
Gna11,GNA11,0.998119,97.493,1.0,1.971378768357841
Ncbp1,NCBP1,0.9971386,97.65415,1.0,1.9712023036195907
Neurod2,NEUROD2,0.99925214,97.25505,1.0,1.971063639006649
Osbpl6,OSBPL6,0.9988481,97.3113,1.0,1.9708888652621859
Rab40c,RAB40C,0.9840922,100.0,1.0,1.970876326945397
Irf6,IRF6,0.9993548,97.2163,1.0,1.9708624522604903
Mtrex,MTREX,0.999351,97.21430000000001,1.0,1.9708354131327988
Josd1,JOSD1,0.9976367,97.5247,1.0,1.9708142168689928
Abce1,ABCE1,0.99905795,97.25855,1.0,1.9707433122720128
Psmd12,PSMD12,0.99604046,97.807,1.0,1.9707269665638107
Gng4,GNG4,0.99860615,97.3333,1.0,1.9706668805712073
Git1,GIT1,0.9986376,97.3254,1.0,1.9706451228021682
Hectd3,HECTD3,0.99670696,97.6771,1.0,1.9706426236817407
Nap1l1,NAP1L1,0.99237835,98.4655,1.0,1.9706356912944463
Piwil1,PIWIL1,0.99444467,98.08475,1.0,1.9705948509842557
Rab11a,RAB11A,0.98391956,100.0,1.0,1.9705603029027479
Rxrg,RXRG,0.9945778,98.0562,1.0,1.9705518644533235
Rara,RARA,0.99339324,98.2684,1.0,1.9705142978437218
Gpr27,GPR27,0.9991073,97.2201,1.0,1.970447552019325
Mab21l1,MAB21L1,0.9980247,97.41585,1.0,1.9704314436750627
Prkra,PRKRA,0.99435747,98.0831,1.0,1.9704186595452835
Ago2,AGO2,0.99898064,97.2382,1.0,1.9703974480151745
Phox2a,PHOX2A,0.99723184,97.53745,1.0,1.9702011350039244
Pskh1,PSKH1,0.99791616,97.4057,1.0,1.970130835452314
Brpf1,BRPF1,0.9990127,97.1657,1.0,1.969728123257085
Psmc5,PSMC5,0.98337793,100.0,1.0,1.9695688287239932
Nmnat2,NMNAT2,0.99052167,98.6971,1.0,1.9695625895469142
Fam199x,FAM199X,0.9960964,97.6804,1.0,1.9695581076224862
Rala,RALA,0.9886936,99.0291,1.0,1.9695500303081765
Kcnip1,KCNIP1,0.9975521,97.4138,1.0,1.969545746358162
Maf,MAF,0.9990866,97.1231,1.0,1.9694356303073894
Cbln4,CBLN4,0.9956339,97.74985000000001,1.0,1.9694088689944953
Nkx6-2,NKX6-2,0.99908286,97.1119,1.0,1.9693163188250096
Arhgap35,ARHGAP35,0.99950564,97.03235000000001,1.0,1.969291428917498
Rnf5,RNF5,0.99845517,97.2222,1.0,1.9692748906540087
Fcf1,FCF1,0.9970411,97.4747,1.0,1.9692218714631382
Rbx1,RBX1,0.9831724,100.0,1.0,1.9691925982937009
Dok6,DOK6,0.9980385,97.281,1.0,1.9691026031496155
Six6,SIX6,0.99864215,97.1545,1.0,1.9689373522109643
Kcnc4,KCNC4,0.9970655,97.44059999999999,1.0,1.9689241200007568
Golga7b,GOLGA7B,0.99612266,97.6048,1.0,1.9688470369648745
Hoxb8,HOXB8,0.9920073,98.3539,1.0,1.9688358341565777
Fbxl15,FBXL15,0.99760455,97.3333,1.0,1.96883341392896
Ehd4,EHD4,0.99816537,97.2274,1.0,1.9687966168235578
Pak2,PAK2,0.9923107,98.2824,1.0,1.9686732490622607
Cops2,COPS2,0.99629563,97.55555,1.0,1.9686691191385204
Rprm,RPRM,0.9979738,97.2477,1.0,1.968649784004524
Myh7b,MYH7B,0.9992646,97.0118,1.0,1.9686438424012336
Cacng4,CACNG4,0.99710166,97.39685,1.0,1.9685509947818072
Dazap2,DAZAP2,0.98927903,98.8095,1.0,1.968416559405324
Klhl28,KLHL28,0.9970986,97.373,1.0,1.9683059025580556
Fam78a,FAM78A,0.99231845,98.2332,1.0,1.968193391860701
Hes1,HES1,0.9982191,97.15424999999999,1.0,1.9681604328168603
Rap1a,RAP1A,0.9825616,100.0,1.0,1.9680745058165796
Daam1,DAAM1,0.99934757,96.9359,1.0,1.96803356907861
Esrp1,ESRP1,0.99706227,97.34985,1.0,1.9680069374217464
Hoxc10,HOXC10,0.99853647,97.076,1.0,1.9679556399264477
Rprd1b,RPRD1B,0.9858562,99.3865,1.0,1.967944909538471
Nrgn,NRGN,0.99640214,97.4359,1.0,1.9676626192101407
Sfn,SFN,0.9978056,97.1774,1.0,1.9676359671427843
Kcnj4,KCNJ4,0.9982864,97.0857,1.0,1.9675952803013395
Pdik1l,PDIK1L,0.9838744,99.7067,1.0,1.967532451530226
Cyp26b1,CYP26B1,0.9972354,97.2656,1.0,1.9674778585093256
Chic2,CHIC2,0.9855284,99.3939,1.0,1.9674191666648446
Extl3,EXTL3,0.99891335,96.9532,1.0,1.9674124316406423
Plxna4,PLXNA4,0.9982969,97.0417,1.0,1.9671726730973935
Bub3,BUB3,0.985371,99.38935000000001,1.0,1.9670853510016153
Nipbl,NIPBL,0.9987986,96.9298,1.0,1.9669674053459694
Pdk3,PDK3,0.9951216,97.5904,1.0,1.9668699606073612
Kantr,KANTR,0.9963073,97.3684,1.0,1.9668112069178427
Galnt17,GALNT17,0.99190164,98.15775,1.0,1.9666727710594185
Arpp19,ARPP19,0.9866773,99.1071,1.0,1.9666423572594467
Mafb,MAFB,0.99876034,96.904,1.0,1.9666382971852814
Nelfcd,NELFCD,0.99748826,97.1235,1.0,1.966513825166057
Nr4a2,NR4A2,0.98531586,99.3311,1.0,1.9663994953233128
Scn1a,SCN1A,0.9900087,98.4569,1.0,1.9662116001780938
Mex3b,MEX3B,0.99633014,97.29390000000001,1.0,1.9661049215172839
Abtb2,ABTB2,0.9994134,96.7301,1.0,1.9660875240247688
Mapk3,MAPK3,0.9959026,97.3684,1.0,1.9660703882775494
Arhgdia,ARHGDIA,0.9894464,98.5294,1.0,1.9659103005827636
Lyn,LYN,0.99635357,97.2656,1.0,1.9658636353772039
Rnd2,RND2,0.99802953,96.95065,1.0,1.965768959806081
Ddx19a,DDX19A,0.9961494,97.2803,1.0,1.9656375051465815
Nfib,NFIB,0.98217106,99.8246,1.0,1.9655983211138943
Nlgn1,NLGN1,0.9988946,96.77265,1.0,1.96556510863824
Cbx1,CBX1,0.9811799,100.0,1.0,1.9655452517634715
Rfx4,RFX4,0.9983358,96.8708,1.0,1.9655277814789942
Otub1,OTUB1,0.98315203,99.631,1.0,1.9654499812188222
Fbxo41,FBXO41,0.9983684,96.85175000000001,1.0,1.9653961656344314
Clcn3,CLCN3,0.99880505,96.7667,1.0,1.9653414368046211
Rab30,RAB30,0.9810471,100.0,1.0,1.9653021563460489
Ncbp2,NCBP2,0.99146783,98.0769,1.0,1.9650668067887191
Dlgap3,DLGAP3,0.9988632,96.7281,1.0,1.965060279053104
Dync1i2,DYNC1I2,0.99294895,97.7928,1.0,1.9649252508087525
Ercc2,ERCC2,0.9912139,98.0934,1.0,1.9647676637737832
Cdh2,CDH2,0.9982666,96.7991,1.0,1.9646811296987678
