microcebus gene name,human gene name,correlation,identical_scores,orthology confidence,combo_score
GNG12,GNG12,0.99999976,100.0,1.0,1.9999961922708658
LMO4,LMO4,0.99999964,100.0,1.0,1.999996025509006
CDC42SE1,CDC42SE1,0.9999996,100.0,1.0,1.9999959699217194
TUBG2,TUBG2,0.9999996,100.0,1.0,1.9999959699217194
NDFIP1,NDFIP1,0.9999996,100.0,1.0,1.9999959699217194
OST4,OST4,0.9999996,100.0,1.0,1.9999959699217194
YWHAG,YWHAG,0.9999995,100.0,1.0,1.9999958309535029
RAB10,RAB10,0.9999995,100.0,1.0,1.9999958309535029
POLR2L,POLR2L,0.9999995,100.0,1.0,1.9999958309535029
EIF1B,EIF1B,0.9999995,100.0,1.0,1.9999958309535029
NRARP,NRARP,0.99999946,100.0,1.0,1.999995775366216
RMND5A,RMND5A,0.9999994,100.0,1.0,1.9999956919852862
GNG3,GNG3,0.9999994,100.0,1.0,1.9999956919852862
CTNNBIP1,CTNNBIP1,0.99999934,100.0,1.0,1.9999956086043562
ANAPC13,ANAPC13,0.9999992,100.0,1.0,1.999995414048853
CAMK2N1,CAMK2N1,0.9999991,100.0,1.0,1.9999952750806365
RAB39B,RAB39B,0.9999991,100.0,1.0,1.9999952750806365
BCAS2,BCAS2,0.9999991,100.0,1.0,1.9999952750806365
H2AC20,H2AC20,0.9999991,100.0,1.0,1.9999952750806365
TAX1BP3,TAX1BP3,0.9999989,100.0,1.0,1.9999949971442033
PELI1,PELI1,0.9999989,100.0,1.0,1.9999949971442033
RAB39A,RAB39A,0.99999887,100.0,1.0,1.9999949554537384
CRIPT,CRIPT,0.9999988,100.0,1.0,1.9999948581759868
LIN7C,LIN7C,0.9999988,100.0,1.0,1.9999948581759868
LSM6,LSM6,0.9999988,100.0,1.0,1.9999948581759868
POLE3,POLE3,0.99999875,100.0,1.0,1.9999947886918785
SF3B6,SF3B6,0.99999875,100.0,1.0,1.9999947886918785
SPCS3,SPCS3,0.99999875,100.0,1.0,1.9999947886918785
RAP2B,RAP2B,0.99999875,100.0,1.0,1.9999947886918785
SOX14,SOX14,0.99999875,100.0,1.0,1.9999947886918785
DYNLL2,DYNLL2,0.9999986,100.0,1.0,1.9999945802395533
ID4,ID4,0.9999986,100.0,1.0,1.9999945802395533
CDK5,CDK5,0.9999985,100.0,1.0,1.9999944412713369
PCBP1,PCBP1,0.9999985,100.0,1.0,1.9999944412713369
SPIN1,SPIN1,0.99999845,100.0,1.0,1.9999943717872286
DPY30,DPY30,0.9999984,100.0,1.0,1.9999943023031204
NFYA,NFYA,0.9999982,100.0,1.0,1.9999940243666872
ARF1,ARF1,0.99999815,100.0,1.0,1.9999939548825791
FGF9,FGF9,0.9999981,100.0,1.0,1.9999938853984707
SF3B5,SF3B5,0.9999979,100.0,1.0,1.9999936074620375
RBM8A,RBM8A,0.99995184,100.0,1.0,1.9999295987014811
RPL10A,RPL10A,0.9998867,100.0,1.0,1.9998390748052015
RPL24,RPL24,0.99980116,100.0,1.0,1.9997202013927395
MYL12B,MYL12B,0.9997332,100.0,1.0,1.9996257585927524
LMO1,LMO1,0.99972653,100.0,1.0,1.9996164894127064
SNAP25,SNAP25,0.99952614,100.0,1.0,1.9993380110035035
CTNNB1,CTNNB1,0.9994,100.0,1.0,1.9991627164951105
AP3S1,AP3S1,0.99921376,100.0,1.0,1.9989039020885535
RPS14,RPS14,0.999154,100.0,1.0,1.9988208546823256
TUSC3,TUSC3,0.99900323,100.0,1.0,1.9986113323021892
STMN2,STMN2,0.9989443,100.0,1.0,1.9985294383321592
MAPK1,MAPK1,0.99894,100.0,1.0,1.9985234626988464
FEM1C,FEM1C,0.99995166,99.8379,1.0,1.9981279493237807
ANAPC16,ANAPC16,0.9986394,100.0,1.0,1.9981057242398093
GABRB2,GABRB2,0.9986228,100.0,1.0,1.9980826555158573
TNPO3,TNPO3,0.9994831,99.8917,1.0,1.9980746732524843
FZD2,FZD2,0.9999373,99.823,1.0,1.9979424114483968
SMC3,SMC3,0.9983748,100.0,1.0,1.9977380143387409
SP9,SP9,0.99994296,99.79425,1.0,1.997630781503473
DDX6,DDX6,0.99994314,99.793,1.0,1.997617140535568
UBE2D1,UBE2D1,0.99827504,100.0,1.0,1.9975993796458813
NUTF2,NUTF2,0.99819523,100.0,1.0,1.9974884691122294
STK38,STK38,0.999902,99.7849,1.0,1.9974699546139645
ZBTB26,ZBTB26,0.99993294,99.7732,1.0,1.9973829305840702
ISL1,ISL1,0.99808997,100.0,1.0,1.9973421911674583
RPS7,RPS7,0.99808383,100.0,1.0,1.9973336585189603
UBE2Q1,UBE2Q1,0.99989176,99.763,1.0,1.9972123520092127
UGCG,UGCG,0.9999182,99.7462,1.0,1.9970623986779374
DIPK1A,DIPK1A,0.9977097,100.0,1.0,1.9968137367302727
WNT1,WNT1,0.9998034,99.7297,1.0,1.996719500504132
FUT9,FUT9,0.9998651,99.7215,1.0,1.9967141182076031
MIB1,MIB1,0.99993855,99.7018,1.0,1.9965972664581293
NCKAP1,NCKAP1,0.9996469,99.73545,1.0,1.9965659143543821
SATB2,SATB2,0.99964,99.7271,1.0,1.9964635329279963
ANAPC10,ANAPC10,0.9974352,100.0,1.0,1.9964322689757625
UBLCP1,UBLCP1,0.99993217,99.6855,1.0,1.9964072602024505
CACNG2,CACNG2,0.9998894,99.6904,1.0,1.9964022766501435
B3GALT1,B3GALT1,0.99984115,99.6933,1.0,1.9963674518624557
PFDN4,PFDN4,0.9973643,100.0,1.0,1.9963337405102082
CSRP2,CSRP2,0.9973561,100.0,1.0,1.9963223451164485
SNRPN,SNRPN,0.99733573,100.0,1.0,1.9962940372907312
NAA20,NAA20,0.99733126,100.0,1.0,1.9962878254114504
AIDA,AIDA,0.9998572,99.6732,1.0,1.9961663872012434
TUBB4B,TUBB4B,0.9972079,100.0,1.0,1.9961163942194782
GET3,GET3,0.9994147,99.7126,1.0,1.9959893006519829
STT3B,STT3B,0.9998348,99.6368,1.0,1.9957307491772949
HOXC4,HOXC4,0.9998685,99.6212,1.0,1.9956042204048103
HOXC9,HOXC9,0.9998988,99.6154,1.0,1.9955818730208092
SOX1,SOX1,0.999841,99.61605,1.0,1.9955087727691878
RAB1A,RAB1A,0.9967395,100.0,1.0,1.9954654670930214
DEDD,DEDD,0.9991906,99.6855,1.0,1.9953767135987643
HOXB9,HOXB9,0.99982065,99.6,1.0,1.9953021308757917
CELF3,CELF3,0.9974742,99.89245,1.0,1.995291275416042
SNRPB2,SNRPB2,0.9966141,100.0,1.0,1.9952912009494308
MB21D2,MB21D2,0.9998369,99.5927,1.0,1.9952435891245281
KCNS2,KCNS2,0.99991286,99.5807,1.0,1.9952157947191709
STX1B,STX1B,0.99654233,100.0,1.0,1.995191463460392
HOXC8,HOXC8,0.99977744,99.5868,1.0,1.9950953925804704
PSMC4,PSMC4,0.9964542,100.0,1.0,1.9950689907711208
ZMYND19,ZMYND19,0.9999312,99.5595,1.0,1.9950056882527067
SERINC1,SERINC1,0.99988943,99.5585,1.0,1.9949365283400855
ASB7,ASB7,0.99633443,100.0,1.0,1.994902548538124
NOG,NOG,0.99977595,99.569,1.0,1.9948955125377483
CAB39,CAB39,0.998637,99.7067,1.0,1.9948429787891668
OGT,OGT,0.99778974,99.8088,1.0,1.9948001825989352
POLR3F,POLR3F,0.9987623,99.6835,1.0,1.9947592869500437
NAPB,NAPB,0.9988744,99.6644,1.0,1.9947028141494112
ARL5B,ARL5B,0.99839884,99.7222,1.0,1.9946842618571783
EBF1,EBF1,0.99612474,100.0,1.0,1.9946111460847789
POLR3GL,POLR3GL,0.99978745,99.5413,1.0,1.9946036668696565
KCNK12,KCNK12,0.9997982,99.5349,1.0,1.994547483466181
KCNJ2,KCNJ2,0.99981946,99.5316,1.0,1.9945403555767913
ACTC1,ACTC1,0.996072,100.0,1.0,1.9945378542473553
CACNG7,CACNG7,0.9960672,100.0,1.0,1.9945311837729593
PHF5A,PHF5A,0.9960564,100.0,1.0,1.9945161752055687
PRKCI,PRKCI,0.99872345,99.6644,1.0,1.9944930416264848
MED18,MED18,0.9998831,99.5192,1.0,1.9944909951317293
HOXC5,HOXC5,0.99963427,99.5496,1.0,1.9944830323305145
PURB,PURB,0.9998467,99.51875,1.0,1.9944354099010444
SOX2,SOX2,0.99973077,99.53125,1.0,1.9944132151545126
HNRNPLL,HNRNPLL,0.99740565,99.8155,1.0,1.9943408759292007
TIMP3,TIMP3,0.9996548,99.5261,1.0,1.9942504096243145
RRAGC,RRAGC,0.999854,99.4987,1.0,1.9942227411653088
HPCAL4,HPCAL4,0.99568486,100.0,1.0,1.9939998526936904
STAT3,STAT3,0.9987933,99.6104,1.0,1.9939900149437468
HMBOX1,HMBOX1,0.9956593,100.0,1.0,1.993964332417533
POU3F3,POU3F3,0.99963015,99.4996,1.0,1.9939216624121967
RHOG,RHOG,0.99974644,99.4764,1.0,1.9938254495367598
NFYB,NFYB,0.9994122,99.5169,1.0,1.9938110341561794
ACTR1A,ACTR1A,0.99553996,100.0,1.0,1.9937984877478674
PGAP4,PGAP4,0.9994875,99.5037,1.0,1.9937689870943256
MAP1LC3A,MAP1LC3A,0.9955067,100.0,1.0,1.993752266919033
SUV39H1,SUV39H1,0.99937385,99.5146,1.0,1.9937321802014425
YPEL2,YPEL2,0.9954602,100.0,1.0,1.9936876466983238
RBM18,RBM18,0.9996472,99.4737,1.0,1.9936575326795256
DUSP1,DUSP1,0.9997755,99.455,1.0,1.9936280178854016
SSBP2,SSBP2,0.9953625,100.0,1.0,1.993551874750726
KLHL11,KLHL11,0.99985963,99.435,1.0,1.9935226740748915
ARPC1A,ARPC1A,0.99527234,100.0,1.0,1.993426581006658
NEUROD1,NEUROD1,0.99976444,99.4382,1.0,1.9934259514729087
GNAZ,GNAZ,0.999733,99.4366,1.0,1.9933644792439265
PRPF3,PRPF3,0.9975513,99.7072,1.0,1.9933397573060443
TCF21,TCF21,0.99965495,99.4413,1.0,1.9933082451270994
PAX5,PAX5,0.99722016,99.7442,1.0,1.9932907548302325
CAMK2G,CAMK2G,0.99787617,99.6599,1.0,1.9932655837225512
NEUROD6,NEUROD6,0.99988425,99.4065,1.0,1.9932401707259702
DESI1,DESI1,0.9998888,99.4048,1.0,1.9932276018692794
KDM2A,KDM2A,0.9985693,99.5697,1.0,1.9932264315743846
MEX3A,MEX3A,0.9997138,99.4231,1.0,1.9931877733508387
H2AZ2,H2AZ2,0.9950217,100.0,1.0,1.9930782710686241
BARHL1,BARHL1,0.99982053,99.3884,1.0,1.9929504768955044
LRRC8A,LRRC8A,0.9998096,99.3827,1.0,1.9928719442046634
TMEM35A,TMEM35A,0.9996312,99.4012,1.0,1.9928296133445706
TWIST2,TWIST2,0.9998098,99.375,1.0,1.9927866528992162
TMEM229B,TMEM229B,0.9995874,99.4012,1.0,1.9927687452657088
MAPRE3,MAPRE3,0.997634,99.6441,1.0,1.9927534607532782
SSTR1,SSTR1,0.9998491,99.35995,1.0,1.9926740184355656
KLHL9,KLHL9,0.99983746,99.3517,1.0,1.9925661612045693
RPS10,RPS10,0.99458295,100.0,1.0,1.9924685480183828
RPLP0,RPLP0,0.99447227,100.0,1.0,1.9923147379962731
IRF2BP1,IRF2BP1,0.9999162,99.3151,1.0,1.9922688530571584
TBX20,TBX20,0.99976945,99.3289,1.0,1.9922182750613997
ARPC5L,ARPC5L,0.9996263,99.3464,1.0,1.9922138176090947
RAB4A,RAB4A,0.9943933,100.0,1.0,1.9922049947956406
LINGO2,LINGO2,0.99963707,99.3399,1.0,1.992156550710407
TOMM40L,TOMM40L,0.99952906,99.3506,1.0,1.992125359047228
CA8,CA8,0.9998285,99.3103,1.0,1.99209363606615
TLX3,TLX3,0.9997428,99.3127,1.0,1.992001211237076
HNRNPK,HNRNPK,0.9942178,100.0,1.0,1.991961105575544
ARL2,ARL2,0.9985386,99.4565,1.0,1.9919257893473672
FAM219A,FAM219A,0.99850047,99.45945,1.0,1.9919055837876254
H2AX,H2AX,0.9997303,99.3007,1.0,1.9918504855473325
LAMTOR2,LAMTOR2,0.9940658,100.0,1.0,1.9917498738863437
DR1,DR1,0.9986078,99.4318,1.0,1.9917474670059097
ZC4H2,ZC4H2,0.9940417,100.0,1.0,1.991716382546148
PPIH,PPIH,0.9940293,100.0,1.0,1.991699150487292
JAKMIP2,JAKMIP2,0.9998784,99.2683,1.0,1.9916962398868754
HAS3,HAS3,0.9983645,99.4575,1.0,1.991694958570859
PPP1CA,PPP1CA,0.9964245,99.697,1.0,1.9916605119783601
DERL1,DERL1,0.9939852,100.0,1.0,1.9916378655037807
ARRDC3,ARRDC3,0.9997719,99.2754,1.0,1.9916271402449657
AGO4,AGO4,0.99861753,99.41845,1.0,1.9916126315511613
SYT2,SYT2,0.9996581,99.284,1.0,1.9915645652560792
TOB1,TOB1,0.99970615,99.27449999999999,1.0,1.991525767042864
SOX21,SOX21,0.9996476,99.2754,1.0,1.9914544027517576
FZD4,FZD4,0.99975,99.2551,1.0,1.9913711145678499
IKZF5,IKZF5,0.9994617,99.284,1.0,1.9912916316787177
STUM,STUM,0.99935335,99.2908,1.0,1.9912166272582343
KCTD4,KCTD4,0.9998296,99.2278,1.0,1.991178351410671
RCBTB1,RCBTB1,0.99967825,99.2467,1.0,1.9911780566085846
ERG28,ERG28,0.9993391,99.2857,1.0,1.9911401485557367
CCNC,CCNC,0.9936202,100.0,1.0,1.9911306315132666
ID2,ID2,0.9995838,99.2537,1.0,1.991124591347917
RIMS4,RIMS4,0.9995596,99.2565,1.0,1.9911220771274614
KLF12,KLF12,0.999554,99.2537,1.0,1.9910831788193764
KCND3,KCND3,0.99965954,99.2366,1.0,1.9910398154808484
UBA52,UBA52,0.9935417,100.0,1.0,1.991021541463252
SNRPD3,SNRPD3,0.99352455,100.0,1.0,1.9909977084141088
HNRNPR,HNRNPR,0.99536645,99.76415,1.0,1.9909363892293723
SRSF2,SRSF2,0.9934377,100.0,1.0,1.9908770145180097
AP3M1,AP3M1,0.99531895,99.7608,1.0,1.9908331511498352
RHOU,RHOU,0.9995486,99.2248,1.0,1.9907545120564158
GRIK3,GRIK3,0.9967893,99.5647,1.0,1.9906972328764958
HES1,HES1,0.99896306,99.2857,1.0,1.9906175724741122
CNKSR2,CNKSR2,0.9959501,99.6617,1.0,1.990608961792885
KIF3B,KIF3B,0.9985864,99.3307,1.0,1.9905942147745601
NLGN3,NLGN3,0.99604154,99.6462,1.0,1.9905637845575086
SIX6,SIX6,0.99969065,99.187,1.0,1.9905318492206536
MEOX2,MEOX2,0.99975175,99.17654999999999,1.0,1.9905006291155742
CNBP,CNBP,0.99538225,99.7191,1.0,1.9904577105781487
CLIC4,CLIC4,0.999444,99.2095,1.0,1.9904391241069688
NR2F1,NR2F1,0.99403256,99.8818,1.0,1.9903901374238455
RAB33A,RAB33A,0.99971074,99.1561,1.0,1.9902163796789871
SLITRK1,SLITRK1,0.99983764,99.1379,1.0,1.9901904757741087
FBXW2,FBXW2,0.9927879,100.0,1.0,1.989973999046678
ZBTB12,ZBTB12,0.9997289,99.1285,1.0,1.9899349005829752
GABPA,GABPA,0.99978477,99.1189,1.0,1.9899058583954412
PLPP4,PLPP4,0.99855,99.262,1.0,1.9897801748999353
ABHD13,ABHD13,0.9997593,99.1098,1.0,1.9897693359048199
POU4F3,POU4F3,0.99972796,99.1124,1.0,1.989754676775989
LMX1B,LMX1B,0.99956685,99.12935,1.0,1.989719148543281
PHLDA3,PHLDA3,0.99878114,99.21260000000001,1.0,1.989552409341075
METTL9,METTL9,0.9924289,100.0,1.0,1.9894751031491587
SIX3,SIX3,0.999609,99.1,1.0,1.9894515603674532
RND2,RND2,0.9994285,99.1189,1.0,1.9894107563302346
PBX2,PBX2,0.99981934,99.0698,1.0,1.989408256879818
PLCXD3,PLCXD3,0.9998234,99.0654,1.0,1.9893650022797653
PPTC7,PPTC7,0.99886435,99.1841,1.0,1.9893513274702475
MAFB,MAFB,0.99973214,99.0712,1.0,1.989302634638939
CGGBP1,CGGBP1,0.9969904,99.4012,1.0,1.9891597406811474
ACVR2A,ACVR2A,0.996871,99.4152,1.0,1.989149393070334
GID8,GID8,0.9991631,99.1228,1.0,1.9890852749488013
RPS29,RPS29,0.99214387,100.0,1.0,1.9890790020414433
MTCP1,MTCP1,0.9996139,99.0654,1.0,1.989073863866032
CHRM4,CHRM4,0.99960786,99.05969999999999,1.0,1.9890021267209816
FGF18,FGF18,0.99977916,99.0338,1.0,1.9889523554623842
EMC6,EMC6,0.99931383,99.0909,1.0,1.988940240596718
C6orf62,C6orf62,0.9990085,99.1266,1.0,1.9889126590624822
MOB3B,MOB3B,0.9993987,99.0741,1.0,1.9888714863943897
NCS1,NCS1,0.9961627,99.4737,1.0,1.988815185172824
MGAT5,MGAT5,0.99949086,99.0553,1.0,1.9887906371979382
RGP1,RGP1,0.99596554,99.4885,1.0,1.9887056661876437
ACTR3B,ACTR3B,0.9975823,99.2823,1.0,1.9886609711057834
TRIM62,TRIM62,0.9985679,99.1579,1.0,1.988648198512034
SP8,SP8,0.995762,99.50745,1.0,1.9886333995177528
CCDC85B,CCDC85B,0.9996988,99.0099,1.0,1.9885750825670554
GALNT18,GALNT18,0.99966484,99.0115,1.0,1.9885456695823944
HOMER1,HOMER1,0.9985338,99.1525,1.0,1.9885408007519785
DOCK3,DOCK3,0.99825567,99.187,1.0,1.9885376831063857
CRYBB2,CRYBB2,0.999539,99.0244,1.0,1.9885141482410222
POU3F1,POU3F1,0.99970555,99.0012,1.0,1.988487780791238
SMIM32,SMIM32,0.99944067,99.0291,1.0,1.9884297313698727
MED7,MED7,0.99849993,99.1416,1.0,1.988372601731764
MAPK14,MAPK14,0.9938535,99.7222,1.0,1.9883676839217177
CLDN9,CLDN9,0.9989549,99.0783,1.0,1.9883014195811461
AKIRIN2,AKIRIN2,0.9994444,99.0148,1.0,1.9882760005780016
PITX3,PITX3,0.9995069,99.0066,1.0,1.9882717300272055
MFAP1,MFAP1,0.9914844,100.0,1.0,1.9881625483435685
RAP2C,RAP2C,0.9914009,100.0,1.0,1.988046509882725
FBXL7,FBXL7,0.9994858,98.9817,1.0,1.9879656968084654
SIX1,SIX1,0.9941153,99.6479,1.0,1.9879058150930191
ZNF146,ZNF146,0.9994982,98.9726,1.0,1.9878818015814623
VTI1A,VTI1A,0.99488086,99.5392,1.0,1.9877617291858363
ROMO1,ROMO1,0.99118423,100.0,1.0,1.9877454074478629
PCBP2,PCBP2,0.995553,99.45355,1.0,1.9877439712519394
MSI1,MSI1,0.991157,100.0,1.0,1.9877075664024881
CCT2,CCT2,0.998622,99.0654,1.0,1.987695438125783
TMEM127,TMEM127,0.9945067,99.5798,1.0,1.9876929489820532
NKIRAS1,NKIRAS1,0.99941576,98.9583,1.0,1.9876083218773652
NKAIN1,NKAIN1,0.9910837,100.0,1.0,1.9876057026997356
CCDC6,CCDC6,0.9995059,98.9451,1.0,1.9875868976988516
PPP2R5E,PPP2R5E,0.99105257,100.0,1.0,1.9875624418939146
RAB9B,RAB9B,0.9989789,99.005,1.0,1.9875201972219778
WNT5A,WNT5A,0.9952183,99.4737,1.0,1.9875027693354501
ACTR1B,ACTR1B,0.9995112,98.9362,1.0,1.9874953583061832
ZMIZ1,ZMIZ1,0.99915636,98.9727,1.0,1.9874078639187636
RNF38,RNF38,0.99869436,99.02765,1.0,1.9873764839843142
RBM42,RBM42,0.99843097,99.06055,1.0,1.9873760696321554
HAS2,HAS2,0.99959725,98.913,1.0,1.9873571214420527
DLX6,DLX6,0.99906224,98.97375,1.0,1.987288735566303
SIKE1,SIKE1,0.99857324,99.0338,1.0,1.9872765099450125
POU3F4,POU3F4,0.99970603,98.892,1.0,1.9872749204083735
NKX2-2,NKX2-2,0.9996064,98.9011,1.0,1.9872375936600546
CDH7,CDH7,0.99692947,99.2357,1.0,1.9872358842907847
GNAI3,GNAI3,0.99979115,98.8701,1.0,1.9871498378949517
GPC6,GPC6,0.99795943,99.0991,1.0,1.987149180757528
HRAS,HRAS,0.9949136,99.4709,1.0,1.9870482170915766
SLC35D1,SLC35D1,0.9996868,98.8732,1.0,1.9870392745154744
CDC40,CDC40,0.9989616,98.9637,1.0,1.9870371934231512
GNB4,GNB4,0.9906554,100.0,1.0,1.987010501828127
ATP5MC3,ATP5MC3,0.9990375,98.94120000000001,1.0,1.9868926303070271
CASK,CASK,0.99052274,100.0,1.0,1.986826146592013
RCOR2,RCOR2,0.9996749,98.8528,1.0,1.9867960343711613
TRIM46,TRIM46,0.9967523,99.2095,1.0,1.9866985166213067
MTA2,MTA2,0.9975951,99.1018,1.0,1.9866728826531657
ZNF32,ZNF32,0.9991942,98.9011,1.0,1.986664766671315
SFRP2,SFRP2,0.99853665,98.983,1.0,1.9866611267359264
BCL11B,BCL11B,0.99934715,98.8814,1.0,1.9866583946540217
INHBA,INHBA,0.9997748,98.8263,1.0,1.9866403720727925
SYT11,SYT11,0.99966145,98.8399,1.0,1.9866339868836602
FGF17,FGF17,0.99405473,99.537,1.0,1.9865892227033877
ARL3,ARL3,0.99906254,98.9011,1.0,1.986481801117367
ACTB,ACTB,0.9934249,99.6032,1.0,1.9864496324073078
RASL10B,RASL10B,0.998096,99.0148,1.0,1.986402153145648
RPE65,RPE65,0.9992172,98.8743,1.0,1.9863989039478303
C1QL1,C1QL1,0.9994621,98.8372,1.0,1.9863269489448088
ARL8A,ARL8A,0.9901584,100.0,1.0,1.9863198297917286
ZFAND5,ZFAND5,0.99390817,99.5305,1.0,1.9863133171095562
MED30,MED30,0.9991282,98.8764,1.0,1.9862985593010423
STX1A,STX1A,0.9984467,98.9583,1.0,1.986261636477783
SLC41A1,SLC41A1,0.99943495,98.8304,1.0,1.9862136514318274
ARF5,ARF5,0.99006295,100.0,1.0,1.9861871846290038
DNAJC5,DNAJC5,0.9940813,99.4949,1.0,1.9861582939503295
RNF185,RNF185,0.9941815,99.4792,1.0,1.9861230677530146
NR2F2,NR2F2,0.99000645,100.0,1.0,1.9861086675866364
SRSF5,SRSF5,0.99441516,99.44855,1.0,1.986107170853635
RPS6KA3,RPS6KA3,0.9910818,99.8649,1.0,1.986101711059719
FZD7,FZD7,0.9997472,98.7805,1.0,1.9860930465491569
KLHL20,KLHL20,0.99852526,98.9319,1.0,1.986077429650852
TBC1D22B,TBC1D22B,0.9994845,98.8119,1.0,1.9860769217448584
VPS37D,VPS37D,0.99952555,98.8048,1.0,1.9860550666890173
RGS7BP,RGS7BP,0.99929917,98.8327,1.0,1.986050520031035
DCAF1,DCAF1,0.9947012,99.4028,1.0,1.985996260888906
BZW2,BZW2,0.99178046,99.7613,1.0,1.98592133114728
LDB1,LDB1,0.99961716,98.78105,1.0,1.9859184443690228
PLEKHF2,PLEKHF2,0.9994798,98.7952,1.0,1.9858848049997957
FNBP1L,FNBP1L,0.9989709,98.8479,1.0,1.98576324497252
HOXC13,HOXC13,0.9994315,98.7879,1.0,1.9857365592647298
ZRANB2,ZRANB2,0.9994161,98.7879,1.0,1.9857151581593766
SNN,SNN,0.9988049,98.8636,1.0,1.9857070300833262
SLC32A1,SLC32A1,0.99960315,98.76315,1.0,1.9857000542167293
GRB2,GRB2,0.9896674,100.0,1.0,1.9856374958483247
HPSE2,HPSE2,0.99775237,98.9865,1.0,1.9856101219168851
GJD2,GJD2,0.9995901,98.7539,1.0,1.9855791246453243
SRGAP1,SRGAP1,0.9991432,98.8018,1.0,1.9854903830472592
GDAP2,GDAP2,0.99920464,98.7928,1.0,1.9854757491225221
HS6ST1,HS6ST1,0.9992507,98.7835,1.0,1.9854364080195088
DCAF7,DCAF7,0.98950785,100.0,1.0,1.9854157720587726
CSE1L,CSE1L,0.9960454,99.18119999999999,1.0,1.9854016555521763
KCNH5,KCNH5,0.99434453,99.3927,1.0,1.9853883627764186
CLVS2,CLVS2,0.98946303,100.0,1.0,1.9853534865041018
SUPT7L,SUPT7L,0.99907595,98.7923,1.0,1.9852913544803288
PTP4A2,PTP4A2,0.9894177,100.0,1.0,1.9852904922115264
RPS9,RPS9,0.9894083,100.0,1.0,1.9852774291991682
DYRK1B,DYRK1B,0.9970306,99.0461,1.0,1.9852694191780127
CCNJ,CCNJ,0.9956178,99.2167,1.0,1.9852019350018182
KIFAP3,KIFAP3,0.99892414,98.8013,1.0,1.9851804028277424
TRPC5,TRPC5,0.9996025,98.71600000000001,1.0,1.9851751782279112
POLR2A,POLR2A,0.9992586,98.75805,1.0,1.985164563494871
HSPA5,HSPA5,0.9960461,99.15975,1.0,1.9851642568701684
BUB3,BUB3,0.98932064,100.0,1.0,1.9851556096605147
MYF6,MYF6,0.99922687,98.7603,1.0,1.985145472879001
EFNB2,EFNB2,0.99891263,98.7988,1.0,1.9851366253646245
SV2A,SV2A,0.99361223,99.4609,1.0,1.9851285975259212
VSNL1,VSNL1,0.98929316,100.0,1.0,1.9851174211945988
TRIM71,TRIM71,0.9984566,98.84935,1.0,1.9850646451230594
CTCF,CTCF,0.991422,99.7249,1.0,1.985018676534696
LMX1A,LMX1A,0.9996747,98.6911,1.0,1.9849988023552396
MTPN,MTPN,0.9959092,99.1525,1.0,1.9848934409396413
FAM199X,FAM199X,0.9994225,98.70865,1.0,1.984843355707183
PELO,PELO,0.9994118,98.7013,1.0,1.984746806377123
NEUROD2,NEUROD2,0.9994886,98.6911,1.0,1.9847401825041855
