crab_eating_macaque gene name,mice gene name,correlation
EBF1,Ebf1,0.99862313
MYH4,Myh4,0.998621
ADCY3,Adcy3,0.9986118
GLRA3,Glra3,0.99861073
SNN,Snn,0.9985982
THBS1,Thbs1,0.998598
TCF15,Tcf15,0.9985941
FOXO1,Foxo1,0.99859077
SCUBE3,Scube3,0.998588
PCDH20,Pcdh20,0.99858123
BRK1,Brk1,0.9985786
RPLP2,Rplp2,0.9985637
PHKA1,Phka1,0.9985538
TRPV4,Trpv4,0.99854946
LRRTM3,Lrrtm3,0.99854445
CDH11,Cdh11,0.9985438
ITPR3,Itpr3,0.99854267
GRIA4,Gria4,0.998536
PAQR4,Paqr4,0.9985338
FBXO45,Fbxo45,0.9985285
UBLCP1,Ublcp1,0.9985145
HECTD1,Hectd1,0.99848896
GTF2H5,Gtf2h5,0.99848074
CACNB4,Cacnb4,0.99847776
BRPF1,Brpf1,0.9984757
GRIN3A,Grin3a,0.99847275
MYO9A,Myo9a,0.9984662
DDX19B,Ddx19a,0.99845815
OSBP,Osbp,0.99845517
FBXO41,Fbxo41,0.99844265
COG3,Cog3,0.99843657
CDH2,Cdh2,0.99842244
YY1,Yy1,0.9984205
HOXA10,Hoxa10,0.99841875
SLITRK3,Slitrk3,0.9984109
WNT7A,Wnt7a,0.9984083
CHRM4,Chrm4,0.99840164
KCTD4,Kctd4,0.9983986
PLEK2,Plek2,0.9983951
MMGT1,Mmgt1,0.9983878
CLP1,Clp1,0.9983783
EGLN3,Egln3,0.99837685
TIMM8B,Timm8b,0.9983753
CACHD1,Cachd1,0.9983647
CYLD,Cyld,0.99836415
FITM1,Fitm1,0.99836206
GALNT7,Galnt7,0.99834996
PAX7,Pax7,0.99834716
INTS3,Ints3,0.9983396
SNX33,Snx33,0.9983387
PRKACA,Prkaca,0.9983364
MAP3K3,Map3k3,0.99833083
ZC3H12C,Zc3h12c,0.9983272
COL2A1,Col2a1,0.99832493
UBL5,Ubl5b,0.99832124
AGTR2,Agtr2,0.9983187
ATAD1,Atad1,0.9983186
PAK5,Pak5,0.9983097
RNF122,Rnf122,0.9983091
EIF3G,Eif3g,0.9983075
SEMA6D,Sema6d,0.9983073
TPPP3,Tppp3,0.9983018
DOK6,Dok6,0.9982997
UBTD1,Ubtd1,0.998298
PSKH1,Pskh1,0.99829376
DYSF,Dysf,0.998288
FBXL15,Fbxl15,0.998278
ZDHHC2,Zdhhc2,0.9982706
KCNB2,Kcnb2,0.99825644
FAF1,Faf1,0.9982498
CDH12,Cdh12,0.9982403
CXXC1,Cxxc1,0.9982384
BARX1,Barx1,0.99822897
DHX38,Dhx38,0.99822783
CLCN3,Clcn3,0.9982238
ZBTB2,Zbtb2,0.9982206
GEM,Gem,0.99821615
AP3M2,Ap3m2,0.99821484
TGFB2,Tgfb2,0.9982091
KCNJ2,Kcnj2,0.99820536
PRR7,Prr7,0.9982021
IL1RAPL2,Il1rapl2,0.9981995
SORCS3,Sorcs3,0.9981945
SNX12,Snx12,0.9981938
AQR,Aqr,0.99817723
KCNS3,Kcns3,0.9981758
SCN9A,Scn9a,0.9981723
PCNA,Pcna,0.998171
KLHL11,Klhl11,0.9981687
IRS1,Irs1,0.99815816
ELMOD1,Elmod1,0.998157
NPY1R,Npy1r,0.99815625
RAB27A,Rab27a,0.9981431
FOXB2,Foxb2,0.99814105
SST,Sst,0.9981368
HOXD13,Hoxd13,0.9981312
CHRM2,Chrm2,0.99812543
CERS6,Cers6,0.99812365
ABHD17C,Abhd17c,0.99812245
HS3ST5,Hs3st5,0.99812007
TAOK1,Taok1,0.99811894
GPC4,Gpc4,0.9981147
PGD,Pgd,0.9981014
ANKRD34C,Ankrd34c,0.9980692
OSBPL6,Osbpl6,0.99806845
KLHDC8B,Klhdc8b,0.9980624
PELO,Pelo,0.9980602
CHUK,Chuk,0.99804723
LARGE1,Large1,0.9980459
STAT3,Stat3,0.9980451
ADAM11,Adam11,0.9980326
WDR59,Wdr59,0.9980298
STEAP2,Steap2,0.99802834
RING1,Ring1,0.99802345
RPS6KA1,Rps6ka1,0.9980172
TMTC2,Tmtc2,0.99800575
ALX1,Alx1,0.99800247
MCC,Mcc,0.998002
DLGAP3,Dlgap3,0.9980002
NEXMIF,Nexmif,0.99799675
SPTB,Sptb,0.9979908
GNAT3,Gnat3,0.9979801
USP14,Usp14,0.9979762
RPRM,Rprm,0.9979738
LRFN5,Lrfn5,0.99796635
HSPA1L,Hspa1l,0.99796355
NOC3L,Noc3l,0.99796164
PLCG2,Plcg2,0.99794936
RPL26,Rpl26,0.9979401
CHMP7,Chmp7,0.99793595
PTN,Ptn,0.9979231
RPL38,Rpl38,0.9979229
KCNA10,Kcna10,0.99792147
CTDSPL2,Ctdspl2,0.99791276
PDK2,Pdk2,0.9978978
ERCC3,Ercc3,0.9978976
CRYBB2,Crybb2,0.9978931
MYF6,Myf6,0.9978761
HOXA2,Hoxa2,0.99786407
CDK12,Cdk12,0.9978578
COPS2,Cops2,0.99785376
ZBTB16,Zbtb16,0.9978507
LRRC58,Lrrc58,0.99784297
ADAMTSL2,Adamtsl2,0.9978347
GPR139,Gpr139,0.99783003
TMEM258,Tmem258,0.997829
INHBB,Inhbb,0.99782616
SLC6A7,Slc6a7,0.99782515
INSRR,Insrr,0.997807
BATF,Batf,0.99780667
ARMC1,Armc1,0.99780613
CACNA2D2,Cacna2d2,0.9978059
MC4R,Mc4r,0.99780387
KCNV1,Kcnv1,0.99779457
C1QL2,C1ql2,0.9977929
APPBP2,Appbp2,0.9977908
RAB3GAP1,Rab3gap1,0.997785
CLDN11,Cldn11,0.9977838
CIP2A,Cip2a,0.99778044
SMG7,Smg7,0.9977789
RNF128,Rnf128,0.9977743
POLR3E,Polr3e,0.9977687
FEN1,Fen1,0.99776006
EIF1B,Eif1b,0.9977507
RAI2,Rai2,0.997749
GAB2,Gab2,0.9977469
ATP1A1,Atp1a1,0.9977452
FOXK2,Foxk2,0.9977287
ZNF143,Zfp143,0.99772733
MSX2,Msx2,0.9977236
ACTR2,Actr2,0.9977231
DYNC1I2,Dync1i2,0.99771816
XKR4,Xkr4,0.9977179
SSRP1,Ssrp1,0.9977125
CACNA1S,Cacna1s,0.9977093
AKT3,Akt3,0.99770916
ATP6V1G1,Atp6v1g1,0.9977008
HOXA11,Hoxa11,0.99769634
AQP3,Aqp3,0.9976961
EXOC6,Exoc6,0.9976934
ZBTB6,Zbtb6,0.9976881
CPNE3,Cpne3,0.9976878
PRELID1,Prelid1,0.9976874
DVL2,Dvl2,0.9976834
RAD54L,Rad54l,0.9976831
SIAH2,Siah2,0.99767345
NFYA,Nfya,0.99766225
E2F3,E2f3,0.99766105
ZNF146,Zfp146,0.9976549
LATS1,Lats1,0.99765253
SEC23A,Sec23a,0.9976515
SFXN1,Sfxn1,0.9976504
ZNF281,Zfp281,0.99764174
TBX18,Tbx18,0.9976248
VPS50,Vps50,0.99760705
WNT2,Wnt2,0.9976066
CPSF2,Cpsf2,0.99759614
HDGFL3,Hdgfl3,0.99759513
THSD7A,Thsd7a,0.99758875
ABHD13,Abhd13,0.9975791
TMEM185B,Tmem185b,0.9975775
ZNF592,Zfp592,0.99756986
ELFN2,Elfn2,0.99756235
ZBTB34,Zbtb34,0.99755734
TPH2,Tph2,0.9975556
PLPPR1,Plppr1,0.99754995
RHOBTB2,Rhobtb2,0.9975444
KCNQ4,Kcnq4,0.9975381
BTAF1,Btaf1,0.99753284
KCNK1,Kcnk1,0.99752975
HOXA6,Hoxa6,0.9975259
PURB,Purb,0.997518
KLHDC8A,Klhdc8a,0.99751765
SNTA1,Snta1,0.9975156
CNOT6,Cnot6,0.9975135
CAPN6,Capn6,0.99750847
SESN2,Sesn2,0.99750745
CEBPE,Cebpe,0.99750555
FAT4,Fat4,0.99750483
DSP,Dsp,0.9975026
INTS9,Ints9,0.99750155
KCNMA1,Kcnma1,0.99749947
TFAP2E,Tfap2e,0.9974906
SMIM15,Smim15,0.9974843
GABRA3,Gabra3,0.9974832
POLR3D,Polr3d,0.9974822
RAB39A,Rab39,0.99748015
STMN2,Stmn2,0.99747914
SF3B3,Sf3b3,0.9974773
LMX1B,Lmx1b,0.99746406
NEUROD4,Neurod4,0.9974596
ABCF2,Abcf2,0.9974546
H1-4,H1f3,0.9974544
NEFL,Nefl,0.99744797
ARFGEF1,Arfgef1,0.9974473
IMP3,Imp3,0.9974389
DDX42,Ddx42,0.99743634
H2BC1,H2bc1,0.99743533
NFIA,Nfia,0.9974282
TAF1L,Taf1,0.9974262
SLC8A1,Slc8a1,0.9974239
GSX1,Gsx1,0.9974217
FER1L6,Fer1l6,0.9974187
CARD11,Card11,0.99741703
PHF2,Phf2,0.9974162
PRMT8,Prmt8,0.99741405
VSX2,Vsx2,0.9974105
SF3A3,Sf3a3,0.9974095
PCBP3,Pcbp3,0.9973965
DEPDC1B,Depdc1b,0.9973903
SLC35E3,Slc35e3,0.9973845
GPR27,Gpr27,0.99737823
SLIT3,Slit3,0.9973745
C1QL3,C1ql3,0.99737424
SORT1,Sort1,0.9973708
TMEM35A,Tmem35a,0.9973554
ABCA1,Abca1,0.9973433
ARMCX3,Armcx3,0.9973374
CTPS1,Ctps,0.9973319
KLHL3,Klhl3,0.9973243
SMPD3,Smpd3,0.99732304
COL8A1,Col8a1,0.99731874
HOXB5,Hoxb5,0.997318
CNBP,Cnbp,0.9973032
DUSP26,Dusp26,0.99730235
SLC9A9,Slc9a9,0.9972933
FLRT3,Flrt3,0.99729264
H2BC11,H2bc21,0.9972917
BMPR2,Bmpr2,0.997288
KRT71,Krt71,0.99727786
HCN4,Hcn4,0.9972685
SOS2,Sos2,0.9972605
PRDM12,Prdm12,0.9972545
CDYL2,Cdyl2,0.9972497
SLC18A2,Slc18a2,0.9972416
SGSM2,Sgsm2,0.99723923
TACR1,Tacr1,0.9972319
CAPZA3,Capza3,0.9972318
MYH3,Myh2,0.997231
TOX,Tox,0.99722934
LDB2,Ldb2,0.9972235
FRS2,Frs2,0.9972197
JUP,Jup,0.99721026
ID3,Id3,0.99720824
TBCK,Tbck,0.9971994
KCNAB1,Kcnab1,0.99719703
PCDH10,Pcdh10,0.9971959
CAMK1D,Camk1d,0.9971931
FBXW2,Fbxw2,0.99718195
NTF3,Ntf3,0.99718064
RICTOR,Rictor,0.9971732
THBS4,Thbs4,0.9971688
KIAA2013,2510039O18Rik,0.99716735
MCM6,Mcm6,0.99716085
ATP2A3,Atp2a3,0.99716043
TFAP2A,Tfap2a,0.9971576
B3GALT2,B3galt2,0.9971555
RAPGEF4,Rapgef4,0.9971492
GLRA1,Glra1,0.99714833
SERTM1,Sertm1,0.99714655
TUBA4A,Tuba1c,0.99714315
UGCG,Ugcg,0.99713975
MYOM2,Myom2,0.99713224
TUBA1B,Tuba1a,0.9971319
MARCHF4,Marchf4,0.9971312
EN1,En1,0.9971172
ITGA11,Itga11,0.9971164
CCNC,Ccnc,0.9971044
ABI1,Abi1,0.99710107
UBA1,Uba1,0.99709547
PSEN1,Psen1,0.9970953
WNT3A,Wnt3a,0.997091
PCK1,Pck1,0.9970883
RAP2A,Rap2a,0.997086
KRT35,Krt35,0.99708164
TMEM215,Tmem215,0.9970787
HEY2,Hey2,0.9970742
EML1,Eml1,0.9970729
PRICKLE1,Prickle1,0.9970669
CYP26B1,Cyp26b1,0.99705994
HTR2A,Htr2a,0.9970497
KDM4A,Kdm4a,0.9970494
ISM1,Ism1,0.99704313
BARHL2,Barhl2,0.9970343
STK24,Stk24,0.99703103
DMRTA2,Dmrta2,0.99702835
CLSTN2,Clstn2,0.99702805
SALL1,Sall1,0.997026
BYSL,Bysl,0.9970241
PPM1E,Ppm1e,0.9970228
ESRP1,Esrp1,0.9970224
SEC61G,Sec61g,0.9970212
RPL30,Rpl30,0.9970197
CTNNBL1,Ctnnbl1,0.997018
NPM1,Npm1,0.9970169
GHSR,Ghsr,0.9970005
ARPC3,Arpc3,0.9969989
SEC61A1,Sec61a1,0.9969971
ACVR2B,Acvr2b,0.99699503
SNX30,Snx30,0.9969857
PDS5B,Pds5b,0.9969844
EXOC8,Exoc8,0.99697936
KLHL28,Klhl28,0.9969774
PDE5A,Pde5a,0.9969728
STC1,Stc1,0.9969684
MEGF10,Megf10,0.9969658
ARFGEF3,Arfgef3,0.9969627
TCF21,Tcf21,0.9969564
OGT,Ogt,0.9969414
EBF3,Ebf3,0.99693954
KLF9,Klf9,0.99693656
DRD2,Drd2,0.9969347
CC2D2A,Cc2d2a,0.99693274
SCN4A,Scn4a,0.9969308
GJB2,Gjb2,0.9969307
UNC45B,Unc45b,0.9969283
PPFIA2,Ppfia2,0.99692273
MTCP1,Mtcp1,0.9969185
SUFU,Sufu,0.99691314
CSRNP2,Csrnp2,0.9969094
HCN3,Hcn3,0.99689263
CRYBA1,Cryba1,0.99689084
TRIM13,Trim13,0.99688065
MFSD14A,Mfsd14a,0.9968791
PAX5,Pax5,0.9968768
KCNK5,Kcnk5,0.9968763
SLITRK6,Slitrk6,0.99686563
SOX13,Sox13,0.99686396
GRXCR1,Grxcr1,0.9968639
PLRG1,Plrg1,0.9968577
PRICKLE2,Prickle2,0.99685496
SPIN4,Spin4,0.99685025
POP7,Pop7,0.9968391
MANEAL,Maneal,0.9968351
XPR1,Xpr1,0.9968217
NDP,Ndp,0.9968182
NANP,Nanp,0.99681777
KBTBD3,Kbtbd3,0.9968086
UGT8,Ugt8a,0.99679345
EFNA5,Efna5,0.9967882
GPR87,Gpr87,0.9967843
USP27X,Usp27x,0.9967839
AKIRIN2,Akirin2,0.9967819
TMCC2,Tmcc2,0.9967788
STK10,Stk10,0.9967744
P2RY1,P2ry1,0.99677217
MYF5,Myf5,0.99676806
SLC24A4,Slc24a4,0.9967642
KCNF1,Kcnf1,0.99675345
PRPF19,Prpf19,0.9967497
GPR158,Gpr158,0.99674547
SYT1,Syt1,0.9967383
ROR1,Ror1,0.99673724
SLC25A13,Slc25a13,0.99673355
OGDHL,Ogdhl,0.99672943
SLC7A14,Slc7a14,0.9967285
DCX,Dcx,0.99672514
CDH9,Cdh9,0.9967187
PCIF1,Pcif1,0.9967125
PEX5L,Pex5l,0.9967105
DDAH1,Ddah1,0.99670917
UST,Ust,0.99670887
RNPEP,Rnpep,0.99670595
GABRA6,Gabra6,0.9967039
PSMC2,Psmc2,0.99670255
JRKL,Jrkl,0.9967011
NAB1,Nab1,0.9966941
PAN2,Pan2,0.996691
ATN1,Gm45234,0.9966883
LMO4,Lmo4,0.99668765
ZDHHC5,Zdhhc5,0.9966875
PVRL4,Nectin4,0.99668527
GPR75,Gpr75,0.9966826
NRP2,Nrp2,0.99668115
MYH11,Myh11,0.9966811
PPARA,Ppara,0.9966778
TLL2,Tll2,0.9966768
SNAP25,Snap25,0.9966709
ETS1,Ets1,0.996659
SUPT6H,Supt6,0.9966561
LPAR3,Lpar3,0.9966515
SLC35D3,Slc35d3,0.996647
ALKBH5,Alkbh5,0.99664545
HEPHL1,Hephl1,0.9966416
GPR37L1,Gpr37l1,0.99663204
RAB3B,Rab3b,0.9966319
TRIM42,Trim42,0.9966238
RUNDC3B,Rundc3b,0.9966229
SEC14L1,Sec14l1,0.99661905
EPB41L4A,Epb41l4a,0.9966186
PAPPA,Pappa,0.99661094
CLOCK,Clock,0.99660915
YTHDC1,Ythdc1,0.99659735
NAV3,Nav3,0.9965959
NR1D1,Nr1d1,0.9965889
ALDOB,Aldob,0.9965873
TNC,Tnc,0.9965828
EPM2AIP1,Epm2aip1,0.99657696
STK39,Stk39,0.9965728
EIF3H,Eif3h,0.99657094
MED12,Med12,0.9965664
ZFPM2,Zfpm2,0.9965629
RAPGEF2,Rapgef2,0.99656254
LSM14B,Lsm14b,0.9965555
ARSJ,Arsj,0.99655
COL5A2,Col5a2,0.9965485
CLRN2,Clrn2,0.99654317
KAT6A,Kat6a,0.9965425
KLHL40,Klhl40,0.9965332
ETV4,Etv4,0.9965284
OSBPL7,Osbpl7,0.9965266
SSR3,Ssr3,0.9965251
ATXN1,Atxn1,0.99651253
ZBTB26,Zbtb26,0.99650985
NIPBL,Nipbl,0.9965088
TMEM115,Tmem115,0.9965088
MAP4K5,Map4k5,0.9965067
RORB,Rorb,0.99650514
ITGA6,Itga6,0.9964972
MAK16,Mak16,0.99649477
TMEM229B,Tmem229b,0.99648345
ASH1L,Ash1l,0.99648285
CREB3L1,Creb3l1,0.9964754
ZHX1,Zhx1,0.99647164
ITFG1,Itfg1,0.9964695
PADI2,Padi2,0.996466
MEF2D,Mef2d,0.9964567
AP1B1,Ap1b1,0.9964559
DCAF12,Dcaf12,0.9964535
TRIM24,Trim24,0.9964525
ANGPT1,Angpt1,0.9964419
APP,App,0.9964408
PCDHB1,Pcdhb1,0.9964404
QKI,Qk,0.99644023
SAP30,Sap30,0.99643576
CCND1,Ccnd1,0.9964262
ZMIZ1,Zmiz1,0.99642503
GUCA1A,Guca1a,0.9964233
FNBP1L,Fnbp1l,0.9964216
ITGB1BP2,Itgb1bp2,0.99642134
SCARA3,Scara3,0.99642
IFT70B,Ttc30a2,0.9964181
CLINT1,Clint1,0.9964028
SEH1L,Seh1l,0.9964018
HES7,Hes7,0.9964017
HNF4G,Hnf4g,0.9963999
SHTN1,Shtn1,0.99639475
ZDHHC22,Zdhhc22,0.99639386
SLC8A2,Slc8a2,0.99638796
BMP10,Bmp10,0.9963859
SLC4A7,Slc4a7,0.9963776
SLITRK1,Slitrk1,0.99637705
LHX3,Lhx3,0.9963719
SNAI2,Snai2,0.99637157
HOXB13,Hoxb13,0.99635863
HOXC12,Hoxc12,0.9963561
SLC16A2,Slc16a2,0.99635446
TM9SF3,Tm9sf3,0.99635345
DDX39A,Ddx39a,0.99635094
PIK3AP1,Pik3ap1,0.9963473
LPL,Lpl,0.99634475
SYT12,Syt12,0.9963442
GPATCH8,Gpatch8,0.99634343
MOSPD2,Mospd2,0.9963423
BCL6,Bcl6,0.9963407
ACTN1,Actn1,0.9963345
PAK2,Pak2,0.99633205
HKDC1,Hkdc1,0.9963315
MAGI3,Magi3,0.9963193
ZBED4,Zbed4,0.9963152
MARCHF9,Marchf9,0.9963106
ADRA1B,Adra1b,0.99630946
SPTBN1,Sptbn1,0.9962982
RAB27B,Rab27b,0.9962908
XKRX,Xkrx,0.99628645
TAF12,Taf12,0.996279
GPR176,Gpr176,0.9962747
ERG,Erg,0.996271
RLIM,Rlim,0.99626786
CEMIP,Cemip,0.9962542
SPTAN1,Sptan1,0.9962542
SUGP1,Sugp1,0.9962531
NPTX1,Nptx1,0.99625087
