rhesus_macaques gene name,commonmarmosets gene name,correlation
YWHAG,YWHAG,0.9999995
H2AX,H2AX,0.99999946
C14H11orf96,C11orf96,0.9999994
DPH3,DPH3,0.9999994
GATAD2B,GATAD2B,0.9999994
GNAQ,GNAQ,0.9999994
DAD1,DAD1,0.99999934
H2BC26,H2BC26,0.99999934
MYL9,MYL9,0.99999934
EMC3,EMC3,0.9999993
NOG,NOG,0.9999993
PHLDA3,PHLDA3,0.9999993
ANAPC13,ANAPC13,0.9999992
H2BC12,H2BC12,0.9999992
RPS8,RPS8,0.9999992
SVBP,SVBP,0.9999992
YBX1,YBX1,0.9999992
ARL4A,ARL4A,0.99999917
GREM2,GREM2,0.99999917
H2AC20,H2AC20,0.99999917
LHX5,LHX5,0.99999917
NLK,NLK,0.99999917
TMEM203,TMEM203,0.99999917
TRAPPC1,TRAPPC1,0.99999917
BCAS2,BCAS2,0.9999991
CAMK2N1,CAMK2N1,0.9999991
PSMA5,PSMA5,0.9999991
RAB39B,RAB39B,0.9999991
RPL38,RPL38,0.99999905
SERP1,SERP1,0.99999905
SIAH2,SIAH2,0.99999905
TMA7,TMA7,0.99999905
BLCAP,BLCAP,0.999999
POLR2B,POLR2B,0.999999
ZNF706,ZNF706,0.9999989
CFL2,CFL2,0.99999887
EMX2,EMX2,0.99999887
EIF3I,EIF3I,0.99999875
SPCS3,SPCS3,0.99999875
HSBP1,HSBP1,0.9999987
DYNLL2,DYNLL2,0.9999986
RGS17,RGS17,0.9999986
ID4,ID4,0.99999857
PCBP1,PCBP1,0.9999985
TMEM127,TMEM127,0.9999985
PIN1,PIN1,0.99999845
ACTA1,ACTA1,0.9999984
ANAPC16,ANAPC16,0.9999984
HAS2,HAS2,0.9999984
RAC3,RAC3,0.9999984
LSM8,LSM8,0.99999833
RPL10A,RPL10A,0.99999833
DPY30,DPY30,0.9999983
NEUROD1,NEUROD1,0.99999803
FAM241B,FAM241B,0.9999979
NEUROD6,NEUROD6,0.9999979
WDR82,WDR82,0.9999979
FUT9,FUT9,0.99999785
HRAS,HRAS,0.99999774
CTXN2,CTXN2,0.9999977
RAB14,RAB14,0.99999756
LRRC3B,LRRC3B,0.99999684
IL1RAPL1,IL1RAPL1,0.99998105
KBTBD2,KBTBD2,0.9999801
MMP16,MMP16,0.9999797
SMARCA4,SMARCA4,0.9999748
QRICH1,QRICH1,0.99997014
WNT10A,WNT10A,0.9999699
DNAJA2,DNAJA2,0.9999683
LRRC8A,LRRC8A,0.99996424
FGFR1OP2,FGFR1OP2,0.9999633
MSL2,MSL2,0.9999624
GRIN2B,GRIN2B,0.99996215
KCTD1,KCTD1,0.99996036
GPR85,GPR85,0.99995935
ARIH1,ARIH1,0.99995655
ABHD2,ABHD2,0.999952
DLX3,DLX3,0.9999507
GPR139,GPR139,0.9999504
CEBPB,CEBPB,0.99994683
DDX6,DDX6,0.99994314
RTF1,RTF1,0.9999379
KCNA1,KCNA1,0.9999374
GRIP1,GRIP1,0.9999349
ANKRD52,ANKRD52,0.9999348
PCDH9,PCDH9,0.99993366
ATAD1,ATAD1,0.9999319
BRINP1,BRINP1,0.99993086
CDK5R1,CDK5R1,0.99993056
ANGPTL2,ANGPTL2,0.99992955
LPAR4,LPAR4,0.99992853
UBR5,UBR5,0.9999278
HSF2,HSF2,0.99992704
FEM1B,FEM1B,0.9999262
PIAS1,PIAS1,0.99992484
CTCF,CTCF,0.99992436
ZBTB12,ZBTB12,0.9999234
RPL35A,RPL35A,0.9999233
PPFIA3,PPFIA3,0.9999232
TBX20,TBX20,0.99992067
PCDH10,PCDH10,0.99991995
STAG2,STAG2,0.9999193
IKZF5,IKZF5,0.99991876
COPB1,COPB1,0.99991834
TOP1,TOP1,0.99991816
SPIN1,SPIN1,0.99991566
KCNV1,KCNV1,0.9999136
HOXD10,HOXD10,0.9999114
HS3ST5,HS3ST5,0.99991053
SIX2,SIX2,0.99991024
CDH6,CDH6,0.9999102
MTOR,MTOR,0.9999096
PRKAA2,PRKAA2,0.99990916
NCKAP1,NCKAP1,0.99990815
NLGN2,NLGN2,0.99990815
FLRT3,FLRT3,0.9999081
DDX23,DDX23,0.99990666
PELO,PELO,0.99990577
COPB2,COPB2,0.99990517
TFAP2D,TFAP2D,0.99990517
WNT7A,WNT7A,0.999905
CSNK2A2,CSNK2A2,0.99990296
LDB1,LDB1,0.9999028
HECTD1,HECTD1,0.9999025
SLC17A7,SLC17A7,0.99990153
TBX5,TBX5,0.9999007
EIF2S1,EIF2S1,0.9998951
USP27X,USP27X,0.9998948
GRID1,GRID1,0.9998928
ST8SIA3,ST8SIA3,0.99989074
PLAGL2,PLAGL2,0.99989057
ZRANB1,ZRANB1,0.99988985
FOXB1,FOXB1,0.99988705
TMEM35A,TMEM35A,0.999887
ZDHHC21,ZDHHC21,0.9998847
TM9SF3,TM9SF3,0.99988383
NKIRAS2,NKIRAS2,0.9998831
TMCC1,TMCC1,0.99988043
GJC1,GJC1,0.99987704
SERINC1,SERINC1,0.99987483
SAMD8,SAMD8,0.99987453
PLAG1,PLAG1,0.99987364
FBXL3,FBXL3,0.9998724
ANKRD50,ANKRD50,0.9998714
EXT1,EXT1,0.9998714
PCGF2,PCGF2,0.99986947
HOXB9,HOXB9,0.9998686
SRGAP1,SRGAP1,0.9998674
BCLAF1,BCLAF1,0.9998671
MEX3A,MEX3A,0.9998659
RTL6,RTL6,0.99986523
RNF187,RNF187,0.99986494
ZBTB43,ZBTB43,0.9998647
TFAP4,TFAP4,0.9998644
FOXG1,FOXG1,0.9998633
KCND2,KCND2,0.9998624
UBQLN4,UBQLN4,0.99986184
APPBP2,APPBP2,0.9998601
MYO1B,MYO1B,0.99985987
HMG20A,HMG20A,0.99985856
LRRTM1,LRRTM1,0.99985784
SF3A1,SF3A1,0.99985737
GJD2,GJD2,0.9998572
STXBP1,STXBP1,0.99985665
OVOL1,OVOL1,0.9998563
SHB,SHB,0.9998551
CDK8,CDK8,0.9998544
GRIN2D,GRIN2D,0.99985206
NFIB,NFIB,0.9998514
PLEKHF2,PLEKHF2,0.99985117
DMTF1,DMTF1,0.99985063
PRRX2,PRRX2,0.9998491
CRK,CRK,0.99984866
GOLPH3,GOLPH3,0.9998486
ADGRB3,ADGRB3,0.99984795
BMPR1A,BMPR1A,0.99984795
CHRM1,CHRM1,0.9998454
BARHL1,BARHL1,0.9998418
TUBA4A,TUBA4A,0.99984115
MMGT1,MMGT1,0.99984074
KCNS2,KCNS2,0.9998395
DCUN1D3,DCUN1D3,0.999838
CORO2B,CORO2B,0.99983764
GSTA4,GSTA4,0.99983704
CHMP2A,CHMP2A,0.99983686
SV2A,SV2A,0.9998358
PBX2,PBX2,0.9998356
LMBRD2,LMBRD2,0.9998345
KCNC1,KCNC1,0.9998312
PTPN11,PTPN11,0.99982685
XPR1,XPR1,0.9998265
ZSWIM8,ZSWIM8,0.9998264
C1QL3,C1QL3,0.9998253
PAQR8,PAQR8,0.9998239
ROCK1,ROCK1,0.9998233
SMARCC2,SMARCC2,0.99982274
SPOP,SPOP,0.9998221
SELENOT,SELENOT,0.99982095
TMEM178B,TMEM178B,0.99982053
PDS5B,PDS5B,0.9998205
IP6K1,IP6K1,0.99981964
LGI2,LGI2,0.99981964
FAM20B,FAM20B,0.9998194
PHIP,PHIP,0.9998189
PIK3R1,PIK3R1,0.9998184
PGD,PGD,0.9998183
SF3B4,SF3B4,0.9998183
YIPF4,YIPF4,0.9998176
TSHZ3,TSHZ3,0.9998175
HS6ST1,HS6ST1,0.9998145
LHFPL5,LHFPL5,0.9998142
GPR22,GPR22,0.9998134
KLHL11,KLHL11,0.9998134
C1QL1,C1QL1,0.99980897
RAB38,RAB38,0.9998089
GTPBP1,GTPBP1,0.99980885
AHDC1,AHDC1,0.99980855
HOXB6,HOXB6,0.9998051
ACTA2,ACTA2,0.9998033
ANKRD34A,ANKRD34A,0.9998032
FBXO46,FBXO46,0.9998031
PITX3,PITX3,0.99980295
CPSF3,CPSF3,0.99980104
CIC,CIC,0.99979824
EPC1,EPC1,0.9997968
NKX6-1,NKX6-1,0.99979657
RYR3,RYR3,0.9997956
CCNK,CCNK,0.99979526
TFIP11,TFIP11,0.99979526
TLN1,TLN1,0.99979305
GATA3,GATA3,0.99979246
SLITRK3,SLITRK3,0.999792
SP5,SP5,0.99979025
UNC80,UNC80,0.9997898
TBX3,TBX3,0.9997886
KCNK1,KCNK1,0.99978775
UBR2,UBR2,0.9997869
MYCBP2,MYCBP2,0.9997867
MAP3K2,MAP3K2,0.9997863
PTCHD1,PTCHD1,0.9997846
MED18,MED18,0.9997844
MAPRE3,MAPRE3,0.9997833
ZFHX4,ZFHX4,0.999783
CDC34,CDC34,0.9997804
KCNJ15,KCNJ15,0.9997804
LRRTM2,LRRTM2,0.9997797
SPTAN1,SPTAN1,0.9997788
HOXC12,HOXC12,0.99977875
KCNK9,KCNK9,0.99977803
ASF1A,ASF1A,0.9997751
ONECUT2,ONECUT2,0.999775
TRHR,TRHR,0.9997742
PAXBP1,PAXBP1,0.9997727
NPTX1,NPTX1,0.99977267
SUZ12,SUZ12,0.99977
FGF7,FGF7,0.999769
INO80D,INO80D,0.9997672
KLHL42,KLHL42,0.99976695
RAB9A,RAB9A,0.9997663
GATA2,GATA2,0.99976605
SLITRK2,SLITRK2,0.99976546
SOX10,SOX10,0.9997653
MEOX2,MEOX2,0.99976456
UBA2,UBA2,0.9997617
NTN1,NTN1,0.9997592
CMAS,CMAS,0.99975765
SPTBN1,SPTBN1,0.99975723
SP8,SP8,0.99975663
NLGN3,NLGN3,0.999755
GDF11,GDF11,0.99975455
TMEM198,TMEM198,0.9997537
ANAPC7,ANAPC7,0.99975115
MB21D2,MB21D2,0.99975115
LHX2,LHX2,0.9997506
CPSF2,CPSF2,0.99974835
ARHGAP35,ARHGAP35,0.999748
CDADC1,CDADC1,0.9997474
H2AC8,H2AC25,0.9997471
CDK12,CDK12,0.9997467
WNT1,WNT1,0.9997467
NAA15,NAA15,0.9997466
SMU1,SMU1,0.9997464
PI15,PI15,0.9997436
SIM1,SIM1,0.9997427
ZNF609,ZNF609,0.99974185
BICRAL,BICRAL,0.99974155
ZCCHC24,ZCCHC24,0.9997402
UNC50,UNC50,0.9997372
RNF182,RNF182,0.99973613
NFYA,NFYA,0.99973595
VIM,VIM,0.99973476
MN1,MN1,0.99973357
HOXC13,HOXC13,0.99973345
GSE1,GSE1,0.999732
GRIK2,GRIK2,0.9997303
PPP2R3C,PPP2R3C,0.9997299
GLS,GLS,0.99972796
ONECUT1,ONECUT1,0.99972785
SLC9A5,SLC9A5,0.9997274
CCDC85B,CCDC85B,0.9997236
SIX1,SIX1,0.9997226
RIMS4,RIMS4,0.9997222
CDC5L,CDC5L,0.9997218
CBFB,CBFB,0.9997212
FUBP1,FUBP1,0.99972093
ITK,ITK,0.9997206
CABP7,CABP7,0.99972045
GRM8,GRM8,0.999719
CDC20,CDC20,0.99971896
KCNQ5,KCNQ5,0.9997185
SLC25A28,SLC25A28,0.99971825
MCC,MCC,0.9997176
PRPF4,PRPF4,0.99971503
TRIM32,TRIM32,0.999714
GPAT4,GPAT4,0.9997133
GNAT1,GNAT1,0.99971235
POU4F2,POU4F2,0.999708
POU4F1,POU4F1,0.99970776
SRPRA,SRPRA,0.9997064
CAP1,CAP1,0.9997055
PSMC2,PSMC2,0.9997043
TOP2A,TOP2A,0.9997015
PSMD14,PSMD14,0.9997002
TGFB3,TGFB3,0.9997001
DSCAM,DSCAM,0.99969983
JAK1,JAK1,0.9996998
KLF9,KLF9,0.9996992
MAGI3,MAGI3,0.99969745
DUSP4,DUSP4,0.99969697
BRINP3,BRINP3,0.9996963
VPS50,VPS50,0.9996948
H1-5,H1-5,0.99969465
RCBTB1,RCBTB1,0.9996938
SHISA9,SHISA9,0.99969167
SNAPIN,SNAPIN,0.9996913
ZBTB2,ZBTB2,0.9996911
CREB1,CREB1,0.99969095
ACVR1,ACVR1,0.9996891
TRAPPC5,TRAPPC5,0.99968904
CCT6A,CCT6A,0.9996881
ZNF148,ZNF148,0.99968696
DLX6,DLX6,0.99968594
EHD3,EHD3,0.9996849
PCNX3,PCNX3,0.9996845
LBX1,LBX1,0.9996843
SHANK1,SHANK1,0.9996818
ZNF362,ZNF362,0.99967766
MYH7,MYH7,0.9996771
PPIP5K2,PPIP5K2,0.99967647
MMD,MMD,0.99967587
RASSF8,RASSF8,0.999675
DYRK2,DYRK2,0.99967355
BRINP2,BRINP2,0.99967337
PCGF1,PCGF1,0.9996732
PPIB,PPIB,0.99967295
MED13,MED13,0.9996702
NXPH1,NXPH1,0.99966913
GAL3ST3,GAL3ST3,0.9996685
DUSP7,DUSP7,0.9996677
KCTD8,KCTD8,0.9996677
WNT4,WNT4,0.99966496
XKR4,XKR4,0.99966437
KCNC2,KCNC2,0.9996633
PPIP5K1,PPIP5K1,0.9996626
THRAP3,THRAP3,0.9996602
HOXB8,HOXB8,0.99966
CDH10,CDH10,0.99965954
CHST12,CHST12,0.99965537
TIMP3,TIMP3,0.9996548
RORB,RORB,0.9996533
IER5L,IER5L,0.99965304
SNX33,SNX33,0.999653
ZBTB37,ZBTB37,0.99965256
FRMPD4,FRMPD4,0.99965113
VAMP4,VAMP4,0.9996511
POU3F4,POU3F4,0.99965006
FILIP1,FILIP1,0.99964964
CENPB,CENPB,0.99964947
TMEM178A,TMEM178A,0.99964935
GALNTL6,GALNTL6,0.9996488
MIOS,MIOS,0.99964833
RYR2,RYR2,0.99964815
JRKL,JRKL,0.99964744
SNW1,SNW1,0.99964714
SUV39H1,SUV39H1,0.9996463
MSANTD4,MSANTD4,0.99964577
THAP12,THAP12,0.99964523
ERG,ERG,0.99964386
PHF20,PHF20,0.99964374
B4GAT1,B4GAT1,0.99964315
CALB1,CALB1,0.99964297
MPLKIP,MPLKIP,0.9996421
OTX1,OTX1,0.99964106
ARL4D,ARL4D,0.99963987
DYNC1H1,DYNC1H1,0.9996387
TNPO1,TNPO1,0.9996378
PHOX2B,PHOX2B,0.9996376
DLX5,DLX5,0.9996364
CYRIB,CYRIB,0.9996359
CHERP,CHERP,0.99963444
MARCHF9,MARCHF9,0.99963367
TRIM71,TRIM71,0.99963295
RALGAPB,RALGAPB,0.9996326
ENTPD7,ENTPD7,0.99963164
EGLN3,EGLN3,0.9996308
BPTF,BPTF,0.99962974
CDR2,CDR2,0.99962884
HS3ST4,HS3ST4,0.99962807
ARHGEF9,ARHGEF9,0.99962777
UGCG,UGCG,0.99962735
KCNA4,KCNA4,0.9996268
TAF5,TAF5,0.99962556
NR6A1,NR6A1,0.9996248
ZBTB33,ZBTB33,0.9996238
MED7,MED7,0.99962217
FOXO1,FOXO1,0.99962145
SPIN4,SPIN4,0.9996204
GABRB2,GABRB2,0.9996189
TAF2,TAF2,0.9996172
KCNJ4,KCNJ4,0.9996163
STRIP2,STRIP2,0.99961597
GRIA2,GRIA2,0.99961305
USP9X,USP9X,0.999611
ZMPSTE24,ZMPSTE24,0.9996087
ZC3H12B,ZC3H12B,0.9996081
TMEM229B,TMEM229B,0.99960804
AP1G1,AP1G1,0.99960756
ARX,ARX,0.99960715
CLIP3,CLIP3,0.9996065
RAB40C,RAB40C,0.9996063
CLIP2,CLIP2,0.9996043
PROKR2,PROKR2,0.9996038
DLG1,DLG1,0.999603
FZD2,FZD2,0.99960124
CAPN7,CAPN7,0.9996007
CDK13,CDK13,0.9996002
KCNK4,KCNK4,0.9995995
SNAPC5,SNAPC5,0.999598
POGK,POGK,0.99959713
SOCS5,SOCS5,0.9995971
THBS1,THBS1,0.9995969
SMG8,SMG8,0.9995964
ZNF24,ZNF24,0.9995963
EMSY,EMSY,0.99959564
GNB3,GNB3,0.99959433
GPR26,GPR26,0.9995914
KCNJ8,KCNJ8,0.9995904
HERC1,HERC1,0.9995899
ARL4C,ARL4C,0.9995895
PAQR4,PAQR4,0.9995894
MCRS1,MCRS1,0.99958885
ESRRB,ESRRB,0.99958575
RFX3,RFX3,0.9995846
FBXW11,FBXW11,0.99958456
ZBTB34,ZBTB34,0.99958384
TCERG1,TCERG1,0.99958277
RNF128,RNF128,0.9995807
CSTF2,CSTF2,0.9995803
JADE1,JADE1,0.99957836
ATP2B2,ATP2B2,0.9995781
MXD1,MXD1,0.99957806
COL5A1,COL5A1,0.9995778
ELFN2,ELFN2,0.99957556
SNU13,SNU13,0.9995754
VIRMA,VIRMA,0.9995737
SUPT20H,SUPT20H,0.9995736
TEAD3,TEAD3,0.9995719
GNAT2,GNAT2,0.99957126
CBFA2T2,CBFA2T2,0.99957114
ERC1,ERC1,0.99957114
DMRTA2,DMRTA2,0.9995684
PCDH19,PCDH19,0.9995682
CANX,CANX,0.9995672
ARMCX3,ARMCX3,0.99956596
SH3BGRL2,SH3BGRL2,0.9995638
EOMES,EOMES,0.99956185
TEAD2,TEAD2,0.99956137
ZNF777,ZNF777,0.9995609
FBXO45,FBXO45,0.99956053
LIX1L,LIX1L,0.99956
KLHL6,KLHL6,0.9995599
LAMC1,LAMC1,0.9995596
NRF1,NRF1,0.99955946
KIAA0232,KIAA0232,0.9995594
SRF,SRF,0.99955785
OLIG2,OLIG2,0.99955666
ARID4A,ARID4A,0.9995565
PSMD1,PSMD1,0.9995557
PAK5,PAK5,0.9995549
NR5A2,NR5A2,0.99955475
ASTN2,ASTN2,0.9995535
NACC1,NACC1,0.9995535
BTBD10,BTBD10,0.99955326
ADAMTS10,ADAMTS10,0.9995529
KCNJ2,KCNJ2,0.9995524
SP7,SP7,0.99955183
GRHL2,GRHL2,0.9995514
TOMM70,TOMM70,0.99955136
OTOF,OTOF,0.99955094
RBBP7,RBBP7,0.99955076
RCOR1,RCOR1,0.9995485
PYGO2,PYGO2,0.9995474
ZNF503,ZNF503,0.99954706
RND2,RND2,0.9995419
HMX2,HMX2,0.99954104
NTNG1,NTNG1,0.999541
GPR4,GPR4,0.9995402
ATP2B1,ATP2B1,0.99953955
TRIM9,TRIM9,0.9995395
ZBTB38,ZBTB38,0.9995388
GNA11,GNA11,0.99953836
PGAP4,PGAP4,0.99953806
SEC23A,SEC23A,0.9995361
ANKRA2,ANKRA2,0.99953306
NEO1,NEO1,0.9995312
PLCG2,PLCG2,0.9995312
MAP3K9,MAP3K9,0.99953103
ATXN2L,ATXN2L,0.9995304
ST6GALNAC4,ST6GALNAC4,0.9995303
ARSI,ARSI,0.9995285
HOXD13,HOXD13,0.9995258
LRFN1,LRFN1,0.99952507
CAMSAP2,CAMSAP2,0.99952424
HCN4,HCN4,0.99952424
IL1RAPL2,IL1RAPL2,0.99952203
HOXC5,HOXC5,0.9995216
HOXB5,HOXB5,0.99952155
AMPD2,AMPD2,0.9995201
IKZF4,IKZF4,0.9995193
CACNA1S,CACNA1S,0.99951917
ZNF536,ZNF536,0.9995181
HOXD3,HOXD3,0.9995171
NCOA2,NCOA2,0.99951696
PRDM12,PRDM12,0.99951684
DNAJC13,DNAJC13,0.999515
SAP130,SAP130,0.9995143
ECPAS,ECPAS,0.9995142
ADD2,ADD2,0.9995135
ZNF398,ZNF398,0.99951345
RC3H1,RC3H1,0.99951315
GRAMD1B,GRAMD1B,0.9995128
ZDHHC22,ZDHHC22,0.9995122
NT5C2,NT5C2,0.9995118
COL8A2,COL8A2,0.9995116
ZNF711,ZNF711,0.9995101
HCN2,HCN2,0.99951005
CSRNP2,CSRNP2,0.9995099
ASH1L,ASH1L,0.99950975
WDR24,WDR24,0.9995095
GLCE,GLCE,0.99950945
FNBP4,FNBP4,0.99950695
NCAM2,NCAM2,0.99950695
CCN1,CCN1,0.9995067
TNPO2,TNPO2,0.99950445
GDAP2,GDAP2,0.9995017
SMC2,SMC2,0.9995011
PPTC7,PPTC7,0.9994997
THOC5,THOC5,0.99949574
MYO9A,MYO9A,0.9994954
TM2D2,TM2D2,0.999495
CREB3L1,CREB3L1,0.9994947
FAT4,FAT4,0.99949455
SYT3,SYT3,0.9994929
ZFHX3,ZFHX3,0.99949217
SAMD4B,SAMD4B,0.9994913
BLTP1,BLTP1,0.9994911
LMO3,LMO3,0.99949056
LSM14A,LSM14A,0.99949014
DDR2,DDR2,0.99948907
GFPT2,GFPT2,0.99948657
LIN52,LIN52,0.9994864
ATP1A1,ATP1A1,0.99948555
PLCH1,PLCH1,0.99948454
MANF,MANF,0.9994844
DOP1A,DOP1A,0.9994839
TRAPPC11,TRAPPC11,0.9994834
DUSP14,DUSP14,0.9994816
FOXA2,FOXA2,0.99948156
KAT6A,KAT6A,0.99948037
MBD6,MBD6,0.9994803
MARK2,MARK2,0.9994782
DHX38,DHX38,0.99947727
ZHX3,ZHX3,0.9994771
RASL10B,RASL10B,0.99947643
ANAPC2,ANAPC2,0.99947417
POU2F1,POU2F1,0.99947417
KPNA6,KPNA6,0.99947375
INTS13,INTS13,0.9994736
CHMP7,CHMP7,0.9994723
MC4R,MC4R,0.99947125
MAPKAPK5,MAPKAPK5,0.99947053
TCF21,TCF21,0.99946845
TRHDE,TRHDE,0.9994677
TBCB,TBCB,0.99946666
AP1B1,AP1B1,0.9994661
KDM2A,KDM2A,0.99946535
CSGALNACT1,CSGALNACT1,0.99946487
GRIN2A,GRIN2A,0.99946445
RNF208,RNF208,0.9994633
ASPHD2,ASPHD2,0.99946254
XPO6,XPO6,0.9994624
BEND4,BEND4,0.9994616
GPR88,GPR88,0.9994612
KLHL28,KLHL28,0.9994607
ESRRG,ESRRG,0.99946016
ARRDC3,ARRDC3,0.99945813
FZD5,FZD5,0.99945676
DTNA,DTNA,0.99945563
VPS39,VPS39,0.9994541
LRRC4B,LRRC4B,0.99945354
ZNF146,ZNF146,0.99945337
CDR2L,CDR2L,0.999453
AZIN1,AZIN1,0.99945295
ABCC9,ABCC9,0.9994527
ARL14EP,ARL14EP,0.9994523
IRF4,IRF4,0.99945176
SLC7A14,SLC7A14,0.99945015
ANO8,ANO8,0.9994489
BAZ2B,BAZ2B,0.99944854
ASB8,ASB8,0.99944836
CLIC2,CLIC2,0.99944824
HELZ,HELZ,0.99944794
DBX1,DBX1,0.99944776
RIOK3,RIOK3,0.9994473
ALAS1,ALAS1,0.9994459
NELFA,NELFA,0.9994448
EMX1,EMX1,0.9994446
STRBP,STRBP,0.99944323
GSX2,GSX2,0.9994424
SPRY2,SPRY2,0.9994418
BCL9L,BCL9L,0.99944156
PLPPR1,PLPPR1,0.9994415
SIX6,SIX6,0.9994412
MYOF,MYOF,0.99944043
GBF1,GBF1,0.9994401
SEC61G,SEC61G,0.99943924
KCNS3,KCNS3,0.99943894
KDM5C,KDM5C,0.9994374
TXNIP,TXNIP,0.999437
RLF,RLF,0.9994367
MTA2,MTA2,0.99943566
MINK1,MINK1,0.9994333
NAIF1,NAIF1,0.99943316
PDE6G,PDE6G,0.999433
LRRN2,LRRN2,0.9994326
AMOTL1,AMOTL1,0.9994323
MAF,MAF,0.99943143
NFIL3,NFIL3,0.99943084
HSPA5,HSPA5,0.9994298
DAG1,DAG1,0.9994288
FOXF1,FOXF1,0.9994273
STXBP6,STXBP6,0.999427
ZBTB7C,ZBTB7C,0.99942595
IPO7,IPO7,0.9994255
LPAR1,LPAR1,0.9994248
DENND4A,DENND4A,0.9994239
TPM2,TPM2,0.9994216
TXLNA,TXLNA,0.9994201
TEF,TEF,0.99941957
EFHD2,EFHD2,0.9994195
UBAP2L,UBAP2L,0.9994187
KCNK2,KCNK2,0.999418
SLITRK5,SLITRK5,0.9994177
TMEM151A,TMEM151A,0.99941653
HSPD1,HSPD1,0.99941623
PNPT1,PNPT1,0.999416
BORCS7,BORCS7,0.999415
PSKH1,PSKH1,0.9994145
P2RY1,P2RY1,0.99941385
E2F3,E2F3,0.99941367
CNOT10,CNOT10,0.99941236
LAP3,LAP3,0.9994106
EYA4,EYA4,0.9994093
TMEM263,TMEM263,0.9994093
CNOT2,CNOT2,0.999409
GTF3C3,GTF3C3,0.999408
GPR137C,GPR137C,0.9994066
ATF1,ATF1,0.9994065
PCDH17,PCDH17,0.9994059
LHFPL6,LHFPL6,0.99940544
GRM6,GRM6,0.99940467
HNRNPM,HNRNPM,0.99940425
HOXA2,HOXA2,0.9994041
EFNB3,EFNB3,0.9994022
DYNC1I2,DYNC1I2,0.99940205
PHAF1,PHAF1,0.99940157
ATP8A1,ATP8A1,0.9994013
CLASP2,CLASP2,0.9993998
RHOU,RHOU,0.9993987
WDFY1,WDFY1,0.99939734
RBM17,RBM17,0.99939525
SNTB1,SNTB1,0.9993922
USP31,USP31,0.99939084
GRIN1,GRIN1,0.9993907
TMEM158,TMEM158,0.9993901
PRR7,PRR7,0.9993898
KCNG1,KCNG1,0.99938875
TAGLN,TAGLN,0.9993885
HOXA1,HOXA1,0.99938685
LMX1B,LMX1B,0.9993857
NFATC4,NFATC4,0.9993857
NCOA5,NCOA5,0.9993856
