rhesus_macaque gene name,human gene name,correlation
ELFN2,ELFN2,0.9997469
SMU1,SMU1,0.9997464
RGS2,RGS2,0.99974483
TMEM178B,TMEM178B,0.9997444
CLDN1,CLDN1,0.99974275
CDC5L,CDC5L,0.9997415
MARVELD1,MARVELD1,0.99973977
P2RY1,P2RY1,0.9997389
RAD21,RAD21,0.9997389
SLC7A14,SLC7A14,0.99973714
RND2,RND2,0.99973565
FZD5,FZD5,0.9997355
SOX9,SOX9,0.9997346
GPR26,GPR26,0.9997321
NEXMIF,NEXMIF,0.99973154
FLRT1,FLRT1,0.99972934
ZBTB6,ZBTB6,0.9997285
ATG14,ATG14,0.9997275
INSRR,INSRR,0.99972725
ACTA1,ACTC1,0.99972665
PLEKHF2,PLEKHF2,0.9997253
BVES,BVES,0.999725
NCKAP1,NCKAP1,0.999725
SPRY3,SPRY3,0.9997228
HIVEP2,HIVEP2,0.9997227
GPR27,GPR27,0.9997226
SLC25A51,SLC25A51,0.9997198
FOXD3,FOXD3,0.9997195
EHD3,EHD3,0.99971765
BSX,BSX,0.9997166
BCL9L,BCL9L,0.99971515
H1-10,H1-10,0.9997146
CLIC1,CLIC1,0.9997141
MRGBP,MRGBP,0.9997122
RRAS,RRAS,0.99971074
H2AZ1,H2AZ1,0.9997103
TNFAIP8L2,TNFAIP8L2,0.9997073
GRPR,GRPR,0.9997064
LRATD1,LRATD1,0.9997064
ZNF367,ZNF367,0.9997055
SLC24A3,SLC24A3,0.9997047
GFI1,GFI1,0.9997046
NFIL3,NFIL3,0.9997031
CXXC4,CXXC4,0.99970293
GLIS2,GLIS2,0.9997029
GATA6,GATA6,0.99970233
B4GALT3,B4GALT3,0.99970126
SOX11,SOX11,0.99969965
KCNA4,KCNA4,0.9996996
FOXA2,FOXA2,0.9996985
ELFN1,ELFN1,0.99969685
SYCP3,SYCP3,0.9996957
MAGI3,MAGI3,0.999694
POU4F2,POU4F2,0.9996931
HOXB4,HOXB4,0.99969274
SERINC1,SERINC1,0.99969244
TBX3,TBX3,0.99969226
NAIF1,NAIF1,0.9996917
PKP1,PKP1,0.99969065
GALR1,GALR1,0.99968916
CAPN6,CAPN6,0.999689
RORB,RORB,0.9996882
KLHL6,KLHL6,0.9996868
THRAP3,THRAP3,0.99968404
SLC25A31,SLC25A31,0.99968046
DCAF12L2,DCAF12L2,0.9996802
TRIM71,TRIM71,0.9996799
KCNC2,KCNC2,0.999678
MAML1,MAML1,0.9996778
ZBTB18,ZBTB18,0.9996773
RFXAP,RFXAP,0.9996762
ZNF703,ZNF703,0.99967617
MAF,MAF,0.99967575
ZNF507,ZNF507,0.9996744
FZD9,FZD9,0.9996736
POU4F1,POU4F1,0.99967355
TLNRD1,TLNRD1,0.99966997
KBTBD7,KBTBD7,0.9996691
PLEKHD1,PLEKHD1,0.9996688
FAM43B,FAM43B,0.9996681
KCNJ4,KCNJ4,0.9996669
H2AC1,H2AC1,0.99966496
GABPA,GABPA,0.9996647
BMP2,BMP2,0.9996642
BAG5,BAG5,0.99965966
PELO,PELO,0.99965966
RPL36AL,RPL36AL,0.9996563
C2H3orf70,C3orf70,0.99965525
KLHL40,KLHL40,0.9996552
FEV,FEV,0.99965394
CDK5R2,CDK5R2,0.99965376
SMCR8,SMCR8,0.9996529
SNRPB2,SNRPB2,0.99965274
RP2,RP2,0.9996527
RC3H1,RC3H1,0.9996523
ASPHD2,ASPHD2,0.9996522
BICRAL,BICRAL,0.99965036
TMEM203,TMEM203,0.99965036
KCNJ2,KCNJ2,0.99964976
HS3ST3B1,HS3ST3B1,0.9996487
CDR2L,CDR2L,0.9996486
EVX2,EVX2,0.99964696
TCEAL1,TCEAL1,0.999643
CHRM4,CHRM4,0.99964213
CERS6,CERS6,0.9996419
H1-5,H1-5,0.9996409
HOXC13,HOXC13,0.99963963
GDAP2,GDAP2,0.99963766
HAPLN4,HAPLN4,0.9996368
MSX1,MSX1,0.9996345
HOXC5,HOXC5,0.99963427
MYH4,MYH4,0.9996334
DUSP1,DUSP1,0.9996331
SOX18,SOX18,0.99963295
BTG2,BTG2,0.9996323
RNF115,RNF115,0.99963146
UST,UST,0.99963075
FAM171B,FAM171B,0.9996307
ATP2B3,ATP2B3,0.99963045
ADAMTS15,ADAMTS15,0.999626
ITPR3,ITPR3,0.9996245
KCNK13,KCNK13,0.9996241
HOXB13,HOXB13,0.99962384
SFN,SFN,0.9996238
CCIN,CCIN,0.9996196
TPH2,TPH2,0.99961936
EHD4,EHD4,0.9996178
HIC2,HIC2,0.99961734
HKDC1,HKDC1,0.9996171
IER5L,IER5L,0.99961627
HTR1B,HTR1B,0.99961364
MAS1,MAS1,0.9996125
KLHL25,KLHL25,0.99960935
GJB5,GJB5,0.9996092
KCNB2,KCNB2,0.9996088
TMEM229B,TMEM229B,0.99960804
OVOL2,OVOL2,0.9996071
DISP2,DISP2,0.9996068
KCNK3,KCNK3,0.99960655
KCNJ14,KCNJ14,0.99960554
KRT31,KRT31,0.99960417
DENND2D,DENND2D,0.9996015
CSPG4,CSPG4,0.99959797
LRRN2,LRRN2,0.99959785
SYPL2,SYPL2,0.99959713
FBXL7,FBXL7,0.9995961
CORO2B,CORO2B,0.9995959
GAL3ST3,GAL3ST3,0.9995957
E2F1,E2F1,0.999595
GPR3,GPR3,0.999595
FIBIN,FIBIN,0.99959457
CHST2,CHST2,0.9995941
NUDT10,NUDT10,0.99959314
FAM222A,FAM222A,0.9995925
ASB17,ASB17,0.9995923
OSR1,OSR1,0.9995922
GRIA1,GRIA1,0.99959093
GCC1,GCC1,0.9995908
NPY2R,NPY2R,0.99959016
XAB2,XAB2,0.9995889
SP9,SP9,0.99958754
ZC3H12C,ZC3H12C,0.9995865
TMEM115,TMEM115,0.9995804
KDR,KDR,0.99957824
RBP3,RBP3,0.9995781
TESK1,TESK1,0.9995742
CCDC177,CCDC177,0.9995716
IHH,IHH,0.99957055
FHL3,FHL3,0.9995699
LMX1B,LMX1B,0.99956685
SKI,SKI,0.9995621
CALHM2,CALHM2,0.99956197
SFRP2,SFRP2,0.9995619
PDE6C,PDE6C,0.99956167
TSPYL5,TSPYL5,0.99956113
GRIN3A,GRIN3A,0.9995605
CCT6A,CCT6A,0.9995597
IRS2,IRS2,0.9995587
FITM2,FITM2,0.99955857
ZNF184,ZNF184,0.9995564
NDST3,NDST3,0.99955595
LRFN3,LRFN3,0.9995552
LRRC10B,LRRC10B,0.9995542
CALML3,CALML3,0.99955106
ITGA11,ITGA11,0.99955004
SLC5A7,SLC5A7,0.9995465
USP9X,USP9X,0.99954605
ATN1,ATN1,0.9995442
RNF26,RNF26,0.999544
EEF1A1,EEF1A1,0.9995419
GRM6,GRM6,0.9995417
PPP1R10,PPP1R10,0.9995416
CHST3,CHST3,0.9995411
TMEM200A,TMEM200A,0.99953544
RASL10B,RASL10B,0.99953485
MAN2A1,MAN2A1,0.99953324
FOXI3,FOXI3,0.9995323
KCNA6,KCNA6,0.999532
PLA2G4A,PLA2G4A,0.9995311
BORCS7,BORCS7,0.99953055
CEBPE,CEBPE,0.9995279
ASCL1,ASCL1,0.9995267
TLR7,TLR7,0.9995261
TDRD7,TDRD7,0.9995239
DTL,DTL,0.9995218
CCNA2,CCNA2,0.9995213
P2RY12,P2RY12,0.9995206
RNF208,RNF208,0.99951965
MAFK,MAFK,0.99951637
H2BC9,H2BC9,0.9995157
LMO1,LMO1,0.99951553
OCM,OCM2,0.99951285
RNF145,RNF145,0.9995127
ZNF32,ZNF32,0.99951154
PRPH2,PRPH2,0.99951
RASSF2,RASSF2,0.9995066
AGTR2,AGTR2,0.99950653
SASS6,SASS6,0.99950653
NUS1,NUS1,0.99950325
TCERG1,TCERG1,0.9995009
PPTC7,PPTC7,0.9994997
ID4,ID4,0.99949956
TPPP3,TPPP3,0.99949735
NTSR1,NTSR1,0.99949586
SPTBN2,SPTBN2,0.9994952
GPR63,GPR63,0.99949336
CDH20,CDH20,0.99949265
ZBTB8B,ZBTB8B,0.999492
DEXI,DEXI,0.99949163
HCCS,HCCS,0.9994913
ADAMTSL3,ADAMTSL3,0.9994904
ENDOD1,ENDOD1,0.9994902
MYH7,MYH7,0.9994901
PRSS56,PRSS56,0.99949
MED10,MED10,0.99948955
CENPB,CENPB,0.99948937
RUSC2,RUSC2,0.99948883
NIM1K,NIM1K,0.9994886
PGAM2,PGAM2,0.99948853
ISM1,ISM1,0.99948794
ERAS,ERAS,0.99948746
FRMPD4,FRMPD4,0.99948674
DEDD,DEDD,0.9994844
DUSP14,DUSP14,0.9994816
ZCCHC3,ZCCHC3,0.9994808
NCOA1,NCOA1,0.9994774
ADAMTS8,ADAMTS8,0.99947596
ZNF768,ZNF768,0.99947554
NOC3L,NOC3L,0.9994744
LBX1,LBX1,0.99947405
INTS6L,INTS6L,0.9994737
EEIG2,FAM102B,0.9994724
ZBED4,ZBED4,0.9994721
PCNX3,PCNX3,0.9994714
HECA,HECA,0.9994696
HCRTR2,HCRTR2,0.99946856
CDH22,CDH22,0.99946845
SERBP1,SERBP1,0.9994669
NTN3,NTN3,0.99946666
PHKA1,PHKA1,0.9994662
PERP,PERP,0.9994647
GPR174,GPR174,0.9994628
GPR82,GPR82,0.9994628
OTULINL,OTULINL,0.99946254
OPN5,OPN5,0.99945986
FAM200C,ZBED8,0.9994583
SPATA2,SPATA2,0.9994577
PSMB4,PSMB4,0.9994576
JPH3,JPH3,0.99945545
TTC9B,TTC9B,0.99945456
NPM3,NPM3,0.9994543
ST3GAL2,ST3GAL2,0.99945307
C1QL1,C1QL1,0.99945134
CHST7,CHST7,0.99945056
DERPC,DERPC,0.99945015
MPV17L2,MPV17L2,0.9994491
THNSL1,THNSL1,0.99944633
FOXD1,FOXD1,0.9994419
SP5,SP5,0.9994419
BRIX1,BRIX1,0.9994403
JUN,JUN,0.99943936
SEC61G,SEC61G,0.99943924
MYOZ1,MYOZ1,0.9994363
UTP11,UTP11,0.99943554
PNMA3,PNMA3,0.99943537
IGDCC4,IGDCC4,0.99943495
XPR1,XPR1,0.9994339
CCR4,CCR4,0.9994321
ABI1,ABI1,0.999429
AGPAT1,AGPAT1,0.99942845
LINGO3,LINGO3,0.9994275
ACBD3,ACBD3,0.9994261
OSTF1,OSTF1,0.9994257
SLC18A2,SLC18A2,0.9994251
CELSR3,CELSR3,0.99942505
AMIGO2,AMIGO2,0.9994204
CPLX3,CPLX3,0.9994202
GDF6,GDF6,0.99941915
VSX2,VSX2,0.99941885
MYADML2,MYADML2,0.99941486
RGS9BP,RGS9BP,0.99941397
SIX6,SIX6,0.9994139
ARRDC3,ARRDC3,0.9994114
AMER1,AMER1,0.99941105
HTR1E,HTR1E,0.99941075
GBX1,GBX1,0.99940693
AP5B1,AP5B1,0.9994068
CLDN4,CLDN4,0.9994065
HIVEP3,HIVEP3,0.9994061
RGL1,RGL1,0.9994029
C17H13orf42,C13orf42,0.99940157
LEMD3,LEMD3,0.9994014
TRIM44,TRIM44,0.9994014
OSER1,OSER1,0.999401
LDB1,LDB1,0.9993978
GIGYF1,GIGYF1,0.99939525
GPR155,GPR155,0.99939525
GPR87,GPR87,0.99939483
UTP20,UTP20,0.9993946
JMY,JMY,0.9993933
OLIG3,OLIG3,0.9993931
PIGC,PIGC,0.9993893
PCDH20,PCDH20,0.9993892
FREM2,FREM2,0.99938893
SSC4D,SSC4D,0.99938774
NEUROD4,NEUROD4,0.9993874
TARBP1,TARBP1,0.9993864
MMP24,MMP24,0.999383
COLEC12,COLEC12,0.9993824
UBLCP1,UBLCP1,0.9993805
SNAP25,SNAP25,0.99937946
NANP,NANP,0.9993769
PCSK2,PCSK2,0.9993745
TRIAP1,TRIAP1,0.9993745
LNX2,LNX2,0.999372
KCNA10,KCNA10,0.99936604
TMEM60,TMEM60,0.99936223
VGF,VGF,0.99936116
FOXL2,FOXL2,0.99935913
NUP133,NUP133,0.9993589
SOX3,SOX3,0.9993584
SLC7A3,SLC7A3,0.99935824
BHLHE22,BHLHE22,0.999358
HS3ST4,HS3ST4,0.9993571
MYPOP,MYPOP,0.9993563
MCHR2,MCHR2,0.9993515
IARS2,IARS2,0.9993497
FJX1,FJX1,0.9993487
SLC30A1,SLC30A1,0.99934703
ZMIZ1,ZMIZ1,0.99934685
PAPPA,PAPPA,0.99934673
GRXCR1,GRXCR1,0.9993452
NACC2,NACC2,0.9993448
NEUROG2,NEUROG2,0.99934435
ARMCX1,ARMCX1,0.99934417
ZRANB2,ZRANB2,0.9993436
RNF144B,RNF144B,0.99934345
TMEM151A,TMEM151A,0.9993426
ADRB1,ADRB1,0.99934065
ZFP36L2,ZFP36L2,0.9993371
GNA14,GNA14,0.9993364
SCAF4,SCAF4,0.9993359
PSMG3,PSMG3,0.9993351
MZT1,MZT1,0.9993319
SH3RF3,SH3RF3,0.99933183
HES5,HES5,0.9993308
UBE2L5,UBE2L5,0.9993302
ZBTB4,ZBTB4,0.9993286
KL,KL,0.99932843
PDK3,PDK3,0.9993263
LSM11,LSM11,0.99932414
SBSPON,SBSPON,0.9993218
GCNT1,GCNT1,0.99932134
GUCY2D,GUCY2D,0.99931973
RPRML,RPRML,0.9993191
PPM1E,PPM1E,0.99931777
RAB33A,RAB33A,0.99931675
NRAP,NRAP,0.9993166
SESN2,SESN2,0.9993139
GPR34,GPR34,0.9993124
CAPZA3,CAPZA3,0.99931234
PLCH1,PLCH1,0.9993115
TMEM86A,TMEM86A,0.99930954
NTF3,NTF3,0.9993089
ABTB2,ABTB2,0.99930876
KERA,KERA,0.99930835
ALX4,ALX4,0.9993044
CHRNA9,CHRNA9,0.9993033
KRT1,KRT1,0.9993031
