crab_eating_macaque gene name,rhesus_macaque gene name,correlation
RTP4,RTP4,1.0000013
SMIM27,SMIM27,1.0000013
SPTSSA,SPTSSA,1.0000013
UBE2L5,UBE2L5,1.0000013
ALOX15,ALOX15,1.0000012
C16orf90,C20H16orf90,1.0000012
C2orf74,C13H2orf74,1.0000012
CSTF1,CSTF1,1.0000012
CUL3,CUL3,1.0000012
DNAJC1,DNAJC1,1.0000012
EIF3G,EIF3G,1.0000012
FGF5,FGF5,1.0000012
HOXC8,HOXC8,1.0000012
MRPS11,MRPS11,1.0000012
OTX1,OTX1,1.0000012
OXT,OXT,1.0000012
PDE12,PDE12,1.0000012
REG1B,REG1B,1.0000012
RRS1,RRS1,1.0000012
SPEGNB,SPEGNB,1.0000012
TFF1,TFF1,1.0000012
TXLNA,TXLNA,1.0000012
WNT1,WNT1,1.0000012
ZBTB5,ZBTB5,1.0000012
BGN,BGN,1.0000011
C3orf85,C2H3orf85,1.0000011
CAMSAP2,CAMSAP2,1.0000011
CD63,CD63,1.0000011
CRYM,CRYM,1.0000011
DRGX,DRGX,1.0000011
EGLN3,EGLN3,1.0000011
FAM187B,FAM187B,1.0000011
FAM237A,FAM237A,1.0000011
GJB1,GJB1,1.0000011
GK2,GK2,1.0000011
HEBP1,HEBP1,1.0000011
HSPA5,HSPA5,1.0000011
KLF12,KLF12,1.0000011
MRPL24,MRPL24,1.0000011
MYOZ1,MYOZ1,1.0000011
OR10A7,OR10A7,1.0000011
OSTF1,OSTF1,1.0000011
P2RY6,P2RY6,1.0000011
PAQR7,PAQR7,1.0000011
PCNA,PCNA,1.0000011
PIK3CA,PIK3CA,1.0000011
PRM2,PRM2,1.0000011
PTGFR,PTGFR,1.0000011
RAB9A,RAB9A,1.0000011
RAI2,RAI2,1.0000011
RPS12,RPS12,1.0000011
SGMS2,SGMS2,1.0000011
TCF21,TCF21,1.0000011
TMED9,TMED9,1.0000011
TMEM210,TMEM210,1.0000011
TRAV30,TRAV30,1.0000011
WFDC13,WFDC13,1.0000011
WNT2,WNT2,1.0000011
ZDHHC21,ZDHHC21,1.0000011
ACTC1,ACTC1,1.000001
ARMCX6,ARMCX6,1.000001
BEND3,BEND3,1.000001
C1orf210,C1H1orf210,1.000001
CKS1B,CKS1B,1.000001
CNFN,CNFN,1.000001
CNIH2,CNIH2,1.000001
DEFB136,DEFB136,1.000001
DHRS3,DHRS3,1.000001
EPC1,EPC1,1.000001
EXT1,EXT1,1.000001
FAM24A,FAM24A,1.000001
FH,FH,1.000001
FN1,FN1,1.000001
GJA1,GJA1,1.000001
GJD2,GJD2,1.000001
GPR17,GPR17,1.000001
GZMK,GZMK,1.000001
HPCA,HPCA,1.000001
IGLV10-54,IGLV10-54,1.000001
INSL5,INSL5,1.000001
KCTD21,KCTD21,1.000001
LRRN2,LRRN2,1.000001
LSM10,LSM10,1.000001
MSANTD4,MSANTD4,1.000001
NGB,NGB,1.000001
NPY5R,NPY5R,1.000001
NUDT11,NUDT11,1.000001
OMD,OMD,1.000001
PHIP,PHIP,1.000001
POGK,POGK,1.000001
QRFPR,QRFPR,1.000001
RAD23B,RAD23B,1.000001
RPL35A,RPL35A,1.000001
SAG,SAG,1.000001
SCGN,SCGN,1.000001
SCIN,SCIN,1.000001
SMIM31,SMIM31,1.000001
TBX20,TBX20,1.000001
TENT5D,TENT5D,1.000001
THAP9,THAP9,1.000001
WASL,WASL,1.000001
WNT3A,WNT3A,1.000001
ZCRB1,ZCRB1,1.000001
ZRANB1,ZRANB1,1.000001
ACTR5,ACTR5,1.0000008
BMP10,BMP10,1.0000008
CA7,CA7,1.0000008
CCK,CCK,1.0000008
CD93,CD93,1.0000008
CDC42EP3,CDC42EP3,1.0000008
CHMP2A,CHMP2A,1.0000008
DCUN1D3,DCUN1D3,1.0000008
DEFB115,DEFB115,1.0000008
DENND2D,DENND2D,1.0000008
FAM20B,FAM20B,1.0000008
FAM217B,FAM217B,1.0000008
FAM78B,FAM78B,1.0000008
FEM1C,FEM1C,1.0000008
FNDC8,FNDC8,1.0000008
GPR87,GPR87,1.0000008
GRID1,GRID1,1.0000008
HSD11B1,HSD11B1,1.0000008
IL1RAPL1,IL1RAPL1,1.0000008
MGP,MGP,1.0000008
MT4,MT4,1.0000008
MYF6,MYF6,1.0000008
NIPA2,NIPA2,1.0000008
OR4D1,OR4D1,1.0000008
OR52A5,OR52A5,1.0000008
PLS1,PLS1,1.0000008
PPP2R3C,PPP2R3C,1.0000008
RCBTB1,RCBTB1,1.0000008
RDH8,RDH8,1.0000008
RTP1,RTP1,1.0000008
RTP3,RTP3,1.0000008
S100A12,S100A12,1.0000008
SEC62,SEC62,1.0000008
SLC25A51,SLC25A51,1.0000008
SLC38A3,SLC38A3,1.0000008
SMIM23,SMIM23,1.0000008
TCTE1,TCTE1,1.0000008
TEFM,TEFM,1.0000008
TEX53,TEX53,1.0000008
TIAL1,TIAL1,1.0000008
TMEM167A,TMEM167A,1.0000008
TOP1,TOP1,1.0000008
TRMT2A,TRMT2A,1.0000008
UBTD1,UBTD1,1.0000008
ZNF639,ZNF639,1.0000008
C17orf67,C16H17orf67,1.0000007
C1orf21,C1H1orf21,1.0000007
CAAP1,CAAP1,1.0000007
CAPZA3,CAPZA3,1.0000007
CLMP,CLMP,1.0000007
COLEC10,COLEC10,1.0000007
DEFB125,DEFB125,1.0000007
DLK2,DLK2,1.0000007
ETFRF1,ETFRF1,1.0000007
FAM229B,FAM229B,1.0000007
GNGT1,GNGT1,1.0000007
IFT70A,IFT70A,1.0000007
IGLV11-55,IGLV11-55,1.0000007
KCNK13,KCNK13,1.0000007
KLRG1,KLRG1,1.0000007
MAB21L1,MAB21L1,1.0000007
MATN1,MATN1,1.0000007
MRPL14,MRPL14,1.0000007
NANP,NANP,1.0000007
NAPRT,NAPRT,1.0000007
PDP2,PDP2,1.0000007
PTGES,PTGES,1.0000007
RNASET2,RNASET2,1.0000007
SEC22B,SEC22B,1.0000007
SFRP2,SFRP2,1.0000007
SPINK1,SPINK1,1.0000007
STX19,STX19,1.0000007
SYCP2L,SYCP2L,1.0000007
TAS2R40,TAS2R40,1.0000007
TASL,TASL,1.0000007
THNSL1,THNSL1,1.0000007
TMEM208,TMEM208,1.0000007
TMEM51,TMEM51,1.0000007
TMUB1,TMUB1,1.0000007
TRAV9-2,TRAV9-2,1.0000007
TRGV9,TRGV9,1.0000007
ARPC5L,ARPC5L,1.0000006
ASCL3,ASCL3,1.0000006
BTN1A1,BTN1A1,1.0000006
CA5B,CA5B,1.0000006
CAND1,CAND1,1.0000006
CCL17,CCL17,1.0000006
CCL18,CCL18,1.0000006
CD38,CD38,1.0000006
CDKN2D,CDKN2D,1.0000006
CHMP4B,CHMP4B,1.0000006
COL10A1,COL10A1,1.0000006
CRHBP,CRHBP,1.0000006
CWC15,CWC15,1.0000006
DEFB135,DEFB135,1.0000006
DEPP1,DEPP1,1.0000006
DNAJB9,DNAJB9,1.0000006
DNASE1L2,DNASE1L2,1.0000006
EDDM3B,EDDM3B,1.0000006
EDN2,EDN2,1.0000006
FAM9B,FAM9B,1.0000006
GARIN6,GARIN6,1.0000006
GNB3,GNB3,1.0000006
GNG13,GNG13,1.0000006
GPR141,GPR141,1.0000006
GPR85,GPR85,1.0000006
H2AJ,H2AJ,1.0000006
HDAC1,HDAC1,1.0000006
HDHD3,HDHD3,1.0000006
HTR1B,HTR1B,1.0000006
LCE5A,LCE5A,1.0000006
LRRTM2,LRRTM2,1.0000006
LRRTM3,LRRTM3,1.0000006
LSM14B,LSM14B,1.0000006
MCM6,MCM6,1.0000006
MEIOC,MEIOC,1.0000006
MFAP2,MFAP2,1.0000006
MOB3B,MOB3B,1.0000006
MPLKIP,MPLKIP,1.0000006
MYCT1,MYCT1,1.0000006
MYOCOS,MYOCOS,1.0000006
NPM3,NPM3,1.0000006
NUP62,NUP62,1.0000006
P2RY12,P2RY12,1.0000006
PGD,PGD,1.0000006
PHOSPHO1,PHOSPHO1,1.0000006
PJVK,PJVK,1.0000006
PLEK2,PLEK2,1.0000006
PPARA,PPARA,1.0000006
PTX3,PTX3,1.0000006
REP15,REP15,1.0000006
RFC3,RFC3,1.0000006
RNF152,RNF152,1.0000006
SDR9C7,SDR9C7,1.0000006
SH2D1B,SH2D1B,1.0000006
SLC26A4,SLC26A4,1.0000006
SSX2IP,SSX2IP,1.0000006
SYT12,SYT12,1.0000006
TEX19,TEX19,1.0000006
TKTL1,TKTL1,1.0000006
TMPRSS12,TMPRSS12,1.0000006
TSACC,TSACC,1.0000006
TTC9C,TTC9C,1.0000006
ZNF581,ZNF581,1.0000006
ACE2,ACE2,1.0000005
AMTN,AMTN,1.0000005
AURKB,AURKB,1.0000005
AVPI1,AVPI1,1.0000005
BICD1,BICD1,1.0000005
C11orf71,C14H11orf71,1.0000005
C4orf36,C5H4orf36,1.0000005
CBR4,CBR4,1.0000005
CCNC,CCNC,1.0000005
CDC26,CDC26,1.0000005
CEACAM16,CEACAM16,1.0000005
CLDN10,CLDN10,1.0000005
CTDSP2,CTDSP2,1.0000005
ENPP5,ENPP5,1.0000005
FAM168B,FAM168B,1.0000005
FAM187A,FAM187A,1.0000005
FIBIN,FIBIN,1.0000005
FICD,FICD,1.0000005
GABRA3,GABRA3,1.0000005
GGPS1,GGPS1,1.0000005
GTF2H5,GTF2H5,1.0000005
GUCA2B,GUCA2B,1.0000005
HIGD1C,HIGD1C,1.0000005
HIVEP2,HIVEP2,1.0000005
HYAL1,HYAL1,1.0000005
HYPK,HYPK,1.0000005
IL21,IL21,1.0000005
IL9,IL9,1.0000005
IMP3,IMP3,1.0000005
KCNMB2,KCNMB2,1.0000005
KRT28,KRT28,1.0000005
LSMEM2,LSMEM2,1.0000005
MAGEH1,MAGEH1,1.0000005
MEI4,MEI4,1.0000005
METTL18,METTL18,1.0000005
NUDT21,NUDT21,1.0000005
OTOL1,OTOL1,1.0000005
PNMA8C,PNMA8C,1.0000005
PPIB,PPIB,1.0000005
PTCHD3,PTCHD3,1.0000005
RBM18,RBM18,1.0000005
RGS19,RGS19,1.0000005
SLC37A2,SLC37A2,1.0000005
SMIM35,SMIM35,1.0000005
SPIN4,SPIN4,1.0000005
TCL1A,TCL1A,1.0000005
TGFB3,TGFB3,1.0000005
TMED1,TMED1,1.0000005
TMEM258,TMEM258,1.0000005
TMEM35A,TMEM35A,1.0000005
WNT4,WNT4,1.0000005
ZNF496,ZNF496,1.0000005
ACTL7B,ACTL7B,1.0000004
ALDH1A3,ALDH1A3,1.0000004
ALDH6A1,ALDH6A1,1.0000004
ARL6IP6,ARL6IP6,1.0000004
ARL8A,ARL8A,1.0000004
ASXL3,ASXL3,1.0000004
B3GALT1,B3GALT1,1.0000004
CALML3,CALML3,1.0000004
COASY,COASY,1.0000004
COTL1,COTL1,1.0000004
CPNE9,CPNE9,1.0000004
CRY1,CRY1,1.0000004
CRYBB2,CRYBB2,1.0000004
CRYGS,CRYGS,1.0000004
FAM240B,FAM240B,1.0000004
FDX2,FDX2,1.0000004
FEM1B,FEM1B,1.0000004
GATC,GATC,1.0000004
GTF3C3,GTF3C3,1.0000004
H2AC6,H2AC6,1.0000004
IL10,IL10,1.0000004
IL2,IL2,1.0000004
ING3,ING3,1.0000004
IQCF1,IQCF1,1.0000004
KLHDC2,KLHDC2,1.0000004
KLRB1,KLRB1,1.0000004
LRRC25,LRRC25,1.0000004
MOAP1,MOAP1,1.0000004
MSMO1,MSMO1,1.0000004
MYF5,MYF5,1.0000004
NCBP2L,NCBP2L,1.0000004
RAB3B,RAB3B,1.0000004
RAD54L,RAD54L,1.0000004
RD3,RD3,1.0000004
RFC2,RFC2,1.0000004
RHOG,RHOG,1.0000004
RNF144B,RNF144B,1.0000004
ROPN1B,ROPN1B,1.0000004
RPL27,RPL27,1.0000004
RTRAF,RTRAF,1.0000004
S1PR3,S1PR3,1.0000004
SDR42E1,SDR42E1,1.0000004
SERPINI1,SERPINI1,1.0000004
SIM1,SIM1,1.0000004
SLC7A1,SLC7A1,1.0000004
SMAGP,SMAGP,1.0000004
SUCLG1,SUCLG1,1.0000004
TCF24,TCF24,1.0000004
TDO2,TDO2,1.0000004
TFAP4,TFAP4,1.0000004
TPPP2,TPPP2,1.0000004
TRHR,TRHR,1.0000004
VPREB3,VPREB3,1.0000004
WFDC10A,WFDC10A,1.0000004
ZFP14,ZFP14,1.0000004
ZNF526,ZNF526,1.0000004
AADACL2,AADACL2,1.0000002
APELA,APELA,1.0000002
ARIH1,ARIH1,1.0000002
B4GALT3,B4GALT3,1.0000002
BTG1,BTG1,1.0000002
C6orf120,C4H6orf120,1.0000002
C8orf76,C8H8orf76,1.0000002
CDH10,CDH10,1.0000002
CDH7,CDH7,1.0000002
CDR2,CDR2,1.0000002
CERS6,CERS6,1.0000002
COPB2,COPB2,1.0000002
CRK,CRK,1.0000002
DKK1,DKK1,1.0000002
DNAH1,DNAH1,1.0000002
ECRG4,ECRG4,1.0000002
EHD4,EHD4,1.0000002
ENC1,ENC1,1.0000002
FAM174C,FAM174C,1.0000002
FAM180B,FAM180B,1.0000002
FEN1,FEN1,1.0000002
FGF4,FGF4,1.0000002
GPALPP1,GPALPP1,1.0000002
GPC6,GPC6,1.0000002
GPR183,GPR183,1.0000002
GSKIP,GSKIP,1.0000002
H2BC11,H2BC11,1.0000002
HEY2,HEY2,1.0000002
KCNA1,KCNA1,1.0000002
KDM4D,KDM4D,1.0000002
KRT20,KRT20,1.0000002
LHFPL6,LHFPL6,1.0000002
LRATD1,LRATD1,1.0000002
LRATD2,LRATD2,1.0000002
MANEA,MANEA,1.0000002
MYOZ2,MYOZ2,1.0000002
NINJ1,NINJ1,1.0000002
NODAL,NODAL,1.0000002
NRBF2,NRBF2,1.0000002
NXPH1,NXPH1,1.0000002
OMG,OMG,1.0000002
OSR2,OSR2,1.0000002
P2RY14,P2RY14,1.0000002
PFN1,PFN1,1.0000002
PLAC8L1,PLAC8L1,1.0000002
POU4F2,POU4F2,1.0000002
PRCP,PRCP,1.0000002
PRNP,PRNP,1.0000002
RBMXL1,RBMXL1,1.0000002
RNF181,RNF181,1.0000002
ROM1,ROM1,1.0000002
RP2,RP2,1.0000002
RTF1,RTF1,1.0000002
S100A4,S100A4,1.0000002
SLC22A6,SLC22A6,1.0000002
SMIM15,SMIM15,1.0000002
SMKR1,SMKR1,1.0000002
SNAI1,SNAI1,1.0000002
SPRR3,SPRR3,1.0000002
SST,SST,1.0000002
TAF7,TAF7,1.0000002
TBX6,TBX6,1.0000002
TCEAL9,TCEAL9,1.0000002
TPPP3,TPPP3,1.0000002
TUFT1,TUFT1,1.0000002
UPK1B,UPK1B,1.0000002
USP27X,USP27X,1.0000002
ZCCHC13,ZCCHC13,1.0000002
ZNF366,ZNF366,1.0000002
ZNF460,ZNF460,1.0000002
ZNF623,ZNF623,1.0000002
ALCAM,ALCAM,1.0000001
ANKRD34C,ANKRD34C,1.0000001
ANKRD40CL,ANKRD40CL,1.0000001
ATAD1,ATAD1,1.0000001
B4GALNT2,B4GALNT2,1.0000001
BCS1L,BCS1L,1.0000001
C22orf31,C10H22orf31,1.0000001
C4orf51,C5H4orf51,1.0000001
CATIP,CATIP,1.0000001
CCDC124,CCDC124,1.0000001
CEACAM19,CEACAM19,1.0000001
CERS3,CERS3,1.0000001
CHRM4,CHRM4,1.0000001
CHST11,CHST11,1.0000001
CLVS1,CLVS1,1.0000001
COQ10A,COQ10A,1.0000001
CSTA,CSTA,1.0000001
DRD1,DRD1,1.0000001
DUSP26,DUSP26,1.0000001
EIF4H,EIF4H,1.0000001
ELOB,ELOB,1.0000001
FAAP24,FAAP24,1.0000001
FABP12,FABP12,1.0000001
FABP9,FABP9,1.0000001
FANCF,FANCF,1.0000001
FMOD,FMOD,1.0000001
GRPEL1,GRPEL1,1.0000001
H2AC21,H2AC21,1.0000001
H2BC17,H2BC17,1.0000001
H2BK1,H2BK1,1.0000001
HAND1,HAND1,1.0000001
IL19,IL19,1.0000001
KLHL42,KLHL42,1.0000001
KRT32,KRT32,1.0000001
LHX2,LHX2,1.0000001
LIMD2,LIMD2,1.0000001
LITAFD,LITAFD,1.0000001
MAB21L2,MAB21L2,1.0000001
MAD2L1BP,MAD2L1BP,1.0000001
MAGEA10,MAGEA10,1.0000001
MANF,MANF,1.0000001
MAP3K7CL,MAP3K7CL,1.0000001
NEUROG1,NEUROG1,1.0000001
NOP58,NOP58,1.0000001
NT5C1A,NT5C1A,1.0000001
NXT1,NXT1,1.0000001
OR1J4,OR1J4,1.0000001
OR4E2,OR4E2,1.0000001
PEAK1,PEAK1,1.0000001
PHLDA2,PHLDA2,1.0000001
POU2AF2,POU2AF2,1.0000001
PRPH,PRPH,1.0000001
PSMC2,PSMC2,1.0000001
PTAFR,PTAFR,1.0000001
RND3,RND3,1.0000001
RPLP2,RPLP2,1.0000001
S100A16,S100A16,1.0000001
SELENOM,SELENOM,1.0000001
SERPINE1,SERPINE1,1.0000001
SERTAD3,SERTAD3,1.0000001
SLC25A2,SLC25A2,1.0000001
SLC25A52,SLC25A52,1.0000001
SLC30A4,SLC30A4,1.0000001
SNAPIN,SNAPIN,1.0000001
SPEF1,SPEF1,1.0000001
SPSB1,SPSB1,1.0000001
ST3GAL2,ST3GAL2,1.0000001
TBC1D9,TBC1D9,1.0000001
TEX12,TEX12,1.0000001
TIMM8B,TIMM8B,1.0000001
TIMP3,TIMP3,1.0000001
TMEM115,TMEM115,1.0000001
TNFRSF6B,TNFRSF6B,1.0000001
TRBV5-1,TRBV5-1,1.0000001
TSKU,TSKU,1.0000001
ZCCHC12,ZCCHC12,1.0000001
ZNF134,ZNF134,1.0000001
ZNF768,ZNF768,1.0000001
ZSWIM1,ZSWIM1,1.0000001
AGXT,AGXT,1.0
ALOX12B,ALOX12B,1.0
ASB17,ASB17,1.0
ATP5F1E,ATP5F1E,1.0
C15orf62,C7H15orf62,1.0
CBX5,CBX5,1.0
CCR9,CCR9,1.0
CLDN1,CLDN1,1.0
CLDN18,CLDN18,1.0
CXCL17,CXCL17,1.0
FAM174A,FAM174A,1.0
FITM1,FITM1,1.0
GNAT1,GNAT1,1.0
GNAT2,GNAT2,1.0
HPD,HPD,1.0
LDHAL6A,LDHAL6A,1.0
LIN7A,LIN7A,1.0
LLPH,LLPH,1.0
LYPD5,LYPD5,1.0
MAT2A,MAT2A,1.0
MMAA,MMAA,1.0
MRPL53,MRPL53,1.0
NDUFS4,NDUFS4,1.0
NTAQ1,NTAQ1,1.0
PTTG1,PTTG1,1.0
RNF7,RNF7,1.0
RRAGA,RRAGA,1.0
RSU1,RSU1,1.0
SERTAD4,SERTAD4,1.0
SLC5A7,SLC5A7,1.0
SLU7,SLU7,1.0
SRPRB,SRPRB,1.0
TMEM178B,TMEM178B,1.0
TMEM225,TMEM225,1.0
TMEM252,TMEM252,1.0
TST,TST,1.0
TUSC2,TUSC2,1.0
WFDC11,WFDC11,1.0
ZBTB33,ZBTB33,1.0
ZBTB9,ZBTB9,1.0
ZNF26,ZNF26,1.0
B3GALT2,B3GALT2,0.99999994
CMKLR1,CMKLR1,0.99999994
GEM,GEM,0.99999994
H2AC8,H2AC8,0.99999994
H2BC1,H2BC1,0.99999994
HMGN4,HMGN4,0.99999994
IL1B,IL1B,0.99999994
LAMTOR3,LAMTOR3,0.99999994
MAPK1IP1L,MAPK1IP1L,0.99999994
OR9Q1,OR9Q1,0.99999994
PADI6,PADI6,0.99999994
PLA2G2C,PLA2G2C,0.99999994
QNG1,QNG1,0.99999994
RTL6,RTL6,0.99999994
SLC18A2,SLC18A2,0.99999994
SPATA4,SPATA4,0.99999994
SPMAP2L,SPMAP2L,0.99999994
SSTR1,SSTR1,0.99999994
ATOX1,ATOX1,0.9999999
C10orf53,C9H10orf53,0.9999999
C1QTNF7,C1QTNF7,0.9999999
CAVIN2,CAVIN2,0.9999999
CEBPG,CEBPG,0.9999999
CPSF2,CPSF2,0.9999999
DKKL1,DKKL1,0.9999999
DRAXIN,DRAXIN,0.9999999
ELOVL3,ELOVL3,0.9999999
EXO5,EXO5,0.9999999
FAR1,FAR1,0.9999999
FBXO48,FBXO48,0.9999999
FGF21,FGF21,0.9999999
FOXA3,FOXA3,0.9999999
GPR101,GPR101,0.9999999
HECTD1,HECTD1,0.9999999
HSF2,HSF2,0.9999999
HTR1D,HTR1D,0.9999999
MMP7,MMP7,0.9999999
MSMP,MSMP,0.9999999
OR6N2,OR6N2,0.9999999
OSR1,OSR1,0.9999999
PACC1,PACC1,0.9999999
PRKAA2,PRKAA2,0.9999999
RING1,RING1,0.9999999
RNASE7,RNASE7,0.9999999
RPL30,RPL30,0.9999999
SEC61G,SEC61G,0.9999999
SLC17A6,SLC17A6,0.9999999
SMYD2,SMYD2,0.9999999
SRP68,SRP68,0.9999999
STXBP6,STXBP6,0.9999999
TAB3,TAB3,0.9999999
TERB1,TERB1,0.9999999
TIFA,TIFA,0.9999999
TMEM174,TMEM174,0.9999999
TRAJ38,TRAJ38,0.9999999
UCP3,UCP3,0.9999999
VIP,VIP,0.9999999
WFDC6,WFDC6,0.9999999
ARHGEF39,ARHGEF39,0.9999998
BTG3,BTG3,0.9999998
C20orf202,C10H20orf202,0.9999998
CCR3,CCR3,0.9999998
CH25H,CH25H,0.9999998
CPLANE2,CPLANE2,0.9999998
CSNK1A1L,CSNK1A1L,0.9999998
DAG1,DAG1,0.9999998
DNAJB11,DNAJB11,0.9999998
EIF2S1,EIF2S1,0.9999998
FABP4,FABP4,0.9999998
FZD3,FZD3,0.9999998
GPR34,GPR34,0.9999998
KCNK1,KCNK1,0.9999998
LIX1,LIX1,0.9999998
LTA,LTA,0.9999998
MIS12,MIS12,0.9999998
OR5D14,OR5D14,0.9999998
PI15,PI15,0.9999998
PLAG1,PLAG1,0.9999998
RAB19,RAB19,0.9999998
TACR3,TACR3,0.9999998
TCEAL1,TCEAL1,0.9999998
TMEM169,TMEM169,0.9999998
WBP11,WBP11,0.9999998
ZNF664,ZNF664,0.9999998
AKAIN1,AKAIN1,0.99999976
ARGLU1,ARGLU1,0.99999976
ARR3,ARR3,0.99999976
BMT2,BMT2,0.99999976
BRICD5,BRICD5,0.99999976
BSX,BSX,0.99999976
C20orf144,C10H20orf144,0.99999976
CHAC2,CHAC2,0.99999976
CIMIP1,CIMIP1,0.99999976
CMTM2,CMTM2,0.99999976
CSRNP2,CSRNP2,0.99999976
DAAM1,DAAM1,0.99999976
GAPT,GAPT,0.99999976
GINS4,GINS4,0.99999976
GJA4,GJA4,0.99999976
GPR173,GPR173,0.99999976
GPX1,GPX1,0.99999976
KBTBD2,KBTBD2,0.99999976
KCNJ10,KCNJ10,0.99999976
KLHL25,KLHL25,0.99999976
KRT82,KRT82,0.99999976
MRPL17,MRPL17,0.99999976
MYL5,MYL5,0.99999976
NALCN,NALCN,0.99999976
NFE2,NFE2,0.99999976
OTP,OTP,0.99999976
PGAP4,PGAP4,0.99999976
STC2,STC2,0.99999976
TAFA1,TAFA1,0.99999976
TEX50,TEX50,0.99999976
TIMM29,TIMM29,0.99999976
ZBTB12,ZBTB12,0.99999976
ZFP36,ZFP36,0.99999976
ZSCAN4,ZSCAN4,0.99999976
ACCSL,ACCSL,0.9999997
ACSM1,ACSM1,0.9999997
AKR1A1,AKR1A1,0.9999997
ALKBH5,ALKBH5,0.9999997
BMPR1A,BMPR1A,0.9999997
CCDC126,CCDC126,0.9999997
CCR4,CCR4,0.9999997
CXCL11,CXCL11,0.9999997
