gorillas gene name,rhesus_macaques gene name,correlation
ATP1A1,ATP1A1,0.99979156
DOK5,DOK5,0.9997909
ST8SIA3,ST8SIA3,0.99979085
SLITRK3,SLITRK3,0.99978894
GRPR,GRPR,0.9997888
ZFHX3,ZFHX3,0.99978775
EMSY,EMSY,0.99978703
MTF2,MTF2,0.9997867
CDH9,CDH9,0.99978626
ROCK1,ROCK1,0.9997862
GPAT4,GPAT4,0.9997847
FLRT2,FLRT2,0.9997822
LIX1L,LIX1L,0.99978167
SERTAD1,SERTAD1,0.99978137
ZBTB33,ZBTB33,0.9997813
GPR4,GPR4,0.9997806
RFC3,RFC3,0.9997806
FZD10,FZD10,0.9997804
LDB1,LDB1,0.99978
EGLN3,EGLN3,0.99977905
UNK,UNK,0.99977887
DLX5,DLX5,0.99977857
CAB39,CAB39,0.9997784
GPR75,GPR75,0.9997778
TMEM115,TMEM115,0.9997764
PRDM4,PRDM4,0.99977607
HIVEP2,HIVEP2,0.999776
CHRM1,CHRM1,0.99977577
FOSL2,FOSL2,0.99977523
CHRM4,CHRM4,0.9997736
RHOG,RHOG,0.9997725
KLHL6,KLHL6,0.99977124
CRAMP1,CRAMP1,0.9997711
ZDHHC22,ZDHHC22,0.9997711
YIPF5,YIPF5,0.99977094
TAFA4,TAFA4,0.9997705
ANKRD34A,ANKRD34A,0.9997704
SLC6A4,SLC6A4,0.9997702
COG3,COG3,0.99976987
POU2F1,POU2F1,0.9997692
ARL4A,ARL4A,0.99976915
FZD5,FZD5,0.9997684
TRHR,TRHR,0.99976826
PURB,PURB,0.9997681
EOMES,EOMES,0.99976796
NDC80,NDC80,0.9997679
CCNA2,CCNA2,0.9997668
RAB9A,RAB9A,0.9997663
PABPC4,PABPC4,0.9997646
WASL,WASL,0.9997642
P2RY1,P2RY1,0.99976385
PPIP5K2,PPIP5K2,0.99976385
SNX33,SNX33,0.9997632
RRAGC,RRAGC,0.9997624
CALN1,CALN1,0.9997623
HIC2,HIC2,0.9997619
COL8A1,COL8A1,0.9997615
DUSP9,DUSP9,0.99976057
MYOF,MYOF,0.9997604
B4GALT3,B4GALT3,0.99975973
PHF20L1,PHF20L1,0.99975955
ZDHHC21,ZDHHC21,0.999757
THRAP3,THRAP3,0.9997564
NEXMIF,NEXMIF,0.9997558
CREB3L1,CREB3L1,0.9997554
DRD1,DRD1,0.9997548
CAPN6,CAPN6,0.9997547
MYRF,MYRF,0.9997545
HOXC8,HOXC8,0.9997543
TMEM198,TMEM198,0.9997537
SLC17A6,SLC17A6,0.9997531
GPR82,GPR82,0.99975246
TCF20,TCF20,0.9997524
GRIN3A,GRIN3A,0.99975234
SNRPN,SNRPN,0.99975127
DLK2,DLK2,0.9997511
XRN1,XRN1,0.9997505
MC4R,MC4R,0.9997503
PNMA1,PNMA1,0.99975014
SNU13,SNU13,0.9997501
NALF1,NALF1,0.9997499
GPR174,GPR174,0.99974954
GSX1,GSX1,0.999749
FAM222B,FAM222B,0.9997484
TESK1,TESK1,0.99974763
H2AC25,H2AC8,0.99974716
PRRC2C,PRRC2C,0.9997466
KIF4A,KIF4A,0.9997465
MCC,MCC,0.9997465
SMU1,SMU1,0.9997464
RGS2,RGS2,0.99974483
LOXL2,LOXL2,0.99974394
SRPK1,SRPK1,0.9997435
RND3,RND3,0.99974316
CLDN1,CLDN1,0.99974275
SPOPL,SPOPL,0.9997415
HNF4G,HNF4G,0.99974126
WNT8B,WNT8B,0.9997406
MARVELD1,MARVELD1,0.9997397
HS3ST2,HS3ST2,0.9997387
SH3RF1,SH3RF1,0.99973834
NPAS2,NPAS2,0.99973714
GNAT3,GNAT3,0.9997371
CEBPB,CEBPB,0.9997368
RYR3,RYR3,0.9997347
COL28A1,COL28A1,0.9997339
H2AJ,H2AJ,0.9997318
SP4,SP4,0.9997312
TASOR,TASOR,0.9997304
FOXJ1,FOXJ1,0.99972934
LBX1,LBX1,0.9997285
ZBTB6,ZBTB6,0.9997285
HMGCS1,HMGCS1,0.9997275
PIANP,PIANP,0.9997272
KDR,KDR,0.9997255
AP1AR,AP1AR,0.9997254
PLEKHF2,PLEKHF2,0.9997253
RELCH,RELCH,0.9997244
TRIB1,TRIB1,0.9997238
SLC9A5,SLC9A5,0.9997237
GPR27,GPR27,0.9997226
ADAMTS15,ADAMTS15,0.9997219
FN1,FN1,0.9997216
HECW2,HECW2,0.9997205
ZBTB7C,ZBTB7C,0.9997199
KCTD8,KCTD8,0.99971926
POMGNT2,POMGNT2,0.9997188
ARID4A,ARID4A,0.9997174
ELFN2,ELFN2,0.99971676
RSPRY1,RSPRY1,0.99971676
CLIC1,CLIC1,0.999714
LRRN1,LRRN1,0.9997135
ZBTB2,ZBTB2,0.99971265
TOP1,TOP1,0.99971217
CDK17,CDK17,0.99971163
TPPP3,TPPP3,0.9997112
GTF3C3,GTF3C3,0.99971014
VARS1,VARS1,0.9997092
FOXA2,FOXA2,0.999709
HOXD3,HOXD3,0.999709
MED28,MED28,0.9997084
RNF181,RNF181,0.99970764
BMP2,BMP2,0.9997056
AJUBA,AJUBA,0.99970555
NAA15,NAA15,0.99970496
GFI1,GFI1,0.9997047
ZNF654,ZNF654,0.9997042
PHKA1,PHKA1,0.99970275
KCND2,KCND2,0.9997027
AZIN1,AZIN1,0.99970174
TRMT1L,TRMT1L,0.9997006
ZBTB47,ZBTB47,0.9996997
SOX11,SOX11,0.99969965
DOCK9,DOCK9,0.9996989
SLC16A12,SLC16A12,0.9996987
MBD6,MBD6,0.9996979
BARX1,BARX1,0.9996966
PDCL,PDCL,0.99969596
LIMD2,LIMD2,0.99969566
KAT6A,KAT6A,0.99969465
THBS2,THBS2,0.9996943
CHST12,CHST12,0.99969393
COLEC12,COLEC12,0.9996934
ZBTB46,ZBTB46,0.999693
MYH4,MYH4,0.99969274
INSRR,INSRR,0.9996927
H1-4,H1-4,0.99969256
ATP11A,ATP11A,0.99969226
FBXO46,FBXO46,0.99969006
PRMT6,PRMT6,0.99968976
EFR3B,EFR3B,0.9996874
CACNG5,CACNG5,0.99968714
TDRD7,TDRD7,0.9996862
RASGRF1,RASGRF1,0.99968606
TBX3,TBX3,0.99968606
RIC8B,RIC8B,0.99968493
LRRC73,LRRC73,0.9996847
SMARCC2,SMARCC2,0.99968445
ZHX3,ZHX3,0.9996837
GARRE1,GARRE1,0.9996833
NTSR1,NTSR1,0.99968165
RALGAPB,RALGAPB,0.99968153
KCNK10,KCNK10,0.9996815
ENTPD7,ENTPD7,0.9996813
TRIM71,TRIM71,0.9996799
PRKD2,PRKD2,0.9996784
GPR61,GPR61,0.99967813
JADE1,JADE1,0.9996778
GNAT2,GNAT2,0.99967504
TES,TES,0.99967504
ZNF711,ZNF711,0.99967486
ZNF536,ZNF536,0.99967474
PIWIL1,PIWIL1,0.9996743
CALHM2,CALHM2,0.9996735
ACTN1,ACTN1,0.999673
KCTD13,KCTD13,0.9996724
RRAGD,RRAGD,0.9996722
CSRNP2,CSRNP2,0.9996713
MON2,MON2,0.9996713
CDH18,CDH18,0.99967086
E2F1,E2F1,0.99967045
PTK2B,PTK2B,0.9996699
KBTBD7,KBTBD7,0.9996691
FOXJ3,FOXJ3,0.9996684
GABRG3,GABRG3,0.9996682
MOB3B,MOB3B,0.99966747
POU6F2,POU6F2,0.99966735
LAMC1,LAMC1,0.99966586
GABPA,GABPA,0.9996646
KRT31,KRT31,0.99966407
BZW1,BZW1,0.99966365
CPE,CPE,0.9996618
GRM6,GRM6,0.9996617
LRAT,LRAT,0.9996614
SNRPB,SNRPB,0.9996613
TMEM127,TMEM127,0.9996613
ST3GAL2,ST3GAL2,0.99966055
GRXCR1,GRXCR1,0.99966025
USH1G,USH1G,0.99966
WDR26,WDR26,0.99965924
NDST2,NDST2,0.99965864
RNF5,RNF5,0.99965864
WDR35,WDR35,0.9996576
BMPER,BMPER,0.99965686
TMEM219,TMEM219,0.9996565
KANSL1,KANSL1,0.999656
WDR62,WDR62,0.9996554
FEV,FEV,0.99965394
FRMD6,FRMD6,0.99965376
TOGARAM1,TOGARAM1,0.9996537
TRMT61A,TRMT61A,0.99965364
CAMK1G,CAMK1G,0.9996532
NFIL3,NFIL3,0.99965245
CEPT1,CEPT1,0.9996516
CADPS2,CADPS2,0.9996508
SMYD5,SMYD5,0.9996508
TMEM203,TMEM203,0.99965054
YWHAG,YWHAG,0.99965054
DHCR24,DHCR24,0.9996501
KCNJ2,KCNJ2,0.9996497
DSEL,DSEL,0.9996481
H2BC13,H2BC9,0.99964577
PLCB4,PLCB4,0.9996449
ZBED4,ZBED4,0.99964416
ERO1B,ERO1B,0.9996425
HELZ,HELZ,0.9996425
PSPC1,PSPC1,0.99964225
CERS6,CERS6,0.9996419
H1-5,H1-5,0.9996409
GATA3,GATA3,0.99964076
ATP2B3,ATP2B3,0.99964064
SEC61A1,SEC61A1,0.99963975
FZD2,FZD2,0.9996394
TMEM200A,TMEM200A,0.9996387
FBXL7,FBXL7,0.9996382
KLHL25,KLHL25,0.99963796
FAM20B,FAM20B,0.99963695
RWDD1,RWDD1,0.9996365
ALK,ALK,0.99963474
NACC1,NACC1,0.9996341
TEAD2,TEAD2,0.99963367
MAML2,MAML2,0.9996333
DUSP1,DUSP1,0.9996331
HOXC11,HOXC11,0.9996326
BTG2,BTG2,0.9996323
AGO2,AGO2,0.999632
TPH2,TPH2,0.99963194
PPARA,PPARA,0.99963164
FAT4,FAT4,0.9996307
PELI3,PELI3,0.99963045
PSKH1,PSKH1,0.99963003
EPHA5,EPHA5,0.9996289
PLD3,PLD3,0.9996282
TLR7,TLR7,0.9996282
RHOJ,RHOJ,0.99962753
RPL10A,RPL10A,0.99962735
FOXB2,FOXB2,0.99962705
FLRT1,FLRT1,0.9996264
ASB12,ASB12,0.9996245
HOXA3,HOXA3,0.9996241
HOXB13,HOXB13,0.99962384
CARHSP1,CARHSP1,0.9996238
SFN,SFN,0.9996238
GLS,GLS,0.9996232
PCDH12,PCDH12,0.9996232
FAM110A,FAM110A,0.999623
HAPLN4,HAPLN4,0.9996227
HAPLN1,HAPLN1,0.99962014
KCNJ8,KCNJ8,0.99962014
MAP3K2,MAP3K2,0.99961954
CSDC2,CSDC2,0.99961925
