human gene name,chimpanzees gene name,correlation
UBTD2,UBTD2,1.0000007
YPEL5,YPEL5,1.0000007
ZNF260,ZNF260,1.0000007
ARPC5L,ARPC5L,1.0000006
ATP5ME,ATP5ME,1.0000006
BTG2,BTG2,1.0000006
CAV3,CAV3,1.0000006
ETDA,ETDB,1.0000006
FGF14,FGF14,1.0000006
GJB2,GJB2,1.0000006
GNG13,GNG13,1.0000006
GPR12,GPR12,1.0000006
GUCA1B,GUCA1B,1.0000006
H2AC7,H2AC7,1.0000006
H2BC21,H2BC21,1.0000006
HEXIM1,HEXIM1,1.0000006
IL26,IL26,1.0000006
KIAA1143,KIAA1143,1.0000006
LRRTM3,LRRTM3,1.0000006
MOB3B,MOB3B,1.0000006
OVOL3,OVOL3,1.0000006
PHOX2B,PHOX2B,1.0000006
POFUT1,POFUT1,1.0000006
PPTC7,PPTC7,1.0000006
PYDC1,PYDC1,1.0000006
RPP14,RPP14,1.0000006
SCRG1,SCRG1,1.0000006
SOX1,SOX1,1.0000006
TEN1-CDK3,TEN1,1.0000006
TSPAN13,TSPAN13,1.0000006
TUFM,TUFM,1.0000006
UBE2Q1,UBE2Q1,1.0000006
UQCRQ,UQCRQ,1.0000006
C1GALT1C1,C1GALT1C1,1.0000005
CDKN2AIPNL,CDKN2AIPNL,1.0000005
CERS6,CERS6,1.0000005
FAM168B,FAM168B,1.0000005
FOXG1,FOXG1,1.0000005
H2BC9,H2BC9,1.0000005
HES1,HES1,1.0000005
HEXIM2,HEXIM2,1.0000005
HOXA2,HOXA2,1.0000005
HOXB5,HOXB5,1.0000005
IL15,IL15,1.0000005
IMP3,IMP3,1.0000005
MAGEH1,MAGEH1,1.0000005
MGARP,MGARP,1.0000005
MRGBP,MRGBP,1.0000005
MYF5,MYF5,1.0000005
NHLH1,NHLH1,1.0000005
NUDT2,NUDT2,1.0000005
POLR1H,POLR1H,1.0000005
PRR15L,PRR15L,1.0000005
RCC2,RCC2,1.0000005
RTCB,RTCB,1.0000005
SPRR2B,SPRR2B,1.0000005
TMEM183A,TMEM183A,1.0000005
TMEM35A,TMEM35A,1.0000005
TNFAIP8L1,TNFAIP8L1,1.0000005
B3GALT1,B3GALT1,1.0000004
CHRM2,CHRM2,1.0000004
CHST2,CHST2,1.0000004
CST3,CST3,1.0000004
EPHB4,EPHB4,1.0000004
H2AC6,H2AC6,1.0000004
HOXC13,HOXC13,1.0000004
HTR1B,HTR1B,1.0000004
KCNK12,KCNK12,1.0000004
LRATD2,LRATD2,1.0000004
MAPK1IP1L,MAPK1IP1L,1.0000004
NEUROG2,NEUROG2,1.0000004
PGRMC1,PGRMC1,1.0000004
PYDC2,PYDC2,1.0000004
RBM18,RBM18,1.0000004
RPS26,RPS26,1.0000004
S100A11,S100A11,1.0000004
SCRT1,SCRT1,1.0000004
SMLR1,SMLR1,1.0000004
TMEM14C,TMEM14C,1.0000004
TMSB15A,TMSB15A,1.0000004
UNC119B,UNC119B,1.0000004
WFDC10A,WFDC10A,1.0000004
AMIGO2,AMIGO2,1.0000002
ATOH7,ATOH7,1.0000002
BOLA3,BOLA3,1.0000002
BTG1,BTG1,1.0000002
C2orf69,C2orf69,1.0000002
CHMP5,CHMP5,1.0000002
COX6A1,COX6A1,1.0000002
CRH,CRH,1.0000002
CTXN1,CTXN1,1.0000002
DOLK,DOLK,1.0000002
FZD9,FZD9,1.0000002
GRPEL1,GRPEL1,1.0000002
H2BC10,H2BC4,1.0000002
H3C13,H3C13,1.0000002
HILPDA,HILPDA,1.0000002
HTR1E,HTR1E,1.0000002
LSM10,LSM10,1.0000002
MID1IP1,MID1IP1,1.0000002
NAB2,NAB2,1.0000002
PIRT,PIRT,1.0000002
PLK2,PLK2,1.0000002
PNMA1,PNMA1,1.0000002
RNF208,RNF208,1.0000002
S100A4,S100A4,1.0000002
SCUBE3,SCUBE3,1.0000002
STK38,STK38,1.0000002
TBX20,TBX20,1.0000002
TMSB10,TMSB10,1.0000002
WNT7A,WNT7A,1.0000002
ZNF689,ZNF689,1.0000002
AGRP,AGRP,1.0000001
ARG2,ARG2,1.0000001
ATP5F1C,ATP5F1C,1.0000001
CACNG4,CACNG4,1.0000001
CALML3,CALML3,1.0000001
CDKN2D,CDKN2D,1.0000001
CRYAA,CRYAA,1.0000001
DLEU7,DLEU7,1.0000001
DRD1,DRD1,1.0000001
DTX1,DTX1,1.0000001
H2AC21,H2AC21,1.0000001
H2BC17,H2BC17,1.0000001
LDHAL6A,LDHAL6A,1.0000001
MAB21L2,MAB21L2,1.0000001
MPV17L2,MPV17L2,1.0000001
MRPL18,MRPL18,1.0000001
MTRNR2L4,MTRNR2L4,1.0000001
NANOS2,NANOS2,1.0000001
NFX1,NFX1,1.0000001
NPM3,NPM3,1.0000001
NPTX2,NPTX2,1.0000001
NXT1,NXT1,1.0000001
PRELP,PRELP,1.0000001
RAB3C,RAB3C,1.0000001
RNF11,RNF11,1.0000001
S100A8,S100A8,1.0000001
SLC35F1,SLC35F1,1.0000001
SPANXN5,SPANXN5,1.0000001
SSTR2,SSTR2,1.0000001
TFAP2D,TFAP2D,1.0000001
TIMP3,TIMP3,1.0000001
TRIAP1,TRIAP1,1.0000001
TSPAN33,TSPAN33,1.0000001
WFDC13,WFDC13,1.0000001
ZBTB26,ZBTB26,1.0000001
BARX2,BARX2,1.0
C3orf70,C3H3orf70,1.0
CA8,CA8,1.0
CCL27,CCL27,1.0
CD53,CD53,1.0
CLDN1,CLDN1,1.0
COMMD8,COMMD8,1.0
DEFB123,DEFB123,1.0
DEFB129,DEFB129,1.0
FZD7,FZD7,1.0
H1-4,H1-4,1.0
IL1A,IL1A,1.0
LINC00672,LASP1NB,1.0
OTOS,OTOS,1.0
PFN3,PFN3,1.0
RHOU,RHOU,1.0
SERTM1,SERTM1,1.0
SMIM30,SMIM30,1.0
SMIM35,SMIM35,1.0
TMEM35B,TMEM35B,1.0
TPRG1L,TPRG1L,1.0
UBLCP1,UBLCP1,1.0
ZBTB6,ZBTB6,1.0
CHST3,CHST3,0.99999994
DEFB131B,DEFB131B,0.99999994
DNAJA1,DNAJA1,0.99999994
FAM168A,FAM168A,0.99999994
GPR4,GPR4,0.99999994
H2AC4,H2AC8,0.99999994
H2BC5,H2BC5,0.99999994
NUDT3,NUDT3,0.99999994
SSTR1,SSTR1,0.99999994
TTL,TTL,0.99999994
YJEFN3,YJEFN3,0.99999994
ZG16,ZG16,0.99999994
ZNF22,ZNF22,0.99999994
DEFB106B,DEFB106A,0.9999999
ENHO,ENHO,0.9999999
FAM216B,FAM216B,0.9999999
FAM43B,FAM43B,0.9999999
FGF19,FGF19,0.9999999
GCG,GCG,0.9999999
GNG10,GNG10,0.9999999
HSD17B8,HSD17B8,0.9999999
KRTAP20-4,KRTAP20-4,0.9999999
PHF13,PHF13,0.9999999
RAB9B,RAB9B,0.9999999
RBX1,RBX1,0.9999999
SMIM17,SMIM17,0.9999999
SMIM36,SMIM36,0.9999999
VHL,VHL,0.9999999
WASF2,WASF2,0.9999999
MIF,MIF,0.9999998
NRGN,NRGN,0.9999998
PAIP2B,PAIP2B,0.9999998
PSAT1,PSAT1,0.9999998
RAB25,RAB25,0.9999998
RPS28,RPS28,0.9999998
SMIM6,SMIM6,0.9999998
SVBP,SVBP,0.9999998
TMEM31,TMEM31,0.9999998
ALX1,ALX1,0.99999976
B3GNT2,B3GNT2,0.99999976
B4GAT1,B4GAT1,0.99999976
GLIS2,GLIS2,0.99999976
GNG12,GNG12,0.99999976
ITM2A,ITM2A,0.99999976
KRTAP22-2,KRTAP22-2,0.99999976
LIF,LIF,0.99999976
MSX1,MSX1,0.99999976
NPY5R,NPY5R,0.99999976
PKIA,PKIA,0.99999976
S100G,S100G,0.99999976
SEC61G,SEC61G,0.99999976
SOX9,SOX9,0.99999976
SYNDIG1,SYNDIG1,0.99999976
TMEM60,TMEM60,0.99999976
AQP5,AQP5,0.9999997
ASPHD2,ASPHD2,0.9999997
CRYGA,CRYGA,0.9999997
DEFB130A,DEFB130,0.9999997
EFNB2,EFNB2,0.9999997
FEV,FEV,0.9999997
GNMT,GNMT,0.9999997
GPR18,GPR18,0.9999997
H2AC1,H2AC1,0.9999997
KCTD4,KCTD4,0.9999997
NR1D1,NR1D1,0.9999997
PGAP4,PGAP4,0.9999997
POU4F3,POU4F3,0.9999997
PPP1R17,PPP1R17,0.9999997
RGCC,RGCC,0.9999997
RGS19,RGS19,0.9999997
RHOG,RHOG,0.9999997
S100A13,S100A13,0.9999997
SIX6,SIX6,0.9999997
TXN,TXN,0.9999997
ZDHHC21,ZDHHC21,0.9999997
DEFB134,DEFB134,0.99999964
GNAI3,GNAI3,0.99999964
GNAT3,GNAT3,0.99999964
H2BC3,H2BC3,0.99999964
HSPB2,HSPB2,0.99999964
IGFBPL1,IGFBPL1,0.99999964
KIF4A,KIF4A,0.99999964
PEF1,PEF1,0.99999964
PRDX6,PRDX6,0.99999964
SERINC1,SERINC1,0.99999964
SLC25A6,SLC25A6,0.99999964
SPIN4,SPIN4,0.99999964
TEX19,TEX19,0.99999964
TOB1,TOB1,0.99999964
AMIGO1,AMIGO1,0.9999996
BHLHE40,BHLHE40,0.9999996
CCND1,CCND1,0.9999996
CDC42SE1,CDC42SE1,0.9999996
CKS2,CKS2,0.9999996
DYNLT1,DYNLT1,0.9999996
HOXC9,HOXC9,0.9999996
HSDL2,HSDL2,0.9999996
LMO4,LMO4,0.9999996
NIPSNAP3A,NIPSNAP3A,0.9999996
OST4,OST4,0.9999996
SNN,SNN,0.9999996
STRIT1,STRIT1,0.9999996
TOMM22,TOMM22,0.9999996
WNT9A,WNT9A,0.9999996
CACNG3,CACNG3,0.9999995
CRYGD,CRYGD,0.9999995
DEFB104A,DEFB104,0.9999995
DPT,DPT,0.9999995
DUSP19,DUSP19,0.9999995
EIF1B,EIF1B,0.9999995
EMC6,EMC6,0.9999995
FAM162B,FAM162B,0.9999995
GABRA3,GABRA3,0.9999995
GPR22,GPR22,0.9999995
GSX1,GSX1,0.9999995
IFNA21,IFNA21,0.9999995
LMX1A,LMX1A,0.9999995
MPLKIP,MPLKIP,0.9999995
MTRNR2L10,MTRNR2L10,0.9999995
NMS,NMS,0.9999995
NRARP,NRARP,0.9999995
POLR2L,POLR2L,0.9999995
PRDX3,PRDX3,0.9999995
RAB10,RAB10,0.9999995
RRAS,RRAS,0.9999995
SFN,SFN,0.9999995
CCL11,CCL11,0.99999946
DEFB116,DEFB116,0.99999946
H2AX,H2AX,0.99999946
HMGN2,HMGN2,0.99999946
KBTBD7,KBTBD7,0.99999946
KLHL11,KLHL11,0.99999946
LLPH,LLPH,0.99999946
MYL12B,MYL12B,0.99999946
NHLRC1,NHLRC1,0.99999946
PLA2G12B,PLA2G12B,0.99999946
RAB19,RAB19,0.99999946
RAMACL,RAMAC,0.99999946
RMND5A,RMND5A,0.99999946
RPS4X,RPS4X,0.99999946
SH3BGRL2,SH3BGRL2,0.99999946
SMIM10L1,SMIM10L1,0.99999946
SMIM3,SMIM3,0.99999946
SVIP,SVIP,0.99999946
YWHAG,YWHAG,0.99999946
C8orf88,C8H8orf88,0.9999994
CHCHD2,CHCHD2,0.9999994
GNG3,GNG3,0.9999994
GPR37,GPR37,0.9999994
H2AC18,H2AC19,0.9999994
H2BC14,H2BC14,0.9999994
HOXB6,HOXB6,0.9999994
LEAP2,LEAP2,0.9999994
LENEP,LENEP,0.9999994
PARD6B,PARD6B,0.9999994
SMU1,SMU1,0.9999994
ABT1,ABT1,0.99999934
CCL17,CCL17,0.99999934
GABPA,GABPA,0.99999934
H2BC12,H2BC12,0.99999934
HBQ1,HBQ1,0.99999934
HINT2,HINT2,0.99999934
MFAP1,MFAP1,0.99999934
POU3F1,POU3F1,0.99999934
PTRHD1,PTRHD1,0.99999934
RCVRN,RCVRN,0.99999934
RPLP1,RPLP1,0.99999934
SIX1,SIX1,0.99999934
SOX4,SOX4,0.99999934
WNT1,WNT1,0.99999934
ADO,ADO,0.9999993
BLOC1S4,BLOC1S4,0.9999993
COX6A2,COX6A2,0.9999993
CXCL11,CXCL11,0.9999993
MMP24,MMP24,0.9999993
PHLDA3,PHLDA3,0.9999993
POU3F4,POU3F4,0.9999993
RASL11A,RASL11A,0.9999993
SPINT4,SPINT4,0.9999993
SPTSSB,SPTSSB,0.9999993
TMEM47,TMEM47,0.9999993
ANAPC13,ANAPC13,0.9999992
C10orf99,GPR15LG,0.9999992
COX8C,COX8C,0.9999992
CTNNBIP1,CTNNBIP1,0.9999992
DCAF16,DCAF16,0.9999992
H3C1,H3C10,0.9999992
LAPTM4A,LAPTM4A,0.9999992
MRTO4,MRTO4,0.9999992
NKX2-2,NKX2-2,0.9999992
RPP25L,RPP25L,0.9999992
RRAGC,RRAGC,0.9999992
SYPL2,SYPL2,0.9999992
SYT2,SYT2,0.9999992
TMEM74,TMEM74,0.9999992
ATP5MC3,ATP5MC3,0.99999917
BAG2,BAG2,0.99999917
CKM,CKM,0.99999917
CLPS,CLPS,0.99999917
EFNA1,EFNA1,0.99999917
GALNT18,GALNT18,0.99999917
GREM2,GREM2,0.99999917
HS6ST1,HS6ST1,0.99999917
MTRNR2L12,MTRNR2L14,0.99999917
MZT1,MZT1,0.99999917
PCSK1N,PCSK1N,0.99999917
SMIM31,SMIM31,0.99999917
SP6,SP6,0.99999917
SS18L2,SS18L2,0.99999917
TRIM44,TRIM44,0.99999917
WNT3A,WNT3A,0.99999917
ZNF576,ZNF576,0.99999917
ARL14EPL,ARL14EPL,0.9999991
BCAS2,BCAS2,0.9999991
C15orf62,C15H15orf62,0.9999991
C1orf52,C1H1orf52,0.9999991
CAMK2N1,CAMK2N1,0.9999991
CNIH3,CNIH3,0.9999991
FOXO1,FOXO1,0.9999991
RAB39B,RAB39B,0.9999991
SDHAF4,SDHAF4,0.9999991
TMEM200B,TMEM200B,0.9999991
COA7,COA7,0.99999905
GBP2,GBP2,0.99999905
H2AC20,H2AC20,0.99999905
INAFM2,INAFM2,0.99999905
PITX3,PITX3,0.99999905
TCEAL7,TCEAL7,0.99999905
TMA7,TMA7,0.99999905
UBE2L5,UBE2L5,0.99999905
COPG2,COPG2,0.999999
KRTAP17-1,KRTAP17-1,0.999999
NGB,NGB,0.999999
ZNF146,ZNF146,0.999999
FAM25A,FAM25A,0.9999989
NATD1,NATD1,0.9999989
NDUFA4,NDUFA4,0.9999989
NDUFB3,NDUFB3,0.9999989
NPBWR1,NPBWR1,0.9999989
OCM2,OCM2,0.9999989
RGS13,RGS13,0.9999989
TAX1BP3,TAX1BP3,0.9999989
TMEM170B,TMEM170B,0.9999989
C15orf61,C15H15orf61,0.99999887
CXCL9,CXCL9,0.99999887
FAM240B,FAM240B,0.99999887
HEY2,HEY2,0.99999887
LSM3,LSM3,0.99999887
RAB39A,RAB39A,0.99999887
SOSTDC1,SOSTDC1,0.99999887
SPRR2D,SPRR2D,0.99999887
CACNG2,CACNG2,0.9999988
CLDN3,CLDN3,0.9999988
CRIPT,CRIPT,0.9999988
DAPP1,DAPP1,0.9999988
DIRAS3,DIRAS3,0.9999988
LIN7C,LIN7C,0.9999988
LSM6,LSM6,0.9999988
MTPN,MTPN,0.9999988
PRKAA1,PRKAA1,0.9999988
PRLH,PRLH,0.9999988
PTH,PTH,0.9999988
TOMM6,TOMM6,0.9999988
DUSP23,DUSP23,0.99999875
EEF1G,EEF1G,0.99999875
GNG8,GNG8,0.99999875
KLHL41,KLHL41,0.99999875
PI3,PI3,0.99999875
POLE3,POLE3,0.99999875
PRIMA1,PRIMA1,0.99999875
RAP2B,RAP2B,0.99999875
SF3B6,SF3B6,0.99999875
SLC31A1,SLC31A1,0.99999875
SOX14,SOX14,0.99999875
SPCS3,SPCS3,0.99999875
SPRYD4,SPRYD4,0.99999875
TMEM151A,TMEM151A,0.99999875
VPS37D,VPS37D,0.99999875
ADIPOR2,ADIPOR2,0.9999987
DPPA5,DPPA5,0.9999987
GID8,GID8,0.9999987
RPRM,RPRM,0.9999987
SCGB1D1,SCGB1D1,0.9999987
TBX21,TBX21,0.9999987
TCF21,TCF21,0.9999987
WNT3,WNT3,0.9999987
ACER2,ACER2,0.9999986
DYNLL2,DYNLL2,0.9999986
GABRG1,GABRG1,0.9999986
GINS1,GINS1,0.9999986
IL23A,IL23A,0.9999986
PHGR1,PHGR1,0.9999986
RGS17,RGS17,0.9999986
RHOD,RHOD,0.9999986
TAL2,TAL2,0.9999986
CT83,CT83,0.99999857
DDX6,DDX6,0.99999857
GPX7,GPX7,0.99999857
LEFTY2,LEFTY2,0.99999857
RCBTB1,RCBTB1,0.99999857
DPY30,DPY30,0.9999985
ITPRIPL2,ITPRIPL2,0.9999985
LCE1F,LCE1F,0.9999985
MYL9,MYL9,0.9999985
NXNL1,NXNL1,0.9999985
PRRX2,PRRX2,0.9999985
CDKN2C,CDKN2C,0.99999845
LAGE3,LAGE3,0.99999845
PGGT1B,PGGT1B,0.99999845
CPLX4,CPLX4,0.9999984
EXOC4,EXOC4,0.9999984
HTR1F,HTR1F,0.9999984
IRF2BP1,IRF2BP1,0.9999984
KCNJ4,KCNJ4,0.9999984
NEUROD2,NEUROD2,0.9999984
PCBP1,PCBP1,0.9999984
PLEKHO2,PLEKHO2,0.9999984
ABHD13,ABHD13,0.99999833
ARL4D,ARL4D,0.99999833
BRK1,BRK1,0.99999833
CLDN14,CLDN14,0.99999833
GPR88,GPR88,0.99999833
KLF9,KLF9,0.99999833
PCLAF,PCLAF,0.99999833
CCDC152,CCDC152,0.9999983
FITM2,FITM2,0.9999983
GPHB5,GPHB5,0.9999983
SYCP3,SYCP3,0.9999983
TRPC5,TRPC5,0.9999983
TSR2,TSR2,0.9999983
BHLHE41,BHLHE41,0.9999982
C6orf58,C6H6orf58,0.9999982
GPC4,GPC4,0.9999982
IRX1,IRX1,0.9999982
POP5,POP5,0.9999982
ZBTB7A,ZBTB7A,0.9999982
APELA,APELA,0.99999815
ARF1,ARF1,0.99999815
FGF9,FGF9,0.99999815
HOXC4,HOXC4,0.99999815
MTCP1,MTCP1,0.99999815
NCBP2AS2,NCBP2AS2,0.99999815
POLR3F,POLR3F,0.99999815
CDC20,CDC20,0.9999981
SMIM13,SMIM13,0.9999981
GPR15,GPR15,0.99999803
H2AC14,H2AC14,0.99999803
POLR2A,POLR2A,0.99999803
BBLN,BBLN,0.999998
BEX4,BEX4,0.999998
SF3B5,SF3B5,0.999998
SLN,SLN,0.999998
SPRR2A,SPRR2A,0.999998
TMEM203,TMEM203,0.999998
CHRM4,CHRM4,0.9999979
NEUROD6,NEUROD6,0.9999979
SFRP2,SFRP2,0.9999979
COX15,COX15,0.99999785
FUT9,FUT9,0.99999785
TMEM233,TMEM233,0.99999785
TMEM30B,TMEM30B,0.99999785
GLRX,GLRX,0.9999978
GPR27,GPR27,0.9999978
TNFSF8,TNFSF8,0.9999978
TRIM71,TRIM71,0.9999978
EIF4EBP2,EIF4EBP2,0.99999774
FRZB,FRZB,0.99999774
KRTAP20-3,KRTAP20-3,0.99999774
CRIP1,CRIP1,0.9999977
CTXN2,CTXN2,0.9999977
C1orf35,C1H1orf35,0.9999975
EIF2S2,EIF2S2,0.99999744
HOXC5,HOXC5,0.99999744
SLURP1,SLURP1,0.99999744
SMCO3,SMCO3,0.99999744
MIP,MIP,0.9999974
SPA17,SPA17,0.9999974
RWDD2A,RWDD2A,0.9999973
TADA1,TADA1,0.9999973
PHAX,PHAX,0.99999726
ZMYND19,ZMYND19,0.9999972
LRRC8A,LRRC8A,0.99999714
CCR4,CCR4,0.99999696
ELFN2,ELFN2,0.9999969
TSHZ3,TSHZ3,0.9999969
KHDRBS2,KHDRBS2,0.99999684
NDUFS5,NDUFS5,0.99999654
METTL7B,TMT1B,0.999996
BTK,BTK,0.99999523
ZNF282,ZNF282,0.9999912
KLHL1,KLHL1,0.9999911
HABP4,HABP4,0.9999904
ZNF182,ZNF182,0.99998766
ARHGAP35,ARHGAP35,0.9999869
EXOC3L2,EXOC3L2,0.9999854
ANOS1,ANOS1,0.99998516
C2orf49,C2AH2orf49,0.9999846
FAM102B,EEIG2,0.99998355
RASSF6,RASSF6,0.99998194
WDR54,WDR54,0.99998176
AHDC1,AHDC1,0.99998
UBQLN4,UBQLN4,0.999979
DLGAP3,DLGAP3,0.99997795
VAX1,VAX1,0.99997735
COL2A1,COL2A1,0.99997693
CDH20,CDH20,0.9999767
GAP43,GAP43,0.99997616
SETD1B,SETD1B,0.9999759
SLITRK4,SLITRK4,0.9999747
KCNC2,KCNC2,0.9999743
KCNB2,KCNB2,0.999974
UPF2,UPF2,0.9999735
ZNF703,ZNF703,0.9999727
SASH3,SASH3,0.9999719
UGGT2,UGGT2,0.9999716
NDST3,NDST3,0.99997145
LRCH2,LRCH2,0.999971
PPP1R9B,PPP1R9B,0.9999702
TMEM151B,TMEM151B,0.99996954
TAS2R3,TAS2R3,0.99996924
HOXA10,HOXA10,0.9999687
C17orf113,C17H17orf113,0.99996865
CHSY3,CHSY3,0.99996793
SFRP1,SFRP1,0.99996775
KLF8,KLF8,0.9999675
MAP3K2,MAP3K2,0.9999664
PLEKHD1,PLEKHD1,0.99996597
DENND2D,DENND2D,0.9999659
ZC3H12B,ZC3H12B,0.99996585
SARS1,SARS1,0.9999658
SLC5A7,SLC5A7,0.9999658
ZBTB33,ZBTB33,0.99996513
RGL1,RGL1,0.9999649
PRR12,PRR12,0.99996483
XKR7,XKR7,0.9999646
CEACAM8,CEACAM8,0.9999645
DCUN1D3,DCUN1D3,0.99996436
KLF2,KLF2,0.9999632
KCND3,KCND3,0.99996305
ARRDC3,ARRDC3,0.9999618
LINGO3,LINGO3,0.99996084
SUZ12,SUZ12,0.9999605
SFRP5,SFRP5,0.99995935
RHPN2,RHPN2,0.9999593
KCNS2,KCNS2,0.9999591
SMCR8,SMCR8,0.9999591
ZNF777,ZNF777,0.999958
NMNAT2,NMNAT2,0.99995774
RC3H1,RC3H1,0.9999575
SLC2A10,SLC2A10,0.9999564
SNIP1,SNIP1,0.9999557
SLC18A2,SLC18A2,0.9999549
FOXJ1,FOXJ1,0.99995375
ARHGAP39,ARHGAP39,0.9999535
NPR1,NPR1,0.9999531
SPON1,SPON1,0.99995303
GPC2,GPC2,0.9999523
NYAP1,NYAP1,0.9999521
