zebrafish gene name,frog gene name,correlation
pik3r4,pik3r4,0.99491763
myh6,myh8,0.9949022
glra1,glra1,0.99489796
smc2,smc2,0.9948839
cadpsa,cadps,0.9948815
SLC4A7,slc4a10,0.9948773
ipo9,ipo9,0.99485844
myo6b,myo6,0.9948564
ppp4ca,ppp4c,0.9948378
smad3a,smad3,0.99482936
atp2b3b,atp2b3,0.99482787
lsm3,lsm3,0.9948255
ext1b,ext1,0.99482507
actb2,actg1,0.99482125
gria4b,gria4,0.9948016
heatr5b,heatr5b,0.99479514
ipo7,ipo7,0.9947861
lrp1ab,lrp1,0.9947637
kras,krasl,0.9947622
wdr17,wdr17,0.9947513
tubg1,tubg1,0.99474466
zswim5,zswim5,0.99473137
rbb4l,rbbp7,0.99472696
dctn5,dctn5,0.9947153
ccm2,ccm2,0.9947081
pde11a,pde11a,0.9947006
cdc42se2,cdc42se2l,0.9946841
nnt,nnt,0.9946739
tbx20,tbx20,0.994668
abi1a,abi1,0.9946581
mpped2a,mpped2,0.99465656
cops4,cops4,0.9946391
MYH9,myh9,0.9946068
nrf1,nrf1,0.99460495
atp5fa1,atp5f1a,0.9946026
smarca1,smarca1,0.99459594
zgc:65894,tubb2b,0.9945835
ddx23,ddx23,0.9945816
chsy1,chsy1,0.9945739
polr3f,polr3f,0.9945697
ube2d2l,ube2d3,0.99456704
arl1,arl1,0.9945664
atp2b1a,atp2b2,0.9945628
flii,flii,0.99455523
pde4d,pde4d,0.99455386
eif4g2a,eif4g2,0.99453694
usp46,usp12,0.99453104
mob3a,mob3a,0.9945244
rac3b,rac3,0.9945123
prps1b,prps1,0.9944991
jun,jun,0.9944859
dennd5a,dennd5a,0.99448144
prkacbb,prkacb,0.99447984
kif5bb,kif5b,0.9944778
setb,set,0.9944714
dlg1a,dlg1,0.99446845
ddx6,ddx6,0.9944604
smad1,smad1,0.99444604
rap1ab,rap1a,0.9944144
gnao1a,gnao1,0.9944108
rac1a,rac1,0.9943821
lhx9,lhx9,0.994381
copg2,copg2,0.99436575
pafah1b1b,pafah1b1,0.9943485
rab39ba,rab39b,0.9943427
xpo4,xpo4,0.9943311
eif4a1b,eif4a1,0.99432427
smyhc3,myh6,0.99431
klhl14,klhl14,0.99429834
mapkapk2a,mapkapk2,0.99429834
ahcyl1,ahcyl2,0.994285
GRIK1,grik1,0.99428225
ITPR1,itpr1,0.9942795
hmgcra,hmgcr,0.99426967
tomm70a,tomm70,0.99426216
atp2b4,atp2b4,0.99425817
gnb1a,gnb4,0.9942536
psmb3,psmb3,0.99425316
twist2,twist1,0.99424714
pygb,pygm,0.994246
trappc13,trappc13,0.994245
arl6,arl6,0.9942345
ap2b1,ap2b1,0.99423146
dnm2a,dnm2,0.9942124
cpsf3,cpsf3,0.9942035
rps16,rps16,0.9941953
clpxa,clpx,0.9941881
wnt3,wnt3,0.99418694
phka1b,phka1,0.99415416
u2af2a,u2af2,0.99415344
nsa2,nsa2,0.9941512
pygma,pygb,0.9941475
bzw1a,bzw1,0.9941454
afg3l2,afg3l2,0.9941451
ywhae1,ywhae,0.9941268
rps4x,rps4x,0.99412346
gabra2a,gabra2,0.994116
nt5c2a,nt5c2,0.9941091
pold1,pold1,0.99409497
ccz1,ccz1b,0.9940907
nlgn4xa,nlgn4x,0.99407625
kcna1a,kcna1,0.9940743
myl12.1,myl9,0.9940611
KLHL24,klhl24,0.9940482
ONECUT2,onecut2,0.99404246
tnni3k,tnni3k,0.9940371
tmem161b,tmem161b,0.9940281
smek1,ppp4r3a,0.99402124
rtf1,rtf1,0.9940079
RICTOR,rictor,0.99400485
romo1,romo1,0.9939923
cops2,cops2,0.9939903
abcg1,abcg1,0.99399
fermt2,fermt2,0.9939888
hsp70.3,hspa8,0.99398375
garnl3,garnl3,0.9939825
maea,maea,0.9939324
surf4,surf4.2,0.99391973
vcp,vcp,0.9939104
nr2e1,nr2e1,0.99389946
ift70,ift70a,0.99388003
kcnd1,kcnd1,0.9938759
slit2,slit2,0.99386764
ppp2r3c,ppp2r3c,0.99385744
ide,ide,0.9938374
slc6a4b,slc6a4l,0.9938343
gng7,gng7,0.99382603
marchf9,marchf9,0.9938225
mapkapk5,mapkapk5,0.9938189
prkcz,prkcz,0.9938174
lrrc8aa,lrrc8a,0.99379665
tfap2a,tfap2a,0.9937943
camk1b,camk1,0.99379414
polr2c,polr2c,0.9937275
kpna3,kpna4,0.9937164
exoc8,exoc8,0.9937063
camk2d2,camk2d,0.99368244
synj1,synj1,0.9936786
hdac4,hdac4,0.9936779
ap1g1,ap1g1,0.9936761
rbm8a,rbm8a,0.9936686
nckap1,nckap1,0.99364877
stk3,stk3,0.99364483
stx1b,stx1b,0.9936137
csnk1db,csnk1d,0.9935543
xpr1a,xpr1,0.9935537
LINGO1,lingo1,0.9935512
myo1eb,myo1e.2,0.9935457
hpcal4,hpcal4,0.9935439
mtrex,mtrex,0.9934995
adam10a,adam10,0.9934938
adcy6a,adcy6,0.99348795
cpne4b,cpne4,0.9934804
hyou1,hyou1,0.99347055
foxf1,foxf1,0.9934683
actn4,actn1,0.9934674
taf9,taf9b,0.9934672
arrdc3a,arrdc3,0.9934552
aldoaa,aldoa,0.9934456
vps26bl,vps26b,0.99344313
kcnh1a,kcnh1,0.99344265
fem1b,fem1b,0.99343103
ube3b,ube3b,0.993429
chd1,chd1,0.9934268
st8sia3,st8sia3,0.99342656
nat10,nat10,0.9934228
tmem184ba,tmem184b,0.9934013
arrb1,arrb1,0.99338984
cdc5l,cdc5l,0.9933873
trpm3,trpm3,0.99338627
CTBP1,ctbp1,0.9933861
hk2,hkdc1,0.9933763
slc12a4,slc12a6,0.9933759
ddx1,ddx1,0.99336433
grin1b,grin1,0.99335414
phb,phb1,0.9933467
snw1,snw1,0.99332356
stk38a,stk38,0.9933211
gpat4,gpat4,0.9933193
sdf4,sdf4,0.99331117
hcfc1b,hcfc1,0.9933076
KCNT1,kcnt2,0.9933048
mgat5,mgat5,0.9933032
vps29,vps29,0.99329156
rpl36,rpl36,0.9932899
gtf2b,gtf2b,0.9932897
grin2aa,grin2a,0.99328405
rps6ka2,rps6ka2,0.9932802
nkx2.4a,nkx2-4,0.9932697
capn7,capn7,0.99326724
celf2,celf2,0.9932632
iars1,iars1,0.9932616
tm9sf2,tm9sf2,0.9932432
ppp3ca,ppp3cc,0.993233
lrrc8c,lrrc8c,0.99321693
dhx9,dhx9,0.99319077
myo1f,myo1f,0.9931866
cacna1c,cacna1c,0.9931804
rfx4,rfx4,0.99317586
rrm1,rrm1,0.993175
pou4f1,pou4f1,0.9931682
ormdl2,ormdl2,0.9931445
zdhhc17,zdhhc17,0.99313277
unc13a,unc13a,0.99313194
nkx6.2,nkx6-2,0.9931296
RBFOX3,rbfox3,0.9931269
kpnb3,ipo5,0.99308604
barhl1b,barhl1,0.99306357
tpm2,tpm3,0.9930586
gnai2b,gnai2,0.9930468
tfcp2,tfcp2,0.99303854
sh3bp4a,sh3bp4,0.9930357
ap3m2,ap3m2,0.9930312
stat3,stat3.2,0.993022
slc7a2,slc7a2,0.99301946
rac2,rac2,0.9930175
hdac1,hdac2,0.9929994
vps11,vps11,0.9929956
lhx5,lhx5,0.9929659
csnk1da,csnk1e,0.99295944
abcf2a,ABCF2,0.9929431
lin7c,lin7b,0.99293894
rnf113a,rnf113a,0.9929356
nkx2.2a,nkx2-2,0.99293154
wdr48b,wdr48,0.9929303
traf4a,traf4,0.9929297
trappc3,trappc3,0.99291676
itgb1a,itgb1,0.99290824
acsl4a,acsl4,0.9929069
scn8aa,scn3a,0.9929027
lztr1,lztr1,0.9928977
castor2,castor2,0.99289626
EFR3B,efr3b,0.9928955
sox2,sox2,0.99288994
cacna2d3,cacna2d3,0.9928755
eed,eed,0.9928655
daam1b,daam1,0.99286544
smarcb1a,smarcb1,0.9928606
SLC6A13,slc6a13,0.99285966
nrxn1a,nrxn1,0.9928576
aco2,aco2,0.99285465
gosr1,gosr1,0.99284536
stt3a,stt3a,0.9928405
ddx46,ddx46,0.9928399
vac14,vac14,0.9928276
gdi2,gdi2,0.9928151
hsp90aa1.2,hsp90aa1.1,0.9928148
acer2,acer2,0.9927996
aco1,aco1,0.9927955
slc4a8,slc4a8,0.9927887
slc8a1a,slc8a1,0.9927843
actr1b,actr1a,0.9927771
ubqln4,ubqln4,0.99275285
wdr59,wdr59,0.9927487
rasgrf1,rasgrf1,0.99273866
glula,glull.1,0.9927383
pls3,pls3,0.9927333
rab11a,rab11a,0.9927305
ext2,ext2,0.9927156
zic4,zic4,0.9927155
pou4f2,pou4f2,0.992706
trappc11,trappc11,0.99269944
npc1,npc1,0.9926944
rer1,rer1,0.9926936
amy2a,amy2a,0.9926812
ctps1b,ctps1,0.9926806
kcnj2a,kcnj2,0.9926801
slc6a1b,XB5944457,0.9926729
thbs1b,thbs1,0.9926721
arhgap32b,arhgap32,0.9926705
cct3,cct3,0.9926633
tubgcp4,tubgcp4,0.99265367
slc25a22a,slc25a22l,0.9926422
cct4,cct4,0.9926413
rasa3,rasa3,0.9926381
prkacaa,prkaca,0.99260956
AMPD2,ampd2,0.99260616
hgd,hgd,0.9925968
btbd10b,btbd10,0.9925933
clip3,clip3,0.9925903
grb2a,grb2,0.9925855
SLC4A5,slc4a5,0.9925854
ptgs2b,ptgs2,0.9925803
mmp24,mmp24,0.9925719
dock5,dock5,0.99256897
otx5,crx,0.9925632
gtpbp1,gtpbp1,0.9925605
NARS1,nars1,0.9925601
rab7a,rab7a,0.99255913
col1a1a,col1a1,0.992554
ints13,ints13,0.9925512
eif3ba,eif3b,0.99254936
slc8a3,slc8a2,0.9925391
dyrk2,dyrk2,0.992534
ints4,ints4,0.99251777
prkcea,prkce,0.99251765
dgcr8,dgcr8,0.9925067
zgc:171772,rpl37a,0.99250454
ap1m2,ap1m2,0.9924931
pcsk2,pcsk2,0.9924925
sbds,sbds,0.9924918
mt-atp6,ATP6,0.99248004
sbf1,sbf1,0.9924745
hsp90b1,hsp90b1,0.99245393
ran,ran,0.9924459
slit1a,slit1,0.9924454
cyth1a,cyth2,0.99243116
shoc2,shoc2,0.99241483
gria3b,gria3,0.99239236
nampt1,nampt,0.9923851
cpeb4b,cpeb4,0.99237674
cdc45,cdc45,0.9923683
grm5b,grm5,0.9923602
srp54,srp54,0.99235433
rps6ka3a,rps6ka6,0.9923535
rab40c,rab40c,0.9923505
clcn6,clcn6,0.9923447
acaca,acaca,0.9923288
actl6a,actl6a,0.9923271
atp2c1,atp2c1,0.9923269
ahcy,ahcy,0.9923248
nr2f1a,nr2f1,0.99232054
DAB2IP,dab2ip,0.99231607
gnb1b,gnb1,0.9923079
mast1a,mast1,0.99230415
fam20cb,fam20c,0.9922992
six6a,six6,0.99229145
pi4kaa,pi4ka,0.9922897
metap2b,metap2,0.9922861
adgrl1a,adgrl1,0.99228096
prdm12b,prdm12,0.99227786
lrp2a,lrp2,0.99227387
hoxd3a,hoxd3,0.9922723
ywhaba,ywhab,0.9922688
rab6a,rab41,0.99226224
tgfbr1a,tgfbr1,0.99223244
sox5,sox5,0.9922256
ess2,ess2,0.9922152
PCDH11X,pcdh11x,0.9922147
smurf1,smurf1,0.9922125
ebf1b,ebf3,0.99220574
braf,braf,0.9922052
DOCK6,dock6,0.9921852
C1QL3,c1ql3,0.9921814
slc6a8,slc6a8,0.9921563
rims4,rims4,0.99215555
cnot8,cnot8,0.9921281
atp6v1c1a,atp6v1c1,0.9921019
slc6a17,slc6a17,0.99209774
nos1,nos1,0.99209183
rarab,rara,0.99209106
rock2a,rock2,0.992088
drosha,drosha,0.992087
wdr82,wdr82,0.9920743
golph3b,golph3,0.99207383
rpl17,rpl17,0.9920713
fzd10,fzd10,0.99205667
tmem63ba,TMEM63B,0.99205446
clcn7,clcn7,0.9920523
steep1,steep1,0.99204963
hoxc13a,HOXC13,0.99203855
pde6b,pde6b,0.9920378
cct7,cct7,0.992021
uggt1,uggt1,0.99202096
inpp4ab,inpp4a,0.992019
mccc2,mccc2,0.99201506
pitx3,pitx3,0.99201447
plk1,plk1,0.99200255
cog3,cog3,0.9919975
col11a1b,col5a3,0.9919972
slco3a1b,slco3a1,0.991996
mc5ra,mc5r,0.991993
xirp1,xirp1,0.99198973
slc6a2,slc6a2,0.99198776
hgs,hgs,0.9919749
fam76b,fam76b,0.99197453
flncb,flnc,0.9919728
taf2,taf2,0.9919658
tlk2,tlk1,0.9919657
hs6st1b,hs6st1,0.9919656
exoc3,exoc3,0.9919627
naa20,naa20,0.9919608
slc9a6a,slc9a6,0.9919498
bbs5,bbs5,0.99194133
rad50,rad50,0.9919381
pacrg,pacrg,0.99193746
cplx2b,cplx2,0.9919274
prpf38a,prpf38a,0.9919223
adarb1b,adarb1,0.99191797
loxl2b,loxl2,0.9919176
col9a2,col9a2,0.99190634
scp2a,scp2,0.9918774
adamts10,adamts10,0.9918611
htr5ab,htr5a,0.99185663
timm13,timm13,0.99185234
ptdss2,ptdss2,0.991836
cdk9,cdk9,0.99183106
srsf1b,srsf1,0.99183035
ube2l3b,ube2l3,0.991827
galnt1,galnt13,0.9918268
psmd11b,psmd11,0.99181473
ints14,ints14,0.9918142
neurod1,neurod1,0.99180543
vps33a,vps33a,0.99180126
fgfr2,fgfr2,0.99178106
mpc1,mpc1,0.99176383
pfkma,pfkm,0.99175423
rps26,rps26,0.9917516
usp14,usp14,0.99174786
EPS15L1,eps15l1,0.9917443
kat2b,kat2b,0.9917401
ap1s2,ap1s2,0.99172795
arl5a,arl5a,0.9917189
gng3,gng3,0.99171555
RPS17,rps17,0.99170643
imp3,imp3,0.99170274
slc25a25b,slc25a25,0.9916982
capn1a,capn11,0.991698
barhl2,barhl2,0.9916969
gclc,gclc,0.9916935
psmd1,psmd1,0.9916857
gfpt2,gfpt1,0.99168557
mt-co3,cox3,0.9916749
gria1a,gria1,0.99167204
tapt1b,tapt1,0.9916519
ube2d4,ube2d4,0.99164754
kcnd3,kcnd3,0.9916383
atp10a,atp10a,0.9916372
rpl7a,rpl7a,0.9916259
prrx1a,prrx1,0.99161816
wnt8b,wnt8b,0.9916178
sbf2,sbf2,0.9916117
bmp1a,bmp1,0.9916106
drg2,drg2,0.99160594
fxr1,fxr1,0.99160224
tnnc1a,tnnc1,0.99159855
ube2wb,ube2w,0.9915886
pde6a,pde6a,0.9915844
cacnb4a,cacnb4,0.99157935
trpc4apa,trpc4ap,0.9915786
slitrk3a,slitrk3,0.9915566
fbxl3l,fbxl21,0.9915544
mcm6,mcm6,0.99154854
pax6b,pax6,0.9915479
rasgef1ba,rasgef1b,0.9915454
puraa,pura,0.9915438
sbno1,sbno1,0.99153906
wnt9a,wnt9a,0.9915361
mtnr1ab,mtnr1a,0.99153197
atp11a,atp11a,0.9915308
acacb,acacb,0.9915098
cul4b,cul4b,0.9914975
dacha,dach2,0.9914904
wnt6b,wnt6,0.991485
ankfy1,ankfy1,0.991484
kcnd2,kcnd2,0.991473
nf1b,nf1,0.99146765
prox1a,prox1,0.99146354
ppp3ccb,ppp3ca,0.9914567
gabrb3,gabrb3,0.9914524
six2b,six2,0.9914516
pknox2,pknox2,0.99145
dipk2aa,dipk2a,0.99144715
zmynd8,zmynd8,0.9914379
ptdss1a,ptdss1,0.9914336
rfc3,rfc3,0.991433
foxf2a,foxf2,0.991424
med16,med16,0.99142325
gpm6aa,gpm6a,0.9914211
rab1ba,rab1a,0.99140596
dpysl2b,dpysl2,0.9914056
tubb1,TUBB1,0.9914032
stk38l,stk38l,0.99137723
kif1aa,kif1a,0.9913692
sec23b,sec23b,0.9913683
pi4k2a,pi4k2a,0.9913646
FAM120A,fam120a,0.9913614
hnf1ba,hnf1b,0.9913614
nlgn2b,nlgn2,0.9913558
clcn2b,clcn2,0.99133945
tbc1d9b,tbc1d9b,0.9913372
ogdhl,ogdhl,0.9913323
kcnh1b,kcnh5,0.99133074
ptprfa,ptprf,0.991322
fbxw11a,btrc,0.9913209
aldh18a1,aldh18a1,0.9913182
prkcdb,prkcd,0.9913146
prkci,prkci,0.99130934
cs,cs,0.99130803
gabarapl2,gabarapl2,0.991306
tlx1,tlx1,0.99130243
ccnyl1,ccny,0.9912999
rspry1,rspry1,0.9912928
ano2b,ano1,0.991281
suds3,suds3,0.99127907
septin10,septin6,0.9912687
tgfb2,tgfb2,0.9912471
PDE4B,pde4b,0.9912441
cdc42bpb,cdc42bpb,0.9912279
det1,det1,0.99122167
tpp2,tpp2,0.9912177
wdfy2,wdfy2,0.9912166
dis3,dis3,0.99120873
eya4,eya4,0.99120176
sec22bb,sec22b,0.99120027
foxa1,foxa1,0.99119323
b3gat1a,b3gat1,0.991179
pgam1a,pgam1,0.99117047
ubr5,ubr5,0.9911625
scfd1,scfd1,0.9911605
rhbdf1b,rhbdf1,0.9911603
pigk,pigk,0.9911498
adamts6,adamts6,0.9911365
dhx8,dhx8,0.9911218
dpydb,dpyd,0.9911158
dock11,dock11,0.99111193
kcmf1,kcmf1,0.99111104
C5H9orf78,c8h9orf78,0.99110544
uncx,uncx,0.9911028
otpb,otp,0.9910847
tp73,tp73,0.99108106
ptbp3,ptbp3,0.9910761
dapk1,dapk1,0.991072
cry3a,cry1,0.99107164
ankib1b,ankib1,0.99106145
serinc1,serinc1,0.99106014
cdk8,cdk8,0.9910567
rad54l,rad54l,0.9910404
ca8,ca8,0.9910382
olfm3a,olfm3,0.9910353
kif5c,kif5c,0.9910313
nfya,nfya,0.99102914
prkaa1,prkaa1,0.99102896
slc17a8,slc17a8,0.9910263
pias1a,pias1,0.9910208
actc2,acta4,0.9910177
kifap3a,kifap3,0.9910161
grid2,grid2,0.99101394
elavl3,elavl3,0.9910137
phaf1,phaf1,0.99100614
nr5a2,nr5a2,0.9910022
clcn4,clcn4,0.99099034
iqsec1b,iqsec1,0.9909855
skia,ski,0.9909855
stxbp2,stxbp2,0.99098307
olfml2a,olfml2a,0.9909789
abcg4a,abcg4,0.9909721
edil3a,edil3,0.9909701
slc1a2b,slc1a2,0.99096847
pmpca,pmpca,0.9909556
arcn1a,arcn1,0.9909532
zdhhc7,zdhhc7,0.9909478
oscp1b,oscp1,0.9909457
sptbn2,sptbn2,0.9909457
kcnk3a,KCNK3,0.9909407
zic3,zic3,0.99093753
srsf3b,srsf3,0.9909372
fzd7b,fzd7,0.99092543
sympk,sympk,0.9909194
dennd4c,dennd4c,0.99091595
ist1,ist1,0.9909128
cct5,cct5,0.9909108
dnajc27,dnajc27,0.9909089
pou4f3,pou4f3,0.9909057
pole,pole,0.99090374
megf10,megf10,0.99089044
alx4a,alx4,0.9908721
yes1,yes1,0.9908638
megf11,megf11,0.99086285
prdm5,prdm5,0.9908617
gsk3ba,gsk3b,0.9908608
slc25a12,slc25a12,0.9908459
col4a5,col4a5,0.99082786
nck1b,nck1,0.9908276
cpne7,cpne7,0.9908209
klhl31,klhl31,0.9908178
cachd1,cachd1,0.99081516
tbx2b,tbx2,0.99081004
hal,hal.2,0.9908078
lcp1,lcp1,0.99080664
slc17a6a,slc17a7,0.990782
plcxd3,plcxd3,0.99077785
maco1a,maco1,0.99077266
pcna,pcna,0.990761
peli1b,peli1,0.99075586
