chimpanzees gene name,gorillas gene name,correlation
PI4K2A,PI4K2A,1.0000005
PNOC,PNOC,1.0000005
PPIL3,PPIL3,1.0000005
PRR15L,PRR15L,1.0000005
RAB3B,RAB3B,1.0000005
RHBDL2,RHBDL2,1.0000005
RPL27,RPL27,1.0000005
RTCB,RTCB,1.0000005
SMG8,SMG8,1.0000005
STC1,STC1,1.0000005
STUB1,STUB1,1.0000005
TIGD4,TIGD4,1.0000005
TMEM183A,TMEM183A,1.0000005
TMEM248,TMEM248,1.0000005
TMEM258,TMEM258,1.0000005
TMEM35A,TMEM35A,1.0000005
UNC50,UNC50,1.0000005
VPS29,VPS29,1.0000005
WDR83OS,WDR83OS,1.0000005
YEATS4,YEATS4,1.0000005
B3GALT1,B3GALT1,1.0000004
B3GNT5,B3GNT5,1.0000004
BBOX1,BBOX1,1.0000004
CBLN1,CBLN1,1.0000004
CHP1,CHP1,1.0000004
CMTR1,CMTR1,1.0000004
CPLX2,CPLX2,1.0000004
CSTF2,CSTF2,1.0000004
DHRS3,DHRS3,1.0000004
DMC1,DMC1,1.0000004
DNASE1L1,DNASE1L1,1.0000004
DOLK,DOLK,1.0000004
EIF5A2,EIF5A2,1.0000004
ETFRF1,ETFRF1,1.0000004
FAM110D,FAM110D,1.0000004
GADD45A,GADD45A,1.0000004
GFRA1,GFRA1,1.0000004
GNG11,GNG11,1.0000004
GRIN2B,GRIN2B,1.0000004
GRPEL1,GRPEL1,1.0000004
H2AC6,H2AC6,1.0000004
KCNK12,KCNK12,1.0000004
MAL,MAL,1.0000004
MAPK1IP1L,MAPK1IP1L,1.0000004
MOSPD1,MOSPD1,1.0000004
NR1H2,NR1H2,1.0000004
PCTP,PCTP,1.0000004
POLR3K,POLR3K,1.0000004
PPP2R5A,PPP2R5A,1.0000004
PRADC1,PRADC1,1.0000004
PSMC2,PSMC2,1.0000004
PSMD13,PSMD13,1.0000004
PSME2,PSME2,1.0000004
PTGER4,PTGER4,1.0000004
RBM18,RBM18,1.0000004
RNF166,RNF166,1.0000004
RPS26,RPS26,1.0000004
RTF1,RTF1,1.0000004
S100A11,S100A11,1.0000004
SARM1,SARM1,1.0000004
SERTM2,SERTM2,1.0000004
SLC39A2,SLC39A2,1.0000004
TGFB3,TGFB3,1.0000004
TMED1,TMED1,1.0000004
TMEM9B,TMEM9B,1.0000004
TNNC2,TNNC2,1.0000004
TXNL4A,TXNL4A,1.0000004
VAPB,VAPB,1.0000004
VSNL1,VSNL1,1.0000004
VWC2,VWC2,1.0000004
WFDC10A,WFDC10A,1.0000004
ZNF580,ZNF580,1.0000004
ABRACL,ABRACL,1.0000002
AMIGO2,AMIGO2,1.0000002
ARL8B,ARL8B,1.0000002
ATOH7,ATOH7,1.0000002
AZIN1,AZIN1,1.0000002
C16H16orf87,C16orf87,1.0000002
C2orf69,C2orf69,1.0000002
CD151,CD151,1.0000002
CHMP5,CHMP5,1.0000002
CRK,CRK,1.0000002
DDI2,DDI2,1.0000002
EMC7,EMC7,1.0000002
ENC1,ENC1,1.0000002
FLOT1,FLOT1,1.0000002
FOS,FOS,1.0000002
FOSL1,FOSL1,1.0000002
GLO1,GLO1,1.0000002
GNGT1,GNGT1,1.0000002
GSKIP,GSKIP,1.0000002
H2BC11,H2BC11,1.0000002
H3C13,H3C14,1.0000002
HAPSTR1,HAPSTR1,1.0000002
HCRTR1,HCRTR1,1.0000002
HILPDA,HILPDA,1.0000002
HSPB6,HSPB6,1.0000002
HTR1E,HTR1E,1.0000002
JMJD6,JMJD6,1.0000002
KLF15,KLF15,1.0000002
KPNB1,KPNB1,1.0000002
MAT2A,MAT2A,1.0000002
MDK,MDK,1.0000002
MRPS17,MRPS17,1.0000002
MTCH2,MTCH2,1.0000002
NAB2,NAB2,1.0000002
NDUFA1,NDUFA1,1.0000002
NUF2,NUF2,1.0000002
OAZ1,OAZ1,1.0000002
PABPC4,PABPC4,1.0000002
PIRT,PIRT,1.0000002
PITX1,PITX1,1.0000002
PLK2,PLK2,1.0000002
PNMA1,PNMA1,1.0000002
PPM1A,PPM1A,1.0000002
PRPF31,PRPF31,1.0000002
RBP4,RBP4,1.0000002
RIC1,RIC1,1.0000002
RNF208,RNF208,1.0000002
RPL32,RPL32,1.0000002
RRM1,RRM1,1.0000002
S100A4,S100A4,1.0000002
SAP30L,SAP30L,1.0000002
SELENOT,SELENOT,1.0000002
SERTAD3,SERTAD3,1.0000002
SIGMAR1,SIGMAR1,1.0000002
SIM2,SIM2,1.0000002
SLC16A13,SLC16A13,1.0000002
STMP1,STMP1,1.0000002
TEFM,TEFM,1.0000002
TENT5B,TENT5B,1.0000002
THOC5,THOC5,1.0000002
TMEM160,TMEM160,1.0000002
ZNF24,ZNF24,1.0000002
ABCF3,ABCF3,1.0000001
ANKRA2,ANKRA2,1.0000001
ANKRD1,ANKRD1,1.0000001
AP3M1,AP3M1,1.0000001
ARG2,ARG2,1.0000001
ATP5F1C,ATP5F1C,1.0000001
BATF,BATF,1.0000001
CALML3,CALML3,1.0000001
CELF4,CELF4,1.0000001
CLDN10,CLDN10,1.0000001
CPNE9,CPNE9,1.0000001
CTLA4,CTLA4,1.0000001
CYP26B1,CYP26B1,1.0000001
CYRIA,CYRIA,1.0000001
DDX39A,DDX39A,1.0000001
DRD1,DRD1,1.0000001
EDC3,EDC3,1.0000001
EIF1,EIF1,1.0000001
FAM110A,FAM110A,1.0000001
GIPC1,GIPC1,1.0000001
GLUL,GLUL,1.0000001
GRB2,GRB2,1.0000001
H2AC21,H2AC21,1.0000001
H2BC17,H2BC17,1.0000001
HSPBP1,HSPBP1,1.0000001
IFITM1,IFITM1,1.0000001
ING2,ING2,1.0000001
INSYN1,INSYN1,1.0000001
ISL2,ISL2,1.0000001
KCNJ13,KCNJ13,1.0000001
KLF3,KLF3,1.0000001
LDHAL6A,LDHAL6A,1.0000001
LRRC1,LRRC1,1.0000001
MAB21L2,MAB21L2,1.0000001
MAP3K8,MAP3K8,1.0000001
MPV17L2,MPV17L2,1.0000001
NRAS,NRAS,1.0000001
OSTF1,OSTF1,1.0000001
PFDN5,PFDN5,1.0000001
PROKR1,PROKR1,1.0000001
PRRG3,PRRG3,1.0000001
RAB14,RAB14,1.0000001
RAB3C,RAB3C,1.0000001
RAB43,RAB43,1.0000001
RADX,RADX,1.0000001
RNASE7,RNASE7,1.0000001
RNF11,RNF11,1.0000001
RPLP2,RPLP2,1.0000001
S100A16,S100A16,1.0000001
SCNN1G,SCNN1G,1.0000001
SF3A1,SF3A1,1.0000001
SLC39A8,SLC39A8,1.0000001
SST,SST,1.0000001
STK17B,STK17B,1.0000001
SYF2,SYF2,1.0000001
TENT5C,TENT5C,1.0000001
TFAP2D,TFAP2D,1.0000001
TIMP3,TIMP3,1.0000001
TRIAP1,TRIAP1,1.0000001
TRIM40,TRIM40,1.0000001
TRMT61A,TRMT61A,1.0000001
WDR45B,WDR45B,1.0000001
YWHAH,YWHAH,1.0000001
ZBTB26,ZBTB26,1.0000001
ZNF319,ZNF319,1.0000001
ZRANB2,ZRANB2,1.0000001
ABHD4,ABHD4,1.0
ADORA2B,ADORA2B,1.0
AMD1,AMD1,1.0
AMMECR1L,AMMECR1L,1.0
ATG14,ATG14,1.0
ATP1B2,ATP1B2,1.0
CCND2,CCND2,1.0
CD53,CD53,1.0
CDC42SE2,CDC42SE2,1.0
CDK8,CDK8,1.0
CLDN1,CLDN1,1.0
COMMD8,COMMD8,1.0
CPEB4,CPEB4,1.0
DEF6,DEF6,1.0
DEFB123,DEFB123,1.0
DKC1,DKC1,1.0
GHSR,GHSR,1.0
GPR4,GPR4,1.0
IER2,IER2,1.0
IER3IP1,IER3IP1,1.0
INIP,INIP,1.0
KBTBD6,KBTBD6,1.0
LASP1NB,LASP1NB,1.0
LSM2,LSM2,1.0
MED20,MED20,1.0
MOGS,MOGS,1.0
MTF2,MTF2,1.0
NEFL,NEFL,1.0
OTOS,OTOS,1.0
PITPNB,PITPNB,1.0
PLRG1,PLRG1,1.0
PPM1K,PPM1K,1.0
RPL11,RPL11,1.0
SAP18,SAP18,1.0
SDHB,SDHB,1.0
SERTM1,SERTM1,1.0
SMIM30,SMIM30,1.0
SMIM35,SMIM35,1.0
SNW1,SNW1,1.0
TMEM35B,TMEM35B,1.0
TMUB1,TMUB1,1.0
TPPP3,TPPP3,1.0
UBLCP1,UBLCP1,1.0
UQCR10,UQCR10,1.0
WIPF2,WIPF2,1.0
ZBTB6,ZBTB6,1.0
CDK4,CDK4,0.99999994
CHST3,CHST3,0.99999994
CRYAB,CRYAB,0.99999994
DNAJA1,DNAJA1,0.99999994
H2BC5,H2BC5,0.99999994
INSIG2,INSIG2,0.99999994
KLHL15,KLHL15,0.99999994
LAMTOR3,LAMTOR3,0.99999994
LAP3,LAP3,0.99999994
MBTD1,MBTD1,0.99999994
NUDT3,NUDT3,0.99999994
SELENOK,SELENOK,0.99999994
SSTR1,SSTR1,0.99999994
TMEM215,TMEM215,0.99999994
WWTR1,WWTR1,0.99999994
YIPF5,YIPF5,0.99999994
ZNF22,ZNF22,0.99999994
CHAD,CHAD,0.9999999
CHIC2,CHIC2,0.9999999
DHX15,DHX15,0.9999999
EMC8,EMC8,0.9999999
ENHO,ENHO,0.9999999
EPGN,EPGN,0.9999999
GYS2,GYS2,0.9999999
IGIP,IGIP,0.9999999
KDELR3,KDELR3,0.9999999
LYN,LYN,0.9999999
MCRS1,MCRS1,0.9999999
NAPB,NAPB,0.9999999
NDUFAB1,NDUFAB1,0.9999999
NKAIN1,NKAIN1,0.9999999
PPP1R11,PPP1R11,0.9999999
PPP2CB,PPP2CB,0.9999999
PRCC,PRCC,0.9999999
RING1,RING1,0.9999999
S100A6,S100A6,0.9999999
SEC23A,SEC23A,0.9999999
SLC35E3,SLC35E3,0.9999999
SNORC,SNORC,0.9999999
SRA1,SRA1,0.9999999
TCF24,TCF24,0.9999999
TMEM39A,TMEM39A,0.9999999
TMEM98,TMEM98,0.9999999
WFDC2,WFDC2,0.9999999
ZBTB34,ZBTB34,0.9999999
ATP6V0E1,ATP6V0E1,0.9999998
B3GNT2,B3GNT2,0.9999998
B4GAT1,B4GAT1,0.9999998
CST8,CST8,0.9999998
CTCF,CTCF,0.9999998
CTDNEP1,CTDNEP1,0.9999998
CTDSP1,CTDSP1,0.9999998
CTNNA1,CTNNA1,0.9999998
EIF2S1,EIF2S1,0.9999998
FBXL3,FBXL3,0.9999998
FGF1,FGF1,0.9999998
FOXN3,FOXN3,0.9999998
GPR87,GPR87,0.9999998
KCNE3,KCNE3,0.9999998
KCNG3,KCNG3,0.9999998
KDM1A,KDM1A,0.9999998
LHFPL5,LHFPL5,0.9999998
LRRC57,LRRC57,0.9999998
LYPD1,LYPD1,0.9999998
MED27,MED27,0.9999998
NRGN,NRGN,0.9999998
PAIP2B,PAIP2B,0.9999998
PIP4P1,PIP4P1,0.9999998
PSAT1,PSAT1,0.9999998
RPS28,RPS28,0.9999998
SEC61A1,SEC61A1,0.9999998
SLC25A5,SLC25A5,0.9999998
SMIM6,SMIM6,0.9999998
SNRPC,SNRPC,0.9999998
SUPT4H1,SUPT4H1,0.9999998
TAFA1,TAFA1,0.9999998
TCEANC2,TCEANC2,0.9999998
TMED10,TMED10,0.9999998
TNNC1,TNNC1,0.9999998
TWSG1,TWSG1,0.9999998
WNT8B,WNT8B,0.9999998
XPO7,XPO7,0.9999998
ALX1,ALX1,0.99999976
ANKRD13C,ANKRD13C,0.99999976
ARL8A,ARL8A,0.99999976
CHTOP,CHTOP,0.99999976
CIB4,CIB4,0.99999976
GNG12,GNG12,0.99999976
GNG7,GNG7,0.99999976
GPR63,GPR63,0.99999976
INO80D,INO80D,0.99999976
ITM2A,ITM2A,0.99999976
KCNS2,KCNS2,0.99999976
KCTD21,KCTD21,0.99999976
KRTAP22-2,KRTAP22-2,0.99999976
MRPL14,MRPL14,0.99999976
NIPSNAP1,NIPSNAP1,0.99999976
PIGU,PIGU,0.99999976
PKIA,PKIA,0.99999976
PLPP7,PLPP7,0.99999976
RGS8,RGS8,0.99999976
RPL30,RPL30,0.99999976
S100G,S100G,0.99999976
S1PR1,S1PR1,0.99999976
SEC61G,SEC61G,0.99999976
SELENOM,SELENOM,0.99999976
SLC25A6,SLC25A6,0.99999976
SNX10,SNX10,0.99999976
TIMM10B,TIMM10B,0.99999976
TPP2,TPP2,0.99999976
TXN,TXN,0.99999976
VBP1,VBP1,0.99999976
YIPF6,YIPF6,0.99999976
ZNF326,ZNF326,0.99999976
ZNF367,ZNF367,0.99999976
AQP5,AQP5,0.9999997
ARF6,ARF6,0.9999997
C4H4orf46,C4orf46,0.9999997
CALM3,CALM3,0.9999997
CCDC126,CCDC126,0.9999997
CCL16,CCL16,0.9999997
CNN3,CNN3,0.9999997
CXCR5,CXCR5,0.9999997
FEV,FEV,0.9999997
GABRB1,GABRB1,0.9999997
GNMT,GNMT,0.9999997
HSPB1,HSPB1,0.9999997
IDH2,IDH2,0.9999997
ITM2B,ITM2B,0.9999997
KCNA1,KCNA1,0.9999997
KCTD4,KCTD4,0.9999997
MDFIC2,MDFIC2,0.9999997
MSMO1,MSMO1,0.9999997
NAA35,NAA35,0.9999997
NPY5R,NPY5R,0.9999997
PGAP4,PGAP4,0.9999997
PLAC8,PLAC8,0.9999997
POU4F3,POU4F3,0.9999997
PPP1R17,PPP1R17,0.9999997
RAB25,RAB25,0.9999997
RABAC1,RABAC1,0.9999997
RABL3,RABL3,0.9999997
RASL10B,RASL10B,0.9999997
RGCC,RGCC,0.9999997
SERP1,SERP1,0.9999997
SHOC2,SHOC2,0.9999997
SLC23A2,SLC23A2,0.9999997
SRPX,SRPX,0.9999997
TEX30,TEX30,0.9999997
TTC9C,TTC9C,0.9999997
VCL,VCL,0.9999997
ZDHHC21,ZDHHC21,0.9999997
ZMAT2,ZMAT2,0.9999997
ARMC1,ARMC1,0.99999964
ATP6V1G1,ATP6V1G1,0.99999964
CHCHD4,CHCHD4,0.99999964
CLDN18,CLDN18,0.99999964
CNRIP1,CNRIP1,0.99999964
CTDSP2,CTDSP2,0.99999964
GADD45G,GADD45G,0.99999964
GAPDH,GAPDH,0.99999964
GLRB,GLRB,0.99999964
GNAI3,GNAI3,0.99999964
GSX1,GSX1,0.99999964
H2BC3,H2BC3,0.99999964
KATNBL1,KATNBL1,0.99999964
KCNMB4,KCNMB4,0.99999964
KRTAP6-2,KRTAP6-2,0.99999964
LYNX1,LYNX1,0.99999964
OST4,OST4,0.99999964
PFDN1,PFDN1,0.99999964
PHF19,PHF19,0.99999964
POLR2I,POLR2I,0.99999964
