mice gene name,pig gene name,correlation
Git1,GIT1,0.9986376
Ncbp3,NCBP3,0.9986346
Cyld,CYLD,0.9986334
Fibp,FIBP,0.9986264
Fosl2,FOSL2,0.9986241
Ebf1,EBF1,0.99862254
Ubr1,UBR1,0.99862045
Cdan1,CDAN1,0.99861616
Mafa,MAFA,0.9986139
Smarcd3,SMARCD3,0.9986132
Gng4,GNG4,0.99860615
Ambra1,AMBRA1,0.9986034
Diras2,DIRAS2,0.9985966
Plcg2,PLCG2,0.9985945
Grm3,GRM3,0.9985901
Gm2115,CTXND1,0.9985865
Strap,STRAP,0.998584
Ksr2,KSR2,0.9985807
Hnf4g,HNF4G,0.9985605
Adcy5,ADCY5,0.9985548
Id4,ID4,0.99855304
Map3k9,MAP3K9,0.9985529
Fbxw7,FBXW7,0.9985517
Ppp2r3c,PPP2R3C,0.99854934
mt-Co1,COX1,0.9985432
Hoxc10,HOXC10,0.99853647
Gpr85,GPR85,0.9985326
Tmem185a,TMEM185A,0.9985297
Sos1,SOS1,0.9985293
Barhl2,BARHL2,0.99852705
Jag1,JAG1,0.99852556
Fzd7,FZD7,0.99852145
Gpc6,GPC6,0.9985108
Npas4,NPAS4,0.9985093
Tecta,TECTA,0.9985059
Wdr24,WDR24,0.99850166
Atp1a3,ATP1A3,0.9984992
Col2a1,COL2A1,0.99849594
Cpsf2,CPSF2,0.9984952
Kcnh2,KCNH2,0.99849135
Ino80,INO80,0.9984892
Slc9a5,SLC9A5,0.99848366
Hs6st1,HS6ST1,0.9984835
Ets1,ETS1,0.9984831
Gabra5,GABRA5,0.9984765
Fitm1,FITM1,0.99847335
Pde6g,PDE6G,0.9984597
Copb2,COPB2,0.9984573
Rnf5,RNF5,0.99845517
Thbs1,THBS1,0.998452
Eef2,EEF2,0.99845153
Psmd7,PSMD7,0.9984478
Klhdc2,KLHDC2,0.9984459
Ilf2,ILF2,0.9984413
Msn,MSN,0.9984399
Npy1r,NPY1R,0.99843115
Usp31,USP31,0.99843013
Card11,CARD11,0.99842966
Slc9a1,SLC9A1,0.9984296
Cnga2,CNGA2,0.99842924
Ubtd1,UBTD1,0.9984113
Stip1,STIP1,0.99841046
Usp24,USP24,0.99840516
Map1lc3a,MAP1LC3A,0.9984042
Ahdc1,AHDC1,0.99839985
Tlnrd1,TLNRD1,0.99839765
Lrfn3,LRFN3,0.9983864
Rnf11,RNF11,0.99838555
Kcnj9,KCNJ9,0.99838334
Map4k5,MAP4K5,0.99838114
Kif3b,KIF3B,0.99838066
Map4k3,MAP4K3,0.9983796
Pdp1,PDP1,0.9983792
Xpo7,XPO7,0.9983773
Gm10131,ERH,0.99836874
Fbxo41,FBXO41,0.9983684
Ints6,INTS6,0.99836534
Clp1,CLP1,0.9983621
Bdnf,BDNF,0.9983591
Ormdl1,ORMDL1,0.998359
Hif1an,HIF1AN,0.9983575
Syn1,SYN1,0.9983544
Hectd1,HECTD1,0.9983496
Rfx4,RFX4,0.9983358
Lrp4,LRP4,0.9983303
Dsp,DSP,0.998327
Nr1d1,NR1D1,0.9983236
Sgsm2,SGSM2,0.9983219
Scn9a,SCN9A,0.9983199
Mc4r,MC4R,0.99831975
Atad1,ATAD1,0.9983186
Barx1,BARX1,0.9983138
Rab33a,RAB33A,0.9983081
Unc5c,UNC5C,0.9983075
Casr,CASR,0.9982971
Plxna4,PLXNA4,0.9982969
Fam122a,PABIR1,0.99829376
Prpf4,PRPF4,0.9982931
Ddx25,DDX25,0.9982897
Kcnj4,KCNJ4,0.9982864
Abhd13,ABHD13,0.9982858
Cacnb4,CACNB4,0.9982853
Aqr,AQR,0.99827737
Egln3,EGLN3,0.9982736
Cdh2,CDH2,0.9982666
Sema6d,SEMA6D,0.9982618
Socs7,SOCS7,0.998257
Cnksr2,CNKSR2,0.99825597
Slc5a3,SLC5A3,0.99825233
Kctd6,KCTD6,0.9982513
Tssk2,TSSK2,0.99825007
Cps1,CPS1,0.998249
Vps18,VPS18,0.99824667
Igf1r,IGF1R,0.99823886
Prkaa2,PRKAA2,0.9982373
Evx2,EVX2,0.99823725
Pelo,PELO,0.9982322
Erc1,ERC1,0.9982319
Chsy1,CHSY1,0.9982259
Aifm3,AIFM3,0.99821997
Hes1,HES1,0.9982191
Ubb,UBB,0.9982183
Sesn2,SESN2,0.9982176
Zbtb2,ZBTB2,0.99821633
Fgf16,FGF16,0.9982134
Sos2,SOS2,0.998213
Dr1,DR1,0.99820197
Gm2000,RPL35,0.99820197
Ccnk,CCNK,0.9982017
Adcy1,ADCY1,0.99819577
Doc2b,DOC2B,0.9981914
Mt4,MT4,0.9981862
Klhl11,KLHL11,0.9981861
Gm21985,SLC12A6,0.9981834
Fat4,FAT4,0.9981778
Stat5b,STAT5B,0.9981759
Rpl26,RPL26,0.99817336
Runx1t1,RUNX1T1,0.99817127
Gabrg2,GABRG2,0.998166
Ehd4,EHD4,0.99816537
Hmx3,HMX3,0.99816394
H1f0,H1-0,0.99815077
Plk2,PLK2,0.9981483
Foxk2,FOXK2,0.9981481
Chmp7,CHMP7,0.9981436
Syt12,SYT12,0.9981407
Sst,SST,0.9981369
Kcnh8,KCNH8,0.9981349
Hs3st5,HS3ST5,0.99813324
Tbc1d8b,TBC1D8B,0.99813247
Pde6b,PDE6B,0.99812245
Itga11,ITGA11,0.9981199
Gna11,GNA11,0.998119
Zbtb16,ZBTB16,0.998114
Ugt8a,UGT8,0.99811
Ctxn1,CTXN1,0.9981096
Sorcs3,SORCS3,0.99810493
Sfpq,SFPQ,0.99809885
Ehd3,EHD3,0.9980951
Dmrta2,DMRTA2,0.99809057
Msx2,MSX2,0.99807847
Prr7,PRR7,0.99807847
Klhl21,KLHL21,0.99807703
Ppfia3,PPFIA3,0.9980752
Nkrf,NKRF,0.9980748
Grm1,GRM1,0.99807376
Gem,GEM,0.99806905
Prickle2,PRICKLE2,0.99806297
Spry2,SPRY2,0.9980544
Asic1,ASIC1,0.9980532
Flrt1,FLRT1,0.9980516
Bgn,BGN,0.99804986
Fam171a2,FAM171A2,0.99804556
Ehd1,EHD1,0.998045
Tbx3,TBX3,0.99804354
Fbn2,FBN2,0.99804026
Dok6,DOK6,0.9980385
Erbb4,ERBB4,0.9980363
Rtf1,RTF1,0.998035
Armc1,ARMC1,0.9980305
Rnd2,RND2,0.99802953
Grcc10,C12orf57,0.9980284
Nexmif,NEXMIF,0.99802494
Mab21l1,MAB21L1,0.9980247
Pcif1,PCIF1,0.99802107
Vps39,VPS39,0.9980207
Ppp3ca,PPP3CA,0.99801785
Cldn11,CLDN11,0.99801385
Cdh9,CDH9,0.998012
Pcdh20,PCDH20,0.9980097
Six3,SIX3,0.99800754
Smo,SMO,0.9980053
Celf1,CELF1,0.9979902
Dok5,DOK5,0.9979898
Timm8a1,TIMM8A,0.99798924
Hoxc11,HOXC11,0.9979886
Ctnnd1,CTNND1,0.99798816
Zbtb7c,ZBTB7C,0.9979845
Rapgef2,RAPGEF2,0.9979836
Lmx1b,LMX1B,0.9979812
Hspa1b,HSP70.2,0.9979777
Ankrd17,ANKRD17,0.99797755
Chd5,CHD5,0.99797505
Rprm,RPRM,0.9979738
Cldn9,CLDN9,0.9979716
Cdk12,CDK12,0.9979707
Osbp,OSBP,0.9979707
Trim9,TRIM9,0.99796635
Mmp24,MMP24,0.9979662
Siah2,SIAH2,0.9979658
Pik3cg,PIK3CG,0.9979652
Bsx,BSX,0.99796283
Jakmip3,JAKMIP3,0.99795276
Mcc,MCC,0.99794626
Mex3c,MEX3C,0.9979334
Ptpn11,PTPN11,0.9979327
C1ql4,C1QL4,0.9979275
Unc45b,UNC45B,0.9979271
Phka1,PHKA1,0.9979266
Smc3,SMC3,0.9979216
Dtx1,DTX1,0.99791926
C1ql1,C1QL1,0.99791723
Pskh1,PSKH1,0.99791616
Tbx2,TBX2,0.99790764
Foxd2,FOXD2,0.99789697
Grin3a,GRIN3A,0.99789566
Creb3l1,CREB3L1,0.9978935
Irs1,IRS1,0.99788123
Fzd4,FZD4,0.99787825
Snx33,SNX33,0.997878
Gid4,GID4,0.9978774
Thsd7a,THSD7A,0.99787694
Chrm4,CHRM4,0.99787676
Fgf8,FGF8,0.99786925
Junb,JUNB,0.99786824
Ppp1r16b,PPP1R16B,0.9978665
Gucy1b1,GUCY1B1,0.9978657
Abcf2,ABCF2,0.9978603
Brd8,BRD8,0.9978597
Zdhhc2,ZDHHC2,0.99785966
Zfp653,ZNF653,0.99785614
Mta2,MTA2,0.99785364
Erg,ERG,0.9978449
Cntn3,CNTN3,0.9978433
Atp2a3,ATP2A3,0.9978418
Zfp146,ZNF146,0.9978388
Kcnq3,KCNQ3,0.99783623
Adcy2,ADCY2,0.99783504
Gpr158,GPR158,0.99782956
Tmem258,TMEM258,0.997829
Kif4,KIF4A,0.9978281
Ttc9b,TTC9B,0.9978271
Fzd5,FZD5,0.99781436
Hsf5,HSF5,0.997808
Sfn,SFN,0.9978056
Ampd2,AMPD2,0.9978046
B3gat1,B3GAT1,0.9978024
Btk,BTK,0.99779916
Ppfia2,PPFIA2,0.99779224
Klhl3,KLHL3,0.9977917
Appbp2,APPBP2,0.9977908
B3galnt1,B3GALNT1,0.9977885
Kcnq4,KCNQ4,0.99778825
Nkx6-1,NKX6-1,0.9977845
Mchr1,MCHR1,0.99778324
Cggbp1,CGGBP1,0.9977776
Tnfaip1,TNFAIP1,0.99777734
Col5a2,COL5A2,0.99777263
Vav1,VAV1,0.9977688
Mllt6,MLLT6,0.997767
Fzd9,FZD9,0.99776065
Pcdh10,PCDH10,0.99776053
Imp3,IMP3,0.997752
Eif1b,EIF1B,0.9977507
Ebf3,EBF3,0.9977492
Rps6ka1,RPS6KA1,0.99774736
Bmp5,BMP5,0.99774706
Mip,MIP,0.9977392
Dyrk1b,DYRK1B,0.997739
Mafk,MAFK,0.99773884
Itpr3,ITPR3,0.9977377
Klhdc8a,KLHDC8A,0.9977323
Peli1,PELI1,0.997731
Zdhhc18,ZDHHC18,0.9977278
Kcns3,KCNS3,0.99772173
Syf2,SYF2,0.9977214
Meis2,MEIS2,0.99772066
Skor1,SKOR1,0.99771535
Insm1,INSM1,0.99771374
Api5,API5,0.99771184
Sox12,SOX12,0.9977095
Ctr9,CTR9,0.9977075
Agtr2,AGTR2,0.9977068
Zfp362,ZNF362,0.9976979
Ctnnbip1,CTNNBIP1,0.99769783
Vax1,VAX1,0.9976944
Noc3l,NOC3L,0.9976941
Prpf38a,PRPF38A,0.9976891
Pgm5,PGM5,0.99768835
Agap2,AGAP2,0.9976866
Grm6,GRM6,0.9976864
Zbtb26,ZBTB26,0.9976824
Hoxa11,HOXA11,0.9976801
Trpv3,TRPV3,0.9976789
Hcrtr2,HCRTR2,0.99767727
Lrfn2,LRFN2,0.9976754
Atp1a1,ATP1A1,0.9976598
Vps72,VPS72,0.9976556
Hoxd11,HOXD11,0.99764913
Tssk3,TSSK3,0.9976489
Gdf5,GDF5,0.99764675
Alx1,ALX1,0.99764436
Josd1,JOSD1,0.9976367
Skor2,SKOR2,0.99763143
Hcn4,HCN4,0.9976308
Fnbp1l,FNBP1L,0.99762356
Tent5c,TENT5C,0.9976219
Ptprt,PTPRT,0.99761957
Scube3,SCUBE3,0.99761456
Fam131b,FAM131B,0.99761254
Epb41l4a,EPB41L4A,0.99760705
Sp6,SP6,0.99760693
Fbxl15,FBXL15,0.99760455
Vps50,VPS50,0.9975987
Polr3h,POLR3H,0.9975943
Rasip1,RASIP1,0.99758637
Tafa2,TAFA2,0.99758613
Nup155,NUP155,0.99758554
Rnf130,RNF130,0.99757755
Ash1l,ASH1L,0.99757385
Map3k3,MAP3K3,0.9975735
Abca12,ABCA12,0.9975714
Hacd2,HACD2,0.9975685
Nlgn3,NLGN3,0.9975653
Ssr3,SSR3,0.99756306
Angel1,ANGEL1,0.9975621
Gm50388,B4GAT1,0.99755275
Kcnip1,KCNIP1,0.99755204
Mfsd5,MFSD5,0.99754894
Lhx6,LHX6,0.9975446
Emc6,EMC6,0.9975403
Fut8,FUT8,0.9975392
Fgf17,FGF17,0.997538
Cdkl5,CDKL5,0.9975373
Gpr4,GPR4,0.9975355
Cdh12,CDH12,0.9975315
Tafa5,TAFA5,0.99753016
Trpv4,TRPV4,0.99752694
Kctd13,KCTD13,0.99752474
Bcl6,BCL6,0.9975213
Elmod1,ELMOD1,0.9975175
Hnrnpa1,HNRNPA1,0.9975168
Cherp,CHERP,0.9975158
Pick1,PICK1,0.9975057
Tubgcp4,TUBGCP4,0.99750394
Nek9,NEK9,0.9974985
Nelfcd,NELFCD,0.99748826
Hcn3,HCN3,0.9974863
Sash3,SASH3,0.9974853
Lim2,LIM2,0.997485
Msx1,MSX1,0.9974708
Grm5,GRM5,0.99745923
Pip5k1b,PIP5K1B,0.99745214
Gtsf1,GTSF1,0.99744916
Sh3pxd2a,SH3PXD2A,0.99744713
Onecut3,ONECUT3,0.9974453
Cebpe,CEBPE,0.9974269
Sec61g,SEC61G,0.9974224
Lef1,LEF1,0.9974191
Calhm2,CALHM2,0.99741507
Steap2,STEAP2,0.99740887
Ldlrad3,LDLRAD3,0.9974079
Vps28,VPS28,0.9974068
Hic1,HIC1,0.9974065
Klhl40,KLHL40,0.9974059
Gphn,GPHN,0.9974029
Wnt2b,WNT2B,0.99740165
Mios,MIOS,0.997397
Zer1,ZER1,0.99738836
Nos3,NOS3,0.99738824
Ugcg,UGCG,0.9973828
Kcnv1,KCNV1,0.9973795
Cnot6,CNOT6,0.9973781
Smg7,SMG7,0.99737227
Agfg1,AGFG1,0.99736863
Gatm,GATM,0.9973647
Otud5,OTUD5,0.9973628
Dysf,DYSF,0.9973609
Slc8a1,SLC8A1,0.99735904
Dolk,DOLK,0.99735343
Hoxb13,HOXB13,0.9973525
Tph2,TPH2,0.99735075
Otogl,OTOGL,0.9973503
Ess2,ESS2,0.9973476
Sema5a,SEMA5A,0.99734724
Flrt2,FLRT2,0.9973464
Pfkfb3,PFKFB3,0.99734396
Strip1,STRIP1,0.99734116
Grhl3,GRHL3,0.99734
Akt3,AKT3,0.99733925
Cog3,COG3,0.9973364
Scn4a,SCN4A,0.99733615
Rpl15,RPL15,0.9973307
Tent5a,TENT5A,0.99732274
Kcnb2,KCNB2,0.9973217
Capn6,CAPN6,0.99732107
Wnt9b,WNT9B,0.99732035
Edem3,EDEM3,0.9973181
Mtmr3,MTMR3,0.9973133
Fer1l6,FER1L6,0.99730814
Lrfn4,LRFN4,0.997304
Tubb4a,TUBB4A,0.99730116
Adra1b,ADRA1B,0.9972968
Med12,MED12,0.9972949
Cdyl2,CDYL2,0.99729407
Rab39,RAB39A,0.9972939
Zfp207,ZNF207,0.99729085
App,APP,0.9972877
Psmb3,PSMB3,0.99728674
Inhbb,INHBB,0.9972867
P2ry1,P2RY1,0.99728626
Ppp3cb,PPP3CB,0.99728423
Prickle1,PRICKLE1,0.9972834
Chrm3,CHRM3,0.9972764
Nfix,NFIX,0.99727166
Unk,UNK,0.99727124
Col8a1,COL8A1,0.9972698
Osbpl8,OSBPL8,0.99726295
Nup160,NUP160,0.9972563
Aqp3,AQP3,0.99725306
Stmn2,STMN2,0.9972523
Prtg,PRTG,0.9972396
Gnat3,GNAT3,0.9972384
Cyp26b1,CYP26B1,0.9972354
Galnt7,GALNT7,0.9972341
Phox2a,PHOX2A,0.99723184
Slc44a1,SLC44A1,0.99722546
Zhx1,ZHX1,0.9972249
Slc35g2,SLC35G2,0.9972192
Dnm1l,DNM1L,0.9972165
Marchf9,MARCHF9,0.9972143
Gpatch8,GPATCH8,0.99720997
Lsm3,LSM3,0.99720883
Neto2,NETO2,0.99720776
Dusp4,DUSP4,0.99720174
Ppp5c,PPP5C,0.99720037
Pop7,POP7,0.99719965
Btbd17,BTBD17,0.9971911
Leprotl1,LEPROTL1,0.99718887
Pax7,PAX7,0.9971878
Zc3h12c,ZC3H12C,0.99718535
Cox15,COX15,0.99718404
Dact3,DACT3,0.997183
Hspa9,HSPA9,0.99717796
Siah1a,SIAH1,0.99717677
Kcnj3,KCNJ3,0.997173
Nptx2,NPTX2,0.9971558
Smpd3,SMPD3,0.99715537
Crnkl1,CRNKL1,0.9971536
Trim42,TRIM42,0.99715185
Hmbox1,HMBOX1,0.99714833
Tgfb2,TGFB2,0.99714833
Reck,RECK,0.9971465
Sh3bp5l,SH3BP5L,0.9971458
Tssk6,TSSK6,0.99714273
Gpc4,GPC4,0.9971412
