Human gene name,Mouse gene name,correlation
CDK5,Cdk5,0.9998474
FAM78B,Fam78b,0.9998394
FEM1C,Fem1c,0.99983865
SOX21,Sox21,0.9998302
PRRX1,Prrx1,0.9998238
KCND3,Kcnd3,0.9998218
RAB39B,Rab39b,0.9998167
CHMP4B,Chmp4b,0.99980724
WNT7A,Wnt7a,0.99980253
TLX3,Tlx3,0.99978924
HOXC8,Hoxc8,0.99977744
LHX5,Lhx5,0.9997741
HNRNPH2,Hnrnph2,0.99977374
SF3A3,Sf3a3,0.99977
NCKAP1,Nckap1,0.99976665
MYH3,Myh3,0.99976534
FGF16,Fgf16,0.9997613
MFAP1,Mfap1a,0.9997596
VPS4A,Vps4a,0.99975955
TFAP2D,Tfap2d,0.9997575
POU3F4,Pou3f4,0.99975
EFNA5,Efna5,0.99974895
TMEM60,Tmem60,0.999746
PELI1,Peli1,0.9997453
RTCB,Rtcb,0.9997298
TAFA1,Tafa1,0.9997214
PGAM1,Pgam1,0.99971664
ASIC2,Asic2,0.9997064
POU3F1,Pou3f1,0.99969757
TRPC4AP,Trpc4ap,0.99968696
LRRC8A,Gm28035,0.99968433
POU4F1,Pou4f1,0.9996786
CACNG2,Cacng2,0.99967587
FUT9,Fut9,0.99967474
RPL36AL,Rpl36al,0.9996563
NOG,Nog,0.9996496
SPIN1,Spin1,0.99963635
AGO4,Ago4,0.9996362
HOXC5,Hoxc5,0.99963427
POU3F3,Pou3f3,0.99963063
HCFC1,Hcfc1,0.99963045
SOX1,Sox1,0.9996297
PRPF4,Prpf4,0.99962616
HOXB5,Hoxb5,0.9996246
RIMS4,Rims4,0.99961585
HOXD10,Hoxd10,0.9996107
ARHGAP35,Arhgap35,0.9996101
ONECUT2,Onecut2,0.99959207
SLITRK2,Slitrk2,0.9995882
ZIC2,Zic2,0.99958557
KCNJ9,Kcnj9,0.99958354
UHMK1,Uhmk1,0.9995802
FZD2,Fzd2,0.99956894
KCNS2,Kcns2,0.99956435
RND2,Rnd2,0.9995603
SNRNP200,Snrnp200,0.9995543
MOB3B,Mob3b,0.99954295
MAFK,Mafk,0.9995376
DR1,Dr1,0.999537
SSTR1,Sstr1,0.9995326
CDC5L,Cdc5l,0.9995213
FLNC,Flnc,0.9995199
H2BC12,H2bc12,0.99951565
SLC32A1,Slc32a1,0.99950886
KCNJ2,Kcnj2,0.99950707
NEUROD2,Neurod2,0.9995051
OLIG3,Olig3,0.9994838
CA8,Car8,0.9994652
GRIK1,Grik1,0.99944866
STAT3,Stat3,0.9994463
H2BC9,H2bc18,0.99944234
KCNK12,Kcnk12,0.999435
PLCXD3,Plcxd3,0.99943244
SLITRK1,Slitrk1,0.99942285
MCTS1,Mcts1,0.9994147
SOX2,Sox2,0.9994147
ABTB2,Abtb2,0.99941415
POU4F2,Pou4f2,0.99939525
GNAI3,Gnai3,0.9993885
GRIK4,Grik4,0.99938166
RAC1,Rac1,0.99938136
RHOV,Rhov,0.9993788
MB21D2,Mb21d2,0.99936986
MEOX2,Meox2,0.9993696
FGF17,Fgf17,0.99936163
CLIC1,Clic1,0.9993476
PSMC4,Psmc4,0.99934554
HOXA13,Hoxa13,0.99933255
CACNA2D2,Cacna2d2,0.9993278
XRN2,Xrn2,0.9993268
NXT1,Nxt1,0.9993168
NEUROD6,Neurod6,0.9993164
H2AC12,H2ac12,0.99931294
BARHL1,Barhl1,0.99930185
SIX6,Six6,0.99929714
LMO1,Lmo1,0.9992931
CKS2,Cks2,0.99928916
KCTD12,Kctd12,0.999282
GJB1,Gjb1,0.99927306
VCPIP1,Vcpip1,0.999271
GJD2,Gjd2,0.9992655
LIX1L,Lix1l,0.99925905
KLHL9,Klhl9,0.99924767
ATP2B3,Atp2b3,0.99924475
EZR,Ezr,0.9992276
UBL3,Ubl3,0.99921256
GID8,Gid8,0.99920756
TUBG2,Tubg2,0.99920624
PRPF38A,Prpf38a,0.9992057
SNAP25,Snap25,0.999205
FLRT1,Flrt1,0.9992001
WNT6,Wnt6,0.9991934
SLC41A1,Slc41a1,0.99919224
CLIC4,Clic4,0.999184
KCNA4,Kcna4,0.9991815
CDC40,Cdc40,0.9991686
EHD3,Ehd3,0.99916476
H2BC13,H2bc11,0.9991622
WNT1,Wnt1,0.99916214
NEUROD1,Neurod1,0.99915975
PLAGL2,Plagl2,0.99915594
HOXC13,Hoxc13,0.9991542
H2AX,H2ax,0.99913365
TRPC5,Trpc5,0.999133
GNAZ,Gnaz,0.9991247
SV2C,Sv2c,0.99911416
CDH20,Cdh20,0.99911404
BSX,Bsx,0.99911076
CASTOR2,Castor2,0.99910754
MGAT5,Mgat5,0.9991067
TAX1BP3,Tax1bp3,0.99910533
MAFB,Mafb,0.99910337
LRFN3,Lrfn3,0.9990989
KIF3B,Kif3b,0.9990949
ZNF503,Zfp503,0.9990945
MAF,Maf,0.999092
HSPA2,Hspa2,0.9990913
UPF1,Upf1,0.99908173
STT3B,Stt3b,0.9990662
RAB9B,Rab9b,0.9990604
PLK2,Plk2,0.9990405
PRMT8,Prmt8,0.9990363
LHFPL6,Lhfp,0.99903417
RBM10,Rbm10,0.9990231
SNX12,Snx12,0.99901044
H2BC3,H2bc3,0.99900746
SPRY2,Spry2,0.9990042
POLR3K,Polr3k,0.9989963
RAB33A,Rab33a,0.99895763
FGF14,Fgf14,0.9989519
DES,Des,0.99895
ZSWIM5,Zswim5,0.9989453
NKX2-1,Nkx2-1,0.9989426
GABPA,Gabpa,0.9989419
CADM4,Cadm4,0.9988978
ABI1,Abi1,0.9988945
JUN,Jun,0.9988944
GRM1,Grm1,0.99888587
SF3B5,Sf3b5,0.9988773
TMEM47,Tmem47,0.99886674
FZD5,Fzd5,0.99885565
RYBP,Rybp,0.9988501
DNAJC5,Dnajc5,0.9988462
HMGN2,Gm10282,0.9988411
KCNJ4,Kcnj4,0.9988384
INTS5,Ints5,0.99883455
TMEM203,Tmem203,0.99883235
GSC,Gsc,0.9988319
H2AC21,H2ac21,0.99882406
TNMD,Tnmd,0.9988103
ZMIZ1,Zmiz1,0.998803
EEF1G,Eef1g,0.9987982
LDB1,Ldb1,0.9987944
C1QL1,C1ql1,0.99879366
WNT9A,Wnt9a,0.9987854
NR1D1,Nr1d1,0.9987812
PHLDA3,Phlda3,0.99878114
CACNG4,Cacng4,0.9987806
GRIK3,Grik3,0.9987748
MAPRE1,Mapre1,0.9987709
FOXG1,Foxg1,0.9987708
AGO1,Ago1,0.9987681
LINGO2,Lingo2,0.998763
LMX1A,Lmx1a,0.99875903
CHST2,Chst2,0.99875444
TENT5C,Tent5c,0.99873275
AHDC1,Ahdc1,0.99872464
PRKAA2,Prkaa2,0.99871844
TLNRD1,Tlnrd1,0.99871725
SCUBE3,Scube3,0.9987104
FBXO41,Fbxo41,0.99869186
CSMD3,Csmd3,0.99867105
CDH12,Cdh12,0.998667
LRFN2,Lrfn2,0.9986619
CHMP1B,2610002M06Rik,0.9986609
CACNA1G,Cacna1g,0.9986589
LBX1,Lbx1,0.9986331
SP5,Sp5,0.99863243
MYH4,Myh4,0.99863094
FOXO1,Foxo1,0.99862754
GSX1,Gsx1,0.99862754
PABIR1,Fam122a,0.99861455
CLSTN2,Clstn2,0.9986138
GLRA3,Glra3,0.9986108
SPTBN1,Sptbn1,0.9986108
GALNT2,Galnt2,0.99860275
IRF2BPL,Irf2bpl,0.99859935
SFN,Sfn,0.9985993
SNN,Snn,0.9985982
GOLGA7B,Golga7b,0.9985968
HOXA10,Hoxa10,0.9985835
DCX,Dcx,0.9985793
BRK1,Brk1,0.9985786
ARL4C,Arl4c,0.998556
ID4,Id4,0.99855304
PHKA1,Phka1,0.9985505
LRRTM3,Lrrtm3,0.99854445
HES1,Hes1,0.99853253
ARFGEF3,Arfgef3,0.9985267
UBLCP1,Ublcp1,0.9985145
KSR2,Ksr2,0.9985144
CHRM4,Chrm4,0.99851424
CRIPT,Cript,0.99850494
YPEL2,Ypel2,0.99849796
DLGAP3,Dlgap3,0.99849457
CASR,Casr,0.99849325
GNB2,Gnb2,0.9984898
OPCML,Opcml,0.9984778
CHRM2,Chrm2,0.9984706
COL2A1,Col2a1,0.9984651
KIAA1958,E130308A19Rik,0.9984577
CLDN9,Cldn9,0.99844927
DYSF,Dysf,0.9984427
RUNDC3A,Rundc3a,0.9984419
RPS7,Rps7,0.9984274
HOXB4,Hoxb4,0.9983988
KCTD4,Kctd4,0.9983986
B3GAT1,B3gat1,0.9983973
CNGA2,Cnga2,0.9983938
CNNM1,Cnnm1,0.9983937
ITPR3,Itpr3,0.9983922
PPM1E,Ppm1e,0.9983867
RNF11,Rnf11,0.99838555
PTN,Ptn,0.99837804
CHERP,Cherp,0.99837106
MYH11,Myh11,0.99837077
NUDCD2,Nudcd2,0.9983693
GUCY1B1,Gucy1b1,0.9983619
KCNB2,Kcnb2,0.9983595
GDF11,Gdf11,0.99835396
SV2A,Sv2a,0.9983488
AGTR2,Agtr2,0.9983388
FOXL2,Foxl2,0.99833566
BTK,Btk,0.99833333
IRS1,Irs1,0.99833304
ACTBL2,Actbl2,0.9983263
PYGM,Pygm,0.99832445
CDK5R2,Cdk5r2,0.9983238
B4GAT1,Gm50388,0.99831784
LRRN1,Lrrn1,0.99831736
GPC4,Gpc4,0.9983079
ITGA11,Itga11,0.99830717
GTF2F2,Gtf2f2,0.9983044
UBTD1,Ubtd1,0.998298
MAFA,Mafa,0.99829465
CERS6,Cers6,0.9982941
SFRP2,Sfrp2,0.9982896
DLGAP1,Dlgap1,0.99828553
ZNF281,Zfp281,0.9982819
LMO3,Lmo3,0.9982799
GRIN1,Grin1,0.99827594
HCN4,Hcn4,0.9982689
GALNT18,Galnt18,0.99826735
HS3ST5,Hs3st5,0.9982666
GNG8,Gng8,0.99826384
TMCC2,Tmcc2,0.9982567
PDK3,Pdk3,0.9982544
EVX2,Evx2,0.9982542
SIX2,Six2,0.9982534
CRYBB2,Crybb2,0.99825245
HPRT1,Hprt,0.9982505
PYGO2,Pygo2,0.9982476
MYH1,Myh2,0.99824494
H2BC18,H2bc23,0.99824375
IRF2BP1,Irf2bp1,0.99823344
HNF4G,Hnf4g,0.99823236
RING1,Ring1,0.99822783
SLC6A3,Slc6a3,0.9982182
BTAF1,Btaf1,0.9982099
TGFB2,Tgfb2,0.99820906
CNOT4,Cnot4,0.9982069
ZBTB2,Zbtb2,0.9982049
TRPC7,Trpc7,0.9982015
NUTF2,Nutf2-ps1,0.99819523
HOXA5,Hoxa5,0.9981908
MAGI3,Magi3,0.99818856
SERTM1,Sertm1,0.99818724
ABCF2-H2BE1,Abcf2,0.99818635
GPR27,Gpr27,0.9981846
ONECUT3,Onecut3,0.99817485
PCNA,Pcna,0.998171
KLHL11,Klhl11,0.9981687
FNBP1L,Fnbp1l,0.99816203
RAPSN,Rapsn,0.99815625
JUNB,Junb,0.99815184
GCN1,Gcn1,0.99814415
PCDH20,Pcdh20,0.99814147
FZD9,Fzd9,0.99814075
RIMS3,Rims3,0.9981357
BCL9,Bcl9,0.99812555
C1QL2,C1ql2,0.9981215
ALX1,Alx1,0.9981182
CTXN1,Ctxn1,0.9981096
SMARCA5,Smarca5,0.99809265
INHBB,Inhbb,0.99808794
FZR1,Fzr1,0.9980851
ZDHHC15,Zdhhc15,0.99806696
HOXB6,Hoxb6,0.9980667
ZMYND19,Zmynd19,0.9980605
RNF122,Rnf122,0.99806046
GRIN3A,Grin3a,0.9980582
FOXF2,Foxf2,0.99805754
INHBA,Inhba,0.998056
U2AF1,U2af1,0.998053
PAX7,Pax7,0.9980504
EHD4,Ehd4,0.99803907
REPS2,Reps2,0.99803823
UBTD2,Ubtd2,0.99803245
CHUK,Chuk,0.99801874
SLC5A3,Slc5a3,0.9980177
FZD7,Fzd7,0.99800676
GPR52,Gpr52,0.9979977
ISM1,Ism1,0.9979977
HCN3,Hcn3,0.99799234
TPPP3,Tppp3,0.99799037
CAPN6,Capn6,0.9979815
GNAT3,Gnat3,0.9979801
RPRM,Rprm,0.9979738
HOXA6,Hoxa6,0.99797213
GABRB2,Gabrb2,0.9979693
GPR4,Gpr4,0.99796855
NPTX2,Nptx2,0.9979674
PIM3,Pim3,0.99796534
HNRNPA2B1,Hnrnpa2b1,0.9979651
TFAP2E,Tfap2e,0.99796456
UNC45B,Unc45b,0.99795645
PDE6G,Pde6g,0.9979489
KCNA10,Kcna10,0.99794877
INSRR,Insrr,0.99794286
PAX2,Pax2,0.99794
TRIM9,Trim9,0.9979364
EPHA5,Epha5,0.9979328
MC4R,Mc4r,0.9979319
MAP1LC3A,Map1lc3a,0.9979301
NPTX1,Nptx1,0.9979296
ZBTB26,Zbtb26,0.997923
SLC6A7,Slc6a7,0.99792063
HMX2,Hmx2,0.9979199
RUNDC3B,Rundc3b,0.997915
SOCS1,Socs1,0.99790406
SLC25A5,Slc25a5,0.99789476
MYF6,Myf6,0.9978761
ATRN,Atrn,0.9978706
TPH2,Tph2,0.9978659
PCDH10,Pcdh10,0.99785304
SOX12,Sox12,0.9978486
BAMBI,Bambi,0.99784243
TBX3,Tbx3,0.99783736
PAPPA,Pappa,0.9978355
H1-0,H1f0,0.9978309
ZBTB6,Zbtb6,0.99782157
WNT3,Wnt3,0.99781644
ZC3H12C,Zc3h12c,0.99781084
ATXN7L3B,Atxn7l3b,0.99780834
FOXF1,Foxf1,0.99780816
SESN1,Sesn1,0.9978077
JPH3,Jph3,0.99780196
PELO,Pelo,0.9978003
KCNV1,Kcnv1,0.99779457
HOXD13,Hoxd13,0.99778676
KANTR,Kantr,0.9977751
SPIN4,Spin4,0.9977635
RPP25L,Rpp25l,0.99776226
EIF1B,Eif1b,0.9977507
NOC3L,Noc3l,0.9977275
MID2,Mid2,0.99772245
GK3P,Gk,0.9977197
INPP4A,Inpp4a,0.9977166
PDE1A,Pde1a,0.9977139
HMX3,Hmx3,0.99771285
ZFP91,Zfp91,0.9977126
KCNH2,Kcnh2,0.9977093
SIX3,Six3,0.9977041
RBM15,Rbm15,0.9976987
MYOG,Myog,0.9976968
STK39,Stk39,0.9976922
TMEM185B,Tmem185b,0.9976644
NFYA,Nfya,0.99766225
KIF4A,Kif4,0.9976551
ZNF146,Zfp146,0.9976549
LRRC58,Lrrc58,0.9976511
HSPA4,Hspa4,0.9976396
HSPA1L,Hspa1l,0.99763745
NEXMIF,Nexmif,0.9976368
GABRA3,Gabra3,0.9976219
GRM6,Grm6,0.99760956
LRRC10B,Lrrc10b,0.9976089
RAB1A,Rab1a,0.9976084
SUDS3,Suds3,0.9976002
NEFL,Nefl,0.9975969
FAM168A,Fam168a,0.9975897
TMEM163,Tmem163,0.9975867
VAV1,Vav1,0.99757934
ABHD13,Abhd13,0.9975791
FOXC1,Foxc1,0.9975784
FER1L6,Fer1l6,0.9975568
NKX2-4,Nkx2-4,0.9975559
JRKL,Jrkl,0.99754405
HCRTR2,Hcrtr2,0.99754167
SLITRK6,Slitrk6,0.9975359
INSM1,Insm1,0.99752873
PAK5,Pak5,0.99752074
HTR1F,Htr1f,0.997519
CSMD1,Csmd1,0.99750483
FOXB2,Foxb2,0.9974997
HKDC1,Hkdc1,0.9974919
SIX4,Six4,0.9974905
CLRN2,Clrn2,0.9974849
SMIM15,Smim15,0.9974843
HMGB3,Hmgb3,0.99748015
RAB39A,Rab39,0.99748015
ELMOD1,Elmod1,0.9974765
MAP1A,Map1a,0.99747455
EPB41L4A,Epb41l4a,0.9974736
AP1S2,Ap1s2,0.9974709
KIAA2013,2510039O18Rik,0.9974702
ADRA2A,Adra2a,0.9974699
THSD7A,Thsd7a,0.9974552
KLHDC8B,Klhdc8b,0.9974529
CEBPE,Cebpe,0.9974469
BTBD17,Btbd17,0.99744624
CDK2AP1,Cdk2ap1,0.99744153
SOX9,Sox9,0.9974392
IMP3,Imp3,0.9974389
BARHL2,Barhl2,0.99743456
FOXJ1,Foxj1,0.99743146
GINS1,Gins1,0.9974258
SEC61G,Sec61g,0.9974224
NKX6-2,Nkx6-2,0.9974223
SCN4A,Scn4a,0.9974157
TRIM24,Trim24,0.99741304
ERG,Erg,0.99741054
DOC2B,Doc2b,0.99739826
SESN2,Sesn2,0.99738127
STOML3,Stoml3,0.9973801
ACTR3B,Actr3b,0.9973795
SP6,Sp6,0.9973599
TMEM35A,Tmem35a,0.9973554
PPP1R16B,Ppp1r16b,0.9973551
SAMM50,Samm50,0.9973526
NKRF,Nkrf,0.99734527
E2F3,E2f3,0.99734396
FLRT3,Flrt3,0.99734294
FZD8,Fzd8,0.9973408
CNNM4,Cnnm4,0.9973366
SNRPN,Snrpn,0.99733573
EBF3,Ebf3,0.9973326
BMP5,Bmp5,0.9973259
TRIAP1,Triap1,0.9973182
KIF1B,Kif1b,0.9973146
PURB,Purb,0.9973137
FZD1,Fzd1,0.99730617
ANKRD34C,Ankrd34c,0.99729383
TANC1,Tanc1,0.9972936
DUSP5,Dusp5,0.9972841
STMN1,Stmn1,0.99728227
FBXW2,Fbxw2,0.9972718
VSX2,Vsx2,0.99726707
CENPB,Cenpb,0.99726564
TRIM67,Trim67,0.99724805
VDAC1,Vdac1,0.9972439
HOXD11,Hoxd11,0.9972308
LMX1B,Lmx1b,0.9972283
B3GALT2,B3galt2,0.9972232
TOX,Tox,0.9972206
MARCHF4,Marchf4,0.99721813
KLHL31,Klhl31,0.99721104
NANP,Nanp,0.99720836
EDIL3,Edil3,0.9972022
CELF2,Celf2,0.997194
GJB2,Gjb2,0.9971914
OR5AR1,Olfr1019,0.99719036
MSX1,Msx1,0.997172
ADSS2,Adss,0.99716187
SLC12A2,Slc12a2,0.99715626
SFT2D1,Gm12166,0.99715155
BORCS7,Borcs7,0.997141
UGCG,Ugcg,0.99713975
DTX1,Dtx1,0.997139
FAM199X,Fam199x,0.997133
TTC9B,Ttc9b,0.9971281
PCDH7,Pcdh7,0.99712074
NTF3,Ntf3,0.9971029
PRRC2A,Prrc2a,0.997093
SST,Sst,0.99709207
HIPK2,Hipk2,0.9970895
KCNG3,Kcng3,0.99708545
DOLK,Dolk,0.9970795
EPHA7,Epha7,0.9970786
KRT71,Krt71,0.9970782
PLXDC2,Plxdc2,0.9970771
WNT3A,Wnt3a,0.99707496
SYT7,Syt7,0.99707466
PCBP2,Pcbp2,0.99706596
MEX3A,Mex3a,0.99706316
RBM4,Rbm4,0.9970618
ABCD2,Abcd2,0.9970611
ZSWIM6,Zswim6,0.9970555
EIF5A,Eif5a,0.99705356
CTNNBIP1,Ctnnbip1,0.9970489
EXOC8,Exoc8,0.99704313
SLC44A1,Slc44a1,0.9970418
ID3,Id3,0.9970303
LPAR3,Lpar3,0.99702495
P2RY1,P2ry1,0.9970196
TSPAN33,Tspan33,0.9970138
HOXB13,Hoxb13,0.99701315
GPR68,Gpr68,0.9969943
C9orf78,BC005624,0.99699384
EBF1,Ebf1,0.996993
ZBED4,Zbed4,0.99699265
SLIT1,Slit1,0.9969851
PLK3,Plk3,0.99697745
SLC24A3,Slc24a3,0.9969703
NEUROD4,Neurod4,0.9969699
H1-4,H1f3,0.9969633
PCSK2,Pcsk2,0.99695617
EGR1,Egr1,0.9969511
ZFP36L2,Zfp36l2,0.99693865
HNRNPL,Hnrnpl,0.9969385
CDH10,Cdh10,0.9969304
EIF2S3B,Eif2s3y,0.9969303
MRGBP,Mrgbp,0.99692565
MTCP1,Mtcp1,0.9969185
ACVR2A,Acvr2a,0.99691266
CDYL2,Cdyl2,0.99690336
XKR4,Xkr4,0.9969017
EFNB1,Efnb1,0.9968913
HSPA1B,Hspa1b,0.9968829
MARCKSL1,Marcksl1,0.99688107
CNTNAP5,Cntnap5a,0.99687517
XPR1,Xpr1,0.99686325
RASD2,Rasd2,0.99686086
KLHL6,Klhl6,0.99684876
MINAR1,Minar1,0.99684787
MCM6,Mcm6,0.9968401
ELFN2,Elfn2,0.9968374
HOXA2,Hoxa2,0.9968363
TCF21,Tcf21,0.9968325
ZBED6,Zbed6,0.99682635
FZD4,Fzd4,0.9968255
NDP,Ndp,0.9968182
RBM12,Rbm12,0.996814
SLIT3,Slit3,0.99680334
VPS72,Vps72,0.9968026
COPG2,Copg2,0.99679726
KCNK5,Kcnk5,0.99679005
TRIM42,Trim42,0.99678475
USP27X,Usp27x,0.9967839
AKIRIN2,Akirin2,0.9967819
BAHCC1,Bahcc1,0.99678063
JAKMIP3,Jakmip3,0.9967769
MSI1,Msi1,0.99676967
ZYG11B,Zyg11b,0.9967642
KCNF1,Kcnf1,0.99675345
IHH,Ihh,0.99673593
RPL32,Rpl32,0.9967353
SYK,Syk,0.9967326
BCL2L2-PABPN1,Gm20521,0.99673116
HNRNPUL2,Hnrnpul2,0.99672306
LHX3,Lhx3,0.9967218
GRXCR1,Grxcr1,0.99672043
DSEL,Dsel,0.9967088
GPR34,Gpr34,0.9967044
ALYREF,Alyref,0.9966896
BAIAP2L1,Baiap2l1,0.99668896
LMO4,Lmo4,0.99668765
C1QL4,C1ql4,0.9966874
BMP2,Bmp2,0.9966767
DNALI1,Dnali1,0.99667186
ADGRL3,Adgrl3,0.9966618
ACVR2B,Acvr2b,0.99666005
ADAMTSL2,Adamtsl2,0.99665934
EN1,En1,0.99663514
RPL31,Rpl31,0.9966328
SUFU,Sufu,0.9966262
STMN2,Stmn2,0.9966143
UST,Ust,0.9966076
CGGBP1,Cggbp1,0.99660456
CAPZA3,Capza3,0.99659383
HNRNPA3,Hnrnpa3,0.9965842
VTI1A,Vti1a,0.9965814
PRPH2,Prph2,0.9965748
TMEM115,Tmem115,0.99657315
CACNA1C,Cacna1c,0.9965689
TNIK,Tnik,0.99656713
TUBB1,Tubb1,0.99656343
TPM1,Tpm1,0.99656105
FOXD3,Foxd3,0.9965582
CNBP,Cnbp,0.99653405
ZNF592,Zfp592,0.9965178
NIM1K,Nim1k,0.9965077
RAB3B,Rab3b,0.9965058
RORB,Rorb,0.9965051
NELFCD,Nelfcd,0.996499
SLC18A2,Slc18a2,0.9964978
FBXO30,Fbxo30,0.99649495
JAK3,Jak3,0.99648756
TRAPPC2B,0610009B22Rik,0.9964775
SOX3,Sox3,0.99647737
DMBX1,Dmbx1,0.9964714
MYF5,Myf5,0.9964687
ASIC4,Asic4,0.99645877
UBA52,Uba52,0.99644655
NT5C1A,Nt5c1a,0.9964447
OR10A5,Olfr713,0.99644023
EIF1AX,Eif1ax,0.99643695
NRXN2,Nrxn2,0.9964347
DLGAP4,Dlgap4,0.9964223
C16orf72,1810013L24Rik,0.9964191
LPAR6,Lpar6,0.9964167
RAB11FIP5,Rab11fip5,0.9964091
SLC6A20,Slc6a20a,0.99640274
IRF2BP2,Irf2bp2,0.9963952
HOXD4,Hoxd4,0.9963888
CBLN4,Cbln4,0.99638546
MYH10,Myh10,0.9963847
SLC35G2,Slc35g2,0.9963838
ZBTB34,Zbtb34,0.99637735
KLHL40,Klhl40,0.99636644
RLIM,Rlim,0.99636024
KRT14,Krt14,0.99635905
TNPO1,Tnpo1,0.99634665
KRT35,Krt35,0.9963459
PCK1,Pck1,0.9963389
KHDC4,Khdc4,0.99632585
PLEKHM2,Plekhm2,0.99631965
SLC4A10,Slc4a10,0.9963148
PCDHB1,Pcdhb1,0.9963136
RAG1,Rag1,0.9963091
SIK2,Sik2,0.99629617
MC3R,Mc3r,0.9962959
KRT25,Krt25,0.99629444
EXOC4,Exoc4,0.9962938
RBM8A,Rbm8a2,0.99629366
TMEM215,Tmem215,0.9962883
PLPPR5,Plppr5,0.99626786
OSBPL11,Osbpl11,0.9962572
TENM1,Tenm1,0.9962568
GPR75,Gpr75,0.9962504
TMEM229B,Tmem229b,0.99624974
SLC35D3,Slc35d3,0.99624646
SMOC1,Smoc1,0.9962463
PTGFRN,Ptgfrn,0.9962421
RPS28,Rps28,0.9962393
NKAP,Nkap,0.9962338
CALHM1,Calhm1,0.9962145
LRATD2,Lratd2,0.99620247
ANKRD17,Ankrd17,0.9961939
PFDN6,Pfdn6,0.9961936
SLC26A5,Slc26a5,0.9961886
BCL11B,Bcl11b,0.99618274
FAM171B,Fam171b,0.996178
PCDH8,Pcdh8,0.9961736
OR4S2,Olfr1191-ps1,0.99617195
LMBRD2,Lmbrd2,0.9961699
AGTR1,Agtr1b,0.99616206
SMCR8,Smcr8,0.9961599
RECK,Reck,0.9961508
CLDN11,Cldn11,0.9961416
OR6C74,Olfr821,0.9961367
PLXNA3,Plxna3,0.9961358
KIF26B,Kif26b,0.99612105
GPR6,Gpr6,0.99610734
CSPG5,Cspg5,0.9960789
FBP2,Fbp2,0.99607766
FAM89B,Fam89b,0.9960721
STAT5A,Stat5b,0.9960717
CACNG7,Cacng7,0.9960672
OR5M3,Olfr1032,0.9960556
ATP5MC3,Atp5g3,0.9960499
TP63,Trp63,0.9960488
PDZD8,Pdzd8,0.99604553
HES5,Hes5,0.99604005
H2BC1,H2bc1,0.99603796
GPR87,Gpr87,0.9960357
LINGO4,Lingo4,0.99603194
RNF5,Rnf5,0.9960178
SLC18A3,Slc18a3,0.99601156
ZC4H2,Zc4h2,0.99601126
ETV1,Etv1,0.9960055
MVB12B,Mvb12b,0.9960038
TTC30B,Ttc30a2,0.9959998
CCDC184,Ccdc184,0.99599856
CACNA1D,Cacna1d,0.9959942
FOXO6,Foxo6,0.9959939
H3-4,H3f4,0.99598897
ELAVL4,Elavl4,0.99598676
ENDOG,Endog,0.99598014
TNNT3,Tnnt3,0.9959657
GTSF1,Gtsf1,0.99596477
HOXB7,Hoxb7,0.9959588
GNG10,Gng10,0.99592966
H3-5,H3f3b,0.99592745
CTNNBL1,Ctnnbl1,0.99591815
OR4D5,Olfr984,0.9959064
PPP1CA,Ppp1ca,0.9959058
EEF1A1,Eef1a2,0.9959043
IGF2BP2,Igf2bp2,0.995898
RTP1,Rtp1,0.9958977
ATN1,Gm45234,0.9958961
CALHM2,Calhm2,0.9958943
