human gene name,pig gene name,correlation
NFIC,NFIC,0.9995359
FGD1,FGD1,0.99953187
EBF3,EBF3,0.99952585
FLNC,FLNC,0.9995187
HOXC13,HOXC13,0.99950963
HCRTR2,HCRTR2,0.99950653
GRM1,GRM1,0.99950564
PANK1,PANK1,0.99949926
SIX3,SIX3,0.99949557
IKZF5,IKZF5,0.999489
TMEM167A,TMEM167A,0.9994749
SLITRK5,SLITRK5,0.99947184
FLRT3,FLRT3,0.9994714
ABTB2,ABTB2,0.99946773
TMEM151A,TMEM151A,0.9994677
TAF7,TAF7,0.99945706
PRKAA2,PRKAA2,0.9994527
SOX1,SOX1,0.99945223
H2AZ1,H2AZ1,0.9994499
PHIP,PHIP,0.9994487
ARHGEF33,ARHGEF33,0.9994484
PPTC7,PPTC7,0.9994481
KHDC4,KHDC4,0.99944806
TLNRD1,TLNRD1,0.99944806
CHST1,CHST1,0.9994444
H2BC9,H2BC18,0.99944234
KCNV1,KCNV1,0.9994391
GRIN2D,GRIN2D,0.9994285
PPP1R9B,PPP1R9B,0.9994261
VWC2L,VWC2L,0.99942017
ABI1,ABI1,0.99941856
FOXA2,FOXA2,0.9994152
USP47,USP47,0.9994145
PLEKHD1,PLEKHD1,0.999408
LHX8,LHX8,0.9994073
XAB2,XAB2,0.9993984
NOG,NOG,0.99939805
WNT3,WNT3,0.99939114
TMEM164,TMEM164,0.9993899
GNG11,GNG11,0.9993892
MAP3K2,MAP3K2,0.99938715
KCNH2,KCNH2,0.9993865
CDC5L,CDC5L,0.99938124
BMPR2,BMPR2,0.99938077
HMX3,HMX3,0.99937767
PLAGL2,PLAGL2,0.99936897
SLITRK2,SLITRK2,0.9993653
EHD4,EHD4,0.9993652
CEBPB,CEBPB,0.99935883
S100A4,S100A4,0.99935883
KLHL15,KLHL15,0.99934834
GJA1,GJA1,0.99934804
SLC7A14,SLC7A14,0.9993387
RANBP9,RANBP9,0.9993384
EIF1AX,EIF1AX,0.9993383
WNT8B,WNT8B,0.9993304
KAT2B,KAT2B,0.99933034
UBE2Q1,UBE2Q1,0.99932957
TGFB2,TGFB2,0.9993267
NCKAP1,NCKAP1,0.999325
CTNNBIP1,CTNNBIP1,0.99932235
PLPPR5,PLPPR5,0.99932235
TCF21,TCF21,0.99932206
TRHR,TRHR,0.99931777
LRRC8A,LRRC8A,0.9993126
RNF122,RNF122,0.99930155
STAT5A,STAT5A,0.99929434
TRIM62,TRIM62,0.9992917
DUSP14,DUSP14,0.9992892
SRF,SRF,0.999287
PTPRU,PTPRU,0.9992828
SHB,SHB,0.9992805
CSGALNACT2,CSGALNACT2,0.9992804
KANTR,KANTR,0.99927896
POU4F2,POU4F2,0.99927664
SOBP,SOBP,0.99927634
DLGAP3,DLGAP3,0.9992751
RAB9B,RAB9B,0.99927473
AHDC1,AHDC1,0.99927104
ELFN2,ELFN2,0.999268
C1QL4,C1QL4,0.99926716
FAM117B,FAM117B,0.9992663
H2AC1,H2AC1,0.999264
SPRY2,SPRY2,0.9992588
MAF,MAF,0.9992578
PLEKHF2,PLEKHF2,0.9992553
HNRNPH3,HNRNPH3,0.99924934
LMX1B,LMX1B,0.9992466
RPS26,RPS26,0.99923486
CCDC85B,CCDC85B,0.9992342
TBX20,TBX20,0.9992333
CDH12,CDH12,0.99922615
POU3F4,POU3F4,0.9992251
ZBTB18,ZBTB18,0.9992239
SLC17A6,SLC17A6,0.9992234
B4GAT1,B4GAT1,0.9992213
NEURL1B,NEURL1B,0.9992151
TMEM183A,TMEM183A,0.9992132
VCPIP1,VCPIP1,0.9992106
NMNAT2,NMNAT2,0.9992087
ZBTB34,ZBTB34,0.9992048
GPR88,GPR88,0.9992026
NUDT3,NUDT3,0.9992018
BCAS2,BCAS2,0.9992005
EIF2S2,EIF2S2,0.99919385
RLF,RLF,0.99919343
NHLH1,NHLH1,0.999193
RBM18,RBM18,0.9991915
INA,INA,0.99919057
CARMIL3,CARMIL3,0.9991876
GJD2,GJD2,0.99918437
FGF9,FGF9,0.9991768
MSTN,MSTN,0.9991764
TNMD,TNMD,0.99917495
ZC3H7B,ZC3H7B,0.99917
MAPK8IP1,MAPK8IP1,0.9991591
GRIK4,GRIK4,0.9991545
RPS14,RPS14,0.999154
PGAP4,PGAP4,0.9991533
PTPN14,PTPN14,0.9991527
SF3A3,SF3A3,0.9991503
HCN2,HCN2,0.99915016
PRADC1,PRADC1,0.99914974
NELFCD,NELFCD,0.99914545
MED23,MED23,0.9991447
PCNX3,PCNX3,0.9991388
JUN,JUN,0.9991285
KCNJ4,KCNJ4,0.99912673
GRM6,GRM6,0.99912554
VGLL2,VGLL2,0.99912214
TENM1,TENM1,0.9991198
FEM1C,FEM1C,0.9991155
ZNF146,ZNF146,0.99911505
SLC5A3,SLC5A3,0.9991132
LBX1,LBX1,0.99911225
EPHA5,EPHA5,0.999108
CDH20,CDH20,0.99910516
C1QL1,C1QL1,0.9991043
NXPH2,NXPH2,0.99909747
WNT6,WNT6,0.99909616
RBM10,RBM10,0.9990924
COL1A2,COL1A2,0.9990908
CEBPA,CEBPA,0.99908966
UPF1,UPF1,0.999085
TMEM60,TMEM60,0.9990822
BRINP2,BRINP2,0.9990794
NKIRAS1,NKIRAS1,0.9990785
FZD7,FZD7,0.99905944
FAM199X,FAM199X,0.99905586
MC4R,MC4R,0.9990475
EGR1,EGR1,0.9990384
ST3GAL2,ST3GAL2,0.99903685
KCTD12,KCTD12,0.999035
SST,SST,0.9990275
PRKAB2,PRKAB2,0.99902654
IER5L,IER5L,0.99902385
CELSR2,CELSR2,0.99902356
CNOT4,CNOT4,0.9990228
EFNA3,EFNA3,0.99901867
HSPA1B,HSP70.2,0.9990129
ALX1,ALX1,0.9990077
DCX,DCX,0.9990068
RNF103,RNF103,0.9990051
FOXC2,FOXC2,0.99900156
IGF2BP1,IGF2BP1,0.99900156
TUBB4B,TUBB,0.9990012
GRIA1,GRIA1,0.9989972
BCL9L,BCL9L,0.9989971
CACNA1G,CACNA1G,0.9989863
CDK6,CDK6,0.99898225
SNAPIN,SNAPIN,0.9989727
ZNF654,ZNF654,0.9989709
SGSM1,SGSM1,0.9989692
LMX1A,LMX1A,0.99895966
INHBB,INHBB,0.99895257
RGS7BP,RGS7BP,0.9989525
SLITRK4,SLITRK4,0.99895203
NKX2-2,NKX2-2,0.9989495
MYH8,MYH8,0.99894947
BTK,BTK,0.9989414
ASTN1,ASTN1,0.9989395
TRIM24,TRIM24,0.9989355
SOX9,SOX9,0.998933
ABHD17B,ABHD17B,0.9989309
ZNF703,ZNF703,0.99892455
CHMP4B,CHMP4B,0.9989171
POLR3C,POLR3C,0.9989126
CAPN6,CAPN6,0.9989118
ATP2B3,ATP2B3,0.9989089
TPH2,TPH2,0.9989081
C3orf70,C3orf70,0.9989048
LRRC73,LRRC73,0.9989044
SIX6,SIX6,0.99890316
SPTBN2,SPTBN2,0.9989018
GUCY1B1,GUCY1B1,0.99890053
AGTR2,AGTR2,0.9989003
CBLN2,CBLN2,0.9988986
TBX21,TBX21,0.9988976
BARHL2,BARHL2,0.9988955
MAML1,MAML1,0.9988949
PRRX1,PRRX1,0.998894
ZPLD1,ZPLD1,0.998887
PLK2,PLK2,0.99888635
BCL11B,BCL11B,0.9988834
KIF4A,KIF4A,0.9988823
ZC3H12B,ZC3H12B,0.9988822
UPF2,UPF2,0.9988813
JUNB,JUNB,0.9988806
WNT9A,WNT9A,0.99887884
HOXB6,HOXB6,0.9988711
IMP3,IMP3,0.99887013
OSR1,OSR1,0.99886465
MYH3,MYH3,0.99886435
LRCH2,LRCH2,0.99886113
TAC1,TAC1,0.9988611
GPR22,GPR22,0.9988609
PLCH1,PLCH1,0.9988551
NR1D1,NR1D1,0.9988545
ID2,ID2,0.99885345
RCBTB1,RCBTB1,0.9988448
CPLX3,CPLX3,0.99884295
CDX2,CDX2,0.9988427
RLIM,RLIM,0.99884105
C9orf78,C9orf78,0.99884087
C14orf28,C14orf28,0.99883974
SLC9A8,SLC9A8,0.9988378
UNC5B,UNC5B,0.99883133
ADAMTS3,ADAMTS3,0.9988302
SIX2,SIX2,0.9988261
P2RY1,P2RY1,0.99881893
VAV1,VAV1,0.99881715
SOSTDC1,SOSTDC1,0.9988134
CEBPE,CEBPE,0.99881303
KCNN3,KCNN3,0.9988112
CNNM1,CNNM1,0.9988109
SFRP5,SFRP5,0.9988096
CHRM4,CHRM4,0.9988095
ZSWIM5,ZSWIM5,0.99880916
NPTX2,NPTX2,0.9988081
XKR4,XKR4,0.99879944
SHOC2,SHOC2,0.998796
PCDH20,PCDH20,0.9987953
PCSK2,PCSK2,0.99878997
TBX3,TBX3,0.9987893
EVX2,EVX2,0.998788
PPP4R3B,PPP4R3B,0.9987877
HOXC12,HOXC12,0.9987795
HS3ST5,HS3ST5,0.9987788
SPON1,SPON1,0.99877703
ZIC3,ZIC3,0.99877644
POSTN,POSTN,0.99877596
ATN1,ATN1,0.99877447
CYTH3,CYTH3,0.99877375
SYNGAP1,SYNGAP1,0.99877214
MCMBP,MCMBP,0.9987699
H1-0,H1-0,0.9987683
CMTM8,CMTM8,0.99876595
EPHA2,EPHA2,0.9987586
HCN4,HCN4,0.99875784
SSTR2,SSTR2,0.99875396
UNC5D,UNC5D,0.99875265
SLC6A17,SLC6A17,0.9987484
INSM1,INSM1,0.99874544
NRARP,NRARP,0.99873805
ONECUT3,ONECUT3,0.9987349
PITX3,PITX3,0.99873114
DHH,DHH,0.99872726
FOXF1,FOXF1,0.9987213
PERP,PERP,0.99872124
KIF5B,KIF5B,0.9987165
ZNF436,ZNF436,0.99870473
PELO,PELO,0.9987016
IRS1,IRS1,0.998701
B4GALT5,B4GALT5,0.9987003
NEXMIF,NEXMIF,0.99869853
EPB41L4A,EPB41L4A,0.9986905
E2F3,E2F3,0.9986834
RPP25L,RPP25L,0.99868286
ZC3H12C,ZC3H12C,0.9986811
ATG14,ATG14,0.99868083
HOXD11,HOXD11,0.9986796
NELL1,NELL1,0.9986781
ACVR2B,ACVR2B,0.9986761
DOC2B,DOC2B,0.9986726
RILPL1,RILPL1,0.9986471
AP1S2,AP1S2,0.9986456
SOX12,SOX12,0.99864554
FAM171B,FAM171B,0.99864376
FNBP1L,FNBP1L,0.9986423
MYH6,MYH6,0.99864143
NKRF,NKRF,0.99864036
BSX,BSX,0.9986384
EHD3,EHD3,0.9986374
NOC3L,NOC3L,0.9986319
FBXO41,FBXO41,0.9986315
FOXJ1,FOXJ1,0.99863017
TRIM9,TRIM9,0.99862975
PIGC,PIGC,0.998626
FBXO30,FBXO30,0.9986215
ZNF184,ZNF184,0.9986016
SLC24A2,SLC24A2,0.99860084
EDIL3,EDIL3,0.9986002
GRIN3A,GRIN3A,0.9985987
BAZ1B,BAZ1B,0.9985975
SMIM12,SMIM12,0.99859613
CTXND1,CTXND1,0.9985865
ADGRB1,ADGRB1,0.9985861
LDOC1,LDOC1,0.9985826
SCAF4,SCAF4,0.9985791
SCARA3,SCARA3,0.99857557
TMEM151B,TMEM151B,0.9985742
HIVEP2,HIVEP2,0.9985715
ZFYVE9,ZFYVE9,0.99857026
SPTBN1,SPTBN1,0.9985698
GIT2,GIT2,0.99856806
GRK5,GRK5,0.99856555
TMEM30B,TMEM30B,0.99856496
SBK1,SBK1,0.9985506
ACBD3,ACBD3,0.99854755
RBM15B,RBM15B,0.99854183
ABCF2-H2BE1,ABCF2,0.998535
GIGYF1,GIGYF1,0.9985287
UBTD1,UBTD1,0.99852663
GRIN1,GRIN1,0.9985253
CACNA2D2,CACNA2D2,0.9985248
FIBIN,FIBIN,0.9985233
FOXD3,FOXD3,0.99852073
SPRY3,SPRY3,0.9985155
THSD7A,THSD7A,0.99851006
PATL1,PATL1,0.99850696
PPP1R16B,PPP1R16B,0.9985065
HK2,HK2,0.99850005
GNAZ,GNAZ,0.9984979
ZNF711,ZNF711,0.9984964
GRID2IP,GRID2IP,0.9984963
SLC35G2,SLC35G2,0.99849516
TAOK2,TAOK2,0.99849343
GPR4,GPR4,0.9984924
CHMP2A,CHMP2A,0.99848485
TMEM200A,TMEM200A,0.9984784
PAX7,PAX7,0.99847585
FZD9,FZD9,0.9984741
LRFN3,LRFN3,0.99847233
DACH1,DACH1,0.9984671
IRX1,IRX1,0.9984632
UNC45B,UNC45B,0.9984617
GJB1,GJB1,0.99845994
RWDD2A,RWDD2A,0.9984506
FNDC4,FNDC4,0.998448
KCNJ5,KCNJ5,0.99844575
EDEM2,EDEM2,0.9984417
HIPK2,HIPK2,0.9984387
PI15,PI15,0.9984379
SMG5,SMG5,0.99843496
ADD3,ADD3,0.9984306
MOSPD1,MOSPD1,0.9984263
TNPO3,TNPO3,0.99842405
BMP5,BMP5,0.99841774
GPR27,GPR27,0.9984164
TRPC4,TRPC4,0.9984147
MYH4,MYH4,0.99841243
MIDN,MIDN,0.9984101
ARHGEF11,ARHGEF11,0.9984098
SV2A,SV2A,0.9984052
RGS17,RGS17,0.998403
RUNDC3B,RUNDC3B,0.9984
ARL5B,ARL5B,0.99839884
RASSF2,RASSF2,0.9983974
NR2F1,NR2F1,0.9983973
DMBX1,DMBX1,0.99839604
VSX2,VSX2,0.9983954
VPS72,VPS72,0.99839354
SMURF1,SMURF1,0.9983895
RAB25,RAB25,0.99838835
MAP3K1,MAP3K1,0.99838316
ZBTB2,ZBTB2,0.9983786
LRFN2,LRFN2,0.9983774
ATXN1L,ATXN1L,0.9983769
PCDH8,PCDH8,0.9983732
AKIRIN2,AKIRIN2,0.9983685
HIF1A,HIF1A,0.99835926
MAPRE3,MAPRE3,0.9983588
FZD5,FZD5,0.998355
ST8SIA2,ST8SIA2,0.99834436
GRXCR1,GRXCR1,0.99834156
GABBR1,GABBR1,0.9983381
AGTR1,AGTR1,0.99833614
CRKL,CRKL,0.9983339
GLIS2,GLIS2,0.9983255
ZDHHC15,ZDHHC15,0.9983208
RBM15,RBM15,0.99831647
FGF17,FGF17,0.9983053
TTC9B,TTC9B,0.99830145
ZFC3H1,ZFC3H1,0.99829966
PRPF4,PRPF4,0.99829555
ACTC1,ACTC1,0.9982953
HHIP,HHIP,0.99829364
NALF2,NALF2,0.99829215
KIRREL1,KIRREL1,0.9982917
CDH22,CDH22,0.9982908
ZNF32,ZNF32,0.99829024
NKX2-4,NKX2-4,0.9982899
VAV2,VAV2,0.99828976
KIAA1958,KIAA1958,0.9982894
PELI1,PELI1,0.99828553
FLRT1,FLRT1,0.998282
ANKRD34C,ANKRD34C,0.9982809
HAND1,HAND1,0.99827725
RAB39A,RAB39A,0.9982749
NYAP1,NYAP1,0.9982743
MYH1,MYH1,0.9982711
LRRN2,LRRN2,0.9982703
KLHL1,KLHL1,0.99826825
PDE6G,PDE6G,0.9982657
TXLNA,TXLNA,0.99826294
JAK3,JAK3,0.9982605
GABRG1,GABRG1,0.9982569
RBM41,RBM41,0.9982563
HOXA2,HOXA2,0.9982475
CAMSAP3,CAMSAP3,0.9982447
TUSC3,TUSC3,0.99824125
PRPF38A,PRPF38A,0.99823886
CLDN11,CLDN11,0.9982347
ARVCF,ARVCF,0.99823403
DGKI,DGKI,0.998222
EPHA7,EPHA7,0.99821556
B3GAT1,B3GAT1,0.99821085
ZNF507,ZNF507,0.9982035
N4BP3,N4BP3,0.9982023
FGF16,FGF16,0.99820125
GNAT3,GNAT3,0.99820095
HNF4G,HNF4G,0.998193
KCTD16,KCTD16,0.9981914
SARS1,SARS1,0.9981911
RUSC2,RUSC2,0.99818766
NRAP,NRAP,0.9981864
DPT,DPT,0.99818414
TOPORS,TOPORS,0.998183
AP2S1,AP2S1,0.99818176
GDF11,GDF11,0.9981787
CHERP,CHERP,0.9981753
GATA6,GATA6,0.9981659
KIF3B,KIF3B,0.99816424
DOLK,DOLK,0.99816376
CHSY3,CHSY3,0.9981607
SEMA6C,SEMA6C,0.99815917
TMEM185B,TMEM185B,0.99815613
GRPR,GRPR,0.9981489
DSEL,DSEL,0.9981487
FZR1,FZR1,0.9981482
CCDC102A,CCDC102A,0.9981381
TMEM203,TMEM203,0.9981317
USP20,USP20,0.99813044
RGS2,RGS2,0.99812806
DYNC1H1,DYNC1H1,0.9981261
KCNC2,KCNC2,0.99811494
PHKA1,PHKA1,0.9981095
PMCH,PMCH,0.9981077
MYF6,MYF6,0.99810666
SLC18A2,SLC18A2,0.9981054
ALDH18A1,ALDH18A1,0.9981045
KIAA1522,NHSL3,0.9981034
ITGA11,ITGA11,0.998102
GPR52,GPR52,0.9980949
ARGLU1,ARGLU1,0.998093
CASR,CASR,0.9980871
CENPB,CENPB,0.99808097
RAD21,RAD21,0.9980776
TDRD7,TDRD7,0.99807745
SMARCA1,SMARCA1,0.9980746
GJB2,GJB2,0.99807376
CNGA2,CNGA2,0.99807334
KCNK3,KCNK3,0.9980727
CNNM4,CNNM4,0.9980713
TBC1D22B,TBC1D22B,0.99806577
RAB21,RAB21,0.9980647
CDR2L,CDR2L,0.9980634
SLC25A33,SLC25A33,0.99806166
ANAPC10,ANAPC10,0.9980615
ZNF644,ZNF644,0.9980613
KIFAP3,KIFAP3,0.99806076
SEMA3D,SEMA3D,0.99805266
FEV,FEV,0.9980524
PYGO1,PYGO1,0.9980462
NEUROD4,NEUROD4,0.9980457
IGDCC4,IGDCC4,0.9980377
RASA1,RASA1,0.9980354
MAB21L1,MAB21L1,0.9980247
BICRAL,BICRAL,0.9980239
ZBTB10,ZBTB10,0.9980193
H2AC14,H2AJ,0.99801564
IRX2,IRX2,0.9980137
SYT11,SYT11,0.9980118
ADAMTS15,ADAMTS15,0.99800605
ITGA10,ITGA10,0.99800587
WDR12,WDR12,0.9980051
DRD1,DRD1,0.99800456
WAPL,WAPL,0.99799937
NPR1,NPR1,0.99799436
CXCR4,CXCR4,0.9979917
JRKL,JRKL,0.99798757
MRGBP,MRGBP,0.9979871
LRATD2,LRATD2,0.9979797
MED7,MED7,0.9979705
RPE65,RPE65,0.9979701
KCNJ1,KCNJ1,0.9979672
RCOR2,RCOR2,0.99796635
TMEM200B,TMEM200B,0.9979649
DLGAP1,DLGAP1,0.9979621
LRRN1,LRRN1,0.9979576
GPR161,GPR161,0.9979522
HCN3,HCN3,0.9979507
THAP7,THAP7,0.9979436
MVB12B,MVB12B,0.9979423
SESN2,SESN2,0.9979422
B4GALT3,B4GALT3,0.9979411
ADRA2A,ADRA2A,0.99794066
OBI1,OBI1,0.9979401
TESK1,TESK1,0.9979387
MAGEH1,MAGEH1,0.99793684
ZBTB33,ZBTB33,0.9979363
RGL1,RGL1,0.9979327
SMC3,SMC3,0.99793184
SOX4,SOX4,0.99792784
BRAP,BRAP,0.9979241
DIAPH2,DIAPH2,0.9979223
CNTN5,CNTN5,0.9979204
SIDT1,SIDT1,0.9979201
IRF2BP2,IRF2BP2,0.99791884
UNCX,UNCX,0.9979185
MSX1,MSX1,0.99791294
WDR44,WDR44,0.99788976
POP7,POP7,0.9978878
GOLGA7B,GOLGA7B,0.9978844
JMY,JMY,0.99788284
CDC40,CDC40,0.9978818
CACNG8,CACNG8,0.9978773
MMP24,MMP24,0.9978752
MACIR,MACIR,0.99787164
DNALI1,DNALI1,0.99786913
EFNB2,EFNB2,0.9978637
NKX6-2,NKX6-2,0.9978588
ADIPOR2,ADIPOR2,0.99785167
PTCHD4,PTCHD4,0.9978501
ARL4C,ARL4C,0.99784213
BAHD1,BAHD1,0.99783885
P4HA1,P4HA1,0.99783707
GALNT18,GALNT18,0.9978308
TSPAN6,TSPAN6,0.9978282
SCRT2,SCRT2,0.99782735
ZBTB7A,ZBTB7A,0.99782324
CAB39,CAB39,0.99782145
SNX12,SNX12,0.997812
GCLM,GCLM,0.99780214
SPSB1,SPSB1,0.99780214
PRRX2,PRRX2,0.9978019
CALU,CALU,0.9977999
HPSE2,HPSE2,0.99779826
RAB11FIP2,RAB11FIP2,0.99779624
NPPC,NPPC,0.9977946
NUP188,NUP188,0.9977944
TOMM70,TOMM70,0.99779147
MLX,MLX,0.99779063
KCNJ9,KCNJ9,0.99778813
GABRR2,GABRR2,0.9977874
KCNG3,KCNG3,0.9977832
FOXO1,FOXO1,0.99777585
TFAP2E,TFAP2E,0.99777234
MAGED1,MAGED1,0.99777126
GBX1,GBX1,0.9977694
CCR4,CCR4,0.99775827
SCUBE3,SCUBE3,0.9977539
RASL10B,RASL10B,0.997749
GPR75,GPR75,0.99774694
UTP20,UTP20,0.99774605
TMEM160,TMEM160,0.997745
PREX2,PREX2,0.9977449
BHLHE40,BHLHE40,0.99774146
UBE2D1,UBE2D1,0.99774104
FAM102B,EEIG2,0.99773383
DEDD,DEDD,0.99773276
GUCY2D,GUCY2D,0.99773186
RND2,RND2,0.99772406
NTN3,NTN3,0.9977239
NAB2,NAB2,0.99771565
MAPK6,MAPK6,0.99770707
HOXB13,HOXB13,0.99770033
MAFA,MAFA,0.99769557
ELMOD1,ELMOD1,0.99768895
BEND3,BEND3,0.9976839
CZIB,CZIB,0.9976806
DYSF,DYSF,0.99767965
KLHL4,KLHL4,0.9976782
PLA2G4A,PLA2G4A,0.99766916
LINGO4,LINGO4,0.9976688
EN1,EN1,0.99766856
OTULINL,OTULINL,0.9976683
TAB3,TAB3,0.9976673
TLN1,TLN1,0.9976566
LHFPL4,LHFPL4,0.9976557
THRAP3,THRAP3,0.9976496
SOCS4,SOCS4,0.9976449
PNMA1,PNMA1,0.99764127
ARPP19,ARPP19,0.997641
SFN,SFN,0.9976404
DLX2,DLX2,0.9976363
GDF6,GDF6,0.99763525
UAP1,UAP1,0.9976329
TENT5C,TENT5C,0.9976287
GPR63,GPR63,0.9976254
LRRC58,LRRC58,0.99762267
GINS1,GINS1,0.99761987
TAF9B,TAF9B,0.99761736
ACTR5,ACTR5,0.99761325
CAV3,CAV3,0.99758077
RFX6,RFX6,0.9975792
ACVR1C,ACVR1C,0.99757916
DNAJB9,DNAJB9,0.99757904
