microcebus gene name,human gene name,correlation
FZD2,FZD2,0.9999373
ZBTB26,ZBTB26,0.99993294
UBLCP1,UBLCP1,0.99993217
FGF14,FGF14,0.99993145
ZMYND19,ZMYND19,0.9999312
TBC1D9,TBC1D9,0.9999205
UGCG,UGCG,0.9999182
IRF2BP1,IRF2BP1,0.9999162
KCNS2,KCNS2,0.99991286
STK38,STK38,0.999902
HOXC9,HOXC9,0.9998988
UBE2Q1,UBE2Q1,0.99989176
SERINC1,SERINC1,0.99988943
CACNG2,CACNG2,0.9998894
DESI1,DESI1,0.9998888
RPL10A,RPL10A,0.9998867
NEUROD6,NEUROD6,0.99988425
MED18,MED18,0.9998831
JAKMIP2,JAKMIP2,0.9998784
HOXC4,HOXC4,0.9998685
FUT9,FUT9,0.9998651
KLHL11,KLHL11,0.99985963
AIDA,AIDA,0.9998572
RRAGC,RRAGC,0.999854
SSTR1,SSTR1,0.9998491
PURB,PURB,0.9998467
B3GALT1,B3GALT1,0.99984115
SOX1,SOX1,0.999841
SLITRK1,SLITRK1,0.99983764
KLHL9,KLHL9,0.99983746
MB21D2,MB21D2,0.9998369
STT3B,STT3B,0.9998348
KCTD4,KCTD4,0.9998296
CA8,CA8,0.9998285
PLCXD3,PLCXD3,0.9998234
HOXB9,HOXB9,0.99982065
BARHL1,BARHL1,0.99982053
KCNJ2,KCNJ2,0.99981946
PBX2,PBX2,0.99981934
TWIST2,TWIST2,0.9998098
LRRC8A,LRRC8A,0.9998096
WNT1,WNT1,0.9998034
RPL24,RPL24,0.99980116
KCNK12,KCNK12,0.9997982
GNAI3,GNAI3,0.99979115
TADA1,TADA1,0.9997883
POLR3GL,POLR3GL,0.99978745
GABPA,GABPA,0.99978477
FGF18,FGF18,0.99977916
HOXC8,HOXC8,0.99977744
NOG,NOG,0.99977595
DUSP1,DUSP1,0.9997755
INHBA,INHBA,0.9997748
ARRDC3,ARRDC3,0.9997719
TBX20,TBX20,0.99976945
NEUROD1,NEUROD1,0.99976444
ABHD13,ABHD13,0.9997593
COL2A1,COL2A1,0.9997576
MEOX2,MEOX2,0.99975175
FZD4,FZD4,0.99975
FZD7,FZD7,0.9997472
GRIN2D,GRIN2D,0.99974674
RHOG,RHOG,0.99974644
TLX3,TLX3,0.9997428
MYL12B,MYL12B,0.9997332
GNAZ,GNAZ,0.999733
MAFB,MAFB,0.99973214
SOX2,SOX2,0.99973077
H2AX,H2AX,0.9997303
ZBTB12,ZBTB12,0.9997289
POU4F3,POU4F3,0.99972796
LMO1,LMO1,0.99972653
MEX3A,MEX3A,0.9997138
RAB33A,RAB33A,0.99971074
TOB1,TOB1,0.99970615
POU3F4,POU3F4,0.99970603
POU4F2,POU4F2,0.99970603
POU3F1,POU3F1,0.99970555
CCDC85B,CCDC85B,0.9996988
SIX6,SIX6,0.99969065
SLC35D1,SLC35D1,0.9996868
RCBTB1,RCBTB1,0.99967825
ZDHHC21,ZDHHC21,0.99967736
RCOR2,RCOR2,0.9996749
LMX1A,LMX1A,0.9996747
GLRA3,GLRA3,0.99967235
RORB,RORB,0.9996711
SERTM1,SERTM1,0.9996653
GALNT18,GALNT18,0.99966484
SYT11,SYT11,0.99966145
KCND3,KCND3,0.99965954
SLC6A17,SLC6A17,0.9996589
SYT2,SYT2,0.9996581
ZBTB2,ZBTB2,0.99965745
TCF21,TCF21,0.99965495
TIMP3,TIMP3,0.9996548
SOX21,SOX21,0.9996476
RBM18,RBM18,0.9996472
NCKAP1,NCKAP1,0.9996469
KIAA1958,KIAA1958,0.99964386
SATB2,SATB2,0.99964
LINGO2,LINGO2,0.99963707
GOLGA7B,GOLGA7B,0.99963593
HOXC5,HOXC5,0.99963427
BRK1,BRK1,0.99963295
TMEM35A,TMEM35A,0.9996312
POU3F3,POU3F3,0.99963015
ARPC5L,ARPC5L,0.9996263
CDH12,CDH12,0.9996221
LDB1,LDB1,0.99961716
MTCP1,MTCP1,0.9996139
SIX3,SIX3,0.999609
CHRM4,CHRM4,0.99960786
NKX2-2,NKX2-2,0.9996064
SLC32A1,SLC32A1,0.99960315
RC3H1,RC3H1,0.99960256
TRPC5,TRPC5,0.9996025
HAS2,HAS2,0.99959725
SMURF1,SMURF1,0.99959666
GJD2,GJD2,0.9995901
TMEM229B,TMEM229B,0.9995874
RPRM,RPRM,0.9995866
SLITRK2,SLITRK2,0.9995848
ID2,ID2,0.9995838
KCTD16,KCTD16,0.9995811
SRF,SRF,0.9995733
B3GALT2,B3GALT2,0.99956995
LMX1B,LMX1B,0.99956685
AHDC1,AHDC1,0.99956185
RIMS4,RIMS4,0.9995596
KLF12,KLF12,0.999554
RING1,RING1,0.9995492
INTS5,INTS5,0.9995487
RHOU,RHOU,0.9995486
H3-4,H3C1,0.99954575
CRYBB2,CRYBB2,0.999539
CADM2,CADM2,0.99953556
VAT1L,VAT1L,0.9995321
TOMM40L,TOMM40L,0.99952906
GPR22,GPR22,0.9995269
PRKAA2,PRKAA2,0.99952674
SNAP25,SNAP25,0.99952614
PPP1R16B,PPP1R16B,0.9995258
TMEM60,TMEM60,0.9995257
VPS37D,VPS37D,0.99952555
FAM117B,FAM117B,0.9995215
KCNJ4,KCNJ4,0.9995165
SLC35F1,SLC35F1,0.9995135
ACTR1B,ACTR1B,0.9995112
PITX3,PITX3,0.9995069
CCDC6,CCDC6,0.9995059
ZNF146,ZNF146,0.9994982
ABI1,ABI1,0.99949545
TRHR,TRHR,0.9994952
MYH3,MYH3,0.9994933
MGAT5,MGAT5,0.99949086
NEUROD2,NEUROD2,0.9994886
PGAP4,PGAP4,0.9994875
FBXL7,FBXL7,0.9994858
TBC1D22B,TBC1D22B,0.9994845
ZBTB5,ZBTB5,0.9994832
ZIC3,ZIC3,0.99948317
TNPO3,TNPO3,0.9994831
GJB2,GJB2,0.99948263
FAM168A,FAM168A,0.999482
PLEKHF2,PLEKHF2,0.9994798
FILIP1,FILIP1,0.99947244
C1QL1,C1QL1,0.9994621
IKZF5,IKZF5,0.9994617
ARFGEF3,ARFGEF3,0.99945545
INHBB,INHBB,0.9994543
PPP2R5A,PPP2R5A,0.999454
RAB3B,RAB3B,0.99945134
ZC3H7B,ZC3H7B,0.99944717
AKIRIN2,AKIRIN2,0.9994444
CLIC4,CLIC4,0.999444
SMIM32,SMIM32,0.99944067
FEZF2,FEZF2,0.99943995
SLC41A1,SLC41A1,0.99943495
PLCH1,PLCH1,0.9994326
HOXC13,HOXC13,0.9994315
RND2,RND2,0.9994285
FAM199X,FAM199X,0.9994225
ZRANB2,ZRANB2,0.9994161
NKIRAS1,NKIRAS1,0.99941576
GET3,GET3,0.9994147
NFYB,NFYB,0.9994122
PELO,PELO,0.9994118
GJA1,GJA1,0.9994116
TCERG1,TCERG1,0.99940974
UBQLN4,UBQLN4,0.999408
NUFIP2,NUFIP2,0.9994079
GRIA1,GRIA1,0.99940443
SLITRK5,SLITRK5,0.9994024
CTNNB1,CTNNB1,0.9994
MOB3B,MOB3B,0.9993987
SLC9A7,SLC9A7,0.9993973
STK26,STK26,0.9993959
GMEB1,GMEB1,0.999393
BARHL2,BARHL2,0.99938345
HMX3,HMX3,0.9993834
TOMM70,TOMM70,0.9993784
SUV39H1,SUV39H1,0.99937385
CEBPE,CEBPE,0.9993695
ZRANB1,ZRANB1,0.9993655
NELFCD,NELFCD,0.99936205
PIAS4,PIAS4,0.99935967
LIX1L,LIX1L,0.9993552
STUM,STUM,0.99935335
PRRC2A,PRRC2A,0.9993483
RASD2,RASD2,0.99934787
BCL11B,BCL11B,0.99934715
ZNF503,ZNF503,0.9993444
DENND1A,DENND1A,0.99934226
RNF103,RNF103,0.99934137
LZTS3,LZTS3,0.9993394
ERG28,ERG28,0.9993391
GUCY1B1,GUCY1B1,0.9993384
KIF4A,KIF4A,0.9993382
FLRT3,FLRT3,0.9993345
PYGO1,PYGO1,0.9993296
TAF9B,TAF9B,0.9993225
FBXO41,FBXO41,0.9993189
SPRY2,SPRY2,0.999316
SAP30,SAP30,0.9993154
EMC6,EMC6,0.99931383
ATG2B,ATG2B,0.9993117
TMEM151A,TMEM151A,0.9993089
RWDD2A,RWDD2A,0.9993088
UBQLN2,UBQLN2,0.9993078
FGF16,FGF16,0.9993077
LEMD3,LEMD3,0.9993075
FOXL2,FOXL2,0.99930745
SLC7A14,SLC7A14,0.9993073
HOXA10,HOXA10,0.99930495
TRIM44,TRIM44,0.9993018
SMU1,SMU1,0.9992993
RGS7BP,RGS7BP,0.99929917
INA,INA,0.99929845
KCNV1,KCNV1,0.99929804
KCNJ6,KCNJ6,0.99929684
SAMM50,SAMM50,0.99929434
CHRM2,CHRM2,0.99929404
NPY,NPY,0.99929273
LEO1,LEO1,0.9992922
LBX1,LBX1,0.999292
PHB1,PHB,0.9992893
TPH2,TPH2,0.9992887
CEPT1,CEPT1,0.99928725
SLITRK4,SLITRK4,0.9992868
EXOSC7,EXOSC7,0.99928427
ATXN1L,ATXN1L,0.99928373
BMP2,BMP2,0.99928254
BICRAL,BICRAL,0.9992801
P2RY1,P2RY1,0.9992792
CHST1,CHST1,0.99927676
OSR1,OSR1,0.9992761
MED23,MED23,0.9992758
MYH13,MYH13,0.99927396
CDK5R2,CDK5R2,0.99927366
MAPK1IP1L,MAPK1IP1L,0.9992731
RBM15,RBM15,0.99927306
SOX9,SOX9,0.99926955
POLR2A,POLR2A,0.9992586
SOX12,SOX12,0.9992558
TMEFF2,TMEFF2,0.9992556
GPR155,GPR155,0.99925214
HS6ST1,HS6ST1,0.9992507
MCM6,MCM6,0.99924564
FLRT1,FLRT1,0.9992405
HSPE1,HSPE1,0.9992279
MYF6,MYF6,0.99922687
CRKL,CRKL,0.9992241
CDR2L,CDR2L,0.9992221
BEND3,BEND3,0.9992203
TMEM132E,TMEM132E,0.9992185
HOXB6,HOXB6,0.9992182
RPE65,RPE65,0.9992172
AP3S1,AP3S1,0.99921376
GDAP2,GDAP2,0.99920464
MAP3K2,MAP3K2,0.99920464
FOXA2,FOXA2,0.9992004
GNA14,GNA14,0.9991987
RGL1,RGL1,0.99919635
ZNF32,ZNF32,0.9991942
DEDD,DEDD,0.9991906
SCAF4,SCAF4,0.99918324
FOXJ1,FOXJ1,0.99918
EHD3,EHD3,0.99917996
PPP3R1,PPP3R1,0.9991782
SRPRA,SRPRA,0.9991768
ONECUT2,ONECUT2,0.99917644
FEV,FEV,0.9991687
ST3GAL2,ST3GAL2,0.9991672
GID8,GID8,0.9991631
CDH20,CDH20,0.999157
ZMIZ1,ZMIZ1,0.99915636
C3orf70,C3orf70,0.9991562
PLK2,PLK2,0.99915504
RPS14,RPS14,0.999154
HEY2,HEY2,0.9991526
UPF2,UPF2,0.999146
SRGAP1,SRGAP1,0.9991432
CAPN6,CAPN6,0.9991413
GNG8,GNG8,0.99913734
TENT5C,TENT5C,0.99913377
MED30,MED30,0.9991282
CDH22,CDH22,0.999127
SMARCA1,SMARCA1,0.9991265
GPATCH2,GPATCH2,0.9991247
AGPAT1,AGPAT1,0.99912435
PTDSS1,PTDSS1,0.9991191
NCAM2,NCAM2,0.99911857
UNC79,UNC79,0.9991167
ZC3H12C,ZC3H12C,0.9991128
GPR88,GPR88,0.9991119
ALX1,ALX1,0.9991087
RNF145,RNF145,0.9991076
CDX2,CDX2,0.99910605
BCL9L,BCL9L,0.9991042
SLC25A6,SLC25A6,0.9991042
B4GALT5,B4GALT5,0.9991038
GRM6,GRM6,0.9991025
CACNG4,CACNG4,0.9990963
C14orf28,C14orf28,0.999095
KCNA6,KCNA6,0.9990916
NELL1,NELL1,0.9990897
NEXMIF,NEXMIF,0.99908876
NKX6-2,NKX6-2,0.999086
GLIS2,GLIS2,0.9990848
SUPT7L,SUPT7L,0.99907595
KCNJ14,KCNJ14,0.99907273
STXBP3,STXBP3,0.9990699
RLF,RLF,0.99906826
BAZ1B,BAZ1B,0.9990673
MYH8,MYH8,0.99906725
NPY2R,NPY2R,0.999064
ARL3,ARL3,0.99906254
EFNB3,EFNB3,0.99906254
DLX6,DLX6,0.99906224
MYH11,MYH11,0.9990584
HOXB5,HOXB5,0.9990519
FNBP1,FNBP1,0.99904925
UNC5D,UNC5D,0.9990431
HS3ST5,HS3ST5,0.99904275
NPTX1,NPTX1,0.9990418
ATP5MC3,ATP5MC3,0.9990375
PRR12,PRR12,0.99903643
C1GALT1C1,C1GALT1C1,0.9990347
ELOVL4,ELOVL4,0.9990329
IRX2,IRX2,0.9990272
GCC1,GCC1,0.99902713
NALF2,NALF2,0.9990224
HCRTR2,HCRTR2,0.99902016
ATN1,ATN1,0.99901927
LRRN1,LRRN1,0.9990152
ZFP91,ZFP91,0.9990152
ZSWIM5,ZSWIM5,0.9990145
RS1,RS1,0.9990137
TTBK1,TTBK1,0.99901366
XRN2,XRN2,0.99901354
HTR7,HTR7,0.9990118
ZBTB6,ZBTB6,0.9990094
C6orf62,C6orf62,0.9990085
HOXB4,HOXB4,0.999008
TUSC3,TUSC3,0.99900323
KBTBD7,KBTBD7,0.9990029
B4GAT1,B4GAT1,0.99900264
SLC17A6,SLC17A6,0.99899894
FOXO1,FOXO1,0.99899304
LRATD1,LRATD1,0.9989898
HNF4G,HNF4G,0.99898934
DLGAP1,DLGAP1,0.99898803
H1-4,H1-4,0.9989874
PHKA1,PHKA1,0.9989832
PCNX3,PCNX3,0.9989823
ARHGEF12,ARHGEF12,0.9989819
NGB,NGB,0.9989819
ID3,ID3,0.9989813
SOSTDC1,SOSTDC1,0.9989794
RAB9B,RAB9B,0.9989789
MSTN,MSTN,0.9989771
PTPRU,PTPRU,0.9989741
FZD5,FZD5,0.9989732
FNBP1L,FNBP1L,0.9989709
NKX2-1,NKX2-1,0.9989696
FAM43B,FAM43B,0.99896866
PHKA2,PHKA2,0.9989685
ST6GALNAC3,ST6GALNAC3,0.9989676
LRFN1,LRFN1,0.99896675
SOCS1,SOCS1,0.9989657
DCHS1,DCHS1,0.9989654
ZBTB34,ZBTB34,0.99896336
HES1,HES1,0.99896306
HOXA2,HOXA2,0.99896216
NUP188,NUP188,0.99896216
CDC40,CDC40,0.9989616
GPR63,GPR63,0.9989588
HIVEP2,HIVEP2,0.9989588
VSX2,VSX2,0.99895805
CLDN9,CLDN9,0.9989549
LRFN3,LRFN3,0.99895453
GPR75,GPR75,0.998954
MC4R,MC4R,0.99895144
SARS1,SARS1,0.99894744
STMN2,STMN2,0.9989443
OSBPL11,OSBPL11,0.99894077
MAPK1,MAPK1,0.99894
NR1D1,NR1D1,0.9989387
SLC25A33,SLC25A33,0.9989373
PRIMA1,PRIMA1,0.99892986
ZFC3H1,ZFC3H1,0.99892503
MSMP,MSMP,0.9989244
KIFAP3,KIFAP3,0.99892414
TOX,TOX,0.99892
TNMD,TNMD,0.9989138
RTN1,RTN1,0.9989133
EFNB2,EFNB2,0.99891263
SP6,SP6,0.9989108
ACTA2,ACTC1,0.9989083
TPPP3,TPPP3,0.9989076
LRCH2,LRCH2,0.99890757
EN1,EN1,0.9989045
TTL,TTL,0.9989042
SHB,SHB,0.9989032
DLGAP3,DLGAP3,0.9989022
B4GALT3,B4GALT3,0.99890023
WASL,WASL,0.99889857
ERFL,ERFL,0.998891
ZPLD1,ZPLD1,0.99888146
NAPB,NAPB,0.9988744
MAPK8IP1,MAPK8IP1,0.99886656
PPTC7,PPTC7,0.99886435
NPR1,NPR1,0.9988616
ZFP36L2,ZFP36L2,0.99886
HECA,HECA,0.998859
CARMIL3,CARMIL3,0.998858
CORO2B,CORO2B,0.99884504
ZC3H12B,ZC3H12B,0.9988388
PARD3,PARD3,0.99883664
SNX12,SNX12,0.99883544
SGCZ,SGCZ,0.9988344
EHD4,EHD4,0.99882936
AGTR2,AGTR2,0.99881953
NAB2,NAB2,0.9988137
GPR4,GPR4,0.9988135
IMP3,IMP3,0.99880856
LMBRD2,LMBRD2,0.9988068
FOXD2,FOXD2,0.99880576
SNN,SNN,0.9988049
TRPC4,TRPC4,0.99880415
SOST,SOST,0.9988011
BMP5,BMP5,0.9987988
FOXF2,FOXF2,0.99879843
SLC35D3,SLC35D3,0.9987979
CACNA2D2,CACNA2D2,0.9987959
CKM,CKM,0.9987953
STAT3,STAT3,0.9987933
EEF1G,EEF1G,0.9987915
PAX2,PAX2,0.99879104
WNT2B,WNT2B,0.9987907
PCDH20,PCDH20,0.9987858
THRAP3,THRAP3,0.9987822
SMCR8,SMCR8,0.9987812
PHLDA3,PHLDA3,0.99878114
PLA2G4A,PLA2G4A,0.9987811
BCL9,BCL9,0.99877185
ASTN1,ASTN1,0.99877006
SOCS4,SOCS4,0.99876845
NKX2-3,NKX2-3,0.99876404
TANC1,TANC1,0.9987638
MYH4,MYH4,0.9987636
POLR3F,POLR3F,0.9987623
EVX2,EVX2,0.99876183
KLHL1,KLHL1,0.99876016
UNC5B,UNC5B,0.99875635
ABCD2,ABCD2,0.9987526
PCSK2,PCSK2,0.9987494
NHLH1,NHLH1,0.9987452
IRF4,IRF4,0.9987448
RGS17,RGS17,0.9987445
VAMP4,VAMP4,0.99874425
IER5L,IER5L,0.9987405
PPP1R10,PPP1R10,0.9987405
HSPA1L,HSPA1L,0.9987392
ENHO,ENHO,0.9987373
GRIN3A,GRIN3A,0.9987368
NDP,NDP,0.99873596
NAIF1,NAIF1,0.99873435
PRKCI,PRKCI,0.99872345
CAMSAP3,CAMSAP3,0.9987212
IHH,IHH,0.99871933
TBX21,TBX21,0.9987187
IRF2BP2,IRF2BP2,0.9987171
EXOC1,EXOC1,0.99871707
EGR1,EGR1,0.99871564
ZNF689,ZNF689,0.9987103
FGD1,FGD1,0.9987102
ATXN7L3B,ATXN7L3B,0.99870974
ZC3H6,ZC3H6,0.99870795
RIMS3,RIMS3,0.9987077
SLC44A1,SLC44A1,0.9987072
GABRA3,GABRA3,0.998706
GIT2,GIT2,0.9986992
RNF38,RNF38,0.99869436
STRIP2,STRIP2,0.9986916
ST8SIA2,ST8SIA2,0.9986911
TESK1,TESK1,0.9986863
DTL,DTL,0.9986862
PPM1E,PPM1E,0.99868363
SCUBE3,SCUBE3,0.9986803
UBAP1,UBAP1,0.9986793
INPP4A,INPP4A,0.9986785
PLEK,PLEK,0.9986727
ZBTB4,ZBTB4,0.9986674
DHH,DHH,0.998667
LRRC10B,LRRC10B,0.9986669
HTR1B,HTR1B,0.99865925
GINS1,GINS1,0.99865675
LHX3,LHX3,0.9986558
FOXB2,FOXB2,0.99865395
THSD7A,THSD7A,0.99865365
FSTL5,FSTL5,0.9986506
STAT5A,STAT5A,0.9986491
NECTIN1,NECTIN1,0.9986488
TBC1D8,TBC1D8,0.9986461
CHST2,CHST2,0.9986456
TMEM164,TMEM164,0.99864453
CPLX3,CPLX3,0.99864
ANAPC16,ANAPC16,0.9986394
CAB39,CAB39,0.998637
GATA6,GATA6,0.9986312
ATP2B3,ATP2B3,0.99862975
GABRB2,GABRB2,0.9986228
KCNB2,KCNB2,0.9986226
CCT2,CCT2,0.998622
SOX11,SOX11,0.9986208
DNAAF9,DNAAF9,0.998619
LHFPL6,LHFPL6,0.9986184
AGO4,AGO4,0.99861753
POLE4,POLE4,0.9986172
KCNC2,KCNC2,0.9986114
TMEM115,TMEM115,0.9986093
DR1,DR1,0.9986078
YES1,YES1,0.9986076
SESN1,SESN1,0.99860656
ADD3,ADD3,0.99860466
TBX5,TBX5,0.99860436
CNNM1,CNNM1,0.99859786
GMEB2,GMEB2,0.9985975
PTN,PTN,0.99859744
DMRTA2,DMRTA2,0.99859494
LRIG2,LRIG2,0.9985945
MAP3K9,MAP3K9,0.99859184
INSC,INSC,0.99858767
LNX2,LNX2,0.99858695
MCMBP,MCMBP,0.99858683
KIF3B,KIF3B,0.9985864
HIF1A,HIF1A,0.99857813
MAFK,MAFK,0.9985746
WDR44,WDR44,0.99857455
OPCML,OPCML,0.99857444
MUL1,MUL1,0.99857396
ADAMTS15,ADAMTS15,0.99857354
SIKE1,SIKE1,0.99857324
KDM2A,KDM2A,0.9985693
TRIM62,TRIM62,0.9985679
NUP133,NUP133,0.99856037
SNX32,SNX32,0.99855983
ADGRB1,ADGRB1,0.9985529
NEO1,NEO1,0.9985502
PLPP4,PLPP4,0.99855
OR6C4,OR6C4,0.9985492
PLEKHM2,PLEKHM2,0.998547
UPF1,UPF1,0.9985448
HEPACAM,HEPACAM,0.99854344
SLC35F3,SLC35F3,0.99854237
ARL2,ARL2,0.9985386
SFRP2,SFRP2,0.99853665
KCNA7,KCNA7,0.9985352
HOMER1,HOMER1,0.9985338
DMBX1,DMBX1,0.99852526
KLHL20,KLHL20,0.99852526
SERTAD4,SERTAD4,0.99852455
NUP153,NUP153,0.99851775
TMEM203,TMEM203,0.9985083
HIVEP3,HIVEP3,0.99850667
HOXD11,HOXD11,0.99850464
JMY,JMY,0.99850076
FAM219A,FAM219A,0.99850047
MED7,MED7,0.99849993
GABRG1,GABRG1,0.99849826
H2AC1,H2AC1,0.9984973
SV2C,SV2C,0.9984964
GBX1,GBX1,0.9984934
USP27X,USP27X,0.9984926
MARCKS,MARCKS,0.9984853
OMG,OMG,0.99847555
MMUT,MMUT,0.9984744
AMIGO2,AMIGO2,0.9984715
SESN2,SESN2,0.99847
FIBIN,FIBIN,0.99846864
RASSF2,RASSF2,0.9984668
FAM171B,FAM171B,0.99845916
PLAG1,PLAG1,0.9984582
P2RY12,P2RY12,0.9984567
TRIM71,TRIM71,0.9984566
SLC12A2,SLC12A2,0.99845624
HAND1,HAND1,0.99845374
IGFBP4,IGFBP4,0.9984536
BSX,BSX,0.998453
ACBD3,ACBD3,0.99845046
SRBD1,SRBD1,0.99844974
STX1A,STX1A,0.9984467
CCT6A,CCT6A,0.99843997
SLC24A2,SLC24A2,0.9984359
CZIB,CZIB,0.998434
RBM42,RBM42,0.99843097
ABCF3,ABCF3,0.9984287
KDELR3,KDELR3,0.9984246
TFAP2E,TFAP2E,0.9984171
HTR1E,HTR1E,0.99841636
TAB3,TAB3,0.99841297
ZNHIT1,ZNHIT1,0.99841297
ITM2A,ITM2A,0.9984121
ZBTB7B,ZBTB7B,0.99841154
EXOC4,EXOC4,0.99840486
UBTD1,UBTD1,0.99840367
CACNA1G,CACNA1G,0.9984016
ARL5B,ARL5B,0.99839884
NCOA3,NCOA3,0.9983961
ZNF335,ZNF335,0.9983932
REPS2,REPS2,0.99839175
AHCY,AHCY,0.99838907
SIDT1,SIDT1,0.99838907
VTA1,VTA1,0.99838823
CBLN4,CBLN4,0.9983859
DYSF,DYSF,0.9983851
HMX2,HMX2,0.9983793
VGLL2,VGLL2,0.9983783
TRIM24,TRIM24,0.9983781
SMC3,SMC3,0.9983748
RLIM,RLIM,0.99836767
MID1IP1,MID1IP1,0.9983664
FBXL14,FBXL14,0.99836636
HAS3,HAS3,0.9983645
NRAP,NRAP,0.9983616
COL1A2,COL1A2,0.9983605
SHISA2,SHISA2,0.99835795
RIMS2,RIMS2,0.9983553
AP2S1,AP2S1,0.9983542
CEBPG,CEBPG,0.99835086
ZNF184,ZNF184,0.9983505
MEAF6,MEAF6,0.9983474
DIP2A,DIP2A,0.99834454
HOXC11,HOXC11,0.9983383
SH3GL2,SH3GL2,0.9983355
MARCKSL1,MARCKSL1,0.9983353
SIX2,SIX2,0.9983282
CNGA2,CNGA2,0.9983223
LHFPL4,LHFPL4,0.9983178
RUNDC3B,RUNDC3B,0.9983161
HSPA6,HSPA6,0.9983126
CXCR4,CXCR4,0.99831164
WNT8B,WNT8B,0.9983086
NOC3L,NOC3L,0.9983062
CLIC1,CLIC1,0.9983037
YIPF1,YIPF1,0.99829954
EXOSC6,EXOSC6,0.9982897
INSRR,INSRR,0.9982885
RNF115,RNF115,0.99828357
GIGYF1,GIGYF1,0.9982831
TXLNA,TXLNA,0.99827695
KIRREL1,KIRREL1,0.9982761
UBE2D1,UBE2D1,0.99827504
HMGA2,HMGA2,0.99826473
APLNR,APLNR,0.9982638
RASGRF2,RASGRF2,0.998259
SLC45A3,SLC45A3,0.9982585
HHIP,HHIP,0.9982582
CLPTM1L,CLPTM1L,0.998257
DOCK3,DOCK3,0.99825567
PDE3A,PDE3A,0.99825215
RNF19B,RNF19B,0.9982513
HTRA3,HTRA3,0.9982449
MNT,MNT,0.9982443
PYGL,PYGL,0.99824166
CHERP,CHERP,0.9982416
DOC2B,DOC2B,0.9982408
ATP13A3,ATP13A3,0.99823207
SFRP5,SFRP5,0.9982293
KLHL41,KLHL41,0.99822634
TMEM151B,TMEM151B,0.99822634
DPF3,DPF3,0.99822515
RNGTT,RNGTT,0.9982216
RECK,RECK,0.9982164
FAM43A,FAM43A,0.9982136
CEBPB,CEBPB,0.9982131
ACTBL2,ACTBL2,0.9982129
HK2,HK2,0.99820995
