crab_eating_macaque gene name,rhesus_macaque gene name,human gene name,mice gene name,pig gene name
C2orf49,C13H2orf49,C2orf49,AI597479,C2orf49
C11orf68,C14H11orf68,C11orf68,AI837181,C11orf68
C16orf89,C20H16orf89,C16orf89,AU021092,C16orf89
ZNF878,ZNF878,ZNF878,AU041133,ZNF569
C7orf25,C3H7orf25,C7orf25,AW209491,C7orf25
RIMOC1,RIMOC1,C5orf51,AW549877,RIMOC1
VWA5A,VWA5A,VWA5A,AW551984,VWA5A
MYZAP,MYZAP,KIAA1328,AW554918,KIAA1328
AACS,AACS,AACS,Aacs,AACS
AADAC,AADAC,AADAC,Aadac,AADAC
AADACL3,AADACL3,AADACL3,Aadacl4fm4,AADACL4
AADAT,AADAT,AADAT,Aadat,AADAT
AAGAB,AAGAB,AAGAB,Aagab,AAGAB
AAMDC,AAMDC,AAMDC,Aamdc,AAMDC
AAMP,AAMP,AAMP,Aamp,AAMP
AANAT,AANAT,AANAT,Aanat,AANAT
AAR2,AAR2,AAR2,Aar2,AAR2
AARD,AARD,AARD,Aard,AARD
AARS2,AARS2,AARS2,Aars2,AARS2
AASDH,AASDH,AASDH,Aasdh,AASDH
AASS,AASS,AASS,Aass,AASS
AATF,AATF,AATF,Aatf,AATF
ABCA1,ABCA1,ABCA4,Abca1,ABCA4
ABCA12,ABCA12,ABCA12,Abca12,ABCA12
ABCA13,ABCA13,ABCA13,Abca13,ABCA13
ABCA5,ABCA5,ABCA5,Abca5,ABCA5
ABCA7,ABCA7,ABCA7,Abca7,ABCA7
ABCA8,ABCA8,ABCA8,Abca9,ABCA9
ABCB10,ABCB10,ABCB10,Abcb10,ABCB10
ABCB11,ABCB11,ABCB11,Abcb11,ABCB11
ABCB5,ABCB5,ABCB5,Abcb5,ABCB5
ABCB7,ABCB7,ABCB7,Abcb7,ABCB7
ABCB9,ABCB9,ABCB9,Abcb9,ABCB9
ABCC2,ABCC2,ABCC2,Abcc1,ABCC1
ABCC10,ABCC10,ABCC10,Abcc10,ABCC10
ABCC12,ABCC12,ABCC12,Abcc12,ABCC12
ABCC1,ABCC1,ABCC1,Abcc3,ABCC3
ABCC4,ABCC4,ABCC4,Abcc4,ABCC5
ABCC9,ABCC9,ABCC9,Abcc9,ABCC9
ABCD2,ABCD2,ABCD2,Abcd2,ABCD2
ABCD3,ABCD3,ABCD3,Abcd3,ABCD3
ABCE1,ABCE1,ABCE1,Abce1,ABCE1
ABCF2,ABCF2,ABCF2-H2BE1,Abcf2,ABCF2
ABCF3,ABCF3,ABCF3,Abcf3,ABCF3
ABCG1,ABCG1,ABCG1,Abcg1,ABCG1
ABCG4,ABCG4,ABCG4,Abcg4,ABCG4
ABCG5,ABCG5,ABCG5,Abcg5,ABCG5
ABCG8,ABCG8,ABCG8,Abcg8,ABCG8
ABHD1,ABHD1,ABHD1,Abhd1,ABHD1
ABHD11,ABHD11,ABHD11,Abhd11,ABHD11
ABHD13,ABHD13,ABHD13,Abhd13,ABHD13
ABHD16A,ABHD16A,ABHD16A,Abhd16a,ABHD16A
ABHD17B,ABHD17B,ABHD17B,Abhd17b,ABHD17B
ABHD18,ABHD18,ABHD18,Abhd18,ABHD18
ABHD2,ABHD2,ABHD2,Abhd2,ABHD2
ABHD3,ABHD3,ABHD3,Abhd3,ABHD3
ABHD5,ABHD5,ABHD5,Abhd4,ABHD4
ABHD6,ABHD6,ABHD6,Abhd6,ABHD6
ABI1,ABI1,ABI1,Abi1,ABI1
ABI2,ABI2,ABI2,Abi2,ABI2
ABI3BP,ABI3BP,ABI3BP,Abi3bp,ABI3BP
ABL2,ABL2,ABL2,Abl2,ABL2
ABLIM1,ABLIM1,ABLIM1,Ablim1,ABLIM1
AFAP1L1,ABLIM3,ABLIM3,Ablim3,ABLIM3
ABR,ABR,ABR,Abr,ABR
ABRA,ABRA,ABRA,Abra,ABRA
ABT1,ABT1,ABT1,Abt1,ABT1
ACAD11,ACAD11,ACAD11,Acad11,ACAD11
ACADM,ACADM,ACADL,Acadl,ACADL
IVD,IVD,IVD,Acadm,ACADM
ACADS,ACADS,ACADS,Acads,ACADS
ACADSB,ACADSB,ACADSB,Acadsb,ACADSB
ACADVL,ACADVL,ACADVL,Acadvl,ACADVL
ACAN,ACAN,ACAN,Acan,ACAN
ACAP2,ACAP2,ACAP2,Acap2,ACAP2
CUL5,CUL5,ACAT1,Acat1,ACAT1
ACBD3,ACBD3,ACBD3,Acbd3,ACBD3
ACBD5,ACBD5,ACBD5,Acbd5,ACBD5
ACBD6,ACBD6,ACBD6,Acbd6,ACBD6
ACD,ACD,ACD,Acd,ACD
ACE2,ACE2,ACE2,Ace2,ACE2
ACER1,ACER1,ACER1,Acer1,ACER1
ACER2,ACER2,ACER2,Acer2,ACER2
ACER3,ACER3,ACER3,Acer3,ACER3
ACKR1,ACKR1,ACKR1,Ackr1,ACKR1
CXCR2,CXCR2,CXCR2,Ackr2,ACKR2
ACLY,ACLY,ACLY,Acly,ACLY
ACMSD,ACMSD,ACMSD,Acmsd,ACMSD
BAAT,BAAT,BAAT,Acnat2,BAAT
ACO1,ACO1,ACO1,Aco1,ACO1
ACOD1,ACOD1,ACOD1,Acod1,ACOD1
ACOT9,ACOT9,ACOT9,Acot10,ACOT9
MROH7,ACOT11,ACOT11,Acot12,ACOT12
ACOT7,ACOT7,ACOT7,Acot7,ACOT7
ACOT8,ACOT8,ACOT8,Acot8,ACOT8
ACOX2,ACOX2,ACOX2,Acox2,ACOX2
ACOX3,ACOX3,ACOX3,Acox3,ACOX3
ACP1,ACP1,ACP1,Acp1,ACP1
ACP2,ACP2,ACP2,Acp2,ACP2
ACP6,ACP6,ACP6,Acp6,ACP6
ACP3,ACP3,ACP3,Acpp,ACP3
ACR,ACR,ACR,Acr,ACR
ACRBP,ACRBP,ACRBP,Acrbp,ACRBP
ACRV1,ACRV1,ACRV1,Acrv1,ACRV1
ACSBG1,ACSBG1,ACSBG2,Acsbg2,ACSBG2
ACSF3,ACSF3,ACSF3,Acsf3,ACSF3
ACSL5,ACSL5,ACSL5,Acsl1,ACSL1
ACSL3,ACSL3,ACSL3,Acsl3,ACSL3
ACSL4,ACSL4,ACSL4,Acsl4,ACSL4
ACSM4,ACSM4,ACSM4,Acsm4,ACSM4
ACSS1,ACSS1,ACSS1,Acss1,ACSS1
ACSS2,ACSS2,ACSS2,Acss2,ACSS2
ACSS3,ACSS3,ACSS3,Acss3,ACSS3
ACTA1,ACTA1,ACTC1,Acta2,ACTC1
ACTG1,ACTB,ACTB,Actb,ACTB
ACTBL2,ACTBL2,ACTBL2,Actbl2,ACTBL2
ACTL6A,ACTL6A,ACTL6A,Actl6a,ACTL6A
ACTL7A,ACTL7A,ACTL7A,Actl7a,ACTL7A
ACTL7B,ACTL7B,ACTL7B,Actl7b,ACTL7B
ACTL9,ACTL9,ACTL9,Actl9,ACTL9
ACTN4,ACTN4,ACTN4,Actn1,ACTN4
ACTN3,ACTN3,ACTN3,Actn3,ACTN3
ACTR10,ACTR10,ACTR10,Actr10,ACTR10
ACTR1B,ACTR1B,ACTR1A,Actr1b,ACTR1A
ACTR2,ACTR2,ACTR2,Actr2,ACTR2
ACTR3B,ACTR3B,ACTR3B,Actr3b,ACTR3
ACTR5,ACTR5,ACTR5,Actr5,ACTR5
ACTR6,ACTR6,ACTR6,Actr6,ACTR6
ACTR8,ACTR8,ACTR8,Actr8,ACTR8
ACTRT1,ACTRT1,ACTRT1,Actrt1,ACTRT1
ACTRT2,ACTRT2,ACTRT2,Actrt2,ACTRT2
ACTRT3,ACTRT3,ACTRT3,Actrt3,ACTRT3
ACVR1,ACVR1,ACVR1,Acvr1,ACVR1
ACVR1B,ACVR1B,ACVR1B,Acvr1b,ACVR1B
ACVR1C,ACVR1C,ACVR1C,Acvr1c,ACVR1C
ACVR2A,ACVR2A,ACVR2A,Acvr2a,ACVR2A
ACVR2B,ACVR2B,ACVR2B,Acvr2b,ACVR2B
ADAD1,ADAD1,ADAD1,Adad1,ADAD1
ADAD2,ADAD2,ADAD2,Adad2,ADAD2
ADAL,ADAL,ADAL,Adal,ADAL
ADAM11,ADAM11,ADAM11,Adam11,ADAM11
ADAM12,ADAM12,ADAM12,Adam12,ADAM12
ADAM15,ADAM15,ADAM15,Adam15,ADAM15
ADAM19,ADAM19,ADAM19,Adam19,ADAM19
ADAM2,ADAM2,ADAM2,Adam2,ADAM2
ADAM23,ADAM23,ADAM23,Adam23,ADAM23
ADAM20,ADAM20,ADAM20,Adam25,ADAM20
ADAM28,ADAM28,ADAM28,Adam28,ADAM28
ADAM33,ADAM33,ADAM33,Adam33,ADAM33
ADAM7,ADAM7,ADAM7,Adam7,ADAM7
ADAM9,ADAM9,ADAM9,Adam9,ADAM9
ADAMTS1,ADAMTS1,ADAMTS1,Adamts1,ADAMTS1
ADAMTS13,ADAMTS13,ADAMTS13,Adamts13,ADAMTS13
ADAMTS14,ADAMTS14,ADAMTS14,Adamts14,ADAMTS14
ADAMTS16,ADAMTS16,ADAMTS16,Adamts16,ADAMTS16
ADAMTS2,ADAMTS2,ADAMTS2,Adamts2,ADAMTS2
ADAMTS20,ADAMTS20,ADAMTS20,Adamts20,ADAMTS20
ADAMTS3,ADAMTS3,ADAMTS3,Adamts3,ADAMTS3
ADAMTS15,ADAMTS15,ADAMTS15,Adamts4,ADAMTS4
ADAMTS5,ADAMTS5,ADAMTS5,Adamts5,ADAMTS5
ADAMTS7,ADAMTS7,ADAMTS7,Adamts7,ADAMTS10
ADAMTSL2,ADAMTSL2,ADAMTSL2,Adamtsl2,ADAMTSL2
ADAMTSL4,ADAMTSL4,ADAMTSL4,Adamtsl4,ADAMTSL4
ADAR,ADAR,ADAR,Adar,ADAR
ADARB1,ADARB1,ADARB1,Adarb2,ADARB2
ADAT2,ADAT2,ADAT2,Adat2,ADAT2
ADCK1,ADCK1,ADCK1,Adck1,ADCK1
ADCK2,ADCK2,ADCK2,Adck2,ADCK2
ADCY10,ADCY10,ADCY10,Adcy10,ADCY10
ADCY3,ADCY3,ADCY3,Adcy3,ADCY3
ADCY6,ADCY6,ADCY6,Adcy7,ADCY7
ADCY8,ADCY8,ADCY8,Adcy8,ADCY8
ADCY9,ADCY9,ADCY9,Adcy9,ADCY9
ADCYAP1,ADCYAP1,ADCYAP1,Adcyap1,ADCYAP1
ADCYAP1R1,ADCYAP1R1,ADCYAP1R1,Adcyap1r1,ADCYAP1R1
ADD1,ADD1,ADD1,Add1,ADD1
ADD2,ADD2,ADD2,Add2,ADD2
ADD3,ADD3,ADD3,Add3,ADD3
ADGB,ADGB,ADGB,Adgb,ADGB
ADGRA1,ADGRA1,ADGRA1,Adgra1,ADGRA1
ADGRA2,ADGRA2,ADGRA2,Adgra2,ADGRA2
ADGRA3,ADGRA3,ADGRA3,Adgra3,ADGRA3
ADGRB2,ADGRB2,ADGRB2,Adgrb2,ADGRB2
ADGRB3,ADGRB3,ADGRB3,Adgrb3,ADGRB3
ADGRD1,ADGRD1,ADGRD1,Adgrd1,ADGRD1
ADGRE5,ADGRE5,ADGRE5,Adgre5,ADGRE5
ADGRF5,ADGRF5,ADGRF5,Adgrf1,ADGRF1
ADGRF4,ADGRF4,ADGRF4,Adgrf2,ADGRF4
ADGRG2,ADGRG2,ADGRG2,Adgrg2,ADGRG2
ADGRG3,ADGRG3,ADGRG3,Adgrg3,ADGRG3
ADGRG6,ADGRG6,ADGRG6,Adgrg6,ADGRG6
ADGRG7,ADGRG7,ADGRG7,Adgrg7,ADGRG7
ADGRL2,ADGRL2,ADGRL2,Adgrl2,ADGRL2
ADGRL3,ADGRL3,ADGRL3,Adgrl3,ADGRL3
ADGRV1,ADGRV1,ADGRV1,Adgrv1,ADGRV1
ADH5,ADH5,ADH7,Adh7,ADH7
ADI1,ADI1,ADI1,Adi1,ADI1
ADIPOQ,ADIPOQ,ADIPOQ,Adipoq,ADIPOQ
ADIPOR2,ADIPOR2,ADIPOR2,Adipor1,ADIPOR1
ADK,ADK,ADK,Adk,ADK
ADM,ADM,ADM,Adm,ADM
ADM2,ADM2,ADM2,Adm2,ADM2
ADNP,ADNP,ADNP,Adnp,ADNP
ADO,ADO,ADO,Ado,ADO
ADORA1,ADORA1,ADORA1,Adora1,ADORA1
ADORA2B,ADORA2B,ADORA2B,Adora2b,ADORA2B
ADPRH,ADPRH,ADPRH,Adprh,ADPRH
ADPRM,ADPRM,ADPRM,Adprm,ADPRM
ADPRS,ADPRS,ADPRS,Adprs,ADPRS
ADRA1A,ADRA1A,ADRA1A,Adra1a,ADRA1A
ADRA1D,ADRA1D,ADRA1D,Adra1d,ADRA1D
ADRA2B,ADRA2B,ADRA2B,Adra2b,ADRA2B
ADRB2,ADRB2,ADRB2,Adrb2,ADRB2
ADRB3,ADRB3,ADRB3,Adrb3,ADRB3
ADRM1,OSBPL2,ADRM1,Adrm1,ADRM1
ADSL,ADSL,ADSL,Adsl,ADSL
ADSS2,ADSS2,ADSS2,Adss,ADSS2
ADSS1,ADSS1,ADSS1,Adssl1,ADSS1
ADTRP,ADTRP,ADTRP,Adtrp,ADTRP
AEBP1,AEBP1,AEBP1,Aebp1,AEBP1
AEBP2,AEBP2,AEBP2,Aebp2,AEBP2
AEN,AEN,AEN,Aen,AEN
AFDN,AFDN,AFDN,Afdn,AFDN
AFF1,AFF1,AFF1,Aff1,AFF1
AFF2,AFF2,AFF2,Aff2,AFF2
AFF3,AFF3,AFF3,Aff3,AFF3
AFG1L,AFG1L,AFG1L,Afg1l,AFG1L
AFTPH,AFTPH,AFTPH,Aftph,AFTPH
AGA,AGA,AGA,Aga,AGA
AGAP2,AGAP1,AGAP1,Agap1,AGAP1
AGAP3,AGAP2,AGAP2,Agap2,AGAP2
AGBL1,AGBL1,AGBL1,Agbl1,AGBL1
AGBL3,AGBL3,AGBL3,Agbl2,AGBL2
AGER,AGER,AGER,Ager,AGER
AGFG1,AGFG1,AGFG1,Agfg1,AGFG1
AGFG2,AGFG2,AGFG2,Agfg2,AGFG2
AGK,AGK,AGK,Agk,AGK
AGL,AGL,AGL,Agl,AGL
AGMAT,AGMAT,AGMAT,Agmat,AGMAT
AGPAT1,AGPAT1,AGPAT1,Agpat1,AGPAT1
AGPAT2,AGPAT2,AGPAT2,Agpat2,AGPAT2
AGPAT4,AGPAT4,AGPAT4,Agpat4,AGPAT4
AGPS,AGPS,AGPS,Agps,AGPS
AGR2,AGR2,AGR2,Agr2,AGR2
AGRP,AGRP,AGRP,Agrp,AGRP
AGT,AGT,AGT,Agt,AGT
AGTR1,AGTR1,AGTR1,Agtr1b,AGTR1
AGTR2,AGTR2,AGTR2,Agtr2,AGTR2
AGXT,AGXT,AGXT,Agxt,AGXT
AGXT2,AGXT2,AGXT2,Agxt2,AGXT2
AHCYL1,AHCYL1,AHCYL1,Ahcyl1,AHCYL2
AHDC1,AHDC1,AHDC1,Ahdc1,AHDC1
AHI1,AHI1,AHI1,Ahi1,AHI1
AHSA1,AHSA1,AHSA1,Ahsa2,AHSA1
AHSG,AHSG,AHSG,Ahsg,AHSG
AIF1,AIF1,AIF1,Aif1,AIF1
AIF1L,AIF1L,AIF1L,Aif1l,AIF1L
AIFM1,AIFM1,AIFM1,Aifm1,AIFM1
AIFM2,AIFM2,AIFM2,Aifm2,AIFM2
AIFM3,AIFM3,AIFM3,Aifm3,AIFM3
AIG1,AIG1,AIG1,Aig1,AIG1
AIMP1,AIMP1,AIMP1,Aimp1,AIMP1
AIMP2,AIMP2,AIMP2,Aimp2,AIMP2
AIP,AIP,AIP,Aip,AIPL1
AIRE,AIRE,AIRE,Aire,AIRE
LIMD1,LIMD1,LIMD1,Ajuba,AJUBA
AK1,AK1,AK1,Ak1,AK1
AK5,AK5,AK5,Ak5,AK5
AK8,AK8,AK8,Ak8,AK8
AKAP1,AKAP1,AKAP1,Akap1,AKAP1
AXIN2,AXIN2,AXIN2,Akap10,AKAP10
AKAP11,AKAP11,AKAP11,Akap11,AKAP11
AKAP12,AKAP12,AKAP12,Akap12,AKAP12
AKAP3,AKAP3,AKAP3,Akap3,AKAP3
AKAP4,AKAP4,AKAP4,Akap4,AKAP4
AKAP5,AKAP5,AKAP5,Akap5,AKAP5
AKAP6,AKAP6,AKAP6,Akap6,AKAP6
AKAP8L,AKAP8L,AKAP8L,Akap8l,AKAP8L
AKIRIN2,AKIRIN1,AKIRIN1,Akirin1,AKIRIN1
AKNA,AKNA,AKNA,Akna,AKNA
ALPI,ALPI,ALPP,Akp3,ALPL
AKR1A1,AKR1A1,AKR1A1,Akr1a1,AKR1A1
AKR1B1,AKR1B1,AKR1B15,Akr1b8,AKR1B1
AKR1D1,AKR1D1,AKR1D1,Akr1d1,AKR1D1
AKR1E2,AKR1E2,AKR1E2,Akr1e1,AKR1E2
AKT1,AKT1,AKT1,Akt1,AKT1
AKT3,AKT3,AKT3,Akt2,AKT2
AKTIP,AKTIP,AKTIP,Aktip,AKTIP
ALAD,ALAD,ALAD,Alad,ALAD
ALAS2,ALAS2,ALAS2,Alas1,ALAS1
ALAS1,ALAS1,ALAS1,Alas2,ALAS2
ALB,ALB,ALB,Alb,ALB
ALCAM,ALCAM,ALCAM,Alcam,ALCAM
ALDH18A1,ALDH18A1,ALDH18A1,Aldh18a1,ALDH18A1
ALDH1A1,ALDH1A1,ALDH1A1,Aldh1a1,ALDH1A1
ALDH1B1,ALDH1B1,ALDH1B1,Aldh1b1,ALDH1B1
ALDH1L1,ALDH1L1,ALDH1L1,Aldh1l1,ALDH1L1
ALDH1L2,ALDH1L2,ALDH1L2,Aldh1l2,ALDH1L2
ACAD10,ACAD10,ALDH2,Aldh2,ALDH2
ALDH3A1,ALDH3A1,ALDH3A1,Aldh3a1,ALDH3A1
ALDH3A2,ALDH3A2,ALDH3A2,Aldh3a2,ALDH3A2
ALDH4A1,ALDH4A1,ALDH4A1,Aldh4a1,ALDH4A1
ALDH5A1,ALDH5A1,ALDH5A1,Aldh5a1,ALDH5A1
ALDH6A1,ALDH6A1,ALDH6A1,Aldh6a1,ALDH6A1
ALDOB,ALDOB,ALDOB,Aldob,ALDOB
ALDOC,ALDOC,ALDOC,Aldoc,ALDOC
ALG11,ALG11,ALG11,Alg11,ALG11
ALG12,ALG12,ALG12,Alg12,ALG12
ALG2,ALG2,ALG2,Alg2,ALG2
ALG5,ALG5,ALG5,Alg5,ALG5
ALG8,ALG8,ALG8,Alg8,ALG8
ZCCHC4,ALG9,ALG9,Alg9,ALG9
ALKAL1,ALKAL1,ALKAL1,Alkal1,ALKAL1
ALKBH3,ALKBH3,ALKBH3,Alkbh2,ALKBH2
ALKBH6,ALKBH6,ALKBH6,Alkbh6,ALKBH6
ALKBH7,ALKBH7,ALKBH7,Alkbh7,ALKBH7
ALKBH8,ALKBH8,ALKBH8,Alkbh8,ALKBH8
ALOX12B,ALOX12B,ALOX12B,Alox12b,ALOX12B
ALOX5,ALOX5,ALOX5,Alox5,ALOX5
ALOX5AP,ALOX5AP,ALOX5AP,Alox5ap,ALOX5AP
ALOX12,ALOX12,ALOX15B,Alox8,ALOX15B
ALOXE3,ALOXE3,ALOXE3,Aloxe3,ALOXE3
ALPK1,ALPK1,ALPK1,Alpk1,ALPK1
GARIN5B,GARIN5B,ALPK3,Alpk3,ALPK3
ALS2,ALS2,ALS2,Als2,ALS2
ALS2CL,ALS2CL,ALS2CL,Als2cl,ALS2CL
ALX3,ALX3,ALX3,Alx3,ALX3
ALX4,ALX4,ALX4,Alx4,ALX4
ALYREF,ALYREF,ALYREF,Alyref,ALYREF
AMACR,AMACR,AMACR,Amacr,SUGCT
AMBN,AMBN,AMBN,Ambn,AMBN
AMBP,AMBP,AMBP,Ambp,AMBP
AMD1,AMD1,AMD1,Amd1,EIF3L
AMDHD2,TBC1D24,AMDHD2,Amdhd2,AMDHD2
AMER1,AMER1,AMER1,Amer1,AMER1
AMFR,AMFR,AMFR,Amfr,AMFR
AMHR2,AMHR2,AMHR2,Amhr2,AMHR2
AMIGO1,AMIGO1,AMIGO1,Amigo1,AMIGO1
AMIGO2,AMIGO2,AMIGO2,Amigo2,AMIGO2
AMIGO3,AMIGO3,AMIGO3,Amigo3,AMIGO3
AMMECR1,AMMECR1,AMMECR1,Ammecr1,AMMECR1
AMMECR1L,AMMECR1L,AMMECR1L,Ammecr1l,AMMECR1L
AMN1,AMN1,AMN1,Amn1,AMN1
AMOT,AMOT,AMOT,Amot,AMOT
AMOTL2,AMOTL2,AMOTL2,Amotl2,AMOTL2
AMPD1,AMPD1,AMPD1,Ampd1,AMPD1
AMPD3,AMPD3,AMPD3,Ampd3,AMPD3
AMPH,AMPH,AMPH,Amph,AMPH
AMT,AMT,AMT,Amt,AMT
AMTN,AMTN,AMTN,Amtn,AMTN
AMZ1,AMZ1,AMZ1,Amz1,AMZ1
AMZ2,AMZ2,AMZ2,Amz2,AMZ2
ANAPC10,ANAPC10,ANAPC10,Anapc10,ANAPC10
ANAPC13,ANAPC13,ANAPC13,Anapc13,ANAPC13
LAMTOR1,LAMTOR1,ANAPC15,Anapc15,ANAPC15
ANAPC16,ANAPC16,ANAPC16,Anapc16,ANAPC16
