human gene name,mice gene name,pig gene name
C17orf75,5730455P16Rik,C17orf75
PACRGL,5730480H06Rik,PACRGL
C5orf22,6030458C11Rik,C5orf22
KIAA0513,6430548M08Rik,KIAA0513
C3orf18,6430571L13Rik,C3orf18
TLX2,6430628N08Rik,ARK2C
C18orf25,8030462N17Rik,ARK2N
KIAA0408,9330159F19Rik,KIAA0408
C1orf159,9430015G10Rik,RELT
C5orf15,9530068E07Rik,C5orf15
KIAA0895,9530077C05Rik,MATCAP2
C8orf58,9930012K11Rik,C8orf58
KIAA2026,9930021J03Rik,BRD10
C1orf109,9930104L06Rik,AIRIM
C1orf74,A130010J15Rik,C1orf74
A1CF,A1cf,A1CF
ATG12,A430005L14Rik,C1orf174
A4GALT,A4galt,A4GALT
A4GNT,A4gnt,A4GNT
C14orf180,A530016L24Rik,C14orf180
SP100,A630001G21Rik,SP110
CSAG1,A630095N17Rik,FAM229B
SERTM2,A730046J19Rik,SERTM2
C8orf34,A830018L16Rik,C8orf34
PRR35,A930017K11Rik,PRR35
C11orf91,A930018P22Rik,C11orf91
C15orf48,AA467197,C15orf48
C1orf116,AA986860,C1orf116
GP6,AB124611,C19orf38
SMIM29,AI413582,SMIM29
C8orf48,AI429214,C8orf48
C11orf87,AI593442,C11orf87
C2orf49,AI597479,C2orf49
C6orf132,AI661453,C6orf132
C11orf68,AI837181,C11orf68
ISCA1,AK157302,ISCA1
C16orf89,AU021092,C16orf89
ZNF878,AU041133,ZNF569
C7orf25,AW209491,C7orf25
C5orf51,AW549877,RIMOC1
VWA5A,AW551984,VWA5A
KIAA1328,AW554918,KIAA1328
AACS,Aacs,AACS
AADAC,Aadac,AADAC
AADACL3,Aadacl4fm4,AADACL4
AADAT,Aadat,AADAT
AAGAB,Aagab,AAGAB
AAK1,Aak1,AAK1
AAMDC,Aamdc,AAMDC
AAMP,Aamp,AAMP
AANAT,Aanat,AANAT
AAR2,Aar2,AAR2
AARD,Aard,AARD
AARS2,Aars2,AARS2
AARSD1,Aarsd1,AARSD1
AASDH,Aasdh,AASDH
AASS,Aass,AASS
AATF,Aatf,AATF
AATK,Aatk,AATK
ABCA4,Abca1,ABCA4
ABCA12,Abca12,ABCA12
ABCA13,Abca13,ABCA13
ABCA2,Abca2,ABCA2
ABCA5,Abca5,ABCA5
ABCA7,Abca7,ABCA7
ABCA8,Abca9,ABCA9
ABCB10,Abcb10,ABCB10
ABCB11,Abcb11,ABCB11
ABCB5,Abcb5,ABCB5
ABCB7,Abcb7,ABCB7
ABCB8,Abcb8,ABCB8
ABCB9,Abcb9,ABCB9
ABCC2,Abcc1,ABCC1
ABCC10,Abcc10,ABCC10
ABCC12,Abcc12,ABCC12
ABCC1,Abcc3,ABCC3
ABCC4,Abcc4,ABCC5
ABCC9,Abcc9,ABCC9
ABCD1,Abcd1,ABCD1
ABCD2,Abcd2,ABCD2
ABCD3,Abcd3,ABCD3
ABCE1,Abce1,ABCE1
ABCF2-H2BE1,Abcf2,ABCF2
ABCF3,Abcf3,ABCF3
ABCG1,Abcg1,ABCG1
ABCG2,Abcg2,ABCG2A
ABCG4,Abcg4,ABCG4
ABCG5,Abcg5,ABCG5
ABCG8,Abcg8,ABCG8
ABHD1,Abhd1,ABHD1
ABHD11,Abhd11,ABHD11
ABHD13,Abhd13,ABHD13
ABHD14A-ACY1,Abhd14a,ABHD14A
ABHD14B,Abhd14b,ABHD14B
ABHD16A,Abhd16a,ABHD16A
ABHD16B,Abhd16b,ABHD16B
ABHD17B,Abhd17b,ABHD17B
ABHD17C,Abhd17c,ABHD17A
ABHD18,Abhd18,ABHD18
ABHD2,Abhd2,ABHD2
ABHD3,Abhd3,ABHD3
ABHD5,Abhd4,ABHD4
LRRCC1,Abhd5,ABHD5
ABHD6,Abhd6,ABHD6
ABI1,Abi1,ABI1
ABI2,Abi2,ABI2
ABI3BP,Abi3bp,ABI3BP
ABL2,Abl2,ABL2
ABLIM1,Ablim1,ABLIM1
ABLIM2,Ablim2,ABLIM2
ABLIM3,Ablim3,ABLIM3
ABR,Abr,ABR
ABRA,Abra,ABRA
ABRAXAS1,Abraxas1,ABRAXAS1
ABT1,Abt1,ABT1
ABTB2,Abtb2,ABTB2
ACACB,Acacb,ACACB
ACAD10,Acad10,ACAD10
ACAD11,Acad11,ACAD11
ACADL,Acadl,ACADL
IVD,Acadm,ACADM
ACADS,Acads,ACADS
ACADSB,Acadsb,ACADSB
ACADVL,Acadvl,ACADVL
ACAN,Acan,ACAN
ACAP2,Acap2,ACAP2
ACAT1,Acat1,ACAT1
ACAT2,Acat2,ACAT2
ACBD3,Acbd3,ACBD3
ACBD5,Acbd5,ACBD5
ACBD6,Acbd6,ACBD6
ACBD7,Acbd7,ACBD7
ACD,Acd,ACD
ACE2,Ace2,ACE2
ACER1,Acer1,ACER1
ACER2,Acer2,ACER2
ACER3,Acer3,ACER3
ACKR1,Ackr1,ACKR1
CXCR2,Ackr2,ACKR2
ACLY,Acly,ACLY
ACMSD,Acmsd,ACMSD
BAAT,Acnat2,BAAT
ACO1,Aco1,ACO1
ACOD1,Acod1,ACOD1
ACOT9,Acot10,ACOT9
ACOT11,Acot12,ACOT12
ACOT13,Acot13,ACOT13
ACOT4,Acot5,ACOT6
ACOT7,Acot7,ACOT7
ACOT8,Acot8,ACOT8
ACOX2,Acox2,ACOX2
ACOX3,Acox3,ACOX3
ACP1,Acp1,ACP1
ACP2,Acp2,ACP2
ACP4,Acp4,ACP4
ACP6,Acp6,ACP6
ACP3,Acpp,ACP3
ACR,Acr,ACR
ACRBP,Acrbp,ACRBP
ACRV1,Acrv1,ACRV1
ACSBG2,Acsbg2,ACSBG2
ACSF3,Acsf3,ACSF3
ACSL5,Acsl1,ACSL1
ACSL3,Acsl3,ACSL3
ACSL4,Acsl4,ACSL4
ACSL6,Acsl6,ACSL6
ACSM4,Acsm4,ACSM4
ACSM5,Acsm5,ACSM5
ACSS1,Acss1,ACSS1
ACSS2,Acss2,ACSS2
ACSS3,Acss3,ACSS3
ACTC1,Acta2,ACTC1
ACTB,Actb,ACTB
ACTBL2,Actbl2,ACTBL2
ACTA1,Actg2,ACTG2
ACTL10,Actl10,ACTL10
ACTL6A,Actl6a,ACTL6A
ACTL7A,Actl7a,ACTL7A
ACTL7B,Actl7b,ACTL7B
ACTL9,Actl9,ACTL9
ACTN4,Actn1,ACTN4
ACTN3,Actn3,ACTN3
ACTR10,Actr10,ACTR10
ACTR1A,Actr1b,ACTR1A
ACTR2,Actr2,ACTR2
ACTR3B,Actr3b,ACTR3
ACTR5,Actr5,ACTR5
ACTR6,Actr6,ACTR6
ACTR8,Actr8,ACTR8
ACTRT1,Actrt1,ACTRT1
ACTRT2,Actrt2,ACTRT2
ACTRT3,Actrt3,ACTRT3
ACVR1,Acvr1,ACVR1
ACVR1B,Acvr1b,ACVR1B
ACVR1C,Acvr1c,ACVR1C
ACVR2A,Acvr2a,ACVR2A
ACVR2B,Acvr2b,ACVR2B
ACY1,Acy1,ACY1
ADA,Ada,ADA
ADAD1,Adad1,ADAD1
ADAD2,Adad2,ADAD2
ADAL,Adal,ADAL
ADAM11,Adam11,ADAM11
ADAM12,Adam12,ADAM12
ADAM15,Adam15,ADAM15
ADAM19,Adam19,ADAM19
ADAM2,Adam2,ADAM2
ADAM23,Adam23,ADAM23
ADAM20,Adam25,ADAM20
ADAM28,Adam28,ADAM28
ADAM32,Adam32,ADAM32
ADAM33,Adam33,ADAM33
ADAM7,Adam7,ADAM7
ADAM8,Adam8,ADAM8
ADAM9,Adam9,ADAM9
ADAMTS1,Adamts1,ADAMTS1
ADAMTS13,Adamts13,ADAMTS13
ADAMTS14,Adamts14,ADAMTS14
ADAMTS16,Adamts16,ADAMTS16
ADAMTS2,Adamts2,ADAMTS2
ADAMTS20,Adamts20,ADAMTS20
ADAMTS3,Adamts3,ADAMTS3
ADAMTS15,Adamts4,ADAMTS4
ADAMTS5,Adamts5,ADAMTS5
ADAMTS7,Adamts7,ADAMTS10
ADAMTSL1,Adamtsl1,ADAMTSL1
ADAMTSL2,Adamtsl2,ADAMTSL2
ADAMTSL4,Adamtsl4,ADAMTSL4
ADAMTSL5,Adamtsl5,ADAMTSL5
ADAP1,Adap1,ADAP2
ADAR,Adar,ADAR
ADARB1,Adarb2,ADARB2
ADAT2,Adat2,ADAT2
ADCK1,Adck1,ADCK1
ADCK2,Adck2,ADCK2
ADCK5,Adck5,ADCK5
ADCY1,Adcy1,ADCY1
ADCY10,Adcy10,ADCY10
ADCY3,Adcy3,ADCY3
ADCY4,Adcy4,ADCY4
ADCY5,Adcy5,ADCY5
ADCY6,Adcy7,ADCY7
ADCY8,Adcy8,ADCY8
ADCY9,Adcy9,ADCY9
ADCYAP1,Adcyap1,ADCYAP1
ADCYAP1R1,Adcyap1r1,ADCYAP1R1
ADD1,Add1,ADD1
ADD2,Add2,ADD2
ADD3,Add3,ADD3
ADGB,Adgb,ADGB
ADGRA1,Adgra1,ADGRA1
ADGRA2,Adgra2,ADGRA2
ADGRA3,Adgra3,ADGRA3
ADGRB2,Adgrb2,ADGRB2
ADGRB3,Adgrb3,ADGRB3
ADGRD1,Adgrd1,ADGRD1
ADGRE3,Adgre4,ADGRE3
ADGRE5,Adgre5,ADGRE5
ADGRF5,Adgrf1,ADGRF1
ADGRF4,Adgrf2,ADGRF4
ADGRG2,Adgrg2,ADGRG2
ADGRG3,Adgrg3,ADGRG3
ADGRG6,Adgrg6,ADGRG6
ADGRG7,Adgrg7,ADGRG7
ADGRL1,Adgrl1,ADGRL1
ADGRL2,Adgrl2,ADGRL2
ADGRL3,Adgrl3,ADGRL3
ADGRV1,Adgrv1,ADGRV1
ADH5,Adh4,ADH4
ACSF2,Adh5,ADH5
ADH7,Adh7,ADH7
ADI1,Adi1,ADI1
ADIPOQ,Adipoq,ADIPOQ
ADIPOR2,Adipor1,ADIPOR1
ADK,Adk,ADK
ADM,Adm,ADM
ADM2,Adm2,ADM2
ADNP,Adnp,ADNP
ADO,Ado,ADO
ADORA1,Adora1,ADORA1
ADORA2B,Adora2b,ADORA2B
ADPRH,Adprh,ADPRH
ADPRM,Adprm,ADPRM
ADPRS,Adprs,ADPRS
ADRA1A,Adra1a,ADRA1A
ADRA1D,Adra1d,ADRA1D
ADRA2A,Adra2a,ADRA2A
ADRA2B,Adra2b,ADRA2B
ADRA2C,Adra2c,ADRA2C
ADRB1,Adrb1,ADRB1
ADRB2,Adrb2,ADRB2
ADRB3,Adrb3,ADRB3
ADRM1,Adrm1,ADRM1
ADSL,Adsl,ADSL
ADSS2,Adss,ADSS2
ADSS1,Adssl1,ADSS1
ADTRP,Adtrp,ADTRP
AEBP1,Aebp1,AEBP1
AEBP2,Aebp2,AEBP2
AEN,Aen,AEN
AFAP1,Afap1,AFAP1
AFAP1L1,Afap1l1,AFAP1L1
AFAP1L2,Afap1l2,AFAP1L2
AFDN,Afdn,AFDN
AFF1,Aff1,AFF1
AFF2,Aff2,AFF2
AFF3,Aff3,AFF3
AFF4,Aff4,AFF4
AFG1L,Afg1l,AFG1L
AFM,Afm,AFM
AFTPH,Aftph,AFTPH
AGA,Aga,AGA
AGAP1,Agap1,AGAP1
AGAP2,Agap2,AGAP2
AGAP3,Agap3,AGAP3
AGBL1,Agbl1,AGBL1
AGBL3,Agbl2,AGBL2
AGBL4,Agbl4,AGTPBP1
AGBL5,Agbl5,AGBL5
AGER,Ager,AGER
AGFG1,Agfg1,AGFG1
AGFG2,Agfg2,AGFG2
AGK,Agk,AGK
AGL,Agl,AGL
AGMAT,Agmat,AGMAT
AGMO,Agmo,AGMO
AGPAT1,Agpat1,AGPAT1
AGPAT2,Agpat2,AGPAT2
AGPAT3,Agpat3,AGPAT3
AGPAT4,Agpat4,AGPAT4
AGPS,Agps,AGPS
AGR2,Agr2,AGR2
AGRN,Agrn,AGRN
AGRP,Agrp,AGRP
AGT,Agt,AGT
AGTR1,Agtr1b,AGTR1
AGTR2,Agtr2,AGTR2
AGXT,Agxt,AGXT
AGXT2,Agxt2,AGXT2
AHCYL1,Ahcyl1,AHCYL2
AHDC1,Ahdc1,AHDC1
AHI1,Ahi1,AHI1
AHNAK,Ahnak,AHNAK
AHRR,Ahr,AHRR
AHSA1,Ahsa2,AHSA1
AHSG,Ahsg,AHSG
AIDA,Aida,AIDA
AIF1,Aif1,AIF1
AIF1L,Aif1l,AIF1L
AIFM1,Aifm1,AIFM1
AIFM2,Aifm2,AIFM2
AIFM3,Aifm3,AIFM3
AIG1,Aig1,AIG1
AIMP1,Aimp1,AIMP1
AIMP2,Aimp2,AIMP2
AIP,Aip,AIPL1
AIRE,Aire,AIRE
AJM1,Ajm1,AJM1
LIMD1,Ajuba,AJUBA
AK1,Ak1,AK1
AK4P3,Ak4,AK3
AK5,Ak5,AK5
AK6,Ak6,AK6
AK8,Ak8,AK8
AKAP1,Akap1,AKAP1
AXIN2,Akap10,AKAP10
AKAP11,Akap11,AKAP11
AKAP12,Akap12,AKAP12
AKAP13,Akap13,CCSER1
AKAP3,Akap3,AKAP3
AKAP4,Akap4,AKAP4
AKAP5,Akap5,AKAP5
AKAP6,Akap6,AKAP6
EIF2AK1,Akap7,AKAP7
AKAP8L,Akap8l,AKAP8L
AKIP1,Akip1,AKIP1
AKIRIN1,Akirin1,AKIRIN1
AKIRIN2,Akirin2,AKIRIN2
AKNA,Akna,AKNA
ALPP,Akp3,ALPL
AKR1A1,Akr1a1,AKR1A1
AKR1B15,Akr1b8,AKR1B1
AKR1C4,Akr1c20,AKR1C8
AKR1C1,Akr1c6,AKR1C2
AKR1D1,Akr1d1,AKR1D1
AKR1E2,Akr1e1,AKR1E2
AKR7A3,Akr7a5,AKR7A2
AKT1,Akt1,AKT1
AKT1S1,Akt1s1,AKT1S1
AKT3,Akt2,AKT2
AKTIP,Aktip,AKTIP
ALAD,Alad,ALAD
ALAS2,Alas1,ALAS1
ALAS1,Alas2,ALAS2
ALB,Alb,ALB
ALCAM,Alcam,ALCAM
ALDH18A1,Aldh18a1,ALDH18A1
ALDH1A1,Aldh1a1,ALDH1A1
ALDH1B1,Aldh1b1,ALDH1B1
ALDH1L1,Aldh1l1,ALDH1L1
ALDH1L2,Aldh1l2,ALDH1L2
ALDH2,Aldh2,ALDH2
ALDH3A1,Aldh3a1,ALDH3A1
ALDH3A2,Aldh3a2,ALDH3A2
ALDH3B1,Aldh3b2,ALDH3B2
ALDH4A1,Aldh4a1,ALDH4A1
ALDH5A1,Aldh5a1,ALDH5A1
ALDH6A1,Aldh6a1,ALDH6A1
ALDH7A1,Aldh7a1,ALDH7A1
ALDH8A1,Aldh8a1,ALDH8A1
ALDOA,Aldoart1,ALDOA
ALDOB,Aldob,ALDOB
ALDOC,Aldoc,ALDOC
ALG11,Alg11,ALG11
ALG12,Alg12,ALG12
ALG2,Alg2,ALG2
ALG5,Alg5,ALG5
ALG8,Alg8,ALG8
ALG9,Alg9,ALG9
ALKAL1,Alkal1,ALKAL1
ALKAL2,Alkal2,ALKAL2
ALKBH3,Alkbh2,ALKBH2
ALKBH4,Alkbh4,ALKBH4
ALKBH6,Alkbh6,ALKBH6
ALKBH7,Alkbh7,ALKBH7
ALKBH8,Alkbh8,ALKBH8
ALMS1,Alms1,ALMS1
ALOX12,Alox12,ALOX12
ALOX12B,Alox12b,ALOX12B
ALOX5,Alox5,ALOX5
ALOX5AP,Alox5ap,ALOX5AP
ALOX15B,Alox8,ALOX15B
ALOXE3,Aloxe3,ALOXE3
ALPK1,Alpk1,ALPK1
ALPK3,Alpk3,ALPK3
ALS2,Als2,ALS2
ALS2CL,Als2cl,ALS2CL
ALX1,Alx1,ALX1
ALX3,Alx3,ALX3
ALX4,Alx4,ALX4
ALYREF,Alyref,ALYREF
AMACR,Amacr,SUGCT
AMBN,Ambn,AMBN
AMBP,Ambp,AMBP
AMBRA1,Ambra1,AMBRA1
AMD1,Amd1,EIF3L
AMDHD2,Amdhd2,AMDHD2
AMELY,Amelx,AMELY
AMER1,Amer1,AMER1
AMER2,Amer2,AMER2
AMER3,Amer3,AMER3
AMFR,Amfr,AMFR
AMH,Amh,AMH
AMHR2,Amhr2,AMHR2
AMIGO1,Amigo1,AMIGO1
AMIGO2,Amigo2,AMIGO2
AMIGO3,Amigo3,AMIGO3
AMMECR1,Ammecr1,AMMECR1
AMMECR1L,Ammecr1l,AMMECR1L
AMN1,Amn1,AMN1
AMOT,Amot,AMOT
AMOTL2,Amotl2,AMOTL2
AMPD1,Ampd1,AMPD1
AMPD3,Ampd3,AMPD3
AMPH,Amph,AMPH
AMT,Amt,AMT
AMTN,Amtn,AMTN
AMZ1,Amz1,AMZ1
AMZ2,Amz2,AMZ2
ANAPC10,Anapc10,ANAPC10
ANAPC13,Anapc13,ANAPC13
ANAPC15,Anapc15,ANAPC15
ANAPC16,Anapc16,ANAPC16
ANAPC2,Anapc2,ANAPC2
ANAPC4,Anapc4,ANAPC4
ANAPC5,Anapc5,ANAPC5
ANAPC7,Anapc7,ANAPC7
ANG,Ang,ANG
ANGEL2,Angel2,ANGEL2
ANGPT1,Angpt1,ANGPT1
ANGPT2,Angpt2,ANGPT2
ANGPT4,Angpt4,ANGPT4
ANGPTL1,Angptl1,ANGPTL1
ANGPTL2,Angptl2,ANGPTL2
ANGPTL3,Angptl3,ANGPTL3
ANGPTL4,Angptl4,ANGPTL4
ANGPTL6,Angptl6,ANGPTL6
ANGPTL7,Angptl7,ANGPTL7
ANGPTL8,Angptl8,ANGPTL8
ANK2,Ank1,ANK1
ANKRD46,Ank2,ANK3
ANKAR,Ankar,ANKAR
ANKDD1A,Ankdd1a,ANKDD1A
ANKEF1,Ankef1,ANKEF1
ANKFN1,Ankfn1,ANKFN1
ANKFY1,Ankfy1,ANKFY1
ANKIB1,Ankib1,ANKIB1
ANKLE1,Ankle1,ANKLE1
ANKLE2,Ankle2,ANKLE2
ANKMY1,Ankmy1,ANKMY1
ANKMY2,Ankmy2,ANKMY2
ANKRA2,Ankra2,ANKRA2
ANKRD1,Ankrd1,ANKRD1
ANKRD10,Ankrd10,ANKRD10
ANKRD11,Ankrd11,ANKRD11
ANKRD13A,Ankrd13a,ANKRD13A
ANKRD13B,Ankrd13b,ANKRD13B
ANKRD13C,Ankrd13c,ANKRD13C
ANKRD16,Ankrd16,ANKRD16
ANKRD17,Ankrd17,ANKRD17
ANKRD2,Ankrd2,ANKRD2
ANKRD22,Ankrd22,ANKRD22
ANKRD23,Ankrd23,ANKRD23
ANKRD27,Ankrd27,ANKRD27
ANKRD28,Ankrd28,ANKRD28
ANKRD29,Ankrd29,ANKRD29
ANKRD31,Ankrd31,ANKRD31
ANKRD33B,Ankrd33b,ANKRD33B
ANKRD34A,Ankrd34a,ANKRD34A
ANKRD34C,Ankrd34c,ANKRD34C
ANKRD35,Ankrd35,ANKRD35
CCDC144A,Ankrd36,ALPK2
TEPSIN,Ankrd37,MRPS34
ANKRD39,Ankrd39,ANKRD39
ANKRD40,Ankrd40,ANKRD40
ANKRD42,Ankrd42,ANKRD42
ANKRD44,Ankrd44,ANKRD44
ZDHHC17,Ankrd46,ANKRD46
ANKRD49,Ankrd49,ANKRD49
ANKRD50,Ankrd50,ANKRD50
ANKRD52,Ankrd52,ANKRD52
ANKRD53,Ankrd53,ANKRD53
ANKRD54,Ankrd54,ANKRD54
ANKRD55,Ankrd55,ANKRD55
ANKRD6,Ankrd6,ANKRD6
ANKRD60,Ankrd60,ANKRD60
ANKRD61,Ankrd61,ANKRD61
ANKRD63,Ankrd63,ANKRD63
ANKRD66,Ankrd66,ANKRD66
ANKRD7,Ankrd7,ANKDD1B
ANKS1A,Anks1,ANKS1A
ANKS1B,Anks1b,ANKS1B
ANKS3,Anks3,ANKS3
ANKS4B,Anks4b,ANKS4B
ANKS6,Anks6,ANKS6
ANKUB1,Ankub1,ANKUB1
ANKZF1,Ankzf1,ANKZF1
ANLN,Anln,ANLN
ANO1,Ano1,ANO1
ANO10,Ano10,ANO10
ANO2,Ano2,ANO2
ANO6,Ano5,ANO6
ANO7,Ano7,ANO5
ANO8,Ano8,ANO8
ANO9,Ano9,ANO9
ANP32B,Anp32b,ANP32B
ANP32E,Anp32e,ANP32E
ANPEP,Anpep,ANPEP
ANTKMT,Antkmt,ANTKMT
ANTXR1,Antxr1,ANTXR1
ANTXR2,Antxr2,ANTXR2
ANXA1,Anxa1,ANXA1
ANXA10,Anxa10,ANXA10
ANXA11,Anxa11,ANXA11
ANXA13,Anxa13,ANXA13
ANXA2,Anxa2,ANXA2
ANXA5,Anxa5,ANXA5
ANXA6,Anxa6,ANXA6
ANXA7,Anxa7,ANXA7
ANXA9,Anxa9,ANXA9
AOAH,Aoah,AOAH
AOC1,Aoc1,AOC1
AOC2,Aoc2,AOC2
XDH,Aox1,AOX1
AP1AR,Ap1ar,AP1AR
AP1B1,Ap1b1,AP1B1
AP1G1,Ap1g2,AP1G2
AP1M1,Ap1m2,AP1M2
AP1S1,Ap1s1,AP1S1
AP1S2,Ap1s2,AP1S2
AP1S3,Ap1s3,AP1S3
AP2A1,Ap2a1,AP2A1
AP2A2,Ap2a2,AP2A2
AP2B1,Ap2b1,AP2B1
AP2M1,Ap2m1,AP2M1
AP2S1,Ap2s1,AP2S1
AP3B1,Ap3b1,AP3B1
AP3B2,Ap3b2,AP3B2
AP1G2,Ap3d1,AP3D1
AP3M1,Ap3m2,AP3M2
AP3S1,Ap3s1,AP3S1
AP3S2,Ap3s2,AP3S2
AP4B1,Ap4b1,AP4B1
AP4E1,Ap4e1,AP4E1
AP4M1,Ap4m1,AP4M1
AP4S1,Ap4s1,AP4S1
AP5B1,Ap5b1,AP5B1
AP5M1,Ap5m1,AP5M1
AP5S1,Ap5s1,AP5S1
AP5Z1,Ap5z1,AP5Z1
APAF1,Apaf1,APAF1
APBA1,Apba1,APBA1
APBB1,Apbb1,APBB1
APBB1IP,Apbb1ip,APBB1IP
APBB3,Apbb3,APBB3
APC,Apc,APC
APC2,Apc2,APC2
APCDD1L,Apcdd1,APCDD1
APCS,Apcs,APCS
APEX1,Apex1,APEX1
APEX2,Apex2,APEX2
APH1A,Aph1c,APH1A
API5,Api5,API5
APIP,Apip,APIP
APLF,Aplf,APLF
APLN,Apln,APLN
APLNR,Aplnr,APLNR
APLP1,Aplp1,APLP1
APLP2,Aplp2,APLP2
APMAP,Apmap,APMAP
APOA2,Apoa2,APOA2
APOA4,Apoa4,APOA4
APOB,Apob,APOB
APOBEC1,Apobec1,APOBEC1
APOBEC2,Apobec2,APOBEC2
AICDA,Apobec3,AICDA
APOBEC4,Apobec4,APOBEC4
APOC3,Apoc3,APOC3
APOC4-APOC2,Apoc4,APOC4
APOD,Apod,APOD
APOE,Apoe,APOE
APOM,Apom,APOM
APOO,Apoo,APOO
