Gene name,Macaque gene name
U6,U6
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
U6,U6
SNORA78,SNORA78
U6,U6
XPNPEP1,XPNPEP1
SNORA38B,SNORA38B
Metazoa_SRP,Metazoa_SRP
ggo-mir-194,mml-mir-194-1
Metazoa_SRP,Metazoa_SRP
ERP44,ERP44
OR8D4,OR8D4
SNORD116,SNORD116
U7,U7
HASPIN,HASPIN
U6,U6
U6,U6
SNORA24B,SNORA24B
Y_RNA,Y_RNA
SSTR3,SSTR3
U2,U2
FUOM,FUOM
MIR335,MIR335
DIDO1,DIDO1
DGKB,DGKB
AJAP1,AJAP1
CEP76,CEP76
Y_RNA,Y_RNA
Y_RNA,Y_RNA
U6,U6
SNORD116,SNORD116
U6,U6
CLTC,CLTC
NPBWR1,NPBWR1
U2,U2
ggo-mir-205,mml-mir-205
FNTB,FNTB
U6,U6
HPF1,HPF1
TRIM55,TRIM55
GPR63,GPR63
U6,U6
JUNB,JUNB
U2,U2
Metazoa_SRP,Metazoa_SRP
U6,U6
Y_RNA,Y_RNA
ZNF112,ZNF112
U6,U6
U7,U7
H1-4,H1-4
U6,U6
GPBAR1,GPBAR1
Metazoa_SRP,Metazoa_SRP
BECN1,BECN1
SNORD16,SNORD16
ggo-mir-31,MIR31
SNORD61,SNORD61
Metazoa_SRP,Metazoa_SRP
U6,U6
CHST14,CHST14
U6,U6
Y_RNA,Y_RNA
SRSF7,SRSF7
KDM3A,KDM3A
GJC1,GJC1
FRYL,FRYL
GABBR1,GABBR1
SNORD116,SNORD116
MIR203B,mml-mir-203
PDP1,PDP1
U6,U6
SNORD71,SNORD71
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
CHST4,CHST4
TFF1,TFF1
Metazoa_SRP,Metazoa_SRP
ARFIP2,ARFIP2
TM4SF4,TM4SF4
DHX36,DHX36
MIR545,mml-mir-545
NPAS1,NPAS1
Metazoa_SRP,Metazoa_SRP
SNORD94,SNORD94
U6,U6
SNORD116,SNORD116
ggo-mir-224,mml-mir-224
Y_RNA,Y_RNA
U6,U6
TRAV17,TRAV17
U7,U7
U6,U6
PSME1,PSME1
TTF2,TTF2
MIR365A,MIR365A
Metazoa_SRP,Metazoa_SRP
U6,U6
Y_RNA,Y_RNA
U6,U6
BLOC1S4,BLOC1S4
SNORD14,SNORD14
U6,U6
MARCHF7,MARCHF7
PNMA1,PNMA1
ABCC2,ABCC2
PPP2R5E,PPP2R5E
ZNF570,ZNF570
U6,U6
Metazoa_SRP,Metazoa_SRP
U6,U6
SNORD14,SNORD14
Metazoa_SRP,Metazoa_SRP
KLRK1,NKG2D
APLF,APLF
Y_RNA,Y_RNA
U7,U7
GPR156,GPR156
OR4D9,OR4D9
Metazoa_SRP,Metazoa_SRP
GGCX,GGCX
SNORD14,SNORD14
HRH3,HRH3
U6,U6
U6,U6
SERTM1,SERTM1
Metazoa_SRP,Metazoa_SRP
SNORA79B,SNORA79B
U6,U6
SNORD116,SNORD116
Metazoa_SRP,Metazoa_SRP
U6,U6
TNFAIP3,TNFAIP3
CD72,CD72
PHOSPHO2,PHOSPHO2
U6,U6
OR6C1,OR6C1
Y_RNA,Y_RNA
POP7,POP7
SNORD22,SNORD22
Metazoa_SRP,Metazoa_SRP
U6,U6
UTP14A,UTP14A
Metazoa_SRP,Metazoa_SRP
SNORA79,SNORA79
OR6F1,OR6F1
Y_RNA,Y_RNA
THAP1,THAP1
EXOSC7,EXOSC7
MIR628,mml-mir-628
UBQLNL,UBQLNL
Y_RNA,Y_RNA
U6,U6
U7,U7
U6,U6
CCDC15,CCDC15
OR4K5,OR4K5
HTR1A,HTR1A
Y_RNA,Y_RNA
U6,U6
MYH10,MYH10
PAXBP1,PAXBP1
KIF5C,KIF5C
Metazoa_SRP,Metazoa_SRP
FAM217B,FAM217B
CXCR1,CXCR1
SMCO4,SMCO4
KPNA5,KPNA5
U6,U6
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
SNORD42,SNORD42
Metazoa_SRP,Metazoa_SRP
PLA2G4E,PLA2G4E
U7,U7
MIR569,mml-mir-569
U6,U6
ADAMTS10,ADAMTS10
U6,U6
Y_RNA,Y_RNA
ADCYAP1R1,ADCYAP1R1
U6,U6
ZNF384,ZNF384
Y_RNA,Y_RNA
U6,U6
SNORD42,SNORD42
Metazoa_SRP,Metazoa_SRP
DRGX,DRGX
MIR582,mml-mir-582
U6,U6
SNORD42,SNORD42
U6,U6
U6,U6
MIR30C1,mml-mir-30c-1
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
GPR150,GPR150
U1,U1
C2orf88,C12H2orf88
ZCCHC13,ZCCHC13
U7,U7
PCNX1,PCNX1
GJD3,GJD3
U6,U6
MIR450A1,mml-mir-450a-1
U6,U6
FRMD8,FRMD8
HAUS4,HAUS4
BUD23,BUD23
KCNS3,KCNS3
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
SLC22A5,SLC22A5
U6,U6
U6,U6
Metazoa_SRP,Metazoa_SRP
U6,U6
LRRC8C,LRRC8C
ANK2,ANK2
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
SPOCK2,SPOCK2
U6,U6
FGF19,FGF19
Y_RNA,Y_RNA
OR51F1,OR51F1
OR2L13,OR2L13
U7,U7
U6,U6
POLR3GL,POLR3GL
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
TPBG,TPBG
KRTAP10-8,KRTAP10-8
TRBV28,TRBV28
U6,U6
OR13G1,OR13G1
FABP2,FABP2
SORCS1,SORCS1
WDR93,WDR93
Metazoa_SRP,Metazoa_SRP
TPT1,TPT1
B3GNT3,B3GNT3
C10orf71,C9H10orf71
SNORA9B,SNORA9B
GATA2,GATA2
METTL15,METTL15
Y_RNA,Y_RNA
Y_RNA,Y_RNA
U6,U6
SEMA4B,SEMA4B
Metazoa_SRP,Metazoa_SRP
U7,U7
ZNF451,ZNF451
MIR579,mml-mir-579
MIR144,mml-mir-144
EVPL,EVPL
U6,U6
ACKR4,ACKR4
KCNK9,KCNK9
EXOC8,EXOC8
Y_RNA,Y_RNA
U6,U6
U6,U6
Metazoa_SRP,Metazoa_SRP
EHBP1L1,EHBP1L1
OR5C1,OR5C1
IFIT2,IFIT2
Metazoa_SRP,Metazoa_SRP
CRK,CRK
U6,U6
Y_RNA,Y_RNA
SLC35C2,SLC35C2
Y_RNA,Y_RNA
MRI1,MRI1
U7,U7
MIR219A2,mml-mir-219-2
Metazoa_SRP,Metazoa_SRP
U6,U6
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
TUFM,TUFM
U6,U6
MIR1307,MIR1307
UCN3,UCN3
Y_RNA,Y_RNA
U6,U6
U6,U6
U6,U6
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
MIR193A,mml-mir-193a
NPAP1,NPAP1
U6,U6
HNRNPDL,HNRNPDL
ACOX3,ACOX3
U6,U6
U6,U6
Metazoa_SRP,Metazoa_SRP
U6,U6
MRGPRD,MRGPRD
Y_RNA,Y_RNA
BLM,BLM
SNORD95,SNORD95
ZNF343,ZNF343
SH3D21,SH3D21
U6,U6
U6,U6
U6,U6
PDCD1LG2,PDCD1LG2
BEND3,BEND3
DEFB110,DEFB110
Metazoa_SRP,Metazoa_SRP
RUNX1T1,RUNX1T1
Metazoa_SRP,Metazoa_SRP
FAAH,UQCRH
U6,U6
FAM47B,FAM47B
NTMT2,NTMT2
PNPLA2,PNPLA2
U7,U7
U6,U6
U6,U6
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
U6,U6
WWC3,WWC3
TMUB1,TMUB1
U6,U6
U6,U6
SLC2A7,SLC2A7
Metazoa_SRP,Metazoa_SRP
MTFR1,MTFR1
P2RY1,P2RY1
ZNF140,ZNF140
POLDIP3,POLDIP3
MIR496,mml-mir-496
Y_RNA,Y_RNA
MIR135B,MIR135B
Metazoa_SRP,Metazoa_SRP
U6,U6
TMEM62,TMEM62
U6,U6
U6,U6
Metazoa_SRP,Metazoa_SRP
EPHB2,EPHB2
NEUROG2,NEUROG2
5S_rRNA,5S_rRNA
MAFB,MAFB
CWC22,CWC22
ENPP5,ENPP5
U6,U6
Metazoa_SRP,Metazoa_SRP
MIR378A,MIR378A
ggo-mir-18a,MIR18A
SNORA50D,SNORA50D
5S_rRNA,5S_rRNA
NPSR1,NPSR1
Metazoa_SRP,Metazoa_SRP
HOXC4,HOXC4
U6,U6
IFI30,IFI30
KCNS2,KCNS2
Metazoa_SRP,Metazoa_SRP
TRIR,TRIR
U6,U6
MIR147B,mml-mir-147b
U6,U6
U6,U6
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
OR1Q1,OR1Q1
U6,U6
LSM10,LSM10
BAG5,BAG5
U6,U6
MIR412,mml-mir-412
FABP12,FABP12
AFTPH,AFTPH
ZNF362,ZNF362
Y_RNA,Y_RNA
SORBS2,SORBS2
GSDMA,GSDMA
NAT8,NAT8
RITA1,RITA1
U6,U6
ggo-mir-181c,mml-mir-181c
Metazoa_SRP,Metazoa_SRP
SNORD65C,SNORD65C
U6,U6
Y_RNA,Y_RNA
SLITRK4,SLITRK4
UBE2Q1,UBE2Q1
MIR133A2,mml-mir-133c
OR2AP1,OR2AP1
MLH3,MLH3
U6,U6
MPP1,MPP1
Metazoa_SRP,Metazoa_SRP
ARID5A,ARID5A
PIGX,PIGX
Y_RNA,Y_RNA
WDR45,WDR45
TMEM60,TMEM60
U6,U6
U6,U6
U7,U7
ZNF618,ZNF618
U6,U6
Metazoa_SRP,Metazoa_SRP
U6,U6
EID2,EID2
U6,U6
RPS13,RPS13
U6,U6
MEGF10,MEGF10
U6,U6
SNORA54,SNORA54
U6,U6
U6,U6
SNORD65,SNORD65
Metazoa_SRP,Metazoa_SRP
USHBP1,USHBP1
TMTC2,TMTC2
HRH1,HRH1
FRAS1,FRAS1
GAPT,GAPT
Y_RNA,Y_RNA
TBPL1,TBPL1
U6,U6
U6,U6
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
U6,U6
U6,U6
CXCR4,CXCR4
ZZEF1,ZZEF1
PTP4A1,PTP4A1
MIR1226,mml-mir-1226
TMX3,TMX3
ZNF292,ZNF292
MIR149,mml-mir-149
UBE2H,UBE2H
Metazoa_SRP,Metazoa_SRP
U6,U6
U7,U7
GJB1,GJB1
Y_RNA,Y_RNA
U6,U6
CEP104,CEP104
U6,U6
SLC7A5,SLC7A5
DHPS,DHPS
SNORD65B,SNORD65B
U6,U6
Metazoa_SRP,Metazoa_SRP
DICER1,DICER1
Metazoa_SRP,Metazoa_SRP
U6,U6
PIR,PIR
IGSF22,IGSF22
PCOLCE,PCOLCE
U6,U6
U6,U6
Y_RNA,Y_RNA
SNORD92,SNORD92
MRLN,MRLN
U6,U6
RIMS3,RIMS3
U6,U6
SNORD53B,SNORD53B
Metazoa_SRP,Metazoa_SRP
CALML3,CALML3
SNORD53,SNORD53
Y_RNA,Y_RNA
ggo-mir-19a,mml-mir-19a
ggo-mir-153,mml-mir-153-2
U6,U6
U6,U6
U6,U6
U6,U6
FAM83F,FAM83F
OR2M4,OR2M4
CTSC,CTSC
Metazoa_SRP,Metazoa_SRP
U6,U6
U1,U1
BMP15,BMP15
SNORA75,SNORA75
FBXL16,FBXL16
Y_RNA,Y_RNA
FAM220A,FAM220A
Metazoa_SRP,Metazoa_SRP
U6,U6
U6,U6
STUB1,STUB1
PLEKHG4B,PLEKHG4B
TMEM135,TMEM135
FAM193B,FAM193B
PDE1B,PDE1B
U6,U6
U6,U6
Metazoa_SRP,Metazoa_SRP
ITPR2,ITPR2
CHRM2,CHRM2
AGXT2,AGXT2
Metazoa_SRP,Metazoa_SRP
NCOA4,NCOA4
AK3,AK3
AMIGO2,AMIGO2
U6,U6
SNORA75,SNORA75
IGLV4-69,IGLV4-69
U6,U6
LINGO4,LINGO4
CFD,CFD
Metazoa_SRP,Metazoa_SRP
SETDB2,SETDB2
U6,U6
U6,U6
PTPRN,PTPRN
ITLN1,ITLN1
CFAP45,CFAP45
U6,U6
U6,U6
SWAP70,SWAP70
RRAGA,RRAGA
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
U2,U2
U6,U6
Y_RNA,Y_RNA
RASSF7,RASSF7
Metazoa_SRP,Metazoa_SRP
U6,U6
MIR137,mml-mir-137
U6,U6
NUDT2,NUDT2
CEP295,CEP295
MIR433,mml-mir-433
MIR429,mml-mir-429
CCDC63,CCDC63
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
ATXN1L,ATXN1L
Y_RNA,Y_RNA
EIF3A,EIF3A
SESN3,SESN3
Metazoa_SRP,Metazoa_SRP
USP39,USP39
U6,U6
TMPRSS3,TMPRSS3
DSCAML1,DSCAML1
MIRLET7I,mml-let-7i
U6,U6
IKZF2,IKZF2
CD1B,CD1B
GPHA2,GPHA2
Y_RNA,Y_RNA
TMPRSS15,TMPRSS15
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
IRS1,IRS1
U6,U6
LACTB,LACTB
LCE5A,LCE5A
IRAK1,IRAK1
U6,U6
SUN5,SUN5
Metazoa_SRP,Metazoa_SRP
MIR361,mml-mir-361
ZSCAN22,ZSCAN22
POP4,POP4
Y_RNA,Y_RNA
TES,TES
CD38,CD38
Y_RNA,Y_RNA
U6,U6
CDNF,CDNF
U6,U6
PTPRH,PTPRH
HSBP1L1,HSBP1L1
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
GIMAP7,GIMAP7
Metazoa_SRP,Metazoa_SRP
U6,U6
Y_RNA,Y_RNA
USP1,USP1
U6,U6
Metazoa_SRP,Metazoa_SRP
SATB1,SATB1
5S_rRNA,5S_rRNA
U6,U6
FSTL5,FSTL5
U2,U2
ARGLU1,ARGLU1
ZEB1,ZEB1
DDX5,DDX5
MIR624,mml-mir-624
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
U6,U6
ggo-mir-105,mml-mir-105-1
ERI2,ERI2
U6,U6
SPTLC1,SPTLC1
5S_rRNA,5S_rRNA
CD93,CD93
MYO19,MYO19
U6,U6
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
ZMAT3,ZMAT3
Metazoa_SRP,Metazoa_SRP
SCARNA12,SCARNA12
FBXO34,FBXO34
Y_RNA,Y_RNA
TMCO3,TMCO3
GPR152,GPR152
OR2T1,OR2T1
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
DIPK1C,DIPK1C
Metazoa_SRP,Metazoa_SRP
DNAJB7,DNAJB7
U6,U6
ETFDH,ETFDH
NRARP,NRARP
U6,U6
FOXD4,FOXD4L1
SNORD114-20,SNORD114-20
FAM186B,FAM186B
HDAC8,CITED1
SNORD93,SNORD93
Metazoa_SRP,Metazoa_SRP
U6,U6
Y_RNA,Y_RNA
U6,U6
SNORD114-10,SNORD114-10
MIR770,mml-mir-770
ANO7,ANO7
U2,U2
B3GALT2,B3GALT2
NYAP2,NYAP2
MTA2,MTA2
SNORD114-14,SNORD114-14
TMX2,TMX2
ADAM2,ADAM2
U6,U6
SNORD114-17,SNORD114-17
PLA2G5,PLA2G5
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
U2,U2
Metazoa_SRP,Metazoa_SRP
CYTL1,CYTL1
HDHD3,HDHD3
U6,U6
U6,U6
SNORD114-25,SNORD114-25
OXNAD1,OXNAD1
BORCS7,BORCS7
NHLH1,NHLH1
AAR2,AAR2
SH3BP4,SH3BP4
UPK3A,UPK3A
Y_RNA,Y_RNA
SNORD114-7,SNORD114-7
Y_RNA,Y_RNA
U2,U2
Metazoa_SRP,Metazoa_SRP
LSM7,LSM7
STX19,STX19
EVA1B,EVA1B
LEPROT,LEPROT
GPATCH3,GPATCH3
NOS1,NOS1
GGACT,GGACT
SNORD114-27,SNORD114-27
PWWP3A,PWWP3A
U6,U6
CHST12,CHST12
BLK,BLK
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
PAK4,PAK4
U6,U6
E2F4,E2F4
BACE2,BACE2
U8,U8
MARCHF2,MARCHF2
FAM111B,FAM111B
U6,U6
SNORD114-11,SNORD114-11
SNORD114-13,SNORD114-13
RNase_MRP,RNase_MRP
IER5,IER5
U6,U6
Metazoa_SRP,Metazoa_SRP
U6,U6
FCAMR,FCAMR
RNase_MRP,RNase_MRP
SNORD114-12,SNORD114-12
GPR61,GPR61
SNORD49B,SNORD49B
Metazoa_SRP,Metazoa_SRP
NDUFB3,NDUFB3
OGN,OGN
ARHGEF39,ARHGEF39
U6,U6
TJP3,TJP3
CFAP206,CFAP206
U8,U8
SNORD111,SNORD111
OR10K2,OR10K2
U1,U1
SNORD114-16,SNORD114-16
Vault,Vault
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
CNPY4,CNPY4
SNORD114-22,SNORD114-22
SNORD111B,SNORD111B
ADAMTS12,ADAMTS12
ALPP,ALPP
SNORD114-18,SNORD114-18
PPP1R37,PPP1R37
Y_RNA,Y_RNA
CCDC152,CCDC152
U6,U6
H2AC21,H2AC21
SNORD114-28,SNORD114-28
TOX4,TOX4
OR51S1,OR51S1
U8,U8
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
SNORD114-26,SNORD114-26
SNX17,SNX17
RGS17,RGS17
LY86,LY86
SNORD114-9,SNORD114-9
U6,U6
RPH3AL,RPH3AL
PDP2,PDP2
U6,U6
Y_RNA,Y_RNA
SNORD114-19,SNORD114-19
Y_RNA,Y_RNA
MIR532,mml-mir-532
U6,U6
DIRAS3,DIRAS3
ZNF398,ZNF398
FIBP,FIBP
Metazoa_SRP,Metazoa_SRP
SNORD114-30,SNORD114-30
INSM2,INSM2
U6,U6
U8,U8
U6,U6
SNORD9,SNORD9
RS1,RS1
Y_RNA,Y_RNA
SNORD114-15,SNORD114-15
OR2T27,OR2T27
TIGD6,TIGD6
Metazoa_SRP,Metazoa_SRP
SNORD8,SNORD8
MOBP,MOBP
ZNF891,ZNF891
MYCL,MYCL
ADARB2,ADARB2
SLC9A8,SLC9A8
U6,U6
LBX1,LBX1
EFCAB11,EFCAB11
MTFR1L,MTFR1L
Y_RNA,Y_RNA
STK24,STK24
Metazoa_SRP,Metazoa_SRP
TSPYL6,TSPYL6
OR4K17,OR4K17
U6,U6
U8,U8
SLC2A6,SLC2A6
MIR374B,mml-mir-374b
G3BP2,G3BP2
U6,U6
U6,U6
U1,U1
PHLDB3,PHLDB3
CA9,CA9
SLC27A1,SLC27A1
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
GLRX5,GLRX5
CMBL,CMBL
SPMAP2,SPMAP2
ZBTB42,ZBTB42
U6,U6
CD99L2,CD99L2
U6,U6
IP6K2,IP6K2
RORC,RORC
Y_RNA,Y_RNA
GJB5,GJB5
DERL3,DERL3
DNAH10,DNAH10
PTGS1,PTGS1
INPP5E,INPP5E
ZNF546,ZNF546
Metazoa_SRP,Metazoa_SRP
TMEM81,TMEM81
U6,U6
Y_RNA,Y_RNA
ggo-mir-93,mml-mir-93
RSPO4,RSPO4
U8,U8
U6,U6
U6,U6
Metazoa_SRP,Metazoa_SRP
FBXO46,FBXO46
U6,U6
CXCR5,CXCR5
U6,U6
Y_RNA,Y_RNA
EPB41L2,EPB41L2
LTBP4,LTBP4
CPNE6,CPNE6
Y_RNA,Y_RNA
U6,U6
Y_RNA,Y_RNA
U6,U6
TRAM1L1,TRAM1L1
PPP1R10,PPP1R10
RASSF6,RASSF6
TNK2,TNK2
DOK4,DOK4
U6,U6
CCIN,CCIN
C16orf74,C20H16orf74
RWDD2B,RWDD2B
ARMH1,ARMH1
NR6A1,NR6A1
U6,U6
SLC16A11,SLC16A11
PSTK,PSTK
U8,U8
USP7,USP7
U6,U6
CCDC9B,CCDC9B
Y_RNA,Y_RNA
SEPTIN7,SEPTIN7
FAM187B,FAM187B
TRIM47,TRIM47
GPR151,GPR151
Y_RNA,Y_RNA
U6,U6
EXO1,EXO1
SNORA18,SNORA18
U6,U6
ZNF22,ZNF22
U8,U8
NISCH,NISCH
Y_RNA,Y_RNA
U6,U6
SMC6,SMC6
CD244,CD244
Y_RNA,Y_RNA
IFTAP,IFTAP
NHLRC1,NHLRC1
U1,U1
MAGOHB,MAGOHB
MLIP,MLIP
ZFAT,ZFAT
ASTN2,ASTN2
BDH1,BDH1
MIR450A,mml-mir-450a-2
Y_RNA,Y_RNA
U6,U6
U8,U8
Y_RNA,Y_RNA
U6,U6
MIR449A,mml-mir-449a
U6,U6
COX18,COX18
TOR3A,TOR3A
COG3,COG3
HNF1A,HNF1A
EFHD2,EFHD2
