Gene name,Chimpanzee gene name
RN7SKP6,7SK
RNY4P29,Y_RNA
MIR3169,MIR3169
RNY3P5,Y_RNA
RN7SL375P,Metazoa_SRP
RN7SL761P,Metazoa_SRP
RNU6-80P,U6
RNY1P8,Y_RNA
RNU4-10P,U4
RNU6-66P,U6
RNU6-79P,U6
RNY3P10,Y_RNA
RN7SL571P,Metazoa_SRP
RNU6-61P,U6
RNU6-54P,U6
RNY3P7,Y_RNA
RNU6-77P,U6
RNU6-38P,U6
RNU6-67P,U6
RN7SL60P,Metazoa_SRP
SNORD31B,SNORD31
SNORD36,SNORD36
WFDC10A,WFDC10A
RNY3P4,Y_RNA
RNU6-58P,U6
PPP1R16B,PPP1R16B
ITM2B,ITM2B
FAM3B,FAM3B
Metazoa_SRP,Metazoa_SRP
TRIM13,TRIM13
DHX35,DHX35
KCNRG,KCNRG
MIR15A,ptr-mir-15a
ADAMTS1,ADAMTS1
ELP2,ELP2
FAM124A,FAM124A
ZAR1L,ZAR1L
N4BP2L1,N4BP2L1
RTL6,RTL6
PVALB,PVALB
MIS18A,MIS18A
TOX2,TOX2
SYNGR1,SYNGR1
MRAP,MRAP
WDR4,WDR4
CSNK1A1L,CSNK1A1L
RFXAP,RFXAP
TRPC4,TRPC4
PDGFB,PDGFB
WFDC11,WFDC11
RIPOR3,RIPOR3
FAM83D,FAM83D
SLC2A10,SLC2A10
KCNB1,KCNB1
PKDREJ,PKDREJ
NDUFV3,NDUFV3
ANKRD54,ANKRD54
CDH22,CDH22
GABPA,GABPA
NCOA3,NCOA3
CLIC6,CLIC6
TSPO,TSPO
RN7SL288P,Metazoa_SRP
RN7SKP5,7SK
RNU2-6P,U2
RNU6-68P,U6
CPB2,CPB2
CD226,CD226
SHISAL1,SHISAL1
LCP1,LCP1
ZNRF3,ZNRF3
PIGN,PIGN
RNU6-1066P,U6
RN7SKP169,7SK
SNORD42,SNORD42
Y_RNA,Y_RNA
MIR5739,MIR5739
SNORD83A,SNORD83A
SNORD83B,SNORD83B
SNORD43,SNORD43
MIR4535,MIR4535
RN7SKP214,7SK
RFPL3,RFPL3
SIAH3,SIAH3
NALCN,NALCN
RTCB,RTCB
PREX1,PREX1
ASPHD2,ASPHD2
SRRD,SRRD
TFIP11,TFIP11
PTGIS,PTGIS
RNU6-954P,U6
TEX30,TEX30
RBM11,RBM11
HSPA13,HSPA13
CBLN4,CBLN4
PSMG1,PSMG1
ATP9A,ATP9A
CRYBB1,CRYBB1
CRYBA4,CRYBA4
Y_RNA,Y_RNA
C1QTNF6,C1QTNF6
RALY,RALY
BRWD1,BRWD1
SSTR3,SSTR3
TMPRSS6,TMPRSS6
MED4,MED4
PRKX,PRKX
SGCG,SGCG
CFAP61,CFAP61
RBM26,RBM26
P2RY8,P2RY8
DGKH,DGKH
SLC25A6,SLC25A6
AMELX,AMELX
SPECC1L,SPECC1L
SHROOM2,SHROOM2
SLC17A9,SLC17A9
ANOS1,ANOS1
PSMA7,PSMA7
ADORA2A,ADORA2A
ASMTL,ASMTL
SUCLA2,SUCLA2
RBBP8NL,RBBP8NL
UPB1,UPB1
CST3,CST3
FAM9B,FAM9B
SNRPD3,SNRPD3
GID8,GID8
HCCS,HCCS
PMEPA1,PMEPA1
NLGN4X,NLGN4X
LRRC75B,LRRC75B
PCP4,PCP4
RN7SKP9,7SK
GPR183,GPR183
DSCAM,DSCAM
SNORA31B,SNORA31B
SNORA31,SNORA31
ABHD13,ABHD13
GGT1,GGT1
ESD,ESD
EIF2S2,EIF2S2
MOCOS,MOCOS
FAM9A,FAM9A
HTR2A,HTR2A
SRPX,SRPX
RNY4P28,Y_RNA
MIR4760,MIR4760
TDRD3,TDRD3
MIR3197,MIR3197
BACE2,BACE2
NETO1,NETO1
SOX18,SOX18
ACSS1,ACSS1
RNU6-71P,U6
SPART,SPART
GRPR,GRPR
BEND2,BEND2
CNDP2,CNDP2
TMEM47,TMEM47
RIPK4,RIPK4
KLHL34,KLHL34
SMPX,SMPX
DOK5,DOK5
CNKSR2,CNKSR2
TFF2,TFF2
STK24,STK24
TFF1,TFF1
B4GALT5,B4GALT5
TMPRSS3,TMPRSS3
TAFA5,TAFA5
SALL4,SALL4
MAPK1,MAPK1
SCP2D1,SCP2D1
BHLHE23,BHLHE23
CDH4,CDH4
RCBTB2,RCBTB2
MTMR3,MTMR3
CNDP1,CNDP1
NDRG3,NDRG3
UBASH3A,UBASH3A
SLITRK1,SLITRK1
IFT88,IFT88
TWSG1,TWSG1
TMTC4,TMTC4
DOK6,DOK6
KIAA1328,KIAA1328
RNU6-1149P,U6
RSPH1,RSPH1
SS18L1,SS18L1
EPSTI1,EPSTI1
NFATC2,NFATC2
SLC37A1,SLC37A1
RN7SKP72,7SK
RNU6-349P,U6
RN7SL282P,Metazoa_SRP
RN7SL50P,Metazoa_SRP
U3,U3
MYO18B,MYO18B
RNU6-916P,U6
RNU6-903P,U6
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RN7SL97P,Metazoa_SRP
RNU6-1289P,U6
Y_RNA,Y_RNA
Y_RNA,Y_RNA
MIR3929,MIR3929
MIR5583-2,MIR5583-2
RNU6-1242P,U6
RN7SKP182,7SK
MIR187,MIR187
MIR4743,MIR4743
MIR4527,MIR4527
RNU6-706P,U6
RNU6-708P,U6
RNU6-737P,U6
Y_RNA,Y_RNA
U3,U3
RNU6-116P,U6
RN7SL342P,Metazoa_SRP
RNU4-17P,U4
RNU6-567P,U6
RNU6-142P,U6
RNU6-1037P,U6
RN7SL705P,Metazoa_SRP
RN7SL795P,Metazoa_SRP
TNFRSF19,TNFRSF19
RNU6-655P,U6
Y_RNA,Y_RNA
PIAS2,PIAS2
PDE9A,PDE9A
PEBP4,PEBP4
CARS2,CARS2
ZFYVE19,ZFYVE19
GFRA2,GFRA2
SYCP2,SYCP2
ADARB2,ADARB2
HDHD2,HDHD2
SYTL5,SYTL5
KLF6,KLF6
SGCZ,SGCZ
ATP5F1C,ATP5F1C
ADGRG2,ADGRG2
IER3IP1,IER3IP1
RNU6-1131P,U6
SKOR2,SKOR2
RN7SL597P,Metazoa_SRP
KBTBD6,KBTBD6
EGR3,EGR3
OCA2,OCA2
KBTBD7,KBTBD7
TGIF1,TGIF1
MTRF1,MTRF1
EBF2,EBF2
SGSM3,SGSM3
ITIH2,ITIH2
NAA16,NAA16
LAMA5,LAMA5
NUBPL,NUBPL
ERICH1,ERICH1
DPH6,DPH6
TAF4B,TAF4B
SNX6,SNX6
VPS37A,VPS37A
C15orf62,C15H15orf62
MIR3200,MIR3200
SPRED1,SPRED1
MORC2,MORC2
RNU6-57P,U6
RGCC,RGCC
VWA8,VWA8
FMN1,FMN1
CCDC3,CCDC3
STC1,STC1
DSG4,DSG4
LSM14B,LSM14B
KIN,KIN
TRIM35,TRIM35
TRDV3,TRDV3
PHACTR3,PHACTR3
RCL1,RCL1
GABRG3,GABRG3
PCNX4,PCNX4
MAK16,MAK16
RPP38,RPP38
Y_RNA,Y_RNA
DSG3,DSG3
MIR5006,MIR5006
RN7SL515P,Metazoa_SRP
PIGG,PIGG
RAP2A,RAP2A
ITIH5,ITIH5
LPAR6,LPAR6
HMBOX1,HMBOX1
PRTG,PRTG
NAXD,NAXD
RN7SKP44,7SK
SIX1,SIX1
TTR,TTR
PPP2R5E,PPP2R5E
Y_RNA,Y_RNA
BRD10,BRD10
CDH2,CDH2
DNAL4,DNAL4
GJA3,GJA3
GJB2,GJB2
RAD51,RAD51
GJB6,GJB6
CBX6,CBX6
CNTLN,CNTLN
TCEA2,TCEA2
MRC1,MRC1
APOBEC3B,APOBEC3B
FUT10,FUT10
ZMYM2,ZMYM2
TMEM215,TMEM215
DMRTA1,DMRTA1
UNC5D,UNC5D
HAUS6,HAUS6
APOBEC3F,APOBEC3C
CUBN,CUBN
APOBEC3G,APOBEC3G
MIR4744,MIR4744
SLC2A9,SLC2A9
PSIP1,PSIP1
STYX,STYX
GOLM2,GOLM2
TAB1,TAB1
LIPG,LIPG
MSR1,MSR1
GATA5,GATA5
L3HYPDH,L3HYPDH
RBL1,RBL1
TRDMT1,TRDMT1
MGAT3,MGAT3
C14orf39,C14H14orf39
DHX15,DHX15
MIEF1,MIEF1
RNU2-7P,U2
EEF1AKMT1,EEF1AKMT1
DYM,DYM
LATS2,LATS2
SHC4,SHC4
RNU4-9P,U4
CENPJ,CENPJ
SIX6,SIX6
RAB40C,RAB40C
ZNF595,ZNF595
SIX4,SIX4
RNU1-46P,U1
MEX3C,MEX3C
RPS19BP1,RPS19BP1
ADRM1,ADRM1
PPM1A,PPM1A
DPYSL2,DPYSL2
TCF4,TCF4
CPZ,CPZ
APTX,APTX
SLC25A18,SLC25A18
NHLRC4,NHLRC4
CCDC175,CCDC175
APH1B,APH1B
MINDY3,MINDY3
FAM234A,FAM234A
DHRS7,DHRS7
PHF20,PHF20
RNU6-78P,U6
RN7SL741P,Metazoa_SRP
STK32B,STK32B
RNY1P3,Y_RNA
SHISA2,SHISA2
RXFP2,RXFP2
ATP6V1E1,ATP6V1E1
ARMC3,ARMC3
FRMD5,FRMD5
FRY,FRY
SLC25A37,SLC25A37
PCNX1,PCNX1
MSX1,MSX1
SIK1,SIK1
CYTL1,CYTL1
MBOAT4,MBOAT4
DOCK5,DOCK5
TRMT44,TRMT44
H2AP,H2AP
MIR3198-1,MIR3198-1
RP2,RP2
HSF2BP,HSF2BP
MICAL3,MICAL3
U3,U3
RN7SKP69,7SK
Y_RNA,Y_RNA
RN7SL547P,Metazoa_SRP
RN7SL607P,Metazoa_SRP
RN7SKP111,7SK
RNU6-1257P,U6
MBTPS2,MBTPS2
RNU1-23P,U1
RNA5SP528,5S_rRNA
Y_RNA,Y_RNA
RNU6-937P,U6
RNU6-639P,U6
RN7SL116P,Metazoa_SRP
RN7SL680P,Metazoa_SRP
RNU6-347P,U6
RNU7-6P,U7
RNU6-497P,U6
RNU6-929P,U6
RNU7-141P,U7
MIR1-1,ptr-mir-1-1
MIR133A2,ptr-mir-133a-2
RNU6-563P,U6
RBPJL,RBPJL
DRD5,DRD5
MIR6070,MIR6070
DNMT3L,DNMT3L
MAGEB17,MAGEB17
LDB2,LDB2
FAM47B,FAM47B
SCML2,SCML2
CTDSPL2,CTDSPL2
PIP4K2A,PIP4K2A
SDC4,SDC4
SYS1,SYS1
AIRE,AIRE
LEPROTL1,LEPROTL1
GPHB5,GPHB5
PDS5B,PDS5B
CHST7,CHST7
ADRA1A,ADRA1A
C10orf67,C10H10orf67
TP53TG5,TP53TG5
MNAT1,MNAT1
PFKL,PFKL
CLCN5,CLCN5
CCNB2,CCNB2
MALRD1,MALRD1
NPEPL1,NPEPL1
DUSP26,DUSP26
ST8SIA6,ST8SIA6
HMX1,HMX1
NKX3-1,NKX3-1
ADGRA3,ADGRA3
AXIN1,AXIN1
MKX,MKX
CCDC177,CCDC177
CCDC171,CCDC171
RNY1P4,Y_RNA
LDHAL6B,LDHAL6B
Metazoa_SRP,Metazoa_SRP
RNY4P30,Y_RNA
JKAMP,JKAMP
RNY4P9,Y_RNA
LOXL2,LOXL2
COPS2,COPS2
UTP14C,UTP14C
INTS6,INTS6
MAGEB10,MAGEB10
GDF2,GDF2
ITIH6,ITIH6
MIR298,ptr-mir-298
ODAD2,ODAD2
NELFCD,NELFCD
PTCHD1,PTCHD1
PCMTD1,PCMTD1
SYAP1,SYAP1
MTMR8,MTMR8
ABCA3,ABCA3
GPR78,GPR78
SH3GL2,SH3GL2
BNIP3L,BNIP3L
CDKL5,CDKL5
C4orf19,C4H4orf19
CFAP410,CFAP410
LURAP1L,LURAP1L
RHOJ,RHOJ
NFX1,NFX1
TBC1D19,TBC1D19
ITGA8,ITGA8
ICE1,ICE1
SOCS4,SOCS4
KIF13B,KIF13B
KCNH5,KCNH5
LRRC3,LRRC3
SMAD6,SMAD6
TSPEAR,TSPEAR
SNORA50B,SNORA50B
RN7SL320P,Metazoa_SRP
MIR4703,MIR4703
RNU6-65P,U6
RNY1P6,Y_RNA
RN7SL413P,Metazoa_SRP
CCDC70,CCDC70
TRMU,TRMU
GPR18,GPR18
SLC39A12,SLC39A12
MTUS2,MTUS2
SLTM,SLTM
ADAMTS16,ADAMTS16
SUSD6,SUSD6
TNFSF13B,TNFSF13B
KRTAP10-2,KRTAP10-2
KRTAP10-5,KRTAP10-5
KRTAP10-8,KRTAP10-8
KRTAP10-11,KRTAP10-11
TUBB1,TUBB1
KRTAP12-3,KRTAP12-3
KRTAP12-1,KRTAP12-1
UBE2G2,UBE2G2
ATP5F1E,ATP5F1E
EGLN3,EGLN3
MISP,MISP
GRHPR,GRHPR
ZFAND4,ZFAND4
RNF6,RNF6
ARID3A,ARID3A
PRELID3B,PRELID3B
FASTKD3,FASTKD3
GMDS,GMDS
DCTN6,DCTN6
PTTG1IP,PTTG1IP
SPTSSA,SPTSSA
CFAP47,CFAP47
GDF5,GDF5
ATP8A2,ATP8A2
SBNO2,SBNO2
TMEM204,TMEM204
PLEKHD1,PLEKHD1
C20orf173,C20H20orf173
UNKL,UNKL
ADCY2,ADCY2
SLIT2,SLIT2
PPP2R2A,PPP2R2A
POFUT2,POFUT2
LTBP2,LTBP2
INTS1,INTS1
MYO3A,MYO3A
PAX5,PAX5
EXOC2,EXOC2
FITM2,FITM2
TTPAL,TTPAL
SECISBP2L,SECISBP2L
GRAMD4,GRAMD4
SERINC3,SERINC3
ARHGDIG,ARHGDIG
AKAP4,AKAP4
SACS,SACS
CELSR1,CELSR1
MARCHF11,MARCHF11
RADIL,RADIL
EEF1E1,EEF1E1
IFT140,IFT140
MAOB,MAOB
C2CD4C,C2CD4C
PKIG,PKIG
SEMA5A,SEMA5A
ONECUT3,ONECUT3
PCBP3,PCBP3
PALM,PALM
BLOC1S5,BLOC1S5
ENTPD4,ENTPD4
FERRY3,FERRY3
MEOX2,MEOX2
MSRB2,MSRB2
TEX29,TEX29
VSIG4,VSIG4
KDM1B,KDM1B
HERC1,HERC1
ISCA2,ISCA2
CLN5,CLN5
RN7SL156P,Metazoa_SRP
TLDC2,TLDC2
PTF1A,PTF1A
PRTFDC1,PRTFDC1
FOXK1,FOXK1
BID,BID
RN7SL443P,Metazoa_SRP
OSER1,OSER1
SPATA7,SPATA7
JPH2,JPH2
NCLN,NCLN
FBXL3,FBXL3
MYO10,MYO10
RNU6-743P,U6
Y_RNA,Y_RNA
SRSF6,SRSF6
KCNA5,KCNA5
ENKUR,ENKUR
SPIDR,SPIDR
SERPINE3,SERPINE3
BMP6,BMP6
MFAP5,MFAP5
XYLT1,XYLT1
RNU6-1251P,U6
DNAJC1,DNAJC1
IFT52,IFT52
TXNDC5,TXNDC5
TMPRSS2,TMPRSS2
MYBL2,MYBL2
METTL21C,METTL21C
HS3ST4,HS3ST4
PHYHIPL,PHYHIPL
PARVB,PARVB
CREBBP,CREBBP
FOXR2,FOXR2
SLC9A7,SLC9A7
CST9,CST9
RBP3,RBP3
FOXQ1,FOXQ1
SKOR1,SKOR1
RPP40,RPP40
ARHGAP12,ARHGAP12
SLC10A2,SLC10A2
THAP10,THAP10
IL17D,IL17D
DGKK,DGKK
OTOR,OTOR
FOXB1,FOXB1
GGACT,GGACT
ATP11A,ATP11A
GCHFR,GCHFR
SRXN1,SRXN1
SEL1L3,SEL1L3
DTD1,DTD1
GNAQ,GNAQ
CA12,CA12
APBA3,APBA3
DEK,DEK
AP5M1,AP5M1
OSBPL2,OSBPL2
PIR,PIR
ZC3H7B,ZC3H7B
SLC28A3,SLC28A3
TJP3,TJP3
SLC35F4,SLC35F4
EDA2R,EDA2R
CYSLTR2,CYSLTR2
TEF,TEF
CLEC4E,CLEC4E
OXGR1,OXGR1
MYO1E,MYO1E
RNU6-495P,U6
PHF5A,PHF5A
CYSLTR1,CYSLTR1
COMMD8,COMMD8
RGS11,RGS11
PSAT1,PSAT1
POLR3H,POLR3H
STMND1,STMND1
ATP6AP2,ATP6AP2
SLAIN2,SLAIN2
RIMKLB,RIMKLB
SRSF5,SRSF5
GFOD1,GFOD1
MED10,MED10
SH2D4A,SH2D4A
THSD1,THSD1
NRSN1,NRSN1
RNY4P24,Y_RNA
VPS36,VPS36
RASEF,RASEF
ETV6,ETV6
MTRR,MTRR
OCIAD2,OCIAD2
JARID2,JARID2
MX2,MX1
NMRK1,NMRK1
CLEC1A,CLEC1A
PMM1,PMM1
TRIM27,TRIM27
PNMA2,PNMA2
RAB8B,RAB8B
LCA5L,LCA5L
CKAP2,CKAP2
CLEC9A,CLEC9A
JSRP1,JSRP1
ICA1,ICA1
UBE2D1,UBE2D1
RELL1,RELL1
LRP6,LRP6
POLR1E,POLR1E
DESI1,DESI1
LYN,LYN
RANBP3,RANBP3
ARIH1,ARIH1
GDF10,GDF10
HS3ST1,HS3ST1
ZNF33B,ZNF33B
ZNF718,ZNF718
FUT8,FUT8
RBM24,RBM24
NRP1,NRP1
R3HDML,R3HDML
GABRB1,GABRB1
MIR124-3,MIR124-3
YTHDF1,YTHDF1
SUGT1,SUGT1
GOLM1,GOLM1
CFAP90,CFAP90
TOLLIP,TOLLIP
SNTG1,SNTG1
BIRC7,BIRC7
CORIN,CORIN
SSR1,SSR1
PLCB2,PLCB2
FBXL7,FBXL7
SCNN1G,SCNN1G
DAOA,DAOA
SPEF2,SPEF2
NKAIN4,NKAIN4
OLR1,OLR1
ZIC2,ZIC2
HS3ST2,HS3ST2
ZIC5,ZIC5
TUT7,TUT7
LNX2,LNX2
TMC7,TMC7
GSX1,GSX1
RNU6-73P,U6
RPA3,RPA3
PDX1,PDX1
ARFGAP1,ARFGAP1
POLR1D,POLR1D
FOXF2,FOXF2
SOX4,SOX4
SPATC1L,SPATC1L
CLEC4D,CLEC4D
CDKAL1,CDKAL1
PAPOLB,PAPOLB
C1GALT1,C1GALT1
LSS,LSS
LIG4,LIG4
DCDC2,DCDC2
CLYBL,CLYBL
BRSK2,BRSK2
AP5Z1,AP5Z1
ID4,ID4
ITGBL1,ITGBL1
TNRC6A,TNRC6A
PTPRO,PTPRO
NAA30,NAA30
KIF13A,KIF13A
SLC16A2,SLC16A2
CLEC14A,CLEC14A
SARAF,SARAF
RGS6,RGS6
TYRP1,TYRP1
GNG7,GNG7
YJU2,YJU2
SUPT20H,SUPT20H
SNU13,SNU13
CLOCK,CLOCK
GNA14,GNA14
GNA15,GNA15
CYP7B1,CYP7B1
KLF8,KLF8
ZFAND5,ZFAND5
ITGA11,ITGA11
RN7SL162P,Metazoa_SRP
HSCB,HSCB
ZFR,ZFR
CA8,CA8
NDUFA4,NDUFA4
SAFB,SAFB
PLXDC2,PLXDC2
RNF122,RNF122
MICALL2,MICALL2
FGF16,FGF16
ZMAT4,ZMAT4
COMT,COMT
CPXCR1,CPXCR1
SNX29,SNX29
HDAC8,HDAC8
CRISPLD1,CRISPLD1
SGSM2,SGSM2
ZBTB5,ZBTB5
POLR3E,POLR3E
NAA35,NAA35
MRLN,MRLN
HACD3,HACD3
CPVL,CPVL
JCAD,JCAD
SPAG6,SPAG6
CARD19,CARD19
SLC38A9,SLC38A9
HLCS,HLCS
OSTF1,OSTF1
ARVCF,ARVCF
KCNE1,KCNE1
CENPC,CENPC
ZNF215,ZNF215
RNU6-994P,U6
CHRNA4,CHRNA4
R3HCC1,R3HCC1
FRMD3,FRMD3
GALNT18,GALNT18
MARCHF8,MARCHF8
ANKFY1,ANKFY1
DKK1,DKK1
NEFM,NEFM
MKKS,MKKS
REC114,REC114
CALCB,CALCB
KIF5B,KIF5B
TANGO2,TANGO2
TBC1D21,TBC1D21
GADD45G,GADD45G
ZNF214,ZNF214
GSDME,GSDME
MIR4529,MIR4529
PEX2,PEX2
U3,U3
AQP4,AQP4
PTK6,PTK6
TECRL,TECRL
MUC5AC,MUC5AC
FNDC11,FNDC11
PXDNL,PXDNL
RNU1-94P,U1
PDRG1,PDRG1
INSR,INSR
TEX10,TEX10
TFF3,TFF3
CDH10,CDH10
XKR7,XKR7
CCM2L,CCM2L
NPTN,NPTN
NETO2,NETO2
ZFHX4,ZFHX4
RBMXL2,RBMXL2
ANO3,ANO3
PLAGL2,PLAGL2
ONECUT2,ONECUT2
SLC34A2,SLC34A2
MIR1825,ptr-mir-1825
NARS1,NARS1
MAPRE1,MAPRE1
UMODL1,UMODL1
GPX8,GPX8
PROCR,PROCR
OSBPL3,OSBPL3
GRIN3A,GRIN3A
ZZEF1,ZZEF1
ISL1,ISL1
CLVS1,CLVS1
CELF5,CELF5
METTL22,METTL22
NBEA,NBEA
MMP24,MMP24
CYLC2,CYLC2
PTPN21,PTPN21
FEM1B,FEM1B
SETDB2,SETDB2
TMEM38B,TMEM38B
WNT7A,WNT7A
ANKH,ANKH
ARMC1,ARMC1
NMT2,NMT2
PHF11,PHF11
PML,PML
FAM83C,FAM83C
BARX1,BARX1
DSN1,DSN1
TPMT,TPMT
ATP8B1,ATP8B1
UGT2B10,UGT2B10
CLEC7A,CLEC7A
CHL1,CHL1
NPR3,NPR3
SYNDIG1L,SYNDIG1L
NINJ1,NINJ1
KCTD8,KCTD8
SYT9,SYT9
TMX1,TMX1
VAV1,VAV1
SDAD1,SDAD1
CAGE1,CAGE1
UPRT,UPRT
MIR185,ptr-mir-185
Metazoa_SRP,Metazoa_SRP
MIR3618,MIR3618
MIR1306,ptr-mir-1306
CRK,CRK
SNORA77B,SNORA77B
