Gene name,Pig gene name
Map1b,MAP1B
Asah1,ASAH1
Lims2,LIMS2
Cartpt,CARTPT
Pde1b,PDE1B
Jarid2,JARID2
Ttc7,TTC7A
Naa50,NAA50
Gpr17,GPR17
Myo7b,MYO7B
Cpm,CPM
Fbxo34,FBXO34
Usf3,USF3
Pard6a,PARD6A
Tbx22,TBX22
Gart,GART
Ric8b,RIC8B
Frg1,FRG1
Iws1,IWS1
Ppp1r1a,PPP1R1A
Micu2,MICU2
Enkd1,ENKD1
Sptssb,SPTSSB
4933405L10Rik,C16orf86
Foxa1,FOXA1
Tmem263,TMEM263
Arhgap10,ARHGAP10
Fgf9,FGF9
Otol1,OTOL1
Ttc6,TTC6
Fyb1,FYB1
Mterf2,MTERF2
Stpg4,STPG4
Atg14,ATG14
Cry1,CRY1
Xrcc3,XRCC3
Tent5d,TENT5D
Snx27,SNX27
Calm2,CALM2
Mdm2,MDM2
Map3k2,MAP3K2
Mccc2,MCCC2
Mtss1,MTSS1
Fbxo11,FBXO11
Ercc3,ERCC3
Gemin2,GEMIN2
Slc17a3,SLC17A3
Esrrb,ESRRB
Gypc,GYPC
Tuft1,TUFT1
Sqle,SQLE
Triml1,TRIML1
Wdr36,WDR36
Gfod2,GFOD2
Setdb2,SETDB2
Slc35e3,SLC35E3
Ice1,ICE1
Triml2,TRIML2
Brwd3,BRWD3
Ptprk,PTPRK
Zfyve21,ZFYVE21
Prmt9,PRMT9
Slc17a1,SLC17A1
Gm23947,U6
Foxn2,FOXN2
Rictor,RICTOR
Ppp1r21,PPP1R21
Sidt1,SIDT1
Camk4,CAMK4
Sis,SI
Gm54442,U6
Stard4,STARD4
Gm54643,SNORA61
Trappc6b,TRAPPC6B
Ranbp10,RANBP10
Gnl3l,GNL3L
Nrep,NREP
Cab39l,CAB39L
Slc17a4,SLC17A4
Ston1,STON1
Ppp1r13b,PPP1R13B
Epb41l4a,EPB41L4A
Gtf2a1l,GTF2A1L
Tmem184c,TMEM184C
Slitrk3,SLITRK3
H2bc1,H2BC1
H2ac1,H2AC1
Bdp1,BDP1
Pnn,PNN
Lhcgr,LHCGR
Kat5,KAT5
Zbbx,ZBBX
Cdadc1,CDADC1
Tsnaxip1,TSNAXIP1
Fshr,FSHR
Piezo2,PIEZO2
Themis,THEMIS
Irf2bpl,IRF2BPL
Lrfn2,LRFN2
Washc5,WASHC5
Mocs1,MOCS1
Cipc,CIPC
Spice1,SPICE1
Ednra,EDNRA
Tmem255a,TMEM255A
Cenpt,CENPT
Slco1c1,SLCO1C1
Serpini2,SERPINI2
Zdhhc22,ZDHHC22
Shisa2,SHISA2
Abtb3,ABTB3
Atp8a2,ATP8A2
Tdrd9,TDRD9
Wdr49,WDR49
Cfap44,CFAP44
Thap11,THAP11
Ttc29,TTC29
Daam2,DAAM2
Pdcd10,PDCD10
Mylip,MYLIP
Fgd1,FGD1
Frrs1,FRRS1
Arhgef7,ARHGEF7
Nsmce2,NSMCE2
Son,SON
Gm49336,NUP58
Adamts16,ADAMTS16
Trib1,TRIB1
Jam3,JAM3
Pou3f4,POU3F4
Nfam1,NFAM1
Atp1b4,ATP1B4
Rd3l,RD3L
Hmgcll1,HMGCLL1
Palmd,PALMD
Rftn1,RFTN1
Aspg,ASPG
Rela,RELA
Ttc14,TTC14
Pwp1,PWP1
Tsr2,TSR2
Scgn,SCGN
Adam17,ADAM17
Gfral,GFRAL
Gm26441,U6
Lamp2,LAMP2
Serf1,SERF1A
Rap1b,RAP1B
Plcl2,PLCL2
Boc,BOC
Gmpr,GMPR
Osmr,OSMR
Nrxn1,NRXN1
Mtcl3,MTCL3
Vldlr,VLDLR
Dennd6a,DENND6A
Irx1,IRX1
Kifbp,KIFBP
Hcrtr2,HCRTR2
Fgd4,FGD4
Fam120c,FAM120C
Lratd2,LRATD2
Irx2,IRX2
Irx4,IRX4
Fam83b,FAM83B
Htr3b,HTR3B
Stmnd1,STMND1
Serhl,SERHL2
Apc,APC
Opcml,OPCML
Ndufs6,NDUFS6
Cul4b,CUL4B
9330159F19Rik,KIAA0408
Mrpl36,MRPL36
Ddx21,DDX21
Cap2,CAP2
Glyctk,GLYCTK
Prdm4,PRDM4
Tinag,TINAG
Fam8a1,FAM8A1
Myc,MYC
Mir135a-1,ssc-mir-135-1
Ntm,NTM
Ascl4,ASCL4
Ddx50,DDX50
Mtmr6,MTMR6
Tmem63c,TMEM63C
Lifr,LIFR
Wdr82,WDR82
Rtcb,RTCB
Amer2,AMER2
Srp19,SRP19
Echdc1,ECHDC1
Tas2r139,TAS2R39
Fubp1,FUBP1
Mirlet7g,MIRLET7G
Snx19,SNX19
Reep5,REEP5
Rfx3,RFX3
Txnl1,TXNL1
Mtnr1a,MTNR1A
Tas2r144,TAS2R40
F11,F11
Gstk1,GSTK1
Apool,APOOL
Adamts15,ADAMTS15
Kif26a,KIF26A
Stox1,STOX1
Tmem139,TMEM139
Ednrb,EDNRB
Pyroxd1,PYROXD1
Carmil1,CARMIL1
Ppm1m,PPM1M
Klkb1,KLKB1
Bpifc,BPIFC
Tbc1d5,TBC1D5
Mcts1,MCTS1
Ngb,NGB
Pou4f1,POU4F1
Cyp4v3,CYP4V2
Casp2,CASP2
Pkd2l2,PKD2L2
Nepro,NEPRO
Obi1,OBI1
Rnf146,RNF146
Ywhaq,YWHAQ
Adamts8,ADAMTS8
Edc4,EDC4
Mipep,MIPEP
Zbtb44,ZBTB44
Fbxo7,FBXO7
Fam13b,FAM13B
Ablim1,ABLIM1
Zfp711,ZNF711
Mlip,MLIP
Recql,RECQL
Gtpbp8,GTPBP8
Pomt2,POMT2
Tnfrsf19,TNFRSF19
Pof1b,POF1B
Rspo3,RSPO3
Cenpw,CENPW
Adcyap1,ADCYAP1
Wnt8a,WNT8A
Nme5,NME5
Syn3,SYN3
Gm25935,U6
Chm,CHM
Mettl4,METTL4
Nup153,NUP153
Wdr7,WDR7
Egflam,EGFLAM
Timp3,TIMP3
Gm23102,U5
Satb1,SATB1
Nrn1l,NRN1L
Sacs,SACS
Mdm1,MDM1
Donson,DONSON
Pskh1,PSKH1
Ctrl,CTRL
Lpcat1,LPCAT1
Mir361,ssc-mir-361
Phf8,PHF8
St14,ST14
Gstz1,GSTZ1
Golt1b,GOLT1B
Twf2,TWF2
Spx,SPX
Arl11,ARL11
Ebpl,EBPL
Arhgef3,ARHGEF3
Tmed8,TMED8
Gys2,GYS2
Psmb10,PSMB10
Gdnf,GDNF
Noxred1,NOXRED1
Wdr70,WDR70
Lcat,LCAT
Top3b,TOP3B
Kpna3,KPNA3
Zfp827,ZNF827
Taf1b,TAF1B
Slc6a3,SLC6A3
Kcnh8,KCNH8
Rbm26,RBM26
Tlr9,TLR9
Efhb,EFHB
Alas1,ALAS1
Kif13a,KIF13A
Rab5a,RAB5A
Ccar1,CCAR1
Pp2d1,PP2D1
St8sia3,ST8SIA3
1700011L22Rik,C4orf51
Grhl1,GRHL1
Kat2b,KAT2B
Mmaa,MMAA
Gm25628,U6
Nup155,NUP155
Onecut2,ONECUT2
Tlr3,TLR3
Brd8,BRD8
Clcn1,CLCN1
Lrrc1,LRRC1
Sgo1,SGO1
Clptm1l,CLPTM1L
Klf11,KLF11
Vipas39,VIPAS39
Smad1,SMAD1
Sult1c2,SULT1C2
Slc12a4,SLC12A4
Tert,TERT
Sult1c1,SULT1C3
Snord98,SNORD98
Trmt11,TRMT11
Slc5a7,SLC5A7
Plppr4,PLPPR4
Shisa3,SHISA3
Cplane1,CPLANE1
St6gal2,ST6GAL2
Nkx6-1,NKX6-1
Tasor,TASOR
Cds1,CDS1
Cmah,CMAH
Ccdc39,CCDC39
Nup85,NUP85
Ifng,IFNG
Pptc7,PPTC7
Cdh7,CDH7
Klhl31,KLHL31
Hint3,HINT3
Gclc,GCLC
Ccdc66,CCDC66
Fstl5,FSTL5
Nipbl,NIPBL
Tbc1d24,TBC1D24
Ahsa1,AHSA1
Tet1,TET1
Kcnj8,KCNJ8
Cdk6,CDK6
Gria3,GRIA3
Poc1a,POC1A
Cys1,CYS1
Rpa1,RPA1
Otud4,OTUD4
Rad9b,RAD9B
Exo1,EXO1
Spry2,SPRY2
Dyrk2,DYRK2
Trim52,TRIM52
Plppr5,PLPPR5
Gm23459,U4
Slc25a16,SLC25A16
Slitrk1,SLITRK1
Dleu7,DLEU7
Vps29,VPS29
Fech,FECH
Slitrk6,SLITRK6
Fam131b,FAM131B
Rnaseh2b,RNASEH2B
Becn2,BECN2
Ppm1f,PPM1F
Mboat2,MBOAT2
Uxs1,UXS1
Dpep3,DPEP3
Cand1,CAND1
Scube1,SCUBE1
Smyd4,SMYD4
Slitrk5,SLITRK5
Snx7,SNX7
Cryzl1,CRYZL1
Fam216a,FAM216A
Gm54479,U6
Mir17,ssc-mir-17
Mir18,ssc-mir-18a
Mir19a,ssc-mir-19a
Mir20a,MIR20A
Aplp2,APLP2
Dach2,DACH2
Gga3,GGA3
Abce1,ABCE1
Gpn3,GPN3
Gm24611,U6
Dna2,DNA2
Rnf144b,RNF144B
Dpyd,DPYD
Anapc10,ANAPC10
Cdh19,CDH19
Kif20a,KIF20A
Id4,ID4
Hhip,HHIP
Phf2,PHF2
Arpc3,ARPC3
Dsel,DSEL
Rapgef2,RAPGEF2
Gm4131,C13orf42
Fam124a,FAM124A
Pld5,PLD5
Slc6a18,SLC6A18
Gpc5,GPC5
Mrps7,MRPS7
Zyx,ZYX
Serpinf1,SERPINF1
Ntn3,NTN3
Serpine3,SERPINE3
Ints6,INTS6
Slc1a3,SLC1A3
Tedc2,TEDC2
Ccdc80,CCDC80
Cdc23,CDC23
Atp8a1,ATP8A1
Slc35a5,SLC35A5
Ccnf,CCNF
Mpped1,MPPED1
Gm24150,U6
Spmip2,SPMIP2
Dus2,DUS2
Rrs1,RRS1
Nexn,NEXN
Erc2,ERC2
Adhfe1,ADHFE1
Atg3,ATG3
Rpia,RPIA
Mif4gd,MIF4GD
Mapk1,MAPK1
Xiap,XIAP
Ruvbl1,RUVBL1
Dpep2nb,DPEP2NB
Ddx28,DDX28
Nfatc3,NFATC3
Ncam1,NCAM1
Nars1,NARS1
Plpp3,PLPP3
Klhl4,KLHL4
Epha1,EPHA1
Miip,MIIP
Vxn,VXN
Serpinf2,SERPINF2
Eif2ak3,EIF2AK3
Cep170,CEP170
Usp38,USP38
Gm25633,U6
Glis3,GLIS3
H2-DMa,SLA-DMA
Ncoa7,NCOA7
Plet1,PLET1
Prdm10,PRDM10
Esrp2,ESRP2
Cd200,CD200
Sult4a1,SULT4A1
Mfn2,MFN2
Abca3,ABCA3
Tas2r135,TAS2R60
Spmip9,SPMIP9
Pts,PTS
Tas2r126,TAS2R41
Slc25a19,SLC25A19
Foxi3,FOXI3
Pabpc5,PABPC5
Pla2g15,PLA2G15
Sec61a1,SEC61A1
Nap1l3,NAP1L3
Stag2,STAG2
Bco2,BCO2
Slc9c1,SLC9C1
Atrnl1,ATRNL1
Gpc6,GPC6
Pnpla3,PNPLA3
Fnip2,FNIP2
Il18,IL18
Wdr81,WDR81
Samm50,SAMM50
Wdfy2,WDFY2
Parvb,PARVB
Slc7a6os,SLC7A6OS
Tex12,TEX12
Prmt7,PRMT7
Kbtbd12,KBTBD12
Dct,DCT
Parvg,PARVG
Timm8b,TIMM8B
Mybl1,MYBL1
Nfrkb,NFRKB
Thnsl2,THNSL2
Atp8b1,ATP8B1
Wnt5a,WNT5A
Fam120a,FAM120A
Tlcd2,TLCD2
Gcsam,GCSAM
Gfra1,GFRA1
Ptbp2,PTBP2
Mir22,MIR22
Anapc7,ANAPC7
Grb2,GRB2
Shisal1,SHISAL1
Smpd3,SMPD3
Defb42,DEFB136
BC016579,C3orf52
Tmprss7,TMPRSS7
Ctsb,CTSB
Ripor2,RIPOR2
Inpp4b,INPP4B
Ctnna1,CTNNA1
Capsl,CAPSL
Tgds,TGDS
Il7r,IL7R
Tagln3,TAGLN3
Abhd10,ABHD10
Gsg1l,GSG1L
Upk3a,UPK3A
Tmem45b,TMEM45B
Zbtb8b,ZBTB8B
Usp34,USP34
Wdfy3,WDFY3
Fam118a,FAM118A
Bsdc1,BSDC1
Fabp1,FABP1
Vcpip1,VCPIP1
Phldb2,PHLDB2
Gpr180,GPR180
Vstm2b,VSTM2B
Barx2,BARX2
Sox21,SOX21
Gm22946,U2
Tpp2,TPP2
Tcaf1,TCAF1
Lrrtm2,LRRTM2
Cacna2d3,CACNA2D3
Ccdc172,CCDC172
Nkapd1,NKAPD1
Sil1,SIL1
Gm23733,U6
Ppid,PPID
Plod1,PLOD1
Spef2,SPEF2
Pnlip,PNLIP
Rufy2,RUFY2
Etfdh,ETFDH
Pnliprp1,PNLIPRP1
Tssk3,TSSK3
Nrg2,NRG2
Fdft1,FDFT1
Pih1d2,PIH1D2
2510039O18Rik,KIAA2013
Marcksl1,MARCKSL1
Hdac1,HDAC1
Pnliprp2,PNLIPRP2
Lrtm1,LRTM1
4930579G24Rik,C4orf46
Rnps1,RNPS1
Rwdd3,RWDD3
Jak2,JAK2
Shank2,SHANK2
Pura,PURA
Dlat,DLAT
Neil2,NEIL2
Cystm1,CYSTM1
Il15,IL15
Lck,LCK
Gata4,GATA4
Pfdn1,PFDN1
Nedd4l,NEDD4L
Sh2d1a,SH2D1A
Selenok,SELENOK
Cgas,CGAS
Rxfp1,RXFP1
Plcxd2,PLCXD2
Zfp330,ZNF330
Psmb9,PSMB9
Cd96,CD96
Blk,BLK
Arhgap32,ARHGAP32
Fbxo33,FBXO33
Ssbp3,SSBP3
Huwe1,HUWE1
Fam167a,FAM167A
Smc1b,SMC1B
Miga1,MIGA1
Nectin3,NECTIN3
Rnf150,RNF150
Lrfn5,LRFN5
Eci1,ECI1
Tbc1d9,TBC1D9
Ribc2,RIBC2
Kidins220,KIDINS220
Ap3b2,AP3B2
Armh2,ARMH2
Dnase1l2,DNASE1L2
Slc6a19,SLC6A19
Insl6,INSL6
Asap1,ASAP1
Tmem94,TMEM94
Plgrkt,PLGRKT
Hey2,HEY2
Tap1,TAP1
Mgll,MGLL
Gm23790,U6
Ascl1,ASCL1
Hddc2,HDDC2
Sntb2,SNTB2
Dppa4,DPPA4
Gmnn,GMNN
Hnrnph3,HNRNPH3
Actr8,ACTR8
Kctd8,KCTD8
Mto1,MTO1
Slc18a2,SLC18A2
Dppa2,DPPA2
Gm23932,U6
Gm22085,U6
Elmod2,ELMOD2
Yipf7,YIPF7
Cd274,CD274
Kcnj5,KCNJ5
Arhgap24,ARHGAP24
Kcnj1,KCNJ1
Id2,ID2
BC005537,C6orf62
Gm5485,C3orf85
Morc1,MORC1
Sdccag8,SDCCAG8
Emx2,EMX2
Pah,PAH
Gm527,C14orf28
Mgat4d,MGAT4D
Pdcd1lg2,PDCD1LG2
Acot13,ACOT13
Vps4a,VPS4A
Togaram1,TOGARAM1
Tdp2,TDP2
Mtmr9,MTMR9
Trat1,TRAT1
Fli1,FLI1
Rab11fip2,RAB11FIP2
Tmem144,TMEM144
Xkr6,XKR6
Prpf8,PRPF8
Pdf,PDF
Slc12a7,SLC12A7
Cog8,COG8
Cldn10,CLDN10
Fam204a,FAM204A
Slc17a5,SLC17A5
Tpd52l1,TPD52L1
Tlcd4,TLCD4
Itsn1,ITSN1
Psmb8,PSMB8
Clgn,CLGN
Cyth3,CYTH3
Xpo6,XPO6
Prlhr,PRLHR
Mettl21c,METTL21C
Ric1,RIC1
Cd109,CD109
Tap2,TAP2
Nip7,NIP7
Niban1,NIBAN1
Sox11,SOX11
Prpf39,PRPF39
Sox7,SOX7
Arhgef5,ARHGEF5
Il17rb,IL17RB
Tmed6,TMED6
Rnf217,RNF217
Scoc,SCOC
Gask1b,GASK1B
Igf1,IGF1
Alg14,ALG14
E4f1,E4F1
Atp11b,ATP11B
Nobox,NOBOX
Terf2,TERF2
Gm25970,SNORD127
Akt3,AKT3
Fkbp3,FKBP3
4930578I06Rik,C8orf74
Ets1,ETS1
D130043K22Rik,KIAA0319
Abtb1,ABTB1
Atp2a2,ATP2A2
Cacul1,CACUL1
Chdh,CHDH
Disp3,DISP3
Pik3r1,PIK3R1
Nrxn3,NRXN3
Prss51,PRSS51
Rilp,RILP
Fsd2,FSD2
Cyb5b,CYB5B
Mrpl37,MRPL37
Zbtb18,ZBTB18
Pmch,PMCH
Caskin2,CASKIN2
Dzip1,DZIP1
Tex30,TEX30
Aldh5a1,ALDH5A1
Mcf2l,MCF2L
Nanos1,NANOS1
Eif3a,EIF3A
Tpk1,TPK1
Ubiad1,UBIAD1
Sbk1,SBK1
Cyb5rl,CYB5RL
Parpbp,PARPBP
Cd180,CD180
Pgp,PGP
Nkd2,NKD2
H2-Ob,HLA-DOB
Podxl2,PODXL2
Scarf1,SCARF1
Ermp1,ERMP1
Trdn,TRDN
Trip13,TRIP13
Rspo4,RSPO4
Cdcp2,CDCP2
Tsen54,TSEN54
H2-Ab1,SLA-DQB1
Mtor,MTOR
Rtf1,RTF1
Msra,MSRA
Edem3,EDEM3
Fancm,FANCM
Gpld1,GPLD1
Gria2,GRIA2
Abcc9,ABCC9
Gm22965,U6
Usp42,USP42
Gcg,GCG
Mlst8,MLST8
Dnajc3,DNAJC3
Mlana,MLANA
Nup37,NUP37
Tenm1,TENM1
Mir124a-1,ssc-mir-124a-2
Kif13b,KIF13B
Dennd10,DENND10
Slc43a2,SLC43A2
Washc3,WASHC3
Itpka,ITPKA
Surf2,SURF2
Mrs2,MRS2
Guf1,GUF1
Dcdc2a,DCDC2
Brd10,BRD10
Angptl7,ANGPTL7
Uggt2,UGGT2
Tceanc2,TCEANC2
Spmip3,SPMIP3
Zfp831,ZNF831
Ranbp6,RANBP6
Sfxn4,SFXN4
Nrsn1,NRSN1
Cttn,CTTN
Fbxl20,FBXL20
Dram1,DRAM1
Surf4,SURF4
Adss2,ADSS2
Ighm,IGHM
Brd9,BRD9
Gnptab,GNPTAB
Mis18bp1,MIS18BP1
Gm24763,U2
Pcdh19,PCDH19
Prdx3,PRDX3
Tmem59,TMEM59
Hs6st3,HS6ST3
Il33,IL33
Fam171a1,FAM171A1
Tsen15,TSEN15
Mbnl2,MBNL2
Epha4,EPHA4
Llgl2,LLGL2
Tnmd,TNMD
Bricd5,BRICD5
Trpd52l3,TPD52L3
Grk5,GRK5
Cep128,CEP128
Mccc1,MCCC1
Stkld1,STKLD1
Prr32,PRR32
Ldlrad1,LDLRAD1
Whamm,WHAMM
Lrrc42,LRRC42
Actrt1,ACTRT1
Uhrf2,UHRF2
Chpt1,CHPT1
2310030G06Rik,C11orf52
Tspan6,TSPAN6
Rexo4,REXO4
Cryab,CRYAB
Eif2ak1,EIF2AK1
Prl,PRL
Caskin1,CASKIN1
Snord107,SNORD107
Lat,LAT
Exosc10,EXOSC10
Srpx2,SRPX2
