Gene name,Mouse gene name
CADM3,Cadm3
KIFAP3,Kifap3
ST6GALNAC5,St6galnac5
ITPKB,Itpkb
HJV,Hjv
PAPPA2,Pappa2
ARPC5,Arpc5
OR6F1,Or6f1
MSTO1,Msto1
OR13G1,Or13g1
TXNIP,Txnip
AIM2,Aim2
PRKCI,Prkci
ST6GALNAC3,St6galnac3
PPT1,Ppt1
ALDH1L1,Aldh1l1
PSEN2,Psen2
CD96,Cd96
RNU6-481P,Gm22509
CFAP126,Cfap126
ASB17,Asb17
SKIL,Skil
RGL1,Rgl1
COQ8A,Coq8a
ATP1A1,Atp1a1
ANKRD34A,Ankrd34a
TEX38,Tex38
CLDN11,Cldn11
OR2B11,Or2b11
LIX1L,Lix1l
S100A8,S100a8
MSH4,Msh4
LRP8,Lrp8
RNU6-1284P,Gm26359
SLC7A14,Slc7a14
CR2,Cr2
MOB3C,Mob3c
MEGF6,Megf6
BTD,Btd
DENND2D,Dennd2d
SLC35G2,Slc35g2
NLRP3,Nlrp3
C3orf33,E130311K13Rik
APOBEC4,Apobec4
NTMT2,Ntmt2
MPZ,Mpz
NECTIN3,Nectin3
PGLYRP4,Pglyrp4
GORAB,Gorab
SLC6A11,Slc6a11
SZT2,Szt2
SLC33A1,Slc33a1
ASTN1,Astn1
PEX11B,Pex11b
NCK1,Nck1
MAB21L3,Mab21l3
OR6N2,Or6n2
ZNF496,Zkscan17
COLGALT2,Colgalt2
PGLYRP3,Pglyrp3
CEPT1,Cept1
CAP1,Cap1
RPL22L1,Rpl22l1
MKNK1,Mknk1
OR6N1,Or6n1
PRRX1,Prrx1
SLC22A15,Slc22a15
DAP3,Dap3
OR6K6,Or6k6
IL20RB,Il20rb
CDC42BPA,Cdc42bpa
GMPS,Gmps
ACADM,Acadm
SOX14,Sox14
PRR9,Prr9
MROH9,Mroh9
CR1,Cr1l
SLC6A1,Slc6a1
HACL1,Hacl1
ITGA10,Itga10
NR1I3,Nr1i3
CLDN18,Cldn18
LRIF1,Lrif1
SPTA1,Spta1
CASQ2,Casq2
SLC41A3,Slc41a3
MFSD2A,Mfsd2a
SLC2A2,Slc2a2
FMO3,Fmo3
ZCWPW2,Zcwpw2
DPPA4,Dppa4
TSEN15,Tsen15
SPRR3,Sprr3
ALG6,Alg6
DZIP1L,Dzip1l
AZI2,Azi2
RNU6-1236P,Gm55756
VANGL1,Vangl1
FMO2,Fmo2
C3orf85,Gm5485
FOXD3,Foxd3
KCNAB1,Kcnab1
MYCL,Mycl
C1orf21,1700025G04Rik
OR10Z1,Or10z1
NGF,Ngf
ATG4C,Atg4c
CD53,Cd53
KNCN,Kncn
OR6Y1,Or6p1
TSPAN2,Tspan2
EOMES,Eomes
FMO1,Fmo1
ADSS2,Adss2
HRH1,Hrh1
MORC1,Morc1
KPRP,Kprp
RNU1-96P,Gm23735
TRIT1,Trit1
EDEM3,Edem3
SPMIP3,Spmip3
COLQ,Colq
TSHB,Tshb
OSBPL11,Osbpl11
SNORD45B,Snord45b
DBR1,Dbr1
FAAH,Faah
DOCK7,Dock7
SYCP1,Sycp1
KCNA3,Kcna3
MIR488,Mir488
TNIK,Tnik
BRINP2,Brinp2
DMBX1,Dmbx1
AHCTF1,Ahctf1
ATG7,Atg7
KCNA2,Kcna2
SLC44A5,Slc44a5
SNX4,Snx4
SSR3,Ssr3
CD46,Cd46
SIKE1,Sike1
EAF1,Eaf1
ZBTB18,Zbtb18
SEC16B,Sec16b
KCNA10,Kcna10
FMO4,Fmo4
U6,Gm26245
SLC4A7,Slc4a7
TIPARP,Tiparp
CRNN,Crnn
ANKRD35,Ankrd35
PROK1,Prok1
METTL6,Mettl6
FLG,Flg
PRRC2C,Prrc2c
ARMC8,Armc8
HRNR,Hrnr
TOMM40L,Tomm40l
LEKR1,Lekr1
NIBAN1,Niban1
RPTN,Rptn
PPIE,Ppie
PIAS3,Pias3
CSDE1,Csde1
AKT3,Akt3
SH3BP5,Sh3bp5
VGLL4,Vgll4
MIR29C,Mir29c
TCHHL1,Tchhl1
RASAL2,Rasal2
APOA2,Apoa2
ARHGEF16,Arhgef16
MYOC,Myoc
ASH1L,Ash1l
MIR29B2,Mir29b-2
LRRC41,Lrrc41
NUDT17,Nudt17
SLC16A4,Slc16a4
HPCAL4,Hpcal4
TAMM41,Tamm41
ANGPTL3,Angptl3
TRAT1,Trat1
VAMP4,Vamp4
NT5C1A,Nt5c1a
USP1,Usp1
ZNF148,Zfp148
RNF2,Rnf2
CAPN7,Capn7
LHX8,Lhx8
S100A10,S100a10
SPATA21,Spata21
HEYL,Heyl
FCER1G,Fcer1g
PRDM16,Prdm16
MED8,Med8
POLR3C,Polr3c
JMJD4,Jmjd4
KANK4,Kank4
NME9,Nme9
METTL13,Mettl13
PABPC4,Pabpc4
THEM4,Them4
CCNL1,Ccnl1
MAGOH,Magoh
CD34,Cd34
RNF115,Rnf115
RAD54L,Rad54l
L1TD1,L1td1
MRAS,Mras
RBM15,Rbm15
TRMT1L,Trmt1l
FBXO42,Fbxo42
SNAP47,Snap47
ACTRT2,Actrt2
SLC12A8,Slc12a8
TYW3,Tyw3
ADAMTS4,Adamts4
LURAP1,Lurap1
PDZK1,Pdzk1
KIRREL1,Kirrel1
ESYT3,Esyt3
SYN2,Syn2
DNM3,Dnm3
DZIP3,Dzip3
PLXNA2,Plxna2
NRAS,Nras
RORC,Rorc
PRSS38,Prss38
CPT2,Cpt2
SDCCAG8,Sdccag8
PATJ,Patj
RUSC1,Rusc1
CPLANE2,Cplane2
MMEL1,Mmel1
VEPH1,Veph1
CDC20,Cdc20
MIR205,Mir205
PPOX,Ppox
COL6A5,Col6a5
WNT9A,Wnt9a
KCNC4,Kcnc4
ARHGEF19,Arhgef19
CAMK1G,Camk1g
SWT1,Swt1
CD160,Cd160
AMPD1,Ampd1
TEX35,Tex35
HEG1,Heg1
LINGO4,Lingo4
WNT3A,Wnt3a
CEP70,Cep70
CD5L,Cd5l
POMGNT1,Pomgnt1
SLC1A7,Slc1a7
ERICH3,Erich3
MPL,Mpl
PTX3,Ptx3
C1orf35,2310033P09Rik
COL6A6,Col6a6
TDRKH,Tdrkh
EPHA2,Epha2
LAMB3,Lamb3
MUC13,Muc13
MRPL55,Mrpl55
B4GALT3,B4galt3
CIP2A,Cip2a
SLC6A17,Slc6a17
RNU6-414P,Gm24259
MIR214,Mir214
TIE1,Tie1
DENND2C,Dennd2c
USP21,Usp21
U6,Gm23445
MIR199A2,Mir199a-2
PODN,Podn
MACF1,Macf1
PKLR,Pklr
TM2D1,Tm2d1
TIMP4,Timp4
ITGB5,Itgb5
GUK1,Guk1
ALX3,Alx3
UFC1,Ufc1
C1orf105,4930558K02Rik
SHOX2,Shox2
OAZ3,Oaz3
PIK3R4,Pik3r4
DEDD,Dedd
G0S2,G0s2
BCAS2,Bcas2
RALGPS2,Ralgps2
HCN3,Hcn3
C1orf210,2610528J11Rik
FAM131C,Fam131c
SCCPDH,Sccpdh
HSD11B1,Hsd11b1
TSPAN1,Tspan1
PLD1,Pld1
TMEM125,Tmem125
UMPS,Umps
CLK2,Clk2
IVNS1ABP,Ivns1abp
NIT1,Nit1
PIGC,Pigc
PPARG,Pparg
MYH15,Myh15
PIK3CB,Pik3cb
HES5,Hes5
MRPL9,Mrpl9
P3R3URF,P3r3urf
TRIM33,Trim33
CFAP57,Cfap57
PFDN2,Pfdn2
IBA57,Iba57
PANK4,Pank4
CNST,Cnst
NEK10,Nek10
SCAMP3,Scamp3
NFIA,Nfia
TRAF3IP3,Traf3ip3
STRIP1,Strip1
RSRC1,Rsrc1
KLHDC9,Klhdc9
RIIAD1,Riiad1
SUCO,Suco
PLCH2,Plch2
PIK3R3,Pik3r3
EBNA1BP2,Ebna1bp2
NECTIN4,Nectin4
NDUFS5,Ndufs5
TFB2M,Tfb2m
CEP170,Cep170
SCP2,Scp2
TSEN2,Tsen2
ATP2C1,Atp2c1
CELF3,Celf3
ANGPTL1,Angptl1
TNNI3K,Tnni3k
CFAP144,Cfap144
AKIRIN1,Akirin1
C1orf74,A130010J15Rik
HMCN1,Hmcn1
ARHGAP30,Arhgap30
FASLG,Fasl
IFT57,Ift57
IRF6,Irf6
FCRL5,Fcrl5
FAM20B,Fam20b
TNFSF18,Tnfsf18
USF1,Usf1
GBA1,Gba1
RHBDL2,Rhbdl2
SYT6,Syt6
UTP25,Utp25
SEC22B,Sec22b
MRPS22,Mrps22
MLF1,Mlf1
TNFSF4,Tnfsf4
RER1,Rer1
SNX27,Snx27
MKRN2OS,Mkrn2os
TSTD1,Tstd1
TOR3A,Tor3a
SMYD3,Smyd3
PRG4,Prg4
C1orf87,Gm12695
SLC2A1,Slc2a1
TMEM212,Tmem212
U6,Gm26314
F11R,F11r
RRAGC,Rragc
COPB2,Copb2
SYT14,Syt14
MTX1,Mtx1
RNU6-753P,Gm24875
FNDC3B,Fndc3b
MKRN2,Mkrn2
OLFML3,Olfml3
CD47,Cd47
SLC9C2,SLC9C2
KALRN,Kalrn
ITLN1,Itln1
ZNF691,Zfp691
PLD5,Pld5
ASTE1,Aste1
TPR,Tpr
ETV3,Etv3
ABL2,Abl2
HSPB7,Hspb7
UTP11,Utp11
CD244,Cd244a
ETV3L,Etv3l
ECHDC2,Echdc2
HIPK1,Hipk1
ERMAP,Ermap
MAST2,Mast2
SRARP,Srarp
PEX10,Pex10
HOOK1,Hook1
NOTCH2,Notch2
GHSR,Ghsr
RBP2,Rbp2
BECN2,Becn2
GFM1,Gfm1
SVBP,Svbp
AHCYL1,Ahcyl1
RAF1,Raf1
SERTAD4,Sertad4
ZBTB17,Zbtb17
TNFSF10,Tnfsf10
ANKRD45,Ankrd45
EXO1,Exo1
FHL3,Fhl3
LRRIQ3,Lrriq3
TEX50,Tex50
RBP1,Rbp1
NEK11,Nek11
C1orf50,AU022252
THBS3,Thbs3
FGGY,Fggy
LRRC3B,Lrrc3b
CSF1,Csf1
LXN,Lxn
WDR64,Wdr64
KLHL20,Klhl20
SPEN,Spen
RARRES1,Rarres1
TMEM40,Tmem40
BBX,Bbx
SLAMF7,Slamf7
MORN1,Morn1
NEGR1,Negr1
ZYG11A,Zyg11a
OXSM,Oxsm
NCEH1,Nceh1
NMNAT3,Nmnat3
HHAT,Hhat
EPS8L3,Eps8l3
P3H1,P3h1
RNU6-547P,Gm25609
SF3A3,Sf3a3
AP4B1,Ap4b1
ARHGEF11,Arhgef11
CENPL,Cenpl
MFSD1,Mfsd1
ODR4,Odr4
OPN3,Opn3
CAND2,Cand2
NGLY1,Ngly1
CLSTN2,Clstn2
FBLIM1,Fblim1
JUN,Jun
TMEM82,Tmem82
MIR186,Mir186
ECT2,Ect2
RNU6-969P,Gm23138
TRIM11,Trim11
GSTM3,Gstm5
PDC,Pdc
TRIM42,Trim42
SLC25A34,Slc25a34
PTGS2,Ptgs2
CD48,Cd48
TRIM17,Trim17
COA7,Coa7
CCDC54,Ccdc54
KMO,Kmo
MYSM1,Mysm1
TOP2B,Top2b
DARS2,Dars2
SKI,Ski
PLA2G4A,Pla2g4a
PTGER3,Ptger3
DCLRE1B,Dclre1b
MRPL3,Mrpl3
KCNH1,Kcnh1
H2BC26,H2bc26
CLDN19,Cldn19
SHISAL2A,Shisal2a
SLAMF1,Slamf1
BCL2L15,Bcl2l15
ADAM30,Adam30
U4,Gm25176
PLEKHM2,Plekhm2
IQCJ,Iqcj
GNB1,Gnb1
RARB,Rarb
5S_rRNA,n-R5s1
FH,Fh1
BRINP3,Brinp3
GPX7,Gpx7
INPP5B,Inpp5b
REG4,Reg4
5S_rRNA,n-R5s195
PXYLP1,Pxylp1
IQSEC1,Iqsec1
CD84,Cd84
SCHIP1,Schip1
SKP1,Skp1
HMGCS2,Hmgcs2
SOAT1,Soat1
DDR2,Ddr2
CPNE4,Cpne4
RGS18,Rgs18
CTH,Cth
SNORD24,Gm22357
THRB,Thrb
OMA1,Oma1
ZBTB38,Zbtb38
NADK,Nadk
CBLB,Cblb
MTF1,Mtf1
PTPN22,Ptpn22
RCOR3,Rcor3
RGS21,Rgs21
ZBTB37,Zbtb37
SLAMF6,Slamf6
PHGDH,Phgdh
SPATA16,Spata16
IL12A,Il12a
RGS1,Rgs1
RGS7,Rgs7
VANGL2,Vangl2
SERPINC1,Serpinc1
NHLH1,Nhlh1
RGS13,Rgs13
SLC35E2B,Slc35e2
DAB1,Dab1
CCDC30,Ccdc30
TUT4,Tut4
NLGN1,Nlgn1
RGS2,Rgs2
UAP1,Uap1
RC3H1,Rc3h1
ANKRD13C,Ankrd13c
TRAF5,Traf5
NCSTN,Ncstn
ALCAM,Alcam
NR1D2,Nr1d2
AXDND1,Axdnd1
ACP3,Acp3
IFT80,Ift80
RSBN1,Rsbn1
LRRC71,Lrrc71
YRDC,Yrdc
AMPD2,Ampd2
RSC1A1,Ddi2
NUP210,Nup210
SRSF11,Srsf11
UCHL5,Uchl5
RD3,Rd3
RPL15,Rpl15
NPHS2,Nphs2
MANEAL,Maneal
SLC30A1,Slc30a1
AGMAT,Agmat
MMP23B,Mmp23
PEAR1,Pear1
LRRC40,Lrrc40
NEK2,Nek2
NKIRAS1,Nkiras1
C8B,C8b
HAO2,Hao2
DNAJC16,Dnajc16
NAALADL2,Naaladl2
PHTF1,Phtf1
GNAT2,Gnat2
COPA,Copa
MIB2,Mib2
TDRD5,Tdrd5
TFDP2,Tfdp2
ZPLD1,Zpld1
GREM2,Grem2
PPCS,Ppcs
CCDC14,Ccdc14
LPGAT1,Lpgat1
TRIM46,Trim46
GNAI3,Gnai3
C8A,C8a
UHMK1,Uhmk1
DNAJC13,Dnajc13
ZMYND12,Zmynd12
SMC4,Smc4
CDCA8,Cdca8
RABGAP1L,Rabgap1l
SCARNA18B,Gm25663
AMIGO1,Amigo1
FAM163A,Fam163a
FYB2,Fyb2
CASP9,Casp9
RNU6-788P,Gm23241
CHRM3,Chrm3
AIRIM,Airim
RIMKLA,Rimkla
TOR1AIP2,Tor1aip2
SSU72,Ssu72
RO60,Ro60
LRRC7,Lrrc7
UBE2E2,Ube2e2
PRKAA2,Prkaa2
TMEM240,Tmem240
IPP,Ipp
NTRK1,Ntrk1
KRTCAP2,Krtcap2
RSPO1,Rspo1
TOR1AIP1,Tor1aip1
INTS7,Ints7
FOXJ3,Foxj3
CYB561D1,Cyb561d1
GK5,Gk5
HDAC11,Hdac11
PLPP3,Plpp3
NFKBIZ,Nfkbiz
GNL2,Gnl2
MIR15B,Mir15b
MAGI3,Magi3
GUCA2A,Guca2a
SLC50A1,Slc50a1
PEX19,Pex19
MIR16-2,Mir16-2
CDC73,Cdc73
GUCA2B,Guca2b
ATXN7L2,Atxn7l2
TRIM59,Trim59
DCAF8,Dcaf8
SYPL2,Sypl2
DNALI1,Dnali1
INSRR,Insrr
AKR1A1,Akr1a1
DTL,Dtl
PSMA5,Psma5
TBL1XR1,Tbl1xr1
XRN1,Xrn1
PEA15,Pea15a
KPNA4,Kpna4
CEP97,Cep97
B3GALT2,B3galt2
MYLK,Mylk
GPBP1L1,Gpbp1l1
HIVEP3,Hivep3
SH2D2A,Sh2d2a
DEPDC1,Depdc1a
SGO1,Sgo1
RNU6-983P,Gm55001
SORT1,Sort1
SNIP1,Snip1
EFNA3,Efna3
EDN2,Edn2
PPP2R5A,Ppp2r5a
SDF4,Sdf4
CEP350,Cep350
ARL14,Arl14
FOXO6,Foxo6
RPL24,Rpl24
USP24,Usp24
TNFRSF4,Tnfrsf4
FBLN2,Fbln2
EFNA4,Efna4
MYBPHL,Mybphl
TNFRSF18,Tnfrsf18
TMEM51,Tmem51
KAT2B,Kat2b
ATP1A4,Atp1a4
TTLL10,Ttll10
PRPF38A,Prpf38a
RPE65,Rpe65
PPM1L,Ppm1l
HDGF,Hdgf
MIR200A,Mir200a
PSRC1,Psrc1
SCMH1,Scmh1
ZC3H12A,Zc3h12a
LRIG2,Lrig2
PACC1,Pacc1
ORC1,Orc1
ZBTB11,Zbtb11
C1orf159,9430015G10Rik
ATR,Atr
ADAM15,Adam15
MRPL24,Mrpl24
NENF,Nenf
U6,Gm55850
PP2D1,Pp2d1
CC2D1B,Cc2d1b
KCNT2,Kcnt2
B3GALNT1,B3galnt1
NASP,Nasp
METTL25B,Mettl25b
SLFNL1,Slfnl1
RNU6-1120P,Gm54442
GRIK3,Grik3
KCNMB2,Kcnmb2
PLS1,Pls1
SLC16A1,Slc16a1
CTPS1,Ctps1
ZMAT3,Zmat3
IGSF8,Igsf8
WLS,Wls
ZFYVE9,Zfyve9
EFHB,Efhb
ISG20L2,Isg20l2
NMD3,Nmd3
ACAD11,Acad11
TRPC1,Trpc1
GARIN4,Garin4
WNT7A,Wnt7a
TRMT10C,Trmt10c
CRABP2,Crabp2
ACKR4,Ackr4
NES,Nes
OTOL1,Otol1
BCAN,Bcan
UBA5,Uba5
PCOLCE2,Pcolce2
BTF3L4,Btf3l4b
KCNH8,Kcnh8
MOV10,Mov10
KCNJ10,Kcnj10
HAPLN2,Hapln2
KCNQ4,Kcnq4
PIGM,Pigm
PAQR9,Paqr9
SI,Sis
NSL1,Nsl1
KTI12,Kti12
GPATCH4,Gpatch4
DCST1,Dcst1
PRDX1,Prdx1
GADD45A,Gadd45a
QSOX1,Qsox1
SLAMF9,Slamf9
HACD2,Hacd2
MMACHC,Mmachc
ISG15,Isg15
NAXE,Naxe
IGSF9,Igsf9
RAB3B,Rab3b
RNU6-1031P,Gm24242
NPHP3,Nphp3
SLITRK3,Slitrk3
TAGLN2,Tagln2
U2SURP,U2surp
BCHE,Bche
CFAP276,Cfap276
TATDN3,Tatdn3
SERBP1,Serbp1
IQGAP3,Iqgap3
TESK2,Tesk2
LHX4,Lhx4
ADCY5,Adcy5
DCST2,Dcst2
PCSK9,Pcsk9
SATB1,Satb1
ZBBX,Zbbx
PLEKHN1,Plekhn1
FLVCR1,Flvcr1
ZBTB7B,Zbtb7b
CHST2,Chst2
TMEM108,Tmem108
TOE1,Toe1
ACBD6,Acbd6
SLC9A9,Slc9a9
SENP7,Senp7
IL12RB2,Il12rb2
FLAD1,Flad1
CAPZA1,Capza1b
MEF2D,Mef2d
BFSP2,Bfsp2
NOC2L,Noc2l
TMEM61,Tmem61
NFYC,Nfyc
VASH2,Vash2
NRDC,Nrdc
TBC1D5,Tbc1d5
DHCR24,Dhcr24
XPR1,Xpr1
IL23R,Il23r
SAMD11,Samd11
CDV3,Cdv3
SHC1,Shc1
CIMAP2,Cimap2
SEC22A,Sec22a
KIAA1614,BC034090
ANGEL2,Angel2
TOPBP1,Topbp1
MUTYH,Mutyh
STX6,Stx6
C1orf141,4921539E11Rik
TTC22,Ttc22
MIR761,Mir761
PYGO2,Pygo2
RHBG,Rhbg
PDIA5,Pdia5
TTC4,Ttc4
TSACC,Tsacc
ST7L,St7l
MR1,Mr1
WDR49,Wdr49
CCT3,Cct3
SLC35D1,Slc35d1
PARS2,Pars2
PMVK,Pmvk
RPS6KC1,Rps6kc1
SEMA5B,Sema5b
LMLN,Lmln
TF,Trf
OSBPL9,Osbpl9
KCNN3,Kcnn3
WNT2B,Wnt2b
MROH7,Mroh7
SMG5,Smg5
SLC49A4,Slc49a4
MIER1,Mier1
SRPRB,Srprb
F13B,F13b
ADAR,Adar
HPDL,Hpdl
HSPBAP1,Hspbap1
PROX1,Prox1
IQCG,Iqcg
RAB6B,Rab6b
SMYD2,Smyd2
PARP14,Parp14
CHRNB2,Chrnb2
CACNA1E,Cacna1e
ZSWIM5,Zswim5
TMEM79,Tmem79
IMPG2,Impg2
PTPN14,Ptpn14
SLCO2A1,Slco2a1
UBE2Q1,Ube2q1
DNAI4,Dnai4
FAM151A,Fam151a
LRCH3,Lrch3
EPS15,Eps15
ASPM,Aspm
UROD,Urod
CENPF,Cenpf
SERPINI1,Serpini1
SHE,She
RYK,Ryk
IL6R,Il6ra
PMF1,Pmf1
KCNK2,Kcnk2
KPNA1,Kpna1
HECTD3,Hectd3
INSL5,Insl5
RNU6-877P,Gm26076
SSBP3,Ssbp3
SLC25A44,Slc25a44
GOLIM4,Golim4
DYNLT5,Dynlt5
DTX3L,Dtx3l
RNU2-20P,Gm24623
FYTTD1,Fyttd1
AMOTL2,Amotl2
KCTD3,Kctd3
SEMA4A,Sema4a
SGIP1,Sgip1
TTC39A,Ttc39a
PARP9,Parp9
ANAPC13,Anapc13
ATP8B2,Atp8b2
MRPL37,Mrpl37
FAM162A,Fam162a
CEP63,Cep63
CYB5RL,Cyb5rl
ZNF648,Zfp648
MIX23,Mix23
ZBTB41,Zbtb41
PDE4B,Pde4b
MECOM,Mecom
PTCH2,Ptch2
LMNA,Lmna
CDCP2,Cdcp2
C1orf185,4930522H14Rik
GLUL,Glul
CDKN2C,Cdkn2c
CRB1,Crb1
HAX1,Hax1
FAF1,Faf1
CASR,Casr
KY,Ky
LEPR,Lepr
DMRTA2,Dmrta2
USH2A,Ush2a
RGSL1,Rgsl1
UBAP2L,Ubap2l
U6,Gm22573
EPHB1,Ephb1
LEPROT,Leprot
BTBD19,Btbd19
CD86,Cd86
SNORA58B,Gm24608
ELAVL4,Elavl4
C1orf43,4933434E20Rik
PLK3,Plk3
RNASEL,Rnasel
DENND1B,Dennd1b
RGS16,Rgs16
DNAJC6,Dnajc6
ILDR1,Ildr1
RGS8,Rgs8
SNORD38B,Gm22980
SNORD38A,Snord38a
SNORD55,Snord55
DHX9,Dhx9
KIF2C,Kif2c
AGBL4,Agbl4
C1orf53,2310009B15Rik
NPL,Npl
ARMH1,Armh1
LHX9,Lhx9
SLC15A2,Slc15a2
NUP210L,Nup210l
NEK7,Nek7
TMEM53,Tmem53
ATP6V1G3,Atp6v1g3
EAF2,Eaf2
IQCB1,Iqcb1
RNF220,Rnf220
ESRRG,Esrrg
GOLGB1,Golgb1
ABI3BP,Abi3bp
RAB13,Rab13
JTB,Jtb
ERI3,Eri3
CREB3L4,Creb3l4
HCLS1,Hcls1
FBXO40,Fbxo40
DMAP1,Dmap1
POLQ,Polq
TAF13,Taf13
STXBP5L,Stxbp5l
WDR47,Wdr47
RYR2,Ryr2
CLCC1,Clcc1
GTF2E1,Gtf2e1
DIPK2A,Dipk2a
GPSM2,Gpsm2
AKNAD1,Aknad1
RABL3,Rabl3
STXBP3,Stxbp3
FNDC7,Fndc7
KHDRBS1,Khdrbs1
HGD,Hgd
PLOD2,Plod2
NDUFB4,Ndufb4
PTP4A2,Ptp4a2
HENMT1,Henmt1
PTPRC,Ptprc
MTR,Mtr
EEIG2,Eeig2
SPOCD1,Spocd1
FSTL1,Fstl1
MIR181B1,Mir181b-1
PLSCR4,Plscr4
MIR181A1,Mir181a-1
