Gene name,Gorilla gene name
Y_RNA,Y_RNA
SNORA84,SNORA84
MIR3610,MIR3610
Y_RNA,Y_RNA
RNU6-131P,U6
ELFN2,ELFN2
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
FBN2,FBN2
RNU6-253P,U6
KLHDC7A,KLHDC7A
RNU6-503P,U6
SNORD81,SNORD81
Y_RNA,Y_RNA
RNU6-262P,U6
U6,U6
Y_RNA,Y_RNA
RNU2-50P,U2
Y_RNA,Y_RNA
NDUFA13,NDUFA13
U2,U2
5S_rRNA,5S_rRNA
RNY3P2,Y_RNA
RNU6-374P,U6
Y_RNA,Y_RNA
TCF7L1,TCF7L1
RNU6-605P,U6
Y_RNA,Y_RNA
U2,U2
STAG1,STAG1
NPBWR1,NPBWR1
U6,U6
ptr-mir-219-1,ggo-mir-219
Y_RNA,Y_RNA
TRAV21,TRAV21
RNU6-1045P,U6
RNU2-37P,U2
MIR424,MIR424
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
ZBTB9,ZBTB9
RNU2-33P,U2
5_8S_rRNA,5_8S_rRNA
RNU6-1249P,U6
5S_rRNA,5S_rRNA
FAM47B,FAM47B
RNU2-35P,U2
Y_RNA,Y_RNA
RNU6-997P,U6
Y_RNA,Y_RNA
RNU6-105P,U6
LRRC75B,LRRC75B
RNU2-59P,U2
Y_RNA,Y_RNA
RNU6-625P,U6
MIR30D,ggo-mir-30d
RNU2-36P,U2
MYBPHL,MYBPHL
PGAM5,PGAM5
PLPPR2,PLPPR2
Y_RNA,Y_RNA
ptr-mir-589,MIR589
RNU6-532P,U6
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RNU6-81P,U6
CRH,CRH
Y_RNA,Y_RNA
RNU6-444P,U6
5_8S_rRNA,5_8S_rRNA
GATA3,GATA3
CHST5,CHST5
MPHOSPH6,MPHOSPH6
RNU6-989P,U6
MIR6516,MIR6516
RNU2-22P,U2
Y_RNA,Y_RNA
RNU6-1246P,U6
Y_RNA,Y_RNA
RNU11-5P,RNU11-5P
5S_rRNA,5S_rRNA
5_8S_rRNA,5_8S_rRNA
U2,U2
KRTAP10-8,KRTAP10-8
Y_RNA,Y_RNA
RNU6-1326P,U6
RNY3P12,Y_RNA
CD33,CD33
5S_rRNA,5S_rRNA
RNU2-60P,U2
RNU6-268P,U6
OR5K3,OR5K3
CHRM5,CHRM5
Y_RNA,Y_RNA
RNU6-926P,U6
5S_rRNA,5S_rRNA
MIR125B1,ggo-mir-125b-1
RNU6-1273P,U6
Y_RNA,Y_RNA
MIR135A1,MIR135A1
RNU6-626P,U6
UBE2L5,UBE2L5
AJUBA,AJUBA
5S_rRNA,5S_rRNA
U1,U1
RNU11-3P,RNU11-3P
5_8S_rRNA,5_8S_rRNA
5S_rRNA,5S_rRNA
HTD2,HTD2
Y_RNA,Y_RNA
RNU1-136P,U1
5S_rRNA,5S_rRNA
IGLV10-54,IGLV10-54
GABRA5,GABRA5
5S_rRNA,5S_rRNA
RNU1-141P,U1
Y_RNA,Y_RNA
RNU6-699P,U6
RNU6-275P,U6
MIR4736,MIR4736
RNU1-100P,U1
5_8S_rRNA,5_8S_rRNA
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
PIRT,PIRT
RNU1-15P,U1
RNU6-995P,U6
RNU6-896P,U6
RNU6-208P,U6
AKAP5,AKAP5
RNU1-142P,U1
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
NNMT,NNMT
DPP8,DPP8
MEGF10,MEGF10
MIR92A1,ggo-mir-92-1
RNU6-470P,U6
RN7SL260P,Metazoa_SRP
MAGEB17,MAGEB17
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
MIR6894,MIR6894
RNU6-1122P,U6
Metazoa_SRP,Metazoa_SRP
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
MIR328,MIR328
RN7SKP85,7SK
RN7SL652P,Metazoa_SRP
SCARNA10,SCARNA10
OR1N2,OR1N2
ITIH1,ITIH1
MIR378B,MIR378B
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
RNU1-45P,U1
Y_RNA,Y_RNA
RNU1-34P,U1
RN7SKP180,7SK
Metazoa_SRP,Metazoa_SRP
TRMT2A,TRMT2A
RN7SL683P,Metazoa_SRP
RNU1-42P,U1
SNORA70,SNORA70
Y_RNA,Y_RNA
RN7SKP106,7SK
RNU4ATAC18P,RNU4ATAC18P
SNORA70,SNORA70
RNU1-61P,U1
RN7SL697P,Metazoa_SRP
MIR8081,MIR8081
RN7SKP238,7SK
RNU1-18P,U1
MIR1273C,MIR1273C
SNORA70,SNORA70
Y_RNA,Y_RNA
RNY1P3,Y_RNA
SNORA68,SNORA68
RNU4ATAC16P,RNU4ATAC16P
NPBWR2,NPBWR2
SNORA70,SNORA70
RNU1-138P,U1
MLNR,MLNR
Y_RNA,Y_RNA
RN7SKP92,7SK
RN7SL497P,Metazoa_SRP
RNU1-130P,U1
SNORA70C,SNORA70
Y_RNA,Y_RNA
RNU1-23P,U1
MIR885,MIR885
SNORA70,SNORA70
MIR4773-2,MIR4773-2
RN7SL233P,Metazoa_SRP
Y_RNA,Y_RNA
OR1Q1,OR1Q1
SNORA70F,SNORA70
RNU4ATAC2P,RNU4ATAC2P
Metazoa_SRP,Metazoa_SRP
RNU1-98P,U1
MIR3617,MIR3617
Y_RNA,Y_RNA
Y_RNA,Y_RNA
PIK3C2G,PIK3C2G
RNU1-21P,U1
MIRLET7A2,MIRLET7A2
RN7SKP117,7SK
Y_RNA,Y_RNA
SNORA70,SNORA70
Metazoa_SRP,Metazoa_SRP
MIR26A1,ggo-mir-26a
RNU1-65P,U1
Y_RNA,Y_RNA
Y_RNA,Y_RNA
SNORA70,SNORA70
RN7SL74P,Metazoa_SRP
MIR196A2,ggo-mir-196-2
RN7SL216P,Metazoa_SRP
RNU1-109P,U1
Y_RNA,Y_RNA
RN7SKP270,7SK
MRPL57,MRPL57
SNORA70,SNORA70
RNU1-33P,U1
RN7SL266P,Metazoa_SRP
Y_RNA,Y_RNA
RNU1-150P,U1
SNORA70,SNORA70
RN7SKP235,7SK
RN7SL304P,Metazoa_SRP
MIR335,MIR335
5S_rRNA,5S_rRNA
RNU4ATAC11P,RNU4ATAC11P
SNORA70D,SNORA70
RN7SL34P,Metazoa_SRP
Y_RNA,Y_RNA
SNORA70G,SNORA70
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
RN7SL828P,Metazoa_SRP
RN7SKP19,7SK
Y_RNA,Y_RNA
SIMC1,SIMC1
SNORA70H,SNORA70
5S_rRNA,5S_rRNA
MIR6739,MIR6739
RN7SKP13,7SK
Y_RNA,Y_RNA
RN7SL817P,Metazoa_SRP
HAUS4,HAUS4
RN7SL827P,Metazoa_SRP
5S_rRNA,5S_rRNA
DCAF8L1,DCAF8L1
MIR5187,MIR5187
Y_RNA,Y_RNA
SNORA70,SNORA70
PCSK7,PCSK7
RN7SL318P,Metazoa_SRP
SNORA70,SNORA70
5S_rRNA,5S_rRNA
RN7SKP227,7SK
Y_RNA,Y_RNA
PABPC3,PABPC3
RN7SL261P,Metazoa_SRP
5S_rRNA,5S_rRNA
SNORA70,SNORA70
Y_RNA,Y_RNA
KCNA1,KCNA1
Y_RNA,Y_RNA
MIR31,ggo-mir-31
5S_rRNA,5S_rRNA
RN7SL629P,Metazoa_SRP
RN7SKP78,7SK
SNORA70,SNORA70
Y_RNA,Y_RNA
CHFR,CHFR
RN7SL101P,Metazoa_SRP
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
SNORA70B,SNORA70
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
MIR208A,MIR208A
5S_rRNA,5S_rRNA
TIMM29,TIMM29
A4GALT,A4GALT
RN7SKP176,7SK
Metazoa_SRP,Metazoa_SRP
5S_rRNA,5S_rRNA
SNORA70,SNORA70
RN7SKP261,7SK
SHARPIN,SHARPIN
RN7SKP222,7SK
MIR766,ggo-mir-766
MIR4728,MIR4728
5S_rRNA,5S_rRNA
RNY3P9,Y_RNA
SNORA70J,SNORA70
SLC5A5,SLC5A5
Y_RNA,Y_RNA
MIR6775,MIR6775
5S_rRNA,5S_rRNA
MIR3138,MIR3138
RN7SKP34,7SK
SNORA70I,SNORA70
RN7SL594P,Metazoa_SRP
Y_RNA,Y_RNA
FAM110A,FAM110A
RN7SKP246,7SK
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
RN7SKP25,7SK
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
RN7SKP218,7SK
GATA6,GATA6
OR5M10,OR5M10
RN7SKP75,7SK
RN7SKP59,7SK
5S_rRNA,5S_rRNA
DUS3L,DUS3L
PSMD6,PSMD6
RN7SL650P,Metazoa_SRP
5S_rRNA,5S_rRNA
RNY4P29,Y_RNA
CCT2,CCT2
RN7SKP30,7SK
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
RN7SL580P,Metazoa_SRP
RNU1-140P,U1
MIR628,MIR628
RN7SKP213,7SK
NUDT12,NUDT12
RN7SKP156,7SK
RNU6-1307P,U6
5S_rRNA,5S_rRNA
MIR569,MIR569
5S_rRNA,5S_rRNA
RNU6-706P,U6
RN7SKP258,7SK
ptr-mir-221,ggo-mir-221
5S_rRNA,5S_rRNA
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
MIR769,ggo-mir-769
RNU6-624P,U6
Y_RNA,Y_RNA
MIR30C1,MIR30C1
NEUROG3,NEUROG3
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
SH2D7,SH2D7
MIR889,MIR889
SNORA3B,SNORA3B
RN7SKP15,7SK
5S_rRNA,5S_rRNA
GPR55,GPR55
RN7SL272P,Metazoa_SRP
5S_rRNA,5S_rRNA
SNORA3A,SNORA3A
RN7SKP224,7SK
Y_RNA,Y_RNA
MARCHF8,MARCHF8
UMODL1,UMODL1
RNA5SP194,5S_rRNA
Y_RNA,Y_RNA
RNU6-1290P,U6
RN7SKP197,7SK
RN7SL843P,Metazoa_SRP
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
RN7SKP42,7SK
RN7SKP120,7SK
RNA5SP150,5S_rRNA
LARP1B,LARP1B
Y_RNA,Y_RNA
C2orf88,C2orf88
Metazoa_SRP,Metazoa_SRP
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
RN7SKP263,7SK
RNU6-63P,U6
SNORD2,SNORD2
MIR34A,ggo-mir-34a
Y_RNA,Y_RNA
RN7SL174P,Metazoa_SRP
RN7SKP72,7SK
Y_RNA,Y_RNA
RN7SL397P,Metazoa_SRP
MIR520B,MIR519B
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
SOWAHD,SOWAHD
TMEM42,TMEM42
5S_rRNA,5S_rRNA
RN7SL329P,Metazoa_SRP
RN7SKP214,7SK
RNU6-471P,U6
RN7SL756P,Metazoa_SRP
RN7SKP268,7SK
5S_rRNA,5S_rRNA
RN7SKP22,7SK
SNORD114-11,SNORD114-11
DSEL,DSEL
Y_RNA,Y_RNA
RNA5SP531,5S_rRNA
SCN2A,SCN2A
UBE3A,UBE3A
ZNF711,ZNF711
Y_RNA,Y_RNA
U6,U6
MIR27B,MIR27B
5S_rRNA,5S_rRNA
RN7SKP212,7SK
7SK,7SK
Metazoa_SRP,Metazoa_SRP
RNU6-641P,U6
MYOT,MYOT
MIR30C2,MIR30C
Y_RNA,Y_RNA
RN7SL393P,Metazoa_SRP
RNU6-119P,U6
Y_RNA,Y_RNA
RN7SKP103,7SK
5S_rRNA,5S_rRNA
RNU6-1029P,U6
RN7SKP139,7SK
SMIM10L1,SMIM10L1
TNKS,TNKS
RN7SL509P,Metazoa_SRP
RN7SKP267,7SK
SNORA48B,SNORA48B
Y_RNA,Y_RNA
RN7SL120P,Metazoa_SRP
5S_rRNA,5S_rRNA
RNU6-834P,U6
RN7SKP242,7SK
RN7SL659P,Metazoa_SRP
RN7SKP169,7SK
KCNA5,KCNA5
RNU6-386P,U6
5S_rRNA,5S_rRNA
RN7SL451P,Metazoa_SRP
Y_RNA,Y_RNA
SCARNA7,SCARNA7
TTC9,TTC9
U6,U6
DLX3,DLX3
5S_rRNA,5S_rRNA
RN7SL284P,Metazoa_SRP
5S_rRNA,5S_rRNA
PPIH,PPIH
RN7SKP166,7SK
5S_rRNA,5S_rRNA
RN7SL840P,Metazoa_SRP
RN7SL44P,Metazoa_SRP
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
RNU6-993P,U6
RN7SL459P,Metazoa_SRP
5S_rRNA,5S_rRNA
MIR496,MIR496
SNORD88A,SNORD88A
RN7SKP65,7SK
RN7SL568P,Metazoa_SRP
RIC3,RIC3
MIR378A,MIR378A
RNU6-592P,U6
5S_rRNA,5S_rRNA
7SK,7SK
RRS1,RRS1
RNU6-820P,U6
DCAF1,DCAF1
MIR548S,MIR548S
RN7SL176P,Metazoa_SRP
5S_rRNA,5S_rRNA
RN7SKP182,7SK
GCNT4,GCNT4
5S_rRNA,5S_rRNA
MIR147B,MIR147B
RN7SL88P,Metazoa_SRP
MIR1-1,MIR1-1
RNU6-1156P,U6
RN7SKP237,7SK
5S_rRNA,5S_rRNA
FAM200C,FAM200C
MIR412,MIR412
RN7SKP277,7SK
RN7SL274P,Metazoa_SRP
MIR3134,MIR3134
RN7SL177P,Metazoa_SRP
5S_rRNA,5S_rRNA
MIR125B2,ggo-mir-125b-2
5S_rRNA,5S_rRNA
RN7SL814P,Metazoa_SRP
RN7SL220P,Metazoa_SRP
RN7SKP47,7SK
TFDP3,TFDP3
SMIM38,SMIM38
5S_rRNA,5S_rRNA
MIR3117,MIR3117
5S_rRNA,5S_rRNA
Metazoa_SRP,Metazoa_SRP
RN7SKP102,7SK
RN7SL825P,Metazoa_SRP
RN7SKP137,7SK
RN7SL786P,Metazoa_SRP
5S_rRNA,5S_rRNA
RN7SKP94,7SK
RN7SL357P,Metazoa_SRP
5S_rRNA,5S_rRNA
RN7SKP188,7SK
PLSCR4,PLSCR4
RN7SL751P,Metazoa_SRP
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
RN7SKP293,7SK
SNORA52,SNORA52
Metazoa_SRP,Metazoa_SRP
RN7SKP125,7SK
GPR3,GPR3
RN7SL824P,Metazoa_SRP
5S_rRNA,5S_rRNA
SCARNA8,SCARNA8
5S_rRNA,5S_rRNA
RN7SL271P,Metazoa_SRP
RN7SL736P,Metazoa_SRP
ACSBG1,ACSBG1
Metazoa_SRP,Metazoa_SRP
NPY2R,NPY2R
RN7SL615P,Metazoa_SRP
5S_rRNA,5S_rRNA
MIR133A2,MIR133A2
RN7SL126P,Metazoa_SRP
GON4L,GON4L
MIR5186,MIR5186
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
U5,U5
RN7SL761P,Metazoa_SRP
RN7SKP12,7SK
Metazoa_SRP,Metazoa_SRP
TDO2,TDO2
MIR1226,MIR1226
RN7SKP281,7SK
RN7SL51P,Metazoa_SRP
RN7SL703P,Metazoa_SRP
TMEM65,TMEM65
TOB1,TOB1
5S_rRNA,5S_rRNA
RN7SL833P,Metazoa_SRP
RN7SKP233,7SK
RN7SL294P,Metazoa_SRP
RNU5F-8P,U5
5S_rRNA,5S_rRNA
SNORA8,SNORA8
TMEM238L,TMEM238L
RNU5A-5P,U5
5S_rRNA,5S_rRNA
CCDC70,CCDC70
RNU5B-6P,U5
SIM1,SIM1
SMYD5,SMYD5
Metazoa_SRP,Metazoa_SRP
RN7SKP69,7SK
5S_rRNA,5S_rRNA
PDP2,PDP2
RN7SKP220,7SK
RNU5B-3P,U5
RHEX,RHEX
RN7SL150P,Metazoa_SRP
5S_rRNA,5S_rRNA
C5orf52,C5orf52
MIR6758,MIR6758
RNU5F-7P,U5
SNORA75,SNORA75
5S_rRNA,5S_rRNA
RN7SL337P,Metazoa_SRP
RNU5E-6P,U5
RN7SKP279,7SK
5S_rRNA,5S_rRNA
U8,U8
RN7SL680P,Metazoa_SRP
HLF,HLF
RNU5E-7P,U5
RN7SKP226,7SK
U8,U8
SNORA75,SNORA75
SNORD113-5,SNORD113-5
TBC1D19,TBC1D19
RNU1-49P,U1
5S_rRNA,5S_rRNA
U5,U5
RN7SKP129,7SK
SNORA75,SNORA75
RN7SL731P,Metazoa_SRP
U8,U8
OR5M1,OR5M1
SRCAP,SRCAP
ptr-mir-329-2,MIR329B
RNU5E-9P,U5
GPR101,GPR101
RN7SKP130,7SK
U8,U8
SNORA75,SNORA75
5S_rRNA,5S_rRNA
RN7SKP62,7SK
RN7SKP57,7SK
U8,U8
EGR1,EGR1
Metazoa_SRP,Metazoa_SRP
SNORA75B,SNORA75
5S_rRNA,5S_rRNA
U8,U8
RN7SKP37,7SK
RN7SKP161,7SK
5S_rRNA,5S_rRNA
RN7SKP81,7SK
U8,U8
MOS,MOS
RN7SL252P,Metazoa_SRP
7SK,7SK
RN7SKP167,7SK
5S_rRNA,5S_rRNA
U8,U8
7SK,7SK
RN7SL319P,Metazoa_SRP
RN7SKP285,7SK
RN7SL341P,Metazoa_SRP
RN7SKP91,7SK
U8,U8
RN7SKP249,7SK
ZNF770,ZNF770
RN7SL479P,Metazoa_SRP
SNORD9,SNORD9
U8,U8
RN7SKP193,7SK
RN7SKP163,7SK
VSIR,VSIR
FAIM,FAIM
SLC9A7,SLC9A7
RN7SKP184,7SK
RN7SL446P,Metazoa_SRP
SNORD8,SNORD8
RN7SKP158,7SK
RN7SL655P,Metazoa_SRP
RN7SKP115,7SK
OR6S1,OR6S1
SFN,SFN
PEX11G,PEX11G
U8,U8
RN7SL164P,Metazoa_SRP
7SK,7SK
RN7SKP146,7SK
RN7SKP79,7SK
U8,U8
RN7SKP153,7SK
RN7SL783P,Metazoa_SRP
SNORA48,SNORA48
RNY1P1,Y_RNA
U8,U8
5S_rRNA,5S_rRNA
MIR4703,MIR4703
Y_RNA,Y_RNA
RN7SKP202,7SK
U8,U8
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
RN7SL714P,Metazoa_SRP
RN7SL480P,Metazoa_SRP
RN7SKP230,7SK
Y_RNA,Y_RNA
PARS2,PARS2
RN7SL81P,Metazoa_SRP
RN7SKP97,7SK
RNY1P7,Y_RNA
ABHD16B,ABHD16B
5S_rRNA,5S_rRNA
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
SMIM5,SMIM5
RN7SKP252,7SK
POMGNT2,POMGNT2
MIR4654,MIR4654
Y_RNA,Y_RNA
RN7SKP26,7SK
LRRTM2,LRRTM2
