Gene name,Mouse Lemur gene name
ADGRG2,ADGRG2
IER3IP1,IER3IP1
RNU6-1131P,U6
SKOR2,SKOR2
EGR3,EGR3
OCA2,OCA2
KBTBD7,KBTBD7
TGIF1,TGIF1
MTRF1,MTRF1
EBF2,EBF2
SGSM3,SGSM3
ITIH2,ITIH2
NAA16,NAA16
LAMA5,LAMA5
NUBPL,NUBPL
ERICH1,ERICH1
DPH6,DPH6
TAF4B,TAF4B
SNX6,SNX6
VPS37A,VPS37A
SPRED1,SPRED1
MORC2,MORC2
RNU6-57P,U6
RGCC,RGCC
VWA8,VWA8
FMN1,FMN1
CCDC3,CCDC3
STC1,STC1
DSG4,DSG4
LSM14B,LSM14B
KIN,KIN
TRIM35,TRIM35
PHACTR3,PHACTR3
RCL1,RCL1
GABRG3,GABRG3
PCNX4,PCNX4
ACBD7,ACBD7
MAK16,MAK16
DSG3,DSG3
PIGG,PIGG
RAP2A,RAP2A
ITIH5,ITIH5
HMBOX1,HMBOX1
PRTG,PRTG
NAXD,NAXD
RN7SKP44,7SK
SIX1,SIX1
TTR,TTR
PPP2R5E,PPP2R5E
BRD10,KIAA2026
CDH2,CDH2
DNAL4,DNAL4
GJA3,GJA3
GJB2,GJB2
RAD51,RAD51
GJB6,GJB6
CBX6,CBX6
CNTLN,CNTLN
TCEA2,TCEA2
MRC1,MRC1
FUT10,FUT10
ZMYM2,ZMYM2
DMRTA1,DMRTA1
UNC5D,UNC5D
HAUS6,HAUS6
CUBN,CUBN
SLC2A9,SLC2A9
PSIP1,PSIP1
STYX,STYX
GOLM2,CASC4
SNORD58C,SNORD58
TAB1,TAB1
SNORD58A,SNORD58
SNORD58B,SNORD58
LIPG,LIPG
MSR1,MSR1
GATA5,GATA5
L3HYPDH,L3HYPDH
RBL1,RBL1
TRDMT1,TRDMT1
MGAT3,MGAT3
C14orf39,C3H14orf39
DHX15,DHX15
MIEF1,MIEF1
EEF1AKMT1,EEF1AKMT1
DYM,DYM
LATS2,LATS2
SHC4,SHC4
CENPJ,CENPJ
SIX6,SIX6
RAB40C,RAB40C
SIX4,SIX4
RNU1-46P,U1
MEX3C,MEX3C
RPS19BP1,RPS19BP1
ADRM1,ADRM1
PPM1A,PPM1A
DPYSL2,DPYSL2
TCF4,TCF4
CPZ,CPZ
APTX,APTX
SLC25A18,SLC25A18
CCDC175,CCDC175
APH1B,APH1B
MINDY3,MINDY3
FAM234A,FAM234A
DHRS7,DHRS7
PHF20,PHF20
CTPS2,CTPS2
STK32B,STK32B
SHISA2,SHISA2
RXFP2,RXFP2
ATP6V1E1,ATP6V1E1
ARMC3,ARMC3
FRMD5,FRMD5
FRY,FRY
SLC25A37,SLC25A37
PCNX1,PCNX1
MSX1,MSX1
SIK1,SIK1
MBOAT4,MBOAT4
DOCK5,DOCK5
S100G,S100G
RP2,RP2
HSF2BP,HSF2BP
MICAL3,MICAL3
RNU6-1257P,U6
MBTPS2,MBTPS2
RNU6-937P,U6
RNU7-141P,U7
MIR1-1,MIR1-1
MIR133A2,MIR133A2
RBPJL,RBPJL
DNMT3L,DNMT3L
LDB2,LDB2
SCML2,SCML2
CTDSPL2,CTDSPL2
PIP4K2A,PIP4K2A
SDC4,SDC4
SYS1,SYS1
AIRE,AIRE
LEPROTL1,LEPROTL1
EFHC2,EFHC2
GPHB5,GPB5
PDS5B,PDS5B
ADRA1A,ADRA1A
TP53TG5,TP53TG5
MNAT1,MNAT1
PFKL,PFKL
CLCN5,CLCN5
CCNB2,CCNB2
MALRD1,MALRD1
NPEPL1,NPEPL1
DUSP26,DUSP26
ST8SIA6,ST8SIA6
HMX1,HMX1
NKX3-1,NKX3-1
ADGRA3,ADGRA3
AXIN1,AXIN1
MKX,MKX
CCDC177,CCDC177
CCDC171,CCDC171
JKAMP,JKAMP
RNY4P9,Y_RNA
LOXL2,LOXL2
INTS6,INTS6
GDF2,GDF2
ODAD2,ARMC4
NELFCD,NELFCD
PTCHD1,PTCHD1
PCMTD1,PCMTD1
SYAP1,SYAP1
MTMR8,MTMR8
ABCA3,ABCA3
SH3GL2,SH3GL2
BNIP3L,BNIP3L
CDKL5,CDKL5
C4orf19,C4orf19
CFAP410,CFAP410
LURAP1L,LURAP1L
RHOJ,RHOJ
NFX1,NFX1
TBC1D19,TBC1D19
ITGA8,ITGA8
ICE1,ICE1
SOCS4,SOCS4
KIF13B,KIF13B
KCNH5,KCNH5
SMAD6,SMAD6
TSPEAR,TSPEAR
SNORA50B,SNORA50B
RNY1P6,Y_RNA
TRMU,TRMU
SLC39A12,SLC39A12
SLTM,SLTM
ADAMTS16,ADAMTS16
SUSD6,SUSD6
TNFSF13B,TNFSF13B
TUBB1,TUBB1
UBE2G2,UBE2G2
ATP5F1E,ATP5E
EGLN3,EGLN3
MISP,MISP
GRHPR,GRHPR
ZFAND4,ZFAND4
RNF6,RNF6
ARID3A,ARID3A
FASTKD3,FASTKD3
GET4,GET4
GMDS,GMDS
DCTN6,DCTN6
PTTG1IP,PTTG1IP
SPTSSA,SPTSSA
GDF5,GDF5
SBNO2,SBNO2
TMEM204,TMEM204
PLEKHD1,PLEKHD1
C20orf173,C18H20orf173
UNKL,UNKL
ADCY2,ADCY2
SLIT2,SLIT2
PPP2R2A,PPP2R2A
POFUT2,POFUT2
LTBP2,LTBP2
INTS1,INTS1
MYO3A,MYO3A
PAX5,PAX5
EXOC2,EXOC2
FITM2,FITM2
TTPAL,TTPAL
NDP,NDP
SECISBP2L,SECISBP2L
GRAMD4,GRAMD4
ARHGDIG,ARHGDIG
AKAP4,AKAP4
SACS,SACS
CELSR1,CELSR1
RADIL,RADIL
EEF1E1,EEF1E1
IFT140,IFT140
MAOB,MAOB
PKIG,PKIG
SEMA5A,SEMA5A
ONECUT3,ONECUT3
PCBP3,PCBP3
PALM,PALM
BLOC1S5,BLOC1S5
ENTPD4,ENTPD4
FERRY3,C7H12orf4
MEOX2,MEOX2
MSRB2,MSRB2
TEX29,TEX29
FAM20C,FAM20C
VSIG4,VSIG4
KDM1B,KDM1B
HERC1,HERC1
KCTD12,KCTD12
ISCA2,ISCA2
CLN5,CLN5
TLDC2,TLDC2
PTF1A,PTF1A
PRTFDC1,PRTFDC1
FOXK1,FOXK1
BID,BID
RN7SL443P,Metazoa_SRP
OSER1,OSER1
SPATA7,SPATA7
JPH2,JPH2
SUN1,SUN1
NCLN,NCLN
FBXL3,FBXL3
MYO10,MYO10
RNU6-743P,U6
SRSF6,SRSF6
ENKUR,ENKUR
SPIDR,SPIDR
JADE3,JADE3
SERPINE3,SERPINE3
BMP6,BMP6
MFAP5,MFAP5
XYLT1,XYLT1
DNAJC1,DNAJC1
TMPRSS2,TMPRSS2
MYBL2,MYBL2
METTL21C,METTL21C
HS3ST4,HS3ST4
PHYHIPL,PHYHIPL
PARVB,PARVB
CREBBP,CREBBP
SLC9A7,SLC9A7
GTSF1L,GTSF1L
CST9,CST9
RBP3,RBP3
SKOR1,SKOR1
RPP40,RPP40
ARHGAP12,ARHGAP12
SLC10A2,SLC10A2
THAP10,THAP10
IL17D,IL17D
MAGEH1,MAGEH1
DGKK,DGKK
OTOR,OTOR
FOXB1,FOXB1
ATP11A,ATP11A
GCHFR,GCHFR
SRXN1,SRXN1
SEL1L3,SEL1L3
DTD1,DTD1
GNAQ,GNAQ
CA12,CA12
APBA3,APBA3
DEK,DEK
AP5M1,AP5M1
OSBPL2,OSBPL2
PIR,PIR
ZC3H7B,ZC3H7B
SLC28A3,SLC28A3
TJP3,TJP3
SLC35F4,SLC35F4
EDA2R,EDA2R
PGM5,PGM5
BMP4,BMP4
MX1,MX1
CLEC4E,CLEC4E
MYO1E,MYO1E
PHF5A,PHF5A
COMMD6,COMMD6
RGS11,RGS11
PSAT1,PSAT1
POLR3H,POLR3H
STMND1,STMND1
ATP6AP2,ATP6AP2
SLAIN2,SLAIN2
SRSF5,SRSF5
GFOD1,GFOD1
MED10,MED10
SH2D4A,SH2D4A
THSD1,THSD1
NRSN1,NRSN1
RNY4P24,Y_RNA
VPS36,VPS36
RASEF,RASEF
ETV6,ETV6
MTRR,MTRR
OCIAD2,OCIAD2
JARID2,JARID2
MX2,MX2
NMRK1,NMRK1
CLEC1A,CLEC1A
PMM1,PMM1
TRIM27,TRIM27
RAB8B,RAB8B
CKAP2,CKAP2
CLEC9A,CLEC9A
JSRP1,JSRP1
ICA1,ICA1
UBE2D1,UBE2D1
RELL1,RELL1
LRP6,LRP6
POLR1E,POLR1E
DESI1,DESI1
LYN,LYN
RANBP3,RANBP3
ARIH1,ARIH1
GDF10,GDF10
HS3ST1,HS3ST1
FUT8,FUT8
XRCC6,XRCC6
RBM24,RBM24
NRP1,NRP1
R3HDML,R3HDML
MIR124-3,MIR124-3
YTHDF1,YTHDF1
SUGT1,SUGT1
CFAP90,C12H5orf49
TOLLIP,TOLLIP
SNTG1,SNTG1
BIRC7,BIRC7
CORIN,CORIN
SSR1,SSR1
ATP5PF,ATP5J
PLCB2,PLCB2
FBXL7,FBXL7
SCNN1G,SCNN1G
SPEF2,SPEF2
OLR1,OLR1
ZIC2,ZIC2
HS3ST2,HS3ST2
ZIC5,ZIC5
TUT7,TUT7
LNX2,LNX2
TMC7,TMC7
GSX1,GSX1
RPA3,RPA3
PDX1,PDX1
ARFGAP1,ARFGAP1
FOXF2,FOXF2
NXPH1,NXPH1
SPATC1L,SPATC1L
CLEC4D,CLEC4D
CDKAL1,CDKAL1
C1GALT1,C1GALT1
LSS,LSS
DCDC2,DCDC2
CLYBL,CLYBL
BRSK2,BRSK2
AP5Z1,AP5Z1
ID4,ID4
ITGBL1,ITGBL1
TNRC6A,TNRC6A
PTPRO,PTPRO
NAA30,NAA30
KIF13A,KIF13A
SLC16A2,SLC16A2
CLEC14A,CLEC14A
MAGED2,MAGED2
TYRP1,TYRP1
GNG7,GNG7
YJU2,YJU2
SUPT20H,SUPT20H
SNU13,SNU13
CLOCK,CLOCK
GNA14,GNA14
GNA15,GNA15
CYP7B1,CYP7B1
KLF8,KLF8
ZFAND5,ZFAND5
ITGA11,ITGA11
HSCB,HSCB
ZFR,ZFR
CA8,CA8
PLXDC2,PLXDC2
RNF122,RNF122
MICALL2,MICALL2
FGF16,FGF16
ZMAT4,ZMAT4
COMT,COMT
CPXCR1,CPXCR1
SNX29,SNX29
FTCD,FTCD
HDAC8,HDAC8
CRISPLD1,CRISPLD1
SGSM2,SGSM2
ZBTB5,ZBTB5
POLR3E,POLR3E
NAA35,NAA35
HACD3,HACD3
CPVL,CPVL
JCAD,JCAD
SPAG6,SPAG6
CARD19,CARD19
SLC38A9,SLC38A9
HLCS,HLCS
OSTF1,OSTF1
ARVCF,ARVCF
CENPC,CENPC
ZNF215,ZNF215
CHRNA4,CHRNA4
R3HCC1,R3HCC1
FRMD3,FRMD3
GALNT18,GALNT18
MARCHF8,MARCH8
ANKFY1,ANKFY1
DKK1,DKK1
MKKS,MKKS
REC114,REC114
CALCB,CALCB
KIF5B,KIF5B
TANGO2,TANGO2
TBC1D21,TBC1D21
GADD45G,GADD45G
ZNF214,ZNF214
GSDME,DFNA5
AQP4,AQP4
TECRL,TECRL
FNDC11,FNDC11
OLIG2,OLIG2
PDRG1,PDRG1
INSR,INSR
TEX10,TEX10
OLIG1,OLIG1
TFF3,TFF3
CDH10,CDH10
XKR7,XKR7
CCM2L,CCM2L
NPTN,NPTN
NETO2,NETO2
ZFHX4,ZFHX4
ANO3,ANO3
PLAGL2,PLAGL2
ONECUT2,ONECUT2
SLC34A2,SLC34A2
NARS1,NARS1
UMODL1,UMODL1
GPX8,GPX8
PROCR,PROCR
OSBPL3,OSBPL3
GRIN3A,GRIN3A
ZZEF1,ZZEF1
ISL1,ISL1
CLVS1,CLVS1
CELF5,CELF5
METTL22,METTL22
NBEA,NBEA
MMP24,MMP24
CYLC2,CYLC2
PTPN21,PTPN21
FEM1B,FEM1B
SETDB2,SETDB2
TMEM38B,TMEM38B
WNT7A,WNT7A
ANKH,ANKH
ARMC1,ARMC1
NMT2,NMT2
PHF11,PHF11
PML,PML
FAM83C,FAM83C
BARX1,BARX1
DSN1,DSN1
TPMT,TPMT
ATP8B1,ATP8B1
CLEC7A,CLEC7A
CHL1,CHL1
NPR3,NPR3
SYNDIG1L,SYNDIG1L
NINJ1,NINJ1
SYT9,SYT9
TMX1,TMX1
VAV1,VAV1
SDAD1,SDAD1
CAGE1,CAGE1
UPRT,UPRT
MIR185,MIR185
MIR3618,MIR3618
MIR1306,MIR1306
CRK,CRK
ZDHHC8,ZDHHC8
XKR9,XKR9
LONP2,LONP2
RNU6-742P,U6
VPS13A,VPS13A
FANCF,FANCF
ALPK2,ALPK2
ZNF287,ZNF287
SERGEF,SERGEF
CCAR1,CCAR1
PAG1,PAG1
FST,FST
RCBTB1,RCBTB1
PTPRM,PTPRM
USP25,USP25
LRRC75A,LRRC75A
HDX,HDX
MANSC1,MANSC1
SULF1,SULF1
CCDC188,CCDC188
HIRA,HIRA
SKA3,SKA3
A2ML1,A2ML1
WSB1,WSB1
GHR,GHR
ZBTB46,ZBTB46
MICU2,MICU2
PABPC5,PABPC5
AKAP6,AKAP6
GDAP1L1,GDAP1L1
ARL13A,ARL13A
MPV17L,MPV17L
FGF9,FGF9
RN7SL766P,Metazoa_SRP
ALG5,ALG5
BRWD3,BRWD3
ITFG1,ITFG1
CAT,CAT
MBOAT1,MBOAT1
SHROOM3,SHROOM3
RIOK1,RIOK1
SSTR1,SSTR1
EXOSC8,EXOSC8
TGIF2,TGIF2
UFD1,UFD1
CDH9,CDH9
DYNC1LI1,DYNC1LI1
PEMT,PEMT
CEP128,CEP128
EDA,EDA
ZFR2,ZFR2
SLA2,SLA2
ADAMTS12,ADAMTS12
CHM,CHM
ZNF143,ZNF143
KRTAP11-1,KRTAP11-1
SNX13,SNX13
KRTAP19-8,KRTAP19-8
SOD1,SOD1
ZNF77,ZNF77
NUP93,NUP93
MRPS26,MRPS26
L3MBTL4,L3MBTL4
KLF3,KLF3
ZNF318,ZNF318
OXT,OXT
GNA11,GNA11
AVP,AVP
EVC2,EVC2
DOP1B,DOP1B
ALDH1A2,ALDH1A2
POF1B,POF1B
UBOX5,UBOX5
ENOX1,ENOX1
DAAM2,DAAM2
MCIDAS,MCIDAS
KLHL4,KLHL4
DDRGK1,DDRGK1
ARMH4,ARMH4
BTBD2,BTBD2
CPD,CPD
CCDC122,CCDC122
CDC45,CDC45
ST8SIA5,ST8SIA5
LACC1,LACC1
NRDE2,NRDE2
ZWINT,ZWINT
ITPA,ITPA
LAMP1,LAMP1
C8orf34,C8orf34
ARHGAP28,ARHGAP28
GRTP1,GRTP1
CDH18,CDH18
MATK,MATK
STK38L,STK38L
KLHL7,KLHL7
MAGEE1,MAGEE1
CCDC85C,CCDC85C
DCUN1D2,DCUN1D2
RTL3,RTL3
LIPI,LIPI
ERG,ERG
TBX22,TBX22
MMUT,MMUT
ZCWPW2,ZCWPW2
CA3,CA3
BLMH,BLMH
NEO1,NEO1
CDH8,CDH8
TMCO3,TMCO3
TRAM2,TRAM2
MOK,MOK
HNF4G,HNF4G
SLC15A5,SLC15A5
CDH12,CDH12
ANXA11,ANXA11
GYS2,GYS2
RNU6-1019P,U6
COX4I2,COX4I2
TBC1D22B,TBC1D22B
PLCL2,PLCL2
NBDY,NBDY
ELOVL5,ELOVL5
BPNT2,IMPAD1
TPX2,TPX2
TFDP1,TFDP1
RELCH,KIAA1468
STAU2,STAU2
RAB3C,RAB3C
DBX1,DBX1
BORCS5,BORCS5
BBOX1,BBOX1
AHR,AHR
RAD18,RAD18
MGST1,MGST1
TRMT2B,TRMT2B
EMB,EMB
RNF8,RNF8
COQ7,COQ7
LMX1B,LMX1B
NSRP1,NSRP1
TRPM2,TRPM2
LUZP2,LUZP2
SEPTIN5,SEPT5
ELOVL7,ELOVL7
ZC3H13,ZC3H13
CLEC6A,CLEC6A
THAP9,THAP9
CENPQ,CENPQ
MALSU1,MALSU1
NEK5,NEK5
ITGA9,ITGA9
TEX13B,TEX13B
FJX1,FJX1
NOD1,NOD1
RUNX2,RUNX2
SYT10,SYT10
GSG1L,GSG1L
MINPP1,MINPP1
RRAS2,RRAS2
ITGA1,ITGA1
STAP1,STAP1
DAPK1,DAPK1
TFAM,TFAM
EPS8,EPS8
XK,XK
MYLK2,MYLK2
XPO4,XPO4
MRPL54,MRPL54
MYCBP2,MYCBP2
ARHGAP6,ARHGAP6
ZC3H7A,ZC3H7A
SP4,SP4
DOHH,DOHH
NXN,NXN
ITGB8,ITGB8
MYDGF,MYDGF
ZNF532,ZNF532
GRID1,GRID1
MPHOSPH8,MPHOSPH8
PSMC1,PSMC1
EFHB,EFHB
SPON1,SPON1
CRISP2,CRISP2
BCL2L1,BCL2L1
PSPC1,PSPC1
GP1BB,GP1BB
PDE4A,PDE4A
WDFY2,WDFY2
KIZ,KIZ
GNB1L,GNB1L
MYOF,MYOF
IGF2BP3,IGF2BP3
AP2B1,AP2B1
SGO1,SGO1
HMG20A,HMG20A
MMP2,MMP2
PPP2R2C,PPP2R2C
FAM151B,FAM151B
ATG2B,ATG2B
ATG4A,ATG4A
RTN4R,RTN4R
MTREX,MTREX
PKHD1,PKHD1
C18orf32,C19H18orf32
Y_RNA,Y_RNA
SLC46A3,SLC46A3
APCDD1,APCDD1
CYP1A2,CYP1A2
TXNRD2,TXNRD2
POMP,POMP
NAPG,NAPG
OVOL2,OVOL2
RPS6KA5,RPS6KA5
SLC27A2,SLC27A2
TNFSF11,TNFSF11
SNORD17,SNORD17
RAMP3,RAMP3
SYDE1,SYDE1
B3GALT5,B3GALT5
RN7SL14P,Metazoa_SRP
CDCA7L,CDCA7L
LAMP5,LAMP5
MCM3AP,MCM3AP
TPP2,TPP2
CCL17,CCL17
GEM,GEM
HAPLN1,HAPLN1
TEKTL1,TEKTL1
PARP11,PARP11
CRAMP1,CRAMP1
HHEX,HHEX
PSMF1,PSMF1
ALG11,ALG11
IREB2,IREB2
MMP16,MMP16
CCSER2,CCSER2
SOCS6,SOCS6
NUP58,NUP58
VCAN,VCAN
AWAT2,AWAT2
SNRPD1,SNRPD1
ABHD3,ABHD3
CRACR2A,CRACR2A
AK7,AK7
PP2D1,PP2D1
CCL22,CCL22
PSKH2,PSKH2
BRINP1,BRINP1
CMTM6,CMTM6
PRDM14,PRDM14
DYNC1LI2,DYNC1LI2
TACR3,TACR3
N4BP2L2,N4BP2L2
KDSR,KDSR
ABCA13,ABCA13
GOLGA5,GOLGA5
LRCH2,LRCH2
FABP5,FABP5
REEP3,REEP3
LGSN,LGSN
SDCBP2,SDCBP2
SYN2,SYN2
DERA,DERA
ILVBL,ILVBL
BANK1,BANK1
PLPPR1,PLPPR1
HCN4,HCN4
SDHAF4,SDHAF4
TLL2,TLL2
