Gene name,Mouse gene name
SYNJ1,Synj1
SIAH3,Siah3
MC3R,Mc3r
NALCN,Nalcn
RTCB,Rtcb
PREX1,Prex1
YWHAH,Ywhah
ASPHD2,Asphd2
SRRD,Srrd
TFIP11,Tfip11
PTGIS,Ptgis
CCDC168,Ccdc168
TEX30,Tex30
RBM11,Rbm11
HSPA13,Hspa13
CBLN4,Cbln4
PSMG1,Psmg1
ATP9A,Atp9a
CRYBB1,Crybb1
CRYBA4,Cryba4
GAS6,Gas6
C1QTNF6,C1qtnf6
RALY,Raly
BRWD1,Brwd1
SSTR3,Sstr3
TMPRSS6,Tmprss6
NUDT15,Nudt15
MED4,Med4
PRKX,Prkx
SGCG,Sgcg
CFAP61,Cfap61
RBM26,Rbm26
DGKH,Dgkh
AMELX,Amelx
SPECC1L,Specc1l
SHROOM2,Shroom2
HMGN1,Hmgn1
SLC17A9,Slc17a9
PSMA7,Psma7
ADORA2A,Adora2a
SUCLA2,Sucla2
RBBP8NL,Rbbp8nl
UPB1,Upb1
SNRPD3,Snrpd3
GID8,Gid8
HCCS,Hccs
PMEPA1,Pmepa1
LRRC75B,Lrrc75b
PCP4,Pcp4
RN7SKP9,Gm55604
GPR183,Gpr183
DSCAM,Dscam
ABHD13,Abhd13
ESD,Esd
EIF2S2,Eif2s2
MOCOS,Mocos
HTR2A,Htr2a
SRPX,Srpx
TDRD3,Tdrd3
BACE2,Bace2
NETO1,Neto1
SOX18,Sox18
ACSS1,Acss1
SPART,Spart
GRPR,Grpr
CNDP2,Cndp2
TMEM47,Tmem47
RIPK4,Ripk4
KLHL34,Klhl34
SMPX,Smpx
DOK5,Dok5
CNKSR2,Cnksr2
TFF2,Tff2
STK24,Stk24
TFF1,Tff1
B4GALT5,B4galt5
TMPRSS3,Tmprss3
TAFA5,Tafa5
SALL4,Sall4
MAPK1,Mapk1
SCP2D1,Scp2d1
BHLHE23,Bhlhe23
CDH4,Cdh4
RCBTB2,Rcbtb2
MTMR3,Mtmr3
CNDP1,Cndp1
NDRG3,Ndrg3
UBASH3A,Ubash3a
SLITRK1,Slitrk1
IFT88,Ift88
TWSG1,Twsg1
TMTC4,Tmtc4
DOK6,Dok6
KIAA1328,AW554918
RPS21,Rps21
RSPH1,Rsph1
SS18L1,Ss18l1
EPSTI1,Epsti1
NFATC2,Nfatc2
SLC37A1,Slc37a1
MYO18B,Myo18b
MIR187,Mir187
RNU6-39P,Gm22057
TNFRSF19,Tnfrsf19
PIAS2,Pias2
PDE9A,Pde9a
PEBP4,Pebp4
RAB20,Rab20
CARS2,Cars2
ZFYVE19,Zfyve19
GFRA2,Gfra2
SYCP2,Sycp2
ADARB2,Adarb2
HDHD2,Hdhd2
SYTL5,Sytl5
KLF6,Klf6
SGCZ,Sgcz
ATP5F1C,Atp5f1c
ADGRG2,Adgrg2
IER3IP1,Ier3ip1
RNU6-1131P,Gm24927
SKOR2,Skor2
KBTBD6,Kbtbd6
EGR3,Egr3
OCA2,Oca2
KBTBD7,Kbtbd7
TGIF1,Tgif1
MTRF1,Mtrf1
EBF2,Ebf2
SGSM3,Sgsm3
TRDC,Trdc
ITIH2,Itih2
NAA16,Naa16
LAMA5,Lama5
NUBPL,Nubpl
ERICH1,Erich1
DPH6,Dph6
TAF4B,Taf4b
SNX6,Snx6
VPS37A,Vps37a
C15orf62,Gm14137
SPRED1,Spred1
RGCC,Rgcc
VWA8,Vwa8
FMN1,Fmn1
CCDC3,Ccdc3
PMAIP1,Pmaip1
STC1,Stc1
DSG4,Dsg4
LSM14B,Lsm14b
KIN,Kin
TRIM35,Trim35
TRDV3,Trdv5
PHACTR3,Phactr3
RCL1,Rcl1
GABRG3,Gabrg3
PCNX4,Pcnx4
ACBD7,Acbd7
MAK16,Mak16
RPP38,Rpp38
DSG3,Dsg3
PIGG,Pigg
RAP2A,Rap2a
ITIH5,Itih5
LPAR6,Lpar6
HMBOX1,Hmbox1
PRTG,Prtg
NAXD,Naxd
SIX1,Six1
TTR,Ttr
PPP2R5E,Ppp2r5e
BRD10,Brd10
CDH2,Cdh2
DNAL4,Dnal4
GJA3,Gja3
GJB2,Gjb2
RAD51,Rad51
GJB6,Gjb6
CBX6,Cbx6
CNTLN,Cntln
TCEA2,Tcea2
MRC1,Mrc1
FUT10,Fut10
ZMYM2,Zmym2
TMEM215,Tmem215
DMRTA1,Dmrta1
UNC5D,Unc5d
HAUS6,Haus6
CUBN,Cubn
SLC2A9,Slc2a9
PSIP1,Psip1
GOLM2,Golm2
TAB1,Tab1
LIPG,Lipg
MSR1,Msr1
GATA5,Gata5
L3HYPDH,L3hypdh
RBL1,Rbl1
TRDMT1,Trdmt1
MGAT3,Mgat3
C14orf39,4930447C04Rik
DHX15,Dhx15
MIEF1,Mief1
EEF1AKMT1,Eef1akmt1
DYM,Dym
LATS2,Lats2
SHC4,Shc4
RNU4-9P,Gm56237
CENPJ,Cenpj
SIX6,Six6
RAB40C,Rab40c
SIX4,Six4
RNU1-46P,Gm22042
MEX3C,Mex3c
RPS19BP1,Rps19bp1
PPM1A,Ppm1a
DPYSL2,Dpysl2
TCF4,Tcf4
CPZ,Cpz
APTX,Aptx
SLC25A18,Slc25a18
NHLRC4,Nhlrc4
CCDC175,Ccdc175
MINDY3,Mindy3
RAI2,Rai2
FAM234A,Fam234a
PHF20,Phf20
CTPS2,Ctps2
STK32B,Stk32b
SHISA2,Shisa2
RXFP2,Rxfp2
ATP6V1E1,Atp6v1e1
ARMC3,Armc3
FRMD5,Frmd5
FRY,Fry
SLC25A37,Slc25a37
PCNX1,Pcnx1
MSX1,Msx1
SIK1,Sik1
CYTL1,Cytl1
MBOAT4,Mboat4
DOCK5,Dock5
S100G,S100g
TRMT44,Trmt44
H2AP,H2ap
RP2,Rp2
HSF2BP,Hsf2bp
MICAL3,Mical3
RNU6-1257P,Gm55405
MBTPS2,Mbtps2
RNU6-937P,Gm25549
RNU6-639P,Gm24892
RNU6-347P,Gm24839
RNU6-929P,Gm26253
MIR1-1,Mir1a-1
MIR133A2,Mir133a-2
RBPJL,Rbpjl
DRD5,Drd5
DNMT3L,Dnmt3l
LDB2,Ldb2
SCML2,Scml2
CTDSPL2,Ctdspl2
PIP4K2A,Pip4k2a
SDC4,Sdc4
SYS1,Sys1
AIRE,Aire
LEPROTL1,Leprotl1
EFHC2,Efhc2
GPHB5,Gphb5
PDS5B,Pds5b
CHST7,Chst7
ADRA1A,Adra1a
C10orf67,4921504E06Rik
TP53TG5,Trp53tg5
MNAT1,Mnat1
PFKL,Pfkl
CLCN5,Clcn5
CCNB2,Ccnb2
MALRD1,Malrd1
NPEPL1,Npepl1
DUSP26,Dusp26
ST8SIA6,St8sia6
HMX1,Hmx1
NKX3-1,Nkx3-1
ADGRA3,Adgra3
AXIN1,Axin1
MKX,Mkx
CCDC177,Ccdc177
CCDC171,Ccdc171
LDHAL6B,Ldhal6b
LOXL2,Loxl2
COPS2,Cops2
INTS6,Ints6
GDF2,Gdf2
ODAD2,Odad2
NELFCD,Nelfcd
PTCHD1,Ptchd1
PCMTD1,Pcmtd1
SYAP1,Syap1
ABCA3,Abca3
SH3GL2,Sh3gl2
BNIP3L,Bnip3l
CDKL5,Cdkl5
C4orf19,0610040J01Rik
CFAP410,Cfap410
LURAP1L,Lurap1l
RHOJ,Rhoj
NFX1,Nfx1
TBC1D19,Tbc1d19
ITGA8,Itga8
ICE1,Ice1
SOCS4,Socs4
ACR,Acr
KIF13B,Kif13b
KCNH5,Kcnh5
LRRC3,Lrrc3
SMAD6,Smad6
TSPEAR,Tspear
CCDC70,Ccdc70
TRMU,Trmu
GPR18,Gpr18
SLC39A12,Slc39a12
MTUS2,Mtus2
SLTM,Sltm
ADAMTS16,Adamts16
SUSD6,Susd6
TNFSF13B,Tnfsf13b
TUBB1,Tubb1
UBE2G2,Ube2g2
ATP5F1E,Atp5f1e
EGLN3,Egln3
MISP,Misp
GRHPR,Grhpr
ZFAND4,Zfand4
RNF6,Rnf6
ARID3A,Arid3a
PRELID3B,Prelid3b
FASTKD3,Fastkd3
GET4,Get4
GMDS,Gmds
DCTN6,Dctn6
SPTSSA,Sptssa
GDF5,Gdf5
ATP8A2,Atp8a2
SBNO2,Sbno2
TMEM204,Tmem204
PLEKHD1,Plekhd1
C20orf173,6430550D23Rik
UNKL,Unkl
ADCY2,Adcy2
SLIT2,Slit2
PPP2R2A,Ppp2r2a
POFUT2,Pofut2
LTBP2,Ltbp2
INTS1,Ints1
MYO3A,Myo3a
PAX5,Pax5
EXOC2,Exoc2
FITM2,Fitm2
TTPAL,Ttpal
NDP,Ndp
DYNLT3,Dynlt3
SECISBP2L,Secisbp2l
GRAMD4,Gramd4
SERINC3,Serinc3
ARHGDIG,Arhgdig
AKAP4,Akap4
SACS,Sacs
CELSR1,Celsr1
MARCHF11,Marchf11
RADIL,Radil
EEF1E1,Eef1e1
IFT140,Ift140
MAOB,Maob
C2CD4C,C2cd4c
PKIG,Pkig
SEMA5A,Sema5a
ONECUT3,Onecut3
PCBP3,Pcbp3
PALM,Palm
BLOC1S5,Bloc1s5
FERRY3,D6Wsu163e
MEOX2,Meox2
MSRB2,Msrb2
TEX29,Tex29
FAM20C,Fam20c
VSIG4,Vsig4
KDM1B,Kdm1b
HERC1,Herc1
KCTD12,Kctd12
ISCA2,Isca2
CLN5,Cln5
TLDC2,Tldc2
PTF1A,Ptf1a
FOXK1,Foxk1
BID,Bid
OSER1,Oser1
SPATA7,Spata7
S1PR4,S1pr4
JPH2,Jph2
SUN1,Sun1
NCLN,Ncln
FBXL3,Fbxl3
MYO10,Myo10
SRSF6,Srsf6
KCNA5,Kcna5
ENKUR,Enkur
SPIDR,Spidr
JADE3,Jade3
SERPINE3,Serpine3
BMP6,Bmp6
MFAP5,Mfap5
XYLT1,Xylt1
DNAJC1,Dnajc1
IFT52,Ift52
TXNDC5,Txndc5
TMPRSS2,Tmprss2
MYBL2,Mybl2
METTL21C,Mettl21c
HS3ST4,Hs3st4
PHYHIPL,Phyhipl
PARVB,Parvb
CREBBP,Crebbp
FOXR2,Foxr2
SLC9A7,Slc9a7
GTSF1L,Gtsf1l
HDGFL1,Hdgfl1
RBP3,Rbp3
FOXQ1,Foxq1
SKOR1,Skor1
RPP40,Rpp40
ARHGAP12,Arhgap12
SLC10A2,Slc10a2
IL17D,Il17d
MAGEH1,Mageh1
DGKK,Dgkk
OTOR,Otor
FOXB1,Foxb1
GGACT,Ggact
ATP11A,Atp11a
GCHFR,Gchfr
SRXN1,Srxn1
SEL1L3,Sel1l3
DTD1,Dtd1
CA12,Car12
APBA3,Apba3
DEK,Dek
AP5M1,Ap5m1
OSBPL2,Osbpl2
PIR,Pir
ZC3H7B,Zc3h7b
SLC28A3,Slc28a3
TJP3,Tjp3
SLC35F4,Slc35f4
EDA2R,Eda2r
TEF,Tef
PGM5,Pgm5
BMP4,Bmp4
CLEC4E,Clec4e
OXGR1,Oxgr1
MYO1E,Myo1e
PHF5A,Phf5a
COMMD6,Commd6
CYSLTR1,Cysltr1
COMMD8,Commd8
RGS11,Rgs11
PSAT1,Psat1
POLR3H,Polr3h
STMND1,Stmnd1
ATP6AP2,Atp6ap2
SLAIN2,Slain2
RIMKLB,Rimklb
SRSF5,Srsf5
GFOD1,Gfod1
MED10,Med10
SH2D4A,Sh2d4a
THSD1,Thsd1
NRSN1,Nrsn1
VPS36,Vps36
RASEF,Rasef
ETV6,Etv6
MTRR,Mtrr
OCIAD2,Ociad2
JARID2,Jarid2
NMRK1,Nmrk1
CLEC1A,Clec1a
PMM1,Pmm1
TRIM27,Trim27
PNMA2,Pnma2
RAB8B,Rab8b
LCA5L,Lca5l
CKAP2,Ckap2
CLEC9A,Clec9a
JSRP1,Jsrp1
ICA1,Ica1
UBE2D1,Ube2d1
RELL1,Rell1
LRP6,Lrp6
ZNRF4,Znrf4
POLR1E,Polr1e
DESI1,Desi1
LYN,Lyn
RANBP3,Ranbp3
ARIH1,Arih1
GDF10,Gdf10
HS3ST1,Hs3st1
FUT8,Fut8
XRCC6,Xrcc6
RBM24,Rbm24
NRP1,Nrp1
R3HDML,R3hdml
GABRB1,Gabrb1
MIR124-3,Mir124a-3
YTHDF1,Ythdf1
SUGT1,Sugt1
GOLM1,Golm1
CFAP90,Cfap90
TOLLIP,Tollip
SNTG1,Sntg1
BIRC7,Birc7
CORIN,Corin
SSR1,Ssr1
ATP5PF,Atp5pf
PLCB2,Plcb2
FBXL7,Fbxl7
SCNN1G,Scnn1g
SPEF2,Spef2
NKAIN4,Nkain4
OLR1,Olr1
ZIC2,Zic2
HS3ST2,Hs3st2
ZIC5,Zic5
MUC5B,Muc5b
TUT7,Tut7
LNX2,Lnx2
TMC7,Tmc7
GSX1,Gsx1
RNU6-73P,Gm26454
RPA3,Rpa3
PDX1,Pdx1
ARFGAP1,Arfgap1
POLR1D,Polr1d
FOXF2,Foxf2
NXPH1,Nxph1
SOX4,Sox4
SPATC1L,Spatc1l
CLEC4D,Clec4d
CDKAL1,Cdkal1
PAPOLB,Papolb
C1GALT1,C1galt1
LSS,Lss
LIG4,Lig4
DCDC2,Dcdc2a
CLYBL,Clybl
BRSK2,Brsk2
AP5Z1,Ap5z1
ID4,Id4
ITGBL1,Itgbl1
TNRC6A,Tnrc6a
PTPRO,Ptpro
NAA30,Naa30
KIF13A,Kif13a
SLC16A2,Slc16a2
CLEC14A,Clec14a
SARAF,Saraf
MAGED2,Maged2
RGS6,Rgs6
TYRP1,Tyrp1
GNG7,Gng7
YJU2,Yju2
SUPT20H,Supt20
SNU13,Snu13
CLOCK,Clock
GNA14,Gna14
GNA15,Gna15
CYP7B1,Cyp7b1
KLF8,Klf8
ZFAND5,Zfand5
ITGA11,Itga11
HSCB,Hscb
ZFR,Zfr
CA8,Car8
NDUFA4,Ndufa4
SAFB,Safb
PLXDC2,Plxdc2
RNF122,Rnf122
MICALL2,Micall2
FGF16,Fgf16
ZMAT4,Zmat4
COMT,Comt
CPXCR1,Cpxcr1
SNX29,Snx29
FTCD,Ftcd
HDAC8,Hdac8
CRISPLD1,Crispld1
SGSM2,Sgsm2
ZBTB5,Zbtb5
POLR3E,Polr3e
NAA35,Naa35
HACD3,Hacd3
PRPS1L1,Prps1l1
CPVL,Cpvl
JCAD,Jcad
CARD19,Card19
SLC38A9,Slc38a9
HLCS,Hlcs
OSTF1,Ostf1
ARVCF,Arvcf
KCNE1,Kcne1
CENPC,Cenpc1
CHRNA4,Chrna4
R3HCC1,R3hcc1
COL6A1,Col6a1
FRMD3,Frmd3
GALNT18,Galnt18
MARCHF8,Marchf8
ANKFY1,Ankfy1
DKK1,Dkk1
MKKS,Mkks
REC114,Rec114
CALCB,Calcb
KIF5B,Kif5b
TANGO2,Tango2
TBC1D21,Tbc1d21
GADD45G,Gadd45g
GSDME,Gsdme
PEX2,Pex2
AQP4,Aqp4
PTK6,Ptk6
TECRL,Tecrl
MUC5AC,Muc5ac
FNDC11,Fndc11
OLIG2,Olig2
PDRG1,Pdrg1
INSR,Insr
TEX10,Tex10
OLIG1,Olig1
TFF3,Tff3
CDH10,Cdh10
XKR7,Xkr7
CCM2L,Ccm2l
NPTN,Nptn
NETO2,Neto2
ZFHX4,Zfhx4
ANO3,Ano3
PLAGL2,Plagl2
ONECUT2,Onecut2
SLC34A2,Slc34a2
NARS1,Nars1
MAPRE1,Mapre1
UMODL1,Umodl1
GPX8,Gpx8
PROCR,Procr
OSBPL3,Osbpl3
GRIN3A,Grin3a
ZZEF1,Zzef1
ISL1,Isl1
CLVS1,Clvs1
CELF5,Celf5
METTL22,Mettl22
NBEA,Nbea
MMP24,Mmp24
CYLC2,Cylc2
PTPN21,Ptpn21
FEM1B,Fem1b
SETDB2,Setdb2
TMEM38B,Tmem38b
WNT7A,Wnt7a
ANKH,Ank
ARMC1,Armc1
NMT2,Nmt2
PML,Pml
FAM83C,Fam83c
BARX1,Barx1
DSN1,Dsn1
TPMT,Tpmt
ATP8B1,Atp8b1
CLEC7A,Clec7a
CHL1,Chl1
NPR3,Npr3
SYNDIG1L,Syndig1l
NINJ1,Ninj1
KCTD8,Kctd8
SYT9,Syt9
TMX1,Tmx1
VAV1,Vav1
SDAD1,Sdad1
CAGE1,Cage1
UPRT,Uprt
MIR185,Mir185
MIR3618,Mir3618
MIR1306,Mir1306
CRK,Crk
ZDHHC8,Zdhhc8
XKR9,Xkr9
LONP2,Lonp2
RNU6-742P,Gm25814
VPS13A,Vps13a
FANCF,Fancf
MIR122,Mir122
ALPK2,Alpk2
ZNF287,Zfp287
SERGEF,Sergef
CCAR1,Ccar1
PAG1,Pag1
FST,Fst
RCBTB1,Rcbtb1
RTRAF,Rtraf
RNU6-219P,Gm23205
PTPRM,Ptprm
USP25,Usp25
LRRC75A,Lrrc75a
HDX,Hdx
MANSC1,Mansc1
SULF1,Sulf1
CCDC188,Ccdc188
HIRA,Hira
SKA3,Ska3
WSB1,Wsb1
GHR,Ghr
MRPL57,Mrpl57
ZBTB46,Zbtb46
MICU2,Micu2
PABPC5,Pabpc5
AKAP6,Akap6
GDAP1L1,Gdap1l1
ARL13A,Arl13a
FOXC1,Foxc1
NHLRC1,Nhlrc1
CDYL,Cdyl
MPV17L,Mpv17l
FGF9,Fgf9
ALG5,Alg5
BRWD3,Brwd3
ITFG1,Itfg1
COX7B2,Cox7b2
MYL9,Myl9
CAT,Cat
MBOAT1,Mboat1
SHROOM3,Shroom3
RIOK1,Riok1
SSTR1,Sstr1
EXOSC8,Exosc8
TGIF2,Tgif2
UFD1,Ufd1
CDH9,Cdh9
DYNC1LI1,Dync1li1
PEMT,Pemt
CEP128,Cep128
EDA,Eda
ZFR2,Zfr2
SLA2,Sla2
ADAMTS12,Adamts12
CHM,Chm
KRTAP8-1,Krtap8-1
ZNF143,Zfp143
KRTAP7-1,Krtap7-1
KRTAP11-1,Krtap11-1
SNX13,Snx13
SOD1,Sod1
ZNF77,BC025920
NUP93,Nup93
MRPS26,Mrps26
L3MBTL4,L3mbtl4
KLF3,Klf3
ZNF318,Zfp318
BCAT1,Bcat1
OXT,Oxt
GNA11,Gna11
AVP,Avp
EVC2,Evc2
DOP1B,Dop1b
ALDH1A2,Aldh1a2
POF1B,Pof1b
UBOX5,Ubox5
ENOX1,Enox1
DAAM2,Daam2
C3orf20,4930590J08Rik
MCIDAS,Mcidas
KLHL4,Klhl4
DDRGK1,Ddrgk1
ARMH4,Armh4
BTBD2,Btbd2
CPD,Cpd
CCDC122,Ccdc122
CDC45,Cdc45
ST8SIA5,St8sia5
LACC1,Lacc1
NRDE2,Nrde2
ZWINT,Zwint
ITPA,Itpa
LAMP1,Lamp1
C8orf34,A830018L16Rik
ARHGAP28,Arhgap28
GRTP1,Grtp1
CDH18,Cdh18
MATK,Matk
STK38L,Stk38l
KLHL7,Klhl7
MAGEE1,Magee1
CCDC85C,Ccdc85c
DCUN1D2,Dcun1d2
RTL3,Rtl3
LIPI,Lipi
ERG,Erg
TBX22,Tbx22
MMUT,Mmut
ZCWPW2,Zcwpw2
CA3,Car3
BLMH,Blmh
NEO1,Neo1
LIN54,Lin54
CDH8,Cdh8
TMCO3,Tmco3
TRAM2,Tram2
MOK,Mok
HNF4G,Hnf4g
SLC15A5,Slc15a5
CDH12,Cdh12
ANXA11,Anxa11
GYS2,Gys2
PGK2,Pgk2
COX4I2,Cox4i2
TBC1D22B,Tbc1d22b
PLCL2,Plcl2
NBDY,Nbdy
ELOVL5,Elovl5
BPNT2,Bpnt2
TPX2,Tpx2
SH3BGRL,Sh3bgrl
TFDP1,Tfdp1
RELCH,Relch
STAU2,Stau2
RAB3C,Rab3c
DBX1,Dbx1
BORCS5,Borcs5
RAD23B,Rad23b
BBOX1,Bbox1
AHR,Ahr
RAD18,Rad18
MGST1,Mgst1
TRMT2B,Trmt2b
EMB,Emb
RNF8,Rnf8
COQ7,Coq7
ADPRHL1,Adprhl1
LMX1B,Lmx1b
NSRP1,Nsrp1
TRPM2,Trpm2
LUZP2,Luzp2
SEPTIN5,Septin5
ELOVL7,Elovl7
ZC3H13,Zc3h13
CLEC6A,Clec4n
TWIST1,Twist1
CENPQ,Cenpq
MALSU1,Malsu1
NEK5,Nek5
ITGA9,Itga9
FJX1,Fjx1
NOD1,Nod1
RUNX2,Runx2
SYT10,Syt10
GSG1L,Gsg1l
MAGEE2,Magee2
MINPP1,Minpp1
GK2,Gk2
RRAS2,Rras2
ITGA1,Itga1
STAP1,Stap1
DAPK1,Dapk1
TFAM,Tfam
EPS8,Eps8
XK,Xk
MYLK2,Mylk2
ATP10D,Atp10d
XPO4,Xpo4
MRPL54,Mrpl54
MYCBP2,Mycbp2
ARHGAP6,Arhgap6
ZC3H7A,Zc3h7a
SP4,Sp4
DOHH,Dohh
NXN,Nxn
ITGB8,Itgb8
MYDGF,Mydgf
ZNF532,Zfp532
GRID1,Grid1
MPHOSPH8,Mphosph8
PSMC1,Psmc1
EFHB,Efhb
FOXS1,Foxs1
SPON1,Spon1
CRISP2,Crisp2
BCL2L1,Bcl2l1
PSPC1,Pspc1
GP1BB,Gp1bb
PDE4A,Pde4a
WDFY2,Wdfy2
KIZ,Kiz
GNB1L,Gnb1l
MYOF,Myof
hsa-mir-423,Mir423
IGF2BP3,Igf2bp3
AP2B1,Ap2b1
FOLH1,Folh1
SGO1,Sgo1
HMG20A,Hmg20a
