Gene name,White-tufted-ear marmoset gene name
CASR,CASR
GREM2,GREM2
TMEM50A,TMEM50A
TXLNA,TXLNA
TTC22,TTC22
U6,U6
Metazoa_SRP,Metazoa_SRP
MTF1,MTF1
EMC1,EMC1
ZDHHC3,ZDHHC3
DZIP1L,DZIP1L
Metazoa_SRP,Metazoa_SRP
FMN2,FMN2
PARS2,PARS2
C1H1orf122,C1orf122
SMAP2,SMAP2
CELA3B,CELA3A
SFPQ,SFPQ
SMG7,SMG7
YRDC,YRDC
RSRP1,RSRP1
KCNK2,KCNK2
U6,U6
Metazoa_SRP,Metazoa_SRP
MANEAL,MANEAL
RGS4,RGS4
SYF2,SYF2
CA14,CA14
Metazoa_SRP,Metazoa_SRP
SNAP47,SNAP47
TTC4,TTC4
KPNA6,KPNA6
Y_RNA,Y_RNA
CEPT1,CEPT1
mml-mir-205,cja-mir-205
IFT122,IFT122
EPHA10,EPHA10
COL9A2,COL9A2
DBR1,DBR1
GFI1,GFI1
MRPL3,MRPL3
JMJD4,JMJD4
TMEM41A,LIPH
EXOSC7,EXOSC7
CHRM3,CHRM3
TXNIP,TXNIP
CAMK1G,CAMK1G
SNORA58,SNORA58
ZMYM1,ZMYM1
Metazoa_SRP,Metazoa_SRP
MROH7,MROH7
Metazoa_SRP,Metazoa_SRP
CDCA8,CDCA8
CLEC3B,CLEC3B
CPNE4,CPNE4
U2,U2
WNT9A,WNT9A
HJV,HFE2
RUNX3,RUNX3
SELENOT,SELENOT
Metazoa_SRP,Metazoa_SRP
LYPLAL1,LYPLAL1
SENP2,SENP2
Metazoa_SRP,Metazoa_SRP
USH2A,USH2A
WNT3A,WNT3A
ANP32E,ANP32E
AIRIM,AIRIM
POLR3GL,POLR3GL
CDCP1,CDCP1
CLIC4,CLIC4
TMEM39B,TMEM39B
LAMB3,LAMB3
NT5DC2,NT5DC2
ERICH6,ERICH6
ARF1,ARF1
FXR1,FXR1
VPS13D,VPS13D
LRIF1,LRIF1
ACOT11,ACOT11
U6,U6
ZNF697,ZNF697
NUF2,NUF2
IGF2BP2,IGF2BP2
RPAP2,RPAP2
ZMYM6,ZMYM6
SLC30A10,SLC30A10
TMEM158,TMEM158
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
U3,U3
ACP3,ACP3
U3,U3
UQCC5,SMIM4
ZMPSTE24,ZMPSTE24
ZP4,ZP4
ARMC8,ARMC8
SNORD116,SNORD116
SIAH2,SIAH2
TRA2B,TRA2B
PLEKHO1,PLEKHO1
ANKRD34A,ANKRD34A
FAM151A,FAM151A
PBRM1,PBRM1
U5,U5
SRRM1,SRRM1
TMCO2,TMCO2
NCF2,NCF2
LIX1L,LIX1L
LARS2,LARS2
HAO2,HAO2
MINDY4B,MINDY4B
TMEM35B,ZMYM6NB
RLF,RLF
GLMN,GLMN
RBM8A,RBM8A
GUK1,GUK1
ESRRG,ESRRG
VPS45,VPS45
CLRN1,CLRN1
ETV5,ETV5
GNRHR2,GNRHR2
RYR2,RYR2
DLGAP3,DLGAP3
U6,U6
ARPC5,ARPC5
GJC2,GJC2
Metazoa_SRP,Metazoa_SRP
PTP4A2,PTP4A2
G0S2,G0S2
PPT1,PPT1
NCMAP,NCMAP
IBA57,IBA57
PEX11B,PEX11B
GNL3,GNL3
PBX1,PBX1
DNAJC13,DNAJC13
MED12L,MED12L
HSD11B1,HSD11B1
DNALI1,DNALI1
CD53,CD53
OTUD7B,OTUD7B
LIMD1,LIMD1
SNIP1,SNIP1
LSAMP,LSAMP
ITGA10,ITGA10
SNORD19,SNORD19
MBD4,MBD4
GPATCH2,GPATCH2
SNORD19B,SNORD19B
BTBD8,BTBD8
RCAN3,RCAN3
DGKG,DGKG
SNORD69,SNORD69
GJA4,GJA4
SSBP3,SSBP3
Y_RNA,Y_RNA
TRAF3IP3,TRAF3IP3
RGL1,RGL1
NME9,NME9
GJB3,GJB3
GLT8D1,GLT8D1
GJB4,GJB4
KCNA3,KCNA3
EFCAB12,EFCAB12
GJB5,GJB5
MTMR11,MTMR11
WARS2,WARS2
KCNA2,KCNA2
EPRS1,EPRS1
SPCS1,SPCS1
U6,U6
MEAF6,MEAF6
GPR171,GPR171
Metazoa_SRP,Metazoa_SRP
NIPAL3,NIPAL3
GAP43,GAP43
Y_RNA,Y_RNA
P2RY14,P2RY14
SF3B4,SF3B4
H1-10,H1FX
GPR87,GPR87
U6,U6
Metazoa_SRP,Metazoa_SRP
NEK4,NEK4
P2RY13,P2RY13
LMX1A,LMX1A
CRYGS,CRYGS
P2RY12,P2RY12
IRF6,IRF6
PROK1,PROK1
C1H1orf94,C1orf94
STPG1,STPG1
HMCES,HMCES
SACM1L,SACM1L
SV2A,SV2A
MRAS,MRAS
TBCCD1,TBCCD1
Metazoa_SRP,Metazoa_SRP
IGSF10,IGSF10
TBX15,TBX15
UTP25,UTP25
UBR4,UBR4
MRPL37,MRPL37
LAMTOR5,LAMTOR5
U1,U1
CAP1,CAP1
ZC3H12A,ZC3H12A
MTR,MTR
ITIH1,ITIH1
RRP15,RRP15
BOLA1,BOLA1
GRHL3,GRHL3
SLC16A4,SLC16A4
DNAJB11,DNAJB11
CYB5RL,CYB5RL
H2AC20,HIST2H2AC
TGFB2,TGFB2
ZBTB20,ZBTB20
AADACL2,AADACL2
SYT14,SYT14
GRIK3,GRIK3
RXRG,RXRG
AHSG,AHSG
RBM15,RBM15
HSPG2,HSPG2
CDCP2,CDCP2
AADAC,AADAC
ESYT3,ESYT3
POLR3C,POLR3C
COPG1,COPG1
APOBEC4,APOBEC4
SPAG17,SPAG17
MFSD2A,MFSD2A
SUCNR1,SUCNR1
FETUB,FETUB
COLGALT2,COLGALT2
H2BC18,H2BC18
Metazoa_SRP,Metazoa_SRP
CSMD2,CSMD2
ACAD11,ACAD11
TCEANC2,TCEANC2
U3,U3
HRG,HRG
CBLB,CBLB
FCGR1A,FCGR1A
SERTAD4,SERTAD4
IFNLR1,IFNLR1
SLC6A20,SLC6A20
TSEN15,TSEN15
LRRC52,LRRC52
RNF115,RNF115
Y_RNA,Y_RNA
BRDT,BRDT
DCLK3,DCLK3
KCNC4,KCNC4
Metazoa_SRP,Metazoa_SRP
MGST3,MGST3
IL22RA1,IL22RA1
MYCL,MYCL
ITIH3,ITIH3
CCDC80,CCDC80
mml-mir-569,cja-mir-569
TRANK1,TRANK1
TIGIT,TIGIT
TRIM11,TRIM11
HHAT,HHAT
Metazoa_SRP,Metazoa_SRP
CD160,CD160
SLC6A17,SLC6A17
ADGRB2,ADGRB2
CEP70,CEP70
ALDH9A1,ALDH9A1
TMEM59,TMEM59
LZTFL1,LZTFL1
TRIT1,TRIT1
TRIM17,TRIM17
CSF3R,CSF3R
ACKR4,CCRL1
DRD3,DRD3
WDR3,WDR3
ALX3,ALX3
PDZK1,PDZK1
UBA5,UBA5
EPM2AIP1,EPM2AIP1
MBNL1,MBNL1
MYOM3,MYOM3
ATP11B,ATP11B
U1,U1
TMCO1,TMCO1
Y_RNA,Y_RNA
KCNH1,KCNH1
ACTN2,ACTN2
MLH1,MLH1
H2BC26,H2BC26
Y_RNA,Y_RNA
UCK2,UCK2
CNBP,CNBP
EDEM3,EDEM3
SLC35A5,SLC35A5
RNF187,RNF187
TGFBR3,TGFBR3
ITPR1,ITPR1
MRPS15,MRPS15
QTRT2,QTRT2
STRIP1,STRIP1
NPHP3,NPHP3
FAM78B,FAM78B
ITIH4,ITIH4
5S_rRNA,5S_rRNA
PKLR,PKLR
5S_rRNA,5S_rRNA
U1,U1
5S_rRNA,5S_rRNA
PPIE,PPIE
5S_rRNA,5S_rRNA
SH3GLB1,SH3GLB1
PLD1,PLD1
POGK,POGK
ISY1,ISY1
PIK3CD,PIK3CD
HCN3,HCN3
FYCO1,FYCO1
CCDC191,CCDC191
5S_rRNA,5S_rRNA
ALCAM,ALCAM
U7,U7
5S_rRNA,5S_rRNA
HPCAL4,HPCAL4
RCOR3,RCOR3
LRRFIP2,LRRFIP2
CLK2,CLK2
NT5C1A,NT5C1A
ZDHHC23,ZDHHC23
FAIM,FAIM
OSCP1,OSCP1
5S_rRNA,5S_rRNA
TADA1,TADA1
GP9,GP9
HEYL,HEYL
LDLRAD1,LDLRAD1
SCAMP3,SCAMP3
DCUN1D1,DCUN1D1
GRAMD1C,GRAMD1C
NIBAN1,NIBAN1
TRAF5,TRAF5
EFCC1,EFCC1
SNORA63,SNORA63
LRRC42,LRRC42
LSM10,LSM10
Metazoa_SRP,Metazoa_SRP
TMEM201,TMEM201
ATG3,ATG3
ENTREP3,ENTREP3
RD3,RD3
TMEM108,TMEM108
AHCYL1,AHCYL1
CFAP92,CFAP92
STK40,STK40
U7,U7
CXCR6,CXCR6
SNORA55,SNORA55
SLC30A1,SLC30A1
BFSP2,BFSP2
GBA1,GBA1
XCR1,XCR1
CLCA4,CLCA4
SNORA59A,SNORA59A
CNR2,CNR2
EVA1B,EVA1B
CDC7,CDC7
HEATR1,HEATR1
U3,U3
FUCA1,FUCA1
MCCC1,MCCC1
CCR1,CCR1
PIK3CB,PIK3CB
SH3D21,SH3D21
NEK2,NEK2
CCR3,CCR3
Metazoa_SRP,Metazoa_SRP
STIMATE,STIMATE
DIO1,DIO1
CCR2,CCR2
ILDR2,ILDR2
CDV3,CDV3
Y_RNA,Y_RNA
TNFRSF1B,TNFRSF1B
HMGCL,HMGCL
ACAD9,ACAD9
TRMT1L,TRMT1L
U1,U1
Y_RNA,Y_RNA
CCR5,CCR5
LPGAT1,LPGAT1
P2RY1,P2RY1
CADPS,CADPS
U6,U6
CLCA1,CLCA1
CSF1,CSF1
SPSB1,SPSB1
U2,U2
CCRL2,CCRL2
Metazoa_SRP,Metazoa_SRP
SEC22B,SEC22B
Metazoa_SRP,Metazoa_SRP
THRAP3,THRAP3
THBS3,THBS3
Metazoa_SRP,Metazoa_SRP
DSCAM,DSCAM
U6,U6
TOPBP1,TOPBP1
HFM1,HFM1
GDAP2,GDAP2
Metazoa_SRP,Metazoa_SRP
IARS2,IARS2
H6PD,H6PD
RAB7A,RAB7A
ZSCAN20,ZSCAN20
ZPLD1,ZPLD1
USF3,USF3
GALE,GALE
SWT1,SWT1
SFMBT1,SFMBT1
FOXL2,FOXL2
U6,U6
LTF,LTF
GOLGA4,GOLGA4
HYI,HYI
FOXL2NB,FOXL2NB
U6,U6
mml-mir-34a,cja-mir-34a
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
U8,U8
GPR157,GPR157
MCF2L2,MCF2L2
PHC2,PHC2
MAEL,MAEL
Metazoa_SRP,Metazoa_SRP
NOTCH2,NOTCH2
SIDT1,SIDT1
EPS8L3,EPS8L3
MIIP,MIIP
ARHGEF26,ARHGEF26
INTS7,INTS7
LYPLA2,LYPLA2
5S_rRNA,5S_rRNA
PCP4,PCP4
mml-mir-194-1,cja-mir-194
RPN1,RPN1
MAP7D1,MAP7D1
GPA33,GPA33
Y_RNA,Y_RNA
SZT2,SZT2
A3GALT2,A3GALT2
PCNT,PCNT
ODF2L,ODF2L
STYXL2,STYXL2
MRPS22,MRPS22
ZNF644,ZNF644
Y_RNA,Y_RNA
TENT5C,TENT5C
LYST,LYST
DHX36,DHX36
PITHD1,PITHD1
B3GALT5,B3GALT5
ZNF362,ZNF362
NXPE3,NFKBIZ
RTP3,RTP3
SLC2A5,SLC2A5
TMEM212,TMEM212
IVNS1ABP,IVNS1ABP
RAB3GAP2,RAB3GAP2
COL16A1,COL16A1
MFN2,MFN2
GATA2,GATA2
LRRC2,LRRC2
POU2F1,POU2F1
MAN1A2,MAN1A2
NEGR1,NEGR1
U6,U6
COPB2,COPB2
ELOA,ELOA
NR1D2,NR1D2
U7,U7
U6,U6
B3GNT5,B3GNT5
SLC2A7,SLC2A7
GLIS1,GLIS1
SNORA63,SNORA63
TDGF1,TDGF1
KLHL6,KLHL6
Metazoa_SRP,Metazoa_SRP
TRIM62,TRIM62
GET1,SH3BGR
COL24A1,COL24A1
EEFSEC,EEFSEC
DMRTB1,DMRTB1
TF,TF
FNDC3B,FNDC3B
CA6,CA6
RFT1,RFT1
GPR149,GPR149
FAM240A,FAM240A
Metazoa_SRP,Metazoa_SRP
RPL15,RPL15
CEP97,CEP97
Metazoa_SRP,Metazoa_SRP
VTCN1,VTCN1
U7,U7
AZIN2,AZIN2
TRAPPC3,TRAPPC3
Y_RNA,Y_RNA
CD247,CD247
TRIM45,TRIM45
MACF1,MACF1
CD86,CD86
U6,U6
ALS2CL,ALS2CL
Metazoa_SRP,Metazoa_SRP
NKIRAS1,NKIRAS1
RBP2,RBP2
YBEY,YBEY
GHSR,GHSR
RUVBL1,RUVBL1
LRP8,LRP8
TNFSF10,TNFSF10
TTF2,TTF2
HCRTR1,HCRTR1
CREG1,CREG1
CFAP44,CFAP44
ITGA9,ITGA9
ZNHIT6,ZNHIT6
HMCN1,HMCN1
PLOD1,PLOD1
PRKCD,PRKCD
Metazoa_SRP,Metazoa_SRP
RBP1,NMNAT3
TMPRSS7,TMPRSS7
MME,MME
MCM3AP,MCM3AP
mml-mir-942,cja-mir-942
SEC61A1,SEC61A1
NCEH1,NCEH1
Metazoa_SRP,Metazoa_SRP
U6,U6
SLCO2A1,SLCO2A1
CD101,CD101
TAGLN3,TAGLN3
YEATS2,YEATS2
SERINC2,TINAGL1
RCSD1,RCSD1
ZBTB11,ZBTB11
LCA5L,LCA5L
CLSTN2,CLSTN2
ECT2,ECT2
ABHD10,ABHD10
Metazoa_SRP,Metazoa_SRP
PTGFRN,PTGFRN
Y_RNA,Y_RNA
mml-mir-186,cja-mir-186
RNF19B,RNF19B
PRSS50,PRSS50
KBTBD12,KBTBD12
BOC,BOC
CCN1,CCN1
U7,U7
PTGER3,PTGER3
RYK,RYK
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
SNORA72,SNORA72
Metazoa_SRP,Metazoa_SRP
DDAH1,DDAH1
TRIM42,TRIM42
CD2,CD2
CTDSPL,CTDSPL
TMEM54,TMEM54
REG4,REG4
GNG4,GNG4
CTH,CTH
SPATA16,SPATA16
MPZL1,MPZL1
TKT,TKT
MARK1,MARK1
MED8,MED8
TRMT10C,TRMT10C
LGALS8,LGALS8
Metazoa_SRP,Metazoa_SRP
MGLL,MGLL
AMPD2,AMPD2
AMOTL2,AMOTL2
LSS,LSS
Y_RNA,Y_RNA
HMGCS2,HMGCS2
PHLDB2,PHLDB2
STRIT1,STRIT1
IGSF3,IGSF3
PRG4,PRG4
HPCA,HPCA
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
BCL10,BCL10
ANKRD13C,ANKRD13C
B3GALNT2,B3GALNT2
KIAA2013,KIAA2013
GNAT2,GNAT2
ANAPC13,ANAPC13
ADCY10,ADCY10
MYL3,MYL3
Metazoa_SRP,Metazoa_SRP
FNDC5,FNDC5
CZIB,CZIB
Metazoa_SRP,Metazoa_SRP
VILL,VILL
SLC25A36,SLC25A36
MIR197,cja-mir-197
C1H1orf115,C1orf115
SYDE2,SYDE2
U5,U5
NLGN1,NLGN1
Y_RNA,Y_RNA
SRSF11,SRSF11
CDC20,CDC20
PTH1R,PTH1R
S100PBP,S100PBP
GNAI3,GNAI3
CEP63,CEP63
MPC2,MPC2
NPPB,NPPB
DNAI3,DNAI3
TPR,TPR
MPL,MPL
PODXL2,PODXL2
NPPA,NPPA
SPATC1L,SPATC1L
YARS1,YARS1
EDARADD,EDARADD
CPT2,CPT2
MCM2,MCM2
ATP1A1,ATP1A1
LRRC40,LRRC40
RERE,RERE
AMIGO1,AMIGO1
FABP3,FABP3
TIE1,TIE1
FTCD,FTCD
SLC1A7,SLC1A7
CLCN6,CLCN6
KY,KY
Metazoa_SRP,Metazoa_SRP
DCP1A,DCP1A
ODR4,ODR4
PLCD1,PLCD1
DCAF6,DCAF6
WDR47,WDR47
PODN,PODN
U3,U3
NAALADL2,NAALADL2
ATXN7L2,ATXN7L2
DUSP10,DUSP10
TPRA1,TPRA1
ERO1B,ERO1B
PDC,PDC
SYPL2,SYPL2
NHSL3,KIAA1522
BRWD1,BRWD1
UBE2E1,UBE2E1
SENP7,SENP7
MCOLN2,MCOLN2
IFFO2,IFFO2
SNORD38C,SNORD38C
PTGS2,PTGS2
NKAIN1,NKAIN1
U6,U6
HHIPL2,HHIPL2
Metazoa_SRP,Metazoa_SRP
PSMA5,PSMA5
LPAR3,LPAR3
SYNC,SYNC
NBEAL2,NBEAL2
PLA2G4A,PLA2G4A
ILDR1,ILDR1
TAF1A,TAF1A
C1H1orf210,C1orf210
EPHB1,EPHB1
LRRC7,LRRC7
ALDH4A1,ALDH4A1
TBCE,TBCE
U6,U6
PRR20G,PRR20G
MTHFR,MTHFR
U6,U6
SSX2IP,SSX2IP
UBE2E2,UBE2E2
SORT1,SORT1
SCP2,SCP2
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
CLCC1,CLCC1
MIA3,MIA3
U3,U3
Y_RNA,Y_RNA
TAS1R2,TAS1R2
PUM1,PUM1
CTBS,CTBS
U6,U6
AKNAD1,AKNAD1
MAB21L3,MAB21L3
U6,U6
CFAP57,CFAP57
SPATA1,SPATA1
SLC15A2,SLC15A2
AGTRAP,AGTRAP
PLXNA1,PLXNA1
MYBPHL,MYBPHL
SLC45A1,SLC45A1
PAX7,PAX7
ZBED2,ZBED2
DRAXIN,DRAXIN
DEPDC1,DEPDC1
NID1,NID1
Y_RNA,Y_RNA
SLC22A15,SLC22A15
Metazoa_SRP,Metazoa_SRP
GPSM2,GPSM2
GPR161,GPR161
COL6A2,COL6A2
PARL,PARL
AIDA,AIDA
PSRC1,PSRC1
DNASE2B,DNASE2B
KLHDC7A,KLHDC7A
NECTIN3,NECTIN3
STXBP3,STXBP3
ZBTB8OS,ZBTB8OS
BROX,BROX
RPE65,RPE65
Y_RNA,Y_RNA
NHLH2,NHLH2
Metazoa_SRP,Metazoa_SRP
IGSF21,IGSF21
CREB5,CREB5
CACNA1D,CACNA1D
CASQ2,CASQ2
SAMD13,SAMD13
CELSR2,CELSR2
ERRFI1,ERRFI1
FBXO6,FBXO6
ZBTB8A,ZBTB8A
DISP1,DISP1
FNDC7,FNDC7
VANGL1,VANGL1
PRKACB,PRKACB
SDC3,SDC3
JAZF1,JAZF1
CHCHD6,CHCHD6
EAF2,EAF2
NGF,NGF
FBXO44,FBXO44
EBNA1BP2,EBNA1BP2
ECHDC2,ECHDC2
Y_RNA,Y_RNA
SARS1,SARS1
WLS,WLS
TLR5,TLR5
U6,U6
ZNF385D,ZNF385D
IQCB1,IQCB1
ZYG11A,ZYG11A
TNFRSF9,TNFRSF9
U6,U6
HENMT1,HENMT1
DPPA4,DPPA4
LAPTM5,LAPTM5
LDLRAD2,LDLRAD2
ABCC5,ABCC5
Metazoa_SRP,Metazoa_SRP
SUSD4,SUSD4
UTS2,UTS2
U6,U6
U6,U6
TTLL7,TTLL7
C2H3orf85,C3orf85
ZYG11B,ZYG11B
GGPS1,GGPS1
SLC2A1,SLC2A1
GOLGB1,GOLGB1
MATN1,MATN1
FBXO2,FBXO2
CFAP276,CFAP276
TAX1BP1,TAX1BP1
EEIG2,EEIG2
PSMG1,PSMG1
SETD2,SETD2
ARID4B,ARID4B
Metazoa_SRP,Metazoa_SRP
U3,U3
U7,U7
GUCA1C,GUCA1C
GADD45A,GADD45A
USP48,USP48
TRAT1,TRAT1
Metazoa_SRP,Metazoa_SRP
ZNF691,ZNF691
SHISAL2A,SHISAL2A
DISP3,DISP3
RETNLB,RETNLB
GPX7,GPX7
RBM34,RBM34
ETS2,ETS2
HIBADH,HIBADH
SEC16B,SEC16B
IL12RB2,IL12RB2
UBIAD1,UBIAD1
Y_RNA,Y_RNA
DZIP3,DZIP3
VAMP3,VAMP3
IMPG2,IMPG2
SNORA14B,SNORA14B
COL6A1,COL6A1
IL23R,IL23R
Metazoa_SRP,Metazoa_SRP
