Gene name,Macaque gene name
BCL9,BCL9
C3orf22,C2H3orf22
RIMS3,RIMS3
SLC27A3,SLC27A3
F5,F5
CEP104,CEP104
OLFML2B,OLFML2B
OXNAD1,OXNAD1
CCDC24,CCDC24
SLAMF8,SLAMF8
C1orf116,C1H1orf116
Metazoa_SRP,Metazoa_SRP
CACHD1,CACHD1
Metazoa_SRP,Metazoa_SRP
KIAA0040,KIAA0040
RNU6-999P,U6
PCCB,PCCB
B4GALT2,B4GALT2
U6,U6
VHL,VHL
Y_RNA,Y_RNA
LRRC42,LRRC42
LRRC31,LRRC31
PADI3,PADI3
NMNAT2,NMNAT2
TENT5C,TENT5C
RNU6-1089P,U6
GPR149,GPR149
INTS3,INTS3
U6,U6
OR2T27,OR2T27
INKA2,INKA2
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
LEFTY2,LEFTY2
ATF6,ATF6
Metazoa_SRP,Metazoa_SRP
MME,MME
PADI1,PADI1
MAN1A2,MAN1A2
PFKFB2,PFKFB2
IRAK2,IRAK2
RNU7-62P,U7
IFT25,IFT25
ZNF684,ZNF684
CHD1L,CHD1L
ARHGEF2,ARHGEF2
LRRC47,LRRC47
RAP1A,RAP1A
STT3B,STT3B
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
DPH2,DPH2
Metazoa_SRP,Metazoa_SRP
Y_RNA,Y_RNA
STRIT1,STRIT1
U6,U6
UBE2U,UBE2U
UROC1,UROC1
SELP,SELP
RN7SL372P,Metazoa_SRP
RN7SL574P,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
PHLDB2,PHLDB2
SMIM1,SMIM1
EXO5,EXO5
FCRL6,FCRL6
SDE2,SDE2
DPH3,DPH3
TNR,TNR
PADI2,PADI2
STIL,STIL
RNU6-151P,U6
SAMD7,SAMD7
TATDN2,TATDN2
NPR1,NPR1
ROR1,ROR1
DIO1,DIO1
CCDC27,CCDC27
HNRNPU,HNRNPU
VTCN1,VTCN1
GALNT15,GALNT15
TMIGD3,TMIGD3
USP33,USP33
OR9G1,OR9G1
SELL,SELL
KHDC4,KHDC4
YOD1,YOD1
IPO13,IPO13
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
SMG7,SMG7
Y_RNA,Y_RNA
OR14I1,OR14I1
SNORA80E,SNORA80E
SELE,SELE
SEC62,SEC62
ZXDC,ZXDC
GHRL,GHRL
GADL1,GADL1
ACBD3,ACBD3
RNU6-792P,U6
RIT1,RIT1
ARTN,ARTN
C1orf162,C1H1orf162
OR2T10,OR2T10
TRIM45,TRIM45
METTL18,METTL18
FMO5,FMO5
Metazoa_SRP,Metazoa_SRP
PLCH1,PLCH1
ATP13A2,ATP13A2
SNAPIN,SNAPIN
SMAP2,SMAP2
TP73,TP73
ATP5PB,ATP5PB
NDC1,NDC1
OR2T1,OR2T1
TAL1,PDZK1IP1
OR2T6,OR2T6
FIRRM,FIRRM
ZZZ3,ZZZ3
SEC13,SEC13
SYT11,SYT11
DUSP23,DUSP23
TGFBR2,TGFBR2
CHTOP,CHTOP
Metazoa_SRP,Metazoa_SRP
COL9A2,COL9A2
CYP4A45P,CYP4A11
OR2M4,OR2M4
Metazoa_SRP,Metazoa_SRP
U6,U6
COX20,COX20
CD101,CD101
Metazoa_SRP,Metazoa_SRP
ST3GAL3,ST3GAL3
PRKAB2,PRKAB2
LIN9,LIN9
CRP,CRP
CFAP100,CFAP100
U3,U3
OR2L13,OR2L13
GLIS1,GLIS1
ZMPSTE24,ZMPSTE24
CYP4X1,CYP4X1
RN7SL370P,Metazoa_SRP
STAG1,STAG1
GPR160,GPR160
APCS,APCS
S100A1,S100A1
Y_RNA,Y_RNA
C4BPB,C4BPB
SCYL3,SCYL3
Metazoa_SRP,Metazoa_SRP
PTGFRN,PTGFRN
Metazoa_SRP,Metazoa_SRP
RNU4-38P,U4
Y_RNA,Y_RNA
MFAP2,MFAP2
RNU7-95P,U7
U1,U1
S100A16,S100A16
DESI2,DESI2
CYP4A11,CYP4A45
OVGP1,OVGP1
DMRTB1,DMRTB1
COP1,COP1
GON4L,GON4L
CD2,CD2
S100A2,S100A2
AK5,AK5
Y_RNA,Y_RNA
RN7SL333P,Metazoa_SRP
CYP4B1,CYP4B1
Metazoa_SRP,Metazoa_SRP
S100A3,S100A3
FCER1A,FCER1A
U6,U6
KLF15,KLF15
Metazoa_SRP,Metazoa_SRP
TMCO2,TMCO2
PHC3,PHC3
CIMAP3,CIMAP3
PARP1,PARP1
ATP2B2,ATP2B2
S100A4,S100A4
Metazoa_SRP,Metazoa_SRP
NCF2,NCF2
OR2W3,OR2W3
KDM4A,KDM4A
IGSF3,IGSF3
S100A5,S100A5
RLF,RLF
TPRG1L,TPRG1L
ANKRD28,ANKRD28
TRIM58,TRIM58
U1,U1
ACKR1,ACKR1
SCARNA3,SCARNA3
RNU7-8P,U7
CD55,CD55
Y_RNA,Y_RNA
U1,U1
Metazoa_SRP,Metazoa_SRP
U6,U6
RBMS3,RBMS3
U3,U3
U1,U1
PIGK,PIGK
OR11L1,OR11L1
STUM,STUM
U1,U1
Metazoa_SRP,Metazoa_SRP
OR9H1P,OR9H1P
CHIA,CHIA
CADM3,CADM3
CD58,CD58
KIFAP3,KIFAP3
OR1C1,OR1C1
ST6GALNAC5,ST6GALNAC5
ITPKB,ITPKB
RNU6-315P,U6
OR14K1,OR14K1
HJV,HJV
U7,U7
PAPPA2,PAPPA2
OR14A2,OR14A2
ARPC5,ARPC5
ZBED2,ZBED2
OR6F1,OR6F1
RN7SL44P,Metazoa_SRP
RNU6-161P,U6
OR13G1,OR13G1
HYI,HYI
CATSPERE,CATSPERE
TXNIP,TXNIP
AIM2,AIM2
PRKCI,PRKCI
Y_RNA,Y_RNA
ST6GALNAC3,ST6GALNAC3
PPT1,PPT1
RNU6-817P,U6
ALDH1L1,ALDH1L1
PSEN2,PSEN2
CD96,CD96
RNU6-481P,U6
POLR3GL,POLR3GL
GCSAML,GCSAML
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
CFAP126,CFAP126
CHI3L2,CHI3L2
ASB17,ASB17
SKIL,SKIL
RGL1,RGL1
COQ8A,COQ8A
RN7SL715P,Metazoa_SRP
ATP1A1,ATP1A1
ANKRD34A,ANKRD34A
Metazoa_SRP,Metazoa_SRP
OR2C3,OR2C3
TEX38,TEX38
CLDN11,CLDN11
RN7SL130P,Metazoa_SRP
OR2B11,OR2B11
LIX1L,LIX1L
IFI16,IFI16
S100A8,S100A8
MSH4,MSH4
RNU7-123P,U7
LRP8,LRP8
RNU6-1284P,U6
SLC7A14,SLC7A14
Y_RNA,Y_RNA
MIR885,mml-mir-885
S100A12,S100A12
CR2,CR2
MOB3C,MOB3C
MEGF6,MEGF6
BTD,BTD
RN7SL269P,Metazoa_SRP
RBM8A,RBM8A
S100A9,S100A9
DENND2D,DENND2D
SLC35G2,SLC35G2
NLRP3,NLRP3
C3orf33,C2H3orf33
Metazoa_SRP,Metazoa_SRP
APOBEC4,APOBEC4
NTMT2,NTMT2
MPZ,MPZ
NECTIN3,NECTIN3
PGLYRP4,PGLYRP4
PYHIN1,PYHIN1
GORAB,GORAB
SLC6A11,SLC6A11
U3,U3
SZT2,SZT2
SLC33A1,SLC33A1
Y_RNA,Y_RNA
ASTN1,ASTN1
PEX11B,PEX11B
RNU6-160P,U6
NCK1,NCK1
MAB21L3,MAB21L3
OR6N2,OR6N2
ZNF496,ZNF496
COLGALT2,COLGALT2
PGLYRP3,PGLYRP3
CEPT1,CEPT1
CAP1,CAP1
RPL22L1,RPL22L1
MKNK1,MKNK1
RNU1-30P,U1
OR6N1,OR6N1
PRRX1,PRRX1
U6,U6
SLC22A15,SLC22A15
DAP3,DAP3
Y_RNA,Y_RNA
OR6K6,OR6K6
IL20RB,IL20RB
CDC42BPA,CDC42BPA
GMPS,GMPS
ACADM,ACADM
OR6K3,OR6K3
EIF5A2,EIF5A2
ZNF124,ZNF124
Y_RNA,Y_RNA
PRR9,PRR9
MROH9,MROH9
CR1,CR1
SLC6A1,SLC6A1
RNU1-70P,U1
HACL1,HACL1
ITGA10,ITGA10
NR1I3,NR1I3
CLDN18,CLDN18
LRIF1,LRIF1
SPTA1,SPTA1
CASQ2,CASQ2
SLC41A3,SLC41A3
U3,U3
MFSD2A,MFSD2A
SLC2A2,SLC2A2
FMO3,FMO3
ZCWPW2,ZCWPW2
DPPA4,DPPA4
TSEN15,TSEN15
SPRR3,SPRR3
ZNF670,ZNF670
ALG6,ALG6
DZIP1L,DZIP1L
Y_RNA,Y_RNA
AZI2,AZI2
RNU6-1236P,U6
VANGL1,VANGL1
Y_RNA,Y_RNA
SMCP,SMCP
Y_RNA,Y_RNA
U7,U7
RN7SL654P,Metazoa_SRP
FMO2,FMO2
Metazoa_SRP,Metazoa_SRP
C3orf85,C2H3orf85
FOXD3,FOXD3
U7,U7
KCNAB1,KCNAB1
MYCL,MYCL
C1orf21,C1H1orf21
Metazoa_SRP,Metazoa_SRP
LCE1C,LCE1C
OR10Z1,OR10Z1
NGF,NGF
ATG4C,ATG4C
CD53,CD53
KNCN,KNCN
OR6Y1,OR6Y1
TSPAN2,TSPAN2
EOMES,EOMES
FMO1,FMO1
Metazoa_SRP,Metazoa_SRP
ADSS2,ADSS2
Y_RNA,Y_RNA
ROPN1B,ROPN1B
HRH1,HRH1
KPRP,KPRP
RNU1-96P,U1
TRIT1,TRIT1
EDEM3,EDEM3
SPMIP3,SPMIP3
CR1L,CR1L
TSHB,TSHB
Metazoa_SRP,Metazoa_SRP
OSBPL11,OSBPL11
SNORD45B,SNORD45B
DBR1,DBR1
OR10K2,OR10K2
SNORD45A,SNORD45A
FAAH,UQCRH
SNORD45C,SNORD45C
Y_RNA,Y_RNA
DOCK7,DOCK7
SYCP1,SYCP1
KCNA3,KCNA3
MIR488,mml-mir-488
TNIK,TNIK
BRINP2,BRINP2
Y_RNA,Y_RNA
DMBX1,DMBX1
AHCTF1,AHCTF1
ATG7,ATG7
CD1E,CD1E
Metazoa_SRP,Metazoa_SRP
KCNA2,KCNA2
RN7SL148P,Metazoa_SRP
SLC44A5,SLC44A5
RN7SL110P,Metazoa_SRP
SNX4,SNX4
SSR3,SSR3
CD46,CD46
SIKE1,SIKE1
Y_RNA,Y_RNA
EAF1,EAF1
LCE5A,LCE5A
ZBTB18,ZBTB18
SEC16B,SEC16B
KCNA10,KCNA10
FMO4,FMO4
U6,U6
SLC4A7,SLC4A7
TIPARP,TIPARP
CRNN,CRNN
Metazoa_SRP,Metazoa_SRP
PROK1,PROK1
U6,U6
METTL6,METTL6
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
U6,U6
PRRC2C,PRRC2C
LAMTOR5,LAMTOR5
ARMC8,ARMC8
RNU6-454P,U6
CD1B,CD1B
Y_RNA,Y_RNA
LEKR1,LEKR1
NIBAN1,NIBAN1
RPTN,RPTN
PPIE,PPIE
CSDE1,CSDE1
Metazoa_SRP,Metazoa_SRP
AKT3,AKT3
U6,U6
SH3BP5,SH3BP5
VGLL4,VGLL4
Metazoa_SRP,Metazoa_SRP
U3,U3
MIR29C,MIR29C
MYOCOS,MYOCOS
TCHHL1,TCHHL1
RASAL2,RASAL2
GUCA1C,GUCA1C
APOA2,APOA2
ARHGEF16,ARHGEF16
MYOC,MYOC
ASH1L,ASH1L
MIR29B2,mml-mir-29b-2
RNU7-121P,U7
LRRC41,LRRC41
5S_rRNA,5S_rRNA
RNU6-622P,U6
U7,U7
SLC16A4,SLC16A4
HPCAL4,HPCAL4
CD1C,CD1C
TAMM41,TAMM41
ANGPTL3,ANGPTL3
TRAT1,TRAT1
VAMP4,VAMP4
NT5C1A,NT5C1A
USP1,USP1
ZNF148,ZNF148
RNF2,RNF2
CAPN7,CAPN7
LHX8,LHX8
S100A10,S100A10
SPATA21,SPATA21
HEYL,HEYL
FCER1G,FCER1G
PRDM16,PRDM16
MED8,MED8
POLR3C,POLR3C
RETNLB,RETNLB
RN7SL147P,Metazoa_SRP
JMJD4,JMJD4
KANK4,KANK4
NME9,NME9
METTL13,METTL13
CD1D,CD1D
Metazoa_SRP,Metazoa_SRP
PABPC4,PABPC4
CCNL1,CCNL1
RNU6-371P,U6
CD34,CD34
Y_RNA,Y_RNA
RNF115,RNF115
RAD54L,RAD54L
L1TD1,L1TD1
MRAS,MRAS
SNORA55,SNORA55
RBM15,RBM15
TRMT1L,TRMT1L
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
FBXO42,FBXO42
SNAP47,SNAP47
RNU6-1297P,U6
ACTRT2,ACTRT2
Metazoa_SRP,Metazoa_SRP
SLC12A8,SLC12A8
RNU6-106P,U6
TYW3,TYW3
ADAMTS4,ADAMTS4
LURAP1,LURAP1
RNY1P13,Y_RNA
Y_RNA,Y_RNA
PDZK1,PDZK1
KIRREL1,KIRREL1
CLEC20A,CLEC20A
ESYT3,ESYT3
SYN2,SYN2
DNM3,DNM3
DZIP3,DZIP3
PLXNA2,PLXNA2
NRAS,NRAS
RORC,RORC
PRSS38,PRSS38
U3,U3
CPT2,CPT2
SDCCAG8,SDCCAG8
PATJ,PATJ
RUSC1,RUSC1
CPLANE2,CPLANE2
MMEL1,MMEL1
VEPH1,VEPH1
RNU6-230P,U6
CDC20,CDC20
MIR205,mml-mir-205
RN7SL432P,Metazoa_SRP
PPOX,PPOX
COL6A5,COL6A5
WNT9A,WNT9A
KCNC4,KCNC4
ARHGEF19,ARHGEF19
CAMK1G,CAMK1G
SWT1,SWT1
CD160,CD160
AMPD1,AMPD1
TEX35,TEX35
HEG1,HEG1
LINGO4,LINGO4
WNT3A,WNT3A
CEP70,CEP70
CD5L,CD5L
POMGNT1,POMGNT1
SLC1A7,SLC1A7
ERICH3,CRYZ
ARF1,ARF1
MPL,MPL
PTX3,PTX3
Metazoa_SRP,Metazoa_SRP
COL6A6,COL6A6
TDRKH,TDRKH
EPHA2,EPHA2
LAMB3,LAMB3
MUC13,MUC13
RN7SL180P,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
B4GALT3,B4GALT3
MIR569,mml-mir-569
CIP2A,CIP2A
FCRL1,FCRL1
RNU6-1177P,U6
SLC6A17,SLC6A17
RNU6-414P,U6
MIR214,mml-mir-214
TIE1,TIE1
DENND2C,DENND2C
USP21,USP21
U6,U6
MIR199A2,mml-mir-199a-1
PODN,PODN
MACF1,MACF1
PKLR,PKLR
RNU6-157P,U6
TM2D1,TM2D1
TIMP4,TIMP4
ITGB5,ITGB5
GUK1,GUK1
ALX3,ALX3
Y_RNA,Y_RNA
UFC1,UFC1
SNORA70,SNORA70
Metazoa_SRP,Metazoa_SRP
C1orf105,C1H1orf105
FAIM,FAIM
SHOX2,SHOX2
OAZ3,OAZ3
Y_RNA,Y_RNA
PIK3R4,PIK3R4
DEDD,DEDD
G0S2,G0S2
BCAS2,BCAS2
RALGPS2,RALGPS2
HCN3,HCN3
C1orf210,C1H1orf210
FAM131C,FAM131C
SCCPDH,SCCPDH
FCRL3,FCRL3
HSD11B1,HSD11B1
TSPAN1,TSPAN1
PLD1,PLD1
TMEM125,TMEM125
UMPS,UMPS
CLK2,CLK2
IVNS1ABP,IVNS1ABP
NIT1,NIT1
PIGC,PIGC
PPARG,PPARG
MYH15,MYH15
PIK3CB,PIK3CB
FCRL4,FCRL4
HES5,HES5
MRPL9,MRPL9
TRIM33,TRIM33
CFAP57,CFAP57
PFDN2,PFDN2
IBA57,IBA57
RNU7-183P,U7
PANK4,PANK4
CNST,CNST
RNU6-662P,U6
Metazoa_SRP,Metazoa_SRP
NEK10,NEK10
Y_RNA,Y_RNA
MIR4677,MIR4677
SCAMP3,SCAMP3
NFIA,NFIA
TRAF3IP3,TRAF3IP3
Metazoa_SRP,Metazoa_SRP
STRIP1,STRIP1
RSRC1,RSRC1
KLHDC9,KLHDC9
RIIAD1,RIIAD1
SUCO,SUCO
FOXL2NB,FOXL2NB
PLCH2,PLCH2
PIK3R3,PIK3R3
EBNA1BP2,EBNA1BP2
RNU6-608P,U6
PRR23A,PRR23A
NECTIN4,NECTIN4
HHLA2,HHLA2
TFB2M,TFB2M
CEP170,CEP170
SCP2,SCP2
TSEN2,TSEN2
ATP2C1,ATP2C1
CELF3,CELF3
ANGPTL1,ANGPTL1
Metazoa_SRP,Metazoa_SRP
TNNI3K,FPGT
CFAP144,CFAP144
AKIRIN1,AKIRIN1
C1orf74,C1H1orf74
HMCN1,HMCN1
ARHGAP30,ARHGAP30
Metazoa_SRP,Metazoa_SRP
FASLG,FASLG
IFT57,IFT57
IRF6,IRF6
FCRL5,FCRL5
Y_RNA,Y_RNA
FAM20B,FAM20B
TNFSF18,TNFSF18
U6,U6
USF1,USF1
GBA1,GBA1
5S_rRNA,5S_rRNA
RHBDL2,RHBDL2
SYT6,SYT6
UTP25,UTP25
RNU6-377P,U6
SEC22B,SEC22B
MRPS22,MRPS22
MLF1,MLF1
RNU6-605P,U6
RNU6-880P,U6
TNFSF4,TNFSF4
Metazoa_SRP,Metazoa_SRP
RER1,RER1
U6,U6
SNX27,SNX27
MKRN2OS,MKRN2OS
TSTD1,TSTD1
TOR3A,TOR3A
SMYD3,SMYD3
Metazoa_SRP,Metazoa_SRP
PRG4,PRG4
C1orf87,C1H1orf87
SLC2A1,SLC2A1
TMEM212,TMEM212
U6,U6
F11R,F11R
PRDX6,PRDX6
RRAGC,RRAGC
COPB2,COPB2
SYT14,SYT14
Metazoa_SRP,Metazoa_SRP
RN7SL475P,Metazoa_SRP
U6,U6
MTX1,MTX1
RNU6-753P,U6
FNDC3B,FNDC3B
Metazoa_SRP,Metazoa_SRP
MKRN2,MKRN2
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
CD47,CD47
CYP2J2,CYP2J2
SLC9C2,SLC9C2
KALRN,KALRN
ITLN1,ITLN1
ZNF691,ZNF691
PLD5,PLD5
ASTE1,ASTE1
TPR,TPR
ETV3,ETV3
U6,U6
ABL2,ABL2
HSPB7,HSPB7
UTP11,UTP11
RNU6-1283P,U6
CD244,CD244
ETV3L,ETV3L
ECHDC2,ECHDC2
HIPK1,HIPK1
ERMAP,ERMAP
RN7SL141P,Metazoa_SRP
MAST2,MAST2
U6,U6
SRARP,SRARP
PEX10,PEX10
HOOK1,HOOK1
LRRC53,LRRC53
Metazoa_SRP,Metazoa_SRP
NOTCH2,NOTCH2
GHSR,GHSR
RBP2,RBP2
BECN2,BECN2
GFM1,GFM1
SVBP,SVBP
AHCYL1,AHCYL1
RAF1,RAF1
SERTAD4,SERTAD4
Metazoa_SRP,Metazoa_SRP
ZBTB17,ZBTB17
TNFSF10,TNFSF10
ANKRD45,ANKRD45
EXO1,EXO1
RNU6-342P,U6
FHL3,FHL3
LRRIQ3,LRRIQ3
TEX50,TEX50
Metazoa_SRP,Metazoa_SRP
RNU6-510P,U6
C1orf50,C1H1orf50
THBS3,THBS3
FGGY,FGGY
LRRC3B,LRRC3B
RNU6-1246P,U6
CSF1,CSF1
LXN,LXN
WDR64,WDR64
KLHL20,KLHL20
SPEN,SPEN
RARRES1,RARRES1
TMEM40,TMEM40
BBX,BBX
SLAMF7,SLAMF7
MORN1,MORN1
NEGR1,NEGR1
ZYG11A,ZYG11A
OXSM,OXSM
NCEH1,NCEH1
NMNAT3,RBP1
HHAT,HHAT
EPS8L3,EPS8L3
P3H1,P3H1
RNU6-547P,U6
SF3A3,SF3A3
RNU6-726P,U6
AP4B1,AP4B1
ARHGEF11,ARHGEF11
Metazoa_SRP,Metazoa_SRP
CENPL,CENPL
RN7SL724P,Metazoa_SRP
MFSD1,MFSD1
ODR4,ODR4
OPN3,OPN3
CAND2,CAND2
NGLY1,NGLY1
CLSTN2,CLSTN2
Metazoa_SRP,Metazoa_SRP
FBLIM1,FBLIM1
Y_RNA,Y_RNA
JUN,JUN
Metazoa_SRP,Metazoa_SRP
TMEM82,TMEM82
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
MIR186,mml-mir-186
ECT2,ECT2
RNU6-969P,U6
TRIM11,TRIM11
GSTM3,GSTM3
U4,U4
U5,U5
PDC,PDC
TRIM42,TRIM42
U2,U2
SLC25A34,SLC25A34
RN7SL62P,Metazoa_SRP
PTGS2,PTGS2
CD48,CD48
TRIM17,TRIM17
COA7,COA7
CCDC54,CCDC54
KMO,KMO
MYSM1,MYSM1
TOP2B,TOP2B
DARS2,DARS2
SKI,SKI
SLC25A36,SLC25A36
PLA2G4A,PLA2G4A
PTGER3,PTGER3
Metazoa_SRP,Metazoa_SRP
DCLRE1B,DCLRE1B
RNU6-1308P,U6
MRPL3,MRPL3
KCNH1,KCNH1
Metazoa_SRP,Metazoa_SRP
H2BC26,H2BC26
CLDN19,CLDN19
SHISAL2A,SHISAL2A
Metazoa_SRP,Metazoa_SRP
SLAMF1,SLAMF1
BCL2L15,BCL2L15
Y_RNA,Y_RNA
ADAM30,ADAM30
RNF187,RNF187
U4,U4
U6,U6
PLEKHM2,PLEKHM2
Y_RNA,Y_RNA
GNB1,GNB1
RARB,RARB
5S_rRNA,5S_rRNA
FH,FH
5S_rRNA,5S_rRNA
BRINP3,BRINP3
GPX7,GPX7
INPP5B,INPP5B
REG4,REG4
5S_rRNA,5S_rRNA
Metazoa_SRP,Metazoa_SRP
U7,U7
5S_rRNA,5S_rRNA
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
SNORA58,SNORA58
5S_rRNA,5S_rRNA
PXYLP1,PXYLP1
Metazoa_SRP,Metazoa_SRP
RN7SL216P,Metazoa_SRP
5S_rRNA,5S_rRNA
SNORD81,SNORD81
5S_rRNA,5S_rRNA
MUC1,MUC1
IQSEC1,IQSEC1
CD84,CD84
SCHIP1,SCHIP1
PPIH,PPIH
RNU6-584P,U6
SNORD79,SNORD79
HMGCS2,HMGCS2
SOAT1,SOAT1
DDR2,DDR2
CPNE4,CPNE4
RGS18,RGS18
CTH,CTH
SNORD24,SNORD24
THRB,THRB
OMA1,OMA1
ZBTB38,ZBTB38
NADK,NADK
CBLB,CBLB
MTF1,MTF1
PTPN22,PTPN22
RCOR3,RCOR3
Metazoa_SRP,Metazoa_SRP
SNORA72,SNORA72
RGS21,RGS21
ZBTB37,ZBTB37
SLAMF6,SLAMF6
RN7SL861P,Metazoa_SRP
PHGDH,PHGDH
SPATA16,SPATA16
IL12A,IL12A
RN7SL713P,Metazoa_SRP
RGS1,RGS1
RGS7,RGS7
VANGL2,VANGL2
SERPINC1,SERPINC1
Metazoa_SRP,Metazoa_SRP
RNU4-42P,U4
SNORD36,SNORD36
NHLH1,NHLH1
RGS13,RGS13
RNF7,RNF7
U6,U6
SLC35E2B,SLC35E2
DAB1,DAB1
CCDC30,CCDC30
TUT4,TUT4
Metazoa_SRP,Metazoa_SRP
NLGN1,NLGN1
RGS2,RGS2
UAP1,UAP1
RC3H1,RC3H1
ANKRD13C,ANKRD13C
GRK7,GRK7
TRAF5,TRAF5
NCSTN,NCSTN
RN7SL612P,Metazoa_SRP
ALCAM,ALCAM
NR1D2,NR1D2
AXDND1,AXDND1
ACP3,ACP3
IFT80,IFT80
RSBN1,RSBN1
LRRC71,LRRC71
YRDC,YRDC
HSD3B1,HSD3B1
ATP1B3,ATP1B3
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
RNU1-43P,U1
AMPD2,AMPD2
RSC1A1,RSC1A1
NUP210,NUP210
SRSF11,SRSF11
5S_rRNA,5S_rRNA
UCHL5,UCHL5
ROPN1,ROPN1
RD3,RD3
Metazoa_SRP,Metazoa_SRP
RPL15,RPL15
RNU6-509P,U6
Metazoa_SRP,Metazoa_SRP
NPHS2,NPHS2
U7,U7
RNU6-461P,U6
MANEAL,MANEAL
SLC30A1,SLC30A1
AGMAT,AGMAT
HSD3B2,HSD3B2
MMP23B,MMP23
RNU5F-2P,U5
PEAR1,PEAR1
LRRC40,LRRC40
NEK2,NEK2
NKIRAS1,NKIRAS1
C8B,C8B
HAO2,HAO2
DNAJC16,DNAJC16
Metazoa_SRP,Metazoa_SRP
NAALADL2,NAALADL2
PHTF1,PHTF1
GNAT2,GNAT2
COPA,COPA
U6,U6
MIB2,MIB2
TDRD5,TDRD5
TFDP2,TFDP2
ZPLD1,ZPLD1
MIR197,MIR197
GREM2,GREM2
PPCS,PPCS
RN7SL242P,Metazoa_SRP
CCDC14,CCDC14
RNU1-75P,U1
LPGAT1,LPGAT1
TRIM46,TRIM46
GNAI3,GNAI3
C8A,C8A
UHMK1,UHMK1
DNAJC13,DNAJC13
ZMYND12,ZMYND12
SMC4,SMC4
CDCA8,CDCA8
RABGAP1L,RABGAP1L
U6,U6
SCARNA18B,SCARNA18B
RN7SL344P,Metazoa_SRP
AMIGO1,AMIGO1
FAM163A,FAM163A
FYB2,FYB2
Y_RNA,Y_RNA
CASP9,CASP9
Metazoa_SRP,Metazoa_SRP
RNU6-788P,U6
CHRM3,CHRM3
Y_RNA,Y_RNA
AIRIM,AIRIM
