Gene name,Human gene name
EPHB3,EPHB3
CCDC24,CCDC24
S100A13,S100A13
AGO4,AGO4
S100A14,S100A14
MSL2,MSL2
B4GALT2,B4GALT2
FAM43B,FAM43B
S100A16,S100A16
CDC42BPA,CDC42BPA
DNAH1,DNAH1
ZNF436,ZNF436
MAGEF1,MAGEF1
S100A2,S100A2
MUL1,MUL1
PHC3,PHC3
SDCCAG8,SDCCAG8
S100A3,S100A3
GLUL,GLUL
CAMK2N1,CAMK2N1
S100A4,S100A4
DPH2,DPH2
HNRNPR,HNRNPR
S100A5,S100A5
S100A6,S100A6
TEDDM1,TEDDM1
PCCB,PCCB
FCAMR,FCAMR
Metazoa_SRP,RN7SL44P
VWA5B1,VWA5B1
GJA5,GJA5
CLSPN,CLSPN
C1H1orf116,C1orf116
Metazoa_SRP,RN7SL261P
HTR1D,HTR1D
YOD1,YOD1
RGSL1,RGSL1
ATF3,ATF3
U6,RNU6-135P
U6,RNU6-514P
CHL1,CHL1
GARIN4,GARIN4
USP24,USP24
LUZP1,LUZP1
GCLM,GCLM
BAP1,BAP1
U6,RNU6-315P
IPO13,IPO13
PFKFB2,PFKFB2
UBXN10,UBXN10
C1H1orf54,C1orf54
BATF3,BATF3
S100A8,S100A8
PLA2G2C,PLA2G2C
C1H1orf216,C1orf216
S100A12,S100A12
S100A9,S100A9
PLA2G2F,PLA2G2F
RNASEL,RNASEL
PGLYRP4,PGLYRP4
NSL1,NSL1
PSMB2,PSMB2
U6,RNU6-160P
PGLYRP3,PGLYRP3
MIR760,MIR760
PLA2G2D,PLA2G2D
C4BPB,C4BPB
KDM1A,KDM1A
MIR4677,MIR4677
RGS16,RGS16
ARTN,ARTN
TFAP2E,TFAP2E
TATDN3,TATDN3
PRR9,PRR9
PLA2G5,PLA2G5
PRKCI,PRKCI
PHF7,PHF7
SPATA45,SPATA45
RGS8,RGS8
PLA2G2A,PLA2G2A
Metazoa_SRP,RN7SL304P
NCDN,NCDN
BCAR3,BCAR3
ZBTB8B,ZBTB8B
Metazoa_SRP,RN7SL122P
FLVCR1,FLVCR1
PLA2G2E,PLA2G2E
VPS8,VPS8
SEMA3G,SEMA3G
ST3GAL3,ST3GAL3
CEP170,CEP170
UTP11,UTP11
OTUD3,OTUD3
SPRR3,SPRR3
VASH2,VASH2
TNNC1,TNNC1
FNBP1L,FNBP1L
BSDC1,BSDC1
RNF186,RNF186
NPL,NPL
HIVEP3,HIVEP3
IVL,IVL
CD55,CD55
SMCP,SMCP
KIAA0319L,KIAA0319L
ANGEL2,ANGEL2
TMCO4,TMCO4
EDN2,EDN2
STAG1,STAG1
FOXO6,FOXO6
LCE1C,LCE1C
Y_RNA,Y_RNA
Y_RNA,Y_RNA
TEX46,TEX46
HTR6,HTR6
Metazoa_SRP,RN7SL120P
NISCH,NISCH
LACTBL1,LACTBL1
KDM4A,KDM4A
KPRP,KPRP
SKIL,SKIL
DHX9,DHX9
SCMH1,SCMH1
CR2,CR2
NBL1,NBL1
CCDC18,CCDC18
GTPBP8,GTPBP8
PLD5,PLD5
CNTN6,CNTN6
CLDN11,CLDN11
MRPS25,MRPS25
TMIGD3,TMIGD3
EPHB2,EPHB2
SLFNL1,SLFNL1
RPS6KC1,RPS6KC1
TSSK3,TSSK3
CR1,CR1
NEPRO,NEPRO
SLC7A14,SLC7A14
FAM229A,FAM229A
U6,RNU6-792P
CRCT1,CRCT1
RBSN,RBSN
LCE5A,LCE5A
C1H1orf162,C1orf162
CTPS1,CTPS1
SHCBP1L,SHCBP1L
BECN2,BECN2
MARCKSL1,MARCKSL1
CRNN,CRNN
CR1L,CR1L
TMED5,TMED5
RUSC1,RUSC1
HDAC1,HDAC1
FLG2,FLG2
EXO1,EXO1
RPL22L1,RPL22L1
LAMC1,LAMC1
U4,RNU4-28P
C1QB,C1QB
EIF5A2,EIF5A2
TRH,TRH
U1,RNU1-70P
APH1A,APH1A
C1QC,C1QC
MTF2,MTF2
LCK,LCK
CITED4,CITED4
SLC2A2,SLC2A2
CAPZB,CAPZB
ACP6,ACP6
WDR64,WDR64
CD46,CD46
KCNQ4,KCNQ4
OVGP1,OVGP1
CNTN4,CNTN4
TMCC1,TMCC1
BCL9,BCL9
PCSK9,PCSK9
Metazoa_SRP,RN7SL326P
U6,U6
Y_RNA,RNY3P13
Y_RNA,Y_RNA
EPHA8,EPHA8
LAMC2,LAMC2
ZMYM4,ZMYM4
STAB1,STAB1
Y_RNA,Y_RNA
FMO5,FMO5
FHL3,FHL3
U6,RNU6-210P
IL5RA,IL5RA
SLC66A1,SLC66A1
KIF15,KIF15
NFYC,NFYC
U6,RNU6-510P
OPN3,OPN3
FAM167B,FAM167B
U6,RNU6-1284P
Metazoa_SRP,RN7SL692P
U6,RNU6-970P
TRNT1,TRNT1
EIF3I,EIF3I
PLXND1,PLXND1
KMO,KMO
LDLRAP1,LDLRAP1
SLC35G2,SLC35G2
ZBTB40,ZBTB40
TMEM234,TMEM234
DIPK1A,DIPK1A
BSND,BSND
EIF2A,EIF2A
CIMAP3,CIMAP3
MIR29C,MIR29C
SF3A3,SF3A3
CRBN,CRBN
mml-mir-29b-2,MIR29B2
PROX1,PROX1
TMEM61,TMEM61
CHD1L,CHD1L
CHIA,CHIA
FH,FH
AKR7A2,AKR7A2
NCK1,NCK1
RPL5,RPL5
mml-mir-30c-1,MIR30C1
IQCC,IQCC
NMNAT2,NMNAT2
CD34,CD34
mml-mir-30e,MIR30E
SNORA66,SNORA66
DHCR24,DHCR24
SNORD21,SNORD21
MACO1,MACO1
SMYD2,SMYD2
IL20RB,IL20RB
RIMS3,RIMS3
LRRN1,LRRN1
C2H3orf70,C3orf70
CHI3L2,CHI3L2
CIMAP2,CIMAP2
H1-8,H1-8
PRKAB2,PRKAB2
PTPN14,PTPN14
PTPRF,PTPRF
RHO,RHO
EHHADH,EHHADH
U6,RNU6-1099P
RGS7,RGS7
WNT4,WNT4
SETMAR,SETMAR
DCDC2B,DCDC2B
AKR7A3,AKR7A3
EVI5,EVI5
INPP5B,INPP5B
PLXNA2,PLXNA2
ZNF684,ZNF684
MRTO4,MRTO4
TGM4,TGM4
Metazoa_SRP,Metazoa_SRP
CCDC28B,CCDC28B
TNIK,TNIK
CENPF,CENPF
EXO5,EXO5
DENND2D,DENND2D
SUMF1,SUMF1
CLDN18,CLDN18
CDC42,CDC42
MAP3K13,MAP3K13
ZFP69B,ZFP69B
CASR,CASR
GREM2,GREM2
TMEM50A,TMEM50A
TXLNA,TXLNA
TTC22,TTC22
U6,RNU6-584P
Metazoa_SRP,RN7SL503P
MTF1,MTF1
EMC1,EMC1
ZDHHC3,ZDHHC3
DZIP1L,DZIP1L
FMN2,FMN2
PARS2,PARS2
C1H1orf122,C1orf122
SMAP2,SMAP2
CELA3B,CELA3A
SFPQ,SFPQ
SMG7,SMG7
YRDC,YRDC
RSRP1,RSRP1
KCNK2,KCNK2
U4,RNU4-59P
MANEAL,MANEAL
RGS4,RGS4
SYF2,SYF2
CA14,CA14
SNAP47,SNAP47
TTC4,TTC4
KPNA6,KPNA6
Y_RNA,Y_RNA
CEPT1,CEPT1
mml-mir-205,MIR205
IFT122,IFT122
Metazoa_SRP,RN7SL605P
EPHA10,EPHA10
COL9A2,COL9A2
Y_RNA,Y_RNA
DBR1,DBR1
GFI1,GFI1
Metazoa_SRP,RN7SL582P
MRPL3,MRPL3
JMJD4,JMJD4
TMEM41A,LIPH
EXOSC7,EXOSC7
CHRM3,CHRM3
TXNIP,TXNIP
CAMK1G,CAMK1G
SNORA58,SNORA58
ZMYM1,ZMYM1
PRSS38,PRSS38
MROH7,MROH7
CDCA8,CDCA8
PHGDH,PHGDH
CLEC3B,CLEC3B
CPNE4,CPNE4
U2,RNU2-17P
WNT9A,WNT9A
HJV,HJV
RUNX3,RUNX3
SELENOT,SELENOT
LYPLAL1,LYPLAL1
SENP2,SENP2
Metazoa_SRP,RN7SL824P
USH2A,USH2A
RGS5,RGS5
WNT3A,WNT3A
ANP32E,ANP32E
AIRIM,AIRIM
POLR3GL,POLR3GL
CDCP1,CDCP1
CLIC4,CLIC4
TMEM39B,TMEM39B
LAMB3,LAMB3
NT5DC2,NT5DC2
ERICH6,ERICH6
ARF1,ARF1
FXR1,FXR1
VPS13D,VPS13D
LRIF1,LRIF1
ACOT11,ACOT11
U6,RNU6-1208P
ZNF697,ZNF697
NUF2,NUF2
IGF2BP2,IGF2BP2
RPAP2,RPAP2
RSPO1,RSPO1
ZMYM6,ZMYM6
SLC30A10,SLC30A10
TMEM158,TMEM158
Metazoa_SRP,RN7SL480P
U3,U3
HSD3B1,HSD3B1
ACP3,ACP3
U3,U3
UQCC5,UQCC5
ZMPSTE24,ZMPSTE24
ZP4,ZP4
ARMC8,ARMC8
KHDRBS1,KHDRBS1
SNORD116,SNORD116
HSD3B2,HSD3B2
SIAH2,SIAH2
TRA2B,TRA2B
PLEKHO1,PLEKHO1
GNL2,GNL2
ANKRD34A,ANKRD34A
FAM151A,FAM151A
PBRM1,PBRM1
U5,RNU5F-6P
SRRM1,SRRM1
TMCO2,TMCO2
NCF2,NCF2
LIX1L,LIX1L
LARS2,LARS2
HAO2,HAO2
MINDY4B,MINDY4B
TMEM35B,TMEM35B
RLF,RLF
GLMN,GLMN
RBM8A,RBM8A
GUK1,GUK1
ESRRG,ESRRG
VPS45,VPS45
CLRN1,CLRN1
ETV5,ETV5
U1,RNU1-75P
RYR2,RYR2
DLGAP3,DLGAP3
U6,RNU6-856P
ARPC5,ARPC5
GJC2,GJC2
Metazoa_SRP,Metazoa_SRP
PTP4A2,PTP4A2
G0S2,G0S2
PPT1,PPT1
NCMAP,NCMAP
IBA57,IBA57
PEX11B,PEX11B
GNL3,GNL3
PBX1,PBX1
DNAJC13,DNAJC13
MED12L,MED12L
HSD11B1,HSD11B1
DNALI1,DNALI1
CD53,CD53
OTUD7B,OTUD7B
LIMD1,LIMD1
SNIP1,SNIP1
LSAMP,LSAMP
ITGA10,ITGA10
SNORD19,SNORD19
MBD4,MBD4
GPATCH2,GPATCH2
SNORD19B,SNORD19B
BTBD8,BTBD8
RCAN3,RCAN3
DGKG,DGKG
SNORD69,SNORD69
GJA4,GJA4
SSBP3,SSBP3
Y_RNA,Y_RNA
TRAF3IP3,TRAF3IP3
RGL1,RGL1
NME9,NME9
GJB3,GJB3
GLT8D1,GLT8D1
GJB4,GJB4
Metazoa_SRP,RN7SL815P
DNAJC19,DNAJC19
KCNA3,KCNA3
EFCAB12,EFCAB12
GJB5,GJB5
MTMR11,MTMR11
WARS2,WARS2
KCNA2,KCNA2
EPRS1,EPRS1
mml-mir-552,MIR552
SPCS1,SPCS1
U6,RNU6-171P
MEAF6,MEAF6
GPR171,GPR171
Metazoa_SRP,Metazoa_SRP
NIPAL3,NIPAL3
GAP43,GAP43
Y_RNA,Y_RNA
P2RY14,P2RY14
SF3B4,SF3B4
KCNA10,KCNA10
H1-10,H1-10
GPR87,GPR87
SPATA17,SPATA17
U6,RNU6-755P
C1H1orf74,C1orf74
NEK4,NEK4
P2RY13,P2RY13
SPOCD1,SPOCD1
LMX1A,LMX1A
CRYGS,CRYGS
P2RY12,P2RY12
IRF6,IRF6
PROK1,PROK1
C1H1orf94,C1orf94
STPG1,STPG1
HMCES,HMCES
SACM1L,SACM1L
SV2A,SV2A
MRAS,MRAS
TBCCD1,TBCCD1
IGSF10,IGSF10
TBX15,TBX15
UTP25,UTP25
UBR4,UBR4
MRPL37,MRPL37
LAMTOR5,LAMTOR5
U1,RNU1-141P
ZC3H12A,ZC3H12A
MTR,MTR
ITIH1,ITIH1
RRP15,RRP15
BOLA1,BOLA1
GRHL3,GRHL3
SLC16A4,SLC16A4
DNAJB11,DNAJB11
H2AC21,H2AC21
CYB5RL,CYB5RL
H2AC20,H2AC20
SETSIP,SETSIP
TGFB2,TGFB2
ZBTB20,ZBTB20
AADACL2,AADACL2
SYT14,SYT14
GRIK3,GRIK3
RXRG,RXRG
AHSG,AHSG
RBM15,RBM15
HSPG2,HSPG2
CDCP2,CDCP2
AADAC,AADAC
ESYT3,ESYT3
POLR3C,POLR3C
COPG1,COPG1
APOBEC4,APOBEC4
SPAG17,SPAG17
MFSD2A,MFSD2A
Metazoa_SRP,RN7SL703P
SUCNR1,SUCNR1
FETUB,FETUB
H3C13,H3C15
COLGALT2,COLGALT2
H2BC18,H2BC18
Metazoa_SRP,RN7SL145P
CSMD2,CSMD2
ACAD11,ACAD11
TCEANC2,TCEANC2
U3,U3
HRG,HRG
CBLB,CBLB
FCGR1A,FCGR1A
SERTAD4,SERTAD4
IFNLR1,IFNLR1
SLC6A20,SLC6A20
TSEN15,TSEN15
LRRC52,LRRC52
RNF115,RNF115
Y_RNA,Y_RNA
CD200R1L,CD200R1L
BRDT,BRDT
DCLK3,DCLK3
KCNC4,KCNC4
MGST3,MGST3
IL22RA1,IL22RA1
Y_RNA,Y_RNA
Y_RNA,Y_RNA
MYCL,MYCL
ITIH3,ITIH3
CCDC80,CCDC80
mml-mir-569,MIR569
TRANK1,TRANK1
TIGIT,TIGIT
TRIM11,TRIM11
HHAT,HHAT
Metazoa_SRP,RN7SL654P
CD160,CD160
SLC6A17,SLC6A17
U1,RNU1-1
C1H1orf21,C1orf21
ADGRB2,ADGRB2
CEP70,CEP70
TMEM59,TMEM59
LZTFL1,LZTFL1
TRIT1,TRIT1
TRIM17,TRIM17
CSF3R,CSF3R
ACKR4,ACKR4
Y_RNA,Y_RNA
DRD3,DRD3
WDR3,WDR3
ALX3,ALX3
PDZK1,PDZK1
UBA5,UBA5
EPM2AIP1,EPM2AIP1
MBNL1,MBNL1
MYOM3,MYOM3
ATP11B,ATP11B
H3-4,H3-4
TMCO1,TMCO1
Y_RNA,Y_RNA
CCR9,CCR9
KCNH1,KCNH1
ACTN2,ACTN2
MLH1,MLH1
H2BC26,H2BC26
Y_RNA,Y_RNA
UCK2,UCK2
CNBP,CNBP
EDEM3,EDEM3
RNF187,RNF187
TGFBR3,TGFBR3
ITPR1,ITPR1
MRPS15,MRPS15
QTRT2,QTRT2
STRIP1,STRIP1
NPHP3,NPHP3
FAM78B,FAM78B
ITIH4,ITIH4
PKLR,PKLR
PPIE,PPIE
SH3GLB1,SH3GLB1
PLD1,PLD1
POGK,POGK
ISY1,ISY1
PIK3CD,PIK3CD
HCN3,HCN3
FYCO1,FYCO1
CCDC191,CCDC191
ALCAM,ALCAM
U7,RNU7-121P
U1,RNU1-28P
HPCAL4,HPCAL4
RCOR3,RCOR3
LRRFIP2,LRRFIP2
CLK2,CLK2
NT5C1A,NT5C1A
ZDHHC23,ZDHHC23
FAIM,FAIM
OSCP1,OSCP1
TADA1,TADA1
GP9,GP9
HEYL,HEYL
LDLRAD1,LDLRAD1
SCAMP3,SCAMP3
DCUN1D1,DCUN1D1
GRAMD1C,GRAMD1C
NIBAN1,NIBAN1
TRAF5,TRAF5
EFCC1,EFCC1
SNORA63,SNORA63C
SRSF10,SRSF10
LRRC42,LRRC42
LSM10,LSM10
PABPC4,PABPC4
Metazoa_SRP,RN7SL653P
TMEM201,TMEM201
ATG3,ATG3
ENTREP3,ENTREP3
RD3,RD3
PNRC2,PNRC2
TMEM108,TMEM108
AHCYL1,AHCYL1
CFAP92,CFAP92
STK40,STK40
CXCR6,CXCR6
IFT25,IFT25
SNORA55,SNORA55
SLC30A1,SLC30A1
BFSP2,BFSP2
GBA1,GBA1
XCR1,XCR1
CLCA4,CLCA4
SNORA59A,SNORA59A
CNR2,CNR2
EVA1B,EVA1B
CDC7,CDC7
HEATR1,HEATR1
RNF2,RNF2
FUCA1,FUCA1
SNORA70,SNORA70
MCCC1,MCCC1
CCR1,CCR1
CD200,CD200
PIK3CB,PIK3CB
SH3D21,SH3D21
NEK2,NEK2
CCR3,CCR3
STIMATE,STIMATE
DIO1,DIO1
CCR2,CCR2
ILDR2,ILDR2
CDV3,CDV3
Y_RNA,Y_RNA
TNFRSF1B,TNFRSF1B
HMGCL,HMGCL
ACAD9,ACAD9
TRMT1L,TRMT1L
U1,RNU1-43P
Y_RNA,Y_RNA
CCR5,CCR5
U6,RNU6-1301P
LPGAT1,LPGAT1
P2RY1,P2RY1
U6,RNU6-461P
CLCA1,CLCA1
CSF1,CSF1
SPSB1,SPSB1
BPNT1,BPNT1
HMGB4,HMGB4
CCRL2,CCRL2
SEC22B,SEC22B
THRAP3,THRAP3
THBS3,THBS3
BTLA,BTLA
Metazoa_SRP,RN7SL344P
DSCAM,DSCAM
NAA50,NAA50
RAP2B,RAP2B
TOPBP1,TOPBP1
HFM1,HFM1
GDAP2,GDAP2
Metazoa_SRP,RN7SL300P
IARS2,IARS2
LAMP3,LAMP3
TNFRSF8,TNFRSF8
H6PD,H6PD
RAB7A,RAB7A
ZSCAN20,ZSCAN20
ZPLD1,ZPLD1
NDC1,NDC1
USF3,USF3
GALE,GALE
SWT1,SWT1
SFMBT1,SFMBT1
FOXL2,FOXL2
U6,RNU6-901P
LTF,LTF
GOLGA4,GOLGA4
HYI,HYI
FOXL2NB,FOXL2NB
U6,RNU6-777P
mml-mir-34a,MIR34A
Y_RNA,Y_RNA
SLC9C1,SLC9C1
Metazoa_SRP,RN7SL698P
U8,U8
GPR157,GPR157
MCF2L2,MCF2L2
PHC2,PHC2
PRR23A,PRR23A
MAEL,MAEL
NOTCH2,NOTCH2
SIDT1,SIDT1
EPS8L3,EPS8L3
PRR23C,PRR23C
MIIP,MIIP
ARHGEF26,ARHGEF26
INTS7,INTS7
LYPLA2,LYPLA2
PCP4,PCP4
mml-mir-194-1,MIR194-1
RPN1,RPN1
MAP7D1,MAP7D1
GPA33,GPA33
Y_RNA,Y_RNA
SZT2,SZT2
IGSF5,IGSF5
A3GALT2,A3GALT2
PCNT,PCNT
ODF2L,ODF2L
Y_RNA,Y_RNA
STYXL2,STYXL2
MRPS22,MRPS22
ZNF644,ZNF644
Y_RNA,Y_RNA
GSTM3,GSTM3
TENT5C,TENT5C
LYST,LYST
DHX36,DHX36
PITHD1,PITHD1
B3GALT5,B3GALT5
ZNF362,ZNF362
NXPE3,NFKBIZ
RTP3,RTP3
SLC2A5,SLC2A5
TMEM212,TMEM212
IVNS1ABP,IVNS1ABP
RAB3GAP2,RAB3GAP2
COL16A1,COL16A1
MFN2,MFN2
GATA2,GATA2
LRRC2,LRRC2
POU2F1,POU2F1
MAN1A2,MAN1A2
NEGR1,NEGR1
COPB2,COPB2
ELOA,ELOA
NR1D2,NR1D2
U7,RNU7-95P
U6,RNU6-678P
B3GNT5,B3GNT5
SLC2A7,SLC2A7
GLIS1,GLIS1
SNORA63,SNORA63E
KLHL6,KLHL6
Metazoa_SRP,RN7SL451P
SPICE1,SPICE1
TRIM62,TRIM62
GET1,SH3BGR
COL24A1,COL24A1
EEFSEC,EEFSEC
DMRTB1,DMRTB1
TF,TF
FNDC3B,FNDC3B
CA6,CA6
RFT1,RFT1
GPR149,GPR149
FAM240A,FAM240A
Metazoa_SRP,Metazoa_SRP
RPL15,RPL15
CEP97,CEP97
GSTM5,GSTM2
C3H21orf58,C21orf58
VTCN1,VTCN1
U7,RNU7-183P
AZIN2,AZIN2
TRAPPC3,TRAPPC3
Y_RNA,Y_RNA
U6,U6
GCSAM,GCSAM
CD247,CD247
U6,RNU6-304P
TRIM45,TRIM45
MACF1,MACF1
CD86,CD86
U6,RNU6-823P
ALS2CL,ALS2CL
Metazoa_SRP,RN7SL141P
NKIRAS1,NKIRAS1
RBP2,RBP2
YBEY,YBEY
SRPRB,SRPRB
GHSR,GHSR
RUVBL1,RUVBL1
C2H3orf52,C3orf52
LRP8,LRP8
TNFSF10,TNFSF10
TTF2,TTF2
HCRTR1,HCRTR1
CREG1,CREG1
CFAP44,CFAP44
ITGA9,ITGA9
ZNHIT6,ZNHIT6
HMCN1,HMCN1
RAB6B,RAB6B
PLOD1,PLOD1
Y_RNA,Y_RNA
PRKCD,PRKCD
RBP1,NMNAT3
U2,RNU2-37P
TMPRSS7,TMPRSS7
MME,MME
AK2,AK2
MCM3AP,MCM3AP
mml-mir-942,MIR942
SEC61A1,SEC61A1
MUC1,MUC1
NCEH1,NCEH1
Metazoa_SRP,RN7SL724P
U6,RNU6-547P
SLCO2A1,SLCO2A1
CD101,CD101
TAGLN3,TAGLN3
YEATS2,YEATS2
SERINC2,TINAGL1
RCSD1,RCSD1
ZBTB11,ZBTB11
LCA5L,LCA5L
CLSTN2,CLSTN2
ECT2,ECT2
ABHD10,ABHD10
Metazoa_SRP,Metazoa_SRP
PTGFRN,PTGFRN
SNORA36B,SNORA36B
Y_RNA,Y_RNA
mml-mir-186,MIR186
RNF19B,RNF19B
Y_RNA,Y_RNA
ADAM30,ADAM30
PRSS50,PRSS50
U6,RNU6-1256P
KBTBD12,KBTBD12
BOC,BOC
CCN1,CCN1
U7,RNU7-73P
PTGER3,PTGER3
RYK,RYK
SNORA72,SNORA72
PCNP,PCNP
DDAH1,DDAH1
TRIM42,TRIM42
CD2,CD2
CTDSPL,CTDSPL
TMEM54,TMEM54
REG4,REG4
GNG4,GNG4
CTH,CTH
SPATA16,SPATA16
MPZL1,MPZL1
TKT,TKT
MARK1,MARK1
MED8,MED8
TRMT10C,TRMT10C
LGALS8,LGALS8
MGLL,MGLL
AMPD2,AMPD2
AMOTL2,AMOTL2
LSS,LSS
Y_RNA,Y_RNA
HMGCS2,HMGCS2
PHLDB2,PHLDB2
STRIT1,STRIT1
IGSF3,IGSF3
PRG4,PRG4
HPCA,HPCA
Y_RNA,Y_RNA
Metazoa_SRP,RN7SL715P
BCL10,BCL10
mml-mir-26a-1,MIR26A1
ANKRD13C,ANKRD13C
B3GALNT2,B3GALNT2
KIAA2013,KIAA2013
GNAT2,GNAT2
ANAPC13,ANAPC13
ADCY10,ADCY10
MYL3,MYL3
FNDC5,FNDC5
CD58,CD58
CZIB,CZIB
Metazoa_SRP,RN7SL464P
VILL,VILL
SLC25A36,SLC25A36
MIR197,MIR197
C1H1orf115,C1orf115
SYDE2,SYDE2
NLGN1,NLGN1
ABTB1,ABTB1
Y_RNA,Y_RNA
SRSF11,SRSF11
CDC20,CDC20
PTH1R,PTH1R
U6,RNU6-817P
S100PBP,S100PBP
GNAI3,GNAI3
CEP63,CEP63
ZCCHC17,ZCCHC17
MPC2,MPC2
NPPB,NPPB
MTARC2,MTARC2
DNAI3,DNAI3
TPR,TPR
MPL,MPL
PODXL2,PODXL2
NPPA,NPPA
SPATC1L,SPATC1L
CCDC12,CCDC12
TAF13,TAF13
GPR61,GPR61
YARS1,YARS1
EDARADD,EDARADD
CPT2,CPT2
MCM2,MCM2
ATP1A1,ATP1A1
LRRC40,LRRC40
RERE,RERE
AMIGO1,AMIGO1
HLX,HLX
MCOLN3,MCOLN3
FABP3,FABP3
TIE1,TIE1
FTCD,FTCD
SLC1A7,SLC1A7
CLCN6,CLCN6
KY,KY
DCP1A,DCP1A
ODR4,ODR4
PLCD1,PLCD1
CYB561D1,CYB561D1
DCAF6,DCAF6
WDR47,WDR47
PODN,PODN
SNRNP40,SNRNP40
Metazoa_SRP,Metazoa_SRP
NAALADL2,NAALADL2
ATXN7L2,ATXN7L2
DUSP10,DUSP10
TPRA1,TPRA1
ERO1B,ERO1B
U6,RNU6-403P
PDC,PDC
SYPL2,SYPL2
NHSL3,NHSL3
BRWD1,BRWD1
UBE2E1,UBE2E1
Y_RNA,Y_RNA
SENP7,SENP7
MCOLN2,MCOLN2
IFFO2,IFFO2
SNORD38C,SNORD38C
PTGS2,PTGS2
NKAIN1,NKAIN1
U6,RNU6-1174P
HHIPL2,HHIPL2
CD96,CD96
Metazoa_SRP,RN7SL242P
PSMA5,PSMA5
LPAR3,LPAR3
SYNC,SYNC
NBEAL2,NBEAL2
PLA2G4A,PLA2G4A
ILDR1,ILDR1
U6,RNU6-788P
TAF1A,TAF1A
C1H1orf210,C1orf210
EPHB1,EPHB1
LRRC7,LRRC7
ALDH4A1,ALDH4A1
TBCE,TBCE
U6,RNU6-922P
PRR20G,PRR20G
MTHFR,MTHFR
U6,RNU6-1047P
SSX2IP,SSX2IP
UBE2E2,UBE2E2
TMEM125,TMEM125
SORT1,SORT1
SCP2,SCP2
Metazoa_SRP,RN7SL538P
Y_RNA,Y_RNA
U2,RNU2-70P
CLCC1,CLCC1
C1H1orf167,C1orf167
MIA3,MIA3
U3,U3
Y_RNA,Y_RNA
TAS1R2,TAS1R2
PUM1,PUM1
CTBS,CTBS
U6,RNU6-1233P
GPR137B,GPR137B
AKNAD1,AKNAD1
MAB21L3,MAB21L3
U6,RNU6-1317P
CFAP57,CFAP57
SPATA1,SPATA1
SLC15A2,SLC15A2
mml-mir-1255b,MIR1255B2
AGTRAP,AGTRAP
PLXNA1,PLXNA1
MYBPHL,MYBPHL
SLC45A1,SLC45A1
PAX7,PAX7
ZBED2,ZBED2
DRAXIN,DRAXIN
DEPDC1,DEPDC1
NID1,NID1
Y_RNA,Y_RNA
SLC22A15,SLC22A15
GNG5,GNG5
GPSM2,GPSM2
GPR161,GPR161
COL6A2,COL6A2
U6,RNU6-991P
PARL,PARL
AIDA,AIDA
PSRC1,PSRC1
MAD2L2,MAD2L2
