Gene name	Human gene name	Human homology type	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human Gene-order conservation score	Human Whole-genome alignment coverage	Human orthology confidence [0 low, 1 high]
U1	RNU1-54P	ortholog_one2one	49.6503	59.1667		0.00	0
AFG2A	AFG2A	ortholog_one2one	89.3617	89.3617	100	100.00	1
	IFT70A	ortholog_many2many	93.3835	93.3835	100	100.00	1
	IFT70B	ortholog_many2many	93.5338	93.5338	100	0.00	1
ERLIN1	ERLIN1	ortholog_one2one	97.9885	97.9885	100	100.00	1
PER1	PER1	ortholog_one2one	94.195	94.3411	100	100.00	1
PLLP	PLLP	ortholog_one2one	91.2088	91.2088	100	100.00	1
5S_rRNA							
							
KLHL29	KLHL29	ortholog_one2one	98.5143	98.5143	100	100.00	1
PPM1J	PPM1J	ortholog_one2one	94.8515	94.8515	100	100.00	1
PIP4K2C	PIP4K2C	ortholog_one2one	97.1496	97.1496	100	100.00	1
NEXN	NEXN	ortholog_one2one	92.6094	90.963	100	100.00	1
C16orf90	C16orf90	ortholog_one2one	80.5405	81.8681	100	100.00	1
CNFN	CNFN	ortholog_one2one	91.9643	91.9643	100	100.00	1
SMG1	SMG1	ortholog_one2one	98.8525	98.8255	25	100.00	1
SLC7A5	SLC7A5	ortholog_one2one	93.3735	91.716	100	100.00	1
AREL1	AREL1	ortholog_one2one	98.2989	98.2989	100	100.00	1
							
BEST1	BEST1	ortholog_one2one	86.0972	87.8633	100	100.00	1
WDR38	WDR38	ortholog_one2one	72.2054	76.1146	100	100.00	1
							
TTLL1	TTLL1	ortholog_one2one	98.3452	98.3452	50	100.00	1
SPTBN4	SPTBN4	ortholog_one2one	96.7175	96.5289	100	100.00	1
Y_RNA							
5S_rRNA							
DEFB114	DEFB114	ortholog_one2one	65.8228	75.3623	100	100.00	1
							
U4							
FIRRM	FIRRM	ortholog_one2one	88.9542	88.7456	75	100.00	1
U7	RNU7-120P	ortholog_many2many	77.4194	76.1905		0.00	0
U7	RNU7-113P	ortholog_many2many	79.0323	79.0323		0.00	0
U7	RNU7-197P	ortholog_many2many	75.8064	75.8064		0.00	0
U7	RNU7-70P	ortholog_many2many	75.8064	71.2121		0.00	0
U7	RNU7-81P	ortholog_many2many	80.6452	78.125		0.00	0
U7	RNU7-50P	ortholog_many2many	75.8064	75.8064		0.00	0
U7	RNU7-88P	ortholog_many2many	77.4194	76.1905		0.00	0
U6							
	USP12	ortholog_one2many	98.6487	98.6487	0	0.00	0
5S_rRNA							
Y_RNA	Y_RNA	ortholog_one2many	80.3922	81.1881		0.00	0
Y_RNA							
							
ATF2	ATF2	ortholog_one2one	99.2079	99.2079	100	100.00	1
	ZNF257	ortholog_one2many	58.1081	7.63766	0	0.00	0
	ZNF114	ortholog_one2many	44.5946	7.91367	0	0.00	0
5S_rRNA							
LPO	LPO	ortholog_one2one	87.7778	88.764	100	100.00	1
							
U4	RNU4-27P	ortholog_one2many	54.5455	51.7986		0.00	0
5S_rRNA							
HMGB3							
U6	RNU6-1323P	ortholog_one2many	76.1905	74.7664		0.00	0
U6	RNU6-771P	ortholog_one2many	72.381	71.028		0.00	0
U6	RNU6-1072P	ortholog_one2many	72.381	71.028		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	90.1961	90.1961		0.00	0
							
U7	U7	ortholog_one2many	58.1818	51.6129		0.00	0
U4	RNU4-12P	ortholog_one2one	85	85.6115		0.00	0
U6							
Y_RNA	Y_RNA	ortholog_one2one	63	70		0.00	0
							
Y_RNA							
5S_rRNA							
SRL	SRL	ortholog_one2one	54.3818	95.7717	100	100.00	1
							
Y_RNA							
Y_RNA							
5S_rRNA							
U4	RNU4-55P	ortholog_one2many	55	56.2044		0.00	0
U7	RNU7-174P	ortholog_one2many	79.0323	83.0508		0.00	0
Y_RNA	Y_RNA	ortholog_one2one	92.1569	92.1569		0.00	0
U6							
5S_rRNA							
							
							
Y_RNA							
SCAMP2	SCAMP2	ortholog_one2one	82.7988	86.3222	100	100.00	1
5S_rRNA							
	BEX1	ortholog_one2many	67.0807	86.4	50	0.00	0
	BEX2	ortholog_one2many	65.8385	82.8125	75	100.00	1
5S_rRNA							
Y_RNA							
WNT6	WNT6	ortholog_one2one	98.6301	98.6301	100	100.00	1
U6	RNU6-694P	ortholog_one2one	72.549	50.3401		0.00	0
U7	RNU7-193P	ortholog_one2one	59.375	58.4615		0.00	0
U4	RNU4-39P	ortholog_one2one	47.1429	51.9685		0.00	0
Metazoa_SRP							
CHD2	CHD2	ortholog_one2one	96.7847	97.1554	50	100.00	1
							
PCDHAC2	PCDHAC2	ortholog_one2one	96.2114	95.8292	50	100.00	1
Y_RNA							
5S_rRNA							
Y_RNA	Y_RNA	ortholog_one2many	81.7308	83.3333		0.00	0
							
U5	RNU5A-4P	ortholog_one2one	81.0345	84.6847		0.00	0
U4	RNU4-80P	ortholog_one2one	75.1773	75.1773		0.00	0
7SK							
U4	U4	ortholog_one2many	48.5714	58.1197		0.00	0
							
							
	CDS1	ortholog_one2many	96.1424	70.282	0	0.00	0
5S_rRNA							
Y_RNA	RNY1P9	ortholog_many2many	76.1062	78.8991		0.00	0
Y_RNA	Y_RNA	ortholog_many2many	73.4513	76.1468		0.00	0
Y_RNA	Y_RNA	ortholog_many2many	81.4159	76.6667		0.00	0
							
Y_RNA							
							
U4	RNU4-27P	ortholog_one2many	75	75.5396		0.00	0
5S_rRNA							
SNORD35A	SNORD35A	ortholog_one2one	83.5294	82.5581		100.00	1
		ortholog_one2one	93.4211	93.4211		100.00	1
U4							
							
Y_RNA							
Y_RNA	Y_RNA	ortholog_one2many	87.2549	87.2549		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	85.2941	85.2941		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	83.3333	84.1584		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	78.4314	86.0215		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	82.3529	82.3529		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	83.3333	83.3333		0.00	0
							
Y_RNA							
Y_RNA							
CLOCK	CLOCK	ortholog_one2one	96.0808	95.6265	100	100.00	1
							
							
U4							
							
Metazoa_SRP							
RNaseP_nuc							
Y_RNA							
CKAP2L	CKAP2L	ortholog_one2one	73.4104	68.1879	100	100.00	1
5S_rRNA							
Y_RNA							
							
	OTUD6B	ortholog_one2many	81.017	81.57	0	0.00	0
GASK1B	GASK1B	ortholog_one2one	86.3378	87.6686	100	100.00	1
U4							
Y_RNA							
5S_rRNA							
							
Metazoa_SRP							
							
U5							
SNORD35B	SNORD35B	ortholog_one2one	92.0455	93.1034		100.00	1
							
Y_RNA							
5S_rRNA							
5S_rRNA							
Y_RNA							
Y_RNA							
Metazoa_SRP							
C14orf39	C14orf39	ortholog_one2one	83.6457	83.6457	50	100.00	1
GIMAP5	GIMAP5	ortholog_one2many	64.2857	64.4951	0	100.00	1
							
RNaseP_nuc							
							
EIF3E	EIF3E	ortholog_one2many	94.0171	98.8764	0	0.00	0
U5							
Y_RNA	Y_RNA	ortholog_one2one	91.8605	79.798		0.00	0
U1							
Y_RNA							
Y_RNA							
5S_rRNA							
U4							
AQP9	AQP9	ortholog_one2one	84.7458	84.7458	75	100.00	1
		ortholog_one2one	83.9695	80.292		100.00	1
							
							
HS3ST1	HS3ST1	ortholog_one2one	96.732	96.4169	100	100.00	1
							
Y_RNA							
Y_RNA							
CNPY3	CNPY3	ortholog_one2one	96.0289	95.6835	100	100.00	1
							
5S_rRNA	RNA5SP534	ortholog_one2many	41.8182	54.7619		0.00	0
Y_RNA							
U5	RNU5F-3P	ortholog_one2one	82.0513	82.0513		0.00	0
SNORD36	SNORD36	ortholog_one2many	72.6027	66.25		51.09	0
SNORD36	SNORD36A	ortholog_one2many	91.7808	91.7808		100.00	1
	USP12	ortholog_one2many	98.0822	96.7568	0	0.00	0
Y_RNA							
							
NUDT5	NUDT5	ortholog_one2one	89.3333	91.7808	75	100.00	1
							
	SNORA77B	ortholog_one2many	81.3008	80		100.00	1
	SNORA77	ortholog_one2many	82.9268	81.6		100.00	1
5S_rRNA							
Y_RNA							
Y_RNA							
		ortholog_many2many	50.4273	50.8621		0.00	0
		ortholog_many2many	64.9573	56.7164		0.00	0
		ortholog_many2many	63.2479	57.3643		0.00	0
Y_RNA							
							
U4							
NT5C1B	NT5C1B	ortholog_one2one	69.1419	76.1818	100	100.00	1
Y_RNA							
SNORD36C	SNORD36C	ortholog_one2one	92.3077	90.9091		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	81.3726	81.3726		0.00	0
TTC16	TTC16	ortholog_one2one	71.9101	65.9794	75	100.00	1
KLLN	KLLN	ortholog_one2one	71.0692	63.4831	100	100.00	1
Y_RNA							
							
5S_rRNA							
Metazoa_SRP							
HMX1	HMX1	ortholog_one2one	95.1149	95.1149	50	100.00	1
U5							
SNORD83B	SNORD83B	ortholog_one2one	97.8022	95.6989		100.00	1
SNORA35	SNORA35	ortholog_one2one	85.0394	84.375		100.00	1
Y_RNA							
U4	RNU4-8P	ortholog_one2many	76.087	74.4681		0.00	0
							
Metazoa_SRP							
							
Y_RNA							
							
		ortholog_one2many	73.3333	74.4361		0.00	0
		ortholog_one2many	74.0741	75.188		0.00	0
Y_RNA							
U6							
5S_rRNA							
FOXD2	FOXD2	ortholog_one2one	96.9574	96.5657	100	100.00	1
Metazoa_SRP							
Y_RNA	Y_RNA	ortholog_one2many	73.5849	72.2222		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	68.8679	65.7658		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	66.0377	70		0.00	0
5S_rRNA							
U5	RNU5A-2P	ortholog_one2one	76.5217	75.8621		0.00	0
							
IFT25	IFT25	ortholog_one2one	88.1119	87.5	100	100.00	1
Y_RNA							
ZNF839	ZNF839	ortholog_one2one	68.7575	61.4887	100	100.00	1
GSAP	GSAP	ortholog_one2one	82.7822	85.0117	100	100.00	1
U4	RNU4-14P	ortholog_one2many	68.7943	79.5082		0.00	0
U4	RNU4-38P	ortholog_one2many	70.922	77.5194		0.00	0
U4	RNU4-50P	ortholog_one2many	78.7234	78.7234		0.00	0
	HAUS8	ortholog_one2one	63.2997	45.8537	50	62.51	0
U6							
Y_RNA							
Y_RNA							
	PROSER3	ortholog_one2one	79.402	33.0111	100	100.00	0
		ortholog_one2one	59.292	59.8214		100.00	1
	HMGB3	ortholog_one2one	93.8202	83.5	0	0.00	0
Y_RNA							
EMC10	EMC10	ortholog_one2one	81.3953	93.5115	100	100.00	1
Y_RNA							
		ortholog_many2many	55.7895	45.6897		0.00	0
		ortholog_many2many	70.5263	50		0.00	0
		ortholog_many2many	72.6316	53.4884		0.00	0
5S_rRNA							
Y_RNA							
U6							
7SK	RN7SKP294	ortholog_many2many	68.1672	62.7219		0.00	0
7SK	RN7SKP225	ortholog_many2many	68.1672	60.2273		0.00	0
Y_RNA							
	RPL6	ortholog_one2many	95.189	96.1806	0	0.00	0
MEOX1	MEOX1	ortholog_one2one	91.3386	91.3386	100	100.00	1
U4							
SNORD36B	SNORD36B	ortholog_one2one	81.3333	82.4324		100.00	1
IGDCC4	IGDCC4	ortholog_one2one	92.1793	83.92	100	100.00	1
Y_RNA							
Y_RNA							
Y_RNA							
5S_rRNA							
Y_RNA	Y_RNA	ortholog_one2many	85.2941	84.466		0.00	0
U6	RNU6-668P	ortholog_one2one	79.8077	77.5701		0.00	0
Y_RNA							
							
U5	RNU5B-6P	ortholog_one2many	63.3333	83.8235		0.00	0
U5	RNU5D-2P	ortholog_one2many	51.1111	92		0.00	0
KLHL26	KLHL26	ortholog_one2one	93.1707	93.1707	100	100.00	1
U2	RNU2-66P	ortholog_one2many	43.4783	49.6894		0.00	0
Y_RNA							
CDIPT	CDIPT	ortholog_one2one	94.8357	94.8357	100	100.00	1
Y_RNA							
Y_RNA							
CUL9	CUL9	ortholog_one2one	92.741	92.8884	100	100.00	1
U6							
Y_RNA	Y_RNA	ortholog_one2many	85.2941	85.2941		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	80.3922	80.3922		0.00	0
RNU2-72P	RNU2-72P	ortholog_one2one	56.6879	54.6012		100.00	1
U1	RNU1-108P	ortholog_one2one	63.4146	64.5963		0.00	0
5S_rRNA							
Y_RNA							
Y_RNA	Y_RNA	ortholog_one2one	78.0952	80.3922		0.00	0
		ortholog_many2many	46.3415	49.1379		0.00	0
		ortholog_many2many	59.3496	54.4776		0.00	0
		ortholog_many2many	56.9106	54.2636		0.00	0
	SNORA58	ortholog_one2many	89.781	89.781		100.00	1
		ortholog_one2many	86.1314	86.7647		97.80	1
POSTN	POSTN	ortholog_one2one	93.1119	90.5502	100	100.00	1
Y_RNA	Y_RNA	ortholog_many2many	79.4393	83.3333		0.00	0
Y_RNA	Y_RNA	ortholog_many2many	84.1122	88.2353		0.00	0
U2	RNU2-39P	ortholog_one2many	84.8168	81.8182		0.00	0
Y_RNA							
	SNORA49	ortholog_one2many	84.9624	83.0882		100.00	1
U5							
Y_RNA							
Y_RNA							
	TMEM263	ortholog_one2many	93.9655	93.9655	0	0.00	0
U6							
U2	RNU2-13P	ortholog_one2many	41.9355	57.5221		0.00	0
U2	RNU2-58P	ortholog_one2many	46.4516	39.3443		0.00	0
5S_rRNA							
Y_RNA	Y_RNA	ortholog_one2many	49.0196	70.4225		0.00	0
ANO6	ANO6	ortholog_one2one	94.4079	94.6154	100	100.00	1
							
Y_RNA							
Y_RNA	Y_RNA	ortholog_many2many	61.7647	68.4783		0.00	0
Y_RNA	Y_RNA	ortholog_many2many	75.4902	74.7573		0.00	0
Y_RNA	Y_RNA	ortholog_many2many	70.5882	71.2871		0.00	0
GIPR	GIPR	ortholog_one2one	88.0342	88.412	100	100.00	1
U3	SNORD3D	ortholog_one2one	85.7798	86.1751		0.00	0
RNU2-2P	RNU2-2P	ortholog_one2one	98.4293	98.4293		100.00	1
		ortholog_many2many	53.2609	42.2414		0.00	0
		ortholog_many2many	69.5652	47.7612		0.00	0
		ortholog_many2many	70.6522	50.3876		0.00	0
Y_RNA							
U6							
5S_rRNA	RNA5SP194	ortholog_one2one	69.7479	73.4513		0.00	0
TBC1D24	TBC1D24	ortholog_one2one	93.2384	93.7388	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2many	58.6957	61.3636		0.00	0
MOCS2	MOCS2	ortholog_one2one	86.2434	86.7021	100	100.00	1
U3							
Y_RNA							
Y_RNA							
ZNF260	ZNF260	ortholog_one2one	93.7824	87.8641	75	100.00	1
							
	PAPOLB	ortholog_one2one	92.1708	40.6593	100	100.00	0
POMC	POMC	ortholog_one2one	84.4106	83.1461	100	100.00	1
							
Y_RNA	Y_RNA	ortholog_one2many	95.0495	94.1176		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	87.1287	88		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	83.1683	83.1683		0.00	0
							
U3							
Y_RNA							
LRRTM4	LRRTM4	ortholog_one2one	96.6159	96.7797	75	100.00	1
AQP4	AQP4	ortholog_one2one	97.2136	97.2136	100	100.00	1
TRAF3IP1	TRAF3IP1	ortholog_one2one	82.9233	82.9233	100	100.00	1
Y_RNA							
Y_RNA							
U6	RNU6-530P	ortholog_one2one	84.1122	84.1122		0.00	0
SPG11	SPG11	ortholog_one2one	89.239	89.2755	100	100.00	1
U2	RNU2-39P	ortholog_one2many	83.2461	80.303		0.00	0
5S_rRNA							
Y_RNA	Y_RNA	ortholog_one2many	75	72.2222		0.00	0
Y_RNA							
U4							
Y_RNA							
U5	RNU5F-6P	ortholog_one2many	77.7778	78.4483		0.00	0
Y_RNA							
Y_RNA							
Y_RNA							
Y_RNA							
U4							
U6							
5S_rRNA							
Y_RNA	Y_RNA	ortholog_many2many	82.0755	86.1386		0.00	0
Y_RNA	Y_RNA	ortholog_many2many	85.8491	89.2157		0.00	0
Y_RNA	Y_RNA	ortholog_many2many	85.8491	89.2157		0.00	0
SMIM28	SMIM28	ortholog_one2one	83.4483	79.6053	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	85.4167	85.4167		0.00	0
U2							
Y_RNA							
Y_RNA							
Y_RNA	RNY4P18	ortholog_one2many	78.9474	84.2697		0.00	0
5S_rRNA							
		ortholog_one2one	78.4615	78.4615		100.00	1
	SNORA49	ortholog_one2many	80.597	79.4118		0.00	0
U4							
U6							
	PLOD3	ortholog_one2many	89.4231	37.8049	0	4.11	0
U2	RNU2-50P	ortholog_many2many	59.1623	79.021		0.00	0
U2	RNU2-52P	ortholog_many2many	87.4346	87.8947		0.00	0
U2	U2	ortholog_many2many	98.4293	97.9167		100.00	1
U2	U2	ortholog_many2many	98.4293	98.4293		100.00	1
U2	RNU2-4P	ortholog_many2many	91.623	91.1458		100.00	1
U2	U2	ortholog_many2many	98.4293	98.4293		100.00	1
U2	U2	ortholog_many2many	98.4293	98.4293		100.00	1
U2	U2	ortholog_many2many	98.4293	98.4293		100.00	1
U2	U2	ortholog_many2many	98.4293	98.4293		100.00	1
U2	U2	ortholog_many2many	98.9529	98.9529		100.00	1
U2	U2	ortholog_many2many	98.4293	98.4293		100.00	1
U2	RNU2-64P	ortholog_many2many	90.0524	90.0524		0.00	0
U2	U2	ortholog_many2many	98.4293	98.4293		100.00	1
U2	U2	ortholog_many2many	98.4293	98.4293		100.00	1
U2	U2	ortholog_many2many	98.4293	98.4293		100.00	1
U2	U2	ortholog_many2many	98.4293	98.4293		100.00	1
Metazoa_SRP							
MAGOH	MAGOH	ortholog_one2one	100	100	100	100.00	1
UPF1	UPF1	ortholog_one2one	97.5871	97.6744	75	100.00	1
Y_RNA							
Y_RNA	Y_RNA	ortholog_one2many	87.5	86.5979		0.00	0
COL4A1	COL4A1	ortholog_one2one	92.151	92.151	100	100.00	1
IPO9	IPO9	ortholog_one2one	99.7118	99.7118	100	100.00	1
5S_rRNA							
U6	RNU6-1270P	ortholog_one2one	85.0467	84.2593		0.00	0
U5	RNU5E-3P	ortholog_one2one	57.4468	79.4118		0.00	0
U4	RNU4-67P	ortholog_one2many	77.3333	82.2695		0.00	0
U2	RNU2-39P	ortholog_one2many	83.7696	80.8081		0.00	0
Y_RNA							
		ortholog_one2many	64.6341	73.6111		0.00	0
		ortholog_one2many	62.1951	70.8333		100.00	1
U1							
Y_RNA							
U4							
Y_RNA							
5S_rRNA							
U4	RNU4-87P	ortholog_many2many	44.2857	75.6098		0.00	0
U4	RNU4-33P	ortholog_many2many	45.7143	75.2941		0.00	0
U4	RNU4-88P	ortholog_many2many	42.8571	69.7674		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	84.3137	86.8687		0.00	0
CBLN3	CBLN3	ortholog_one2one	98.5366	98.5366	100	100.00	1
							
U6							
U5							
							
							
U2							
SNAPC5	SNAPC5	ortholog_one2one	87.6289	86.7347	100	100.00	1
Y_RNA							
							
U4	RNU4-54P	ortholog_one2one	36.1702	39.5349		0.00	0
GNAT2	GNAT2	ortholog_one2one	97.7401	97.7401	100	100.00	1
Y_RNA							
GRM8	GRM8	ortholog_one2one	99.0088	99.0088	50	100.00	1
SNORA51	SNORA51	ortholog_one2one	92.4242	92.4242		100.00	1
5S_rRNA							
		ortholog_one2one	70.2128	72.5275		100.00	1
Y_RNA							
							
U2							
Y_RNA							
U4	RNU4-66P	ortholog_one2one	50.6944	52.8986		0.00	0
U6							
		ortholog_one2many	70.4545	75.6098		0.00	0
U5	RNU5A-6P	ortholog_one2one	76.9231	77.5862		0.00	0
Metazoa_SRP							
U2							
U4	RNU4-4P	ortholog_one2many	54.5455	60		0.00	0
U4	RNU4-63P	ortholog_one2many	47.5524	57.6271		0.00	0
U4	RNU4-5P	ortholog_one2many	53.1469	56.2963		0.00	0
U4	RNU4-89P	ortholog_one2many	51.7483	55.6391		0.00	0
							
Y_RNA							
SLCO4A1	SLCO4A1	ortholog_one2one	79.558	79.7784	100	100.00	1
							
5S_rRNA							
U6	RNU6-85P	ortholog_one2many	84.1122	84.1122		0.00	0
Metazoa_SRP	RN7SL515P	ortholog_one2many	73.9274	75.4209		0.00	0
Y_RNA							
U2	RNU2-39P	ortholog_one2many	83.1522	77.2727		0.00	0
							
Y_RNA	Y_RNA	ortholog_one2many	83	81.3726		0.00	0
U4	RNU4-81P	ortholog_one2one	78.3217	77.7778		0.00	0
		ortholog_one2one	74.2188	67.8571		0.00	0
Y_RNA							
Metazoa_SRP	RN7SL515P	ortholog_one2many	73.9274	75.4209		0.00	0
GAB1	GAB1	ortholog_one2one	87.8828	95.1009	100	100.00	1
SLC35F5	SLC35F5	ortholog_one2one	96.9466	97.1319	50	100.00	1
							
							
	PPAT	ortholog_one2one	96.1315	96.1315	0	4.70	0
POP7	POP7	ortholog_one2one	98.5714	98.5714	100	100.00	1
U2							
U5							
5S_rRNA							
Y_RNA							
							
U6							
SNORD71	SNORD71	ortholog_one2one	90.6977	90.6977		100.00	1
Metazoa_SRP	RN7SL415P	ortholog_one2one	70.9571	74.3945		0.00	0
Y_RNA							
SNORD94	SNORD94	ortholog_one2one	99.2701	99.2701		100.00	1
U2							
NFKB1	NFKB1	ortholog_one2one	89.2372	88.1321	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2many	81.1881	80.3922		0.00	0
U6							
Y_RNA	Y_RNA	ortholog_one2many	75.4902	76.2376		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	73.5294	73.5294		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	75.4902	76.2376		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	77.451	81.4433		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	75.4902	76.2376		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	75.4902	76.2376		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	75.4902	83.6957		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	75.4902	76.2376		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	75.4902	76.2376		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	75.4902	76.2376		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	75.4902	76.2376		0.00	0
		ortholog_one2many	72.5191	77.2358		72.51	0
MS4A15	MS4A15	ortholog_one2one	87.1901	87.9167	100	100.00	1
							
Metazoa_SRP	RN7SL7P	ortholog_one2one	77.5578	78.8591		0.00	0
5S_rRNA							
PGAP6	PGAP6	ortholog_one2one	78.9133	79.118	100	100.00	1
Y_RNA							
U6							
							
U2							
U5							
SNORD21	SNORD21	ortholog_one2many	93.6842	93.6842		100.00	1
							
ITGB3BP	ITGB3BP	ortholog_one2many	81.9209	81.9209	0	100.00	1
							
U6	RNU6-838P	ortholog_one2many	84.1122	83.3333		0.00	0
Y_RNA							
Metazoa_SRP	RN7SL310P	ortholog_one2one	75.9076	81.8505		0.00	0
5S_rRNA							
Y_RNA							
							
U6							
U2	RNU2-18P	ortholog_one2one	50	40.7407		0.00	0
Y_RNA							
Metazoa_SRP							
							
HEPACAM	HEPACAM	ortholog_one2one	95.933	96.3942	100	100.00	1
5S_rRNA							
Y_RNA							
SNORD21	SNORD21	ortholog_one2many	93.6842	93.6842		0.00	0
CEP95	CEP95	ortholog_one2one	86.2152	86.8453	75	100.00	1
Metazoa_SRP	RN7SL380P	ortholog_one2many	73.9274	72.7273		0.00	0
Metazoa_SRP	RN7SL649P	ortholog_one2many	71.2871	78.5455		0.00	0
	SNORA81	ortholog_one2many	93.2584	93.2584		0.00	0
NRG3	NRG3	ortholog_one2one	93.6288	97.1264	100	100.00	1
5S_rRNA							
U6							
							
U5							
							
U2							
Y_RNA	Y_RNA	ortholog_one2one	80.7692	78.5047		0.00	0
							
							
Y_RNA							
	ST13	ortholog_one2many	91.0364	88.0759	0	0.00	0
	SNORA31B	ortholog_one2many	85.1562	81.3433		100.00	1
U6							
7SK							
TBC1D10B	TBC1D10B	ortholog_one2one	94.8407	77.3515	75	100.00	1
							
SLC4A1AP	SLC4A1AP	ortholog_one2one	88.1402	88.1402	100	100.00	1
Metazoa_SRP	RN7SL466P	ortholog_one2one	76.8977	78.983		0.00	0
Metazoa_SRP							
							
	SNORA81	ortholog_one2many	95.5056	95.5056		100.00	1
5S_rRNA							
							
		ortholog_one2many	64.3243	60.101		100.00	1
		ortholog_one2many	66.4865	69.4915		0.00	0
SNORD68	SNORD68	ortholog_one2one	79.3103	82.1429		100.00	1
Metazoa_SRP							
7SK							
		ortholog_one2many	78.626	83.0645		0.00	0
CMA1	CMA1	ortholog_one2one	67.037	73.2794	75	100.00	1
U5							
SGTB	SGTB	ortholog_one2one	97.6974	97.6974	100	100.00	1
