Gene name	Gorilla gene name	Gorilla homology type	%id. target Gorilla gene identical to query gene	%id. query gene identical to target Gorilla gene	Gorilla Gene-order conservation score	Gorilla Whole-genome alignment coverage	Gorilla orthology confidence [0 low, 1 high]
		ortholog_one2one	97.6562	97.6562		100.00	1
ZMYND15	ZMYND15	ortholog_one2one	97.1698	97.1698	100	100.00	1
							
RN7SKP154	7SK	ortholog_one2one	97.5862	97.5862		100.00	1
							
U7	U7	ortholog_one2one	98.3871	98.3871		100.00	1
							
		ortholog_one2one	98.4127	98.4127		100.00	1
							
FZR1	FZR1	ortholog_one2one	100	100	100	100.00	1
ptr-mir-601		ortholog_one2one	100	100		100.00	1
ACR	ACR	ortholog_one2many	97.3747	96.9121	0	0.00	0
PLEKHG1	PLEKHG1	ortholog_one2one	99.0614	99.0614	100	100.00	1
RN7SL69P	Metazoa_SRP	ortholog_one2one	98.1618	98.1618		100.00	1
TMPRSS3	TMPRSS3	ortholog_one2one	99.117	98.8987	100	100.00	1
NDEL1	NDEL1	ortholog_one2one	100	100	100	100.00	1
HOOK1	HOOK1	ortholog_one2one	99.7253	99.7253	100	100.00	1
HPD	HPD	ortholog_one2one	99.7455	99.7455	100	100.00	1
SLC47A1	SLC47A1	ortholog_one2one	98.9761	98.9761	100	100.00	1
		ortholog_one2many	95.7983	89.0625	75	0.00	1
		ortholog_one2one	100	100		0.00	0
		ortholog_one2many	99.1098	99.1098		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	96.7742	95.4064		0.00	0
RNU7-147P	U7	ortholog_one2one	96.7742	96.7742		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	95	94.0594		100.00	1
RNU6ATAC19P	RNU6ATAC19P	ortholog_one2one	100	100		0.00	0
RN7SKP118	7SK	ortholog_one2one	92.7273	92.7273		100.00	1
MIR4276	MIR4276	ortholog_one2one	100	100		100.00	1
ZFAT	ZFAT	ortholog_one2one	98.7128	99.1115	100	99.54	1
							
H2AC14	H2AC14	ortholog_one2one	100	100	100	100.00	1
RARG	RARG	ortholog_one2one	93.8596	94.9002	100	100.00	1
		ortholog_one2many	99.1098	99.1098		100.00	1
		ortholog_one2one	100	100		100.00	1
RN7SL228P	Metazoa_SRP	ortholog_one2one	99.67	99.67		100.00	1
		ortholog_one2one	100	100		100.00	1
RNU7-79P	U7	ortholog_one2one	100	100		100.00	1
							
RN7SKP219	7SK	ortholog_one2one	97.973	97.973		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2many	96.0396	96.0396		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2many	96.0396	96.0396		0.00	0
							
							
		ortholog_one2one	94.3262	94.3262		100.00	1
RN7SL145P	Metazoa_SRP	ortholog_one2one	98.3051	97.973		100.00	1
							
RN7SKP292	7SK	ortholog_one2one	96.2145	96.2145		100.00	1
RNU7-35P	U7	ortholog_one2one	98.3871	98.3871		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	99.1597	99.1597		100.00	1
		ortholog_one2one	100	100		100.00	1
PPHLN1		ortholog_one2one	98.9083	98.9083	100	100.00	1
		ortholog_one2many	93.578	93.578	100	100.00	1
		ortholog_one2one	98.2143	98.2143	100	100.00	1
BCOR	BCOR	ortholog_one2many	99.6581	99.6581	0	100.00	1
RN7SL567P	Metazoa_SRP	ortholog_one2one	97.0297	97.0297		100.00	1
ptr-mir-182	ggo-mir-182	ortholog_one2one	98.1818	98.1818		100.00	1
RNU7-141P	U7	ortholog_one2one	95.3125	98.3871		100.00	1
KRTAP22-1	KRTAP22-1	ortholog_one2one	97.9167	97.9167	100	100.00	1
RNA5SP172	5S_rRNA	ortholog_one2one	98.3051	98.3051		100.00	1
		ortholog_one2one	97.931	97.931		100.00	1
							
RN7SKP58	7SK	ortholog_one2one	99.0164	99.0164		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2many	50.5618	60		0.00	0
							
MPC1L							
MIR4686	MIR4686	ortholog_one2one	100	100		100.00	1
RN7SL291P	Metazoa_SRP	ortholog_one2one	98.6159	96.9388		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	83.7607	83.7607		100.00	1
		ortholog_one2one	100	100		100.00	1
SNORA57	SNORA57	ortholog_one2one	100	100		100.00	1
7SK							
RNU7-87P							
5S_rRNA	5S_rRNA	ortholog_one2one	80.1802	96.7391		100.00	1
MIR1258							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	95.8955	95.539		100.00	1
		ortholog_one2one	96.4286	96.4286	75	100.00	1
SNORD115	SNORD115	ortholog_one2one	98.7805	98.7805		100.00	1
							
		ortholog_one2one	100	100		100.00	1
RN7SKP107	7SK	ortholog_one2one	97.2414	97.2414		100.00	1
RNF223							
5S_rRNA	5S_rRNA	ortholog_one2one	98.3193	98.3193		100.00	1
5S_rRNA							
		ortholog_one2one	98.3333	98.3333	50	100.00	1
							
Metazoa_SRP							
		ortholog_one2many	98.3871	98.3871	100	100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	100	100		100.00	1
RNU6-205P	U6	ortholog_one2one	97.1963	95.4128		100.00	1
U6	U6	ortholog_one2many	97.1963	97.1963		100.00	1
							
		ortholog_one2one	100	100	100	100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	99.0385	99.0385		100.00	1
							
		ortholog_one2one	97	97	100	100.00	1
ACTL7A	ACTL7A	ortholog_one2one	98.3908	98.3908	100	100.00	1
RN7SKP231	7SK	ortholog_one2one	98.917	98.5611		100.00	1
PCDHB9							
Metazoa_SRP							
MIR2392							
							
RNU6-1227P	U6	ortholog_one2one	100	100		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	96.5517	96.5517		100.00	1
RNU6-1110P	U6	ortholog_one2one	95.0495	95.0495		100.00	1
SLC5A8	SLC5A8	ortholog_one2one	89.5082	99.635	100	100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	96.4602	96.4602		100.00	1
RN7SKP73	7SK	ortholog_one2one	96.5753	96.5753		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	98.9583	98.9583		100.00	1
							
MIR6865	MIR6865	ortholog_one2one	100	100		100.00	1
RNU6-774P	U6	ortholog_one2one	98.1308	98.1308		100.00	1
RNU6-379P	U6	ortholog_one2one	99.0385	99.0385		100.00	1
							
ZNF713	ZNF713	ortholog_one2many	99.3228	99.3228	50	100.00	1
OSMR	OSMR	ortholog_one2one	97.9571	97.7574	100	100.00	1
		ortholog_one2one	92.8571	89.6552		100.00	1
ZBTB38							
5S_rRNA	5S_rRNA	ortholog_one2many	98.3193	98.3193		0.00	0
RN7SKP143	7SK	ortholog_one2one	96.7742	94.0439		100.00	1
		ortholog_one2many	100	100		0.00	0
RNU6-589P	U6	ortholog_one2one	99.0654	99.0654		100.00	1
RNU6-1195P	U6	ortholog_one2one	97.1154	97.1154		100.00	1
RN7SL571P	Metazoa_SRP	ortholog_one2one	97.973	98.3051		100.00	1
		ortholog_one2many	98.2609	98.2609	100	100.00	1
TLE1	TLE1	ortholog_one2one	94.5946	100	100	96.83	1
							
		ortholog_one2one	98.5075	98.5075		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2many	100	100		100.00	1
RN7SKP38	7SK	ortholog_one2one	84.5161	78.6787		100.00	0
RPS18							
							
RNU6-726P	U6	ortholog_one2one	96.2617	96.2617		100.00	1
		ortholog_one2many	100	100		0.00	0
RN7SL192P	Metazoa_SRP	ortholog_one2one	98.3278	98.3278		100.00	1
RNU6-312P	U6	ortholog_one2one	99.0654	99.0654		100.00	1
							
		ortholog_one2one	98.6487	98.6487		100.00	1
							
5S_rRNA	5S_rRNA	ortholog_one2one	97.1698	97.1698		100.00	1
MIR4743	MIR4743	ortholog_one2one	100	100		100.00	1
RN7SKP299	7SK	ortholog_one2one	94.3333	95.2862		100.00	1
U6							
							
RN7SL152P	Metazoa_SRP	ortholog_one2one	96.9799	96.9799		100.00	1
PRR9	PRR9	ortholog_one2one	98.2759	98.2759	100	100.00	1
DNAJC28							
MTCH2	MTCH2	ortholog_one2one	100	100	100	100.00	1
RNU6-1278P	U6	ortholog_one2one	90.6542	85.8407		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	97.619	70.6897		100.00	0
Metazoa_SRP							
SNORA12	SNORA12	ortholog_one2one	99.3197	99.3197		0.00	0
RN7SKP276	7SK	ortholog_one2one	84.8837	99.095		100.00	1
							
MIR326	MIR326	ortholog_one2one	100	100		100.00	1
RNU6-856P							
RAB31	RAB31	ortholog_one2one	100	100	100	100.00	1
MIR493	MIR493	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	97.4359	97.4359		100.00	1
H2BC21							
5S_rRNA	5S_rRNA	ortholog_one2one	96.4286	96.4286		100.00	1
U6							
RN7SKP236	7SK	ortholog_one2one	94.8454	96.1672		100.00	1
RN7SL586P	Metazoa_SRP	ortholog_one2one	98.6577	98.6577		100.00	1
MIR33A	ggo-mir-33	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	100	100		100.00	1
							
5S_rRNA	5S_rRNA	ortholog_one2one	97.2477	97.2477		100.00	1
RNU2-10P	U2	ortholog_one2one	98.5782	98.5782		100.00	1
							
RNU6-182P	U6	ortholog_one2many	81.9048	81.1321		100.00	1
RNU6-182P	U6	ortholog_one2many	81.9048	81.1321		0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	52.381	51.6245		0.00	0
SNORA63	SNORA63	ortholog_one2one	99.2064	99.2064		100.00	1
PRKY							
RNU6-520P	U6	ortholog_one2one	99.0385	99.0385		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	94.4954	98.0952		0.00	0
ptr-mir-576		ortholog_one2one	93.8775	96.8421		100.00	1
Metazoa_SRP							
RNU2-51P	U2	ortholog_one2one	100	100		100.00	1
							
RNU6-449P	U6	ortholog_one2one	100	100		100.00	1
SNORA63D	SNORA63	ortholog_one2one	100	100		100.00	1
MIR577	MIR577	ortholog_one2one	97.9167	97.9167		100.00	1
MIR6070	MIR6070	ortholog_one2one	100	100		100.00	1
RNU6-595P	U6	ortholog_one2one	99.0654	99.0654		100.00	1
SNORA63E	SNORA63	ortholog_one2one	100	100		100.00	1
SNORD36	SNORD36	ortholog_one2one	98.6842	93.75		100.00	1
U2	U2	ortholog_one2one	81.1518	79.8969		100.00	0
RN7SL230P	Metazoa_SRP	ortholog_one2one	97.3597	97.3597		100.00	1
5S_rRNA							
SSH2	SSH2	ortholog_one2one	94.2069	95.7924	100	100.00	1
MIR369	MIR369	ortholog_one2one	100	100		100.00	1
ptr-mir-1263							
RNU6-234P	U6	ortholog_one2one	98.0769	98.0769		100.00	1
RNU2-54P	U2	ortholog_one2one	97.8947	97.8947		100.00	1
SNORA63	SNORA63	ortholog_one2one	97.561	97.561		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	97.7011	97.7011		0.00	0
RNU6-908P	U6	ortholog_one2one	97.8723	97.8723		100.00	1
SNORA19	SNORA19	ortholog_one2one	99.2188	99.2188		100.00	1
RN7SL239P	Metazoa_SRP	ortholog_one2one	98.6667	98.6667		100.00	1
		ortholog_one2one	97.9381	97.9381		100.00	1
MIR4519							
SNORA63	SNORA63	ortholog_one2one	97.479	97.479		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	98.1132	98.1132		100.00	1
RNU6-957P	U6	ortholog_one2one	96.9388	96.9388		100.00	1
SLC30A9	SLC30A9	ortholog_one2one	95.23	98.4155	100	94.97	1
MIR320D2	MIR320D2	ortholog_one2one	97.9167	97.9167		100.00	1
SNORA63	SNORA63	ortholog_one2one	97.619	97.619		100.00	1
RNU2-62P	U2	ortholog_one2one	99.4764	99.4764		0.00	0
							
RNU6-1043P	U6	ortholog_one2one	95.9596	96.9388		100.00	1
RNU6-1299P	U6	ortholog_one2one	98	98		100.00	1
RN7SL854P	Metazoa_SRP	ortholog_one2one	96.6102	98.2759		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	95.6522	95.6522		100.00	1
TAS2R3	TAS2R3	ortholog_one2many	99.3671	99.3671	100	100.00	1
FAM217B	FAM217B	ortholog_one2one	98.9556	98.9556	100	100.00	1
							
RNU2-15P	U2	ortholog_one2one	99.4764	99.4764		100.00	1
SNORA63B	SNORA63	ortholog_one2one	89.4309	96.4912		0.00	0
U6	U6	ortholog_one2many	98.0769	98.0769		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	89.7887	89.4737		100.00	1
ptr-mir-663a		ortholog_one2one	86.0215	100		0.00	0
5S_rRNA	5S_rRNA	ortholog_one2one	98.0198	98.0198		100.00	1
RNU6-1188P	U6	ortholog_one2one	99.0654	98.1481		100.00	1
ptr-mir-1233-2							
		ortholog_one2one	97.9167	97.9167	100	0.00	1
		ortholog_one2many	72.4409	71.3178		0.00	0
RNU6-178P	U6	ortholog_one2one	97.1154	97.1154		100.00	1
U6	U6	ortholog_one2many	98.1308	98.1308		100.00	1
RNU2-64P	U2	ortholog_one2one	99.4764	99.4764		100.00	1
SNORA63	SNORA63	ortholog_one2many	97.6744	97.6744		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	99.0291	99.0291		100.00	1
RN7SL447P	Metazoa_SRP	ortholog_one2one	98.7013	92.6829		100.00	1
ptr-mir-1233-1							
SNORD88C	SNORD88C	ortholog_one2one	100	100		100.00	1
ptr-mir-1233-1							
5S_rRNA	5S_rRNA	ortholog_one2many	100	100		100.00	1
RNU6-1207P	U6	ortholog_one2one	95.3271	95.3271		100.00	1
RNU6-56P	U6	ortholog_one2one	98.9247	98.9247		100.00	1
Metazoa_SRP							
MIR513A2	MIR513A2	ortholog_one2one	92.9134	92.1875		100.00	1
RNU2-29P	U2	ortholog_one2one	99.4709	99.4709		100.00	1
SNORA63	SNORA63	ortholog_one2one	99.2424	99.2424		0.00	0
		ortholog_one2one	96.4706	96.4706	100	100.00	1
FKBP8	FKBP8	ortholog_one2one	99.5157	99.5157	50	100.00	1
		ortholog_one2one	97.2477	95.4955	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	99.3311	99.3311		100.00	1
RNU6-1084P	U6	ortholog_one2one	94.3925	94.3925		100.00	1
MIR513A-1		ortholog_one2many	72.4409	71.3178		100.00	0
							
5S_rRNA	5S_rRNA	ortholog_one2one	99.1597	99.1597		100.00	1
RNU6-946P	U6	ortholog_one2one	100	100		100.00	1
SNORA63	SNORA63	ortholog_one2many	94.898	94.898		100.00	1
		ortholog_one2one	99.2481	99.2481	75	0.00	1
GIMAP7	GIMAP7	ortholog_one2many	99.6667	99.6667	100	100.00	1
		ortholog_one2one	91.7308	93.7132	100	100.00	1
		ortholog_one2one	79.2453	94.382	75	0.00	0
RNU2-39P	U2	ortholog_one2one	98.9899	98.9899		100.00	1
MIR518E	MIR518E	ortholog_one2one	98.8636	100		100.00	1
U6							
		ortholog_one2one	96.0396	96.0396	100	0.00	1
							
		ortholog_one2many	98.9247	98.9247	100	100.00	1
MRM2	MRM2	ortholog_one2one	98.374	98.374	100	100.00	1
RNU6-1154P	U6	ortholog_one2one	98.0392	96.1538		100.00	1
SNORA63	SNORA63	ortholog_one2many	96.1538	96.8992		100.00	1
							
Metazoa_SRP							
5S_rRNA							
RNU6-1264P	U6	ortholog_one2one	98.1308	98.1308		100.00	1
MIR216B	MIR216B	ortholog_one2one	100	100		100.00	1
DONSON	DONSON	ortholog_one2many	98.9399	98.9399	100	100.00	1
RNU2-4P	U2	ortholog_one2one	96.875	96.875		100.00	1
PPP1R3B	PPP1R3B	ortholog_one2one	98.9474	98.9474	100	100.00	1
							
							
U2	U2	ortholog_one2many	98.3957	98.3957		0.00	0
5S_rRNA	5S_rRNA	ortholog_one2many	96.4912	96.4912		100.00	1
RNU6-1174P	U6	ortholog_one2one	98.0198	98.0198		0.00	0
PEX2	PEX2	ortholog_one2one	98.6885	98.6885	100	100.00	1
TEKT1	TEKT1	ortholog_one2one	99.5215	99.5215	100	100.00	1
RNU6-1172P	U6	ortholog_one2one	99.0654	100		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	99.3311	99.3311		100.00	1
H2BC11	H2BC11	ortholog_one2one	100	100	75	100.00	1
RNU6-302P							
RNU2-8P	U2	ortholog_one2one	97.8947	97.8947		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	96.6942	96.6942		100.00	1
							
ptr-mir-613							
RNU2-5P	U2	ortholog_one2one	98.9529	98.9529		100.00	1
RN7SL820P	Metazoa_SRP	ortholog_one2one	99.3311	99.3311		100.00	1
RNU6-881P	U6	ortholog_one2one	99.0196	99.0196		100.00	1
IFIT5	IFIT5	ortholog_one2one	99.1701	99.1701	100	100.00	1
							
RNU6-1247P							
RNU2-72P	U2	ortholog_one2one	99.3865	99.3865		0.00	0
5S_rRNA							
RN7SL351P	Metazoa_SRP	ortholog_one2one	96.7742	96.7742		100.00	1
MIR1179	MIR1179	ortholog_one2one	100	100		100.00	1
RNU2-7P	U2	ortholog_one2one	97.7528	97.7528		100.00	1
RNU6-1297P	U6	ortholog_one2one	100	100		100.00	1
SPDEF	SPDEF	ortholog_one2one	99.1045	99.1045	100	100.00	1
MIR4706							
RNU6-330P	U6	ortholog_one2one	98.1308	98.1308		100.00	1
RNU2-71P	U2	ortholog_one2one	97.8947	98.4127		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	98.9583	98.9583		100.00	1
RN7SL402P	Metazoa_SRP	ortholog_one2one	99.6212	99.6212		100.00	1
RNU2-14P	U2	ortholog_one2one	99.4764	99.4764		100.00	1
							
U2	U2	ortholog_one2many	98.3957	98.3957		100.00	1
RN7SL97P	Metazoa_SRP	ortholog_one2one	98.6622	98.6622		100.00	1
RNU2-56P	U2	ortholog_one2one	98.9529	98.9529		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	96.3303	98.1308		100.00	1
U6	U6	ortholog_one2one	99.0385	99.0385		100.00	1
		ortholog_one2one	100	100		100.00	1
RNU6-106P	U6	ortholog_one2one	100	98.1308		100.00	1
ptr-mir-548b	MIR548B	ortholog_one2one	97.9381	97.9381		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2many	98.3193	98.3193		0.00	0
RNU2-28P							
TRAV10		ortholog_one2one	99	99	100	100.00	1
RNU6-1103P	U6	ortholog_one2one	99.0654	99.0654		100.00	1
RNU7-2P	U7	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	100	100		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	97.1119	97.1119		100.00	1
RNU2-23P	U2	ortholog_one2one	98.9744	98.9744		100.00	1
							
		ortholog_one2one	92.6199	87.4564	100	100.00	1
MIR4325							
RNU2-20P	U2	ortholog_one2one	99.4764	99.4764		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2many	97.1963	97.1963		0.00	0
TRAV20	TRAV20	ortholog_one2one	99.0991	99.0991	100	100.00	1
U2	U2	ortholog_one2many	98.9529	94.9749		0.00	0
RNU6-730P	U6	ortholog_one2one	97.1154	97.1154		100.00	1
		ortholog_one2one	89.2157	98.913	100	100.00	1
							
							
ptr-mir-519d	MIR519D	ortholog_one2one	100	100		100.00	1
RN7SL225P							
RNU7-12P	U7	ortholog_one2one	91.9355	91.9355		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	94.0171	94.8276		100.00	1
RNU2-52P	U2	ortholog_one2one	98.9474	98.9474		100.00	1
U2	U2	ortholog_one2many	98.9529	94.9749		100.00	1
RNU6-550P	U6	ortholog_one2one	98.0198	98.0198		100.00	1
							
MIR6797							
RNU1-39P	U1	ortholog_one2one	97.5758	97.5758		0.00	0
RN7SL435P	Metazoa_SRP	ortholog_one2one	98.9362	98.9362		100.00	1
							
MS4A14	MS4A14	ortholog_one2one	80.9055	61.1607	100	100.00	0
RNU7-6P	U7	ortholog_one2one	98.3871	98.3871		100.00	1
ARMC2	ARMC2	ortholog_one2one	98.9607	98.8466	100	100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	94.958	94.958		0.00	0
RNU2-40P	U2	ortholog_one2one	91.3265	90.404		100.00	1
U2							
RNU6-86P	U6	ortholog_one2one	100	100		0.00	0
PDIA3							
MIR548AG2	MIR548AG2	ortholog_one2one	98.4375	98.4375		100.00	1
MIR1265		ortholog_one2one	97.619	95.3488		100.00	1
Metazoa_SRP							
RNU7-95P	U7	ortholog_one2one	100	98.4375		100.00	1
BLCAP	BLCAP	ortholog_one2one	100	100	100	100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	95.6897	95.6897		100.00	1
RNU2-49P	U2	ortholog_one2one	97.2826	97.2826		100.00	1
RNU6-1309P	U6	ortholog_one2one	99.0741	99.0741		100.00	1
RNU2-21P	U2	ortholog_one2one	98.4043	98.4043		100.00	1
MIR7159	MIR7159	ortholog_one2one	100	100		100.00	1
MIR23A	ggo-mir-23a	ortholog_one2one	100	100		100.00	1
RN7SL799P	Metazoa_SRP	ortholog_one2one	96.6443	96.6443		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	98.9474	98.9474		100.00	1
SAXO1	SAXO1	ortholog_one2one	98.1013	97.4843	100	100.00	1
5S_rRNA	5S_rRNA	ortholog_one2many	97.1963	97.1963		0.00	0
U2	U2	ortholog_one2one	87.4346	100		0.00	0
RNU2-25P	U2	ortholog_one2one	97.3822	97.3822		100.00	1
TNFSF14	TNFSF14	ortholog_one2one	98.3333	98.3333	100	100.00	1
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	76.5957	70.8661		0.00	0
RNU6-778P	U6	ortholog_one2one	98.0583	98.0583		100.00	1
RNU7-196P							
MIR494	MIR494	ortholog_one2one	100	100		100.00	1
RNU2-70P	U2	ortholog_one2one	99.4382	98.3333		100.00	1
							
U2	U2	ortholog_one2one	98.2759	98.2759		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	98.1818	98.1818		100.00	1
							
		ortholog_one2one	97.3684	97.3684		100.00	1
RPP25L	RPP25L	ortholog_one2one	99.3865	99.3865	100	100.00	1
PHLDB3	PHLDB3	ortholog_one2one	90.7956	98.4772	100	100.00	1
MIR6802							
RNU2-68P	U2	ortholog_one2one	98.9529	98.9529		100.00	1
U7							
MIR320E	MIR320E	ortholog_one2one	100	100		100.00	1
RN7SL147P	Metazoa_SRP	ortholog_one2one	99.3289	99.3289		100.00	1
U2							
		ortholog_one2one	98.538	98.538		100.00	1
5S_rRNA							
		ortholog_one2many	49.7041	64.6154	25	100.00	0
MIR6832	MIR6832	ortholog_one2one	100	100		100.00	1
MIR4298							
RNU2-47P	U2	ortholog_one2one	97.3118	97.3118		100.00	1
		ortholog_one2one	100	100		100.00	1
RNU7-3P							
LPAR2	LPAR2	ortholog_one2one	99.7151	99.7151	100	100.00	1
RNU2-12P							
RN7SL380P	Metazoa_SRP	ortholog_one2one	97.9933	97.9933		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	98.3193	98.3193		100.00	1
PPARD	PPARD	ortholog_one2one	88.2086	100	50	100.00	1
MIR195	ggo-mir-195	ortholog_one2one	100	100		100.00	1
U7							
U2							
MIR6499							
RNU2-17P	U2	ortholog_one2one	91.5789	91.5789		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	98.1308	98.1308		100.00	1
SNORD123	SNORD123	ortholog_one2one	98.5714	98.5714		100.00	1
RN7SL36P	Metazoa_SRP	ortholog_one2one	90.5797	90.5797		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	76.5957	70.8661		0.00	0
		ortholog_one2one	100	100		100.00	1
							
		ortholog_one2one	99.0826	99.0826		100.00	1
RNU2-48P	U2	ortholog_one2one	97.3822	98.4127		100.00	1
RNU7-90P	U7	ortholog_one2one	93.5484	95.082		100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	99.0654	99.0654		100.00	1
RNU2-43P	U2	ortholog_one2one	96.8421	96.8421		100.00	1
HTATSF1	HTATSF1	ortholog_one2one	99.8675	99.8675	100	100.00	1
TRAV38-1	TRAV38-1	ortholog_one2one	98.0198	99	100	100.00	1
		ortholog_one2one	100	99.4975		100.00	1
MIR1260B	MIR1260B	ortholog_one2one	100	100		100.00	1
5S_rRNA							
RN7SL222P	Metazoa_SRP	ortholog_one2one	96.6555	96.6555		100.00	1
							
RNU7-107P							
RNU2-32P	U2	ortholog_one2one	99.4764	99.4764		100.00	1
							
		ortholog_one2one	100	100		100.00	1
SNORD49B	SNORD49B	ortholog_one2one	100	100		100.00	1
ptr-mir-527	MIR1283-2	ortholog_one2one	97.7011	97.7011		100.00	1
RNY1P4	Y_RNA	ortholog_one2one	100	100		100.00	1
