Gene name	Human gene name	Human homology type	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human Gene-order conservation score	Human Whole-genome alignment coverage	Human orthology confidence [0 low, 1 high]
Y_RNA	Y_RNA	ortholog_one2one	96.0784	96.0784		100.00	1
OR2L2	OR2L2	ortholog_one2one	91.6667	91.6667	75	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	92.1569	92.1569		100.00	1
OR2L5	OR2L5	ortholog_one2one	94.2308	94.2308	100	100.00	1
	OR2L8	ortholog_many2many	95.8333	95.8333	100	0.00	1
	OR2L3	ortholog_many2many	94.5513	94.5513	50	0.00	0
Y_RNA	Y_RNA	ortholog_one2one	90.1961	94.8454		100.00	1
							
	OR2L8	ortholog_many2many	95.5128	95.5128	100	100.00	1
	OR2L3	ortholog_many2many	94.8718	94.8718	50	0.00	0
Y_RNA							
							
	OR2T8	ortholog_many2many	79.6703	92.9487	100	100.00	1
	OR2T33	ortholog_many2many	76.9231	87.5	0	0.00	0
	OR2T12	ortholog_many2many	77.1978	87.8125	0	0.00	0
OR2W3	OR2W3	ortholog_one2one	95.5414	95.5414	100	100.00	1
TRIM58	TRIM58	ortholog_one2one	94.6502	94.6502	100	100.00	1
OR11L1	OR11L1	ortholog_one2one	80.2817	88.5093	100	95.61	1
							
OR9H1P	OR9H1P	ortholog_one2one	93.8144	88.6364	100	100.00	1
OR1C1	OR1C1	ortholog_one2one	91.536	92.9936	100	100.00	1
OR14K1	OR14K1	ortholog_one2one	93.949	93.949	100	100.00	1
OR14A2	OR14A2	ortholog_one2one	94.2675	94.2675	100	100.00	1
OR6F1	OR6F1	ortholog_one2one	92.8571	92.8571	100	100.00	1
OR13G1	OR13G1	ortholog_one2one	96.7427	96.7427	75	100.00	1
							
GCSAML	GCSAML	ortholog_one2one	94.8148	94.8148	100	100.00	1
OR2C3	OR2C3	ortholog_one2one	89.4118	95	100	100.00	1
							
OR2B11	OR2B11	ortholog_one2one	94.6541	94.9527	75	100.00	1
NLRP3	NLRP3	ortholog_one2one	97.971	98.0658	100	97.24	1
							
ZNF496	ZNF496	ortholog_one2one	96.5928	96.5928	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	92.6606	94.3925		100.00	1
							
							
							
ZNF124	ZNF124	ortholog_one2one	97.5779	80.3419	100	13.56	1
							
ZNF669	ZNF669	ortholog_one2many	89.7638	90.4762	100	0.00	1
ZNF670	ZNF670	ortholog_one2one	98.2005	98.2005	100	100.00	1
							
							
Metazoa_SRP							
AHCTF1	AHCTF1	ortholog_one2one	92.4658	95.3222	100	100.00	1
							
							
SCCPDH	SCCPDH	ortholog_one2one	80.6084	98.8345	100	100.00	1
							
							
5S_rRNA							
U6	RNU6-152P	ortholog_one2one	86.9159	86.9159		100.00	1
							
5S_rRNA							
5S_rRNA							
Metazoa_SRP	RN7SL299P	ortholog_one2one	87.3288	91.0714		100.00	1
Metazoa_SRP							
5S_rRNA	RNA5S11	ortholog_one2one	100	100		0.00	0
5S_rRNA	RNA5S15	ortholog_one2one	100	100		0.00	0
5S_rRNA							
5S_rRNA							
5S_rRNA							
5S_rRNA							
							
U6	RNU6-151P	ortholog_one2one	93.5185	94.3925		100.00	1
Metazoa_SRP							
U6							
Metazoa_SRP							
U1	RNVU1-22	ortholog_one2many	69.5652	71.3376		100.00	1
U1	RNVU1-21	ortholog_one2many	69.5652	71.7949		72.57	0
							
U1	RNU1-151P	ortholog_one2many	64.6707	86.4		0.00	0
U1	RNU1-114P	ortholog_one2many	81.4371	81.9277		0.00	0
Y_RNA	Y_RNA	ortholog_one2one	96.0784	96.0784		100.00	1
Metazoa_SRP	RN7SL372P	ortholog_one2one	92.9766	93.2886		100.00	1
U6	RNU6-753P	ortholog_one2one	96.2617	96.2617		100.00	1
							
							
							
Metazoa_SRP							
							
Y_RNA	Y_RNA	ortholog_one2one	93.1373	93.1373		100.00	1
Metazoa_SRP							
Metazoa_SRP							
U6	RNU6-830P	ortholog_one2one	92.5234	92.5234		100.00	1
Metazoa_SRP	RN7SL229P	ortholog_one2one	92.2034	90.9699		100.00	1
							
Metazoa_SRP	RN7SL294P	ortholog_one2one	92.8571	92.5424		100.00	1
							
							
							
							
							
							
Metazoa_SRP							
U6	RNU6-1297P	ortholog_one2one	95.1923	95.1923		100.00	1
							
U6	RNU6-106P	ortholog_one2one	94.3925	94.3925		100.00	1
							
GJA8	GJA8	ortholog_one2one	94.9425	95.3811	50	100.00	1
ID3	ID3	ortholog_one2one	97.479	97.479	100	100.00	1
							
							
Metazoa_SRP							
							
CNST	CNST	ortholog_one2one	93.1034	93.1034	100	100.00	1
CCDC190	CCDC190	ortholog_one2one	81.3953	81.3953	50	100.00	1
							
	ERVH48-1	ortholog_one2many	14.3975	57.5	0	0.00	0
TFB2M	TFB2M	ortholog_one2one	85.101	85.101	100	100.00	1
							
							
Y_RNA	Y_RNA	ortholog_one2one	94.0594	93.1373		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	84.5455	91.1765		100.00	1
SMYD3	SMYD3	ortholog_one2one	99.2991	99.2991	100	100.00	1
U6	RNU6-1283P	ortholog_one2one	93.4579	95.2381		100.00	1
NPR1	NPR1	ortholog_one2one	99.1517	99.1517	100	100.00	1
KIF26B	KIF26B	ortholog_one2one	95.3014	95.2562	100	100.00	1
							
Metazoa_SRP							
Metazoa_SRP							
U1	RNU1-132P	ortholog_one2one	89.6341	89.6341		100.00	1
SH2D5	SH2D5	ortholog_one2one	96.7213	97.6359	100	100.00	1
EFCAB2	EFCAB2	ortholog_one2one	62.9921	98.7654	100	100.00	1
Metazoa_SRP							
U6	RNU6-999P	ortholog_one2one	92.3077	91.4286		100.00	1
mml-mir-7180							
KIAA1143	KIAA1143	ortholog_one2one	96.7533	96.7533	100	100.00	1
U6	RNU6-1089P	ortholog_one2one	92.5234	95.1923		100.00	1
							
U6	RNU6-947P	ortholog_one2many	85	80.1887		100.00	1
U6	RNU6-781P	ortholog_one2many	63	62.3762		0.00	0
Metazoa_SRP							
							
SERP1	SERP1	ortholog_one2one	100	100	100	100.00	1
HNRNPU	HNRNPU	ortholog_one2one	99.6364	99.6364	100	100.00	1
							
							
U6							
							
COX20	COX20	ortholog_one2one	82.3077	90.678	100	100.00	1
							
							
							
							
PSEN2	PSEN2	ortholog_one2one	99.7768	99.7768	100	100.00	1
DESI2	DESI2	ortholog_one2one	99.4845	99.4845	100	100.00	1
							
Metazoa_SRP							
COL8A2	COL8A2	ortholog_one2one	99.0014	98.7198	100	100.00	1
CATSPERE	CATSPERE	ortholog_one2one	87.2632	87.1714	100	99.93	1
COQ8A	COQ8A	ortholog_one2one	97.8362	97.8362	100	100.00	1
ADPRS	ADPRS	ortholog_one2one	97.8022	98.0716	100	100.00	1
CIART	CIART	ortholog_one2one	96.6234	96.6234	100	100.00	1
							
ADSS2	ADSS2	ortholog_one2one	98.9035	98.9035	100	100.00	1
TEKT2	TEKT2	ortholog_one2one	97.4419	97.4419	100	100.00	1
DTL	DTL	ortholog_one2one	97.9452	97.9452	100	100.00	1
SPMIP3	SPMIP3	ortholog_one2one	94.5578	94.5578	100	100.00	1
							
Metazoa_SRP							
Metazoa_SRP							
							
mml-mir-3122							
AGO3	AGO3	ortholog_one2one	100	100	100	100.00	1
							
U6	RNU6-1200P	ortholog_one2one	90.6542	90.6542		100.00	1
Metazoa_SRP	RN7SL148P	ortholog_one2one	94.958	81.0036		100.00	1
							
							
E2F2	E2F2	ortholog_one2one	98.1693	98.1693	100	100.00	1
Metazoa_SRP							
ILF2	ILF2	ortholog_one2one	94.4039	99.4872	100	100.00	1
ZBTB18	ZBTB18	ortholog_one2one	99.8117	99.8117	100	100.00	1
							
PPP2R5A	PPP2R5A	ortholog_one2one	99.7942	99.7942	100	100.00	1
							
							
							
							
POU3F1	POU3F1	ortholog_one2one	99.7783	99.7783	100	100.00	1
							
SNORA16B	SNORA16B	ortholog_one2one	94.8148	94.8148		100.00	1
Metazoa_SRP							
ASAP3	ASAP3	ortholog_one2one	96.7885	96.7885	100	100.00	1
AGO1	AGO1	ortholog_one2one	100	100	100	100.00	1
PACC1	PACC1	ortholog_one2one	87.468	97.7143	100	100.00	1
DDOST	KIF17	ortholog_one2one	95.9144	95.9144	100	100.00	1
NENF	NENF	ortholog_one2one	98.8372	98.8372	100	100.00	1
AKT3	AKT3	ortholog_one2one	100	100	100	100.00	1
PPP2R3A	PPP2R3A	ortholog_one2one	97.5893	95.0435	100	100.00	1
SNAPIN	SNAPIN	ortholog_one2one	98.5294	98.5294	100	100.00	1
SLC6A9	SLC6A9	ortholog_one2one	87.3938	97.4724	100	100.00	1
GPR160	GPR160	ortholog_one2one	96.4497	96.4497	100	100.00	1
PINK1	PINK1	ortholog_one2one	97.2461	97.2461	100	100.00	1
CHTOP	CHTOP	ortholog_one2one	89.1697	99.5968	100	100.00	1
Metazoa_SRP							
U4	RNU4-38P	ortholog_one2one	94.5736	94.5736		100.00	1
TCEA3	TCEA3	ortholog_one2one	98.2759	98.2759	100	100.00	1
S100A1	S100A1	ortholog_one2one	74.2268	76.5957	100	100.00	1
CDA	CDA	ortholog_one2one	62.6374	78.0822	100	100.00	1
EPHB3	EPHB3	ortholog_one2one	99.4995	99.5992	100	100.00	1
CCDC24	CCDC24	ortholog_one2one	95.098	94.7883	100	100.00	1
S100A13	S100A13	ortholog_one2one	93.1507	69.3878	100	100.00	1
	PSMG2	ortholog_one2many	95.0758	95.0758	0	0.00	0
Metazoa_SRP							
AGO4	AGO4	ortholog_one2one	83.9632	95.4704	100	100.00	1
							
S100A14	S100A14	ortholog_one2one	52.3077	65.3846	100	100.00	1
MSL2	MSL2	ortholog_one2one	100	100	100	100.00	1
Y_RNA							
							
Metazoa_SRP							
							
							
							
							
B4GALT2	B4GALT2	ortholog_one2one	85.6021	87.9032	100	100.00	1
FAM43B	FAM43B	ortholog_one2one	98.1763	98.1763	100	100.00	1
S100A16	S100A16	ortholog_one2one	99.0291	99.0291	100	100.00	1
Metazoa_SRP							
CDC42BPA	CDC42BPA	ortholog_one2one	94.1463	99.0308	100	100.00	1
DNAH1	DNAH1	ortholog_one2one	97.9367	97.9367	100	100.00	1
ZNF436	ZNF436	ortholog_one2one	99.5736	99.3617	100	100.00	1
MAGEF1	MAGEF1	ortholog_one2one	89	86.9707	100	100.00	1
							
S100A2	S100A2	ortholog_one2one	97.9592	97.9592	100	100.00	1
MUL1	MUL1	ortholog_one2one	99.7159	99.7159	100	100.00	1
							
Metazoa_SRP							
							
PHC3	PHC3	ortholog_one2one	99.4975	99.4975	100	100.00	1
SDCCAG8	SDCCAG8	ortholog_one2one	80.6452	94.6704	100	100.00	1
							
S100A3	S100A3	ortholog_one2one	98.0198	98.0198	100	100.00	1
							
GLUL	GLUL	ortholog_one2one	100	100	100	100.00	1
CAMK2N1	CAMK2N1	ortholog_one2one	100	100	100	100.00	1
S100A4	S100A4	ortholog_one2one	100	100	100	100.00	1
DPH2	DPH2	ortholog_one2one	96.728	96.728	100	100.00	1
HNRNPR	HNRNPR	ortholog_one2one	100	100	100	100.00	1
S100A5	S100A5	ortholog_one2one	95.6522	95.6522	75	100.00	1
							
S100A6	S100A6	ortholog_one2one	100	100	75	100.00	1
							
Metazoa_SRP							
TEDDM1	TEDDM1	ortholog_one2one	94.1606	94.5055	100	100.00	1
PCCB	PCCB	ortholog_one2one	77.5544	85.8998	100	100.00	1
U6							
FCAMR	FCAMR	ortholog_one2one	69.313	78.6828	100	100.00	1
							
Metazoa_SRP	RN7SL44P	ortholog_one2one	91.7492	92.053		100.00	1
VWA5B1	VWA5B1	ortholog_one2one	94.7325	94.7325	100	100.00	1
GJA5	GJA5	ortholog_one2one	97.2067	97.2067	75	100.00	1
CLSPN	CLSPN	ortholog_one2one	96.3487	96.5646	100	100.00	1
							
C1H1orf116	C1orf116	ortholog_one2one	85.8462	92.8453	75	100.00	1
Metazoa_SRP	RN7SL261P	ortholog_one2one	84.589	87.5887		100.00	1
	S100A7A	ortholog_one2many	36.8	91.0891	0	100.00	0
HTR1D	HTR1D	ortholog_one2one	97.3475	97.3475	100	100.00	1
YOD1	YOD1	ortholog_one2one	97.7011	97.7011	100	100.00	1
Metazoa_SRP							
							
RGSL1	RGSL1	ortholog_one2one	87.3882	90.7993	100	100.00	1
							
ATF3	ATF3	ortholog_one2one	99.4475	99.4475	100	100.00	1
U6	RNU6-135P	ortholog_one2one	89.4737	84.1584		100.00	1
U6	RNU6-514P	ortholog_one2one	93.4579	93.4579		100.00	1
CHL1	CHL1	ortholog_one2one	97.2245	97.3039	50	100.00	1
GARIN4	GARIN4	ortholog_one2one	92.0875	92.0875	100	100.00	1
USP24	USP24	ortholog_one2one	98.8632	99.5802	100	100.00	1
	S100A7A	ortholog_one2many	88.1188	88.1188	100	100.00	1
LUZP1	LUZP1	ortholog_one2one	96	95.9108	100	100.00	1
GCLM	GCLM	ortholog_one2one	99.2701	99.2701	100	100.00	1
BAP1	BAP1	ortholog_one2one	98.6283	98.6283	100	100.00	1
							
U6	RNU6-315P	ortholog_one2one	92.5234	92.5234		100.00	1
IPO13	IPO13	ortholog_one2one	94.2	97.8193	100	100.00	1
							
PFKFB2	PFKFB2	ortholog_one2one	99.4059	99.4059	100	100.00	1
U7							
UBXN10	UBXN10	ortholog_one2one	94.2857	94.2857	100	100.00	1
C1H1orf54	C1orf54	ortholog_one2one	92.4242	93.1298	100	100.00	1
BATF3	BATF3	ortholog_one2one	67.3469	77.9528	100	100.00	1
S100A8	S100A8	ortholog_one2one	89.2473	89.2473	75	100.00	1
PLA2G2C	PLA2G2C	ortholog_one2one	84.106	85.2349	100	100.00	1
C1H1orf216	C1orf216	ortholog_one2one	96.0699	96.0699	100	100.00	1
U6							
S100A12	S100A12	ortholog_one2one	88.8889	86.9565	75	100.00	1
S100A9	S100A9	ortholog_one2one	88.5965	88.5965	100	100.00	1
DNTTIP2							
PLA2G2F	PLA2G2F	ortholog_one2one	60.223	76.7773	100	100.00	1
RNASEL	RNASEL	ortholog_one2one	92.1727	92.1727	100	100.00	1
PGLYRP4	PGLYRP4	ortholog_one2one	94.6381	94.6381	100	100.00	1
NSL1	NSL1	ortholog_one2one	68.8442	97.5089	100	100.00	1
PSMB2	PSMB2	ortholog_one2one	100	100	100	100.00	1
							
U6	RNU6-160P	ortholog_one2one	94.3925	94.3925		100.00	1
PGLYRP3	PGLYRP3	ortholog_one2one	96.4809	96.4809	100	100.00	1
							
MIR760	MIR760	ortholog_one2one	71.028	95		100.00	1
Metazoa_SRP							
Metazoa_SRP							
PLA2G2D	PLA2G2D	ortholog_one2one	79.5031	88.2759	100	100.00	1
Metazoa_SRP							
C4BPB	C4BPB	ortholog_one2one	91.6667	91.6667	75	100.00	1
KDM1A	KDM1A	ortholog_one2one	99.7706	99.3151	100	100.00	1
MIR4677	MIR4677	ortholog_one2one	100	100		100.00	1
LORICRIN							
RGS16	RGS16	ortholog_one2one	88.2353	89.1089	100	100.00	1
ARTN	ARTN	ortholog_one2one	92.1053	95.4545	100	100.00	1
							
TFAP2E	TFAP2E	ortholog_one2one	97.9638	97.9638	100	100.00	1
TATDN3	TATDN3	ortholog_one2one	97.4453	97.4453	100	100.00	1
PRR9	PRR9	ortholog_one2one	95.6897	95.6897	100	100.00	1
PLA2G5	PLA2G5	ortholog_one2one	82.2368	90.5797	100	100.00	1
							
PRKCI	PRKCI	ortholog_one2one	86.2319	99.8322	100	100.00	1
							
							
PHF7	PHF7	ortholog_one2one	97.3753	97.3753	100	100.00	1
							
SPATA45	SPATA45	ortholog_one2one	91.8367	91.8367	100	100.00	1
C4BPA							
RGS8	RGS8	ortholog_one2one	86.8687	95.5556	100	100.00	1
PLA2G2A	PLA2G2A	ortholog_one2one	91.6667	91.6667	100	100.00	1
							
Metazoa_SRP	RN7SL304P	ortholog_one2one	94.0397	94.3522		100.00	1
NCDN	NCDN	ortholog_one2one	99.7257	99.7257	100	100.00	1
BCAR3	BCAR3	ortholog_one2one	95.0898	96.2424	100	100.00	1
ZBTB8B	ZBTB8B	ortholog_one2one	98.5859	98.5859	100	100.00	1
Metazoa_SRP							
Metazoa_SRP	RN7SL122P	ortholog_one2one	92.4399	89.3688		100.00	1
FLVCR1	FLVCR1	ortholog_one2one	98.018	98.018	100	100.00	1
PLA2G2E	PLA2G2E	ortholog_one2one	96.4789	96.4789	100	100.00	1
VPS8	VPS8	ortholog_one2one	99.0196	99.0196	100	100.00	1
SEMA3G	SEMA3G	ortholog_one2one	97.8261	97.8261	100	100.00	1
ST3GAL3	ST3GAL3	ortholog_one2one	95.641	99.4667	100	100.00	1
							
							
CEP170	CEP170	ortholog_one2one	98.1383	93.1818	100	100.00	1
UTP11	UTP11	ortholog_one2one	98.8142	98.8142	100	100.00	1
							
OTUD3	OTUD3	ortholog_one2one	98.2368	97.99	100	100.00	1
							
		ortholog_one2one	93.2836	93.985		100.00	1
SPRR3	SPRR3	ortholog_one2one	86.3905	86.3905	100	100.00	1
							
VASH2	VASH2	ortholog_one2one	99.4366	99.4366	100	100.00	1
TNNC1	TNNC1	ortholog_one2one	69.4836	91.9255	100	100.00	1
Metazoa_SRP							
FNBP1L	FNBP1L	ortholog_one2one	82.3448	98.6777	100	100.00	1
BSDC1	BSDC1	ortholog_one2one	91.6115	96.5116	75	100.00	1
							
RNF186	RNF186	ortholog_one2one	94.2731	94.2731	100	100.00	1
NPL	NPL	ortholog_one2one	68.1818	79.6875	100	100.00	1
HIVEP3	HIVEP3	ortholog_one2one	97.8176	93.1421	100	100.00	1
IVL	IVL	ortholog_one2one	80.7933	66.1538	100	100.00	1
CD55	CD55	ortholog_one2one	49.2933	73.2283	100	98.87	0
SMCP	SMCP	ortholog_one2one	81.3008	86.2069	100	100.00	1
KIAA0319L	KIAA0319L	ortholog_one2one	96.4962	97.1401	100	100.00	1
ANGEL2	ANGEL2	ortholog_one2one	99.0809	99.0809	100	100.00	1
TMCO4	TMCO4	ortholog_one2one	96.2145	96.2145	100	100.00	1
EDN2	EDN2	ortholog_one2one	83.0097	96.0674	100	100.00	1
U6							
							
STAG1	STAG1	ortholog_one2one	100	100	100	100.00	1
LCE1F	LCE1D	ortholog_many2many	90	86.8421	75	100.00	1
LCE1F	LCE1E	ortholog_many2many	96.3636	89.8305	75	100.00	1
FOXO6	FOXO6	ortholog_one2one	87.3214	99.3902	100	100.00	1
							
LCE1C	LCE1C	ortholog_one2one	98.1818	91.5254	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	91.6667	92.5234		100.00	1
Metazoa_SRP							
							
							
Y_RNA	Y_RNA	ortholog_one2one	95.098	97		100.00	1
	LCE1D	ortholog_many2many	90.678	93.8596	100	100.00	1
	LCE1E	ortholog_many2many	95.7627	95.7627	100	100.00	1
TEX46	TEX46	ortholog_one2one	68.6747	94.2149	100	100.00	1
							
Metazoa_SRP							
	LCE1D	ortholog_many2many	90.678	93.8596	100	100.00	1
	LCE1E	ortholog_many2many	95.7627	95.7627	100	100.00	1
							
Metazoa_SRP							
HTR6	HTR6	ortholog_one2one	97.7273	97.7273	100	100.00	1
Metazoa_SRP	RN7SL120P	ortholog_one2one	93.266	93.5811		100.00	1
Y_RNA							
NISCH	NISCH	ortholog_one2one	94.9769	95.5452	100	100.00	1
	LCE1D	ortholog_many2many	88.1356	91.2281	100	100.00	1
	LCE1E	ortholog_many2many	93.2203	93.2203	100	100.00	1
LACTBL1	LACTBL1	ortholog_one2one	97.8062	92.4007	100	100.00	1
KDM4A	KDM4A	ortholog_one2one	99.1533	99.0602	100	100.00	1
Metazoa_SRP							
KPRP	KPRP	ortholog_one2one	93.2643	93.2643	100	100.00	1
SKIL	SKIL	ortholog_one2one	90.7648	91.9591	100	100.00	1
Metazoa_SRP							
DHX9	DHX9	ortholog_one2one	99.2157	99.6063	100	100.00	1
SCMH1	SCMH1	ortholog_one2one	98.6567	98.6567	100	100.00	1
KPLCE							
CR2	CR2	ortholog_one2one	92.8506	92.7656	100	100.00	1
NBL1	NBL1	ortholog_one2one	43.8725	98.895	100	100.00	0
Metazoa_SRP							
Metazoa_SRP							
CCDC18	CCDC18	ortholog_one2one	97.8635	97.5945	100	100.00	1
	LCE2C	ortholog_many2many	95.4545	95.4545	100	100.00	1
	LCE2B	ortholog_many2many	95.4545	95.4545	100	100.00	1
	LCE2D	ortholog_many2many	96.3636	96.3636	100	100.00	1
							
GTPBP8	GTPBP8	ortholog_one2one	94.7183	94.7183	100	100.00	1
PLD5	PLD5	ortholog_one2one	99.0672	99.0672	100	100.00	1
CNTN6	CNTN6	ortholog_one2one	97.3761	97.4708	75	100.00	1
	LCE2C	ortholog_many2many	94.5455	94.5455	100	100.00	1
	LCE2B	ortholog_many2many	94.5455	94.5455	100	100.00	1
	LCE2D	ortholog_many2many	95.4545	95.4545	100	100.00	1
CLDN11	CLDN11	ortholog_one2one	97.5845	97.5845	100	100.00	1
MRPS25	MRPS25	ortholog_one2one	96.5318	96.5318	75	100.00	1
TMIGD3	TMIGD3	ortholog_one2one	95.1009	95.1009	100	100.00	1
							
EPHB2	EPHB2	ortholog_one2one	90.9427	99.7972	100	100.00	1
SLFNL1	SLFNL1	ortholog_one2one	95.0617	94.5946	100	100.00	1
							
RPS6KC1	RPS6KC1	ortholog_one2one	98.1238	98.1238	100	100.00	1
							
TSSK3	TSSK3	ortholog_one2one	99.2537	99.2537	100	100.00	1
CR1	CR1	ortholog_one2one	92.3567	75.7332	100	99.99	1
NEPRO	NEPRO	ortholog_one2one	94.3463	94.1799	100	100.00	1
	NDUFB8	ortholog_one2many	92.4731	92.4731	0	0.00	0
							
SLC7A14	SLC7A14	ortholog_one2one	98.8327	98.8327	100	100.00	1
U6							
FAM229A	FAM229A	ortholog_one2one	94.4882	94.4882	100	100.00	1
U6	RNU6-792P	ortholog_one2one	97.1963	97.1963		100.00	1
CRCT1	CRCT1	ortholog_one2one	92.3077	96.9697	100	100.00	1
RBSN	RBSN	ortholog_one2one	97.9618	98.0867	50	100.00	1
LCE5A	LCE5A	ortholog_one2one	98.3051	98.3051	100	100.00	1
MAP1LC3C	MAP1LC3C	ortholog_one2many	95.2381	95.2381	100	100.00	1
C1H1orf162	C1orf162	ortholog_one2one	73.5484	87.6923	100	100.00	1
CTPS1	CTPS1	ortholog_one2one	99.4924	99.4924	100	100.00	1
							
SHCBP1L	SHCBP1L	ortholog_one2one	95.5793	96.0184	100	100.00	1
							
							
BECN2	BECN2	ortholog_one2one	88.8631	88.8631	100	100.00	1
MARCKSL1	MARCKSL1	ortholog_one2one	100	100	75	100.00	1
							
							
CRNN	CRNN	ortholog_one2one	90.2834	90.101	100	100.00	1
CR1L	CR1L	ortholog_one2one	87.6977	87.6977	100	100.00	1
Metazoa_SRP							
							
							
ATP5PB	ATP5PB	ortholog_one2many	80	90.625	100	100.00	1
TMED5	TMED5	ortholog_one2one	99.1266	99.1266	100	100.00	1
							
RUSC1	RUSC1	ortholog_one2one	84.453	97.561	75	100.00	1
Y_RNA							
HDAC1	HDAC1	ortholog_one2one	99.7925	99.7925	100	100.00	1
FLG2	FLG2	ortholog_one2one	84.3346	76.3279	100	100.00	1
							
							
EXO1	EXO1	ortholog_one2one	95.6265	95.6265	100	100.00	1
RPL22L1	RPL22L1	ortholog_one2one	98.3607	98.3607	100	100.00	1
							
							
Metazoa_SRP							
LAMC1	LAMC1	ortholog_one2one	98.8806	98.8191	100	100.00	1
U4	RNU4-28P	ortholog_one2one	79.4326	79.4326		100.00	1
C1QB	C1QB	ortholog_one2one	94.4664	95.2191	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	75	39.3617		0.00	0
							
EIF5A2	EIF5A2	ortholog_one2one	100	100	100	100.00	1
							
TRH	TRH	ortholog_one2one	95.2991	92.1488	50	100.00	1
U1	RNU1-70P	ortholog_one2one	92.0732	92.0732		100.00	1
							
APH1A	APH1A	ortholog_one2one	78.8321	81.5094	100	100.00	1
C1QC	C1QC	ortholog_one2one	96.3265	96.3265	100	100.00	1
MTF2	MTF2	ortholog_one2one	99.8314	99.8314	100	100.00	1
							
							
LCK	LCK	ortholog_one2one	89.0653	99.2141	100	100.00	1
CITED4	CITED4	ortholog_one2one	75.8621	95.6522	100	100.00	1
SLC2A2	SLC2A2	ortholog_one2one	97.9008	97.9008	100	100.00	1
CAPZB	CAPZB	ortholog_one2one	89.701	99.2647	100	100.00	1
ACP6	ACP6	ortholog_one2one	94.6262	94.6262	100	100.00	1
WDR64	WDR64	ortholog_one2one	95.967	95.967	100	100.00	1
C1QA							
CD46	CD46	ortholog_one2one	81.5104	83.0239	100	100.00	1
KCNQ4	KCNQ4	ortholog_one2one	98.5611	98.5611	100	100.00	1
OVGP1	OVGP1	ortholog_one2one	86.1027	84.0708	100	100.00	1
CNTN4	CNTN4	ortholog_one2one	96.1127	96.3938	100	100.00	1
mml-mir-6127							
TMCC1	TMCC1	ortholog_one2one	99.6937	99.6937	75	100.00	1
BCL9	BCL9	ortholog_one2one	99.2987	99.2987	75	100.00	1
							
							
							
PCSK9	PCSK9	ortholog_one2one	80.9906	87.4277	100	100.00	1
Metazoa_SRP	RN7SL326P	ortholog_one2one	90.9699	91.8919		100.00	1
Metazoa_SRP							
