Gene name	Mouse Lemur gene name	Mouse Lemur homology type	%id. target Mouse Lemur gene identical to query gene	%id. query gene identical to target Mouse Lemur gene	Mouse Lemur Gene-order conservation score	Mouse Lemur Whole-genome alignment coverage	Mouse Lemur orthology confidence [0 low, 1 high]
WASH6P							
							
							
WASIR1							
IL9R							
							
TSPY24P							
ZNF92P1Y							
SERBP1P2							
TSPY12P							
DUX4L19							
							
OFD1P3Y							
RBMY2HP							
							
ELOCP35							
SLC9B1P1							
USP12PY							
KDM5DP1							
DUX4L17							
							
							
ZNF736P6Y							
TUSC2P1							
PUDPP1							
							
CDRT15P10							
USP9Y							
Y_RNA							
RNU6-409P							
ACR							
							
SNRPA1P2							
SHANK3							
							
RNF19BPY							
TUBB1P2							
							
ACTR3BP1							
RPS24P1							
RCC2P2							
ZNF736P8Y							
EIF1AY							
BPY2							
MTND1P12							
CTBP2P1							
MTND6P1							
PABPC1P5							
RCC2P1							
SHROOM2P1							
							
DUX4L18							
ZNF736P11Y							
BPY2DP							
CHEK2P1							
ZNF886P							
OFD1P16Y							
							
ASS1P6							
SNX18P1Y							
MED14P1							
ZNF885P							
ARSFP1							
							
ZNF736P7Y							
SURF6P1							
							
ANKRD20A6P							
							
RBMY2KP							
TTTY19							
TTTY4							
							
MXRA5Y							
DUX4L16							
MTCYBP1							
							
TTTY17A							
AGPAT5P1							
							
FAM41AY1							
							
TRIM60P3Y							
MTND1P1							
							
PRRC2CP1							
ZNF736P10Y							
							
							
MTND2P3							
							
							
							
ARSDP1							
CDY4P							
UBE2V1P3							
FAM8A4P							
							
TRIM60P8Y							
MED13P1							
CYCSP46							
RNU6-303P	U6	ortholog_one2many	88.6792	87.8505		0.00	0
		ortholog_one2many	61.3636	72.973		0.00	0
RN7SL702P							
RNA5SP520							
RNA5SP521							
							
RNU6-109P							
RNU6-184P							
HSFY2							
GPM6BP2							
USP9YP2							
ELOCP14							
XKRYP2							
USP9YP10							
RNU1-41P	U1	ortholog_one2many	74.6914	76.5823		0.00	0
OFD1P7Y							
MTCYBP2							
ZNF839P1							
CD24P4							
RNU6-255P							
GCGR							
							
GAPDHP19							
CLUHP1							
TAF9P1							
CDY5P							
ELOCP36							
ACTG1P2							
USP9YP23							
USP9YP27							
RNU1-128P	U1	ortholog_one2many	73.125	74.0506		0.00	0
TRAPPC2P3							
ELOCP6							
CDY6P							
USP9YP7							
USP9YP6							
CDY7P							
USP9YP34							
USP9YP32							
CDY8P							
ELOCP12							
TRAPPC2P8							
USP9YP15							
RNU1-95P	U1	ortholog_one2many	73.125	74.0506		0.00	0
USP9YP16							
ACTG1P11							
ELOCP26							
CDY9P							
TAF9P2							
CLUHP2							
							
RNA5SP522							
RNA5SP523							
TUBB1P1							
ELOCP13							
OFD1P4Y							
RNU1-48P	U1	ortholog_one2many	74.6914	76.5823		0.00	0
USP9YP5							
XKRYP1							
ELOCP7							
USP9YP1							
GPM6BP1							
RAB9AP4							
TRAPPC2P7							
							
							
KDM5D							
MCRIP1							
PPP1R27							
HSFY1							
TGIF2LY							
CDY2A							
ZNF736P3Y							
TRIM60P9Y							
RN7SKP282							
Y_RNA	Y_RNA	ortholog_one2many	78.5714	77.8761		0.00	0
RNU6-941P							
RNU6-521P							
SRIP3							
							
GOT2P5							
ATP5PFP1							
							
TRIM60P10Y							
ZNF736P2Y							
TRIM60P11Y							
							
ZNF736P1Y							
							
ZNF736P5Y							
BPY2C							
TTTY4C							
DAZ4	DAZL	ortholog_one2many	24.8963	56.962	0	99.49	0
CDY2B							
RNU6-1334P							
SRY							
LINC01784							
PRAMEF11							
TOMM22P2							
							
RPS4Y1							
PRAMEF30P							
HNRNPCL1							
PRAMEF2							
NAP1L1P2							
							
ZFY							
PRAMEF4							
PRAMEF10							
PRAMEF7							
EEF1A1P41							
PSMA6P1							
SFPQP1							
DPPA2P1							
RNU6-1072P							
PRAMEF29P							
DDX3Y		ortholog_one2one	68.0303	72.0706	0	0.00	0
PRAMEF6							
PRAMEF28P							
PRAMEF27							
HNRNPCL3							
PRAMEF25							
PRAMEF34P							
PRAMEF35P							
HNRNPCL2							
PRAMEF36P							
							
							
PRAMEF26							
HNRNPCL4							
PRAMEF9							
CASKP1							
UTY							
PRAMEF13							
PRAMEF18							
PRAMEF31P							
PRAMEF5							
PRAMEF32P							
RNU6-771P							
PRAMEF8							
PRAMEF33							
PRAMEF22							
TMSB4Y	TMSB4X	ortholog_one2one	93.1818	93.1818	0	100.00	1
VCY							
DAZ3	DAZL	ortholog_one2many	39.9543	55.3797	0	99.11	0
ARHGEF19							
							
ANO7L1							
							
CPLANE2							
MT1XP1							
FBXO42							
DAZ1	DAZL	ortholog_one2many	23.7903	56.0127	0	99.60	0
SZRD1							
RPL22P3							
SPATA21							
NECAP2							
SNORA70	SNORA70	ortholog_one2many	65.2174	69.2308		0.00	0
							
							
LINC01772							
AMELY							
CROCCP3							
RNU1-1							
							
							
LINC01783							
RNU1-6P							
PDE4DIPP8							
TBL1Y	TBL1X	ortholog_one2many	90.8046	87.9406	0	98.93	1
							
RNU1-2							
							
							
LINC03126							
RNU1-5P							
							
							
EIF1AXP1							
RNU1-3							
RNU1-4							
PADI2							
							
CROCCP4							
							
							
							
							
							
							
							
							
							
							
							
DAZ2	DAZL	ortholog_one2many	27.2171	56.3291	0	100.00	0
							
							
NBPF1							
AGKP1							
NLGN4Y-AS1							
NLGN4Y	NLGN4X	ortholog_one2many	96.5311	96.5311	0	100.00	1
CDY22P							
ELOCP17							
OFD1P18Y							
TRAPPC2P4							
RAB9AP3							
USP9YP20							
RNU1-40P	U1	ortholog_one2many	75.6098	78.481		0.00	0
USP9YP21							
XKRYP6							
ELOCP11							
CDY23P							
USP9YP26							
HSFY8P							
							
							
SNORA70	SNORA70	ortholog_one2many	65.2174	69.2308		0.00	0
RNU6-1314P	U6	ortholog_one2many	83.6538	81.3084		0.00	0
CYCSP48							
VCY1B							
PNPLA4P1							
							
TBL1YP1							
RPS4Y2							
HSFY4P							
							
GAPDHP17							
TMEM167AP1							
							
TOMM22P1							
NEFLP1							
							
PRORY							
							
TSPY14P							
RBMY1HP							
							
							
TTTY13							
ELOCP5							
CDY10P							
USP9YP3							
USP9YP8							
CDY11P							
HSFY6P							
USP9YP18							
CDY14P							
ELOCP16							
XKRYP3							
USP9YP25							
USP9YP29							
RNU1-97P	U1	ortholog_one2many	75.6098	78.481		0.00	0
RAB9AP1							
TRAPPC2P9							
OFD1P11Y							
RNU2-57P	U2	ortholog_one2many	67.0157	77.1084		0.00	0
VDAC1P6							
EIF4A1P2							
KRT18P10							
SNX3P1Y							
RPL26P37							
PCDH11Y	PCDH11X	ortholog_one2many	86.5385	80.6572	0	99.73	1
ELOCP9							
CDY15P							
XKRYP4							
USP9YP13							
USP9YP11							
TTTY3B							
USP9YP12							
RNU1-86P	U1	ortholog_one2many	70.7792	68.9873		0.00	0
RAB9AP5							
TRAPPC2P10							
OFD1P12Y							
ELOCP10							
CDY1B							
CDY17P							
USP9YP35							
USP9YP31							
CDY18P							
							
RN7SL818P							
UBE2Q2P4Y							
LINC00265-2P							
CICP2							
							
RBMY2XP							
TTTY17B							
TRIM60P5Y							
ZNF736P12Y							
TTTY4B							
BPY2B							
							
ZNF736P4Y							
							
RBMY2YP							
							
CICP1							
LINC00265-3P							
UBE2Q2P5Y							
GOLGA2P3Y							
RN7SL725P							
							
CDY19P							
USP9YP36							
USP9YP33							
CDY20P							
ELOCP34							
OFD1P13Y							
TRAPPC2P5							
RAB9AP2							
USP9YP30							
RNU1-107P	U1	ortholog_one2many	70.7792	68.9873		0.00	0
TTTY3							
USP9YP9							
USP9YP19							
XKRYP5							
CYCSP49							
SLC25A15P1							
PARP4P1							
CCNQP2							
CDY1							
RBMY1B							
RBMY1A1							
RFTN1P1							
							
							
BCL2L14							
TTTY11							
ARSLP1							
OFD1P6Y							
XKRY							
XKRYP7							
							
							
HSFY3P							
							
TAB3P1							
							
ANOS2P							
RBMY2EP							
GOLGA2P2Y							
GOLGA2P2Y							
							
TXLNGY							
GYG2P1							
CDY3P							
USP9YP22							
USP9YP4							
PTMAP9							
MIR1244-4							
ELOCP4							
							
LRP6							
TTTY20							
TSPY4							
FAM197Y7							
							
FAM197Y6							
							
TSPY8							
TSPY3							
RBMY2CP							
RBMY2DP							
ZNF736P9Y							
FAM197Y8							
PRKY							
XKRYP7							
RPL21P100							
BCORP1							
RNU6-545P							
							
RNU6-318P							
MANSC1							
FAM197Y8							
FAM197Y5							
FAM197Y5							
TSPY1							
RPL23AP66							
FAM197Y4							
FAM197Y4							
LOH12CR2							
TSPY9							
BORCS5							
FAM197Y3							
FAM197Y3							
							
FAM197Y2							
TSPY10							
							
DUSP16							
FAM197Y1							
TSPY25P							
TSPY16P							
							
TTTY22							
							
							
TSPY18P							
RBMY2OP							
RBMY2QP							
TSPY20P							
							
TSPY5P							
							
							
RNA5SP518							
RNA5SP519							
							
DUX4L31							
PCMTD1P1							
CDC27P2							
							
RNA5-8SP6							
DLGAP5P1							
TTTY23B							
TSPY2							
FAM197Y9							
FAM197Y9							
							
TSPY19P							
							
LINC00280							
							
TSPY17P							
							
							
							
							
							
							
TTTY23							
FAM224B							
							
TTTY2B							
TTTY1B							
TTTY7							
TTTY8B							
							
							
							
							
							
MIR4740							
MIR3186							
							
LINC01971							
							
							
ACTG1							
							
							
							
							
TTTY10							
BAHCC1							
TTTY16							
							
							
							
LINC03048							
TTTY12							
							
TTTY2							
TTTY7B							
ZFY-AS1							
							
							
							
							
							
							
							
TTTY17C							
SEPTIN14P23							
							
							
TXLNGY							
							
							
							
							
FAM41AY2							
							
LINC00278							
							
TTTY1							
							
TTTY11							
							
							
							
							
							
							
							
							
							
							
							
BCORP1							
							
LINC00279							
							
RNU5B-4P							
ECSCR							
TTTY18							
							
SMIM33							
STING1							
							
TTTY8							
							
PRKY							
STSP1							
							
RBMY2JP							
							
XGY1							
							
RBMY2WP							
							
USP9YP28							
TTTY14							
							
NCOA4P4							
							
OFD1P1Y							
USP9YP14							
RNASEH2CP1							
XGY2							
PPP1R12BP2							
REREP1Y							
							
							
GPR143YP							
							
OFD1P15Y							
REREP2Y							
PPP1R12BP1							
							
ANKRD36P1							
							
							
OFD1P2Y							
OFD1P5Y							
RBMY2TP							
							
OFD1P10Y							
							
							
GOLGA6L11P							
							
DNM1P24							
CSPG4P2Y							
CSPG4P3Y							
							
							
SEPTIN14P22							
							
							
							
CSPG4P4Y							
CSPG4P1Y							
DNM1P48							
GOLGA6L16P							
							
							
							
TPTE2P4							
RBMY1A3P							
							
TSPY7P							
							
TSPY6P							
							
TSPY15P							
							
RBMY3AP							
							
RBMY2NP							
							
TSPY13P							
							
TSPY11P							
							
RBMY2GP							
							
							
RBMY1D							
							
RBMY1E							
							
RBMY2AP							
							
							
OFD1P8Y							
							
HSFY5P							
USP9YP17							
CDY12P							
ELOCP15							
							
TTTY6B							
RBMY1F							
TSPY23P							
RBMY2UP							
RBMY1KP							
TTTY5							
TSPY22P							
RBMY2FP							
RBMY2FP							
TTTY25P							
TSPY21P							
RBMY1J							
							
							
CYCSP41							
							
							
OR4K11P							
							
							
							
							
CTBP2P10							
RBPMSLP							
SREK1IP1P1							
MIR548XHG							
							
FDPSP6							
							
TTTY6							
							
NEK4P1							
							
ELOCP8							
CDY13P							
							
USP9YP24							
PPIAP22							
							
SLC6A6P1							
CTBP2P9							
HSFY7P							
							
OFD1P9Y							
CHODL-AS1							
							
							
TUBAP1							
							
TMPRSS15	TMPRSS15	ortholog_one2one	79.1953	84.9474	100	97.87	1
RBMY2BP							
							
							
XKRY							
							
							
							
VN1R7P							
FAM224A							
ZNF299P							
							
SNX19P1							
							
							
SLC25A15P4							
GPX1P2							
							
							
CXADR	CXADR	ortholog_one2one	91.5069	91.5069	100	100.00	1
							
							
							
TTTY9B							
							
							
							
TTTY9A							
							
							
IGHV1OR21-1							
HSPD1P7							
MSANTD2P1							
							
C1QBPP1							
							
RPL10P1							
LINC00317							
							
							
							
							
							
LINC01689							
							
							
							
							
							
KRT18P2							
							
							
							
URB1	URB1	ortholog_one2one	86.0854	86.2754	100	100.00	1
C1R							
							
KRTAP25-1							
							
RPSAP68							
RBMY3AP							
JAM2	JAM2	ortholog_one2one	78.1879	80.9028	100	100.00	1
CDY3P							
TSPY25P							
USP9YP22							
TSPY16P							
USP9YP4							
ELOCP4							
RBMY1A3P							
							
TTTY20							
TSPY8							
FAM197Y7							
							
TSPY4							
TSPY9							
FAM197Y2							
FAM197Y4							
FAM197Y4							
FAM197Y8							
FAM197Y8							
							
EEF1A1P1							
							
							
							
RPL8P2							
CLDN17							
BTF3L4P1							
							
							
RPL37P3							
THUMPD1P1							
							
PPIAP1							
LLPHP2							
KRTAP24-1							
							
C1RL							
NCSTNP1							
							
RPS3AP1							
SCAF4	SCAF4	ortholog_one2one	96.9486	97.373	100	100.00	1
C1RL-AS1							
ELOCP5							
CDY10P							
USP9YP3							
RBP5							
USP9YP8							
CDY11P							
OFD1P16Y							
RNU6-485P							
							
CLSTN3							
EIF4A1P1							
LINC00307							
NCAM2	NCAM2	ortholog_one2one	97.491	97.491	100	100.00	1
MIPEP	MIPEP	ortholog_one2one	94.1094	94.1094	75	100.00	1
							
							
OR4K12P							
							
							
RPSAP64							
TPT1P1							
							
LINC01423							
							
CLDN8							
							
							
LINC02943							
							
							
HUNK-AS1							
							
HUNK	HUNK	ortholog_one2one	90.8964	93.3813	100	100.00	1
LSP1P1							
ZNF962P							
							
RPL17P51							
							
HSPD1P9							
							
C1QTNF9-AS1							
MTCO3P2							
							
PEX5							
							
							
EIF3FP1							
C21orf91	C21orf91	ortholog_one2one	92.9293	92.9293	100	100.00	1
RPS20P32							
FABP3P2							
MTUS2-AS1							
KPNA3	KPNA3	ortholog_one2one	99.2322	99.2322	100	100.00	1
LINC00308							
MORC3	MORC3	ortholog_one2one	90.6283	90.5319	100	100.00	1
OR4C12							
OR4C48P							
OR4C49P							
OR4C45							
							
							
CRYL1	CRYL1	ortholog_one2one	76.8025	69.6023	100	100.00	1
PAXBP1	PAXBP1	ortholog_one2one	98.3642	98.4716	100	100.00	1
LINC00562							
RPS21P8							
							
CAB39L	CAB39L	ortholog_one2one	97.9229	97.9229	100	100.00	1
							
CHCHD2P11							
TIMM9P3							
LINC00457							
RAD17P2							
DNAJC15	DNAJC15	ortholog_one2one	86	86	100	100.00	1
GPR12	GPR12	ortholog_one2one	95.2096	95.2096	50	100.00	1
MTUS2-AS2							
COLEC12	COLEC12	ortholog_one2one	97.4394	97.7027	100	100.00	1
							
ZNF646P1							
RPP40P2							
GAMTP2							
WASF3	WASF3	ortholog_one2one	95.8167	95.8167	75	100.00	1
NIPA2P3							
EPCIP	C21orf62	ortholog_one2one	78.9954	72.3849	100	100.00	1
							
LINC01892							
							
							
							
							
							
							
							
							
							
LINC01928							
LINC01700							
							
FDX1P2							
POSTN	POSTN	ortholog_one2one	90.5502	93.1119	100	100.00	1
CHODL	CHODL	ortholog_one2one	98.5348	98.5348	100	100.00	1
SLC25A3P3							
							
							
							
							
							
COP1P1							
RAB31	RAB31	ortholog_one2one	96.4103	96.4103	100	100.00	1
							
							
BACH1	BACH1	ortholog_one2one	91.5761	91.2043	100	100.00	1
							
							
ZNF415P1							
							
COX6CP3							
							
							
YES1	YES1	ortholog_one2one	96.8692	97.5881	75	100.00	1
							
SPATA20P1							
							
							
							
							
PSMA6P3							
ETS2	ETS2	ortholog_one2one	94.2431	94.2431	100	100.00	1
RPS4XP18							
							
PPIAP57							
							
BOD1P2							
							
NAA50P1							
							
							
							
							
LINC01543							
OR8J2							
							
							
OR5T2							
							
OR5T3							
							
OR5T1							
							
							
OR8H1							
NDUFV2	NDUFV2	ortholog_one2one	77.1084	82.7586	100	100.00	1
OR8I1P							
OR8K3							
FAM8A2P							
OR8K2P							
OR8K1							
RPL5P29							
OR8J1							
OR8U8							
OR8U9							
OR8L1P							
							
KCNJ15	KCNJ15	ortholog_one2one	96	95.7447	100	100.00	1
CELF4	CELF4	ortholog_one2one	99.3827	99.5876	100	100.00	1
							
MAPK6P2							
ZNF355P							
CRYZL1		ortholog_one2many	91.404	85.2941	0	0.00	0
CRYZL1	CRYZL1	ortholog_one2many	95.4155	95.4155	100	100.00	1
GNG5P5							
FNDC3A	FNDC3A	ortholog_one2one	93.6561	95.0847	100	100.00	1
							
							
							
Y_RNA							
BNIP3P43							
N6AMT1	N6AMT1	ortholog_one2one	92.0561	92.0561	0	100.00	1
							
FHP1							
							
FREM2-AS1							
LHFPL6	LHFP	ortholog_one2one	98.5	98.5	100	100.00	1
							
							
							
POLR3KP1							
							
ANKRD30BP1							
SLC25A5P4							
							
VN1R8P							
SPATA13-AS1							
GTF2IP2							
PRR20FP							
							
							
DNAJA1P1							
ELL2P3							
AKAP11	AKAP11	ortholog_one2one	85.8496	86.1668	50	100.00	1
							
							
							
ADAMTS5	ADAMTS5	ortholog_one2one	94.3011	94.3011	75	100.00	1
MZT1		ortholog_one2one	91.4634	93.75	0	0.00	0
SNRPGP13							
Y_RNA	Y_RNA	ortholog_one2many	76.2376	75.4902		0.00	0
5_8S_rRNA							
							
MIR6724-2							
Y_RNA	Y_RNA	ortholog_one2many	76.2376	75.4902		0.00	0
							
MIR6724-3							
							
RNA5-8SN3							
LINC00374							
MIR6724-4							
							
RNA5-8SN1							
PROSER1	PROSER1	ortholog_one2one	90.2542	89.9683	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2many	76.2376	75.4902		0.00	0
MIR6724-1							
							
AKAIN1	AKAIN1	ortholog_one2one	81.1594	73.6842	100	100.00	1
MIR3648-1							
							
RNA5-8SN2							
SNORA70							
MIR3118-1							
Y_RNA	Y_RNA	ortholog_one2many	76.2376	75.4902		0.00	0
SLC14A2	SLC14A2	ortholog_one2one	90.2174	90.1194	100	100.00	1
RNU6-286P							
RN7SL52P							
RNU6-113P							
Y_RNA							
Y_RNA							
RN7SKP147	7SK	ortholog_one2one	65.9836	63.8889		100.00	1
RNU6-772P							
RNU2-55P							
RNU1-139P	U1	ortholog_one2one	79.3939	81.3665		0.00	0
RNU4-45P							
MIR3156-3							
Y_RNA							
RN7SKP236							
RN7SL163P							
MIR6130							
RNA5SP489							
MIR4759							
MIR548X							
RNU6-614P	U6	ortholog_one2many	67.2897	70.5882		0.00	0
U6							
SNORA62							
SNORA80A	SNORA80A	ortholog_one2one	84.5588	86.4662		100.00	1
							
		ortholog_one2many	73.9583	54.6154		0.00	0
		ortholog_one2many	71.875	53.0769		0.00	0
		ortholog_one2many	68.75	55		73.13	0
C2CD2	C2CD2	ortholog_one2one	77.4425	77.554	100	100.00	1
							
RALBP1	RALBP1	ortholog_one2one	96.7939	96.7939	100	100.00	1
RPL37P21							
ERICH6B							
LINC00547							
RPL13AP25							
MARK2P12							
							
PIBF1	PIBF1	ortholog_one2one	93.395	93.395	100	100.00	1
							
SS18	SS18	ortholog_one2one	99.0431	99.0431	75	100.00	1
ZBTB21	ZBTB21	ortholog_one2one	76.7355	94.7856	100	100.00	1
							
U6							
ABCD1P4							
							
PABPC1P9							
SLC9B1P4							
ACTR3BP6							
UMODL1-AS1							
							
RPL34P3							
EZH2P1							
MIR802	MIR802	ortholog_one2one	93.617	94.6237		100.00	1
RPS20P1							
PPP1R2P2							
RPL23AP3							
RIMKLBP1							
RNU6-992P							
CBR1		ortholog_one2many	91.3357	91.3357	100	100.00	1
CBR1		ortholog_one2many	90.2527	90.5797	100	100.00	1
FABP5P1							
BORA	BORA	ortholog_one2one	91.4132	82.2866	75	100.00	1
							
RPS9P1							
CBR3	CBR3	ortholog_one2one	88.8087	88.8087	100	100.00	1
RPL3P1							
EVA1C	EVA1C	ortholog_one2one	90.7029	90.7029	100	100.00	1
KLHL1	KLHL1	ortholog_one2one	98.1283	97.8667	75	100.00	1
LINC01442							
NAP1L4P3							
							
HNF4GP1							
RPL12P34							
HMGN2P39							
PLA2G12AP2							
ZDHHC20P4							
SCEL	SCEL	ortholog_one2one	83.7209	80.1113	100	100.00	1
EXOSC3P1							
							
RNA5SP490							
CFAP298		ortholog_one2many	70	86.7521	0	0.00	0
CFAP298	CFAP298	ortholog_one2many	95.5172	95.5172	100	100.00	1
OR7E23P							
							
CFAP298-TCP10L							
							
							
							
							
TPMTP1							
RPS8P3							
							
NPM1P1							
							
ANKRD12	ANKRD12	ortholog_one2one	92.2405	92.5547	100	100.00	1
TCP10L							
COX4I1P2							
							
							
FGFR1OP2P1							
NPM1P22							
NIPA2P5							
RPL31P53							
RPL18AP17							
SPATA2P1							
HSPD1P8							
RPL21P111							
MTCL1P1							
FREM2	FREM2	ortholog_one2one	92.5844	92.5552	100	100.00	1
BTG3	BTG3	ortholog_one2one	96.0317	96.0317	100	100.00	1
ARK2N	C19H18orf25	ortholog_one2one	98.0198	98.0198	100	100.00	1
CTAGE11P							
PRR20B							
HNRNPA1P18							
TBC1D4	TBC1D4	ortholog_one2one	82.2804	86.9707	100	98.16	1
SUMO3	SUMO3	ortholog_one2one	89.3204	74.7967	50	100.00	1
ZBTB7C-AS1							
SKA1	SKA1	ortholog_one2one	87.451	87.7953	100	100.00	1
SAMSN1	SAMSN1	ortholog_one2one	84.9866	71.8821	100	100.00	1
							
							
							
							
VDAC1P12							
							
							
RPS3AP52							
CTAGE16P							
LINC00333							
PRR20D							
							
							
MTCO2P2							
							
SINHCAFP1							
SPRY2	SPRY2	ortholog_one2one	96.8254	97.1338	100	100.00	1
RPS24P18							
MAP1LC3P							
RPRD1A	RPRD1A	ortholog_one2one	99.359	99.359	100	100.00	1
PRR20E							
UFM1	UFM1	ortholog_one2one	100	100	100	100.00	1
							
MTND4P1							
MTCO2P3							
OR7E111P							
							
KLF5	KLF5	ortholog_one2one	95.4048	95.4048	100	100.00	1
OR9G1							
RIT2	RIT2	ortholog_one2one	99.0783	98.6239	100	100.00	1
OR9G9							
							
							
							
OR9G3P							
SIM2	SIM2	ortholog_one2one	81.5592	85.2665	100	100.00	1
OR9G4							
OR9G2P							
OR5G1P							
OR5G4P							
OR5G5P							
OR5G3							
LINC02735							
							
RPL31P54							
CBY2	CBY2	ortholog_one2one	86.6071	86.4143	50	100.00	1
CTAGE1							
HLCS-IT1							
RNA5SP491							
DPRXP5							
Y_RNA							
MRPL20P1							
UBE2D3P4							
RIPPLY3	RIPPLY3	ortholog_one2one	62.6316	62.3037	100	100.00	1
POLR3GP2							
WASF3-AS1							
							
HRH4	HRH4	ortholog_one2one	74.1026	74.677	100	100.00	1
LINC00377							
BCAS2P3							
RABEPKP1							
RNU6-696P	U6	ortholog_one2many	69.1589	71.8447		0.00	0
UBAC2	UBAC2	ortholog_one2one	95.3488	95.0725	100	100.00	1
RRP1B	RRP1B	ortholog_one2one	74.0106	71.6475	100	100.00	1
							
L3MBTL4-AS1							
							
MAPK4	MAPK4	ortholog_one2one	95.5707	96.2264	100	100.00	1
RFC3	RFC3	ortholog_one2one	99.4382	99.4382	75	100.00	1
							
