Gene name	Macaque gene name	Macaque homology type	%id. target Macaque gene identical to query gene	%id. query gene identical to target Macaque gene	Macaque Gene-order conservation score	Macaque Whole-genome alignment coverage	Macaque orthology confidence [0 low, 1 high]
TRRAP	TRRAP	ortholog_one2one	99.3262	83.7335	100	97.60	1
GMPR	GMPR2	ortholog_one2one	83.6186	93.4426	25	0.00	0
CAMSAP2	CAMSAP2	ortholog_one2one	99.7314	99.7314	100	100.00	1
ZFYVE21	ZFYVE21	ortholog_one2one	98.0159	98.0159	100	100.00	1
							
							
MIS12	MIS12	ortholog_one2one	98.5366	98.5366	100	100.00	1
AFAP1	AFAP1	ortholog_one2one	98.6487	98.6487	75	100.00	1
		ortholog_one2one	86.7133	82.1192		100.00	1
	SCAP	ortholog_one2one	31.3725	2.35294	100	100.00	0
ALOX15B							
RNF185							
U6	U6	ortholog_one2many	93	93.9394		0.00	0
MIER3	MIER3	ortholog_one2one	98.5455	88.2736	100	100.00	1
							
YTHDC1	YTHDC1	ortholog_one2one	96.3315	99.8592	100	100.00	1
SNORD81	SNORD81	ortholog_one2one	97.3684	94.8718		100.00	1
ZNF728							
	UBXN10	ortholog_one2many	95.3571	95.3571	100	100.00	1
							
SBSN	SBSN	ortholog_one2one	54.0678	55.095	100	100.00	1
ggo-mir-148b	mml-mir-148b	ortholog_one2one	91.9192	84.2593		100.00	1
SNORD81	SNORD81	ortholog_one2many	94.5946	90.9091		0.00	0
SNORD81	SNORD81	ortholog_one2many	94.5946	90.9091		100.00	1
		ortholog_one2many	81.8966	48.2234	50	0.00	0
U6	U6	ortholog_one2one	89.4231	89.4231		100.00	1
HESX1	HESX1	ortholog_one2one	95.6757	95.6757	100	100.00	1
							
7SK							
							
5S_rRNA							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	91.3043	91		100.00	1
TLX2	TLX2	ortholog_one2one	99.2958	99.2958	100	100.00	1
U7	U7	ortholog_one2one	90.1639	90.1639		100.00	1
GPR84	GPR84	ortholog_one2one	95.7071	95.7071	100	100.00	1
COL5A1	COL5A1	ortholog_one2one	99.3478	99.3478	100	100.00	1
							
U7	U7	ortholog_one2one	90.3226	91.8033		0.00	0
SNORA15	SNORA15	ortholog_one2one	96.9925	95.5556		0.00	0
MIR548AS							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	87.108	88.0282		100.00	1
TESPA1	TESPA1	ortholog_one2one	96.3532	96.3532	100	73.05	1
		ortholog_one2many	83.6207	49.2386	50	0.00	0
							
Y_RNA	Y_RNA	ortholog_one2one	93.8596	93.8596		0.00	0
COA8							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	87.4564	86.8512		100.00	1
		ortholog_one2many	68.7375	67.5197	0	0.00	0
	ZNF680	ortholog_one2many	64.1283	60.6061	0	0.00	0
SCARNA13	SCARNA13	ortholog_one2one	96.7153	96.3636		100.00	1
TPD52L3	TPD52L3	ortholog_one2one	86.0294	78	100	78.76	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	88.1119	77.3006		100.00	1
							
SLC16A13	SLC16A13	ortholog_one2one	97.6526	97.4239	100	100.00	1
U6	U6	ortholog_one2one	85.4369	94.6237		100.00	1
ABHD13	ABHD13	ortholog_one2one	100	92.3288	100	100.00	1
DYRK4	DYRK4	ortholog_one2one	94.164	94.0157	100	100.00	1
HIP1	HIP1	ortholog_one2one	95.8621	93.8284	100	51.84	1
	mml-mir-548e	ortholog_one2many	82.5581	73.1959		0.00	0
URB2	URB2	ortholog_one2one	94.4882	94.4882	100	100.00	1
5S_rRNA							
							
SNORD116							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	93.7063	93.3798		100.00	1
HTRA1	HTRA1	ortholog_one2one	98.7526	98.7526	100	100.00	1
REPS2	REPS2	ortholog_one2one	98.0296	91.4242	100	100.00	1
CEMIP2	CEMIP2	ortholog_one2one	98.9154	98.9154	100	100.00	1
GRIPAP1	GRIPAP1	ortholog_one2one	97.1429	79.7186	100	100.00	1
		ortholog_one2one	92.4812	91.791		100.00	1
							
U7	U7	ortholog_one2one	91.9355	93.4426		100.00	1
							
FNDC9	FNDC9	ortholog_one2one	98.6607	98.6607	100	100.00	1
5S_rRNA							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	89.3688	89.6667		100.00	1
PRDM12	PRDM12	ortholog_one2one	98.6339	99.449	75	100.00	1
SNORD116	SNORD116	ortholog_one2one	93.4783	89.5833		100.00	1
ggo-mir-30a	mml-mir-30a	ortholog_one2one	98.5916	98.5916		100.00	1
CLEC14A	CLEC14A	ortholog_one2one	93.8775	93.6864	100	100.00	1
	CCT6A	ortholog_one2many	92.7176	98.3051	0	0.00	0
							
U6	U6	ortholog_one2many	92.3077	92.3077		0.00	0
U6	U6	ortholog_one2many	90.3846	92.1569		0.00	0
ARF1	ARF1	ortholog_one2one	100	83.4101	100	100.00	1
UBQLN2	UBQLN2	ortholog_one2one	99.5192	99.5192	100	100.00	1
5S_rRNA							
MKX	MKX	ortholog_one2one	98.2955	98.2955	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	66.0839	62.5828		0.00	0
U6	U6	ortholog_one2one	91.3462	88.785		100.00	1
H4C11	H4C3	ortholog_one2many	100	100	100	100.00	1
H4C11	H4C9	ortholog_one2many	100	100	0	0.00	0
	CLCN2	ortholog_one2many	78.4722	25.167	0	0.00	0
SNORD81							
U7	U7	ortholog_one2one	93.4426	93.4426		100.00	1
CYP1A2	CYP1A2	ortholog_one2one	92.8295	93.0097	100	29.99	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	74.717	80.1619		0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	81.5094	81.203		0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	72.0755	73.7452		0.00	0
							
HFM1	HFM1	ortholog_one2one	95.4007	95.4672	75	91.05	1
VCPKMT	VCPKMT	ortholog_one2one	94.3231	89.6266	100	100.00	1
SKAP1	SKAP1	ortholog_one2one	96.9359	76.1488	100	100.00	1
Y_RNA							
							
							
							
							
5S_rRNA							
SNORD116	SNORD116	ortholog_one2one	93.9759	92.8571		100.00	1
KPTN	KPTN	ortholog_one2one	95.1835	79.0476	100	100.00	1
7SK							
U6							
ZNF581	ZNF581	ortholog_one2one	98.9848	98.9848	75	100.00	1
U6	U6	ortholog_one2one	98.2456	56.5657		100.00	1
KIF1B	KIF1B	ortholog_one2one	94.1517	88.901	100	100.00	1
							
U3	U3	ortholog_one2many	94.7619	88.8393		0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	89.8649	89.8649		100.00	1
							
SLC9B2	SLC9B2	ortholog_one2one	97.7654	97.7654	100	100.00	1
U6	U6	ortholog_one2one	97.1963	97.1963		100.00	1
U7	U7	ortholog_one2one	100	100		100.00	1
H2AC17							
5S_rRNA	5S_rRNA	ortholog_one2many	75	70		0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	70.979	70.2422		100.00	1
							
		ortholog_one2one	70.6767	67.6259		0.00	0
	SAMSN1	ortholog_one2one	95.9184	65.4799	100	100.00	1
							
SNORD116	SNORD116	ortholog_one2one	100	100		100.00	1
U1	U1	ortholog_one2one	93.2927	93.2927		100.00	1
7SK							
HEYL	HEYL	ortholog_one2one	95.4268	65.6184	100	100.00	1
U6	U6	ortholog_one2one	90.1961	85.9813		100.00	1
		ortholog_one2one	85.4545	87.037	0	0.00	0
C1QL1	C1QL1	ortholog_one2one	99.5475	85.2713	100	100.00	1
SHMT2	SHMT2	ortholog_one2one	98.8095	95.7692	100	100.00	1
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	89.4737	85.2843		100.00	1
							
PCDHB4	PCDHB4	ortholog_one2one	93.2076	93.2076	100	100.00	1
5S_rRNA							
MRPL57	MRPL57	ortholog_one2one	98.0392	98.0392	50	83.85	1
U6	U6	ortholog_one2one	94.9495	91.2621		100.00	1
U7	U7	ortholog_one2one	95.2381	95.2381		0.00	0
BPTF	BPTF	ortholog_one2one	96.4796	87.706	100	100.00	1
7SK							
							
							
Metazoa_SRP							
U6	U6	ortholog_one2one	86.6667	85.8491		0.00	0
	SNUPN	ortholog_one2one	98.1132	47.7064	100	100.00	0
KRTAP9-7		ortholog_many2many	88.1657	88.1657	100	100.00	1
KRTAP9-7		ortholog_many2many	86.9822	86.9822	100	100.00	1
KRTAP9-7		ortholog_many2many	86.3905	86.3905	100	100.00	1
KRTAP9-7		ortholog_many2many	91.1243	89.0173	100	100.00	1
MIR500B							
Y_RNA	Y_RNA	ortholog_one2one	89.4737	89.4737		100.00	1
RABAC1	RABAC1	ortholog_one2one	98.3784	98.3784	100	100.00	1
SNORD116	SNORD116	ortholog_one2one	81	87.0968		100.00	1
	DNAJC24	ortholog_one2one	58.3178	68.5714	100	100.00	1
TYW1	TYW1	ortholog_one2one	95.8609	79.0984	50	65.24	0
							
CACNA1F	CACNA1F	ortholog_one2one	98.4802	98.6802	100	100.00	1
7SK							
5S_rRNA							
GATA5	GATA5	ortholog_one2one	93.6709	93.199	100	100.00	1
SCARNA1	SCARNA1	ortholog_one2one	96.988	96.988		100.00	1
ZNF280B	ZNF280B	ortholog_one2one	95.5801	95.5801	50	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	88.8889	90.4594		100.00	1
TRIM56	TRIM56	ortholog_one2one	97.2185	97.2185	100	100.00	1
5S_rRNA							
7SK							
U6	U6	ortholog_one2one	90.566	90.566		100.00	1
	FOXI3	ortholog_one2one	98.6842	71.4286	100	100.00	1
U6	U6	ortholog_one2one	87.8788	67.4419		100.00	1
U7	U7	ortholog_one2one	95.2381	95.2381		100.00	1
TATDN1	TATDN1	ortholog_one2many	85.8859	97.6109	100	100.00	1
							
SNORD31	SNORD31	ortholog_one2one	91.3043	91.3043		100.00	1
ABCA7	ABCA7	ortholog_one2one	93.6679	94.5997	100	100.00	1
							
5S_rRNA	5S_rRNA	ortholog_one2one	93.578	93.578		100.00	1
Metazoa_SRP							
		ortholog_one2one	35.0598	19.5122	0	0.00	0
SNORD116	SNORD116	ortholog_one2one	96.8421	96.8421		100.00	1
							
							
SNORD31	SNORD31	ortholog_one2one	95.7747	98.5507		100.00	1
							
7SK							
							
5S_rRNA							
AMER3							
U6	U6	ortholog_one2many	86.4078	83.9623		0.00	0
							
U7	U7	ortholog_one2one	95.1613	95.1613		100.00	1
	IGSF9	ortholog_one2one	98.7692	26.5949	0	0.00	0
U6	U6	ortholog_one2one	93.9394	93.9394		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	95.1368	94.8485		0.00	0
7SK							
U6	U6	ortholog_one2one	92.0792	89.4231		100.00	1
U1	U1	ortholog_one2many	83.8323	83.8323		0.00	0
MMP2	MMP2	ortholog_one2one	99.6721	92.1212	100	100.00	1
		ortholog_one2one	92.9412	92.9412	75	100.00	1
							
							
5S_rRNA							
	RPL7	ortholog_one2many	95.1613	90.0763	0	0.00	0
SCFD1	SCFD1	ortholog_one2one	99.532	99.532	100	100.00	1
SNORD116							
	MTHFS	ortholog_one2one	66.8103	71.7593	75	95.99	1
							
SMIM31	SMIM31	ortholog_one2one	95.7747	95.7747	75	100.00	1
							
Y_RNA	Y_RNA	ortholog_one2one	97.0588	97.0588		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	90.1754	89.2361		0.00	0
USP48	USP48	ortholog_one2one	93.2367	90.9519	100	100.00	1
							
	CACNB1	ortholog_one2one	97.479	18.0404	0	0.00	0
U6							
		ortholog_many2many	93.75	93.75	0	0.00	0
		ortholog_many2many	93.75	93.75	50	0.00	0
							
5S_rRNA							
MIR519C-1	mml-mir-519a-2	ortholog_one2one	88.8889	60.5042		100.00	1
U7	U7	ortholog_one2one	79.6296	70.4918		0.00	0
SNORD116							
							
							
TICRR	TICRR	ortholog_one2one	95.866	95.9665	100	100.00	1
		ortholog_one2one	93.2331	91.1765		100.00	1
5S_rRNA							
IGHV1-3							
U6	U6	ortholog_one2many	90.6542	90.6542		0.00	0
7SK							
							
METTL21EP	METTL21EP	ortholog_one2one	48.8372	82.8947	100	100.00	0
GINS2	GINS2	ortholog_one2one	98.9189	98.9189	100	100.00	1
		ortholog_one2one	54.6875	63.6364	0	0.00	0
RNF217	RNF217	ortholog_one2one	94.9886	76.6544	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	31.1037	79.4872		0.00	0
	CCL27	ortholog_one2many	96.4286	96.4286	0	0.00	0
U1	U1	ortholog_one2one	88.4354	87.8378		100.00	1
							
U6	U6	ortholog_one2one	82.1782	79.8077		100.00	1
ARF3	ARF3	ortholog_one2one	100	73.2794	0	94.58	1
							
Metazoa_SRP							
	UPK2	ortholog_one2many	94.0217	94.0217	0	0.00	0
5S_rRNA							
U7	U7	ortholog_one2one	95.1613	95.1613		100.00	1
	GPR26	ortholog_one2one	99.6169	77.1513	100	100.00	1
ZNF773	ZNF773	ortholog_one2one	93.4066	96.3719	100	100.00	1
TAS2R50	TAS2R50	ortholog_one2one	89.9666	89.9666	50	0.00	0
							
U7	U7	ortholog_one2one	93.5484	93.5484		100.00	1
							
U6	U6	ortholog_one2one	98.1308	98.1308		100.00	1
MIR3681							
		ortholog_one2one	90.6977	90.6977	100	100.00	1
5S_rRNA							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	87.9599	91.6376		100.00	1
							
TP53I3	TP53I3	ortholog_one2one	82.2289	78.9017	100	100.00	1
ANTKMT	ANTKMT	ortholog_one2one	90.6383	78.5978	75	100.00	1
	IGHV1-46	ortholog_one2many	84.1584	84.1584	0	0.00	0
U1							
EDRF1	EDRF1	ortholog_one2one	98.7884	98.7884	100	100.00	1
SNORD107	SNORD107	ortholog_one2one	98.6667	98.6667		100.00	1
ZNF133	ZNF133	ortholog_one2one	89.6552	91.0198	100	100.00	1
U6	U6	ortholog_one2one	89.7196	89.7196		100.00	1
SEC24A	SEC24A	ortholog_one2one	97.5297	97.5297	100	100.00	1
SNORD126	SNORD126	ortholog_one2one	100	100		100.00	1
ZNF580							
							
	THNSL2	ortholog_one2many	96.6942	95.1219	100	100.00	1
U6							
MFSD14B	MFSD14B	ortholog_one2one	99.0119	99.0119	50	74.67	0
	NHLRC3	ortholog_one2one	98.3471	32.4251	0	0.00	0
							
							
STRN	STRN	ortholog_one2one	99.2669	83.2718	100	100.00	1
U7	U7	ortholog_one2one	93.5484	93.5484		0.00	0
FGFBP1	FGFBP1	ortholog_one2one	94.4444	94.4444	100	0.00	1
Y_RNA	Y_RNA	ortholog_one2one	95.098	90.6542		100.00	1
5S_rRNA							
		ortholog_many2many	93.75	93.75	25	0.00	0
		ortholog_many2many	93.75	93.75	0	0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	40.7018	78.3784		0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	40.7018	78.3784		0.00	0
KCNV2	KCNV2	ortholog_one2one	97.7982	97.7982	100	100.00	1
APCS	APCS	ortholog_one2one	91.9283	91.9283	100	100.00	1
U6	U6	ortholog_one2one	92.5234	92.5234		100.00	1
							
M1AP	M1AP	ortholog_one2one	96.0377	96.0377	100	100.00	1
	UBQLN4	ortholog_one2many	97.4832	96.6722	0	0.00	0
MIR1287							
IGLV7-43		ortholog_one2many	77.5	85.3211	50	0.00	0
IGLV7-43		ortholog_one2many	78.3333	86.2385	75	0.00	1
IGLV7-43	IGLV7-43	ortholog_one2many	80.8333	88.9908	50	0.00	0
U6							
SCARNA7							
5S_rRNA							
ZBTB4	ZBTB4	ortholog_one2one	97.9249	97.9249	100	100.00	1
SOX14							
SNORD63							
GK5	GK5	ortholog_one2one	97.1645	97.1645	100	100.00	1
U6	U6	ortholog_one2one	86.9159	92.0792		100.00	1
SNORD116	SNORD116	ortholog_one2one	91.954	85.1064		100.00	1
U6	U6	ortholog_one2many	84.6154	88		0.00	0
U6	U6	ortholog_one2many	92.3077	92.3077		0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	90.2439	85.4785		100.00	1
		ortholog_one2many	70.9091	60.9375	50	0.00	0
	DEFB4	ortholog_one2many	69.0909	59.375	50	0.00	0
	Defb2L1	ortholog_one2many	70.9091	60.9375	0	0.00	0
		ortholog_one2many	67.2727	57.8125	25	0.00	0
							
MIR548AZ							
5S_rRNA							
DNAJC11	DNAJC11	ortholog_one2one	93.7288	94.2078	100	100.00	1
							
Metazoa_SRP							
SNORD63	SNORD63	ortholog_one2one	84.2857	84.2857		100.00	1
5S_rRNA							
		ortholog_one2many	89.2157	72.2222	0	0.00	0
							
		ortholog_one2one	94.5736	93.1298		100.00	1
U7	U7	ortholog_one2one	93.5484	95.082		100.00	1
							
		ortholog_one2one	83.4395	40.9375	50	0.00	0
U6	U6	ortholog_one2one	86.1386	84.466		100.00	1
RAD54L	RAD54L	ortholog_one2one	98.2597	98.2597	100	100.00	1
							
SLC5A9	SLC5A9	ortholog_one2one	96.1756	96.1756	100	100.00	1
		ortholog_one2many	87.3874	87.3874	100	0.00	1
	ZNF699	ortholog_one2one	97.2924	90.5882	0	0.00	0
SPOUT1		ortholog_one2many	97.3404	78.3726	25	100.00	1
SPOUT1	SPOUT1	ortholog_one2many	87.766	93.4844	100	100.00	1
MRPL40	MRPL40	ortholog_one2one	91.2621	91.2621	100	100.00	1
MAPK1IP1L	MAPK1IP1L	ortholog_one2one	97.9592	92.6641	100	100.00	1
CYP11A1	CYP11A1	ortholog_one2one	97.5048	97.5048	100	100.00	1
							
Y_RNA	Y_RNA	ortholog_one2one	91.1504	91.1504		0.00	0
UCN	UCN	ortholog_one2one	91.9355	91.9355	100	100.00	1
		ortholog_one2many	91.1765	73.8095	0	0.00	0
Vault							
CTCF	CTCF	ortholog_one2one	99.7249	99.7249	100	100.00	1
5S_rRNA	5S_rRNA	ortholog_one2many	64.4444	73.1092		0.00	0
5S_rRNA	5S_rRNA	ortholog_one2many	62.963	70.8333		0.00	0
SNORD116	SNORD116	ortholog_one2one	89.7436	74.4681		100.00	1
COCH	COCH	ortholog_one2one	99.6364	99.6364	100	100.00	1
	NECAB2	ortholog_one2one	82.9493	46.2725	0	86.21	0
U6	U6	ortholog_one2one	90.6542	90.6542		100.00	1
GNRHR	GNRHR	ortholog_one2one	97.561	97.561	100	100.00	1
U1	U1	ortholog_one2one	89.9371	90.5063		100.00	1
SNORD70B	SNORD70B	ortholog_one2one	98.8235	98.8235		100.00	1
5S_rRNA							
U7							
C1orf87	C1H1orf87	ortholog_one2one	93.956	93.956	100	100.00	1
COX7A1	COX7A1	ortholog_one2one	89.8734	89.8734	100	100.00	1
MIR6855							
							
DRAP1	DRAP1	ortholog_one2one	98.9189	89.2683	100	100.00	1
Vault	Vault	ortholog_one2one	98.0198	98.0198		100.00	1
							
U6	U6	ortholog_one2one	90.6542	90.6542		100.00	1
DEPTOR	DEPTOR	ortholog_one2one	99.511	99.511	100	100.00	1
U1	U1	ortholog_one2one	90.8537	90.8537		100.00	1
U6							
		ortholog_one2one	91.7355	91.7355	100	100.00	1
SPATA4	SPATA4	ortholog_one2one	90.8197	90.8197	100	100.00	1
IRGM							
U6	U6	ortholog_one2one	85.9813	93.8775		100.00	1
SPIDR	SPIDR	ortholog_one2one	84.8684	81.8182	75	97.48	1
							
							
Vault	Vault	ortholog_one2one	93.1373	93.1373		100.00	1
PPP1R3B	PPP1R3B	ortholog_one2one	95.7895	95.7895	100	100.00	1
							
C5AR2	C5AR2	ortholog_one2one	92.8783	92.8783	100	100.00	1
							
							
	TRAV13-1	ortholog_one2one	87.9032	76.2238	100	100.00	1
SNORD63	SNORD63	ortholog_one2one	94.1176	91.4286		100.00	1
RANBP10	RANBP10	ortholog_one2one	94.1628	98.871	100	100.00	1
PLEKHF2	PLEKHF2	ortholog_one2one	99.5984	99.5984	100	100.00	1
SLC35D2	SLC35D2	ortholog_one2one	87.3016	68.5786	100	100.00	1
CACNA1I	CACNA1I	ortholog_one2one	91.0558	93.5576	100	100.00	1
CFAP126	CFAP126	ortholog_one2one	95.4802	95.4802	75	100.00	1
ZFPM2	ZFPM2	ortholog_one2one	98.1755	96.0068	100	100.00	1
5S_rRNA							
SNORD116	SNORD116	ortholog_one2one	77.1739	83.5294		0.00	0
							
ERFE							
U6	U6	ortholog_one2one	86.1386	91.5789		100.00	1
U7	U7	ortholog_one2one	95.1613	95.1613		100.00	1
		ortholog_one2one	91.2162	91.2162		100.00	1
OR6X1	OR6X1	ortholog_one2one	93.5897	93.5897	100	100.00	1
DHRS3	DHRS3	ortholog_one2one	99.6689	99.6689	100	100.00	1
U7							
Vault							
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	83.6879	89.0566		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	83.6879	89.0566		100.00	1
SMAD3	SMAD3	ortholog_one2one	100	83.7647	0	89.60	1
U6	U6	ortholog_one2one	93.4579	97.0874		100.00	1
RAB43							
							
							
		ortholog_many2many	60.828	61.8924	0	0.00	0
		ortholog_many2many	37.9618	71.4628	0	0.00	0
		ortholog_many2many	23.8217	74.3539	0	0.00	0
SOWAHC	SOWAHC	ortholog_one2one	95.8491	95.6685	100	100.00	1
PPP1R1C	PPP1R1C	ortholog_one2one	93.9655	93.9655	100	100.00	1
		ortholog_one2one	94.2308	94.2308		100.00	1
RFT1	RFT1	ortholog_one2one	97.597	97.597	100	100.00	1
		ortholog_one2one	88.1481	88.1481		100.00	1
MED29	MED29	ortholog_one2one	90.4977	100	100	100.00	1
SNORA12	SNORA12	ortholog_one2one	100	100		0.00	0
5S_rRNA							
							
MIR1248							
RASSF2	RASSF2	ortholog_one2one	98.4663	98.4663	100	100.00	1
		ortholog_one2one	84.1727	79.0541	75	100.00	1
C3AR1	C3AR1	ortholog_one2one	90.0415	90.2287	100	100.00	1
	GID4	ortholog_one2one	62.5	51.6667	100	100.00	1
U6	U6	ortholog_one2many	100	100		0.00	0
ZBTB3	ZBTB3	ortholog_one2one	95.2797	95.2797	100	100.00	1
U7	U7	ortholog_one2one	93.5484	93.5484		100.00	1
SNORD116							
5S_rRNA							
PTAFR	PTAFR	ortholog_one2one	97.3684	97.3684	100	100.00	1
Vault	Vault	ortholog_one2one	90.1961	91.0891		100.00	1
							
U2	U2	ortholog_one2one	27.4882	57.4257		0.00	0
	CALM1	ortholog_one2many	66.9014	24.6753	0	0.00	0
U6	U6	ortholog_one2one	88.4615	92		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	90.099	94.7917		100.00	1
		ortholog_one2one	95.5556	95.5556		100.00	1
ECE2	ECE2	ortholog_one2one	98.641	98.641	100	100.00	1
CYP51A1							
							
OR10A6	OR10A6	ortholog_one2one	93.6306	93.6306	100	100.00	1
U6	U6	ortholog_one2one	93.2039	93.2039		100.00	1
PADI6	PADI6	ortholog_one2one	95.6772	95.6772	100	100.00	1
OR13C9	OR13C9	ortholog_one2one	95.283	95.283	100	100.00	1
SLC16A1	SLC16A1	ortholog_one2one	97.6	97.7956	100	100.00	1
Vault	Vault	ortholog_one2one	96.8421	96.8421		100.00	1
5S_rRNA							
							
CNBP	CNBP	ortholog_one2one	96.6292	97.1751	75	100.00	1
ZNF593		ortholog_one2many	91.791	91.791	0	0.00	0
ZNF593	ZNF593	ortholog_one2many	97.0149	97.0149	100	100.00	1
STAB1	STAB1	ortholog_one2one	96.537	96.3495	100	100.00	1
							
U6	U6	ortholog_one2one	93.3962	92.5234		100.00	1
U2							
U7	U7	ortholog_one2one	95.1613	95.1613		100.00	1
SLC16A4	SLC16A4	ortholog_one2one	97.3306	97.5309	100	100.00	1
5S_rRNA							
U6	U6	ortholog_one2one	95.1923	96.1165		100.00	1
U1	U1	ortholog_one2one	88.8889	88.8889		100.00	1
							
MIR378G							
		ortholog_one2one	100	93.3333	100	100.00	1
STC1	STC1	ortholog_one2one	99.5951	65.6	100	100.00	1
							
Vault	Vault	ortholog_one2one	92.8571	92.8571		100.00	1
TFF2	TFF2	ortholog_one2one	86.0465	86.0465	100	100.00	1
SMTNL1	SMTNL1	ortholog_one2one	94.9393	91.6016	75	100.00	1
U7	U7	ortholog_one2one	95.2381	96.7742		100.00	1
SNURF	SNURF	ortholog_one2one	81.4815	90.411	100	100.00	1
U6	U6	ortholog_one2one	92.0354	92.0354		100.00	1
5S_rRNA							
KLHL10	KLHL10	ortholog_one2one	99.6711	99.6711	100	100.00	1
CIAO3	CIAO3	ortholog_one2one	91.5354	97.6891	75	100.00	1
LCK	LCK	ortholog_one2one	97.9008	90.4762	100	100.00	1
U6	U6	ortholog_one2one	89.6226	93.1373		100.00	1
