Gene name	Chimpanzee gene name	Chimpanzee homology type	%id. target Chimpanzee gene identical to query gene	%id. query gene identical to target Chimpanzee gene	Chimpanzee Gene-order conservation score	Chimpanzee Whole-genome alignment coverage	Chimpanzee orthology confidence [0 low, 1 high]
Y_RNA	Y_RNA	ortholog_many2many	97.0297	97.0297		0.00	0
							
							
							
							
							
		ortholog_one2many	82.906	77.6	25	100.00	0
		ortholog_one2many	98.9796	96.0396	25	100.00	1
							
							
							
							
		ortholog_one2one	76.1317	81.4978	0	100.00	0
							
							
							
							
		ortholog_one2many	80.3922	66.129	0	100.00	0
		ortholog_one2many	61.4173	80.4124	0	0.00	0
		ortholog_one2many	74.1732	83.0688	0	0.00	0
		ortholog_one2many	57.9528	75.2556	0	0.00	0
		ortholog_one2many	100	100	0	100.00	1
							
							
		ortholog_many2many	96.875	88.5714	0	0.00	0
		ortholog_many2many	97.9167	89.5238	0	0.00	0
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
U6							
							
							
							
		ortholog_one2many	96.5577	96.0616	0	100.00	1
U6	U6	ortholog_many2many	98.1308	98.1308		0.00	0
U6	U6	ortholog_many2many	98.1308	98.1308		100.00	1
							
							
							
							
							
							
							
							
RPL23AP45							
							
C8orf33							
LINC02688							
MUC5AC							
MUC2							
ZSWIM4							
							
RN7SL619P							
MIR23AHG							
MIR24-2							
MIR27A							
MIR23A							
NANOS3							
MIR181C							
MIR181D							
BRME1							
CC2D1A							
PODNL1							
DCAF15							
RFX1							
							
RLN3							
							
IL27RA							
PALM3							
EEF1DP1							
MISP3							
MIR1199							
C19orf67							
PRKACA							
							
ASF1B							
ADGRL1-AS1							
ADGRL1							
RN7SL231P							
							
							
SAMD1							
CNTNAP3C							
RN7SL462P							
							
RNU1-62P							
MTCO3P47							
RNA5SP136							
RYBP							
SYT15B							
							
NPY4R2							
							
FAM25C							
AGAP12P							
AGAP12P							
RNA5SP315							
BMS1P7							
							
							
HMX1							
							
PPP2R3B							
RPL14P5							
							
IL3RA							
P2RY8							
SLC25A6							
DHRSX-IT1							
DHRSX							
ASMTL							
LINC00685							
PLCXD1							
ZBED1							
MIR6089							
LINC00102							
CD99							
Metazoa_SRP							
FABP5P13							
KRT18P53							
SHOX							
MIR3690							
RNA5SP498							
CD99P1							
CRLF2							
AKAP17A							
ASMT							
							
CSF2RA							
							
							
							
							
							
ASMTL-AS1							
							
							
							
LINC00106							
							
							
							
							
							
							
							
LINC02968							
							
							
							
LINC03015							
CD99P1							
LINC03014							
							
							
							
FAM20C							
							
							
LINC03112							
							
GTPBP6							
AMD1P2							
DPH3P2							
VAMP7							
ELOCP24							
TRPC6P1							
							
DDX11L16							
WASH6P							
							
							
WASIR1							
IL9R							
							
TSPY24P							
ZNF92P1Y							
SERBP1P2							
TSPY12P							
DUX4L19							
							
OFD1P3Y							
RBMY2HP							
							
ELOCP35							
SLC9B1P1							
USP12PY							
KDM5DP1							
DUX4L17							
							
							
ZNF736P6Y							
TUSC2P1							
PUDPP1							
							
CDRT15P10							
USP9Y	USP9Y	ortholog_one2one	96.4384	97.6615	50	100.00	1
Y_RNA							
RNU6-409P							
ACR							
							
SNRPA1P2							
SHANK3							
							
RNF19BPY							
TUBB1P2							
							
ACTR3BP1							
RPS24P1							
RCC2P2							
ZNF736P8Y							
EIF1AY	EIF1AY	ortholog_one2one	99.3056	99.3056	25	100.00	1
BPY2		ortholog_one2many	98.1132	98.1132	0	100.00	1
MTND1P12							
CTBP2P1							
MTND6P1							
PABPC1P5							
RCC2P1							
SHROOM2P1							
							
DUX4L18							
ZNF736P11Y							
BPY2DP							
CHEK2P1							
ZNF886P							
OFD1P16Y							
							
ASS1P6							
SNX18P1Y							
MED14P1							
ZNF885P							
ARSFP1							
							
ZNF736P7Y							
SURF6P1							
							
ANKRD20A6P							
							
RBMY2KP							
TTTY19							
TTTY4							
							
MXRA5Y							
DUX4L16							
MTCYBP1							
							
TTTY17A							
AGPAT5P1							
							
FAM41AY1							
							
TRIM60P3Y							
MTND1P1							
							
PRRC2CP1							
ZNF736P10Y							
							
							
MTND2P3							
							
							
							
ARSDP1							
CDY4P							
UBE2V1P3							
FAM8A4P							
							
TRIM60P8Y							
MED13P1							
CYCSP46							
RNU6-303P	U6	ortholog_one2many	97.1698	97.1698		100.00	1
		ortholog_one2one	96.2121	96.2121		100.00	1
RN7SL702P	Metazoa_SRP	ortholog_one2one	97.6027	97.6027		100.00	1
RNA5SP520							
RNA5SP521							
		ortholog_one2one	100	100		0.00	0
RNU6-109P							
RNU6-184P							
HSFY2							
GPM6BP2							
USP9YP2							
ELOCP14							
XKRYP2							
USP9YP10							
RNU1-41P							
OFD1P7Y							
MTCYBP2							
ZNF839P1							
CD24P4							
RNU6-255P	U6	ortholog_one2one	98.0952	98.0952		100.00	1
GCGR							
							
GAPDHP19							
CLUHP1							
TAF9P1							
CDY5P							
ELOCP36							
ACTG1P2							
USP9YP23							
USP9YP27							
RNU1-128P	U1	ortholog_many2many	98.125	98.125		0.00	0
RNU1-128P	U1	ortholog_many2many	98.125	98.125		0.00	0
RNU1-128P	U1	ortholog_many2many	97.5	97.5		0.00	0
RNU1-128P	U1	ortholog_many2many	97.5	97.5		0.00	0
RNU1-128P	U1	ortholog_many2many	98.125	98.125		0.00	0
TRAPPC2P3							
ELOCP6							
CDY6P							
USP9YP7							
USP9YP6							
CDY7P							
USP9YP34							
USP9YP32							
CDY8P							
ELOCP12							
TRAPPC2P8							
USP9YP15							
RNU1-95P	U1	ortholog_many2many	98.125	98.125		0.00	0
RNU1-95P	U1	ortholog_many2many	98.125	98.125		0.00	0
RNU1-95P	U1	ortholog_many2many	97.5	97.5		0.00	0
RNU1-95P	U1	ortholog_many2many	97.5	97.5		0.00	0
RNU1-95P	U1	ortholog_many2many	98.125	98.125		100.00	1
USP9YP16							
ACTG1P11							
ELOCP26							
CDY9P							
TAF9P2							
CLUHP2							
		ortholog_one2many	100	100		0.00	0
		ortholog_one2many	100	100		0.00	0
		ortholog_one2many	100	100		100.00	1
		ortholog_one2many	100	100		0.00	0
RNA5SP522							
RNA5SP523							
TUBB1P1							
ELOCP13							
OFD1P4Y							
RNU1-48P							
USP9YP5							
XKRYP1							
ELOCP7							
USP9YP1							
GPM6BP1							
RAB9AP4							
TRAPPC2P7							
							
							
KDM5D	KDM5D	ortholog_one2one	98.9604	97.2542	50	100.00	1
MCRIP1							
PPP1R27							
HSFY1							
TGIF2LY							
CDY2A		ortholog_one2many	95.9335	95.9335	0	0.00	0
ZNF736P3Y							
TRIM60P9Y							
RN7SKP282	7SK	ortholog_one2one	97.3244	97		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	98.2143	98.2143		100.00	1
RNU6-941P	U6	ortholog_one2one	99.0741	99.0741		100.00	1
RNU6-521P	U6	ortholog_one2one	100	100		100.00	1
SRIP3							
							
GOT2P5							
ATP5PFP1							
							
TRIM60P10Y							
ZNF736P2Y							
TRIM60P11Y							
							
ZNF736P1Y							
							
ZNF736P5Y							
BPY2C		ortholog_one2many	98.1132	98.1132	0	0.00	0
TTTY4C							
DAZ4		ortholog_many2many	45.3665	80	0	100.00	0
DAZ4		ortholog_many2many	56.7082	63.4675	25	100.00	0
DAZ4		ortholog_many2many	45.3665	76.815	50	100.00	0
DAZ4		ortholog_many2many	44.1217	93.2749	25	100.00	0
CDY2B		ortholog_one2many	95.9335	95.9335	0	0.00	0
RNU6-1334P	U6	ortholog_one2one	96.1905	96.1905		100.00	1
SRY	SRY	ortholog_one2one	96.5686	96.5686	50	100.00	1
LINC01784							
PRAMEF11							
TOMM22P2							
							
RPS4Y1	RPS4Y1	ortholog_one2one	99.6198	99.6198	50	100.00	1
PRAMEF30P							
HNRNPCL1							
PRAMEF2							
NAP1L1P2							
							
ZFY	ZFY	ortholog_one2one	99.2509	99.2509	50	100.00	1
PRAMEF4							
PRAMEF10							
PRAMEF7							
EEF1A1P41							
PSMA6P1							
SFPQP1							
DPPA2P1							
RNU6-1072P							
PRAMEF29P							
DDX3Y	DDX3Y	ortholog_one2one	98.3333	98.3333	50	100.00	1
PRAMEF6							
PRAMEF28P							
PRAMEF27							
HNRNPCL3							
PRAMEF25							
PRAMEF34P							
PRAMEF35P							
HNRNPCL2							
PRAMEF36P							
							
							
PRAMEF26							
HNRNPCL4							
PRAMEF9							
CASKP1							
UTY	UTY	ortholog_one2one	98.1302	98.1302	75	100.00	1
PRAMEF13							
PRAMEF18							
PRAMEF31P							
PRAMEF5							
PRAMEF32P							
RNU6-771P							
PRAMEF8							
PRAMEF33							
PRAMEF22							
TMSB4Y	TMSB4Y	ortholog_one2one	95.4545	95.4545	50	100.00	1
VCY							
DAZ3		ortholog_many2many	74.4292	79.5122	50	100.00	0
DAZ3		ortholog_many2many	58.2192	39.4737	25	100.00	0
DAZ3		ortholog_many2many	74.4292	76.3466	0	100.00	0
DAZ3		ortholog_many2many	73.0594	93.5673	25	100.00	0
ARHGEF19							
							
ANO7L1							
							
CPLANE2							
MT1XP1							
FBXO42							
DAZ1		ortholog_many2many	43.8172	79.5122	50	100.00	0
DAZ1		ortholog_many2many	75.5376	86.9969	25	100.00	0
DAZ1		ortholog_many2many	43.8172	76.3466	0	100.00	0
DAZ1		ortholog_many2many	42.7419	92.9825	0	100.00	0
SZRD1							
RPL22P3							
SPATA21							
NECAP2							
SNORA70	SNORA70	ortholog_one2many	74.6377	87.2881		100.00	0
							
							
LINC01772							
AMELY	AMELY	ortholog_one2one	97.9167	91.2621	25	100.00	1
CROCCP3							
RNU1-1							
							
							
LINC01783							
RNU1-6P							
PDE4DIPP8							
TBL1Y	TBL1Y	ortholog_one2one	86.7816	84.9906	25	100.00	1
							
RNU1-2							
							
							
LINC03126							
RNU1-5P							
							
							
EIF1AXP1							
RNU1-3							
RNU1-4							
PADI2							
							
CROCCP4							
							
							
							
							
							
							
							
							
							
							
							
DAZ2		ortholog_many2many	51.2232	81.7073	0	100.00	0
DAZ2		ortholog_many2many	38.9908	39.4737	0	100.00	0
DAZ2		ortholog_many2many	51.682	79.1569	50	100.00	0
DAZ2		ortholog_many2many	48.9297	93.5673	25	100.00	0
							
							
NBPF1							
AGKP1							
NLGN4Y-AS1							
NLGN4Y	NLGN4Y	ortholog_one2one	98.0861	93.929	0	100.00	1
CDY22P							
ELOCP17							
OFD1P18Y							
TRAPPC2P4							
RAB9AP3							
USP9YP20							
RNU1-40P	U1	ortholog_many2many	98.1707	98.1707		0.00	0
RNU1-40P	U1	ortholog_many2many	98.1707	98.1707		0.00	0
RNU1-40P	U1	ortholog_many2many	98.7805	98.7805		0.00	0
RNU1-40P	U1	ortholog_many2many	98.7805	98.7805		0.00	0
RNU1-40P	U1	ortholog_many2many	96.9512	97.546		0.00	0
USP9YP21							
XKRYP6							
ELOCP11							
CDY23P							
USP9YP26							
HSFY8P							
							
							
SNORA70	SNORA70	ortholog_one2many	74.6377	87.2881		100.00	0
RNU6-1314P	U6	ortholog_one2one	93.2692	97		100.00	1
CYCSP48							
VCY1B							
PNPLA4P1							
							
TBL1YP1							
RPS4Y2	RPS4Y2	ortholog_one2one	97.3384	97.3384	50	100.00	1
HSFY4P							
							
GAPDHP17							
TMEM167AP1							
							
TOMM22P1							
NEFLP1							
							
PRORY							
							
TSPY14P							
RBMY1HP							
							
							
TTTY13							
ELOCP5							
CDY10P							
USP9YP3							
USP9YP8							
CDY11P							
HSFY6P							
USP9YP18							
CDY14P							
ELOCP16							
XKRYP3							
USP9YP25							
USP9YP29							
RNU1-97P	U1	ortholog_many2many	98.1707	98.1707		0.00	0
RNU1-97P	U1	ortholog_many2many	98.1707	98.1707		100.00	1
RNU1-97P	U1	ortholog_many2many	98.7805	98.7805		0.00	0
RNU1-97P	U1	ortholog_many2many	98.7805	98.7805		0.00	0
RNU1-97P	U1	ortholog_many2many	96.9512	97.546		0.00	0
RAB9AP1							
TRAPPC2P9							
OFD1P11Y							
RNU2-57P							
VDAC1P6							
EIF4A1P2							
KRT18P10							
SNX3P1Y							
RPL26P37							
PCDH11Y	PCDH11X	ortholog_one2many	98.4776	91.2398	0	99.78	1
ELOCP9							
CDY15P							
XKRYP4							
USP9YP13							
USP9YP11							
TTTY3B							
USP9YP12							
RNU1-86P							
RAB9AP5							
TRAPPC2P10							
OFD1P12Y							
ELOCP10							
CDY1B		ortholog_one2many	97.037	96.8577	25	0.00	0
CDY17P							
USP9YP35							
USP9YP31							
CDY18P							
							
RN7SL818P	Metazoa_SRP	ortholog_many2many	96.5251	96.1538		100.00	1
RN7SL818P	Metazoa_SRP	ortholog_many2many	96.5251	96.1538		0.00	0
RN7SL818P	Metazoa_SRP	ortholog_many2many	96.5251	96.1538		0.00	0
UBE2Q2P4Y							
LINC00265-2P							
CICP2							
							
RBMY2XP							
TTTY17B							
TRIM60P5Y							
ZNF736P12Y							
TTTY4B							
BPY2B		ortholog_one2many	98.1132	98.1132	0	100.00	1
							
ZNF736P4Y							
							
RBMY2YP							
							
CICP1							
LINC00265-3P							
UBE2Q2P5Y							
GOLGA2P3Y							
RN7SL725P	Metazoa_SRP	ortholog_many2many	96.5251	96.1538		100.00	1
RN7SL725P	Metazoa_SRP	ortholog_many2many	96.5251	96.1538		0.00	0
RN7SL725P	Metazoa_SRP	ortholog_many2many	96.5251	96.1538		0.00	0
							
CDY19P							
USP9YP36							
USP9YP33							
CDY20P							
ELOCP34							
OFD1P13Y							
TRAPPC2P5							
RAB9AP2							
USP9YP30							
RNU1-107P							
TTTY3							
USP9YP9							
USP9YP19							
XKRYP5							
CYCSP49							
SLC25A15P1							
PARP4P1							
CCNQP2							
CDY1		ortholog_one2many	96.9314	96.5827	50	0.00	0
CDY1		ortholog_one2many	97.1119	96.7626	0	0.00	0
CDY1		ortholog_one2many	97.1119	96.7626	0	0.00	0
CDY1		ortholog_one2many	97.1119	96.7626	25	100.00	1
RBMY1B		ortholog_many2many	76.2097	80.597	0	0.00	0
RBMY1B		ortholog_many2many	85.0806	88.6555	25	0.00	0
RBMY1B		ortholog_many2many	91.5323	90.0794	25	0.00	0
RBMY1B		ortholog_many2many	93.75	93.5614	50	83.75	1
RBMY1B		ortholog_many2many	94.1532	93.9638	25	0.00	0
RBMY1B		ortholog_many2many	86.6936	92.4731	0	0.00	0
RBMY1B		ortholog_many2many	88.7097	89.4309	25	0.00	0
RBMY1B		ortholog_many2many	91.5323	90.0794	25	64.42	0
RBMY1B		ortholog_many2many	91.9355	93.4426	0	0.00	0
RBMY1B		ortholog_many2many	91.7339	90.2778	25	0.00	0
RBMY1B		ortholog_many2many	93.75	93.1864	0	0.00	0
RBMY1A1		ortholog_many2many	76.0081	80.3838	0	0.00	0
RBMY1A1		ortholog_many2many	85.0806	88.6555	25	0.00	0
RBMY1A1		ortholog_many2many	91.5323	90.0794	25	0.00	0
RBMY1A1		ortholog_many2many	93.75	93.5614	50	0.00	0
RBMY1A1		ortholog_many2many	94.1532	93.9638	25	0.00	0
RBMY1A1		ortholog_many2many	86.6936	92.4731	0	0.00	0
RBMY1A1		ortholog_many2many	88.7097	89.4309	25	0.47	0
RBMY1A1		ortholog_many2many	91.5323	90.0794	25	0.00	0
RBMY1A1		ortholog_many2many	91.9355	93.4426	0	0.00	0
RBMY1A1		ortholog_many2many	91.7339	90.2778	25	0.00	0
RBMY1A1		ortholog_many2many	93.75	93.1864	0	100.00	1
RFTN1P1							
							
							
BCL2L14							
TTTY11							
ARSLP1							
OFD1P6Y							
XKRY							
XKRYP7							
							
							
HSFY3P							
							
TAB3P1							
							
ANOS2P							
RBMY2EP							
GOLGA2P2Y							
GOLGA2P2Y							
							
TXLNGY							
GYG2P1							
CDY3P							
USP9YP22							
USP9YP4							
PTMAP9							
MIR1244-4							
ELOCP4							
							
LRP6							
TTTY20							
TSPY4		ortholog_many2many	88.2166	96.5157	0	0.00	0
TSPY4		ortholog_many2many	88.8535	97.2125	0	0.00	0
TSPY4		ortholog_many2many	88.535	96.8641	0	0.00	0
TSPY4		ortholog_many2many	88.8535	97.2125	0	0.00	0
TSPY4		ortholog_many2many	88.535	96.8641	0	0.00	0
TSPY4		ortholog_many2many	76.7516	93.0502	0	100.00	0
FAM197Y7							
							
FAM197Y6							
							
TSPY8		ortholog_many2many	89.6104	96.1672	0	0.00	0
TSPY8		ortholog_many2many	90.2597	96.8641	0	0.00	0
TSPY8		ortholog_many2many	89.9351	96.5157	0	0.00	0
TSPY8		ortholog_many2many	90.2597	96.8641	0	0.00	0
TSPY8		ortholog_many2many	89.9351	96.5157	0	0.00	0
TSPY8		ortholog_many2many	78.2467	93.0502	0	0.00	0
TSPY3		ortholog_many2many	89.9351	96.5157	0	0.00	0
TSPY3		ortholog_many2many	90.5844	97.2125	0	0.00	0
TSPY3		ortholog_many2many	90.2597	96.8641	0	100.00	1
TSPY3		ortholog_many2many	90.5844	97.2125	0	0.00	0
TSPY3		ortholog_many2many	90.2597	96.8641	0	0.00	0
TSPY3		ortholog_many2many	78.2467	93.0502	0	0.00	0
RBMY2CP							
RBMY2DP							
ZNF736P9Y							
FAM197Y8							
PRKY							
XKRYP7							
RPL21P100							
BCORP1							
RNU6-545P							
							
RNU6-318P							
MANSC1							
FAM197Y8							
FAM197Y5							
FAM197Y5							
TSPY1		ortholog_many2many	89.2857	95.8188	0	0.00	0
TSPY1		ortholog_many2many	89.9351	96.5157	0	0.00	0
TSPY1		ortholog_many2many	89.6104	96.1672	0	0.00	0
TSPY1		ortholog_many2many	89.9351	96.5157	0	0.00	0
TSPY1		ortholog_many2many	89.6104	96.1672	0	0.00	0
TSPY1		ortholog_many2many	77.5974	92.278	0	0.00	0
RPL23AP66							
FAM197Y4							
FAM197Y4							
LOH12CR2							
TSPY9		ortholog_many2many	87.8981	96.1672	0	0.00	0
TSPY9		ortholog_many2many	88.535	96.8641	0	0.00	0
TSPY9		ortholog_many2many	88.535	96.8641	0	0.00	0
TSPY9		ortholog_many2many	88.535	96.8641	0	0.00	0
TSPY9		ortholog_many2many	88.2166	96.5157	0	0.00	0
TSPY9		ortholog_many2many	76.7516	93.0502	0	100.00	0
BORCS5							
FAM197Y3							
FAM197Y3							
							
FAM197Y2							
TSPY10		ortholog_many2many	89.9351	96.5157	0	0.00	0
TSPY10		ortholog_many2many	90.5844	97.2125	0	0.00	0
TSPY10		ortholog_many2many	90.2597	96.8641	0	0.00	0
TSPY10		ortholog_many2many	90.5844	97.2125	0	0.00	0
TSPY10		ortholog_many2many	90.2597	96.8641	0	0.00	0
TSPY10		ortholog_many2many	78.2467	93.0502	0	0.00	0
							
DUSP16							
FAM197Y1							
TSPY25P							
TSPY16P							
							
TTTY22							
							
							
TSPY18P							
RBMY2OP							
RBMY2QP							
TSPY20P							
							
TSPY5P							
							
							
RNA5SP518							
RNA5SP519							
							
DUX4L31							
PCMTD1P1							
CDC27P2							
							
RNA5-8SP6							
DLGAP5P1							
TTTY23B							
TSPY2		ortholog_many2many	89.9351	96.5157	0	0.00	0
TSPY2		ortholog_many2many	90.5844	97.2125	0	0.82	0
TSPY2		ortholog_many2many	90.2597	96.8641	0	0.00	0
TSPY2		ortholog_many2many	90.5844	97.2125	0	0.00	0
TSPY2		ortholog_many2many	90.2597	96.8641	0	0.00	0
TSPY2		ortholog_many2many	78.2467	93.0502	0	0.00	0
FAM197Y9							
FAM197Y9							
							
TSPY19P							
							
LINC00280							
							
TSPY17P							
							
							
							
							
							
							
TTTY23							
FAM224B							
							
TTTY2B							
TTTY1B							
TTTY7							
TTTY8B							
							
							
							
							
							
MIR4740							
MIR3186							
							
LINC01971							
							
							
ACTG1							
							
							
							
							
TTTY10							
BAHCC1							
TTTY16							
							
							
							
LINC03048							
TTTY12							
							
TTTY2							
TTTY7B							
ZFY-AS1							
							
							
							
							
							
							
							
TTTY17C							
SEPTIN14P23							
							
							
TXLNGY							
							
							
							
							
FAM41AY2							
							
LINC00278							
							
TTTY1							
							
TTTY11							
							
							
							
							
							
							
							
							
							
							
							
BCORP1							
							
LINC00279							
							
RNU5B-4P							
ECSCR							
TTTY18							
							
SMIM33							
STING1							
							
TTTY8							
							
PRKY							
STSP1							
							
RBMY2JP							
							
XGY1							
							
RBMY2WP							
							
USP9YP28							
TTTY14							
							
NCOA4P4							
							
OFD1P1Y							
USP9YP14							
RNASEH2CP1							
XGY2							
PPP1R12BP2							
REREP1Y							
							
							
GPR143YP							
							
OFD1P15Y							
REREP2Y							
PPP1R12BP1							
							
ANKRD36P1							
							
							
OFD1P2Y							
OFD1P5Y							
RBMY2TP							
							
OFD1P10Y							
							
							
GOLGA6L11P							
							
DNM1P24							
CSPG4P2Y							
CSPG4P3Y							
							
							
SEPTIN14P22							
							
							
							
CSPG4P4Y							
CSPG4P1Y							
DNM1P48							
GOLGA6L16P							
							
							
							
TPTE2P4							
RBMY1A3P							
							
TSPY7P							
							
TSPY6P							
							
TSPY15P							
							
RBMY3AP							
							
RBMY2NP							
							
TSPY13P							
							
TSPY11P							
							
RBMY2GP							
							
							
RBMY1D		ortholog_many2many	76.0081	80.3838	0	0.00	0
RBMY1D		ortholog_many2many	84.879	88.4454	25	0.00	0
RBMY1D		ortholog_many2many	91.3306	89.881	25	0.00	0
RBMY1D		ortholog_many2many	93.5484	93.3602	0	0.00	0
RBMY1D		ortholog_many2many	93.9516	93.7626	25	0.00	0
RBMY1D		ortholog_many2many	86.4919	92.2581	0	0.00	0
RBMY1D		ortholog_many2many	88.5081	89.2276	25	0.47	0
RBMY1D		ortholog_many2many	91.3306	89.881	25	0.00	0
RBMY1D		ortholog_many2many	91.7339	93.2377	25	0.00	0
RBMY1D		ortholog_many2many	91.5323	90.0794	25	64.42	0
RBMY1D		ortholog_many2many	93.5484	92.986	50	82.81	1
							
RBMY1E		ortholog_many2many	75.8064	80.1706	0	49.69	0
RBMY1E		ortholog_many2many	84.6774	88.2353	25	0.00	0
RBMY1E		ortholog_many2many	91.129	89.6825	25	0.00	0
RBMY1E		ortholog_many2many	93.3468	93.159	0	0.00	0
RBMY1E		ortholog_many2many	93.75	93.5614	25	0.00	0
RBMY1E		ortholog_many2many	86.2903	92.043	0	0.00	0
RBMY1E		ortholog_many2many	88.3064	89.0244	25	0.00	0
RBMY1E		ortholog_many2many	91.129	89.6825	25	0.00	0
RBMY1E		ortholog_many2many	91.5323	93.0328	25	0.00	0
RBMY1E		ortholog_many2many	91.3306	89.881	25	0.00	0
RBMY1E		ortholog_many2many	93.3468	92.7856	50	0.00	0
							
RBMY2AP							
							
							
OFD1P8Y							
							
HSFY5P							
USP9YP17							
CDY12P							
ELOCP15							
							
TTTY6B							
RBMY1F		ortholog_many2many	76.6129	81.0235	0	0.00	0
RBMY1F		ortholog_many2many	85.4839	89.0756	25	63.75	0
RBMY1F		ortholog_many2many	91.9355	90.4762	25	82.51	1
RBMY1F		ortholog_many2many	94.1532	93.9638	0	0.00	0
RBMY1F		ortholog_many2many	94.5564	94.3662	25	0.00	0
