Gene name	Pig gene name	Pig homology type	%id. target Pig gene identical to query gene	%id. query gene identical to target Pig gene	Pig Gene-order conservation score	Pig Whole-genome alignment coverage	Pig orthology confidence [0 low, 1 high]
							
							
							
							
							
							
							
							
U6							
		ortholog_one2many	86.262	87.0968	0	0.00	0
		ortholog_one2many	85.7595	87.987	0	100.00	1
							
							
U6							
							
							
							
							
							
							
							
							
RPL23AP45							
							
C8orf33							
LINC02688							
MUC5AC							
MUC2							
ZSWIM4							
							
RN7SL619P							
MIR23AHG							
MIR24-2							
MIR27A							
MIR23A							
NANOS3							
MIR181C							
MIR181D							
BRME1							
CC2D1A							
PODNL1							
DCAF15							
RFX1							
							
RLN3							
							
IL27RA							
PALM3							
EEF1DP1							
MISP3							
MIR1199							
C19orf67							
PRKACA							
							
ASF1B							
ADGRL1-AS1							
ADGRL1							
RN7SL231P							
							
							
SAMD1							
CNTNAP3C							
RN7SL462P							
							
RNU1-62P							
MTCO3P47							
RNA5SP136							
RYBP							
SYT15B							
							
NPY4R2							
							
FAM25C							
AGAP12P							
AGAP12P							
RNA5SP315							
BMS1P7							
							
							
HMX1							
							
PPP2R3B							
RPL14P5							
							
IL3RA							
P2RY8							
SLC25A6							
DHRSX-IT1							
DHRSX							
ASMTL							
LINC00685							
PLCXD1							
ZBED1							
MIR6089							
LINC00102							
CD99							
Metazoa_SRP							
FABP5P13							
KRT18P53							
SHOX							
MIR3690							
RNA5SP498							
CD99P1							
CRLF2							
AKAP17A							
ASMT							
							
CSF2RA							
							
							
							
							
							
ASMTL-AS1							
							
							
							
LINC00106							
							
							
							
							
							
							
							
LINC02968							
							
							
							
LINC03015							
CD99P1							
LINC03014							
							
							
							
FAM20C							
							
							
LINC03112							
							
GTPBP6							
AMD1P2							
DPH3P2							
VAMP7							
ELOCP24							
TRPC6P1							
							
DDX11L16							
WASH6P							
							
							
WASIR1							
IL9R							
							
TSPY24P							
ZNF92P1Y							
SERBP1P2							
TSPY12P							
DUX4L19							
							
OFD1P3Y							
RBMY2HP							
							
ELOCP35							
SLC9B1P1							
USP12PY							
KDM5DP1							
DUX4L17							
							
							
ZNF736P6Y							
TUSC2P1							
PUDPP1							
							
CDRT15P10							
USP9Y		ortholog_one2many	90.8806	90.9162	25	100.00	1
USP9Y		ortholog_one2many	28.1018	84.3713	25	0.00	0
Y_RNA							
RNU6-409P							
ACR							
							
SNRPA1P2							
SHANK3							
							
RNF19BPY							
TUBB1P2							
							
ACTR3BP1							
RPS24P1							
RCC2P2							
ZNF736P8Y							
EIF1AY	EIF1AY	ortholog_one2one	99.3056	99.3056	0	100.00	1
BPY2							
MTND1P12							
CTBP2P1							
MTND6P1							
PABPC1P5							
RCC2P1							
SHROOM2P1							
							
DUX4L18							
ZNF736P11Y							
BPY2DP							
CHEK2P1							
ZNF886P							
OFD1P16Y							
							
ASS1P6							
SNX18P1Y							
MED14P1							
ZNF885P							
ARSFP1							
							
ZNF736P7Y							
SURF6P1							
							
ANKRD20A6P							
							
RBMY2KP							
TTTY19							
TTTY4							
							
MXRA5Y							
DUX4L16							
MTCYBP1							
							
TTTY17A							
AGPAT5P1							
							
FAM41AY1							
							
TRIM60P3Y							
MTND1P1							
							
PRRC2CP1							
ZNF736P10Y							
							
							
MTND2P3							
							
							
							
ARSDP1							
CDY4P							
UBE2V1P3							
FAM8A4P							
							
TRIM60P8Y							
MED13P1							
CYCSP46							
RNU6-303P	U6	ortholog_one2many	73.5849	74.2857		0.00	0
		ortholog_many2many	76.5152	75.3731		0.00	0
		ortholog_many2many	76.5152	77.6923		100.00	1
RN7SL702P							
RNA5SP520							
RNA5SP521							
							
RNU6-109P							
RNU6-184P							
HSFY2		ortholog_many2many	58.1047	57.9602	0	0.00	0
HSFY2		ortholog_many2many	57.8554	57.7114	0	0.00	0
HSFY2		ortholog_many2many	59.1022	58.9552	0	0.00	0
HSFY2		ortholog_many2many	57.8554	57.7114	0	0.00	0
HSFY2		ortholog_many2many	57.8554	57.7114	0	0.00	0
HSFY2		ortholog_many2many	59.1022	58.9552	0	0.00	0
HSFY2		ortholog_many2many	60.0998	59.9502	0	0.00	0
HSFY2		ortholog_many2many	57.606	57.4627	0	0.00	0
HSFY2		ortholog_many2many	59.1022	58.9552	0	0.00	0
HSFY2		ortholog_many2many	57.606	56.6176	0	0.00	0
HSFY2		ortholog_many2many	59.601	59.4527	0	0.00	0
HSFY2		ortholog_many2many	58.6035	54.1475	0	0.00	0
HSFY2		ortholog_many2many	20.6983	61.4815	0	0.00	0
HSFY2		ortholog_many2many	56.6085	59.2689	0	0.00	0
HSFY2		ortholog_many2many	59.1022	58.9552	0	0.00	0
HSFY2		ortholog_many2many	58.8529	58.7065	0	0.00	0
HSFY2		ortholog_many2many	18.9526	61.7886	0	0.00	0
HSFY2		ortholog_many2many	58.8529	58.7065	0	0.00	0
HSFY2		ortholog_many2many	54.6135	52.6442	0	0.00	0
HSFY2		ortholog_many2many	59.3516	59.204	0	0.00	0
HSFY2		ortholog_many2many	58.6035	58.4577	0	0.00	0
HSFY2		ortholog_many2many	58.8529	58.7065	0	0.00	0
HSFY2		ortholog_many2many	57.1072	59.7911	0	0.00	0
HSFY2		ortholog_many2many	59.601	59.4527	0	0.00	0
HSFY2		ortholog_many2many	57.3566	57.2139	0	0.00	0
HSFY2		ortholog_many2many	55.611	55.611	0	0.00	0
HSFY2		ortholog_many2many	57.606	57.4627	0	0.00	0
HSFY2		ortholog_many2many	58.3541	58.209	0	0.00	0
HSFY2		ortholog_many2many	57.606	59.0793	0	0.00	0
HSFY2		ortholog_many2many	57.8554	57.7114	0	0.00	0
HSFY2		ortholog_many2many	57.1072	58.5678	0	0.00	0
HSFY2		ortholog_many2many	59.1022	58.9552	0	0.00	0
HSFY2		ortholog_many2many	22.1945	65.9259	0	0.00	0
HSFY2		ortholog_many2many	53.1172	57.1046	0	0.00	0
HSFY2		ortholog_many2many	58.3541	58.209	0	0.00	0
HSFY2		ortholog_many2many	57.606	59.0793	0	0.00	0
HSFY2		ortholog_many2many	24.1895	66.4384	0	0.00	0
HSFY2		ortholog_many2many	58.6035	58.4577	0	0.00	0
GPM6BP2							
USP9YP2							
ELOCP14							
XKRYP2							
USP9YP10							
RNU1-41P							
OFD1P7Y							
MTCYBP2							
ZNF839P1							
CD24P4							
RNU6-255P							
GCGR							
							
GAPDHP19							
CLUHP1							
TAF9P1							
CDY5P							
ELOCP36							
ACTG1P2							
USP9YP23							
USP9YP27							
RNU1-128P							
TRAPPC2P3							
ELOCP6							
CDY6P							
USP9YP7							
USP9YP6							
CDY7P							
USP9YP34							
USP9YP32							
CDY8P							
ELOCP12							
TRAPPC2P8							
USP9YP15							
RNU1-95P							
USP9YP16							
ACTG1P11							
ELOCP26							
CDY9P							
TAF9P2							
CLUHP2							
							
RNA5SP522							
RNA5SP523							
TUBB1P1							
ELOCP13							
OFD1P4Y							
RNU1-48P							
USP9YP5							
XKRYP1							
ELOCP7							
USP9YP1							
GPM6BP1							
RAB9AP4							
TRAPPC2P7							
							
							
KDM5D	KDM5D	ortholog_one2one	79.7271	81.4741	0	100.00	1
MCRIP1							
PPP1R27							
HSFY1		ortholog_many2many	58.1047	57.9602	0	0.00	0
HSFY1		ortholog_many2many	57.8554	57.7114	0	0.00	0
HSFY1		ortholog_many2many	59.1022	58.9552	0	0.00	0
HSFY1		ortholog_many2many	57.8554	57.7114	0	0.00	0
HSFY1		ortholog_many2many	57.8554	57.7114	0	0.00	0
HSFY1		ortholog_many2many	59.1022	58.9552	0	0.00	0
HSFY1		ortholog_many2many	60.0998	59.9502	0	0.00	0
HSFY1		ortholog_many2many	57.606	57.4627	0	0.00	0
HSFY1		ortholog_many2many	59.1022	58.9552	0	0.00	0
HSFY1		ortholog_many2many	57.606	56.6176	0	0.00	0
HSFY1		ortholog_many2many	59.601	59.4527	0	0.00	0
HSFY1		ortholog_many2many	58.6035	54.1475	0	0.00	0
HSFY1		ortholog_many2many	20.6983	61.4815	0	0.00	0
HSFY1		ortholog_many2many	56.6085	59.2689	0	0.00	0
HSFY1		ortholog_many2many	59.1022	58.9552	0	0.00	0
HSFY1		ortholog_many2many	58.8529	58.7065	0	0.00	0
HSFY1		ortholog_many2many	18.9526	61.7886	0	0.00	0
HSFY1		ortholog_many2many	58.8529	58.7065	0	0.00	0
HSFY1		ortholog_many2many	54.6135	52.6442	0	0.00	0
HSFY1		ortholog_many2many	59.3516	59.204	0	0.00	0
HSFY1		ortholog_many2many	58.6035	58.4577	0	0.00	0
HSFY1		ortholog_many2many	58.8529	58.7065	0	0.00	0
HSFY1		ortholog_many2many	57.1072	59.7911	0	0.00	0
HSFY1		ortholog_many2many	59.601	59.4527	0	0.00	0
HSFY1		ortholog_many2many	57.3566	57.2139	0	0.00	0
HSFY1		ortholog_many2many	55.611	55.611	0	0.00	0
HSFY1		ortholog_many2many	57.606	57.4627	0	0.00	0
HSFY1		ortholog_many2many	58.3541	58.209	0	0.00	0
HSFY1		ortholog_many2many	57.606	59.0793	0	0.00	0
HSFY1		ortholog_many2many	57.8554	57.7114	0	0.00	0
HSFY1		ortholog_many2many	57.1072	58.5678	0	0.00	0
HSFY1		ortholog_many2many	59.1022	58.9552	0	0.00	0
HSFY1		ortholog_many2many	22.1945	65.9259	0	0.00	0
HSFY1		ortholog_many2many	53.1172	57.1046	0	0.00	0
HSFY1		ortholog_many2many	58.3541	58.209	0	0.00	0
HSFY1		ortholog_many2many	57.606	59.0793	0	0.00	0
HSFY1		ortholog_many2many	24.1895	66.4384	0	0.00	0
HSFY1		ortholog_many2many	58.6035	58.4577	0	0.00	0
TGIF2LY							
CDY2A							
ZNF736P3Y							
TRIM60P9Y							
RN7SKP282							
Y_RNA							
RNU6-941P							
RNU6-521P	U6	ortholog_one2many	67.619	69.6078		0.00	0
SRIP3							
							
GOT2P5							
ATP5PFP1							
							
TRIM60P10Y							
ZNF736P2Y							
TRIM60P11Y							
							
ZNF736P1Y							
							
ZNF736P5Y							
BPY2C							
TTTY4C							
DAZ4		ortholog_one2many	24.8963	61.0169	0	100.00	0
CDY2B							
RNU6-1334P							
SRY	SRY	ortholog_one2many	57.3529	49.5763	0	0.00	0
SRY		ortholog_one2many	57.8431	50	0	100.00	1
LINC01784							
PRAMEF11							
TOMM22P2							
							
RPS4Y1							
PRAMEF30P							
HNRNPCL1							
PRAMEF2							
NAP1L1P2							
							
ZFY		ortholog_many2many	92.5094	92.8571	0	100.00	1
ZFY		ortholog_many2many	93.633	93.75	0	3.55	0
PRAMEF4							
PRAMEF10							
PRAMEF7							
EEF1A1P41							
PSMA6P1							
SFPQP1							
DPPA2P1							
RNU6-1072P							
PRAMEF29P							
DDX3Y		ortholog_one2one	92.4242	89.5742	0	19.50	0
PRAMEF6							
PRAMEF28P							
PRAMEF27							
HNRNPCL3							
PRAMEF25							
PRAMEF34P							
PRAMEF35P							
HNRNPCL2							
PRAMEF36P							
							
							
PRAMEF26							
HNRNPCL4							
PRAMEF9							
CASKP1							
UTY		ortholog_one2one	13.0886	86.6973	25	12.41	0
PRAMEF13							
PRAMEF18							
PRAMEF31P							
PRAMEF5							
PRAMEF32P							
RNU6-771P							
PRAMEF8							
PRAMEF33							
PRAMEF22							
TMSB4Y	TMSB4X	ortholog_one2one	93.1818	93.1818	0	100.00	1
VCY							
DAZ3		ortholog_one2many	41.0959	61.0169	0	100.00	0
ARHGEF19							
							
ANO7L1							
							
CPLANE2							
MT1XP1							
FBXO42							
DAZ1		ortholog_one2many	23.7903	60	0	100.00	0
SZRD1							
RPL22P3							
SPATA21							
NECAP2							
SNORA70							
							
							
LINC01772							
AMELY	AMELY	ortholog_one2one	83.3333	78.8177	0	100.00	1
CROCCP3							
RNU1-1							
							
							
LINC01783							
RNU1-6P							
PDE4DIPP8							
TBL1Y		ortholog_many2many	88.8889	75.4472	0	100.00	1
TBL1Y		ortholog_many2many	88.8889	75.4472	0	0.49	0
							
RNU1-2							
							
							
LINC03126							
RNU1-5P							
							
							
EIF1AXP1							
RNU1-3							
RNU1-4							
PADI2							
							
CROCCP4							
							
							
							
							
							
							
							
							
							
							
							
DAZ2		ortholog_one2many	27.9817	62.0339	0	99.34	0
							
							
NBPF1							
AGKP1							
NLGN4Y-AS1							
NLGN4Y		ortholog_many2many	94.7368	95.8838	0	100.00	1
NLGN4Y		ortholog_many2many	94.8565	95.8888	0	0.43	0
CDY22P							
ELOCP17							
OFD1P18Y							
TRAPPC2P4							
RAB9AP3							
USP9YP20							
RNU1-40P							
USP9YP21							
XKRYP6							
ELOCP11							
CDY23P							
USP9YP26							
HSFY8P							
							
							
SNORA70							
RNU6-1314P							
CYCSP48							
VCY1B							
PNPLA4P1							
							
TBL1YP1							
RPS4Y2							
HSFY4P							
							
GAPDHP17							
TMEM167AP1							
							
TOMM22P1							
NEFLP1							
							
PRORY							
							
TSPY14P							
RBMY1HP							
							
							
TTTY13							
ELOCP5							
CDY10P							
USP9YP3							
USP9YP8							
CDY11P							
HSFY6P							
USP9YP18							
CDY14P							
ELOCP16							
XKRYP3							
USP9YP25							
USP9YP29							
RNU1-97P							
RAB9AP1							
TRAPPC2P9							
OFD1P11Y							
RNU2-57P							
VDAC1P6							
EIF4A1P2							
KRT18P10							
SNX3P1Y							
RPL26P37							
PCDH11Y		ortholog_one2many	84.5353	78.1481	0	99.29	1
ELOCP9							
CDY15P							
XKRYP4							
USP9YP13							
USP9YP11							
TTTY3B							
USP9YP12							
RNU1-86P							
RAB9AP5							
TRAPPC2P10							
OFD1P12Y							
ELOCP10							
CDY1B							
CDY17P							
USP9YP35							
USP9YP31							
CDY18P							
							
RN7SL818P							
UBE2Q2P4Y							
LINC00265-2P							
CICP2							
							
RBMY2XP							
TTTY17B							
TRIM60P5Y							
ZNF736P12Y							
TTTY4B							
BPY2B							
							
ZNF736P4Y							
							
RBMY2YP							
							
CICP1							
LINC00265-3P							
UBE2Q2P5Y							
GOLGA2P3Y							
RN7SL725P							
							
CDY19P							
USP9YP36							
USP9YP33							
CDY20P							
ELOCP34							
OFD1P13Y							
TRAPPC2P5							
RAB9AP2							
USP9YP30							
RNU1-107P							
TTTY3							
USP9YP9							
USP9YP19							
XKRYP5							
CYCSP49							
SLC25A15P1							
PARP4P1							
CCNQP2							
CDY1							
RBMY1B							
RBMY1A1							
RFTN1P1							
							
							
BCL2L14							
TTTY11							
ARSLP1							
OFD1P6Y							
XKRY							
XKRYP7							
							
							
HSFY3P							
							
TAB3P1							
							
ANOS2P							
RBMY2EP							
GOLGA2P2Y							
GOLGA2P2Y							
							
TXLNGY							
GYG2P1							
CDY3P							
USP9YP22							
USP9YP4							
PTMAP9							
MIR1244-4							
ELOCP4							
							
LRP6							
TTTY20							
TSPY4		ortholog_one2many	47.1338	37.7551	0	88.78	0
FAM197Y7							
							
FAM197Y6							
							
TSPY8		ortholog_one2many	48.0519	37.7551	0	88.77	0
TSPY3		ortholog_one2many	48.0519	37.7551	0	88.77	0
RBMY2CP							
RBMY2DP							
ZNF736P9Y							
FAM197Y8							
PRKY							
XKRYP7							
RPL21P100							
BCORP1							
RNU6-545P							
							
RNU6-318P							
MANSC1							
FAM197Y8							
FAM197Y5							
FAM197Y5							
TSPY1		ortholog_one2many	47.4026	37.2449	0	88.66	0
RPL23AP66							
FAM197Y4							
FAM197Y4							
LOH12CR2							
TSPY9		ortholog_one2many	46.8153	37.5	0	88.78	0
BORCS5							
FAM197Y3							
FAM197Y3							
							
FAM197Y2							
TSPY10		ortholog_one2many	48.0519	37.7551	0	88.77	0
							
DUSP16							
FAM197Y1							
TSPY25P							
TSPY16P							
							
TTTY22							
							
							
TSPY18P							
RBMY2OP							
RBMY2QP							
TSPY20P							
							
TSPY5P							
							
							
RNA5SP518							
RNA5SP519							
							
DUX4L31							
PCMTD1P1							
CDC27P2							
							
RNA5-8SP6							
DLGAP5P1							
TTTY23B							
TSPY2		ortholog_one2many	47.7273	37.5	0	88.76	0
FAM197Y9							
FAM197Y9							
							
TSPY19P							
							
LINC00280							
							
TSPY17P							
							
							
							
							
							
							
TTTY23							
FAM224B							
							
TTTY2B							
TTTY1B							
TTTY7							
TTTY8B							
							
							
							
							
							
MIR4740							
MIR3186							
							
LINC01971							
							
							
ACTG1							
							
							
							
							
TTTY10							
BAHCC1							
TTTY16							
							
							
							
LINC03048							
TTTY12							
							
TTTY2							
TTTY7B							
ZFY-AS1							
							
							
							
							
							
							
							
TTTY17C							
SEPTIN14P23							
							
							
TXLNGY							
							
							
							
							
FAM41AY2							
							
LINC00278							
							
TTTY1							
							
TTTY11							
							
							
							
							
							
							
							
							
							
							
							
BCORP1							
							
LINC00279							
							
RNU5B-4P							
ECSCR							
TTTY18							
							
SMIM33							
STING1							
							
TTTY8							
							
PRKY							
STSP1							
							
RBMY2JP							
							
XGY1							
							
RBMY2WP							
							
USP9YP28							
TTTY14							
							
NCOA4P4							
							
OFD1P1Y							
USP9YP14							
RNASEH2CP1							
XGY2							
PPP1R12BP2							
REREP1Y							
							
							
GPR143YP							
							
OFD1P15Y							
REREP2Y							
PPP1R12BP1							
							
ANKRD36P1							
							
							
OFD1P2Y							
OFD1P5Y							
RBMY2TP							
							
OFD1P10Y							
							
							
GOLGA6L11P							
							
DNM1P24							
CSPG4P2Y							
CSPG4P3Y							
							
							
SEPTIN14P22							
							
							
							
CSPG4P4Y							
CSPG4P1Y							
DNM1P48							
GOLGA6L16P							
							
							
							
TPTE2P4							
RBMY1A3P							
							
TSPY7P							
							
TSPY6P							
							
TSPY15P							
							
RBMY3AP							
							
RBMY2NP							
							
TSPY13P							
							
TSPY11P							
							
RBMY2GP							
							
							
RBMY1D							
							
RBMY1E							
							
RBMY2AP							
							
							
OFD1P8Y							
							
HSFY5P							
USP9YP17							
CDY12P							
ELOCP15							
							
TTTY6B							
RBMY1F							
TSPY23P							
RBMY2UP							
RBMY1KP							
TTTY5							
TSPY22P							
RBMY2FP							
RBMY2FP							
TTTY25P							
TSPY21P							
RBMY1J							
							
							
CYCSP41							
							
							
OR4K11P							
							
							
							
							
CTBP2P10							
RBPMSLP							
SREK1IP1P1							
MIR548XHG							
							
FDPSP6							
							
TTTY6							
							
NEK4P1							
							
ELOCP8							
CDY13P							
							
USP9YP24							
PPIAP22							
							
SLC6A6P1							
CTBP2P9							
HSFY7P							
							
OFD1P9Y							
CHODL-AS1							
							
							
TUBAP1							
							
TMPRSS15	TMPRSS15	ortholog_one2one	82.0412	79.6949	100	100.00	1
RBMY2BP							
							
							
XKRY							
							
							
							
VN1R7P							
FAM224A							
ZNF299P							
							
SNX19P1							
							
							
SLC25A15P4							
GPX1P2							
							
							
CXADR	CXADR	ortholog_one2one	89.0411	77.5656	100	99.64	1
							
							
							
TTTY9B							
							
							
							
TTTY9A							
							
							
IGHV1OR21-1							
HSPD1P7							
MSANTD2P1							
							
C1QBPP1							
							
RPL10P1							
LINC00317							
							
							
							
							
							
LINC01689							
							
							
							
							
							
KRT18P2							
							
							
							
URB1	URB1	ortholog_one2one	79.9648	80.5322	100	100.00	1
C1R							
							
KRTAP25-1							
							
RPSAP68							
RBMY3AP							
JAM2	JAM2	ortholog_one2one	88.255	88.255	100	100.00	1
CDY3P							
TSPY25P							
USP9YP22							
TSPY16P							
USP9YP4							
ELOCP4							
RBMY1A3P							
							
TTTY20							
TSPY8							
FAM197Y7							
							
TSPY4							
TSPY9							
FAM197Y2							
FAM197Y4							
FAM197Y4							
FAM197Y8							
FAM197Y8							
							
EEF1A1P1							
							
							
							
RPL8P2							
CLDN17	CLDN17	ortholog_one2one	86.1607	85.7778	100	100.00	1
BTF3L4P1							
							
							
RPL37P3							
THUMPD1P1							
							
PPIAP1							
LLPHP2							
KRTAP24-1	KRTAP24-1	ortholog_one2one	66.9291	67.1937	100	100.00	1
							
C1RL							
NCSTNP1							
							
RPS3AP1							
SCAF4	SCAF4	ortholog_one2one	94.5074	94.4251	100	100.00	1
C1RL-AS1							
ELOCP5							
CDY10P							
USP9YP3							
RBP5							
USP9YP8							
CDY11P							
OFD1P16Y							
RNU6-485P							
							
CLSTN3							
EIF4A1P1							
LINC00307							
NCAM2	NCAM2	ortholog_one2one	96.0574	88.1579	100	100.00	1
MIPEP	MIPEP	ortholog_one2one	79.3829	67.7033	75	94.06	1
							
							
OR4K12P							
							
							
RPSAP64							
TPT1P1							
							
LINC01423							
							
CLDN8	CLDN8	ortholog_one2one	84	84	100	100.00	1
							
							
LINC02943							
							
							
HUNK-AS1							
							
HUNK	HUNK	ortholog_one2one	92.2969	59.3159	100	100.00	1
LSP1P1							
ZNF962P							
							
RPL17P51							
							
HSPD1P9							
							
C1QTNF9-AS1							
MTCO3P2							
							
PEX5							
							
							
EIF3FP1							
C21orf91	C21orf91	ortholog_one2one	89.2256	89.2256	100	100.00	1
RPS20P32							
FABP3P2							
MTUS2-AS1							
KPNA3	KPNA3	ortholog_one2one	99.2322	99.2322	100	100.00	1
LINC00308							
MORC3	MORC3	ortholog_one2one	88.3919	88.3919	100	100.00	1
OR4C12							
OR4C48P							
OR4C49P							
OR4C45							
							
							
CRYL1	CRYL1	ortholog_one2one	77.116	66.6667	100	94.97	1
PAXBP1	PAXBP1	ortholog_one2one	97.3828	97.4891	100	100.00	1
LINC00562							
RPS21P8							
							
CAB39L	CAB39L	ortholog_one2one	97.9229	97.9229	100	100.00	1
							
CHCHD2P11							
TIMM9P3							
LINC00457							
RAD17P2							
DNAJC15	DNAJC15	ortholog_one2one	80.6667	80.6667	100	100.00	1
GPR12	GPR12	ortholog_one2one	95.8084	95.8084	100	100.00	1
MTUS2-AS2							
COLEC12	COLEC12	ortholog_one2one	95.0135	95.0135	100	100.00	1
							
ZNF646P1							
RPP40P2							
GAMTP2							
WASF3	WASF3	ortholog_one2one	92.0319	92.7711	100	100.00	1
NIPA2P3							
EPCIP	EPCIP	ortholog_one2one	77.169	77.169	100	100.00	1
							
LINC01892							
							
							
							
							
							
							
							
							
							
LINC01928							
LINC01700							
							
FDX1P2							
POSTN	POSTN	ortholog_one2one	95.4545	95.4545	100	100.00	1
CHODL	CHODL	ortholog_one2one	94.8718	94.8718	100	100.00	1
SLC25A3P3							
							
							
							
							
							
COP1P1							
RAB31	RAB31	ortholog_one2one	94.359	94.359	100	100.00	1
							
							
BACH1	BACH1	ortholog_one2one	85.7337	85.0404	100	100.00	1
							
							
ZNF415P1							
							
COX6CP3							
							
							
YES1	YES1	ortholog_one2one	90.9761	89.3309	100	100.00	1
							
SPATA20P1							
							
							
							
							
PSMA6P3							
ETS2	ETS2	ortholog_one2one	91.258	91.0638	100	100.00	1
RPS4XP18							
							
PPIAP57							
							
BOD1P2							
							
NAA50P1							
							
							
							
							
LINC01543							
OR8J2							
							
							
OR5T2							
							
OR5T3							
							
OR5T1							
							
							
OR8H1							
NDUFV2	NDUFV2	ortholog_one2one	96.3855	96.3855	100	100.00	1
OR8I1P							
OR8K3							
FAM8A2P							
OR8K2P							
OR8K1							
RPL5P29							
OR8J1							
OR8U8							
