Gene name	Mouse gene name	Mouse homology type	%id. target Mouse gene identical to query gene	%id. query gene identical to target Mouse gene	Mouse Gene-order conservation score	Mouse Whole-genome alignment coverage	Mouse orthology confidence [0 low, 1 high]
Metazoa_SRP	Gm56242	ortholog_many2many	58.1197	24.5487		0.00	0
Metazoa_SRP	Gm54720	ortholog_many2many	54.7009	24.6154		0.00	0
Metazoa_SRP	Gm25072	ortholog_many2many	58.1197	28.9362		0.00	0
Metazoa_SRP	Gm55356	ortholog_many2many	58.1197	27.2		0.00	0
Metazoa_SRP	Gm25735	ortholog_many2many	60.6838	33.0233		0.00	0
Metazoa_SRP	Gm55459	ortholog_many2many	20.5128	7.57098		0.00	0
Metazoa_SRP	Gm56028	ortholog_many2many	56.4103	26.2948		0.00	0
Metazoa_SRP	Gm27956	ortholog_many2many	53.8462	25.8197		0.00	0
Metazoa_SRP	Gm54487	ortholog_many2many	59.8291	27.451		0.00	0
Metazoa_SRP	Gm56145	ortholog_many2many	57.265	27.2358		0.00	0
WARS2	Wars2	ortholog_one2one	85.3591	85.8333	100	0.00	1
							
							
							
IL24	Il24	ortholog_one2one	58.9372	67.4033	100	0.00	1
							
							
							
RN7SL261P							
							
C1orf174	A430005L14Rik	ortholog_one2one	64.898	69.1304	100	0.00	1
							
MIR30E							
PLCL2	Plcl2	ortholog_one2one	96.1575	88.7411	100	0.00	1
							
CRTC2	Crtc2	ortholog_one2one	85.8025	80.3468	100	0.00	1
SLC5A9	Slc5a9	ortholog_one2one	81.8697	84.3796	100	0.00	1
CACYBP	Cacybp	ortholog_one2many	84.2105	90.8297	100	87.64	1
							
BLZF1	Blzf1	ortholog_one2one	84	83.3747	100	0.00	1
							
SH2D1B	Sh2d1b1	ortholog_one2many	64.3939	64.3939	100	0.00	1
SH2D1B	Sh2d1b2	ortholog_one2many	65.1515	65.1515	100	0.00	1
							
							
							
TMEM59	Tmem59	ortholog_one2one	81.3513	93.1889	100	2.38	1
							
Metazoa_SRP							
							
							
DFFB	Dffb	ortholog_one2one	71.7452	75.2907	100	0.00	1
Metazoa_SRP							
							
							
LAMTOR2	Lamtor2	ortholog_one2one	99.2	99.2	100	0.00	1
							
TXNRD3	Txnrd3	ortholog_one2one	82.7243	80.9756	100	0.00	1
TBX15	Tbx15	ortholog_one2one	98.6711	98.6711	100	92.36	1
							
OSBPL10	Osbpl10	ortholog_one2one	91.6011	91.1227	100	0.00	1
SH3BP5L	Sh3bp5l	ortholog_one2one	59.375	67.8571	50	0.00	0
CFAP45	Cfap45	ortholog_one2one	65.8683	79.8548	100	99.96	1
							
							
U6							
							
	Psmg2	ortholog_one2many	79.6681	72.7273	0	0.00	0
ARHGEF26	Arhgef26	ortholog_one2one	76.5957	82.8539	100	100.00	1
							
Metazoa_SRP							
Metazoa_SRP							
DENND4B	Dennd4b	ortholog_one2one	93.2487	92.3841	100	0.00	1
							
DAZL	Dazl	ortholog_one2one	88.1356	87.2483	75	0.00	1
							
	Mrps14	ortholog_one2many	86.7188	86.7188	100	0.00	1
Metazoa_SRP							
							
FCMR	Fcmr	ortholog_one2one	53.3537	41.4692	100	0.00	0
PADI6	Padi6	ortholog_one2one	64.9856	66.129	100	0.00	1
							
MSL2	Msl2	ortholog_one2one	98.9601	98.9601	100	99.43	1
CCDC181	Ccdc181	ortholog_one2one	73.9464	75.835	100	0.00	1
							
							
FANCD2	Fancd2	ortholog_one2one	74.3484	74.7586	100	0.00	1
Y_RNA							
							
JAK1	Jak1	ortholog_one2one	94.8007	94.8829	100	62.73	1
							
Metazoa_SRP							
	Skint2	ortholog_one2many	54.0761	49.75	100	0.00	0
	Skint4	ortholog_one2many	51.9022	39.6266	100	0.00	0
	Skint1	ortholog_one2many	54.3478	54.9451	100	0.00	1
	Skint6	ortholog_one2many	45.9239	13.629	0	0.00	0
	Skint3	ortholog_one2many	52.1739	41.9214	100	0.00	0
	Skint5	ortholog_one2many	48.6413	12.1356	0	0.00	0
	Bend2	ortholog_many2many	22	3.02198	0	0.00	0
LAMC2	Lamc2	ortholog_one2one	77.0177	83.9899	100	100.00	1
							
							
LRRC34	Lrrc34	ortholog_one2one	64.6817	75.9036	100	0.00	1
							
SPAG17	Spag17	ortholog_one2one	73.5586	70.3879	100	38.93	1
Metazoa_SRP							
							
							
							
RNU1-132P	Gm25796	ortholog_one2many	62.1951	62.5767		0.00	0
							
							
							
							
GATAD2B	Gatad2b	ortholog_one2one	98.4823	98.3165	100	0.00	1
LDLRAD1	Ldlrad1	ortholog_one2one	70.7317	66.5138	100	83.34	1
RFTN1	Rftn1	ortholog_one2one	68.5121	71.4801	50	0.00	0
							
ACP6	Acp6	ortholog_one2one	75	76.7943	75	0.00	1
VSIG8	Vsig8	ortholog_one2one	85.6771	78.8969	100	0.00	1
SLC19A2	Slc19a2	ortholog_one2one	90.5051	89.9598	100	0.00	1
WDR3	Wdr3	ortholog_one2one	90.9862	91.0828	100	100.00	1
PIGR	Pigr	ortholog_one2one	66.7539	66.1479	100	0.00	1
TRABD2B	Trabd2b	ortholog_one2one	74.0741	77.3694	100	42.85	1
TNN	Tnn	ortholog_one2one	81.4187	67.6923	100	48.82	1
U6	Gm25598	ortholog_one2many	83.4951	80.3738		0.00	0
	Bend2	ortholog_many2many	25	3.57143	0	0.00	0
SLC6A9	Slc6a9	ortholog_one2one	85.0969	90.2054	100	0.00	1
							
KCND3	Kcnd3	ortholog_one2one	99.3893	99.3893	100	0.00	1
FANCD2OS	Fancd2os	ortholog_one2one	92.0904	91.573	100	88.48	1
MIGA1	Miga1	ortholog_one2one	83.1974	85	100	0.00	1
							
SSR2	Ssr2	ortholog_one2one	61.3014	97.8142	100	0.00	1
RAVER2	Raver2	ortholog_one2one	58.453	78.6033	100	66.78	1
SPATA46	Spata46	ortholog_one2one	65.3386	80.3922	100	0.00	1
LYPD8	Lypd8	ortholog_one2one	41.1765	38.4314	100	0.00	0
PADI4	Padi4	ortholog_one2one	66.474	69.0691	100	0.00	1
	Snord64	ortholog_one2one	83.5821	83.5821		0.00	0
							
DHX36	Dhx36	ortholog_one2one	92.4603	93.1069	100	75.76	1
BRK1	Brk1	ortholog_one2one	98.6667	98.6667	100	96.32	1
							
							
LRRIQ4	Lrriq4	ortholog_one2one	69.4643	65.2685	100	72.73	1
FCAMR	Fcamr	ortholog_one2one	50.5515	46.5313	100	0.00	0
SRP9	Srp9	ortholog_one2one	93.0233	93.0233	50	0.00	0
Y_RNA							
							
Metazoa_SRP							
							
EFCAB2	Efcab2	ortholog_one2one	57.9787	66.4634	100	84.03	1
GDAP2	Gdap2	ortholog_one2one	92.9436	92.5703	100	15.43	1
MIR556							
							
							
DDX20	Ddx20	ortholog_one2one	77.5626	82.5455	100	0.00	1
BCL9	Bcl9	ortholog_one2one	95.4418	95.5088	100	0.00	1
C3orf22	BC048671	ortholog_one2one	45.3901	46.7153	100	0.00	0
							
RIMS3	Rims3	ortholog_one2one	86.4516	87.2964	100	99.49	1
							
							
SLC27A3	Slc27a3	ortholog_one2one	69.6815	82.009	100	100.00	1
F5	F5	ortholog_one2one	68.7166	70.6367	100	0.00	1
							
CEP104	Cep104	ortholog_one2one	79.3617	80.5616	100	0.00	1
	Lypd8l	ortholog_one2many	32.1033	39.5455	0	0.00	0
	Gm12253	ortholog_one2many	26.9373	31.8777	75	0.00	0
	1810065E05Rik	ortholog_one2many	31.3653	36.1702	75	0.00	0
OLFML2B	Olfml2b	ortholog_one2one	83.1788	84.1823	100	39.32	1
OXNAD1	Oxnad1	ortholog_one2one	79.8077	80.0643	50	0.00	0
CCDC24	Ccdc24	ortholog_one2one	65.1466	67.5676	100	0.00	1
SLAMF8	Slamf8	ortholog_one2one	60.8955	73.3813	100	0.00	1
							
C1orf116	AA986860	ortholog_one2one	61.8658	62.3762	75	0.00	1
Metazoa_SRP							
							
CACHD1	Cachd1	ortholog_one2one	97.0173	95.9627	100	26.90	1
Metazoa_SRP							
							
KIAA0040	4930523C07Rik	ortholog_one2one	70.4082	69.697	100	100.00	1
RNU6-999P							
PCCB	Pccb	ortholog_one2one	85.4202	92.0518	75	0.00	1
B4GALT2	B4galt2	ortholog_one2one	90.7104	89.9729	100	0.00	1
U6							
VHL	Vhl	ortholog_one2one	71.831	84.5304	100	0.00	1
Y_RNA							
LRRC42	Lrrc42	ortholog_one2one	81.4978	87.886	100	0.00	1
							
LRRC31	Lrrc31	ortholog_one2one	60.3806	68.8363	100	71.81	1
							
PADI3	Padi3	ortholog_one2one	87.1988	87.1988	100	72.46	1
NMNAT2	Nmnat2	ortholog_one2one	85.1124	98.6971	100	95.86	1
							
TENT5C	Tent5c	ortholog_one2one	95.9079	95.9079	100	100.00	1
	Lypd9	ortholog_one2one	64.4068	52.4138	50	0.00	0
RNU6-1089P	Gm26439	ortholog_one2many	75.7009	76.4151		0.00	0
							
							
GPR149	Gpr149	ortholog_one2one	79.3434	79.235	100	0.00	1
							
INTS3	Ints3	ortholog_one2one	98.5618	98.7512	100	100.00	1
U6							
							
OR2T27							
							
							
INKA2	Inka2	ortholog_one2one	78.7879	78	100	0.00	1
							
Metazoa_SRP							
							
Metazoa_SRP							
	Or2t35	ortholog_one2many	80.8642	81.3665	0	0.00	0
LEFTY2	Lefty2	ortholog_one2many	81.4208	80.9783	75	0.00	1
LEFTY2	Lefty1	ortholog_one2many	80.6011	80.163	50	0.00	0
							
							
ATF6	Atf6	ortholog_one2one	68.3313	85.5183	100	0.00	1
							
Metazoa_SRP							
MME	Mme	ortholog_one2one	94.5333	94.5333	100	17.59	1
PADI1	Padi1	ortholog_one2one	77.6772	77.7946	100	32.88	1
							
MAN1A2	Man1a2	ortholog_one2one	93.3333	93.9158	100	17.83	1
PFKFB2	Pfkfb2	ortholog_one2one	91.3043	83.0935	100	0.00	1
IRAK2	Irak2	ortholog_one2one	71.2	71.5434	100	0.00	1
CMPK1	Cmpk1	ortholog_one2one	90.7895	91.1894	100	0.00	1
RNU7-62P							
IFT25	Ift25	ortholog_one2one	84.7222	85.3147	100	8.66	1
							
ZNF684							
CHD1L	Chd1l	ortholog_one2one	87.5425	85.8889	100	0.00	1
ARHGEF2	Arhgef2	ortholog_one2one	88.3608	77.0076	100	0.00	1
LRRC47	Lrrc47	ortholog_one2one	86.2416	85.2405	100	0.00	1
RAP1A	Rap1a	ortholog_one2one	100	100	100	0.00	1
STT3B	Stt3b	ortholog_one2one	98.4944	95.3827	100	45.65	1
Metazoa_SRP							
Metazoa_SRP							
							
DPH2	Dph2	ortholog_one2one	84.0491	84.0491	100	0.00	1
PYCR2	Pycr2	ortholog_one2many	92.1875	92.1875	75	0.00	1
							
Metazoa_SRP							
							
Y_RNA							
							
							
							
STRIT1	Strit1	ortholog_one2one	74.2857	76.4706	100	92.66	1
U6							
UBE2U	Ube2u	ortholog_one2one	45.0311	41.1932	100	41.29	0
UROC1	Uroc1	ortholog_one2one	83.8315	91.2722	100	0.00	1
SELP	Selp	ortholog_one2one	67.5904	73.0469	100	42.35	1
RN7SL372P							
							
RN7SL574P							
Metazoa_SRP							
PHLDB2	Phldb2	ortholog_one2one	80.6642	87.51	100	99.30	1
							
SMIM1	Smim1	ortholog_one2one	80.7692	80.7692	100	86.43	1
EXO5	Exo5	ortholog_one2one	84.7185	84.7185	100	0.00	1
FCRL6	Fcrl2	ortholog_one2one	27.4194	23.3792	0	0.00	0
SDE2	Sde2	ortholog_one2one	66.2971	66.7411	75	0.00	1
DPH3	Dph3	ortholog_one2one	96.3415	96.3415	75	0.00	1
TNR	Tnr	ortholog_one2one	93.5935	93.5935	100	74.68	1
PADI2	Padi2	ortholog_one2one	89.5197	91.3819	100	0.00	1
STIL	Stil	ortholog_one2one	73.6025	75.1189	100	31.20	1
Y_RNA							
RNU6-151P							
SAMD7	Samd7	ortholog_one2one	65.6319	66.5169	100	0.00	1
TATDN2	Tatdn2	ortholog_one2one	73.7533	71.7752	100	0.00	1
							
							
							
NPR1	Npr1	ortholog_one2one	93.9281	71.7124	100	9.85	1
ROR1	Ror1	ortholog_one2one	96.7983	96.7983	100	37.70	1
							
DIO1	Dio1	ortholog_one2one	79.8387	77.0428	100	95.89	1
CCDC27	Ccdc27	ortholog_one2one	48.9264	49.9218	100	100.00	0
							
HNRNPU	Hnrnpu	ortholog_one2one	93.5849	93	100	0.00	1
							
							
VTCN1	Vtcn1	ortholog_one2one	82.807	83.3922	100	0.00	1
							
GALNT15	Galnt15	ortholog_one2one	75.1515	77.743	100	0.00	1
TMIGD3	Tmigd3	ortholog_one2one	39.4813	65.5502	100	46.72	0
Metazoa_SRP							
USP33	Usp33	ortholog_one2one	92.6829	87.7888	100	0.00	1
OR9G1	Or9g20	ortholog_one2one	77.4834	75.7282	25	0.00	0
							
SELL	Sell	ortholog_one2one	69.0176	70.801	100	0.00	1
KHDC4	Khdc4	ortholog_one2one	95.4397	95.7516	100	0.00	1
YOD1	Yod1	ortholog_one2one	87.069	88.3382	100	0.00	1
							
ZFP69	Zfp69	ortholog_one2one	71.4029	67.632	100	0.00	1
	Sdhb	ortholog_one2many	91.0714	90.4255	100	3.62	1
Metazoa_SRP							
	Or5ar1	ortholog_one2many	89.527	85.4839	0	0.00	0
							
IPO13	Ipo13	ortholog_one2one	99.1693	99.1693	100	0.00	1
Metazoa_SRP							
Metazoa_SRP							
							
							
SMG7	Smg7	ortholog_one2one	93.0193	96.5096	100	0.00	1
	Gm26413	ortholog_many2many	79.845	81.1024		0.00	0
	Gm25820	ortholog_many2many	86.8217	87.5		0.00	0
Y_RNA							
Metazoa_SRP							
OR14I1							
SNORA80E							
							
							
	Cfl1	ortholog_one2many	80.1325	72.8916	0	0.00	0
OR2G6							
	Fcrlb	ortholog_one2one	72.9927	46.8384	100	0.00	0
SELE	Sele	ortholog_one2one	72.6974	72.2222	100	0.00	1
SEC62	Sec62	ortholog_one2one	93.4837	93.7186	100	0.00	1
ZXDC	Zxdc	ortholog_one2one	76.7523	76.5734	100	92.13	1
GHRL	Ghrl	ortholog_one2one	82.906	82.906	100	62.00	1
	Ifitm7	ortholog_many2many	50.3759	47.5177	0	0.00	0
	Ifitm1	ortholog_many2many	50.3759	63.2075	0	0.00	0
	Ifitm2	ortholog_many2many	58.6466	54.1667	0	0.00	0
	Ifitm6	ortholog_many2many	45.1128	48.3871	0	0.00	0
	Ifitm3	ortholog_many2many	62.406	60.5839	0	0.00	0
GADL1	Gadl1	ortholog_one2one	84.5865	89.6414	100	0.00	1
	Or5ar1	ortholog_one2many	90.411	85.1613	0	0.00	0
ACBD3	Acbd3	ortholog_one2one	88.0682	88.5714	100	0.30	1
	Ilf2	ortholog_one2many	100	99.4872	100	0.00	1
							
RNU6-792P	Gm56054	ortholog_one2many	65.4545	71.2871		0.00	0
							
							
RIT1	Rit1	ortholog_one2one	88.1356	94.9772	100	0.00	1
ARTN	Artn	ortholog_one2one	73.8916	66.9643	100	0.00	1
C1orf162	I830077J02Rik	ortholog_one2one	47.0968	55.303	100	0.00	0
	Zp3r	ortholog_one2one	51.1111	55.6131	50	0.00	0
OR2T10							
TRIM45	Trim45	ortholog_one2one	84.3212	76.0345	100	0.00	1
	Rsl24d1	ortholog_one2many	97.4138	69.3252	0	0.00	0
METTL18	Mettl18	ortholog_one2one	68.8172	70.7182	100	0.00	1
Y_RNA							
	Fcrla	ortholog_one2many	64.2586	47.8754	75	0.00	0
							
FMO5	Fmo5	ortholog_one2one	80.322	84.2402	75	0.00	1
Metazoa_SRP							
PLCH1	Plch1	ortholog_one2one	83.871	85.0178	100	95.49	1
ATP13A2	Atp13a2	ortholog_one2one	78.104	79.6407	100	27.28	1
SNAPIN	Snapin	ortholog_one2one	97.7941	97.7941	100	0.00	1
SMAP2	Smap2	ortholog_one2one	94.8357	94.3925	100	79.03	1
	Or2t35	ortholog_one2many	81.7901	82.2981	25	0.00	0
							
TP73	Trp73	ortholog_one2one	69.8592	84.0678	100	17.04	1
ATP5PB	Atp5pb	ortholog_one2many	79.6875	79.6875	100	0.00	1
							
NDC1	Ndc1	ortholog_one2one	87.092	87.2214	100	0.00	1
							
OR2T1	Or2t1	ortholog_one2one	73.7127	85.8044	0	0.00	0
TAL1	Tal1	ortholog_one2one	94.8485	95.1368	75	100.00	1
							
							
OR2T6	Or2t6	ortholog_one2one	80.5195	78.481	0	0.00	0
FIRRM	Firrm	ortholog_one2one	66.8347	73.4219	100	0.00	1
ZZZ3	Zzz3	ortholog_one2one	87.7076	87.033	100	0.00	1
PDZK1IP1	Pdzk1ip1	ortholog_one2one	52.551	56.9061	50	80.65	1
	Fcgr2b	ortholog_many2many	48.6301	41.7647	50	47.36	0
	Fcgr3	ortholog_many2many	33.9041	37.0787	0	0.00	0
SEC13	Sec13	ortholog_one2one	85.0543	97.205	100	100.00	1
							
	Or2m13	ortholog_one2many	76.6026	76.3578	50	0.00	0
	Or2m12	ortholog_one2many	80.7692	80	50	0.00	0
SYT11	Syt11	ortholog_one2one	94.8956	95.1163	100	0.00	1
DUSP23	Dusp23	ortholog_one2one	58.9958	94	100	0.00	1
							
TGFBR2	Tgfbr2	ortholog_one2one	88.6824	92.5926	100	77.93	1
							
CHTOP	Chtop	ortholog_one2one	89.5307	99.5984	100	73.36	1
Metazoa_SRP							
COL9A2	Col9a2	ortholog_one2one	91.4119	91.2791	100	100.00	1
Metazoa_SRP							
CYP4A45P	Cyp4a31	ortholog_many2many	69.3069	68.7623	25	0.00	0
CYP4A45P	Cyp4a10	ortholog_many2many	70.6931	70.1375	25	0.00	0
CYP4A45P	Cyp4a30b	ortholog_many2many	63.7624	63.3858	25	0.00	0
CYP4A45P	Cyp4a32	ortholog_many2many	69.3069	68.7623	25	0.00	0
OR2M4							
							
Metazoa_SRP							
U6							
WDR77	Wdr77	ortholog_one2one	90.6433	90.6433	100	0.00	1
COX20	Cox20	ortholog_one2one	73.8462	82.0513	100	0.00	1
	Gm54509	ortholog_one2many	78.6765	78.6765		0.00	0
CD101	Cd101	ortholog_one2one	69.4981	69.6999	100	0.00	1
	Or2t44	ortholog_one2many	71.875	69.697	0	0.00	0
Metazoa_SRP							
							
ST3GAL3	St3gal3	ortholog_one2one	73.7705	84.2246	100	80.56	1
PRKAB2	Prkab2	ortholog_one2one	65	67.1587	50	0.00	0
							
Metazoa_SRP							
LIN9	Lin9	ortholog_one2one	84.3393	95.3875	100	0.00	1
CRP	Crp	ortholog_one2one	70.0893	69.7778	100	0.00	1
							
CFAP100	Cfap100	ortholog_one2one	63.9803	63.4584	100	100.00	1
U3							
OR2L13	Or2l13	ortholog_many2many	83.6538	83.6538	50	0.00	0
OR2L13	Or2l13b	ortholog_many2many	83.6538	83.6538	0	0.00	0
							
							
							
GLIS1	Glis1	ortholog_one2one	69.8352	69.8352	100	69.93	1
ZMPSTE24	Zmpste24	ortholog_one2one	93.0526	93.0526	100	100.00	1
CYP4X1	Cyp4x1	ortholog_one2one	71.9057	72.1893	25	0.00	0
	Or2l5	ortholog_one2many	79.1667	79.1667	50	0.00	0
RN7SL370P							
STAG1	Stag1	ortholog_one2one	99.3641	99.3641	100	80.21	1
							
GPR160	Gpr160	ortholog_one2one	65.9763	66.369	100	0.00	1
APCS	Apcs	ortholog_one2one	65.9193	65.625	100	0.00	1
							
S100A1	S100a1	ortholog_one2one	59.8639	93.617	100	100.00	1
Y_RNA							
C4BPB							
WRAP73	Wrap73	ortholog_one2one	88.0435	87.6623	100	0.00	1
SCYL3	Scyl3	ortholog_one2one	78.841	79.5918	100	0.00	1
DUSP12	Dusp12	ortholog_one2many	82.9412	83.1858	50	0.00	0
EFCAB7	Efcab7	ortholog_one2one	44.8155	81.2102	100	0.00	0
Metazoa_SRP							
	Or2l5	ortholog_one2many	80.7692	80.7692	50	0.00	0
PTGFRN	Ptgfrn	ortholog_one2one	81.5011	87.7133	100	35.24	1
Metazoa_SRP							
RNU4-38P							
Metazoa_SRP							
Y_RNA							
							
							
							
MFAP2	Mfap2	ortholog_one2one	90.1639	90.1639	100	0.00	1
							
RNU7-95P							
							
U1	Gm23680	ortholog_many2many	57.5949	55.4878		0.00	0
U1	Gm54652	ortholog_many2many	51.8987	52.5641		0.00	0
S100A16	S100a16	ortholog_one2one	85.4369	70.9677	100	72.68	1
	Fcrla	ortholog_one2many	66.4756	65.7224	75	0.00	1
DESI2	Desi2	ortholog_one2one	97.2376	90.7216	100	0.00	1
							
CYP4A11	Cyp4a31	ortholog_many2many	71.7602	72.888	75	0.00	1
CYP4A11	Cyp4a10	ortholog_many2many	73.6944	74.8527	75	0.00	1
CYP4A11	Cyp4a30b	ortholog_many2many	66.3443	67.5197	75	0.00	1
CYP4A11	Cyp4a32	ortholog_many2many	72.3404	73.4774	75	0.00	1
							
OR2AK2	Or2ak5	ortholog_one2many	60.8	74.5098	0	0.00	0
OR2AK2	Or2ak7	ortholog_one2many	60.2667	73.8562	0	0.00	0
OR2AK2	Or2ak4	ortholog_one2many	60.2667	73.8562	0	0.00	0
OR2AK2	Or2ak6	ortholog_one2many	58.4	71.5686	0	0.00	0
							
							
OVGP1	Ovgp1	ortholog_one2one	63.8298	49.9307	100	0.00	0
							
							
DMRTB1	Dmrtb1	ortholog_one2one	39.8082	46.2396	100	100.00	0
							
COP1	Cop1	ortholog_one2one	95.4606	97.5443	100	76.41	1
							
OR2L13	Or2l13	ortholog_many2many	82.6923	82.6923	25	0.00	0
OR2L13	Or2l13b	ortholog_many2many	83.3333	83.3333	0	0.00	0
GON4L	Gon4l	ortholog_one2many	75.2232	74.5575	100	0.00	1
							
							
							
							
							
CD2	Cd2	ortholog_one2one	51.8519	52.907	100	10.57	1
S100A2	S100a2	ortholog_one2one	45.9184	43.2692	100	49.39	0
	Or2l5	ortholog_one2many	78.5256	78.5256	0	0.00	0
AK5	Ak5	ortholog_one2one	87.3264	89.5018	100	38.04	1
							
							
Y_RNA							
RN7SL333P							
							
							
	Crocc	ortholog_one2one	81.0811	37.332	75	0.00	0
CYP4B1	Cyp4b1	ortholog_one2one	85.1562	85.3229	50	0.00	0
							
							
	Or2av9	ortholog_one2one	47.2303	47.093	0	0.00	0
Metazoa_SRP							
							
Metazoa_SRP							
							
	Pfn1	ortholog_one2many	55.8333	47.8571	0	0.00	0
S100A3	S100a3	ortholog_one2one	88.1188	88.1188	100	0.00	1
FCER1A	Fcer1a	ortholog_one2many	45.7692	47.6	100	0.00	0
U6							
KLF15	Klf15	ortholog_one2one	85.3365	85.5422	100	100.00	1
Metazoa_SRP							
TMCO2	Tmco2	ortholog_one2one	78.022	75.9358	100	100.00	1
							
	Fcgr2b	ortholog_many2many	39.233	39.1176	100	68.99	0
	Fcgr3	ortholog_many2many	34.2183	43.4457	75	0.00	0
PHC3	Phc3	ortholog_one2one	89.0132	89.1947	100	0.00	1
CIMAP3	Cimap3	ortholog_one2one	48.7603	47.9675	100	0.00	0
PARP1	Parp1	ortholog_one2one	92.6036	92.6036	100	0.00	1
							
	Or2t44	ortholog_one2many	73.6156	68.4848	0	0.00	0
							
ATP2B2	Atp2b2	ortholog_one2one	98.3105	98.3105	100	75.68	1
S100A4	S100a4	ortholog_one2one	93.0693	93.0693	100	0.00	1
							
Metazoa_SRP							
							
Metazoa_SRP							
							
NCF2	Ncf2	ortholog_one2one	84.7909	84.9524	100	0.00	1
OR2W3	Or2w3	ortholog_one2many	85.6688	82.263	50	0.00	0
OR2W3	Or2w3b	ortholog_one2many	83.758	80.4281	0	0.00	0
							
KDM4A	Kdm4a	ortholog_one2one	93.8621	93.4211	100	0.16	1
IGSF3	Igsf3	ortholog_one2one	92.6749	92.7512	75	0.00	1
S100A5	S100a5	ortholog_one2one	92.3913	91.3979	100	0.00	1
RLF	Rlf	ortholog_one2one	83.0721	87.9425	100	91.37	1
							
TPRG1L	Tprg1l	ortholog_one2one	90.4059	92.1053	100	0.00	1
ANKRD28	Ankrd28	ortholog_one2one	95.088	97.4359	100	0.00	1
U1							
TRIM58	Trim58	ortholog_one2one	78.5567	78.5567	25	0.00	0
U1							
ACKR1	Ackr1	ortholog_one2one	59.7015	59.8802	100	100.00	1
SCARNA3							
							
RNU7-8P							
CD55	Cd55b	ortholog_one2many	29.021	41.5	50	0.00	0
CD55	Cd55	ortholog_one2many	30.0699	44.1026	50	0.00	0
U1							
U1							
Y_RNA							
	S100a6	ortholog_one2one	35.3909	96.6292	100	70.74	0
U1							
							
Metazoa_SRP							
U6	Gm26166	ortholog_many2many	85.9813	85.9813		0.00	0
U6	Gm56440	ortholog_many2many	68.2243	72.2772		0.00	0
							
							
RBMS3	Rbms3	ortholog_one2one	67.2598	91.0843	100	29.35	1
U3							
							
U1							
U7							
