Gene name	Tropical clawed frog gene name	Tropical clawed frog homology type	%id. target Tropical clawed frog gene identical to query gene	%id. query gene identical to target Tropical clawed frog gene	Tropical clawed frog Gene-order conservation score	Tropical clawed frog orthology confidence [0 low, 1 high]
NRAP	nrap	ortholog_one2one	58.3557	62.8109	0	0
or41a1						
GPR155	gpr155	ortholog_one2many	55.8968	51.7634	50	1
SNX27	snx27	ortholog_one2many	76.9771	83.908	0	0
alcamb	alcam	ortholog_one2many	34.5196	33.8569	50	1
hamp						
NT5C1B	nt5c1a	ortholog_one2many	67.43	71.8157	75	1
ARAF	araf	ortholog_one2one	69.5364	65.2174	0	0
si:ch211-163b2.2						
ISCA2	isca2	ortholog_one2one	38.5542	44.1379	25	0
si:dkey-33c9.6						
RPTOR	rptor	ortholog_one2one	87.4541	88.1005	0	0
si:dkeyp-120g4.1						
si:dkey-71h2.4						
INTS15	c7orf26	ortholog_one2one	56.2105	58.2969	0	0
CAMKV	camkv	ortholog_one2many	71.8826	76.3636	50	1
si:ch211-149e23.4						
						
si:ch211-122l14.8						
PLOD2	plod2	ortholog_one2one	72.679	72.0105	100	1
si:ch211-122l14.7						
tmem54b	tmem54	ortholog_one2many	26.1194	31.6742	25	0
rpgrb	RPGR	ortholog_one2many	23.4961	45.2933	0	0
crfb16	ifnar2.1	ortholog_many2many	16.3333	9.83936	0	0
crfb16	il10ra	ortholog_many2many	11	6.0219	0	0
crfb16	il22ra1	ortholog_many2many	13	5.11811	0	0
TOR1B	tor1b	ortholog_one2many	54.7619	53.9589	0	0
TOR1B	tor1a	ortholog_one2many	56.25	57.7982	0	0
FLRT2	flrt2	ortholog_one2many	60.7251	58.1766	0	0
RASGEF1B	rasgef1b	ortholog_one2many	66.3158	53.6627	0	0
si:ch211-276a17.5						
pxmp2	pxmp2	ortholog_one2one	57.732	58.0311	0	0
TMEM214	tmem214	ortholog_one2one	53.4226	49.9305	50	1
FA2H	fa2h	ortholog_one2one	54.3767	55.2561	0	0
NDUFB7	ndufb7	ortholog_one2one	55	56.8966	0	0
CTDP1	ctdp1	ortholog_one2one	54.3823	54.9626	50	1
ANKHD1	ankhd1	ortholog_one2one	66.5132	69.6386	0	0
si:ch211-123o7.6						
trim35-31						
traj55						
CYP27B1	cyp27b1	ortholog_one2one	63.6364	63.6364	25	0
si:ch73-281i18.6						
SLC7A10	slc7a10	ortholog_one2many	72.6027	70	50	1
MRPL51	mrpl51	ortholog_one2one	58.0645	56.6929	0	0
pimr190						
si:ch211-198e20.6						
si:dkey-149i17.8						
FRS2	frs2	ortholog_one2many	70.1031	66.7976	0	0
usp43b	usp43	ortholog_one2many	46.9992	48.9868	0	0
si:dkeyp-100h4.8						
asmt2						
						
ipp						
USP3	usp3	ortholog_one2one	73.0916	73.3717	75	1
HMGCS1	hmgcs1	ortholog_one2one	78.8054	78.6538	0	0
ugt5c3						
traj6						
si:ch211-271d10.2						
SGMS2	sgms2	ortholog_one2many	63.5328	61.0959	0	0
HAPLN4	hapln4	ortholog_one2one	64.5349	58.7302	50	1
OLIG3	olig3	ortholog_one2one	71.7647	69.5817	25	0
abhd15a	abhd15	ortholog_one2one	52.2388	55.5556	0	0
zgc:171695		ortholog_many2many	32.2034	23.4982	0	0
zgc:171695		ortholog_many2many	31.477	23.9411	0	0
zgc:171695		ortholog_many2many	31.9613	23.1579	0	0
TAFA1	tafa1	ortholog_one2one	73.7226	68.7075	25	0
ANKEF1	ankef1	ortholog_one2many	50.9628	49.9371	25	0
crfb4	il10rb	ortholog_one2one	25.5591	25.974	0	0
vmo1a		ortholog_many2many	41.8719	44.2708	0	0
vmo1a		ortholog_many2many	34.4828	36.0825	0	0
vmo1a		ortholog_many2many	33.0049	32.6829	0	0
vmo1a		ortholog_many2many	39.4089	42.5532	0	0
vmo1a		ortholog_many2many	42.3645	40.566	0	0
vmo1a		ortholog_many2many	41.3793	43.9791	0	0
LSM11	lsm11	ortholog_one2one	46.9512	49.2013	50	1
CDK5	cdk5	ortholog_one2one	76.3699	59.6257	50	1
si:dkey-107h14.8						
helz2c	helz2	ortholog_one2many	36.0285	20.2104	0	0
lonrf1	cdpf1	ortholog_one2one	15.9787	72.7273	0	0
prf1.2	prf1	ortholog_many2many	32.5784	34.0619	0	0
prf1.2		ortholog_many2many	33.7979	35.8595	0	0
prf1.2		ortholog_many2many	30.4878	31.9927	0	0
prf1.2		ortholog_many2many	27.0035	28.972	0	0
prf1.2		ortholog_many2many	30.1394	31.5118	0	0
prf1.2		ortholog_many2many	30.1394	32.58	0	0
prf1.2		ortholog_many2many	32.23	33.945	0	0
HOXB3	hoxb3	ortholog_one2one	65.4676	70.7254	0	0
SLC16A5	slc16a5	ortholog_one2many	43.4783	48.3517	25	0
GPR176	gpr176	ortholog_one2one	58.8991	55.2496	0	0
FHL2	fhl2	ortholog_one2many	86.7383	86.7383	50	1
GOLPH3L	golph3l	ortholog_one2one	62.2378	60.1351	0	0
IQCH	pnlip	ortholog_one2one	43.0595	41.9118	100	1
tdrd6b	tdrd6	ortholog_one2many	19.4598	14.1257	25	0
SHPK	dlx6	ortholog_one2one	55.8635	56.1028	0	0
si:dkey-238c7.16						
GFI1	gfi1	ortholog_one2one	64.899	67.1018	75	1
pdyn	pdyn	ortholog_one2one	34.3874	37.5	25	0
si:ch73-109d9.3						
B3GNT3	b3gnt3.1	ortholog_many2many	42.0918	35.5603	0	0
B3GNT3	b3gnt3.2	ortholog_many2many	47.9592	48.7047	0	0
AGTR1	agtr1	ortholog_one2many	44.5682	45.0704	75	1
si:ch73-106l15.3						
TFDP1	tfdp1	ortholog_one2many	70.9046	66.8203	0	0
si:dkey-125h23.1						
si:ch211-72a16.11						
si:dkeyp-100h4.1						
si:dkey-1b17.9						
SS18L2	ss18l2	ortholog_one2one	56.0976	56.7901	75	1
USE1	use1	ortholog_one2one	71.2644	71.8147	0	0
si:ch211-223g7.6						
FES	fes	ortholog_one2one	58.9588	59.2457	0	0
zgc:123103						
si:ch211-132g1.1						
IDH3B	idh3b	ortholog_one2one	77.2846	74.3719	0	0
IRF4	irf4	ortholog_one2one	57.8261	60.0451	50	1
si:ch211-69b22.4						
GPR183	gpr183.2	ortholog_one2many	46.4481	47.2222	0	0
cdh18a	cdh18	ortholog_one2many	50	6.8615	25	0
MTG2	mtg2	ortholog_one2one	59.0786	53.8272	0	0
PKIG	pkig	ortholog_one2one	40.2597	38.75	25	0
mief2	mief2	ortholog_one2one	36.3971	21.0638	0	0
BOK	bok	ortholog_one2many	68.3036	71.4953	100	1
si:ch211-129o18.4	c1orf127	ortholog_one2one	32.1759	25.1356	75	1
si:ch73-171a6.2						
SRCIN1	srcin1	ortholog_one2many	53.244	43.7935	0	0
si:rp71-17i16.6						
si:ch73-267i21.1						
tmeff1b						
tap2t						
si:dkeyp-51g9.4						
alkbh6	alkbh6	ortholog_one2one	54.7009	50.5929	0	0
si:ch211-247l22.4						
si:rp71-1l17.2						
TNNT2						
SETBP1	setbp1	ortholog_one2one	45.6885	42.1424	25	0
si:dkeyp-73g8.7						
GOLPH3	golph3	ortholog_one2many	82.3729	83.7931	25	0
DUSP23						
henmt1	henmt1	ortholog_one2one	37.3134	40.6504	0	0
zgc:109986						
PRKAG1	prkag1	ortholog_one2one	75.7576	73.3138	0	0
haus5	haus5	ortholog_one2one	28.2371	25.3147	0	0
PIP4P1	pip4p1	ortholog_one2many	73.3333	60.5505	0	0
tars3	tars3	ortholog_one2one	79.9076	42.5061	25	0
si:ch1073-44m10.1						
ecscr						
MED6	med6	ortholog_one2one	73.622	72.2008	50	1
si:ch211-247j9.1						
ak9						
GAB2	gab2	ortholog_one2one	66.2162	64.9485	50	1
si:dkeyp-30d6.4						
C7H19orf12	c19orf12	ortholog_one2many	52.4823	52.4823	75	1
NAV2	nav2	ortholog_one2one	64.6783	63.8083	75	1
si:dkey-207c17.1						
si:dkey-18a10.3						
ube2l3b	ube2l3	ortholog_one2many	74.2105	88.125	25	0
il12rb1						
si:ch73-160p18.5						
si:ch211-209l18.5						
ACVR1B	acvr1b	ortholog_one2many	77.9116	78.0684	0	0
si:ch211-209l18.2						
rbm44						
GPR101	gpr101	ortholog_one2one	49.1991	51.0689	50	1
CHCHD10	chchd10	ortholog_one2one	63.6364	54.8193	0	0
YIPF3	yipf3	ortholog_one2one	78.4884	79.646	50	1
klf17	klf17	ortholog_one2one	48.1663	47.6998	0	0
si:ch211-197g22.1						
sinup						
GFRA2	gfra2	ortholog_one2many	47.9365	33.2599	75	1
acp5b						
arap3	ssbp1	ortholog_one2one	53.0649	48.9197	25	0
chchd6a	chchd6	ortholog_one2many	45.6067	35.2751	50	1
si:dkey-78a14.6						
ARL8A	arl8a	ortholog_one2one	95.6989	95.6989	0	0
brf1a						
itgb7	itgb7	ortholog_one2one	44.4297	43.7337	0	0
DGKZ	dgkz	ortholog_one2many	57.2375	54.7511	50	1
RTRAF	rtraf	ortholog_one2one	74.3802	81.8182	50	1
ACMSD	acmsd	ortholog_one2one	78.5714	78.5714	75	1
cdkn2a/b						
adgre10		ortholog_one2many	23.6232	16.9792	0	0
atoh8	atoh8	ortholog_one2one	43.985	47.561	0	0
PDCD7	pdcd7	ortholog_one2one	40.1575	27.1277	50	1
QRFPR	qrfprl2.2	ortholog_one2many	65.9864	45.0116	0	0
mhc1zba		ortholog_many2many	18.593	12.272	0	0
mhc1zba		ortholog_many2many	7.28643	24.7863	0	0
mhc1zba		ortholog_many2many	16.8342	20	0	0
mhc1zba		ortholog_many2many	18.3417	17.8484	0	0
mhc1zba	mhc1-uba13.5	ortholog_many2many	16.5829	19.469	0	0
mhc1zba		ortholog_many2many	21.8593	19.2053	0	0
mhc1zba		ortholog_many2many	17.8392	20.7602	0	0
mhc1zba	XB5873923 [provisional]	ortholog_many2many	19.0955	23.3846	0	0
mhc1zba	hla-a	ortholog_many2many	24.6231	28	0	0
mhc1zba	ncib	ortholog_many2many	15.8291	18.6391	0	0
mhc1zba		ortholog_many2many	19.598	10.2094	0	0
mhc1zba		ortholog_many2many	19.598	23.0769	0	0
mhc1zba	mr1-like	ortholog_many2many	16.0804	17.8771	0	0
PCDH15	pcdh15	ortholog_one2many	53.2851	49.9478	25	0
hnrnpa3	hnrnpa3	ortholog_one2one	75.5162	70.3297	100	1
si:ch211-105d1.4						
ITGA8	itga8	ortholog_one2one	61.7564	60.4995	75	1
cdk5rap2	cdk5rap2	ortholog_one2one	11.828	16.3991	0	0
SLC15A4	slc15a4	ortholog_one2one	65.2249	66.1404	50	1
dok2						
CACNG7	cacng7	ortholog_one2many	65.6891	81.4545	25	0
si:dkey-27l15.1						
P2RY8	p2ry8	ortholog_one2one	44.582	37.1134	25	0
						
SLC24A5	slc24a5	ortholog_one2one	65.4971	61.5385	50	1
FST	fst	ortholog_one2many	72.5309	68.5131	25	0
SRBD1	XB5903316 [provisional:slc66a1]	ortholog_one2many	55.5825	46.1694	50	1
ms4a17a.4						
ABHD14B	abhd14b	ortholog_one2one	60.0939	60.6635	0	0
si:ch73-299h12.6						
slc22a15	slc22a15.2	ortholog_one2one	60.5634	57.9961	0	0
si:dkey-26g8.5	ctsv	ortholog_one2many	64.7761	64.7761	0	0
ADGRB1	adgrb1	ortholog_one2many	60.5157	46.4153	0	0
si:dkey-103k4.3						
TOR4A	tor4a	ortholog_one2many	43.4316	36.1607	25	0
CIAO2B	ciao2b	ortholog_one2one	82.3899	70.8108	0	0
SH3BGRL3	sh3bgrl3	ortholog_one2one	51.087	50	0	0
si:rp71-23d18.8						
si:ch211-212c13.6p						
prr36a	prr36	ortholog_one2one	11.0963	10.405	0	0
si:dkey-27b3.4						
ITGB3	itgb3	ortholog_one2many	65.9494	64.321	0	0
STEAP4	steap4.1	ortholog_one2many	57.839	59.607	50	1
STEAP4	steap4.2	ortholog_one2many	59.9576	58.8358	50	1
ccl34b.1						
PLG	plg	ortholog_one2one	58.802	60.125	0	0
RPL5	rpl5	ortholog_one2many	84.8485	80.7692	50	1
DEPTOR	deptor	ortholog_one2one	71.4988	72.9323	50	1
GNB5	gnb5	ortholog_one2many	89.8592	80.7595	0	0
nfatc3b						
si:ch211-59d8.3						
ADAMTS9	adamts9	ortholog_one2one	68.1725	51.7941	50	1
MATCAP2	kiaa0895	ortholog_one2one	57.5639	57.0039	0	0
si:ch211-170i2.2						
b3gntl1		ortholog_one2one	16.568	38.6207	0	0
PHYHD1	phyhd1	ortholog_one2one	64.2612	64.4828	75	1
AGTRAP	agtrap	ortholog_one2one	58.8235	61.3497	0	0
ZZZ3	zzz3	ortholog_one2one	44.7761	44.0181	100	1
PARP16	parp16	ortholog_one2one	56.0976	57.8616	0	0
nlgn4xa	nlgn4x	ortholog_one2many	80.9015	81.8727	50	1
zgc:113298						
si:dkey-83f18.12p						
si:dkey-79d12.6						
sparcl2						
zgc:113984						
zgc:153911						
PUDP	pudp	ortholog_one2one	69.469	65.4167	50	1
igsf9b						
MXD4	mxd4	ortholog_one2one	66.6667	62.7273	0	0
TYW1B	tyw1	ortholog_one2one	68.0371	66.4508	50	1
ambp	ambp	ortholog_one2one	46.5318	47.076	50	1
ARPP19	arpp19	ortholog_one2many	73.8739	68.3333	0	0
RPS28	rps28p9	ortholog_one2one	81.1594	71.7949	25	0
CHKA	chka	ortholog_one2one	53.3493	49.1189	0	0
rps27.1						
cdh28						
TACR3	tacr3	ortholog_one2many	64.899	59.6288	50	1
si:dkey-103j14.5		ortholog_one2one	60.5863	49.3369	50	1
si:zfos-128g4.2						
mrpl42	mrpl42	ortholog_one2one	46.5278	45.2703	0	0
ctslb	ctsv	ortholog_one2many	64.881	65.0746	0	0
si:ch211-125e6.6						
adgre15		ortholog_one2many	27.0059	14.375	0	0
si:dkey-74n13.1						
si:dkeyp-73g8.6						
EBAG9	ebag9	ortholog_one2one	74.5283	74.1784	25	0
f13a1b	f13a1	ortholog_one2many	48.3827	48.645	0	0
COLEC11	colec11	ortholog_one2one	67.5277	66.065	50	1
si:ch211-197n1.2		ortholog_one2one	5.91549	25	100	0
si:dkeyp-67e1.2						
si:dkey-163f12.6						
hsd11b1la	hsd11b1l	ortholog_one2many	55.4007	55.5944	25	0
GRM6	grm8l	ortholog_one2many	75.7976	77.7652	0	0
si:dkey-239h2.4						
thy1	thy1	ortholog_one2many	22.2222	19.3182	0	0
	ctsv	ortholog_one2many	62.2159	65.3731	0	0
arid5b	arid5b	ortholog_one2one	46.8571	41.5892	50	1
MYBL2	mybl2	ortholog_one2one	53.7125	43.257	0	0
CCSAP						
si:ch1073-322i20.3						
btr06						
AHCYL1	ahcyl1	ortholog_one2one	79.4224	79.566	0	0
MIF4GD	mif4gd	ortholog_one2many	43.0556	37.8049	25	0
cldna	cldn4	ortholog_one2many	67.9612	66.9856	0	0
drd4a	drd4	ortholog_one2many	64.7368	59.4203	0	0
ATP1A2	atp1a2	ortholog_one2one	85.7424	85.4902	0	0
ccr10		ortholog_one2one	28.6408	32.687	0	0
ARHGAP21	arhgap21	ortholog_one2many	52.5934	48.5582	50	1
APMAP						
si:ch211-14c17.4						
si:ch211-14g13.5p						
si:ch211-256a21.4						
si:dkey-242h9.5						
si:dkeyp-93h6.4						
pvrl2l	nectin2	ortholog_many2many	35.3659	25	0	0
HEPH	hephl1	ortholog_one2one	56.1983	53.2174	0	0
IFFO1	iffo1	ortholog_many2many	22.6562	51.2367	0	0
IFFO1		ortholog_many2many	25.3125	61.3636	0	0
si:dkey-65b12.6						
GRB7	grb7	ortholog_one2one	46.516	40.1626	0	0
stx10						
EXT1	ext1	ortholog_one2many	82.7397	81.8428	0	0
sema3aa						
mbd2	mbd2	ortholog_one2one	64.3979	46.4151	0	0
NUBP1		ortholog_one2many	28.3489	46.1929	0	0
NUBP1	nubp1	ortholog_one2many	80.9969	74.2857	50	1
DOC2B	doc2b	ortholog_one2one	47.5309	78.1726	0	0
TMC8	tmc8	ortholog_one2one	25.1462	26.6254	0	0
si:ch211-277g23.5						
opn7c	opn7b	ortholog_one2many	51.7327	45.6332	0	0
RPRM	rprm	ortholog_one2many	72.8155	72.8155	100	1
ANKK1	ankk1	ortholog_one2one	43.9291	42.0366	25	0
TRMT1L	trmt1l	ortholog_one2one	55.0432	55.3623	0	0
H3C15						
si:dkey-23a13.20						
lyplal1	lyplal1	ortholog_one2one	55.3191	49.8084	25	0
rbm48	rbm48	ortholog_one2one	38.7363	40.8696	0	0
IGBP1C	igbp1	ortholog_one2one	57.4648	60	25	0
						
GSK3A	gsk3a	ortholog_one2many	77.9545	83.2524	50	1
si:ch211-267e7.22						
si:ch1073-159d7.4	h3c14	ortholog_one2one	100	100	0	0
GPR158	gpr158	ortholog_one2many	45.8787	45.701	50	1
pdcd4a		ortholog_one2one	66.3812	65.9574	0	0
si:ch211-201m7.7						
DAZAP1	dazap1	ortholog_one2many	69.5312	64.9635	75	1
TRPC4	trpc4	ortholog_one2many	69.8073	67.2859	75	1
zc3h11a	zc3h11a	ortholog_one2one	31.738	29.7872	0	0
brsk1a						
si:dkey-161f11.2						
olfce1						
NF1	nf1	ortholog_one2many	87.2418	85.8723	25	0
DCAF12	dcaf12	ortholog_one2one	66.39	70.4846	0	0
si:ch73-94k4.4						
map4k6						
znf1021						
ATP8B4	atp8b4	ortholog_one2one	74.1423	74.5791	0	0
rnf169	rnf169	ortholog_one2one	28.5714	30.303	25	0
						
AIMP1	aimp1	ortholog_one2many	71.746	72.2045	50	1
creb3l3l	creb3	ortholog_one2one	34.3936	38.964	0	0
si:dkeyp-97a10.3	vstm5	ortholog_one2one	2.39085	9.46502	0	0
si:dkey-25c4.1						
CD82	cd82	ortholog_one2many	55.0781	52.6119	25	0
fbxo15	fbxo15	ortholog_one2many	29.7521	27.9612	25	0
PSMB7	psmb7	ortholog_one2one	83.3935	83.3935	100	1
si:dkey-117j14.7						
COL8A1	col8a1	ortholog_one2one	60.8458	60.8458	0	0
DNMT3A	dnmt3a	ortholog_one2many	66.9734	68.8025	75	1
si:dkey-108k21.23						
zgc:194989						
sla2b	sla2	ortholog_one2many	47.3485	46.4684	25	0
asic1c		ortholog_many2many	58.4121	63.9752	0	0
asic1c		ortholog_many2many	49.3384	49.3384	0	0
si:zfos-1537b9.2						
MATN3	matn3	ortholog_one2many	55.7864	38.843	50	1
LRRC4B	lrrc4b	ortholog_one2many	64.7462	73.6349	0	0
ATG3	atg3	ortholog_one2one	82.3344	83.6538	0	0
SH3GLB1	sh3glb1	ortholog_one2many	74.7222	67.4185	0	0
si:dkeyp-85h7.1		ortholog_one2many	18.9831	32.3699	0	0
pcdha8l						
si:ch211-113d22.2		ortholog_one2one	46.4	44.6154	25	0
pagr1	pagr1	ortholog_one2one	39.1941	37.6761	25	0
EIF4H	eif4h	ortholog_one2one	72.2656	73.4127	0	0
SKI	ski	ortholog_one2one	68.9133	69.8745	25	0
zfand5a						
zgc:112496	linc02867	ortholog_one2one	53.3613	55.9471	50	1
mdh1b	mdh1b	ortholog_one2one	44.2731	35.0174	25	0
btbd8						
ZNF507	znf507	ortholog_one2one	39.5146	44.6762	100	1
JOSD1	josd1	ortholog_one2one	54.0426	60.4762	0	0
zgc:162025	c1h12orf43	ortholog_one2one	30.9322	30.0412	0	0
CD81	cd81	ortholog_one2many	65.678	65.4008	0	0
RNF141	rnf141	ortholog_one2one	77.027	70.6612	75	1
si:ch211-260g14.9						
mydgf	mydgf	ortholog_one2one	53.0488	54.375	0	0
PKP3	pkp3	ortholog_one2many	44.6271	43.1013	0	0
TNFAIP8L1						
MARCHF5	marchf5	ortholog_one2one	93.9502	93.2862	50	1
si:ch211-137o16.8						
pcdh20l						
ihhb	dhh	ortholog_many2many	52.1845	54.2929	0	0
BMI1	bmi1	ortholog_one2many	73.3129	68.0912	50	1
CCDC90B	ccdc90b	ortholog_one2one	46.2451	41.9355	50	1
RPL5	rpl5	ortholog_one2many	87.5	83.0128	75	1
si:dkeyp-98a7.2p						
G3BP2	g3bp2	ortholog_one2many	72.1893	75.6198	0	0
timm23a	timm23	ortholog_one2many	74.5192	74.1627	25	0
NYX	nyx	ortholog_one2one	61.4072	61.5385	75	1
zgc:153631	tnfrsf4	ortholog_one2many	15.6522	18.8153	0	0
RPAP1	rpap1	ortholog_one2one	46.0882	44.2321	25	0
si:dkeyp-98f5.2						
NUTF2	nutf2	ortholog_one2one	85.0394	85.0394	0	0
IFT46	ift46	ortholog_one2one	65.3521	54.9763	0	0
NAA60	naa60	ortholog_one2one	78.5124	78.5124	50	1
si:dkey-51d8.2						
prune2						
tap2a		ortholog_one2many	45.2414	42.1053	0	0
tap2a	tap2	ortholog_one2many	43.7241	43.4842	0	0
si:ch211-162k9.6	nxpe3l.2	ortholog_many2many	30.1587	16.6375	0	0
si:ch211-162k9.6		ortholog_many2many	25.7143	15.2542	0	0
si:ch211-162k9.6	nxpe3l.6	ortholog_many2many	24.4444	14.7793	0	0
si:ch211-162k9.6		ortholog_many2many	31.746	16.6389	0	0
si:ch211-162k9.6		ortholog_many2many	26.9841	16.0075	0	0
si:ch211-162k9.6		ortholog_many2many	27.9365	16.4486	0	0
si:ch211-162k9.6		ortholog_many2many	24.127	12.9693	0	0
si:ch211-162k9.6		ortholog_many2many	25.7143	15.2542	0	0
CEBPZ	cebpz	ortholog_one2many	56.171	57.4553	0	0
si:ch211-153i8.1						
traj25						
traj59						
si:dkey-221l4.12						
YARS2	yars2	ortholog_one2one	57.384	58.6207	0	0
traj49						
traj29						
NDUFAF7	ndufaf7	ortholog_one2one	56.6351	53.1111	0	0
BTK	btk	ortholog_one2one	61.4062	60.5547	25	0
itpkca	itpkc	ortholog_one2many	57.554	44.0367	0	0
DDX59	ddx59	ortholog_one2one	59.9315	44.586	50	1
ponzr6	XB5717875 [provisional:plac8]	ortholog_one2many	45.6954	38.3333	0	0
ponzr6		ortholog_one2many	38.4106	15.5496	0	0
TMC2		ortholog_many2many	55.8296	66.8456	0	0
TMC2		ortholog_many2many	57.7354	68.1217	100	1
CHRNA5	chrna5	ortholog_one2one	73.8197	72.2689	0	0
TIMM17B	timm17b	ortholog_one2one	78.4431	84.5161	0	0
YEATS4	yeats4	ortholog_one2one	89.823	88.2609	25	0
tsc22d3						
FMOD	fmod	ortholog_one2many	52.924	50.7003	25	0
GYPC	gypc	ortholog_one2one	56.1798	39.6825	25	0
ZCRB1	zcrb1	ortholog_one2one	72.9358	68.5345	75	1
PCDH11X	pcdh11x	ortholog_one2one	77.0283	68.8672	0	0
znf1182						
si:dkey-279j5.1						
UTP4						
si:ch211-198e20.10						
OST4		ortholog_one2one	94.5946	94.5946	0	0
MFRP	mfrp	ortholog_one2one	38.6364	37.1429	0	0
ARSG	arsg	ortholog_one2many	54.3726	54.0643	50	1
si:ch211-163g19.2						
TBCC						
si:ch211-51n3.1						
dalrd3	dalrd3	ortholog_one2one	43.3692	43.9201	25	0
ADIPOR1	adipor1	ortholog_one2many	80.5333	79.6834	25	0
si:ch73-281i18.7						
ARHGEF38	arhgef38	ortholog_one2one	53.4371	52.7529	75	1
NCOA5	ncoa5	ortholog_one2one	48.4342	36.478	0	0
hunk	hunk	ortholog_one2one	47.4548	39.5349	0	0
hspa12a.2						
trim35-20						
						
arhgdig	arhgdig	ortholog_one2one	64.7059	56.8966	25	0
TNNI1	tnni1	ortholog_one2many	72.9282	70.2128	0	0
CNOT6L	cnot6l	ortholog_one2one	81.2165	81.5081	50	1
si:ch73-4e5.1						
DDR2	ddr2	ortholog_one2many	65.2071	63.1157	0	0
abhd5a						
spint1b						
cd4-2.2						
sftpbb	sftpb	ortholog_many2many	17.0347	13.3005	50	0
tbl1xr1a						
KCNK6	kcnk6	ortholog_one2one	53.0864	55.8442	0	0
si:ch1073-404f17.2						
PSD2						
PROC	proc	ortholog_one2many	45.6221	43.4211	0	0
SMARCD1	smarcd1	ortholog_one2one	85.6863	68.1747	25	0
si:dkeyp-72g9.4						
