Gene name	Mouse gene name	Mouse homology type	%id. target Mouse gene identical to query gene	%id. query gene identical to target Mouse gene	Mouse Gene-order conservation score	Mouse Whole-genome alignment coverage	Mouse orthology confidence [0 low, 1 high]
	Ighv5-12-4	ortholog_many2many	71.4286	59.8291	25	0.00	0
	Ighv5-17	ortholog_many2many	76.5306	64.1026	25	0.00	0
	Ighv5-16	ortholog_many2many	70.4082	58.9744	25	0.00	0
	Ighv5-9	ortholog_many2many	76.5306	64.1026	25	100.00	1
	Ighv5-15	ortholog_many2many	73.4694	61.5385	25	0.00	0
	Ighv11-2	ortholog_many2many	60.2041	50.4273	0	0.00	0
	Ighv6-4	ortholog_many2many	63.2653	52.1008	25	0.00	0
	Ighv16-1	ortholog_many2many	68.3673	57.265	0	0.00	0
	Ighv10-3	ortholog_many2many	74.4898	61.3445	0	0.00	0
	Ighv5-9-1	ortholog_many2many	69.3878	53.9683	25	0.00	0
	Ighv4-1	ortholog_many2many	64.2857	54.3103	25	0.00	0
							
							
							
							
							
							
							
							
							
							
	Slc6a8	ortholog_one2many	94.4882	94.4882	0	100.00	1
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
U6							
	Or4m1	ortholog_one2many	88.4984	88.4984	25	100.00	1
	Or4n4	ortholog_many2many	83.2279	85.3896	25	0.00	0
	Or4n4b	ortholog_many2many	79.4304	81.4935	25	100.00	1
							
							
U6							
							
							
							
							
							
							
							
							
RPL23AP45							
							
C8orf33							
LINC02688							
MUC5AC							
MUC2							
ZSWIM4							
							
RN7SL619P							
MIR23AHG							
MIR24-2							
MIR27A							
MIR23A							
NANOS3							
MIR181C							
MIR181D							
BRME1							
CC2D1A							
PODNL1							
DCAF15							
RFX1							
							
RLN3							
							
IL27RA							
PALM3							
EEF1DP1							
MISP3							
MIR1199							
C19orf67							
PRKACA							
							
ASF1B							
ADGRL1-AS1							
ADGRL1							
RN7SL231P							
							
							
SAMD1							
CNTNAP3C							
RN7SL462P							
							
RNU1-62P							
MTCO3P47							
RNA5SP136							
RYBP							
SYT15B							
							
NPY4R2							
							
FAM25C							
AGAP12P							
AGAP12P							
RNA5SP315							
BMS1P7							
							
							
HMX1							
							
PPP2R3B							
RPL14P5							
							
IL3RA							
P2RY8							
SLC25A6							
DHRSX-IT1							
DHRSX							
ASMTL							
LINC00685							
PLCXD1							
ZBED1							
MIR6089							
LINC00102							
CD99							
Metazoa_SRP							
FABP5P13							
KRT18P53							
SHOX							
MIR3690							
RNA5SP498							
CD99P1							
CRLF2							
AKAP17A							
ASMT							
							
CSF2RA							
							
							
							
							
							
ASMTL-AS1							
							
							
							
LINC00106							
							
							
							
							
							
							
							
LINC02968							
							
							
							
LINC03015							
CD99P1							
LINC03014							
							
							
							
FAM20C							
							
							
LINC03112							
							
GTPBP6							
AMD1P2							
DPH3P2							
VAMP7							
ELOCP24							
TRPC6P1							
							
DDX11L16							
WASH6P							
							
							
WASIR1							
IL9R							
							
TSPY24P							
ZNF92P1Y							
SERBP1P2							
TSPY12P							
DUX4L19							
							
OFD1P3Y							
RBMY2HP							
							
ELOCP35							
SLC9B1P1							
USP12PY							
KDM5DP1							
DUX4L17							
							
							
ZNF736P6Y							
TUSC2P1							
PUDPP1							
							
CDRT15P10							
USP9Y	Usp9y	ortholog_one2one	82.7789	82.7465	25	98.85	1
Y_RNA							
RNU6-409P							
ACR							
							
SNRPA1P2							
SHANK3							
							
RNF19BPY							
TUBB1P2							
							
ACTR3BP1							
RPS24P1							
RCC2P2							
ZNF736P8Y							
EIF1AY	Eif1ad12	ortholog_one2many	93.0556	93.0556	0	0.00	0
EIF1AY	Eif1ad8	ortholog_one2many	93.0556	93.0556	0	0.00	0
EIF1AY	Eif1ad4	ortholog_one2many	92.3611	92.3611	0	0.00	0
EIF1AY	Eif1ad2	ortholog_one2many	89.5833	89.5833	0	0.00	0
EIF1AY	Eif1ad14	ortholog_one2many	92.3611	92.3611	0	0.00	0
EIF1AY	Eif1ad13	ortholog_one2many	90.9722	90.9722	0	0.00	0
EIF1AY	Eif1ad7	ortholog_one2many	91.6667	91.6667	0	0.00	0
EIF1AY	Eif1ad19	ortholog_one2many	92.3611	92.3611	0	0.00	0
EIF1AY	Eif1ad16	ortholog_one2many	90.2778	90.2778	0	0.00	0
EIF1AY	Eif1ad6	ortholog_one2many	89.5833	89.5833	0	0.00	0
EIF1AY	Eif1a	ortholog_one2many	97.9167	55.5118	0	0.00	0
EIF1AY	Eif1ad17	ortholog_one2many	90.2778	90.2778	0	0.00	0
EIF1AY	Eif1ad3	ortholog_one2many	91.6667	91.6667	0	0.00	0
EIF1AY	Eif1ad10	ortholog_one2many	93.0556	93.0556	0	0.00	0
EIF1AY	Eif1ad15	ortholog_one2many	93.75	93.75	0	0.00	0
EIF1AY	Eif1ad11	ortholog_one2many	93.0556	93.0556	0	0.00	0
EIF1AY	Eif1ad18	ortholog_one2many	92.3611	92.3611	0	0.00	0
BPY2							
MTND1P12							
CTBP2P1							
MTND6P1							
PABPC1P5							
RCC2P1							
SHROOM2P1							
							
DUX4L18							
ZNF736P11Y							
BPY2DP							
CHEK2P1							
ZNF886P							
OFD1P16Y							
							
ASS1P6							
SNX18P1Y							
MED14P1							
ZNF885P							
ARSFP1							
							
ZNF736P7Y							
SURF6P1							
							
ANKRD20A6P							
							
RBMY2KP							
TTTY19							
TTTY4							
							
MXRA5Y							
DUX4L16							
MTCYBP1							
							
TTTY17A							
AGPAT5P1							
							
FAM41AY1							
							
TRIM60P3Y							
MTND1P1							
							
PRRC2CP1							
ZNF736P10Y							
							
							
MTND2P3							
							
							
							
ARSDP1							
CDY4P							
UBE2V1P3							
FAM8A4P							
							
TRIM60P8Y							
MED13P1							
CYCSP46							
RNU6-303P							
	Gm24615	ortholog_one2many	65.9091	76.9911		0.00	0
RN7SL702P							
RNA5SP520							
RNA5SP521							
							
RNU6-109P							
RNU6-184P							
HSFY2	Hsfy2	ortholog_one2many	44.389	45.4082	0	100.00	0
GPM6BP2							
USP9YP2							
ELOCP14							
XKRYP2							
USP9YP10							
RNU1-41P							
OFD1P7Y							
MTCYBP2							
ZNF839P1							
CD24P4							
RNU6-255P							
GCGR							
							
GAPDHP19							
CLUHP1							
TAF9P1							
CDY5P							
ELOCP36							
ACTG1P2							
USP9YP23							
USP9YP27							
RNU1-128P							
TRAPPC2P3							
ELOCP6							
CDY6P							
USP9YP7							
USP9YP6							
CDY7P							
USP9YP34							
USP9YP32							
CDY8P							
ELOCP12							
TRAPPC2P8							
USP9YP15							
RNU1-95P							
USP9YP16							
ACTG1P11							
ELOCP26							
CDY9P							
TAF9P2							
CLUHP2							
							
RNA5SP522							
RNA5SP523							
TUBB1P1							
ELOCP13							
OFD1P4Y							
RNU1-48P							
USP9YP5							
XKRYP1							
ELOCP7							
USP9YP1							
GPM6BP1							
RAB9AP4							
TRAPPC2P7							
							
							
KDM5D	Kdm5d	ortholog_one2one	80.7667	80.2972	0	100.00	1
MCRIP1							
PPP1R27							
HSFY1	Hsfy2	ortholog_one2many	44.389	45.4082	0	99.92	0
TGIF2LY	Tgif2lx1	ortholog_many2many	28.6486	22.9437	0	0.00	0
TGIF2LY	Tgif2lx2	ortholog_many2many	28.6486	22.9437	25	90.97	0
CDY2A							
ZNF736P3Y							
TRIM60P9Y							
RN7SKP282	Gm56434	ortholog_one2one	66.2207	63.2588		0.00	0
Y_RNA							
RNU6-941P							
RNU6-521P	Gm25039	ortholog_one2many	79.0476	77.5701		0.00	0
SRIP3							
							
GOT2P5							
ATP5PFP1							
							
TRIM60P10Y							
ZNF736P2Y							
TRIM60P11Y							
							
ZNF736P1Y							
							
ZNF736P5Y							
BPY2C							
TTTY4C							
DAZ4							
CDY2B							
RNU6-1334P							
SRY	Sry	ortholog_one2one	34.3137	17.7215	0	46.62	0
LINC01784							
PRAMEF11							
TOMM22P2							
							
RPS4Y1							
PRAMEF30P							
HNRNPCL1							
PRAMEF2							
NAP1L1P2							
							
ZFY	Zfx	ortholog_one2one	91.2609	91.4894	0	100.00	1
PRAMEF4							
PRAMEF10							
PRAMEF7							
EEF1A1P41							
PSMA6P1							
SFPQP1							
DPPA2P1							
RNU6-1072P							
PRAMEF29P							
DDX3Y	Ddx3y	ortholog_one2one	89.0909	89.3617	25	100.00	1
PRAMEF6							
PRAMEF28P							
PRAMEF27							
HNRNPCL3							
PRAMEF25							
PRAMEF34P							
PRAMEF35P							
HNRNPCL2							
PRAMEF36P							
							
							
PRAMEF26							
HNRNPCL4							
PRAMEF9							
CASKP1							
UTY	Uty	ortholog_one2one	67.6593	80.6106	0	4.41	0
PRAMEF13							
PRAMEF18							
PRAMEF31P							
PRAMEF5							
PRAMEF32P							
RNU6-771P							
PRAMEF8							
PRAMEF33							
PRAMEF22							
TMSB4Y	Tmsb4x	ortholog_one2one	93.1818	93.1818	0	100.00	1
VCY							
DAZ3							
ARHGEF19							
							
ANO7L1							
							
CPLANE2							
MT1XP1							
FBXO42							
DAZ1							
SZRD1							
RPL22P3							
SPATA21							
NECAP2							
SNORA70							
							
							
LINC01772							
AMELY							
CROCCP3							
RNU1-1							
							
							
LINC01783							
RNU1-6P							
PDE4DIPP8							
TBL1Y	Tbl1x	ortholog_one2many	93.6782	92.7894	0	100.00	1
							
RNU1-2							
							
							
LINC03126							
RNU1-5P							
							
							
EIF1AXP1							
RNU1-3							
RNU1-4							
PADI2							
							
CROCCP4							
							
							
							
							
							
							
							
							
							
							
							
DAZ2							
							
							
NBPF1							
AGKP1							
NLGN4Y-AS1							
NLGN4Y	Nlgn4l	ortholog_one2many	45.8134	63.2013	0	3.61	0
CDY22P							
ELOCP17							
OFD1P18Y							
TRAPPC2P4							
RAB9AP3							
USP9YP20							
RNU1-40P							
USP9YP21							
XKRYP6							
ELOCP11							
CDY23P							
USP9YP26							
HSFY8P							
							
							
SNORA70							
RNU6-1314P	Gm26424	ortholog_one2many	76.9231	76.9231		0.00	0
CYCSP48							
VCY1B							
PNPLA4P1							
							
TBL1YP1							
RPS4Y2							
HSFY4P							
							
GAPDHP17							
TMEM167AP1							
							
TOMM22P1							
NEFLP1							
							
PRORY							
							
TSPY14P							
RBMY1HP							
							
							
TTTY13							
ELOCP5							
CDY10P							
USP9YP3							
USP9YP8							
CDY11P							
HSFY6P							
USP9YP18							
CDY14P							
ELOCP16							
XKRYP3							
USP9YP25							
USP9YP29							
RNU1-97P							
RAB9AP1							
TRAPPC2P9							
OFD1P11Y							
RNU2-57P							
VDAC1P6							
EIF4A1P2							
KRT18P10							
SNX3P1Y							
RPL26P37							
PCDH11Y	Pcdh11x	ortholog_one2many	64.984	79.0448	25	100.00	1
ELOCP9							
CDY15P							
XKRYP4							
USP9YP13							
USP9YP11							
TTTY3B							
USP9YP12							
RNU1-86P							
RAB9AP5							
TRAPPC2P10							
OFD1P12Y							
ELOCP10							
CDY1B							
CDY17P							
USP9YP35							
USP9YP31							
CDY18P							
							
RN7SL818P							
UBE2Q2P4Y							
LINC00265-2P							
CICP2							
							
RBMY2XP							
TTTY17B							
TRIM60P5Y							
ZNF736P12Y							
TTTY4B							
BPY2B							
							
ZNF736P4Y							
							
RBMY2YP							
							
CICP1							
LINC00265-3P							
UBE2Q2P5Y							
GOLGA2P3Y							
RN7SL725P							
							
CDY19P							
USP9YP36							
USP9YP33							
CDY20P							
ELOCP34							
OFD1P13Y							
TRAPPC2P5							
RAB9AP2							
USP9YP30							
RNU1-107P							
TTTY3							
USP9YP9							
USP9YP19							
XKRYP5							
CYCSP49							
SLC25A15P1							
PARP4P1							
CCNQP2							
CDY1							
RBMY1B	Rbmyf6	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1B	Rbmyf4	ortholog_many2many	17.1371	51.2048	0	0.00	0
RBMY1B	Rbmyf9	ortholog_many2many	33.0645	43.1579	0	0.00	0
RBMY1B	Rbmyf8	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1B	Rbmyf2	ortholog_many2many	32.6613	42.6316	0	0.00	0
RBMY1B	Rbmyf3	ortholog_many2many	32.6613	42.6316	0	0.00	0
RBMY1B	Rbmy	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1B	Rbmyf7	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1B	Rbmyf5	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1B	Rbmyf1	ortholog_many2many	32.4597	42.3684	0	83.34	0
RBMY1A1	Rbmyf6	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1A1	Rbmyf4	ortholog_many2many	17.1371	51.2048	0	0.00	0
RBMY1A1	Rbmyf9	ortholog_many2many	32.8629	42.8947	0	0.00	0
RBMY1A1	Rbmyf8	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1A1	Rbmyf2	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1A1	Rbmyf3	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1A1	Rbmy	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1A1	Rbmyf7	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1A1	Rbmyf5	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1A1	Rbmyf1	ortholog_many2many	32.2581	42.1053	0	83.34	0
RFTN1P1							
							
							
BCL2L14							
TTTY11							
ARSLP1							
OFD1P6Y							
XKRY							
XKRYP7							
							
							
HSFY3P							
							
TAB3P1							
							
ANOS2P							
RBMY2EP							
GOLGA2P2Y							
GOLGA2P2Y							
							
TXLNGY							
GYG2P1							
CDY3P							
USP9YP22							
USP9YP4							
PTMAP9							
MIR1244-4							
ELOCP4							
							
LRP6							
TTTY20							
TSPY4							
FAM197Y7							
							
FAM197Y6							
							
TSPY8							
TSPY3							
RBMY2CP							
RBMY2DP							
ZNF736P9Y							
FAM197Y8							
PRKY							
XKRYP7							
RPL21P100							
BCORP1							
RNU6-545P							
							
RNU6-318P							
MANSC1							
FAM197Y8							
FAM197Y5							
FAM197Y5							
TSPY1							
RPL23AP66							
FAM197Y4							
FAM197Y4							
LOH12CR2							
TSPY9							
BORCS5							
FAM197Y3							
FAM197Y3							
							
FAM197Y2							
TSPY10							
							
DUSP16							
FAM197Y1							
TSPY25P							
TSPY16P							
							
TTTY22							
							
							
TSPY18P							
RBMY2OP							
RBMY2QP							
TSPY20P							
							
TSPY5P							
							
							
RNA5SP518							
RNA5SP519							
							
DUX4L31							
PCMTD1P1							
CDC27P2							
							
RNA5-8SP6							
DLGAP5P1							
TTTY23B							
TSPY2							
FAM197Y9							
FAM197Y9							
							
TSPY19P							
							
LINC00280							
							
TSPY17P							
							
							
							
							
							
							
TTTY23							
FAM224B							
							
TTTY2B							
TTTY1B							
TTTY7							
TTTY8B							
							
							
							
							
							
MIR4740							
MIR3186							
							
LINC01971							
							
							
ACTG1							
							
							
							
							
TTTY10							
BAHCC1							
TTTY16							
							
							
							
LINC03048							
TTTY12							
							
TTTY2							
TTTY7B							
ZFY-AS1							
							
							
							
							
							
							
							
TTTY17C							
SEPTIN14P23							
							
							
TXLNGY							
							
							
							
							
FAM41AY2							
							
LINC00278							
							
TTTY1							
							
TTTY11							
							
							
							
							
							
							
							
							
							
							
							
BCORP1							
							
LINC00279							
							
RNU5B-4P							
ECSCR							
TTTY18							
							
SMIM33							
STING1							
							
TTTY8							
							
PRKY							
STSP1							
							
RBMY2JP							
							
XGY1							
							
RBMY2WP							
							
USP9YP28							
TTTY14							
							
NCOA4P4							
							
OFD1P1Y							
USP9YP14							
RNASEH2CP1							
XGY2							
PPP1R12BP2							
REREP1Y							
							
							
GPR143YP							
							
OFD1P15Y							
REREP2Y							
PPP1R12BP1							
							
ANKRD36P1							
							
							
OFD1P2Y							
OFD1P5Y							
RBMY2TP							
							
OFD1P10Y							
							
							
GOLGA6L11P							
							
DNM1P24							
CSPG4P2Y							
CSPG4P3Y							
							
							
SEPTIN14P22							
							
							
							
CSPG4P4Y							
CSPG4P1Y							
DNM1P48							
GOLGA6L16P							
							
							
							
TPTE2P4							
RBMY1A3P							
							
TSPY7P							
							
TSPY6P							
							
TSPY15P							
							
RBMY3AP							
							
RBMY2NP							
							
TSPY13P							
							
TSPY11P							
							
RBMY2GP							
							
							
RBMY1D	Rbmyf6	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1D	Rbmyf4	ortholog_many2many	17.1371	51.2048	0	0.00	0
RBMY1D	Rbmyf9	ortholog_many2many	32.8629	42.8947	0	0.00	0
RBMY1D	Rbmyf8	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1D	Rbmyf2	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1D	Rbmyf3	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1D	Rbmy	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1D	Rbmyf7	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1D	Rbmyf5	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1D	Rbmyf1	ortholog_many2many	32.2581	42.1053	0	83.35	0
							
RBMY1E	Rbmyf6	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1E	Rbmyf4	ortholog_many2many	17.1371	51.2048	0	0.00	0
RBMY1E	Rbmyf9	ortholog_many2many	32.8629	42.8947	0	0.00	0
RBMY1E	Rbmyf8	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1E	Rbmyf2	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1E	Rbmyf3	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1E	Rbmy	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1E	Rbmyf7	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1E	Rbmyf5	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1E	Rbmyf1	ortholog_many2many	32.2581	42.1053	0	83.35	0
							
RBMY2AP							
							
							
OFD1P8Y							
							
HSFY5P							
USP9YP17							
CDY12P							
ELOCP15							
							
TTTY6B							
RBMY1F	Rbmyf6	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1F	Rbmyf4	ortholog_many2many	16.9355	50.6024	0	0.00	0
RBMY1F	Rbmyf9	ortholog_many2many	32.8629	42.8947	0	0.00	0
RBMY1F	Rbmyf8	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1F	Rbmyf2	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1F	Rbmyf3	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1F	Rbmy	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1F	Rbmyf7	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1F	Rbmyf5	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1F	Rbmyf1	ortholog_many2many	32.2581	42.1053	0	83.46	0
TSPY23P							
RBMY2UP							
RBMY1KP							
TTTY5							
TSPY22P							
RBMY2FP							
RBMY2FP							
TTTY25P							
TSPY21P							
RBMY1J	Rbmyf6	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1J	Rbmyf4	ortholog_many2many	16.9355	50.6024	0	0.00	0
RBMY1J	Rbmyf9	ortholog_many2many	32.8629	42.8947	0	0.00	0
RBMY1J	Rbmyf8	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1J	Rbmyf2	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1J	Rbmyf3	ortholog_many2many	32.4597	42.3684	0	0.00	0
RBMY1J	Rbmy	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1J	Rbmyf7	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1J	Rbmyf5	ortholog_many2many	32.2581	42.1053	0	0.00	0
RBMY1J	Rbmyf1	ortholog_many2many	32.2581	42.1053	0	83.46	0
							
							
CYCSP41							
							
							
OR4K11P							
							
							
							
							
CTBP2P10							
RBPMSLP							
SREK1IP1P1							
MIR548XHG							
							
FDPSP6							
							
TTTY6							
							
NEK4P1							
							
ELOCP8							
CDY13P							
							
USP9YP24							
PPIAP22							
							
SLC6A6P1							
CTBP2P9							
HSFY7P							
							
OFD1P9Y							
CHODL-AS1							
							
							
TUBAP1							
							
TMPRSS15	Tmprss15	ortholog_one2one	75.0736	71.5622	100	99.20	1
RBMY2BP							
							
							
XKRY							
							
							
							
VN1R7P							
FAM224A							
ZNF299P							
							
SNX19P1							
							
							
SLC25A15P4							
GPX1P2							
							
							
CXADR	Cxadr	ortholog_one2many	89.863	89.863	100	100.00	1
CXADR	Gm1123	ortholog_one2many	31.2329	29.2308	0	4.47	0
							
							
							
TTTY9B							
							
							
							
TTTY9A							
							
							
IGHV1OR21-1							
HSPD1P7							
MSANTD2P1							
							
C1QBPP1							
							
RPL10P1							
LINC00317							
							
							
							
							
							
LINC01689							
							
							
							
							
							
KRT18P2							
							
							
							
URB1	Urb1	ortholog_one2one	76.2219	76.0211	100	100.00	1
C1R							
							
KRTAP25-1							
							
RPSAP68							
RBMY3AP							
JAM2	Jam2	ortholog_one2one	76.8456	71.118	100	96.91	1
CDY3P							
TSPY25P							
USP9YP22							
TSPY16P							
USP9YP4							
ELOCP4							
RBMY1A3P							
							
TTTY20							
TSPY8							
FAM197Y7							
							
TSPY4							
TSPY9							
FAM197Y2							
FAM197Y4							
FAM197Y4							
FAM197Y8							
FAM197Y8							
							
EEF1A1P1							
							
							
							
RPL8P2							
CLDN17	Cldn17	ortholog_one2one	81.6964	81.6964	100	100.00	1
BTF3L4P1							
							
							
RPL37P3							
THUMPD1P1							
							
PPIAP1							
LLPHP2							
KRTAP24-1	Krtap24-1	ortholog_one2one	59.0551	60.4839	100	100.00	1
							
C1RL							
NCSTNP1							
							
RPS3AP1							
SCAF4	Scaf4	ortholog_one2one	89.1892	84.6154	100	98.30	1
C1RL-AS1							
ELOCP5							
CDY10P							
USP9YP3							
RBP5							
USP9YP8							
CDY11P							
OFD1P16Y							
RNU6-485P							
							
CLSTN3							
EIF4A1P1							
LINC00307							
NCAM2	Ncam2	ortholog_one2one	93.6679	93.6679	100	100.00	1
MIPEP	Mipep	ortholog_one2one	83.5905	83.8256	75	100.00	1
							
							
OR4K12P							
							
							
RPSAP64							
TPT1P1							
							
LINC01423							
							
CLDN8	Cldn8	ortholog_one2one	82.6667	82.6667	100	100.00	1
							
							
LINC02943							
							
							
HUNK-AS1							
							
HUNK	Hunk	ortholog_one2one	92.437	92.437	100	100.00	1
LSP1P1							
ZNF962P							
							
RPL17P51							
							
HSPD1P9							
							
C1QTNF9-AS1							
MTCO3P2							
							
PEX5							
							
							
EIF3FP1							
C21orf91	D16Ertd472e	ortholog_one2one	80.4714	82.4138	100	100.00	1
RPS20P32							
FABP3P2							
MTUS2-AS1							
KPNA3	Kpna3	ortholog_one2one	99.2322	99.2322	100	100.00	1
LINC00308							
MORC3	Morc3	ortholog_one2one	82.9606	82.6964	100	100.00	1
OR4C12							
OR4C48P							
OR4C49P							
