Gene name	Macaque gene name	Macaque homology type	%id. target Macaque gene identical to query gene	%id. query gene identical to target Macaque gene	Macaque Gene-order conservation score	Macaque Whole-genome alignment coverage	Macaque orthology confidence [0 low, 1 high]
RNU6-1304P	U6	ortholog_one2one	99.0291	99.0291		100.00	1
Metazoa_SRP							
WARS2	WARS2	ortholog_one2one	100	90.7268	100	100.00	1
							
							
							
IL24	IL24	ortholog_one2one	99.0338	99.0338	100	100.00	1
							
							
							
RN7SL261P	Metazoa_SRP	ortholog_one2one	99.6575	99.6575		100.00	1
							
C1orf174	C1H1orf174	ortholog_one2one	97.1429	85.9206	75	100.00	1
							
MIR30E	mml-mir-30e	ortholog_one2one	76.1062	93.4783		100.00	1
PLCL2	PLCL2	ortholog_one2one	98.463	90.9494	100	100.00	1
							
CRTC2	CRTC2	ortholog_one2one	92.284	86.1671	100	100.00	1
SLC5A9	SLC5A9	ortholog_one2one	99.5751	99.5751	100	100.00	1
CACYBP							
							
BLZF1	BLZF1	ortholog_one2one	100	100	100	100.00	1
							
SH2D1B	SH2D1B	ortholog_one2one	100	100	100	100.00	1
							
							
							
TMEM59	TMEM59	ortholog_one2one	99.7297	99.7297	100	100.00	1
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	98.6487	91.8239		100.00	1
							
							
DFFB	DFFB	ortholog_one2one	87.2576	99.6835	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	98.6395	98.6395		100.00	1
							
							
LAMTOR2	LAMTOR2	ortholog_one2one	87.2	80.7407	100	100.00	1
		ortholog_one2one	95.1923	95.1923		100.00	1
TXNRD3	TXNRD3	ortholog_one2one	92.1927	84.9923	100	100.00	1
TBX15	TBX15	ortholog_one2one	99.8339	94.6457	100	100.00	1
							
OSBPL10	OSBPL10	ortholog_one2one	98.1627	97.2692	100	100.00	1
SH3BP5L	SH3BP5L	ortholog_one2one	99.3304	99.5526	100	100.00	1
CFAP45	CFAP45	ortholog_one2one	89.521	97.0779	100	100.00	1
							
							
U6	U6	ortholog_one2one	100	100		100.00	1
							
		ortholog_one2one	90.0415	82.197	100	100.00	1
ARHGEF26	ARHGEF26	ortholog_one2one	96.383	99.5604	100	100.00	1
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	98.6577	98.6577		100.00	1
DENND4B	DENND4B	ortholog_one2one	99.0642	93.5016	100	100.00	1
							
DAZL	DAZL	ortholog_one2one	100	93.6508	100	100.00	1
	NOS1AP	ortholog_one2one	99.8561	99.8561	100	100.00	1
	MRPS14	ortholog_one2many	100	100	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	87.8378	87.8378		0.00	0
							
FCMR	FCMR	ortholog_one2one	92.3781	76.3224	100	100.00	1
PADI6	PADI6	ortholog_one2one	100	100	100	100.00	1
		ortholog_one2one	100	100	100	100.00	1
MSL2	MSL2	ortholog_one2one	100	100	100	100.00	1
CCDC181	CCDC181	ortholog_one2one	97.318	100	100	100.00	1
							
							
FANCD2	FANCD2	ortholog_one2one	97.8738	97.0088	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	99.0099	99.0099		100.00	1
							
JAK1	JAK1	ortholog_one2one	100	100	100	100.00	1
							
Metazoa_SRP							
							
		ortholog_one2one	100	100	100	100.00	1
LAMC2	LAMC2	ortholog_one2one	99.6157	99.6157	100	100.00	1
							
		ortholog_one2one	97.2973	98.1818	100	100.00	1
LRRC34	LRRC34	ortholog_one2one	84.5996	88.7931	100	100.00	1
							
SPAG17	SPAG17	ortholog_one2one	99.8198	99.8648	100	100.00	1
Metazoa_SRP							
							
							
		ortholog_one2one	98.1818	98.1818	100	100.00	1
RNU1-132P	U1	ortholog_one2one	98.7805	98.7805		100.00	1
							
							
							
		ortholog_one2one	99.0476	99.0476		100.00	1
GATAD2B	GATAD2B	ortholog_one2one	100	100	100	100.00	1
LDLRAD1	LDLRAD1	ortholog_one2one	97.0732	97.549	100	100.00	1
RFTN1	RFTN1	ortholog_one2one	99.827	99.827	100	100.00	1
							
ACP6	ACP6	ortholog_one2one	100	100	75	100.00	1
VSIG8	VSIG8	ortholog_one2one	98.4375	91.3043	100	100.00	1
SLC19A2	SLC19A2	ortholog_one2one	99.596	99.596	100	100.00	1
WDR3	WDR3	ortholog_one2one	100	100	100	100.00	1
PIGR	PIGR	ortholog_one2one	99.3456	99.3456	75	100.00	1
TRABD2B	TRABD2B	ortholog_one2one	80.1852	83.7524	100	100.00	1
TNN	TNN	ortholog_one2one	99.3832	99.2302	100	100.00	1
U6	U6	ortholog_one2one	99.0291	99.0291		100.00	1
		ortholog_one2one	95.1923	96.1165	100	100.00	1
SLC6A9	SLC6A9	ortholog_one2one	100	95.0425	100	100.00	1
							
KCND3	KCND3	ortholog_one2one	100	100	100	100.00	1
FANCD2OS	FANCD2OS	ortholog_one2one	100	100	100	100.00	1
MIGA1	MIGA1	ortholog_one2one	98.6949	99.018	100	100.00	1
		ortholog_one2one	72.6316	41.5663	0	0.00	0
SSR2	SSR2	ortholog_one2one	63.6986	100	100	100.00	1
RAVER2	RAVER2	ortholog_one2one	73.5912	97.9412	100	100.00	1
SPATA46	SPATA46	ortholog_one2one	99.6016	96.1538	100	100.00	1
LYPD8	LYPD8	ortholog_one2one	99.5798	99.5798	100	100.00	1
PADI4	PADI4	ortholog_one2one	92.052	96.0784	100	100.00	1
		ortholog_one2one	98.5075	98.5075		100.00	1
							
DHX36	DHX36	ortholog_one2one	100	100	100	100.00	1
BRK1	BRK1	ortholog_one2one	100	100	100	100.00	1
							
							
LRRIQ4	LRRIQ4	ortholog_one2one	99.6429	99.6429	100	100.00	1
FCAMR	FCAMR	ortholog_one2one	92.6471	76.9466	100	100.00	1
SRP9	SRP9	ortholog_one2one	60.4651	54.1667	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
							
Metazoa_SRP							
							
EFCAB2	EFCAB2	ortholog_one2one	68.0851	50.3937	100	100.00	1
GDAP2	GDAP2	ortholog_one2one	97.7823	97.5855	100	100.00	1
MIR556	MIR556	ortholog_one2one	89.0244	100		100.00	1
		ortholog_one2one	100	100		100.00	1
		ortholog_one2one	100	100	100	100.00	1
DDX20	DDX20	ortholog_one2one	99.8861	99.8861	100	100.00	1
BCL9	BCL9	ortholog_one2one	100	100	75	100.00	1
C3orf22	C2H3orf22	ortholog_one2one	100	100	100	100.00	1
							
RIMS3	RIMS3	ortholog_one2one	89.0323	89.6104	100	100.00	1
		ortholog_one2one	100	100		100.00	1
							
SLC27A3	SLC27A3	ortholog_one2one	98.3439	95.3086	100	100.00	1
F5	F5	ortholog_one2one	96.8806	99.679	100	100.00	1
							
CEP104	CEP104	ortholog_one2one	97.8723	99.4595	100	100.00	1
		ortholog_one2one	99.631	99.631	100	100.00	1
OLFML2B	OLFML2B	ortholog_one2one	99.3377	99.6016	100	100.00	1
OXNAD1	OXNAD1	ortholog_one2one	99.6795	99.6795	100	100.00	1
CCDC24	CCDC24	ortholog_one2one	99.6743	100	100	100.00	1
SLAMF8	SLAMF8	ortholog_one2one	79.403	93.3333	100	100.00	1
							
C1orf116	C1H1orf116	ortholog_one2one	99.018	93.0769	75	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	98.6667	98.6667		100.00	1
							
CACHD1	CACHD1	ortholog_one2one	100	97.2519	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	100	100		100.00	1
KIAA0040	KIAA0040	ortholog_one2one	100	100	75	100.00	1
RNU6-999P	U6	ortholog_one2one	100	100		100.00	1
PCCB	PCCB	ortholog_one2one	79.9314	78.057	100	100.00	1
B4GALT2	B4GALT2	ortholog_one2one	87.7049	84.0314	100	100.00	1
U6	U6	ortholog_one2one	100	100		100.00	1
VHL	VHL	ortholog_one2one	100	100	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
LRRC42	LRRC42	ortholog_one2one	91.4097	92.0177	100	100.00	1
	mml-mir-7180	ortholog_one2one	100	100		100.00	1
LRRC31	LRRC31	ortholog_one2one	99.654	99.654	100	100.00	1
		ortholog_one2one	100	100		100.00	1
PADI3	PADI3	ortholog_one2one	99.8494	99.8494	100	100.00	1
NMNAT2	NMNAT2	ortholog_one2one	100	100	100	100.00	1
		ortholog_one2one	91.4062	81.8182	0	0.00	0
TENT5C	TENT5C	ortholog_one2one	100	69.3262	100	100.00	1
		ortholog_one2one	100	81.3793	100	100.00	1
RNU6-1089P	U6	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	100	100	100	100.00	1
							
GPR149	GPR149	ortholog_one2one	99.8632	99.8632	100	100.00	1
							
INTS3	INTS3	ortholog_one2one	100	100	100	100.00	1
U6	U6	ortholog_one2one	99	99		100.00	1
		ortholog_one2one	91.9431	76.378	100	100.00	1
OR2T27	OR2T27	ortholog_one2one	98.7382	98.7382	75	67.51	1
		ortholog_one2many	97.0588	99.3976	50	100.00	1
							
INKA2	INKA2	ortholog_one2one	99.6633	99.6633	100	100.00	1
		ortholog_one2one	97.3451	97.3451	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
		ortholog_one2many	40.5405	21.2264	0	0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	81.7568	84.6154		0.00	0
		ortholog_one2one	98.7654	98.7654	50	63.59	0
LEFTY2	LEFTY2	ortholog_one2one	99.4536	99.4536	100	100.00	1
							
							
ATF6	ATF6	ortholog_one2one	99.8782	99.8782	100	100.00	1
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	99.1453	99.1453		100.00	1
MME	MME	ortholog_one2one	100	100	100	100.00	1
PADI1	PADI1	ortholog_one2one	100	100	100	100.00	1
							
MAN1A2	MAN1A2	ortholog_one2one	100	100	100	100.00	1
PFKFB2	PFKFB2	ortholog_one2one	99.0119	99.2079	100	100.00	1
IRAK2	IRAK2	ortholog_one2one	87.04	81.6817	100	100.00	1
CMPK1	CMPK1	ortholog_one2many	95.1754	84.4358	100	100.00	1
CMPK1	CMPK1	ortholog_one2many	97.807	97.807	0	0.00	0
RNU7-62P	U7	ortholog_one2one	100	100		100.00	1
IFT25	IFT25	ortholog_one2one	73.6111	45.4936	100	100.00	0
		ortholog_one2one	100	100	100	100.00	1
ZNF684	ZNF684	ortholog_one2one	99.2	98.153	75	100.00	1
CHD1L	CHD1L	ortholog_one2one	99.547	97.6667	100	100.00	1
ARHGEF2	ARHGEF2	ortholog_one2one	99.903	82.7309	100	100.00	1
LRRC47	LRRC47	ortholog_one2one	99.8322	99.8322	75	100.00	1
RAP1A	RAP1A	ortholog_one2one	100	100	100	100.00	1
STT3B	STT3B	ortholog_one2one	99.6236	96.2424	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	98.6487	98.6487		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	98.6487	98.6487		100.00	1
		ortholog_one2one	100	100		100.00	1
DPH2	DPH2	ortholog_one2one	99.3865	99.3865	100	100.00	1
PYCR2							
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
							
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
							
							
							
STRIT1	STRIT1	ortholog_one2one	100	100	100	100.00	1
U6	U6	ortholog_one2one	100	100		100.00	1
UBE2U	UBE2U	ortholog_one2one	99.3789	99.3789	100	100.00	1
UROC1	UROC1	ortholog_one2one	99.7283	99.7283	100	100.00	1
SELP	SELP	ortholog_one2one	99.3976	99.3976	100	100.00	1
RN7SL372P	Metazoa_SRP	ortholog_one2one	98.9967	98.9967		100.00	1
							
RN7SL574P	Metazoa_SRP	ortholog_one2one	97.3154	97.3154		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
PHLDB2	PHLDB2	ortholog_one2one	97.1218	98.209	75	100.00	1
							
SMIM1	SMIM1	ortholog_one2one	98.7179	98.7179	100	100.00	1
EXO5	EXO5	ortholog_one2one	100	100	50	100.00	1
FCRL6	FCRL6	ortholog_one2one	98.6175	98.6175	100	100.00	1
SDE2	SDE2	ortholog_one2one	99.7783	99.7783	100	100.00	1
DPH3	DPH3	ortholog_one2one	100	100	100	100.00	1
TNR	TNR	ortholog_one2one	99.8527	99.8527	50	100.00	1
PADI2	PADI2	ortholog_one2one	100	100	100	100.00	1
STIL	STIL	ortholog_one2one	99.7671	99.8446	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2many	94.4444	98.0769		0.00	0
RNU6-151P	U6	ortholog_one2one	100	100		100.00	1
SAMD7	SAMD7	ortholog_one2one	98.4479	99.5516	100	100.00	1
TATDN2	TATDN2	ortholog_one2one	99.3438	99.7365	100	100.00	1
							
		ortholog_one2one	99.0909	99.0909	100	100.00	1
							
NPR1	NPR1	ortholog_one2one	100	76.0603	100	100.00	1
ROR1	ROR1	ortholog_one2one	100	100	100	100.00	1
							
DIO1	DIO1	ortholog_one2one	100	100	100	100.00	1
CCDC27	CCDC27	ortholog_one2one	99.5399	99.5399	75	100.00	1
							
HNRNPU	HNRNPU	ortholog_one2one	97.8616	94.303	100	100.00	1
	RXFP4	ortholog_one2one	100	100	100	100.00	1
							
VTCN1	VTCN1	ortholog_one2one	95.7895	96.8085	100	100.00	1
							
GALNT15	GALNT15	ortholog_one2one	95.7576	95.1807	100	100.00	1
TMIGD3	TMIGD3	ortholog_one2one	99.7118	99.7118	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	56.2814	75.6757		0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	78.8945	53.9519		0.00	0
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	79.397	56.6308		0.00	0
USP33	USP33	ortholog_one2one	98.9547	94.3522	100	100.00	1
OR9G1	OR9G1	ortholog_one2one	99.3377	98.3607	25	39.79	0
							
SELL	SELL	ortholog_one2one	100	100	100	100.00	1
KHDC4	KHDC4	ortholog_one2one	100	100	100	100.00	1
YOD1	YOD1	ortholog_one2one	100	100	100	100.00	1
							
ZFP69							
	SDHB	ortholog_one2one	100	100	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	98.2935	98.2935		100.00	1
	OR5AR1	ortholog_one2many	95.2703	96.5753	0	0.00	0
		ortholog_one2many	24.6154	26.2295	0	0.00	0
IPO13	IPO13	ortholog_one2one	97.8193	94.2	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	44.4444	29.2683	0	0.00	0
							
SMG7	SMG7	ortholog_one2one	96.1312	78.991	100	100.00	1
		ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	97.0588	97.0588		100.00	1
Metazoa_SRP							
OR14I1	OR14I1	ortholog_one2one	98.0707	98.0707	0	100.00	1
SNORA80E	SNORA80E	ortholog_one2one	100	100		100.00	1
							
		ortholog_one2one	97.4576	97.4576	75	100.00	1
							
OR2G6		ortholog_one2one	92.429	92.7215	0	20.20	0
	FCRLB	ortholog_one2one	79.1971	51.1792	100	100.00	1
SELE	SELE	ortholog_one2one	99.3421	99.0164	100	100.00	1
SEC62	SEC62	ortholog_one2one	100	100	100	100.00	1
ZXDC	ZXDC	ortholog_one2one	99.8832	99.6504	100	100.00	1
GHRL	GHRL	ortholog_one2one	99.1453	52.2523	100	100.00	1
							
GADL1	GADL1	ortholog_one2one	97.7444	99.8081	100	100.00	1
	OR5AR1	ortholog_one2many	95.8904	95.8904	0	0.00	0
ACBD3	ACBD3	ortholog_one2one	99.8106	99.8106	75	100.00	1
	ILF2	ortholog_one2one	99.4845	93.9173	100	100.00	1
							
RNU6-792P	U6	ortholog_one2one	96.3636	99.0654		100.00	1
		ortholog_one2one	97.1429	97.1429	75	100.00	1
							
RIT1	RIT1	ortholog_one2one	100	100	100	100.00	1
ARTN	ARTN	ortholog_one2one	93.5961	83.3333	100	100.00	1
C1orf162	C1H1orf162	ortholog_one2one	98.7097	98.7097	100	100.00	1
	C4BPA	ortholog_one2one	99.3651	99.2076	100	100.00	1
OR2T10	OR2T10	ortholog_one2one	99.0385	99.0385	0	100.00	1
TRIM45	TRIM45	ortholog_one2one	96.9407	87.4138	100	100.00	1
	RSL24D1	ortholog_many2many	98.2759	69.9387	0	0.00	0
		ortholog_many2many	91.3793	65.0307	0	0.00	0
METTL18	METTL18	ortholog_one2one	100	100	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2many	94.4444	98.0769		100.00	1
	FCRLA	ortholog_one2many	99.6198	68.7664	100	100.00	1
							
FMO5	FMO5	ortholog_one2one	95.1699	99.8124	75	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	99.3243	99.3243		100.00	1
PLCH1	PLCH1	ortholog_one2one	98.5924	99.2912	100	100.00	1
ATP13A2	ATP13A2	ortholog_one2one	96.6443	92.2338	100	100.00	1
SNAPIN	SNAPIN	ortholog_one2one	100	100	100	100.00	1
SMAP2	SMAP2	ortholog_one2one	100	99.3007	100	100.00	1
		ortholog_one2one	99.6914	99.6914	75	100.00	1
							
TP73	TP73	ortholog_one2one	83.0986	89.3939	50	100.00	1
ATP5PB	ATP5PB	ortholog_one2one	98.0469	86.5517	100	100.00	1
							
NDC1	NDC1	ortholog_one2one	99.8516	99.8516	100	100.00	1
							
OR2T1	OR2T1	ortholog_one2one	98.916	98.916	100	100.00	1
TAL1	PDZK1IP1	ortholog_one2one	100	99.6979	100	100.00	1
							
							
OR2T6	OR2T6	ortholog_one2one	98.7013	98.7013	100	100.00	1
FIRRM	FIRRM	ortholog_one2one	100	100	100	100.00	1
ZZZ3	ZZZ3	ortholog_one2one	99.6678	99.6678	100	100.00	1
PDZK1IP1							
	FCGR2A	ortholog_one2one	65.7534	60.7595	100	25.95	1
SEC13	SEC13	ortholog_one2one	100	100	100	100.00	1
		ortholog_one2one	44.8598	47.5248	0	0.00	0
							
SYT11	SYT11	ortholog_one2one	100	100	100	100.00	1
DUSP23	DUSP23	ortholog_one2one	61.9247	98.6667	100	100.00	1
		ortholog_one2one	99.0415	99.0415	100	100.00	1
TGFBR2	TGFBR2	ortholog_one2one	100	100	100	100.00	1
							
CHTOP	CHTOP	ortholog_one2one	100	100	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
COL9A2	COL9A2	ortholog_one2one	99.2722	90.0925	100	100.00	1
Metazoa_SRP							
CYP4A45P	CYP4A11	ortholog_one2one	93.8614	90.2857	100	100.00	1
OR2M4	OR2M4	ortholog_one2one	98.3923	98.3923	100	100.00	1
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
U6	U6	ortholog_one2one	100	100		100.00	1
WDR77							
COX20	COX20	ortholog_one2one	100	100	100	100.00	1
		ortholog_one2one	99.2647	99.2647		100.00	1
CD101	CD101	ortholog_one2one	98.0695	99.5103	100	100.00	1
		ortholog_one2one	99.0625	99.0625	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	99.3243	99.3243		100.00	1
		ortholog_one2many	45.6	43.1818	0	0.00	0
		ortholog_one2many	44.8	47.4576	0	0.00	0
		ortholog_one2many	40	37.8788	0	0.00	0
ST3GAL3	ST3GAL3	ortholog_one2one	76.5808	83.8462	100	100.00	1
PRKAB2	PRKAB2	ortholog_one2one	99.6429	99.6429	75	100.00	1
							
Metazoa_SRP							
LIN9	LIN9	ortholog_one2one	86.9494	98.3395	75	100.00	1
CRP	CRP	ortholog_one2one	99.5536	99.5536	100	100.00	1
							
CFAP100	CFAP100	ortholog_one2one	99.6711	99.6711	100	100.00	1
U3	U3	ortholog_one2one	99.537	99.537		100.00	1
OR2L13	OR2L13	ortholog_one2one	98.0769	98.0769	75	100.00	1
							
							
							
GLIS1	GLIS1	ortholog_one2one	60.9632	77.5806	100	94.31	1
ZMPSTE24	ZMPSTE24	ortholog_one2one	99.7895	99.7895	100	100.00	1
CYP4X1	CYP4X1	ortholog_one2one	99.4106	99.4106	100	100.00	1
							
RN7SL370P	Metazoa_SRP	ortholog_one2one	98.9865	98.9865		100.00	1
STAG1	STAG1	ortholog_one2one	100	100	100	100.00	1
							
GPR160	GPR160	ortholog_one2one	100	100	100	100.00	1
APCS	APCS	ortholog_one2one	99.1031	99.1031	100	100.00	1
							
S100A1	S100A1	ortholog_one2one	48.9796	74.2268	100	100.00	0
Y_RNA	Y_RNA	ortholog_one2one	99.0991	99.0991		100.00	1
C4BPB	C4BPB	ortholog_one2one	89.6552	92.8571	100	100.00	1
WRAP73		ortholog_one2one	96.5217	93.2773	25	100.00	1
SCYL3	SCYL3	ortholog_one2one	98.6523	99.4565	100	100.00	1
DUSP12							
EFCAB7							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	98.3974	98.3974	100	69.12	1
PTGFRN	PTGFRN	ortholog_one2one	90.2748	97.1559	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	99.3243	99.3243		100.00	1
RNU4-38P	U4	ortholog_one2one	100	100		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2many	99.6587	99.6587		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
							
							
							
MFAP2	MFAP2	ortholog_one2one	100	100	100	100.00	1
							
RNU7-95P	U7	ortholog_one2one	100	100		100.00	1
							
U1	U1	ortholog_one2one	98.7342	98.7342		100.00	1
S100A16	S100A16	ortholog_one2one	100	100	100	100.00	1
	FCRLA	ortholog_one2many	99.1404	90.8137	75	100.00	1
DESI2	DESI2	ortholog_one2one	100	93.299	100	100.00	1
							
CYP4A11	CYP4A45	ortholog_one2one	97.4855	97.1098	100	100.00	1
							
OR2AK2							
							
							
OVGP1	OVGP1	ortholog_one2one	98.5816	83.9879	100	100.00	1
							
							
DMRTB1	DMRTB1	ortholog_one2one	83.2134	82.2275	100	100.00	1
		ortholog_one2many	40.1709	42.7273	0	0.00	0
COP1	COP1	ortholog_one2one	99.5995	96.7575	50	100.00	1
	mml-mir-563	ortholog_one2one	100	100		100.00	1
OR2L13		ortholog_one2one	99.6795	99.6795	100	100.00	1
GON4L	GON4L	ortholog_one2one	99.1071	98.9746	75	100.00	1
							
							
							
							
		ortholog_one2one	100	100		100.00	1
CD2	CD2	ortholog_one2one	99.4302	99.4302	100	100.00	1
S100A2	S100A2	ortholog_one2one	100	100	100	100.00	1
							
AK5	AK5	ortholog_one2one	95.1389	96.3093	100	100.00	1
							
		ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	97.0588	97.0588		100.00	1
RN7SL333P	Metazoa_SRP	ortholog_one2one	99.322	99.322		100.00	1
							
		ortholog_one2one	100	100	50	100.00	1
	CROCC	ortholog_one2one	96.6487	44.3013	75	100.00	0
CYP4B1	CYP4B1	ortholog_one2one	99.8047	100	100	100.00	1
							
							
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	100	100		100.00	1
Metazoa_SRP							
							
							
S100A3	S100A3	ortholog_one2one	100	100	100	100.00	1
FCER1A	FCER1A	ortholog_one2one	99.6154	99.6154	100	100.00	1
U6	U6	ortholog_one2one	100	100		100.00	1
KLF15	KLF15	ortholog_one2one	100	100	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	98.6487	98.6487		100.00	1
TMCO2	TMCO2	ortholog_one2one	99.4505	99.4505	100	100.00	1
							
							
PHC3	PHC3	ortholog_one2one	95.117	93.9698	100	100.00	1
CIMAP3	CIMAP3	ortholog_one2one	69.4215	69.7095	100	100.00	1
PARP1	PARP1	ortholog_one2one	99.8028	99.8028	100	100.00	1
							
		ortholog_one2one	94.7883	79.9451	75	100.00	1
							
ATP2B2	ATP2B2	ortholog_one2one	100	100	100	100.00	1
S100A4	S100A4	ortholog_one2one	100	100	100	100.00	1
							
Metazoa_SRP							
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
							
NCF2	NCF2	ortholog_one2one	100	100	100	100.00	1
OR2W3	OR2W3	ortholog_one2one	99.3631	99.3631	100	100.00	1
							
KDM4A	KDM4A	ortholog_one2one	100	99.6237	100	100.00	1
IGSF3	IGSF3	ortholog_one2one	100	100	100	100.00	1
S100A5	S100A5	ortholog_one2one	100	100	100	100.00	1
RLF	RLF	ortholog_one2one	99.9478	99.8956	100	100.00	1
							
